radiation scattering	61-19098-B
radioactive material	29-50185-B,29-51374-B
radioactive nuclide	29-50275-B
radioactive waste	29-49997-B
radioactivity	9-30143-S,29-50751-B
radiogenic material	29-51439-B
radiography	2-68393-S
radioimmunoassay	29-49589-B
radioisotope	29-49885-B
radiological defense	29-51598-B
radiological operations	29-49508-B
radiological weapon	29-50374-B
radiology	29-49684-B
radiolysis	61-18588-B
radiometer	61-19425-B
radionuclide	29-50275-B
radiophosphor	29-50915-B
radiosensitivity	61-19015-B
radiotherapy	29-51529-B
radish	24-39178-S,55-46902-B
radish japanese daikon	44-45504-S
radish raphanus sativus var niger	49-12975-S
radish shinrimei radish	24-39178-S
radish the small red kind	20-69004-B
radium ra	65-2051-B
radius	10-57583-B,10-61160-B,11-31729-S,13-10784-S,62-27081-S
radius anat 	35-603-B,35-660-B
radix notoginseng	43-36903-B
radon rn	36-24895-B
rafah	27-24260-B
raffarin	27-24209-B
raffle	27-17459-S
raffle for charity	25-44938-S
rafsanjani	27-22010-S
raft	8-17873-S,32-53792-S,32-53792-S,34-20298-B,34-27010-B,37-45133-S,40-16287-S,48-2642-S,48-39714-S,53-39286-B
raft adapted to handle rapids	40-16287-S
raft made of bamboo or wood	34-45422-S
raft of logs	48-20107-B
rafter	34-8418-B,34-8683-B,34-9844-B,34-42241-S
rafters	34-26834-B,34-50493-B
rafters supporting tiles	43-12783-B
rafters 成语 saw	36-56606-S
rafting	68-60802-B
rafts	21-20484-B
rag	27-15754-S,46-17409-B
rage	13-20762-S,24-52224-S,24-52729-S,24-53327-B,25-139-B,29-33573-B,31-66629-S,32-472-S,40-5596-S,40-5693-S,40-33799-S,45-5056-B,47-59051-S,60-17156-S,68-59064-S,71-54733-S
rage for a time	45-5370-S
rage of contagious disease	38-5812-S
rage out of humiliation	25-24885-S
rage written across one s face	24-52432-B
ragged	11-39296-B,46-18259-B
ragged garments	57-11470-B
raging	41-12275-B
raging billows	28-10463-B
raging fire	40-66595-S,41-0-B,41-1718-B
raging flames	40-34154-B
raging inferno	40-33940-B
raging sea of bureaucracy	19-56723-S
raging temper	45-5056-S
raging torrent	51-23880-B
rags	56-52896-S
rags to riches celebrity	40-25343-S
rags used as shoes	56-52845-B
rahab	37-41906-S
rahab mother of boaz	14-4486-B
rahab name	61-34109-B
rahman abdel raouf arafat al qudwa al husseini 1929 2004	3-63858-S,66-4378-S
rahu	50-61116-S
raid	18-7404-S,47-49454-S,47-58982-S,50-18112-S,57-12267-B,62-31168-B,62-31168-S
raid shelter	16-34049-S,65-62836-S
raider	12-1735-S
rail	24-15343-S,60-61788-B,64-41448-S,65-4906-B
rail axis or artery	22-52962-S
rail line eg between airport and city	20-40886-S
rail line from china through central asia to europe	3-59833-B
rail lines	28-28699-S
rail link projected	4-3555-S
rail or bus line	49-37378-S
rail station	60-59788-B
rail track	60-61450-S,65-4959-B
rail transit system	61-12575-S
rail uk railway organization	50-8808-S
railing	26-55830-B,34-33966-S,35-17949-B,35-18089-B
railing 成语 saw	32-69711-S
railings	15-22124-B,48-44944-S
railings of a balcony	61-1287-B
railroad	17-58836-S,65-4796-B
railroad switch	62-50704-B
railroad track	65-4906-B
rails	8-46045-S,52-34338-S,60-27669-S,60-61665-S
railtrack connection	28-28131-B
railway	4-2726-S,20-29660-S,23-10270-S,23-10342-S,37-27396-S,39-31490-S,52-49017-S,55-45538-S,65-4796-B,67-58476-S,67-58554-S
railway accident	8-46045-S
railway carriage	22-65230-B
railway engineering	70-36943-S
railway incident of 18th july 1931 九一八事變 九一八事变	27-5334-S
railway incident of 18th september 1931 used by the japanese as a pretext to annex manchuria	3-17360-S,33-49592-S
railway line	4-3095-S,7-40797-S,65-4959-B
railway lines	28-28608-S
railway lines to stop a train by threatening suicide	52-55272-S
railway or tram line	60-62030-B
railway organization	50-8808-S
railway platform	32-28896-B,47-62749-B
railway station	10-27409-S,51-48429-S
railway term	8-67617-S
railway track	33-32623-S,50-17632-B,64-38228-S
rain	1-61245-S,8-12130-S,8-25101-S,14-9667-S,14-9667-S,15-61126-S,17-39967-S,17-40009-S,28-13778-S,31-64953-S,32-612-S,36-14245-S,38-27845-S,38-40257-S,39-18893-S,39-25338-S,39-31168-S,39-45165-S,39-61687-S,39-62231-S,39-64611-S,40-319-S,40-13419-S,40-13876-S,40-15975-S,45-61397-S,47-16047-S,47-37178-S,49-34049-S,62-67070-S,63-45734-S,65-65287-S,67-13987-B,67-14304-S,67-14708-S,67-15331-S,67-22549-S,67-39633-S,67-39781-B,67-41042-S,67-44266-S,67-45007-S,67-45293-S,67-46109-S,68-58137-S,68-58500-S,68-58576-B
rain and snow	66-17186-B
rain and wind	39-58150-S,40-15698-S
rain bucketing down	6-48343-B,6-48408-B,17-40009-B
rain cloud	67-14228-S
rain coat made of straw etc	55-6811-B
rain colored by loess sandstorm	56-30143-S
rain continuously	40-2202-S
rain darken the sky 成语 saw	68-58368-S
rain e g due to monsoon or typhoon	59-25214-S
rain falling	68-59955-S
rain falls on the just and unjust alike	55-46040-S
rain forest	41-18726-S
rain frog	67-14757-B
rain from eaves	67-45391-S
rain hat	48-5831-S
rain man	67-14013-B
rain of blood	56-30143-B
rain or snow	54-64101-S,67-17749-S
rain or water vapor	67-14095-S
rain storm	67-45350-B
rain through the town 成语 saw	39-36991-S
rain water	67-14486-S
rain with a turn of the hand 成语 saw	51-23712-S
rain 成语 saw	13-19755-S,31-35967-S,36-56328-S,57-31944-S,58-51404-S,67-14838-S,67-15029-S,68-58218-S
rainbow	23-56202-B,36-30814-S,55-57009-B,55-57040-B,56-5920-B,56-6720-B,56-6751-B,56-13217-B,66-46134-B,67-44079-S,67-44118-S
rainbow bridge name	55-57185-B
rainbow or eclipse	17-53789-S
raincape made of grass	48-35746-B
raincoat	57-10415-B,57-11669-B,67-14798-B
raindrop	67-14540-B,67-15289-B
rainfall	66-18257-B,67-14580-B,67-15246-B
rainforest	67-14375-B
rains	31-35784-S,32-59309-S
rains but it pours	47-1925-S
rainstorm	32-612-B,32-792-B,32-924-S,38-38779-B
rainwater	38-36658-B
rainy	1-64240-B,40-17269-B
rainy day	47-39927-S,47-40041-S
rainy season	34-12569-S,67-14184-B,67-41470-S
raise	10-6492-S,10-6755-S,10-52837-S,10-53806-S,16-25016-S,16-26428-S,22-27849-S,26-56571-S,27-12249-S,27-48029-S,28-42698-S,28-43067-B,28-44489-S,29-14096-S,29-14717-S,29-37208-S,31-17771-S,31-20018-S,39-54509-S,43-30742-S,47-64975-B,51-20393-S,53-21415-B,53-26363-S,60-15659-S,69-6846-S,69-7029-S,69-10956-S,69-54069-B
raise a family	69-10809-S
raise a flag	10-53154-S
raise a hand	53-26949-S
raise a lantern	27-65702-S
raise a lantern and fight at night 成语 saw	27-65772-S
raise a large army	27-41131-S
raise a question	44-27087-S
raise a storm	28-10357-S
raise a subject	28-37545-S,28-37925-S
raise a tough question	8-46781-S
raise a tremendous stink	43-15682-S
raise an ill wind	41-11335-S,66-26107-S
raise an issue	28-36446-S,28-37216-S
raise and train	69-45904-S
raise animals	41-52633-S,43-53372-S,43-53551-S,55-4753-S,69-10328-S
raise children	43-18403-S,45-27748-S
raise difficult questions	44-35196-S
raise funds	10-6685-B,48-42202-S,48-42445-S,48-43477-B
raise funds for charity	30-25098-S
raise glasses together	20-51330-S
raise hand	29-22143-S
raise hell	29-8491-S
raise hem of skirt	29-13059-S
raise in both hands	22-50791-S
raise in height	28-10196-S
raise in salary	28-41970-S
raise interest rates	10-53096-S
raise livestock	58-37714-S
raise money	10-6685-B,23-41105-S,48-42801-B,48-43427-S,66-59595-S
raise one s foot	60-52076-B,60-52283-B
raise one s guard	59-860-S
raise one s head	27-12361-S,28-45498-S,31-17771-S,68-28107-B
raise one s head e g of neighing horse	31-18614-S
raise one s spirits	27-70315-S
raise one s wine cup	26-65909-B
raise or lower the price	58-35506-S
raise or lower wages	58-39730-S
raise people s hackles	4-34664-S
raise price	57-27372-B
raise prices	1-55903-S
raise resources	48-43309-S
raise salary	9-59177-B
raise stakes in gambling	9-58566-S
raise the price	28-37107-S
raise the price of commodities	9-58566-S
raise the same old topic again	63-58324-S,63-59111-S
raise the same topic	63-59053-S
raise to a higher level	10-53686-S
raise to the ground	22-42421-S
raise up	16-28091-B,51-67244-S,59-19182-B
raise your hand 成语 saw	70-15112-S
raise 成语 saw	9-53632-S,9-53840-S
raised	26-35657-S
raised bank	16-22455-B
raised by wolves in legends	42-10125-S
raised ground	15-49929-B
raised in a share subscription	66-59661-S
raised path	15-60608-B,66-16536-B
raised path between fields	16-15310-B,34-38081-B,43-46995-B,44-65-B
raised to the nth power	35-20831-B
raises one s queue	51-20623-S
raises the dust 成语 saw	43-15682-S
raisin	54-57943-B
raising	10-2698-S,10-6685-S,69-60946-S
raising any objection	3-41678-S
raising ceremony	10-53220-S
raising the flag 成语 saw	31-3858-S
raising the joined hands	28-44319-S
raisins	54-57887-S
raja sanskrit king of kings	61-29198-S,61-29315-S
rajasthan state in india	27-25743-B
rake	26-40038-B,51-38555-S,51-38590-S,64-18423-S,64-18423-S
rake 成语 saw	5-57061-S
rally	15-28885-S,25-39828-S,46-46107-B
rallying cry	13-9977-S
ram	3-63080-S,29-9729-S,29-47446-S,51-10022-B,51-14560-S,51-14591-S,66-44139-S,66-44251-S
ram computer	7-27662-B
ram e g 2003	50-64123-S
ram earth	28-55091-S
ram male sheep	7-63657-B
ram son of hezron	3-63758-B
ramadan	17-38030-S,52-5436-S,65-44538-S
ramadan muslim month of fasting	71-54614-B
ramallah	27-22099-B
ramayana indian epic	50-58338-S
ramble	24-30701-S,29-65368-B,39-52772-S,62-64359-B
rambutan nephelium lappaceum	49-10688-B
ramen	27-26962-B
ramen pulled noodles with beef	41-48500-B
rameses name of pharoah	27-25101-B
ramie	54-522-B
rammed earth	17-64108-B,48-32245-S
rammed earth a building material	41-45358-B
rammer	35-11075-S
ramming	28-55091-S
ramoche temple	20-65152-B
ramos	27-25330-S
ramp to board a ship or plane	53-37521-B
rampage	35-9861-B
rampant	42-11661-B
rampart	16-30897-B,16-31025-B,16-34196-B
ramrod	48-15129-S,48-15576-S
ran	8-7530-S,68-29393-S
rana city in nordland	29-186-S
ranariddh son of king sihanouk of cambodia	27-25996-S
ranch	17-36024-B,41-51875-B,61-42559-B
rancid	69-19151-B,69-19711-B
rancor	8-13597-B,47-39355-S
random	4-43119-B,66-42940-S,66-43987-B
random access memory	7-27662-B,66-44063-B
random access memory ram	66-44139-B,66-44251-B
random accident	6-21750-B
random interval	66-44609-B
random jottings	30-7490-S,30-9830-B
random number	66-44552-B
random period of time	66-44609-B
random thoughts a literary genre	67-4626-B
randomly	3-26459-S,6-21662-B
randomly run	3-27618-S
rang	47-43886-S
range	2-77220-S,3-4756-S,17-7124-S,18-8143-S,19-31929-S,20-35748-B,20-35748-S,21-29647-S,21-32194-S,21-33915-S,21-40123-S,21-43436-S,21-46287-S,21-49091-S,23-14199-S,45-66842-S,48-30762-B,49-23954-S,51-10739-S,52-29253-S,53-25693-S,57-36996-S,62-23750-S,62-62265-S,65-20498-S,68-5916-S,68-5916-B,68-41742-S,68-41802-S
range across iberia	43-9767-S,43-9870-S
range across north hebei	41-28932-S
range between xinjiang and mongolia	17-46517-S
range breeding livestock or poultry	64-3272-S
range dividing qinghai and gansu provinces	46-51121-S
range geol 	57-9178-S
range golf	50-24649-S
range in afghanistan	53-25586-S
range in hunan on the border with guangdong	3-18873-S
range in north spain dividing asturias from castilla leon	15-49498-S
range in northwest hebei	35-48079-S
range in russia s primorsky krai around vladivostok	51-29349-S
range in russian far east opposite sakhalin island	64-46857-S,64-46972-S,64-47116-S,64-47283-S
range in shaanxi forming natural barrier between guanzhong plain 關中平原 关中平原 and han river 汉水 valley	47-24151-S
range in tianshan mountains	11-8068-S
range in xinjiang	21-43357-S,21-44360-S
range in xinjiang and siberia	66-8313-S
range math 	6-4077-B
range of hills	51-10678-S
range of mountains 成语 saw	21-25215-S,63-58084-S
range of peaks	21-47329-B
range of scales or measuring equipment	64-6246-B
range of south central myanmar burma	9-65200-S
range on the borders of henan	17-7200-S
range on the qinhai tibet plateau	13-50657-S
range raid	18-7404-S
range upon range of mountains 成语 saw	21-25215-B,63-58084-B
range view	62-61216-S
ranges	21-49548-S,39-17075-S,50-12425-S
ranges of hills	21-38821-B,21-48337-B
ranging	50-36957-S,51-66513-S
ranging and profound	11-6990-S
rangoon	4-39684-S,4-39737-S
rangtang place in sichuan	16-35741-S
rank	1-48753-S,2-44733-S,8-13460-S,9-48159-B,9-48258-B,13-28185-S,13-33361-B,13-34368-B,19-43324-S,21-3787-S,42-37529-S,48-17202-B,49-23769-B,49-23812-S,51-68937-B,55-15046-S,58-7260-B,60-55453-B,60-55674-B,61-923-S,61-923-S,66-17672-S,68-39624-S
rank among the best	12-54093-S
rank below general	39-16846-S
rank from a predecessor	26-61876-S
rank growth	50-38150-B
rank in various european states	28-14442-S,28-14560-S
rank name	55-44364-B
rank odor of sheep or goats	51-15177-B,52-50402-B
rank of local governor in tang dynasty administration	50-34248-B
rank or step	66-39519-B
rank or title	8-7822-S
ranke 1795 1886	55-44364-S
ranked officer in chinese army	33-53115-B
ranking	1-13950-S,1-62142-S,2-69475-S,19-42163-S,28-15525-B,28-17934-B,28-17986-S,42-46221-B,70-13276-S,70-19590-S
ranking equally	12-50619-B
ranking military officer	20-37565-S
ranking of names	12-56541-S
ranking officer in chinese army	1-50871-S,2-73709-S,17-22533-S,21-4676-S
ranking official	53-51725-S,62-53193-S,70-19734-S
rankled even after the perpetrator is dead	35-57830-S
ranks	8-35944-S,30-18348-S,38-63670-S,38-65663-S,66-38329-B
ranks as a party cadre	28-38907-S
ranks of cao cao s armies	65-12079-S
ransom	49-55868-S,60-4657-S,60-5011-B
rant	17-10269-S
ranting	36-29813-B
ranunculus	54-8616-B
rao	69-20015-S
raohe place in heilongjiang	69-20176-S
raoping place in guangdong	69-20058-S
raouf arafat al qudwa al husseini 1929 2004	3-63858-S,66-4378-S
raoyang place in hebei	69-20242-S
rap	21-51856-B,30-13759-B
rap session	22-65153-B
rapa	53-65995-S
rapa var rosularis	40-35230-S
rapacious	59-39011-B,59-39278-B
rapacious designs	42-10015-B
rape	18-42940-S,18-43016-B,23-43410-B,23-43451-B,37-22449-S
rape and insult	38-46626-S
rape brassica campestris	37-23486-S,37-23554-S
rape brassica campestris l 	53-62854-B
rape of nanjing documentary book by iris chang 張純如 张纯如	10-66418-S
rapeseed	37-23554-B,54-30008-B
rapeseed plant	53-62854-B
raphael	27-23501-B
raphanus sativus var niger	49-12975-S
rapid	9-55710-S,24-49057-B,24-57691-B,24-60460-B,29-17237-B,57-60842-B,61-44355-B,61-44435-B,62-16599-B
rapid advance	24-59592-B,69-54479-S
rapid decline	25-20541-B
rapid decrease of a swelling	38-32024-B
rapid development	17-7563-B,24-60260-B
rapid expansion	24-49203-B
rapid fire	62-16728-B
rapid flow of water	39-9944-B
rapid growth	24-49203-B,42-11946-B
rapid progress	31-7186-S
rapid promotion to a high post	67-59368-B
rapid spread	61-44485-B
rapid succession	62-22813-S
rapid succession of children	27-68807-S
rapid transit	28-9551-B
rapid turnover	55-18089-S
rapidly	1-22700-B,24-57906-S,31-32184-B,41-43658-S,44-7017-S,46-55891-S,60-49882-S,61-44485-S,68-62011-S,69-53354-S
rapidly after abrupt turn 成语 saw	24-60079-S
rapidly developing situation	69-54479-B
rapidly expanding	30-63941-B
rapidly increasing	40-4744-B
rapids	25-22170-S,40-15975-B,40-16287-S
rapids 成语 saw	47-57091-S
rapist	53-45376-B
rapport	63-37495-B
rapt	42-4151-B
rapt attention	8-27677-S
raptor dinosaur	45-6748-B
rapture	7-40320-B,64-34453-B
rare	1-76382-B,4-16593-S,12-58760-B,21-4455-B,21-4982-B,21-7682-B,22-19583-B,22-20176-B,22-21463-B,42-43016-B,42-43531-B,42-43683-B,42-60818-B,47-6286-B,47-27593-B,47-27728-B,47-28260-B,50-50807-B,50-50834-B,50-50887-B,67-12110-B,70-43034-B
rare and unprecedented event	51-57206-S
rare animal	24-65362-B
rare animals and birds	42-43586-B
rare book	46-52585-S
rare chance of seeing sth beautiful	45-50905-S
rare delicacy	43-62592-B
rare earth chem 	47-27399-B,47-27449-B
rare earth element	47-27521-B
rare earth series	64-43325-S,65-11590-S
rare foodstuff	42-43743-B,42-44113-B
rare gas	47-27894-B
rare japanese place names such as 袮宜町 minorimachi and 袮宜田 minorita	56-52399-S
rare object	21-8479-B
rare occurrence	47-49843-S
rare of steak	1-31178-B
rare opportunity	10-50849-S
rare perfume	43-64089-B
rare person	21-8479-B
rare talent	37-4124-B
rarely	47-27728-B
rarely experience	21-4982-S
rarely have	50-50834-S
rarely seen	18-1699-S,18-1778-B,21-5086-S,43-18346-B,49-47105-B,50-50887-B
rarest type of white blood cell	14-24802-S
raring to go	60-53587-B
rarities from the mountain and the sea 成语 saw	21-31655-B
rarity	21-8479-B,43-62592-B,47-28260-S
rascal	16-34747-B,20-66736-B,40-62222-B,59-62875-S
rash	3-36386-B,5-51640-B,18-32354-B,19-11011-B,29-21098-B,42-5092-B,42-28723-B,44-2738-S,44-6537-B,44-6573-B,44-15719-S,44-65927-S,54-19236-S
rash action	18-33163-S
rash in red patches	49-9692-B
rashly	56-23177-S,61-10659-B
rashly and forcefully	46-25431-B
raspberry	21-32713-B,32-54126-B,55-35267-S
raspberry and blackberry	37-39632-S
raspy	37-14272-B
raster	28-10812-B
raster graphics	4-66419-B
rat	14-40455-S,14-40502-S,14-40637-S,17-42801-B,51-31898-B,71-49351-B,71-50037-S,71-50404-B
rat e g 2008	71-49534-S
rat flea xenopsylla cheopis	11-21828-S
rat in a country shrine	46-50664-S
rat on debts	59-62463-S
rat on sb	26-43233-S
rat s tail	51-31941-S
rat snake	39-30241-S
rat 成语 saw	27-13948-S,27-14086-S
rate	3-40309-S,6-41148-S,6-41466-S,6-58305-S,6-59667-S,9-6803-S,10-19562-S,10-37693-S,10-38897-S,16-27976-S,17-66205-S,19-8264-S,19-8264-S,21-10146-S,22-47848-S,26-12474-S,27-9455-S,27-56517-S,28-21504-S,35-21386-S,35-56429-S,36-11353-B,38-7120-S,38-7120-B,42-28687-B,43-29146-S,44-31865-S,48-19133-B,52-1570-S,59-7132-S,59-48457-S,61-18723-S,62-12298-S,62-16771-B,62-17064-B,63-441-S,68-19900-S,68-39624-S
rate as in isdn	16-817-S
rate during the same month last year	12-48451-S
rate econ 	16-27751-S
rate frame relay	49-5052-S
rate of consumption	38-31815-B
rate of exchange	36-9438-B
rate of growth	22-47904-S
rate of heartbeat	24-34874-B
rate of occurrence	44-31739-B
rate of traffic flow	60-59324-B
rate of work	9-49477-B
rate person	3-41350-S
ratemeter	57-58734-B
rates	9-7391-S,10-53096-S,66-17128-S
rates tax	15-43845-B
rather	20-16437-B,20-16521-B,20-16690-S,20-20459-S,24-64394-B,32-29346-B,36-12162-B,43-55644-B,51-35310-B,61-27153-S,68-33173-B,68-33263-B
rather 	20-19358-S
rather agree to x than y	25-16073-S
rather complicated	2-24199-B
rather die than submit 成语 saw	20-17906-B
rather good	27-71150-B
rather like	4-62734-B
rather than admiring fish	52-60230-B
rather than good	32-31696-S
rather than governments	36-23351-S
rather than ride	19-30227-S
rather than sb else	11-50999-S
rather than take way at fast food store	22-61528-S
ratify	26-56920-S,57-28945-S,57-29018-S,61-59979-S
rating	5-45512-S,29-38376-S,61-33174-S
ratings	29-42663-B
ratio	5-43134-S,9-29084-S,9-29084-S,11-50879-S,15-22992-S,16-33677-S,19-8090-S,22-13168-S,24-61371-S,28-21255-S,35-37685-S,36-8397-B,36-9385-B,36-10351-S,36-11353-B,52-10166-S,58-5800-S,71-24048-S
ratio i e product of two ratios	57-6005-S
ratio of inertial forces to viscous forces in fluid mechanics	67-23909-S
ratio pi	62-27081-S
ratio pi 3 1415926	38-350-S
ration	11-69054-B,19-48229-B,69-18782-S
ration cards	3-71048-S
ration merchandise esp food in times of shortages	63-37717-S
rational	12-35711-B,42-54802-B
rational and clearly structured of text	68-26054-B
rational knowledge	42-55017-B
rational learning	42-53868-B
rational number i e fraction of two integers	32-36431-B
rationale	12-35873-B
rationalism	42-54863-B
rationalism or neo confucianism 理學 理学	42-53918-S
rationalist or follower of rationalism or neo confucianism 理學 理学	42-53918-B
rationality	12-35873-B,42-54802-B,42-55380-B
rationalization	12-35767-B
rationalize	12-35767-S
rationally	37-13185-S,56-39708-S
rations and fodder	49-392-B
ratios	57-6005-S
ratitae formerly cursores flightless birds such as ostriches	60-13046-B
ratnasambhava buddha	20-30200-B
rats	14-40571-S
rats leave a sinking ship	34-60376-B
rats 成语 saw	50-58184-S,50-62628-S
rattan	48-43699-B,55-32918-B
rattle	29-2929-S,33-45108-S,34-12628-S,44-27209-B,67-50190-S
rattle drum	29-12476-B
rattle stick dance	67-49778-B
rattle stick used in folk dancing	67-49778-S
rattle used by peddlers or as a toy	29-12476-S
ratzinger german surname of pope benedictus xvi	27-26659-B
raucous	48-49045-B,51-43960-B,51-44064-B
ravage	28-65149-B,28-65210-S,60-49123-B
ravaged by successive wars	8-2745-B
rave	24-52338-B,58-22943-S
raven	17-26693-S,40-39798-B
ravenclaw	27-23350-S
ravenna on the adriatic coast of italy	27-23420-B
ravenous beast	59-26887-B
ravenously	14-31660-S,42-9630-S
ravine	21-40815-B,21-49367-B,38-51713-B,39-18218-B,66-41651-B
ravine like flat ground	21-26653-S
raving	42-5023-B
ravings	17-2216-S
ravioli	69-5011-S,69-17711-S,69-18411-S
raw	8-24150-S,11-30177-B,52-32049-S
raw fresh vegetables	43-29333-B
raw hide	43-28109-B
raw material	11-33366-B,38-1109-S,64-40372-S
raw material prepared by boiling in soap	41-16072-S
raw materials	11-33605-B,11-34398-B
raw meat	43-28923-B
raw meat and fowl of savages	54-12666-S
raw recruit	30-48928-B
raw rice is now cooked 成语 saw	43-28366-S,43-28618-S
raw silk	39-9042-S,49-56093-B
ray	2-44664-S,6-3506-S,6-3506-S,7-6723-B,7-8363-S,7-11891-S,7-11992-B,19-20644-S,19-20791-S,20-35909-B,25-32870-S,25-32870-S,49-9063-S,49-9112-S,49-28148-S,49-28261-S,49-28332-S,55-28364-S,55-28364-S,62-1206-S,70-43852-S
ray computed tomography microct	24-21140-S
ray detector	4-64195-S
ray disc format	55-28307-S
ray disk	55-28416-S
ray electron stream from radioactive decay	3-16555-S
ray fish	70-39529-B,70-39563-B,70-46463-B
ray photo	41-8357-S
ray radiation	25-32955-S
ray tube	66-24581-S
raya muslim day of celebration after ramadan	65-44538-S
rayl acoustical unit	42-61325-B
raymond	67-23707-S
raymond burghard 1945 	55-19320-B
rayon	4-17039-B
rays	4-64130-S,7-12996-S,61-4252-S
rays of light	7-12996-B
raze the fields 成语 saw	16-3723-S
raze to the ground	17-68602-S,17-68922-S,64-57424-S
razor	9-9156-B,9-16069-B
razor clam	56-19251-B
razor etc	34-45843-S
rb	64-32371-S
rcmp	44-61482-S
re	8-8067-B,14-55184-B,63-59810-B,64-49507-S
re ahead	62-64661-S
re assess	63-60270-S
re dead	35-25284-S
re doing	62-40561-S
re education	29-55557-S
re enters	8-8410-B
re evaluation	63-60270-S
re examination	63-60010-S
re heat	63-59865-S
re hire retired personnel	11-52507-S
re inspection	24-14650-B
re investigate	63-57908-S
re occuring disease	16-60638-S
re on	5-63538-B
re rich or famous	34-60695-S
re too lenient with sb	69-12555-S,69-12695-S
re welcome	2-5650-S,2-19053-S,9-3489-S
re welcome that is	2-18977-S
reach	9-10192-S,11-42280-S,12-17357-S,12-17417-S,13-56746-S,17-2140-S,20-35748-B,21-50920-S,23-64862-S,26-27765-S,27-14313-S,37-52595-S,39-9574-S,45-59141-S,53-21008-S,55-9996-B,61-47914-S,62-33498-B,62-52372-B,62-52544-S,62-52737-S
reach a conclusion	49-44635-B
reach a conclusion after weighing a matter	53-3894-S
reach a critical point	17-38141-B
reach a deal	26-7549-S
reach a decision	41-327-S
reach a decision 成语 saw	54-26244-S
reach a destination	27-15436-B
reach a given price at auction	27-29187-S
reach a set standard	62-54175-S
reach a verdict	19-46158-S
reach an agreement	10-64495-B,62-53513-S
reach an end	13-9456-B
reach an understanding	58-43855-B
reach as far as	26-27765-S
reach for with hand	10-12436-S
reach full time	39-42022-S
reach marriageable age a girl s fifteenth birthday	11-42687-S
reach one s aim	61-31367-S
reach perfection 成语 saw	8-43371-S
reach the great wall	1-72640-S
reach the tip and try 成语 saw	11-42837-S
reach to	28-51615-B,31-64600-B,70-47136-B
reach up to	70-22885-B
reach 成语 saw	68-9087-S
reached in an auction	26-7624-S
reached the city gates	8-2245-S
reaches	1-56530-S,1-63487-S,39-8323-S
reaches of changjiang	36-57963-S
reaches of the liaohe river	18-6031-S
reaches of the solar system	22-67113-S
reaches one s goal	1-72767-S
reaches the yellow river 成语 saw	1-72767-S
reaches to the rainbow	36-30814-S
reaching	1-72558-S,21-33595-S
reaching a certain temperature	41-26189-S
reaching ambition	62-60835-S
reaching heaven in a single bound 成语 saw	1-13126-B
react	11-48414-S,52-1213-S
react instantly	1-69119-S
react resourcefully	24-57268-S
react to an emergency	28-62535-S
reactance	67-30802-B
reaction	6-30458-S,10-21491-S,11-44078-S,11-45180-B,11-48414-B,11-48414-S,11-48737-S,11-56267-B,24-34983-S,25-41717-B,29-52259-S,33-56066-S,33-62944-S,36-39584-S,41-19742-S,61-66287-S,61-66287-S,62-25749-S,62-45612-S,62-45689-S,62-45864-S,62-45864-S,64-55969-S
reaction between mother and fetus	39-24544-S
