bǐ gān sài	36-10870-B
bǐ lǜ	22-41182-S,36-11353-B,52-10166-S
bǐ mào	48-14897-B
bǐ míng	48-14655-B
bǐ mò	21-24292-S,48-14707-B
bǐ mù yú	17-23577-S,36-11458-B
bǐ mǒ shā	1-16717-S
bǐ nán shān	16-38864-S
bǐ ní	5-51274-B
bǐ nǐ	36-10527-B
bǐ qián	48-16911-B
bǐ qiū	36-8908-B
bǐ qiū ní	36-8982-B
bǐ qì	63-32112-B
bǐ qǐ	36-12117-B
bǐ ràng	66-6741-S
bǐ rè	36-11130-B
bǐ rén	63-31841-B
bǐ róng	36-10415-B
bǐ rú	36-10287-B
bǐ shàng bù zú bǐ xià yǒu yú	36-8681-B
bǐ shào	22-57184-S,36-11579-B
bǐ shì	36-11859-B,43-61942-S,48-16411-B,63-32209-B,66-1611-S
bǐ shí kǎi kè	36-9102-B
bǐ shù liè	48-18809-S
bǐ shùn	48-16962-B
bǐ shī	36-11009-B
bǐ shū	52-38459-S
bǐ shū rù fǎ	3-52764-S
bǐ shǐ	5-51221-B
bǐ shǒu	10-20531-B
bǐ suàn	48-15718-B
bǐ suǒ	36-11517-B
bǐ sà	36-11768-B
bǐ sà bǐng	36-11810-B
bǐ sài	36-11969-B,60-39755-S
bǐ sài chǎng	36-12032-B
bǐ sè	20-51934-S
bǐ sè fēn xī	36-11694-B
bǐ sè fǎ	10-22795-S
bǐ sú	63-31895-B
bǐ sī	22-60563-S
bǐ sī kāi	36-10694-B
bǐ sī mài	5-51329-B
bǐ sī tè	36-10616-B
bǐ tuǒ	22-7926-S
bǐ tuǒ nà	26-5366-S
bǐ tào	48-14764-B
bǐ tán	48-16567-B
bǐ tè	2-43022-S
bǐ tè rén	67-42883-S
bǐ tóu	48-17041-B
bǐ tǐng	48-15129-B
bǐ tǒng	48-15661-B
bǐ wéi jiān	32-42151-S
bǐ wò chuò	10-62808-S
bǐ wù	48-16463-B
bǐ wēi lì	36-10351-B
bǐ wēn dù	20-51709-S
bǐ wǔ	69-31711-S
bǐ xià	48-14170-B
bǐ xià yǒu yú	36-8681-S
bǐ xí	54-40214-S
bǐ xī	54-40164-S
bǐ xī ní yà	66-6580-S
bǐ xī ní yà rén	66-6650-S
bǐ xīn	48-15005-B
bǐ yi bǐ	36-8597-B
bǐ yà	1-72182-S,9-7066-S,9-62124-S,13-42429-S,15-57859-S,18-46884-S,21-35499-S,36-9067-B,49-17363-S,54-3061-S,54-22058-S,60-3722-S
bǐ yà dà xué	13-42512-S
bǐ yà guǎng bō gōng sī	13-42605-S
bǐ yà shěng	1-72284-S
bǐ yì	36-11646-B,48-16642-B
bǐ yí	63-32052-B
bǐ yù	3-60448-S,17-32048-S,36-10025-B,57-60042-S
bǐ yī shí cǐ yī shí	23-60704-B
bǐ yǒu	48-14615-B
bǐ zhàn	48-15079-B
bǐ zhào	36-11059-B
bǐ zhí	36-9385-B,48-15576-B
bǐ zhòng	36-12679-B
bǐ zhòng jì	37-41106-S
bǐ zhě	48-15791-B
bǐ zhī jǐ	45-63445-S
bǐ zhōng diǎn gèng měi	62-47875-S
bǐ zhōng diǎn gèng yǒu yì yì	60-41196-S
bǐ zhōu	20-5567-S
bǐ zi	47-22027-B
bǐ zì xíng	3-52408-S,3-52529-S
bǐ àn	23-60796-B
bǐ āi zī bā bó	36-10103-B
bǐ ěr	36-11175-B
bǐ ěr bó	36-11298-B
bǐ ěr · gài cí	36-11218-B
bǐng	2-43444-B,7-63253-S,14-57062-S,17-41196-S,21-20969-B,23-56544-S,24-66624-B,26-34136-S,26-65755-S,28-8338-S,29-55779-S,30-66410-S,31-36534-S,31-38633-B,32-4773-S,32-29138-S,33-38108-S,33-40537-B,33-51750-S,35-18915-S,36-11810-S,37-23033-S,37-23895-S,37-49286-S,39-62159-S,40-30761-B,40-31194-S,40-42590-S,45-86-S,45-49507-S,45-62434-S,47-13621-B,47-31500-B,48-4737-S,48-41056-S,49-49022-B,51-42894-S,52-7024-S,53-51916-S,54-596-B,55-19145-S,55-20402-S,55-21538-S,55-43539-S,63-19686-B,64-25147-B,64-43715-S,65-5362-S,68-4196-S,68-7989-B,68-51922-S,69-9911-B,69-17996-S,69-18094-S,70-27556-S,70-38724-S,71-24830-S
bǐng bào	47-31637-B
bǐng bǐ	47-14119-B
bǐng chén	2-44894-B
bǐng chéng	47-13937-B
bǐng chí	47-14065-B
bǐng chú	21-21786-B
bǐng chún	2-45117-B,3-40025-S
bǐng chēng	69-10132-B
bǐng děng	2-44733-B
bǐng dīng	4-26987-S
bǐng féi	69-10082-B
bǐng fù	47-31756-B
bǐng gào	47-31576-B
bǐng gān	25-39584-S,55-39068-S,69-9969-B
bǐng gōng	47-13686-B
bǐng gōng bàn lǐ	47-13740-B
bǐng huáng suān nà	3-39908-S
bǐng jī	2-43902-B
bǐng lín	47-63855-S
bǐng lún	2-44840-B
bǐng mí	2-45183-B,3-37584-S
bǐng qián chéng	1-16116-S
bǐng quán	2-45231-B
bǐng qì	21-21458-B
bǐng shēn	2-44587-B
bǐng suān	43-59956-S
bǐng sān chún	2-43558-B
bǐng tóng	2-44970-B,20-51991-S
bǐng tóng suān tuō qīng méi	2-45013-B
bǐng wán	2-44545-B
bǐng wǔ	2-43701-B
bǐng xìng	47-13856-B,47-31701-B
bǐng xìng nán yí	36-59048-S
bǐng xíng	2-43775-B
bǐng xíng gān yán	2-43833-B
bǐng xī	2-44239-B,21-21269-B,51-53333-S
bǐng xī jīng	2-44287-B
bǐng xī quán	2-44482-B
bǐng xī suān	2-44347-B
bǐng xī suān zhǐ	2-44412-B
bǐng xū	2-44104-B
bǐng yín	2-44035-B
bǐng zhǒng shè xiàn	2-44664-B
bǐng zi	69-10026-B
bǐng zuàn	32-4819-S
bǐng zǐ	2-43962-B
bǐng èr chún	2-43629-B
bǐng èr tài zhǐ	17-44266-S
bǐng ān suān	2-44180-B,54-717-S
bǐng ěr	69-10179-B
bǒ	48-39776-B,60-36928-B,68-46489-S
bǒ dàng	48-39970-B
bǒ yáng	48-39853-B
bǒ zi	60-36963-B
bǒ zú	60-37013-B
bǔ	2-18131-S,3-46333-S,5-49094-S,5-62751-S,9-24666-S,11-10886-B,11-11883-B,11-12248-S,13-57-S,13-48160-B,14-26362-S,16-22101-S,16-27508-S,23-51834-S,25-23230-S,27-194-S,27-31722-S,27-38657-S,28-4752-B,28-56184-S,28-60860-S,30-64868-S,32-18116-S,32-56797-S,39-27643-S,40-61403-S,41-21715-S,50-18049-S,50-27298-S,56-51985-S,56-56409-B,57-23010-S,61-57669-S,61-59491-S,62-26483-S,63-49513-S,68-28665-S,71-41922-S
bǔ bào	56-57229-B
bǔ bái	56-58019-B
bǔ chuāng	27-67201-S
bǔ chán	56-13419-S
bǔ cháng	56-56675-B
bǔ chóng yè	28-5414-B
bǔ chōng	56-56728-B
bǔ chōng liàng	56-56971-B
bǔ chōng pǐn	56-56828-B
bǔ chōng yī liáo	56-56892-B
bǔ cí	11-11642-B
bǔ duǎn	11-59061-S
bǔ dù lā	65-68417-S,65-68483-S
bǔ dēng	56-57798-B
bǔ dēng jī	56-57872-B
bǔ dīng	56-56506-B
bǔ fú	28-4811-B
bǔ fā	56-57938-B
bǔ fēn	11-11915-B
bǔ fēng zhuō yǐng	28-5521-B
bǔ fǎ	56-57428-B
bǔ guà	11-11015-B
bǔ gǔ	11-11771-B
bǔ huò	28-5191-B
bǔ huā	56-59184-B
bǔ hén jǐn	61-57743-S
bǔ jiàng	5-49131-S
bǔ jiù	56-57336-B
bǔ jiǎ	11-11487-B
bǔ jiǎo	56-59373-B
bǔ jīng	28-5822-B
bǔ jīng chuán	28-5863-B
bǔ jū	11-11298-B
bǔ jǐ	56-58507-B
bǔ kè	11-11584-B,56-59468-B
bǔ kǎo	56-58955-B
bǔ liè	28-5252-B
bǔ láo	3-66287-S
bǔ lèng sì	27-21567-S
bǔ lín	11-11964-B
bǔ lú	56-57693-B
bǔ lā xīn	31-27342-S
bǔ lāo	28-5049-B
bǔ lǔ yán	28-5355-B
bǔ miáo	56-59225-B
bǔ mǎ	56-58131-B
bǔ ná	28-4935-B
bǔ piào	56-58219-B
bǔ piào chù	56-58291-B
bǔ piān jiù bì	56-56545-B
bǔ pèi duì	71-5050-S
bǔ pǐn	56-57191-B
bǔ quē	27-54374-S,56-58599-B,56-60043-B
bǔ quē shí yí	56-58698-B,56-60108-B
bǔ qín rén	28-5292-B
bǔ rǔ	13-48186-B
bǔ rǔ dòng wù	13-48242-B
bǔ rǔ gāng	13-48302-B
bǔ rǔ lèi	13-48354-B
bǔ rǔ lèi dòng wù	13-48443-B
bǔ shuì	56-58375-B
bǔ shì	11-11541-B
bǔ shí	28-5694-B
bǔ shù	56-57375-B
bǔ shā	28-5125-B
bǔ shēng	31-27473-S
bǔ shǒu	28-4894-B
bǔ shǔ qì	28-5930-B
bǔ sè	56-59133-B
bǔ tiē	56-59546-B
bǔ tóu	17-18972-S,28-5479-B
bǔ tāi	56-59007-B
bǔ tāi piàn	56-59056-B
bǔ tǐ	56-60290-B
bǔ wèn	11-11092-B
bǔ xiè	56-57611-B
bǔ xiān zhī	32-56873-S
bǔ xuè	56-59324-B
bǔ xuǎn	56-59958-B
bǔ xí	56-58790-B
bǔ xí bān	56-58890-B
bǔ xī	27-19237-S
bǔ xī qiáng	27-19042-S
bǔ yào	56-59286-B
bǔ yá	56-57733-B
bǔ yè	11-11411-S,56-57565-B
bǔ yì	56-58087-B
bǔ yí	56-60003-B
bǔ yù	13-48515-B
bǔ yú	28-5775-B
bǔ yǎng	13-48566-B,56-60200-B
bǔ yǔ	56-59426-B
bǔ zhuì	56-58545-B
bǔ zhuō	28-4987-B
bǔ zhái	11-11171-B
bǔ zhòng	56-58452-B
bǔ zhòu bǔ yè	11-11411-B
bǔ zhù	56-57052-B
bǔ zhù zǔ zhī	56-57114-B
bǔ zhān	11-10937-B
bǔ zhēng	11-11346-B
bǔ zú	56-59596-B
bǔ zú wù	56-59690-B
bǔ zú yīn chéng	56-59765-B
bǔ zú é	56-59889-B
ca	14-1891-S,27-68448-S,29-1015-S,29-25752-B,33-29870-S,35-6352-S,35-6403-S,46-39475-S,46-43678-B
ca bang qiu	29-26260-B
ca bian qiu	29-26644-B
ca chuang r	46-43769-B
ca diao	29-26222-B
ca gan	29-25844-B
ca hei er	29-26751-B
ca jian er guo	29-26557-B
ca li	29-1055-S
ca liang	29-25888-B
ca liang yan jing	29-25932-B
ca r	33-29920-S
ca shang	29-26047-B
ca shi	29-26176-B
ca wan bu	29-26441-B
ca wang qiu	29-26504-B
ca xi	29-26313-B
ca xie	12-13953-S,29-26135-B
ca xie ke bian cheng zhi du cun chu qi	12-14004-S
ca yin	14-5021-S,29-26709-B
ca zao	29-26356-B
ca zu li	29-1105-S
ca1	14-1891-S,27-68448-S,29-1015-S,29-25752-B,33-29870-S,35-6352-S,35-6403-S,46-39475-S
ca1 bang4 qiu2	29-26260-B
ca1 bian1 qiu2	29-26644-B
ca1 diao4	29-26222-B
ca1 gan1	29-25844-B
ca1 hei1 er5	29-26751-B
ca1 jian1 er2 guo4	29-26557-B
ca1 li4	29-1055-S
ca1 liang4	29-25888-B
ca1 liang4 yan3 jing1	29-25932-B
ca1 r5	33-29920-S
ca1 shang1	29-26047-B
ca1 shi4	29-26176-B
ca1 wan3 bu4	29-26441-B
ca1 wang3 qiu2	29-26504-B
ca1 xi3	29-26313-B
ca1 xie3	12-13953-S,29-26135-B
ca1 xie3 ke3 bian1 cheng2 zhi1 du2 cun2 chu3 qi4	12-14004-S
ca1 yin1	14-5021-S,29-26709-B
ca1 zao3	29-26356-B
ca1 zu3 li4	29-1105-S
ca3	46-43678-B
ca3 chuang2 r5	46-43769-B
cai	1-55249-S,1-55293-S,2-25303-S,2-63668-S,2-71007-S,4-4436-S,4-9911-S,4-10590-S,4-14809-S,4-14927-S,4-15763-S,4-19693-S,4-26250-S,4-41069-S,5-56104-S,7-8816-S,7-36774-S,7-57468-S,7-66798-S,9-3200-S,9-11896-S,9-28640-S,9-29841-S,9-30778-S,9-31348-S,9-33435-S,11-7134-S,11-7561-S,11-68094-S,12-58153-S,13-23701-S,14-10110-S,14-10311-S,14-10683-S,14-35188-S,14-55541-S,15-12827-S,15-23453-S,15-64442-B,16-15144-S,16-38674-S,16-55646-S,16-56285-S,16-57692-S,16-57827-S,17-28695-S,17-45840-S,17-47246-S,18-742-S,18-58915-S,19-61981-S,20-670-B,20-7956-S,20-39715-S,20-68276-S,21-0-S,21-13509-S,21-29523-S,21-50374-S,22-52409-S,22-52506-S,23-3831-S,23-40655-S,23-55869-B,23-62670-S,24-26652-S,24-34237-S,25-3836-S,25-37973-S,26-37150-B,27-55137-S,28-7816-S,28-20658-B,30-3149-S,30-24895-S,30-56196-S,32-53076-S,33-7003-B,34-24693-S,34-26482-S,34-40262-S,35-10145-S,35-25284-S,35-65359-S,36-46073-S,37-11378-S,37-11464-S,37-23486-S,37-37253-S,37-51578-S,37-51942-S,37-52302-S,39-12576-S,39-37240-S,40-29040-S,40-29090-S,40-35230-S,40-56780-S,40-59150-S,40-59265-S,41-16513-S,41-33075-S,41-48342-S,41-48674-S,42-12401-B,42-18392-S,42-21442-S,42-56241-S,42-56823-S,43-15290-S,43-17387-S,43-29333-S,43-57739-S,43-60974-S,44-30442-S,44-34284-S,44-38518-S,44-45122-S,45-57149-B,46-9844-S,46-20325-S,46-61894-S,47-11399-S,47-11399-S,47-15942-S,47-46922-S,48-51889-S,48-53214-S,49-11432-S,49-25082-S,49-25154-S,49-41371-S,50-11243-B,50-35600-S,50-46768-B,53-4812-S,53-41777-S,53-44612-S,53-52516-S,53-55691-S,53-57763-S,53-60297-S,53-63250-S,54-6159-S,54-29482-B,54-30744-S,54-33942-S,54-60826-S,54-61349-S,55-6453-S,55-9521-S,55-13351-S,55-17441-S,55-34181-S,56-21721-S,56-52966-B,58-62432-S,59-17641-S,59-20228-S,59-20682-S,59-22108-S,59-32684-B,59-39679-S,59-58222-S,60-45956-B,60-48114-B,60-56511-S,60-56804-S,61-37485-S,63-12109-S,63-45335-S,63-52275-B,63-52312-B,64-16078-S,64-40372-S,64-44995-S,65-36055-S,66-58435-S,67-18274-S,67-18274-S,67-35371-S,67-57695-S,67-57835-S,68-13659-S,68-43047-S,68-54836-S,68-57782-S,69-5670-S,69-30269-S,70-9788-S,70-41259-S,71-4351-S,71-41803-S
cai ban	28-22628-B
cai bang	23-56244-B
cai bao	59-33210-B
cai bi	9-29084-S
cai bin fen	3-50545-S
cai bing	56-53052-B
cai bo	59-33263-B
cai bu luo lei	2-28312-S
cai bu yu	26-590-S
cai ce	42-12680-B
cai chan	7-56497-S,47-12827-S,59-33880-B
cai chan gong zheng	18-53337-S,59-33923-B
cai chan quan	59-34004-B
cai chang	28-21078-B
cai che	56-53491-B
cai chu	28-20836-B
cai da lu:e	66-53249-S
cai dan	54-29545-B
cai dan tiao	54-29583-B
cai di	54-29778-B
cai dian	23-56310-B
cai dian shi	23-56353-B
cai ding	56-53450-B
cai dong	59-33603-B
cai du	42-12432-B
cai duan	56-53533-B
cai duo	56-53397-B
cai duo mu	7-8887-S
cai duo yi	16-57758-S
cai fa	28-20738-B,59-34359-B
cai fang	28-22246-B
cai fang ji zhe	28-22341-B
cai fei yang	46-62079-S
cai feng	28-22859-B,56-53841-B
cai feng shi	18-22366-S,56-53893-B
cai fu	26-45192-S,59-33164-B,61-54221-S
cai gan	26-37630-B,32-33839-S
cai gou	28-22465-B
cai gou yuan	28-22556-B
cai guang	28-20779-B,58-62127-S
cai guo	28-21356-B
cai hai ming	58-51814-S
cai hong	23-56202-B
cai hua	9-1737-S,18-24113-S,23-56041-B,26-38226-B,34-26523-S,36-41001-S,54-30186-B,68-13711-S
cai hua chu zhong	26-38287-B
cai hua gai shi	26-38512-B
cai hua heng yi	26-38405-B
cai ji	28-22795-B,33-7253-B,42-12489-B
cai jian	56-53287-B,56-53640-B
cai jian bei	24-26725-S
cai jian jun bei	56-53706-B
cai jian wen wu	26-37237-B
cai jin	36-22525-S
cai jin bao	27-43713-S
cai jing	59-34118-B
cai jing ji tuan	10-38385-S
cai jing xin wen	5-43280-S
cai jue	28-21119-B,56-53587-B
cai jun	56-53945-B
cai kuai	59-33546-B
cai kuang	28-21872-B
cai kuang ye	28-21914-B
cai lan zeng shao	28-22108-B
cai li	59-32797-B,59-32854-B
cai li fo	55-11975-B
cai liang kong	4-16429-S
cai liao	11-33605-S,12-16349-S,23-22274-S,29-50185-S,29-50915-S,33-7056-B,33-58940-S,35-45046-S,43-24969-S,56-54899-S,57-5321-S,66-40614-S
cai liao ke xue	33-7180-B
cai liao xue	33-7118-B
cai lie	53-26121-S,53-26242-S
cai lu	28-22744-B
cai lu yong	64-5925-S
cai lu:e	26-37964-B
cai mai	28-22419-B
cai mao	59-34174-B
cai mao shuang quan	26-38859-B
cai mei	28-21623-B
cai mi	59-34225-B
cai mi er	42-12802-B
cai mian ji	28-21403-B
cai na	28-22017-B
cai neng	26-38168-B,46-47004-S
cai niao	54-30478-B
cai niu	54-29884-B
cai nong	54-30427-B
cai nu: mao	43-46166-S
cai nuan	28-21314-B
cai pai	23-55947-B
cai pan	56-53105-B
cai pan guan	56-53236-B
cai pan yuan	56-53183-B
cai piao	23-56089-B
cai pu	54-29665-B,54-30358-B
cai qi	23-55996-B,26-37797-B,54-29946-B
cai qi guo ren	26-37845-B
cai qi yi	57-31255-S
cai qu	28-20941-B
cai qu cuo shi	28-21005-B
cai quan	42-12618-B,59-33658-B
cai ru	54-30231-B
cai se	23-56150-B,45-41797-S,54-30065-B
cai se xian hua	49-61894-S
cai shen	59-34066-B
cai sheng	63-52362-B
cai shi	26-38686-B
cai shi chang	28-21809-B,54-29826-B
cai shi guo ren	26-38739-B
cai shi jiao	14-60739-S
cai shi xue	45-42521-S
cai shou lu:	28-21255-B
cai shu	54-30287-B
cai shu xue qian	26-38019-B
cai shui	60-48182-B
cai si	26-37682-B
cai ta	60-48290-B
cai tai	49-29646-S
cai tian	61-37529-S
cai ting	21-50426-S
cai tuan	59-33114-B
cai wai liu	4-10097-S,26-37345-B
cai wu	59-32906-B,59-33828-B
cai wu mi shu	59-32956-B
cai wu ruan jian	59-33019-B
cai xian	60-48228-B
cai xiang	13-43080-S,42-12550-B
cai xiao yong	17-18573-S,17-21856-S
cai xue	26-37565-B,42-56884-S
cai yang	28-21461-B
cai yang lu:	28-21504-B
cai ye	69-30323-S
cai yi	28-22698-B,42-12737-B,45-32464-S,64-6912-S
cai yi ji neng	26-38625-B
cai yi yi	46-61946-S
cai yong	28-21749-B
cai you	28-21562-B
cai you dao	43-29895-S
cai yuan	54-29727-B,56-53329-B,59-33756-B
cai ze	28-21206-B
cai zhai	28-21161-B
cai zhang	59-34277-B
cai zhang yi	44-3099-S
cai zhe	42-21487-S
cai zheng	59-33308-B
cai zheng bu	59-33481-B
cai zheng nian du	59-33371-B
cai zhi	26-37745-B,28-20888-B,28-22062-B
cai zhi ji	56-53777-B
cai zhong	28-21966-B
cai zhong yi	44-3174-S
cai zhu	28-21697-B,59-32745-B
cai zi	26-37401-B,36-58106-S,37-23554-S,53-52575-S,54-30008-B
cai zi jia ren	26-37448-B
cai zun xian	58-62485-S
cai1	18-58915-S,40-56780-S,42-12401-B
cai1 ce4	42-12680-B
cai1 du4	42-12432-B
cai1 ji4	42-12489-B
cai1 mi2 er5	42-12802-B
cai1 quan2	42-12618-B
cai1 xiang3	13-43080-S,42-12550-B
cai1 yi2	42-12737-B
cai2	2-25303-S,4-9911-S,4-10590-S,4-14809-S,4-14927-S,4-15763-S,4-26250-S,4-41069-S,7-36774-S,7-57468-S,9-3200-S,9-11896-S,9-28640-S,9-31348-S,9-33435-S,11-7134-S,11-68094-S,13-23701-S,14-35188-S,15-23453-S,16-38674-S,16-56285-S,16-57692-S,17-45840-S,17-47246-S,18-742-S,20-39715-S,22-52409-S,22-52506-S,23-3831-S,24-26652-S,24-34237-S,25-3836-S,25-37973-S,26-37150-B,30-3149-S,30-24895-S,32-53076-S,33-7003-B,34-24693-S,35-10145-S,35-65359-S,42-18392-S,42-21442-S,42-56823-S,44-30442-S,44-34284-S,46-20325-S,49-25082-S,50-35600-S,50-46768-B,53-4812-S,53-41777-S,54-6159-S,55-34181-S,56-21721-S,56-52966-B,58-62432-S,59-32684-B,59-39679-S,59-58222-S,60-56511-S,60-56804-S,61-37485-S,63-12109-S,64-40372-S,64-44995-S,66-58435-S,67-35371-S,68-43047-S,70-9788-S
cai2 bao3	59-33210-B
cai2 bing4	56-53052-B
cai2 bo2	59-33263-B
cai2 bu4 luo4 lei4	2-28312-S
cai2 bu4 yu4	26-590-S
cai2 chan3	7-56497-S,47-12827-S,59-33880-B
cai2 chan3 gong1 zheng4	18-53337-S,59-33923-B
cai2 chan3 quan2	59-34004-B
cai2 che4	56-53491-B
cai2 da4 lu:e4	66-53249-S
cai2 ding4	56-53450-B
cai2 dong1	59-33603-B
cai2 duan4	56-53533-B
cai2 duo1 yi4	16-57758-S
cai2 duo2	56-53397-B
cai2 fa2	59-34359-B
cai2 feng2	56-53841-B
cai2 feng4 shi1	56-53893-B
cai2 feng5 shi1	18-22366-S
cai2 fu4	26-45192-S,59-33164-B
cai2 gan4	26-37630-B,32-33839-S
cai2 guang3	58-62127-S
cai2 hai4 ming4	58-51814-S
cai2 hua2	9-1737-S,26-38226-B
cai2 hua2 chu1 zhong4	26-38287-B
cai2 hua2 gai4 shi4	26-38512-B
cai2 hua2 heng2 yi4	26-38405-B
cai2 ji1	33-7253-B
cai2 jian1 bei4	24-26725-S
cai2 jian1 wen2 wu3	26-37237-B
cai2 jian3	56-53287-B,56-53640-B
cai2 jian3 jun1 bei4	56-53706-B
cai2 jin4	36-22525-S
cai2 jin4 bao3	27-43713-S
cai2 jing1	59-34118-B
cai2 jing1 ji2 tuan2	10-38385-S
cai2 jing1 xin1 wen2	5-43280-S
cai2 jue2	56-53587-B
cai2 jun1	56-53945-B
cai2 kuai4	59-33546-B
cai2 li4	59-32797-B,59-32854-B
cai2 liang3 kong1	4-16429-S
cai2 liao4	11-33605-S,12-16349-S,23-22274-S,29-50185-S,29-50915-S,33-7056-B,33-58940-S,35-45046-S,43-24969-S,56-54899-S,57-5321-S,66-40614-S
cai2 liao4 ke1 xue2	33-7180-B
cai2 liao4 xue2	33-7118-B
cai2 lu4 yong4	64-5925-S
cai2 lu:e4	26-37964-B
cai2 mao4	59-34174-B
cai2 mao4 shuang1 quan2	26-38859-B
cai2 mi2	59-34225-B
cai2 neng2	26-38168-B,46-47004-S
cai2 nu:3 mao4	43-46166-S
cai2 pan4	56-53105-B
cai2 pan4 guan1	56-53236-B
cai2 pan4 yuan2	56-53183-B
cai2 qi3 yi4	57-31255-S
cai2 qi4	26-37797-B
cai2 qi4 guo4 ren2	26-37845-B
cai2 quan2	59-33658-B
cai2 shen2	59-34066-B
cai2 shi1 jiao4	14-60739-S
cai2 shi2	26-38686-B
cai2 shi2 guo4 ren2	26-38739-B
cai2 shi2 xue2	45-42521-S
cai2 shu1 xue2 qian3	26-38019-B
cai2 si1	26-37682-B
cai2 tian1	61-37529-S
cai2 tuan2	59-33114-B
cai2 wai4 liu2	4-10097-S,26-37345-B
cai2 wu4	59-32906-B,59-33828-B
cai2 wu4 mi4 shu1	59-32956-B
cai2 wu4 ruan3 jian4	59-33019-B
cai2 xiao3 yong4	17-18573-S,17-21856-S
cai2 xue2	26-37565-B,42-56884-S
cai2 yi1	45-32464-S,64-6912-S
cai2 yi4 ji4 neng2	26-38625-B
cai2 you3 dao4	43-29895-S
cai2 yuan2	56-53329-B,59-33756-B
cai2 zhang3	59-34277-B
cai2 zhang4 yi4	44-3099-S
cai2 zhe3	42-21487-S
cai2 zheng4	59-33308-B
cai2 zheng4 bu4	59-33481-B
cai2 zheng4 nian2 du4	59-33371-B
cai2 zhi3 ji1	56-53777-B
cai2 zhi4	26-37745-B
cai2 zhong4 yi4	44-3174-S
cai2 zhu3	59-32745-B
cai2 zi3	26-37401-B,36-58106-S
cai2 zi3 jia1 ren2	26-37448-B
cai2 zun1 xian2	58-62485-S
cai3	2-71007-S,4-4436-S,5-56104-S,7-8816-S,7-66798-S,9-30778-S,11-7561-S,14-10110-S,14-10311-S,14-10683-S,14-55541-S,16-55646-S,16-57827-S,20-7956-S,21-13509-S,23-40655-S,23-55869-B,23-62670-S,28-20658-B,37-11378-S,37-11464-S,39-37240-S,40-59150-S,40-59265-S,41-33075-S,42-56241-S,43-60974-S,45-57149-B,46-61894-S,48-53214-S,49-41371-S,50-11243-B,53-44612-S,53-55691-S,54-33942-S,59-20228-S,59-20682-S,59-22108-S,60-45956-B,60-48114-B,63-52275-B,65-36055-S,68-54836-S,68-57782-S
cai3 ban4	28-22628-B
cai3 bang4	23-56244-B
cai3 bi3	9-29084-S
cai3 bin1 fen1	3-50545-S
cai3 chang3	28-21078-B
cai3 chu1	28-20836-B
cai3 dian4	23-56310-B
cai3 dian4 shi4	23-56353-B
cai3 duo2 mu4	7-8887-S
cai3 fa2	28-20738-B
cai3 fang3	28-22246-B
cai3 fang3 ji4 zhe3	28-22341-B
cai3 fei1 yang2	46-62079-S
cai3 feng1	28-22859-B
cai3 fu2	61-54221-S
cai3 gou4	28-22465-B
cai3 gou4 yuan2	28-22556-B
cai3 guang1	28-20779-B
cai3 guo3	28-21356-B
cai3 hong2	23-56202-B
cai3 hua4	23-56041-B,36-41001-S
cai3 ji2	28-22795-B
cai3 jue2	28-21119-B
