considerable scale	28-22628-S
constricta	56-19251-S
constrictor	55-59229-S,55-59269-S,56-17023-S
construct	5-47570-S,23-20176-S,23-22349-S,23-22647-S,23-22908-B,33-39616-S,34-43230-S,41-32219-S,45-56201-S,53-24548-B
construct often sth abstract	23-21581-S
construct sth abstract	34-43425-S
construct under contract	26-60896-S
constructed language	4-17237-B
constructed under the supervision of	45-56201-B
constructing legal institutions	37-32209-B
constructing words for feelings such as anger	4-33981-S
construction	2-22002-S,3-8002-S,15-31265-B,21-53059-B,23-21995-B,23-22647-B,27-7971-S,30-48404-S,30-65525-B,47-45389-S,49-51830-S,62-52169-S
construction association	2-60391-S
construction bank	2-58315-S
construction clause	10-2123-S
construction company	13-37147-S
construction cost	62-17648-B
construction geom 	21-12061-S
construction job	65-33866-S
construction of cross beams	34-1224-S
construction project	15-68687-S,54-49974-S
construction site	21-54789-B
constructions	21-11981-S,30-58577-S
constructive	23-22647-B,23-22729-B
constructive person	20-12842-B
constructiveness	23-22729-B
constructivist theory	23-21648-B
consul	5-15670-S,11-41296-S,68-33362-B
consul general	50-36236-B
consular official	68-35532-B
consulate	5-15759-S,5-15827-B,15-64951-B,68-33403-B,68-35532-B
consulate general	50-36297-B
consult	11-39783-S,13-28156-B,13-57533-S,13-61666-S,23-64528-S,28-51656-B,32-22595-S,33-47029-S,46-36928-S,57-63203-S,58-42918-B,58-43754-B,58-45085-B,58-46670-B,58-46699-S,58-58136-S
consult a reference	11-39607-S
consult subordinates of a high official	52-56490-S
consult the archives	12-42614-S
consult with	10-64305-S
consultant	48-20971-S,58-46766-B,68-49168-B
consultation	2-24294-S,2-29887-S,11-39783-B,13-59203-S,58-46699-B
consultations	46-36928-B
consultative	13-28334-B
consultative committee	29-53899-S
consultative committee for telephone and telegraph	15-20795-S
consultative congress	7-45776-S
consulting anyone	24-4887-S
consulting others	62-3240-S
consulting room	65-23828-S
consume	29-35486-S,38-28857-B,38-31697-S,38-32226-S,51-38115-S,51-38390-S
consume fuel	41-24682-S
consume passively without doing anything useful	15-51019-S
consumed	28-52839-S
consumed in chaozhou	21-54953-S
consumer	17-18470-S,19-62436-S,38-32433-B,38-32570-B
consumer goods	38-32373-B,43-22801-B
consumer price index cpi	21-18847-B,38-32271-B
consumer science	19-62637-S
consuming passion between lovers	40-33994-S
consummate	48-54352-B
consumption	4-69181-S,9-49782-S,37-23350-S,38-31815-S,49-42115-B,51-38327-S
consumption data	38-32624-B
consumption tax	38-32498-B
contact	3-68253-S,3-68253-B,11-23816-S,24-63476-S,28-27873-B,28-28825-S,33-10354-S,38-264-S,46-46943-S,49-47493-S,51-57830-B,51-62407-B,51-62689-B,54-53241-S,56-6398-S,62-19670-B,64-47761-S,64-52371-S,65-29378-S,66-50332-S,67-56895-S
contact book	51-62500-B
contact details	51-62794-B
contact lens	66-47454-B
contact man	2-83535-B
contact math 	8-63711-B
contact nearest relatives	62-23536-S
contact with	26-40675-S,54-53041-S
contact with sb	28-61295-S,67-56769-S
contact with sb for one s own benefit	27-26553-S
contacting used on letterhead or website	51-62794-S
contactor	28-27935-B
contacts	23-61936-B,23-62984-B,60-9778-S
contagious	6-36997-B
contagious disease	6-37179-B,38-5812-S
contain	10-13621-S,10-14060-S,10-17616-S,12-67301-S,12-67811-S,19-65144-S,19-65784-B,26-65079-S,28-28941-S,28-29077-S,38-38222-B,39-38483-S,45-3983-B,55-42379-S,55-42523-S,55-42682-S,62-48950-B,68-13541-B
contain e g poem contains feelings	55-42437-S
contain in a concealed form	66-46807-S
contain one s joy 成语 saw	14-6931-S,14-7026-S
contained	12-68713-S
contained in	55-42437-B
contained in a cone	57-3038-S,57-3141-S
contained in a fruit	56-51683-S,56-51797-S
container	10-13136-B,11-17028-S,27-8163-S,45-1404-S,45-1469-B,45-12777-B,48-15661-S,48-44224-B,57-53569-S
container carried suspended or underlung	12-43183-S
container for liquid or gas	59-41394-S
container for shipping	66-59360-B
container ship	66-59433-B
containing a corpse	67-51878-S
containing a ketone group	43-47127-S
containing a record	57-65873-S
containing a vein of precious metal	52-29856-S
containing air	12-67865-B
containing all words with the given rhyme	68-18068-S
containing beaten egg and green leafy vegetable	55-60959-S
containing fruit	33-37661-S
containing grasshoppers	56-7120-S
containing lungs	52-25792-S
containing magnesium and iron	65-5066-S
containing medicine	10-17796-S
containing news of sb s death	35-56689-S
containing oil	12-68054-B
containing our solar system	42-24648-S
containing proposals for new legislation	44-42701-S
containing pus	10-24553-S,52-51626-S
containing seeds	49-50379-S
containing sense of touch	45-43522-S
containing silicon and aluminium	46-22365-S
containing spores on stem of fungi	54-28388-S
containing stated proportion of gold	65-43075-S
containing terracotta warriors	5-32904-S
containing the choroid	45-48950-S
containing untapped quantities	55-42896-B
containment vessel	19-23936-B
contains an explicit link word 如同	59-2261-S
contains feelings	55-42437-S
contains inadvertent words hold up the candle that minister of yan 燕 puzzles out to mean brilliant prospects	63-22219-S
contaminant	29-50648-S
contaminate	36-62726-S
contaminated	38-27152-S
contaminated area	36-62829-B
contaminated product	1-60459-S
contamination	29-50460-S,29-50553-S,33-43194-B,35-63812-S,36-62773-B
contamination control	37-26128-B
contamination meter	37-26207-B
contemplate	37-5986-B
contemplate inwardly	71-36251-S
contemplation	37-5986-B,37-7692-S
contemporaries	22-47759-S,22-49485-S,61-15135-B
contemporaries 成语 saw	12-54851-S
contemporary	12-48319-B,12-48377-B,38-6747-S,61-47304-B
contemporary era	43-65728-S
contemporary history	61-48590-S
contemporary music	42-49318-B
contemporary translation	4-23124-B
contempt	2-36935-S,5-26239-B,13-16611-S,13-48609-S,39-47699-S,45-59314-S,55-10348-B,61-12186-B
contemptible	10-62742-B
contemptible person	40-6314-S
contemptible 成语 saw	10-62808-S,10-62946-S
contemptuous	51-26720-S,61-12186-B,67-4924-S,67-4986-S
contemptuous term	3-35372-S,55-10295-B
contemptuous term for educated people during the cultural revolution	53-17362-S
contend	41-39531-S,48-259-S,57-46181-S,58-44194-S,70-28610-S
contend against	27-7530-B
contend for hegemony	41-40193-S
contend for supremacy	41-40131-S
contend on strong grounds	29-24599-S
contend strongly	9-46850-S
contend with	13-12129-B
contend 成语 saw	44-52813-S
contended	24-31807-S
contender	14-15550-S
contender opposing champion in sporting contest	47-6904-B
content	3-31297-S,5-14238-S,7-27863-B,7-29413-B,12-67953-S,12-68713-B,14-24377-B,15-64520-S,19-22698-B,31-63841-S,31-64026-S,34-48543-B,36-38948-S,38-38252-B,38-38488-B,38-43493-S,42-4937-S,45-8447-S,50-28932-S,55-50714-S,57-53404-S,61-17816-S,62-47434-S,63-46478-S,65-35012-S,70-17864-S
content of a word or technical notion	7-29553-S
content of speech or writing	58-25359-B
content of the soil	16-25135-S,16-25192-S
content thermodynamics	41-17882-S,41-20895-S
content with old ways and refuse to acknowledge progress	29-60588-B
content with one s situation	45-64832-B
content with shallow understanding	2-16755-B
content word	20-14760-B
contented	24-5886-B,25-45788-B,25-62647-B
contented with	19-29778-S
contention	41-39531-B,41-39635-B,56-40118-B,58-44258-S
contentious	46-1927-B
contentment	19-27268-S
contentment hence happiness	45-64832-S
contents	45-14704-S,45-19087-S,45-19087-B,48-32097-S
contest	3-64224-S,10-55796-S,30-98-S,35-25872-S,35-30354-S,36-8597-S,41-38655-B,47-6904-S,48-1209-S,48-1289-S,52-57582-S,57-46181-S,64-45571-S
contest between evenly matched protagonists	7-47610-S
contest first place	41-38018-S
contest in western chivalry	69-31711-S
contestant	12-14564-S,63-237-B
context	1-45579-S,7-36364-S,9-20103-B,12-34012-S,17-52223-S,21-16947-S,30-59714-S,40-21807-S,58-24994-B,63-64460-S
context dependency	58-25035-B
context effect	58-25120-B
context in beijing opera	68-17980-S
context of south korea	68-12830-S
contexts	3-46822-S
continent	3-59673-S,3-59763-S,3-63154-S,3-63216-S,17-38805-B,35-26980-S,37-62884-B,38-25940-S,40-3481-S,66-32653-B
continent i e prc	69-47990-S
continent of west africa	15-52822-S
continental drift	17-39188-B
continental plate	33-29560-B
continental plates geol 	17-39058-B
continental shelf	17-38967-S,17-39128-B,66-32884-S,66-33289-B
continental slope boundary of continental shelf	17-38967-B,66-32884-B
continents	17-25081-B
continents colliding	46-30985-S
contingency	2-17498-B,2-27535-B,25-61555-S,54-42752-B
contingency plan	68-29499-B
contingent	9-64488-S
contingent effects	4-60603-B
continually	6-30776-S
continuation of a book	50-44108-B
continuation of a serial publication	50-44401-B
continuation of a story	50-44243-B
continuation of a tradition	14-25454-S
continue	1-58841-S,23-18205-B,26-60379-S,27-56760-S,28-27562-S,28-27616-S,50-42557-S,50-43216-S,50-43827-B
continue a tradition	14-25590-S
continue along the same lines	14-62086-S
continue as a song	59-57846-B
continue despite repeated prohibition	21-24590-S
continue in a political office	62-19570-B
continue in a post	56-18272-S
continue in employment	43-50660-S
continue in the same old rut	14-60267-S
continue sth	25-29685-S
continue the same old routine	14-60157-S
continue the tradition	26-61268-S
continue to discuss a poem over a long period	43-52116-S
continue to exist	19-8416-S
continue to have	5-38150-S
continue to use old methods	37-27291-S
continue uninterrupted	50-12005-S
continue upholding	16-3542-S,16-4618-S
continue using	43-50660-S,62-23244-S
continued rain	67-44266-B
continued tradition	6-36224-S
continuing a tradition	14-25123-B
continuing an action	60-15864-S
continuing as always	1-6407-B
continuing fraud	19-67089-B
continuing on	28-24888-B
continuing the spinal chord	23-19707-S
continuity	62-24558-B
continuous	2-13586-B,50-13038-B,50-13141-B,50-42478-B,50-44480-B,62-23750-B,62-24125-B,62-24178-B
continuous esp of mountain ranges	50-12425-B
continuous figure made up of straight line segments	27-10115-S
continuous function	62-24393-B
continuous link	50-12425-S
continuous medium math phys 	62-24254-S
continuous monitoring	62-24614-B
continuous travel or use	50-44540-S
continuously	1-2207-B,1-15203-B,1-67888-B,14-31955-S,23-18055-S,31-46061-B,40-2202-S,40-63334-B,66-34491-B
continuously circling one another	4-1125-B
continuum hypothesis	62-24692-S
contor	51-66966-S
contortion	33-44586-B
contoured	8-53983-S
contraband	47-13422-S,60-13211-B
contraband goods	47-462-B
contrabass	4-70309-B,4-70468-B
contraception	63-6570-B
contraceptive	63-6816-S
contraceptive coil	63-6728-B
contraceptive pill	63-6616-B
contract	3-15988-S,9-12380-B,10-16466-S,12-32371-S,12-36604-B,18-6001-B,18-6525-B,18-53337-S,18-54053-S,19-5247-B,26-7549-S,26-60729-B,26-60896-S,26-61784-S,26-62420-S,29-42038-B,32-11949-S,36-2870-S,43-40115-S,48-40460-S,49-4780-B,49-4909-S,50-27674-S,53-29067-S,59-62577-S
contract a disease	24-8617-S,25-8213-S
contract an illness	19-59443-S
contract and good faith	62-55804-S
contract bridge card game	18-6576-B,35-1092-B
contract for a job	10-14326-B
contract for a loan	5-65250-B
contract law	12-32507-B
contract legal	12-32423-S
contract of alliance	45-7436-B
contract or law	34-14552-S
contract to or for	10-13136-S
contracted	60-50238-B
contracted communal meals	10-13491-B
contracted payment esp actors salary in former times	10-19084-B
contracting last two characters of name of tang empress wu zetian 武則天 武则天	32-1871-S
contraction of the uterus during childbirth	19-57949-B
contraction of 不 and 用	43-36763-B
contraction of 没有	8-7486-B
contraction of 過得去 过得去	62-45287-B
contractions	52-61362-S
contractor	10-14326-B,10-14468-S,26-60773-B,26-66040-S
contracts	59-45312-S
contractual responsibility	10-14586-S,10-14710-S
contradict	11-45809-S,13-55213-S,27-15185-S,41-55561-B,68-20398-B,69-46345-S
contradict oneself	53-12531-S
contradict sb to his face	69-47308-S
contradiction	35-55349-S,45-62474-B
contradictions	10-24711-S
contradictory	45-62474-B,53-12531-S,53-31821-B
contradictory directions	45-58620-S
contradictory views at the same time	34-58955-S
contrariwise	5-58317-B
contrary	5-55092-S,11-43612-B,11-44141-S,11-52227-B,25-7519-B,26-15493-B,27-37991-B,45-27086-B,55-36085-B,61-65778-B
contrary to	5-12434-S,62-58307-S
contrary to expectations	11-52440-B
contrary to one s expectations	2-15585-S
contrary to what one might expect	5-58317-B
contrary wind	26-15587-S,28-61617-S,28-62617-S,61-68766-B
contrast	11-53819-S,17-49818-S,20-51542-B,20-51591-S,20-51709-S,20-51934-S,20-52613-S,26-2491-S,36-8397-S,36-11059-B,36-12162-B,51-34842-S,57-11851-B
contrast balance of black and white in tv screen setup	20-51591-B
contrast medium	68-50559-B
contrast with a previous sentence or clause	9-16471-S
contrasting character to a main hero	40-41434-S
contrasting two incompatible parts	35-24872-S
contribute	27-3128-B,28-3472-S,28-3998-S,28-4079-S,50-42405-B,59-34679-S
contribute funds	28-3746-S,28-4473-S
contribute material	28-3905-S
contribute to	32-30547-S
contribute to a feast	63-51464-B
contribute to funeral expenses	59-63404-B
contributing to a final document	47-36470-S
contribution	5-22802-S,9-48093-B,9-49649-B,28-3472-B,28-3547-B,28-3998-B,42-56742-S,59-34679-B
contribution humility	50-13201-S
contributions	10-6492-S,10-6627-S,28-3609-S
contributions add up to sth big	66-59151-S
contributions and errors	9-50603-B
contributions for the good of society	9-47990-B
contributor	28-4586-B,59-34763-B
contributor to charity	28-3817-B
contrive	9-37279-S,58-40590-B
control	3-8636-S,3-8697-S,4-24140-S,6-40791-S,7-14954-S,8-37797-S,8-49973-S,9-10752-S,9-10827-S,9-11388-S,9-55340-S,10-64761-S,12-23723-B,15-43596-S,16-32332-S,17-65411-S,18-56285-S,19-39129-S,20-39215-S,21-20969-S,26-65627-B,27-61646-S,27-62321-B,28-13964-S,28-14025-S,28-14651-S,28-27322-S,28-28880-S,28-28941-B,29-20338-S,29-21469-S,29-21838-S,33-55476-S,33-64278-S,37-24078-S,37-24766-S,37-26128-S,38-33191-S,39-4151-S,41-63061-S,42-20759-S,45-9411-S,48-22499-S,48-25144-S,48-25547-B,48-26379-B,48-28407-S,48-29895-S,49-51658-S,49-51886-B,49-54340-S,52-34694-S,52-34788-S,53-2534-S,53-6934-S,58-37518-S,59-33658-S,61-20322-S,61-20438-S,62-58850-S,62-58899-S,63-14508-S,65-61845-S,65-62137-S,67-12658-S,67-13883-S,67-30914-S,69-49688-S
control and protect	65-60629-S
control cabin	69-49955-B
control cdc	44-7124-S
control expert	42-58699-S
control from behind the scene	42-131-S
control his vassals	28-1416-S
control of	28-13964-S
control of airborne or space operation	15-46401-S
control oneself	30-24726-S,35-31273-B,35-31327-B
control or administration	26-31552-S
control over	28-28941-S,28-29077-S,49-53928-S
control over sth	9-55423-S
control panel	29-20606-B
control protocol	6-40870-S
control regime mtcr	20-58774-S
control rods	28-29158-B
control room	28-29019-B
control smoothly	29-21894-S
control the course of sth	9-11027-S
control the whole country	28-1260-S
control tower	16-16372-B
control us	44-7319-S
control yuan	45-9030-B
controlled	4-9845-S
controlled by sb	11-60441-B
controller	42-251-S
controller computer	62-36796-B
controlling	23-44141-B
controversial	41-39747-B,43-63027-B
controversy	41-39218-B,41-39531-B,41-39693-B,44-4571-S,58-44483-B,60-45420-S
contusion	44-13437-S,44-16456-B,44-16810-B,60-34532-S
conundrum	58-52948-B
convalesce	4-56651-S,23-2161-S,44-19805-B,44-20293-S,69-11569-S
convalescence	44-20293-B
convection	20-52161-B,41-18375-S
convene	12-10008-S,12-10469-S,27-42288-S
convene a conference or meeting	12-10276-B
convene a meeting	12-10372-S
convenience	3-12592-S,5-28400-S,18-59130-S,21-9408-S,27-66056-S,28-59063-S,30-61708-B,47-41507-S
convenient	5-28266-B,5-28400-S,5-28681-B,5-28837-B,5-29889-B,26-31403-B,30-61708-B,39-9574-B,45-33279-B,48-36111-S,61-9671-S
convenient and easy to use	68-24499-B,68-24576-B
convenient and fast	5-29223-B,5-29277-S
convenient for	5-29433-B
convenient multiple	39-9440-S
convenient to use	5-14597-B,11-62881-B
conveniently	66-43847-B,68-21968-B,68-22231-B,68-26850-B
convent	5-49668-B,17-5921-S,18-19278-B,18-19392-B,23-690-S,54-37907-S
convention	5-33065-B,6-38455-B,17-20704-B,51-17955-B
convention i e international agreement	7-63445-B
convention on climate change	51-58855-S
convention on international trade in endangered species of wild fauna and flora	40-14224-B
convention on the elimination of all forms of discrimination against women	38-33701-B
convention on the law of the sea	51-59044-S
convention up to now	12-62269-B
convention 成语 saw	16-28449-S
conventional	22-32170-B,25-50831-B,61-43447-B
conventional behavior	51-30851-B
conventional contract	49-4909-B
conventional greeting	58-42620-S
conventional greetings	18-10308-B,20-9209-S,20-9432-S
conventional reasoning and morals	22-31837-B
conventional way of thinking	60-62030-S
conventional ways	27-62527-S
conventional weapon	22-32256-B
conventional weapons	22-32170-B
conventions	1-65929-S,29-61362-S,42-37925-S,62-57612-S,66-29261-S,66-29412-S
converge	10-38095-S,12-35300-S,23-53105-S,23-53300-S,48-826-S,60-30765-S,61-17150-B
converge of river	10-37813-S
converge of rivers	10-37629-S,39-31091-S
converge to a limit in calculus	60-31779-S
convergence	10-39231-B,60-31779-B
converging together	10-38684-B
conversant	58-47042-B
conversant with things past and present	11-6334-B
conversation	1-7612-S,28-43434-S,32-25280-B,38-51469-S,55-46460-S,58-15688-B,58-16401-S,58-41902-B,61-43967-S,62-13904-S
conversation by writing	48-16567-B
conversation class	20-56379-B
conversation with	28-60925-S
conversation with a comparative stranger	3-70754-S
conversations	6-21041-S,52-796-S
converse	3-71743-B,28-60319-S,48-21173-S,58-40628-S
converse theorem math 	61-66819-B
conversely	11-55236-B,61-27153-B
conversely 	11-43799-B
conversion	28-46841-B,59-12737-S
conversion device	59-9026-B
conversion from simple to traditional chinese characters	48-38145-B
convert	7-20005-S,28-46841-B,29-44444-S,29-45696-S,30-3514-B,35-54181-S,41-20682-S,44-62814-S,59-8852-S,61-24211-S,61-24513-S
convert an enemy into a friend 成语 saw	10-23974-S
convert between currencies	27-9885-S
convert into	27-8913-B
convert into currency	27-8254-S
convert sth into chinese	39-48506-S
convert to another religion	29-43595-S
convert to democracy	36-18202-S
convert to other religion	44-62756-B
converted to religion	35-54124-B
converter	59-9026-B,59-10193-B,61-24583-B,65-64348-S
converter rotary furnace in steel making	61-25599-B
convertible car	30-6116-B,30-6188-B
convex	8-31261-B,8-32016-B,71-47772-B
convex body	8-32522-B
convex character stroke	71-37621-S
convex curve	8-31888-B
convex curve surface	27-48327-B
convex lens	8-32193-B
convex mirror	8-32302-B,8-32463-B
convex on both sides of lens	8-31302-B,66-64027-B
convex part	8-32397-B
convex polygonal line	8-31573-B
convex polyhedron	8-31501-B
convex polytope	8-31430-B,35-34881-B
convex surface	8-32349-B
convey	6-41612-S,6-42184-B,12-44748-S,53-18876-S,56-46719-S,61-6800-S,61-20644-S,61-29761-B,62-41641-B
convey a message	6-34530-S
convey basic meaning	46-46497-S
convey on vehicle	61-7903-S
conveyance	61-31120-S
conveyor	44-65492-S
conveyor belt	6-41669-B,31-1208-S,56-33780-S
convict	14-45342-S,42-2364-B,60-7496-S
convict sb of a crime	19-47081-S
conviction	5-42850-B,5-44339-B,11-68289-S,25-7209-B,58-29452-S
convictions	27-70445-S,27-70599-S,42-56035-S,62-56960-S,62-57055-S
convicts are counted and verified	71-42111-S
convince	5-12955-S,10-10918-S,10-11186-B,24-34053-S,32-43784-S,58-32701-S
convince sb	5-45049-S
convinced	5-45049-S,11-68289-S,24-33641-B,27-8254-B,46-33123-S
convinced and ready to concede	24-34053-S
convinced in heart and by word 成语 saw	24-34053-S
convinced that something is true	45-26779-S
convinced until one is faced with grim reality	2-28312-S
convincing	5-12840-B
convincing arguments	42-54230-S
convincing proof	46-34052-B
convoke	12-10276-S
convoluted	41-10301-B,50-37304-B
convoluted and over elaborate document	50-37370-B
convolution of the brain	57-44479-S
convolvulvus	31-423-S
convoy	59-5368-S,59-5426-S
convulse	28-9877-S
convulsion	27-18146-B,44-13939-B
convulsion illness affecting children esp under the age of five	69-63778-S
convulsions	44-19440-B,44-22653-B
convulsions as in asthma	36-29625-S
convulsions in young children	44-19742-S
coo 成语 saw	11-28395-S
cooing	26-43795-S,58-41353-S
cook	6-15765-S,23-6244-B,23-6281-B,23-6317-B,40-10250-B,40-28078-B,40-43387-S,41-10523-S,41-26069-S,41-36782-S,69-19676-S
cook 1728 1779	22-65729-S,22-65948-S
cook a spring roll	11-27084-S
cook by scalding see 焯	50-11759-B
cook food	40-28022-S
cook in a covered vessel	41-30669-B
cook in a steamer	69-18963-S
cook in soy	41-14520-B
cook islands	22-65882-B
cook name	22-65729-B
cook on a skewer	3-1370-S
cook on new zealand south island	22-65803-S
cook or heat	41-10698-B
cook pills of immortality	41-173-S
cook until well done	69-5049-B
cook up	50-21882-B
cook up imaginary charges against sb	50-61840-S
cook with sauce and water	41-14374-S
cook without rice 成语 saw you won t get anywhere without equipment	21-60253-S
cookbook	54-30358-B,69-4210-B
cooked	7-38669-S,17-71041-S,41-20682-S,41-36226-S,52-36590-B
cooked and soft	41-35858-S
cooked black soya bean as animal fodder	30-35507-B
cooked five minutes	3-47397-B
cooked food	41-17123-B,69-5049-B
