embarrassing to do sth	2-3813-S
emperor zhu yuanzhang 朱元璋 posthumous name ming taizu 明太祖	37-61183-S
emperor zhu yuanzhang 朱元璋 reigned 1386 1398	31-22991-S
emperor 炎帝 who turned into bird jingwei 精衛 精卫 after drowning	18-19721-S
emperor 秦始皇	47-23339-S
emperor 黃帝 黄帝 and four of his sons zhuan xu 顓頊 颛顼	3-49838-S
emperor 黄帝	61-1555-S
emperors	7-4599-S,14-41210-S,23-1219-S,25-35539-S,70-22110-S
emperors and kings	3-14932-S
emperors from legendary times	3-49838-S
emperors in changping district of beijing	31-22362-S
emperors or one s elders	63-7483-S
emperors 五帝 of myth and legend	1-38373-S
emphasis	12-10925-S,21-8874-S,54-56212-S,64-2820-B
emphasis on	6-19875-S,54-56137-S
emphasize	37-44932-B,54-56137-S,58-54728-S
emphasize a statement	23-45490-S
emphasize down to last detail 成语 saw	70-7031-S
emphasize sth unduly	6-13299-S,6-13546-S
emphasizes that sth is precisely or exactly as stated	21-9715-B
emphathize with	70-6958-S
emphatically not	2-46576-B
emphysema	52-14677-B
empire	17-25472-S,17-33316-S,18-14481-S,18-14540-S,22-25179-B,29-60491-S,42-21978-S,54-38671-S,57-28444-S
empire 27 bc 476 ad	50-63275-S
empire 395 1453	27-45020-S
empire and tibet	27-25491-S
empire formed after the death of the prophet mohammed 穆罕默德 in 632	13-40703-S
empire hist 	46-60951-S
empire of persia c 2nd 7th century ad	55-25128-S,55-26020-S
empire of persian 559 330 bc	66-14347-S
empire or byzantium 395 1453	33-23179-S
empire state building	49-19292-B
empirical	20-14844-B,60-22896-S
empirical observation	19-53015-S
empiricism	20-14920-B,49-62686-B
employ	5-12764-S,5-14453-S,6-32300-S,6-52291-B,6-52378-S,11-60118-S,23-18258-S,23-18543-S,28-21749-S,46-27368-S,50-61661-S,51-53124-S,66-60715-S
employ confucius	70-40248-S
employ him accordingly 成语 saw	64-5925-S
employ one s talent to the fullest	4-14809-B,4-14927-B
employ sb competent for the task	64-5925-S
employed	5-54021-S,10-56226-S,10-56226-S,11-60118-B,22-52555-S,53-11463-S
employed as imperial secretaries from the tang onwards	51-19939-S
employed at	11-64162-S
employed in a trade or profession	24-11787-S
employed in qing china as professor or military advisor etc	37-50106-S
employed individual or private firm	5-54103-S
employed or commissioned for a special task	41-61308-B
employed to collect statistics	49-53274-S
employee	6-14800-S,6-52336-B,13-41734-B,13-41861-B,24-11787-B,27-43642-S,57-51899-S,64-42605-S,66-60766-B
employee having no fixed duties	65-45941-B
employee s salary	4-30925-S
employee who doesn t do any work	19-40415-S
employees	19-40296-S,21-15237-S,22-53108-B,56-53329-S
employer	10-6246-S,10-6297-S,27-43106-S,33-17459-S,66-60674-B
employment	3-29331-S,11-64002-S,21-10059-S,23-18543-S,26-59003-S,36-54502-S,43-50660-S
employment as sex worker	24-61784-B
employment lit iron rice bowl	65-5278-S
employment rate	21-10146-B
employment scale	4-66632-S
emporium	67-6233-B
empoverished	36-22525-S
empower	17-28311-S
empress	12-59670-B,18-21621-B,18-21663-B,18-50482-B,18-58365-S,18-62892-B,22-25071-B,35-35764-B,44-60199-S,57-7027-S
empress dowager	17-57179-B,44-60429-B
empress dowager cixi or ts u hsi reigned 1861 1908	25-45523-B,25-45607-B
empress dowager or regent	52-58504-S
empress michiko of japan	51-7060-B
empress wu zetian 武則天 武则天	32-1871-S
empress wuzetian 武則天 武则天 624 705	18-21663-S
empt	7-5005-S
emptied	47-45020-B
emptiness	47-49392-B
emptive	7-5005-S
empty	10-39719-B,20-11644-B,23-6046-B,33-39368-B,44-21189-B,44-35806-B,47-44965-B,47-48706-B,47-48966-B,52-8566-B,55-50714-B
empty a bag	5-59439-S
empty a theater	30-7577-S
empty and trite	66-29129-B
empty city strategy 成语 saw	47-46068-B
empty fame	55-54394-B
empty fantasy	47-46508-B
empty formality	55-52633-B,55-52717-B
empty gossip	65-45781-B
empty gut	47-49197-S
empty handed	7-45453-B,47-47372-B,47-47435-S
empty headed	47-46573-B
empty into	37-44116-B
empty one s pocket	6-47169-S
empty orchestra	11-14135-S
empty out	6-46239-S
empty place	47-45631-B
empty promises	47-45793-B,47-45864-S
empty set set theory	47-50737-B
empty space	47-48856-B
empty space inside a building	34-46849-B
empty square indicating illegible character	47-47852-B
empty stomach	13-26655-S,47-46636-S,47-49252-S
empty talk	47-49516-B,47-49583-S
empty valley 成语 saw	47-49843-S
empty words	6-7461-B,55-54197-B
empty wrist method of painting	55-53836-B
emt	48-18645-S
emu	70-55246-B
emulate	4-45591-S,6-55996-S,29-3867-S,29-26964-S,34-57752-S,34-57821-S,57-42693-S
emulate a classic	29-27314-S
emulate classic works	12-2515-S
emulate others	29-31792-S
emulation	4-45591-B,45-21849-S
emulation server	4-45647-B
emulator	34-58517-B
emulsifier	3-21958-B
emulsify	3-21914-S
emulsion	3-21874-B
en 1500 1582	13-584-S
en buddhist temple in xi an	17-18053-S
en masse at schools and workplaces in east asian countries	31-13857-S
en place in hubei	19-54612-S
en route	62-2920-B
enable	5-12764-S,5-16174-B,5-51169-S,20-36848-S
enable a feature 	13-65145-S
enable as in enable a feature 	13-65145-B
enamel	7-10852-B,28-58045-B,42-60174-B,42-60214-B,42-60254-S
enamel ware	42-60126-B
encamp somewhere	47-59135-S
encamped face to face	20-48233-B
encampment	69-47939-B
encapsulate	20-34062-S
encapsulation	20-34270-B
encase	18-8143-S
encase the end with metal	64-43407-B
encephalitis	3-15642-S,3-16784-S,31-9517-S,34-23836-S,38-5458-S,52-40352-B
encephalitis b	3-15642-S,3-16784-S
encephalitis eee virus	33-19366-S
encephalitis vee virus	18-40977-S
encephalitis wee virus	57-18187-S
encephalopathy	42-4786-S,44-17151-S
enchant	23-27516-S,61-53628-S,61-55774-S
enchanted	7-25655-S,24-33641-B,24-39510-B,54-56498-B
enchanted by	61-53436-S
enchanting	18-34433-B,18-34721-B,32-41793-B,45-46539-B,50-11649-B,61-53555-B,70-33462-B
enchantment	70-35920-B
enchantress	42-6513-B
encircle	10-13731-B,13-10567-B,15-29626-B,27-48676-S,43-5789-S,50-25184-S
encircle and annihilate	15-21401-S
encircle and annihilate campaign	11-45906-S
encirclement	57-48419-S
encircling	61-22094-B
encircling the city of walls	43-4928-B
encite	71-47822-S
enclose	15-1228-B,20-32442-B,20-34062-S,27-47030-B,66-15485-B
enclosed carriage for carrying passengers	61-30993-S
enclosed in artificial capsule	10-17873-S
enclosed within another	68-62943-S
enclosure	14-45238-B,15-21780-B,15-22180-B,15-63409-B,47-52975-S,65-45092-B,66-15201-B
enclosure for carrier pigeons	70-56169-B
enclosure for horses	15-1516-B
encode	7-30445-S
encoding	3-26987-S,3-42640-S,32-14686-S
encoding standard	15-10171-S
encoffin a corpse	35-64477-S
encompass	13-11289-S
encore follow up music performance	19-25114-B
encounter	2-15708-S,18-2081-S,24-62228-S,29-26557-S,62-66430-S,63-4215-S,63-9211-S
encounter with a beautiful woman	59-22531-S
encourage	9-61959-B,9-66669-S,10-10449-S,27-30279-S,27-70166-S,40-4681-S,48-21899-S,64-18209-B,69-11090-S,71-47899-S
encourage and supervise esp state officials promoting agriculture	10-11529-S
encourage sth to get bigger	28-31265-S
encourage virtue and punish evil 成语 saw	10-10766-S
encouraged	27-70166-B
encouragement	42-16551-B,42-16601-S
encourager les autres	35-66143-S,36-1329-S,36-1517-S,36-1880-S
encouraging	2-4089-S,4-34796-B
encroach	5-26741-S,8-25747-B,25-55896-S,38-44808-B,60-19872-S
encroach on	5-27217-S,5-27641-S
encroachment	5-27712-B
encrypt	9-53995-S
encrypted	9-54049-B
encryption	7-65765-S,9-53995-B,47-11915-S
encumber	27-37342-S
encumbered by wife and children	29-33977-B
encyclopedia	44-53604-S,44-55549-B,50-1958-S
encyclopedia 1408	36-51813-S
encyclopedia of china publishing house	2-57451-B
encyclopedic	44-55458-B
encyclopedic dictionary	44-55617-S
encyclopedic experience of state policy	39-40715-S
encyclopedic knowledge	11-9483-S
end	1-17121-S,1-59160-S,1-59223-S,1-66291-S,2-16018-S,2-21606-S,3-23991-S,3-25831-S,6-57048-S,9-9327-S,9-9555-S,9-10442-S,9-20029-S,9-21501-S,9-22653-S,9-24821-S,13-1745-S,13-9456-B,13-9456-S,16-5616-S,17-38544-S,18-38851-S,19-38032-S,21-6254-S,21-14886-B,21-15531-B,21-17832-B,22-48574-S,22-52277-S,22-53187-S,24-191-S,27-56927-S,28-28544-S,29-40582-S,29-40732-S,29-42299-S,31-64600-S,32-51384-S,32-57318-S,32-59385-B,32-59489-S,32-64546-S,33-15735-S,35-32830-B,35-57159-S,35-58424-S,35-59196-S,35-59279-S,35-60046-S,35-60081-S,35-61662-S,36-52104-S,37-8514-S,40-32748-S,40-53454-S,40-61520-S,45-7675-S,45-8760-S,47-57411-B,47-65236-B,48-17170-S,49-35074-B,49-35416-B,49-36132-S,49-36490-S,49-36564-B,49-36735-B,49-37199-S,49-41844-S,51-20437-S,52-61921-S,55-5582-S,55-5802-S,59-40202-S,60-11844-S,62-49335-B,62-62416-S,62-62416-S,63-14110-S,63-14110-S,65-29825-S,68-35986-B,68-35986-S,70-47136-S
end a legal dispute	13-25276-S
end abstinence	65-35089-S
end comes back to the start 成语 saw	49-36835-S
end dinner for employees	21-15237-S
end in failure	13-4943-S
end it	57-52888-S
end of a banquet	30-9662-B
end of a book or article	41-4987-S
end of a bridge	35-1154-S
end of a fixed term	32-51615-B
end of a historical era	19-11485-B
end of a meeting	65-27929-S
end of a period	32-59951-B
end of a period of time	22-59972-S
end of a reed in a wind instrument	48-39427-S
end of a reel	41-44603-S
end of a ship	53-37897-S
end of a show	30-8107-B
end of a stick	1-22700-S
end of a story	35-55165-S
end of a term	39-39141-S
end of axle	61-1795-B
end of axle outside of hub	61-5677-B
end of bow	23-46595-S
end of fixed period in office	21-19476-S
end of han	10-46623-S
end of heat	55-50032-S
end of last month	22-59972-S
end of last year	11-38058-S
end of later han from 184	71-19079-S,71-19195-S,71-19324-S,71-19453-S
end of letter from sb of lower status to higher status	30-11777-S
end of month	32-27468-B
end of mourning	47-7851-S
end of one s patience	24-43266-S
end of one s tether	40-61520-S,40-62269-S
end of one s wits	4-39986-S
end of ramadan	17-38030-S,52-5436-S
end of school	30-7681-B
end of spear	64-59176-S
end of spine	21-12219-S,21-12360-S
end of term	32-51301-B
end of term examination	32-51136-B,32-51669-B
end of the century	2-41839-B
end of the han dynasty	23-20772-S
end of the mourning period	39-37830-S,39-39032-S
end of the qin dynasty 207 bc	47-24478-S
end of the show	54-49669-S
end of the tunnel	66-42628-S
end of the world	2-39902-B
end of the year	22-48279-B,22-48574-S,22-48933-B,22-49286-B,22-50352-B,35-50808-B
end of this year	15-33852-S
end of virtuous achievements 成语 saw	9-48776-S
end of war	49-35916-B
end of 三伏 sān fú	8-34980-B
end point	49-37199-B
end result	35-53885-B
end stage	31-45162-B
end station	47-65705-B
end system	48-0-B
end the shang dynasty	35-65636-S
end to	23-9040-S,33-9926-S
end to stop a fight	10-11236-S
end up with nothing	49-35613-S
end up with nothing definite	1-66346-B
end user	49-36668-B
end with metal	64-43407-S
end 成语 saw	50-53953-S
end 谚语 proverb	32-33225-S,49-35765-S
endanger	11-21925-S,11-22046-S,11-22485-S,35-60240-B
endangered species	40-14061-B,40-14149-B,68-41667-B
endangered species of wild fauna and flora	40-14224-S
endearement	42-29480-S
endearing term of address to a child	21-2672-S
endearment	16-34747-S,25-15620-S,25-37164-S,31-38520-S,58-41353-S
endearment between spouses	11-28303-S
endeavor	18-18857-B,18-18899-S,26-22252-S,67-51656-S
ended	32-57318-S
ended skin drum with a narrow waist	51-14705-S
ended the first sino japanese war	69-43844-S
ended the qing dynasty	61-32631-S
endgame in chess	35-62432-B
endgame in go or chess	19-41235-B
ending	29-40582-S,36-52104-S,49-41018-B,49-41071-B,49-41797-B,49-57858-S
ending a line of verse	68-18245-S
ending in n	13-44920-S
ending struggle	61-23724-S
ending the 8 nation intervention after the boxer uprising	61-32413-S
ending up as	54-49897-B
endless	2-23155-B,39-53299-B,40-58653-B
endless crime	34-32662-B
endless exorbitant demands	58-18644-S
endless mumbling	13-44656-S
endless mumbling noise	13-44315-S
endless night 成语 saw	39-52859-B,65-12716-B
endless prattle	49-50444-B
endless stream	21-50189-S
endless stream of horse and carriages 成语 saw	60-59203-B
endlessly	1-67775-B,2-6989-B,13-44656-S,13-46004-S,39-36045-S,39-36140-S,43-43733-S,49-50095-S,49-50752-S,56-23431-S,58-41092-S
endlessly repeating unpleasant remarks	5-59714-S
endlessly without getting to the point	49-49995-S,49-50513-S
endocrine gland	7-26547-B
endocrine internal secretion	7-26474-B
endoderm cell lineage in embryology	7-31196-B
endogenous	7-30138-B
endoplasmic reticulum	7-13859-S,48-62006-S
endoplasmic reticulum er	7-32580-B
endorse	20-21517-S,26-57989-S,29-17852-S,59-14611-S,60-3390-S,60-3540-B
endorse a check	52-17907-S
endorse retroactively	61-59979-S
endothelium	7-30272-S
endothermic physiology	41-21559-B
endow with	59-59387-B
endowed by nature 成语 saw	24-7256-S
endowment	26-37150-B,47-31500-S,47-31756-S
endowments	59-53337-S
ends	7-48255-S,10-52421-S,16-52636-S,30-6930-S,41-54542-S,42-10744-S,43-49442-S,67-21075-S,67-21884-S
ends by abusing public position	6-6513-S
ends in separation of marital relations	55-44438-S
ends meet	7-23777-S
ends of a bow	23-36215-B
ends of sth	7-46127-S
ends of the earth	17-49541-S,17-49596-S,17-54205-B
ends of yoke	61-4958-B
endurance	46-40595-B,50-44540-B,51-35924-B,51-36029-B,51-36439-B
endure	7-16897-S,10-46044-S,11-37024-S,11-59370-S,11-63906-S,16-7739-B,24-42505-S,24-42769-B,27-56138-B,27-67710-B,41-17397-B,47-142-S,49-58127-S,54-12427-S
endure forever	36-50070-S
endure hardships for a noble cause	43-13312-S
endure humiliation	24-43089-S
endure humiliation as part of an important mission	24-44065-S
endure humiliation to preserve unity	24-43970-S
endure it	24-42924-S
endure silently	66-47524-S
endure starvation	27-69366-S
endure suffering or sorrow	54-12758-S
endure 成语 saw	25-46843-S,25-46988-S
enduring	51-35742-S
enduring peace	36-48411-B
enemies	11-55489-S,13-1623-S,14-54038-S,49-40025-S,54-43222-S,54-43309-S
enemies cannot live under the same sky	1-70704-S
enemies chu 楚 and han 漢 汉	70-55688-S
enemies on a narrow road 成语 saw	8-14062-S
enemies 成语 saw	11-51777-S
enemy	1-57023-S,3-12783-S,3-12870-S,3-44034-S,4-21698-S,4-21812-B,4-21975-B,4-39235-S,7-60124-S,8-13913-B,8-13966-S,8-15260-B,9-61525-S,12-32129-S,16-3647-S,16-52528-S,17-19347-S,19-67268-S,20-50763-S,20-57700-B,23-44248-S,26-48026-S,27-52347-S,29-55720-S,30-17406-B,30-17439-B,30-17964-B,30-18046-S,30-18204-S,31-62495-S,35-57575-S,35-57575-S,35-62633-S,39-64282-S,44-3684-S,44-4921-S,45-63361-S,47-58982-S,54-14773-S,54-64374-S,56-28233-S,56-39852-S,57-34870-S,58-22059-S,61-10599-S,61-45427-S,61-56281-S,61-56710-S,63-8433-S,66-31881-S,66-32332-S
enemy agents	30-18046-B
enemy agents in our midst	30-18106-B
enemy and know oneself 成语 saw	45-63445-S
enemy army	30-18301-S
enemy country	30-17545-B
enemy factions	30-17690-B
enemy from his external appearance	13-28660-S
enemy general	30-17638-S
enemy head on	22-18291-S,61-45304-S
enemy heads cut off	35-44408-S
enemy held territory	38-45605-B
enemy in bed	9-63109-S
enemy in his camp	9-62634-S
enemy into a friend 成语 saw	10-23974-S
enemy marxism	4-11813-S
enemy occupation	38-45519-S
enemy occupied territory	30-17477-B
enemy of the emperor	47-6904-B
enemy of the nation	47-6904-S
enemy of the people	4-11813-S
enemy off guard with a surprise attack 成语 saw	8-35789-S
enemy or malefactor	17-31513-S
enemy or rebel soldiers by offering amnesty	27-41476-S,27-42201-S
enemy personnel for intelligence purposes	28-4811-S
enemy plane	30-18003-B
enemy planes	20-53840-S
enemy ranks	30-18348-S
enemy relying on inaccessible territory	25-55966-S
enemy s flag	28-61502-S
enemy s main force and	63-6878-S
enemy soldier 成语 saw	54-14773-S
enemy territory	22-60933-S,30-17591-B
enemy troops	41-63061-S
enemy when he is fresh and strike him when he is tired and withdraws	63-6163-S
enemy 成语 saw	8-13966-B,44-6890-S
energetic	5-63587-B,9-27434-B,17-7428-B,22-28204-B,32-36257-B,32-48361-B,47-39653-B,59-50355-B
energetic mood	18-18417-B
energetically	9-47230-S,60-16118-B
energetically for prosperity of the country	18-18492-S
energies	59-47569-S
energy	1-59642-S,7-31279-S,10-1580-S,10-7977-S,10-23153-S,11-32629-S,15-42561-S,17-62205-S,33-61527-S,35-4086-S,36-25964-B,36-26573-B,37-63788-B,41-21296-S,44-35563-S,48-29941-S,48-52303-B,48-52554-B,48-55736-S,50-35552-S,52-26606-B,52-27717-B,52-28205-B,52-28261-S,52-28344-S,53-11296-S,67-34191-S,70-20724-S
energy agency	15-15474-S
energy agency and nobel laureate	22-6078-S
energy agency caea	2-55335-S
energy agency iaea	15-15596-S
energy channels in chinese medicine	49-61822-B
energy crisis	52-27772-B
energy doe	51-4964-S
energy e g solar	61-19351-S
energy equal to 1 6 x 10 10 joules	12-42013-S
energy equal to 1 6 x 10 13 joules	7-1130-S
energy for	59-58551-S
energy in chinese medicine	34-40777-S,35-37754-S
energy in mechanics	7-30886-S
energy level	52-27842-B
energy particle	70-20864-S
energy physics	70-20939-S
energy required to go from one state to another	68-51240-B
energy research institute	31-8649-S
energy saving	48-29941-B
energy to	42-26355-S
energy traditional chinese medicine	14-7343-S
energy used in particle physics	67-27377-S
energy while preparing for a big effort	69-12081-S
energy 成语 saw	32-48361-S
enervated	33-39033-B
enfeoffment	8-51708-S,20-32762-B
enfold	27-48676-S,54-63810-S
enforce	23-42835-B
enforce abstinence	9-67380-S
enforce the law strictly	15-65338-S
enforced repatriation	62-64192-B
enforcement	15-65290-S,23-42835-B,68-32210-S
enforcers	12-24288-S
engage	23-18258-S,49-4840-B,51-53223-S
engage in	6-13941-S,21-8874-S,24-10189-B,42-39130-S
engage in a contest	36-8597-S
engage in a fight	27-53413-S
engage in body combat or martial art	36-9643-S
engage in business etc	49-61057-S
engage in corrupt practice	41-32006-S
engage in graft	41-31903-S
engage in honest work	1-73670-S
engage in introspection	11-51886-S
engage in physical exercise	64-50285-S
engage in talks	13-61407-B
engage teacher	51-53000-B
engage the gear	28-19703-S
engaged	7-34145-S,19-44585-S,41-61308-S,58-3439-S
engaged for a task	11-64002-B
engaged in carving characters	48-31714-S
engaged in certain types of work	26-31403-S
engaged in production	5-35702-S
engagement	18-54053-B,49-5608-B,57-56931-B,59-62577-S
engaging	18-59644-B
engel	25-2930-S
engels 1820 1895	25-2860-S
engels 1848	7-72442-S
engels communist manifesto	1-2375-S
engender	43-32422-S
