逐字逐句 逐字逐句	62-2139-B
通俗易懂	62-7072-S
通俗易懂 通俗易懂	62-7072-B
通信	62-7146-S
通信 通信	62-7146-B
通信协定	62-7195-S
通信協定 通信协定	62-7195-B
通信卫星	62-7590-S
通信密度	62-7276-S
通信密度 通信密度	62-7276-B
通信技术	62-7353-S
通信技術 通信技术	62-7353-B
通信服务	62-7434-S
通信服務 通信服务	62-7434-B
通信網絡 通信网络	62-7510-B
通信网络	62-7510-S
通信衛星 通信卫星	62-7590-B
通信負載 通信负载	62-7672-B
通信负载	62-7672-S
通信量	62-7747-S
通信量 通信量	62-7747-B
通假	62-7816-S
通假 通假	62-7816-B
通假字	62-7946-S
通假字 通假字	62-7946-B
通判	62-8086-S
通判 通判	62-8086-B
通勤	62-8137-S
通勤 通勤	62-8137-B
通化	62-8181-S
通化 通化	62-8181-B
通化县	62-8529-S
通化地区	62-8312-S
通化地區 通化地区	62-8312-B
通化市	62-8407-S
通化市 通化市	62-8407-B
通化縣 通化县	62-8529-B
通县	62-12194-S
通古斯	62-8608-S
通古斯 通古斯	62-8608-B
通史	62-8658-S
通史 通史	62-8658-B
通同	62-8770-S
通同 通同	62-8770-B
通向	62-8825-S
通向 通向	62-8825-B
通告	62-8869-S
通告 通告	62-8869-B
通商	62-8930-S
通商 通商	62-8930-B
通商口岸	62-9015-S
通商口岸 通商口岸	62-9015-B
通城	62-9084-S
通城 通城	62-9084-B
通報 通报	62-9151-B
通奸	62-9233-S
通姦 通奸	62-9233-B
通婚	62-9277-S
通婚 通婚	62-9277-B
通宵	62-9322-S
通宵 通宵	62-9322-B
通山	62-9367-S
通山 通山	62-9367-B
通山县	62-9432-S
通山縣 通山县	62-9432-B
通州	62-9495-S
通州 通州	62-9495-B
通州区	62-9560-S
通州區 通州区	62-9560-B
通布图	62-6917-S
通常	62-9639-S
通常 通常	62-9639-B
通彻	62-9748-S
通往	62-9705-S
通往 通往	62-9705-B
通徹 通彻	62-9748-B
通心粉	62-9807-S
通心粉 通心粉	62-9807-B
通报	62-9151-S
通明	62-9861-S
通明 通明	62-9861-B
通晓	62-9964-S
通暢 通畅	62-9909-B
通曉 通晓	62-9964-B
通書 通书	62-10057-B
通榆	62-10099-S
通榆 通榆	62-10099-B
通榆县	62-10165-S
通榆縣 通榆县	62-10165-B
通气	62-10243-S
通气会	62-10429-S
通气孔	62-10348-S
通氣 通气	62-10243-B
通氣孔 通气孔	62-10348-B
通氣會 通气会	62-10429-B
通江	62-10482-S
通江 通江	62-10482-B
通河	62-10551-S
通河 通河	62-10551-B
通海	62-10619-S
通海 通海	62-10619-B
通渭	62-10683-S
通渭 通渭	62-10683-B
通牒	62-10746-S
通牒 通牒	62-10746-B
通用	62-10796-S
通用 通用	62-10796-B
通用字元組 通用字元组	62-10860-B
通用字元组	62-10860-S
通用字符集	62-10957-S
通用字符集 通用字符集	62-10957-B
通用性	62-11050-S
通用性 通用性	62-11050-B
通用拼音	62-11110-S
通用拼音 通用拼音	62-11110-B
通用汽車 通用汽车	62-11231-B
通用汽車公司 通用汽车公司	62-11302-B
通用汽车	62-11231-S
通用汽车公司	62-11302-S
通用电器	62-11580-S
通用电气	62-11657-S
通用語 通用语	62-11395-B
通用语	62-11395-S
通用資源識別號 通用资源识别号	62-11456-B
通用资源识别号	62-11456-S
通用電器 通用电器	62-11580-B
通用電氣 通用电气	62-11657-B
通电	62-15552-S
通电话	62-15721-S
通畅	62-9909-S
通盘	62-11735-S
通盤 通盘	62-11735-B
通知	62-11815-S
通知 通知	62-11815-B
通票	62-11889-S
通票 通票	62-11889-B
通称	62-11941-S
通稱 通称	62-11941-B
通紅 通红	62-12017-B
通緝 通缉	62-12105-B
通縣 通县	62-12194-B
通红	62-12017-S
通缉	62-12105-S
通胀	62-12252-S
通胀率	62-12298-S
通脹 通胀	62-12252-B
通脹率 通胀率	62-12298-B
通航	62-12359-S
通航 通航	62-12359-B
通融	62-12411-S
通融 通融	62-12411-B
通行	62-12525-S
通行 通行	62-12525-B
通行无阻	62-12666-S
通行無阻 通行无阻	62-12666-B
通行稅 通行税	62-12767-B
通行税	62-12767-S
通行證 通行证	62-12819-B
通行证	62-12819-S
通訊 通讯	62-13084-B
通訊協定 通讯协定	62-13178-B
通訊社 通讯社	62-13259-B
通訊系統 通讯系统	62-13333-B
通訊自動化 通讯自动化	62-13410-B
通訊行業 通讯行业	62-13503-B
通訊通道 通讯通道	62-13583-B
通訊錄 通讯录	62-13663-B
通訊院士 通讯院士	62-13730-B
通許 通许	62-13843-B
通話 通话	62-13904-B
通諜 通谍	62-13978-B
通識 通识	62-14028-B
通識培訓 通识培训	62-14138-B
通識教育 通识教育	62-14210-B
通識課程 通识课程	62-14284-B
通讯	62-13084-S
通讯协定	62-13178-S
通讯录	62-13663-S
通讯社	62-13259-S
通讯系统	62-13333-S
通讯自动化	62-13410-S
通讯行业	62-13503-S
通讯通道	62-13583-S
通讯院士	62-13730-S
通许	62-13843-S
通识	62-14028-S
通识培训	62-14138-S
通识教育	62-14210-S
通识课程	62-14284-S
通话	62-13904-S
通谍	62-13978-S
通貨 通货	62-14457-B
通貨緊縮 通货紧缩	62-14518-B
通貨膨脹 通货膨胀	62-14584-B
通货	62-14457-S
通货紧缩	62-14518-S
通货膨胀	62-14584-S
通路	62-14653-S
通路 通路	62-14653-B
通車 通车	62-14693-B
通车	62-14693-S
通辽	62-15332-S
通辽市	62-15416-S
通达	62-15292-S
通过	62-14903-S
通过事后	62-15016-S
通透	62-14743-S
通透 通透	62-14743-B
通途	62-14789-S
通途 通途	62-14789-B
通通	62-14848-S
通通 通通	62-14848-B
通過 通过	62-14903-B
通過事後 通过事后	62-15016-B
通道	62-15081-S
通道 通道	62-15081-B
通道侗族自治县	62-15161-S
通道侗族自治縣 通道侗族自治县	62-15161-B
通達 通达	62-15292-B
通遼 通辽	62-15332-B
通遼市 通辽市	62-15416-B
通量	62-15511-S
通量 通量	62-15511-B
通電 通电	62-15552-B
通電话 通电话	62-15721-B
通霄鎮 通霄镇	62-15782-B
通霄镇	62-15782-S
通順 通顺	62-15860-B
通顺	62-15860-S
通風 通风	62-15921-B
通風口 通风口	62-16010-B
通風孔 通风孔	62-16089-B
通風管 通风管	62-16152-B
通风	62-15921-S
通风口	62-16010-S
通风孔	62-16089-S
通风管	62-16152-S
逛	62-16216-S
逛 逛	62-16216-B
逛街	62-16259-S
逛街 逛街	62-16259-B
逛逛	62-16350-S
逛逛 逛逛	62-16350-B
逝	62-16418-S
逝 逝	62-16418-B
逝世	62-16451-S
逝世 逝世	62-16451-B
逝去	62-16504-S
逝去 逝去	62-16504-B
逞	62-16543-S
逞 逞	62-16543-B
速	62-16599-S
速 速	62-16599-B
速写	62-16683-S
速决	62-17017-S
速冻	62-16637-S
速凍 速冻	62-16637-B
速寫 速写	62-16683-B
速射	62-16728-S
速射 速射	62-16728-B
速度	62-16771-S
速度 速度	62-16771-B
速成	62-16822-S
速成 速成	62-16822-B
速效	62-16886-S
速效 速效	62-16886-B
速效性毒剂	62-16933-S
速效性毒劑 速效性毒剂	62-16933-B
速決 速决	62-17017-B
速率	62-17064-S
速率 速率	62-17064-B
速行	62-17106-S
速行 速行	62-17106-B
速記 速记	62-17144-B
速記員 速记员	62-17185-B
速調管 速调管	62-17241-B
速记	62-17144-S
速记员	62-17185-S
速调管	62-17241-S
速递	62-17356-S
速遞 速递	62-17356-B
速食店	62-17395-S
速食店 速食店	62-17395-B
速食面	62-17524-S
速食餐厅	62-17454-S
速食餐廳 速食餐厅	62-17454-B
速食麵 速食面	62-17524-B
造	62-17584-S
造 造	62-17584-B
造价	62-17648-S
造價 造价	62-17648-B
造反	62-17699-S
造反 造反	62-17699-B
造反派	62-17745-S
造反派 造反派	62-17745-B
造句	62-17803-S
造句 造句	62-17803-B
造型	62-17851-S
造型 造型	62-17851-B
造型艺术	62-17902-S
造型藝術 造型艺术	62-17902-B
造就	62-17987-S
造就 造就	62-17987-B
造山	62-18029-S
造山 造山	62-18029-B
造山作用	62-18100-S
造山作用 造山作用	62-18100-B
造山带	62-18172-S
造山帶 造山带	62-18172-B
造山运动	62-18238-S
造山運動 造山运动	62-18238-B
造岩矿物	62-18332-S
造岩礦物 造岩矿物	62-18332-B
造成	62-18409-S
造成 造成	62-18409-B
造成問題 造成问题	62-18478-B
造成问题	62-18478-S
造林	62-18572-S
造林 造林	62-18572-B
造桥乡	62-18617-S
造橋鄉 造桥乡	62-18617-B
造物主	62-18698-S
造物主 造物主	62-18698-B
造紙 造纸	62-18788-B
造繭自縛 造茧自缚	62-18834-B
造纸	62-18788-S
造船	62-19001-S
造船 造船	62-19001-B
造船厂	62-19049-S
造船廠 造船厂	62-19049-B
造茧自缚	62-18834-S
造血	62-19115-S
造血 造血	62-19115-B
造血干细胞	62-19188-S
造血幹細胞 造血干细胞	62-19188-B
造謠 造谣	62-19298-B
造谣	62-19298-S
逡	62-19348-S
逡 逡	62-19348-B
逢	62-19382-S
逢 逢	62-19382-B
連 连	62-19431-B
連串 连串	62-19501-B
連任 连任	62-19570-B
連係 连系	62-19670-B
連係詞 连系词	62-19792-B
連南瑤族自治縣 连南瑶族自治县	62-19851-B
連南縣 连南县	62-19988-B
連同 连同	62-20085-B
連坐 连坐	62-20145-B
連城 连城	62-20234-B
連城縣 连城县	62-20323-B
連夜 连夜	62-20413-B
連天 连天	62-20502-B
連奔帶跑 连奔带跑	62-20560-B
連字符 连字符	62-20649-B
連字符號 连字符号	62-20699-B
連宵 连宵	62-20760-B
連寫 连写	62-20844-B
連山 连山	62-20949-B
連山區 连山区	62-21044-B
連山壯族瑤族自治縣 连山壮族瑶族自治县	62-21149-B
連山縣 连山县	62-21323-B
連州 连州	62-21431-B
連州市 连州市	62-21512-B
連巹 连卺	62-21604-B
連平 连平	62-21679-B
連年 连年	62-21748-B
連忙 连忙	62-21816-B
連戰 连战	62-21868-B
連手 连手	62-21921-B
連接 连接	62-22000-B
連接器 连接器	62-22092-B
連接至 连接至	62-22146-B
連接號 连接号	62-22205-B
連接詞 连接词	62-22257-B
連擊 连击	62-22313-B
連敗 连败	62-22353-B
連日 连日	62-22438-B
連書 连书	62-22510-B
連枷 连枷	62-22595-B
連江 连江	62-22661-B
連滾帶爬 连滚带爬	62-22729-B
連珠 连珠	62-22813-B
連珠砲 连珠炮	62-22912-B
連理 连理	62-22982-B
連環 连环	62-23072-B
連環圖 连环图	62-23113-B
連環畫 连环画	62-23170-B
連用 连用	62-23244-B
連累 连累	62-23328-B
連結 连结	62-23415-B
連結主義 连结主义	62-23467-B
連絡 连络	62-23536-B
連綴 连缀	62-23600-B
連綴動詞 连缀动词	62-23680-B
連綿 连绵	62-23750-B
連綿詞 连绵词	62-23873-B
連線 连线	62-23931-B
連縣 连县	62-24065-B
連續 连续	62-24125-B
連續不斷 连续不断	62-24178-B
連續介質力學 连续介质力学	62-24254-B
連續函數 连续函数	62-24393-B
連續劇 连续剧	62-24468-B
連續性 连续性	62-24558-B
連續監視 连续监视	62-24614-B
連續統假設 连续统假设	62-24692-B
連續譯碼階段 连续译码阶段	62-24792-B
連續變調 连续变调	62-24894-B
連續集 连续集	62-24963-B
連翹 连翘	62-25016-B
連耞 连耞	62-25061-B
連聲 连声	62-25127-B
連衣裙 连衣裙	62-25221-B
連詞 连词	62-25290-B
連貫 连贯	62-25335-B
連載 连载	62-25398-B
連通 连通	62-25482-B
連通器 连通器	62-25553-B
連連 连连	62-25647-B
連鎖 连锁	62-25709-B
連鎖反應 连锁反应	62-25749-B
連鎖店 连锁店	62-25821-B
連鑣并軫 连镳并轸	62-25879-B
連隊 连队	62-26053-B
連雲港 连云港	62-26107-B
連雲港市 连云港市	62-26198-B
連體嬰 连体婴	62-26300-B
逦	63-14609-S
逭	62-26361-S
逭 逭	62-26361-B
逮	62-26396-S,62-26443-S
逮 逮	62-26396-B,62-26443-B
逮捕	62-26483-S
逮捕 逮捕	62-26483-B
逯	62-26522-S
逯 逯	62-26522-B
週 周	62-26567-B
週一 周一	62-26601-B
週三 周三	62-26641-B
週二 周二	62-26685-B
週五 周五	62-26726-B
週六 周六	62-26766-B
週刊 周刊	62-26809-B
週到 周到	62-26869-B
週四 周四	62-26926-B
週圍	62-26968-S
週圍 週圍	62-26968-B
週年 周年	62-27027-B
週徑 周径	62-27081-B
週日 周日	62-27163-B
週期 周期	62-27203-B
週期性 周期性	62-27249-B
週期數 周期数	62-27324-B
週期系 周期系	62-27384-B
週期表 周期表	62-27509-B
週期解 周期解	62-27573-B
週末 周末	62-27643-B
週末愉快 周末愉快	62-27684-B
週游	62-27760-S
週游 週游	62-27760-B
週而復始 周而复始	62-27819-B
週轉	62-27973-S
週轉 週轉	62-27973-B
週轉金 周转金	62-28109-B
週遊	62-28189-S
週遊 週遊	62-28189-B
週邊	62-28248-S
週邊 週邊	62-28248-B
週長	62-28324-S
週長 週長	62-28324-B
進 进	62-28385-B
進一步 进一步	62-28438-B
進了天堂 进了天堂	62-28547-B
進京 进京	62-28637-B
進位法 进位法	62-28709-B
進來 进来	62-28796-B
進修 进修	62-28840-B
進價 进价	62-28909-B
進入 进入	62-28956-B
進出口 进出口	62-29016-B
進出境 进出境	62-29078-B
進化 进化	62-29154-B
進化論 进化论	62-29197-B
進去 进去	62-29270-B
進取 进取	62-29311-B
進口 进口	62-29372-B
進口商 进口商	62-29412-B
進士 进士	62-29483-B
進展 进展	62-29603-B
進度 进度	62-29670-B
進度表 进度表	62-29759-B
進接 进接	62-29826-B
進接服務 进接服务	62-29866-B
進攻 进攻	62-29933-B
進步 进步	62-29984-B
進步號 进步号	62-30060-B
進獻 进献	62-30140-B
進發 进发	62-30194-B
進程 进程	62-30246-B
進而 进而	62-30296-B
進行 进行	62-30357-B
進行交易 进行交易	62-30487-B
進行性 进行性	62-30570-B
進行性交 进行性交	62-30636-B
進行性失語 进行性失语	62-30733-B
進行曲 进行曲	62-30843-B
進行編程 进行编程	62-30903-B
進行調查 进行调查	62-30981-B
進行通信 进行通信	62-31068-B
進襲 进袭	62-31168-B
進賢 进贤	62-31229-B
進賢縣 进贤县	62-31297-B
進賬 进账	62-31377-B
進軍 进军	62-31428-B
進退 进退	62-31481-B
進退不得 进退不得	62-31596-B
進退中繩 进退中绳	62-31760-B
進退兩難 进退两难	62-31841-B
進退失據 进退失据	62-32013-B
進退有常 进退有常	62-32148-B
進退為難 进退为难	62-32227-B
進退維谷 进退维谷	62-32397-B
進退自如 进退自如	62-32566-B
進逼 进逼	62-32665-B
進道若蜷 进道若蜷	62-32747-B
進道若退 进道若退	62-32820-B
進門 进门	62-32892-B
進階 进阶	62-32938-B
進食 进食	62-32980-B
逴	62-33036-S
逴 逴	62-33036-B
逵	62-33083-S
逵 逵	62-33083-B
逶	62-33129-S
逶 逶	62-33129-B
逶迤	62-33159-S
逶迤 逶迤	62-33159-B
逸	62-33208-S
逸 逸	62-33208-B
逸事	62-33258-S
逸事 逸事	62-33258-B
逸緻 逸致	62-33324-B
逸聞 逸闻	62-33391-B
逸致	62-33324-S
逸豫	62-33445-S
逸豫 逸豫	62-33445-B
逸闻	62-33391-S
逹	62-33498-S
逹 逹	62-33498-B
逻	63-14257-S
逻各斯	63-14292-S
逻辑	63-14358-S
逻辑学	63-14395-S
逻辑炸弹	63-14443-S
逻辑链路控制	63-14508-S
逼	62-33566-S
逼 逼	62-33566-B
逼上梁山	62-33697-S
逼上樑山 逼上梁山	62-33697-B
逼人	62-33860-S
逼人 逼人	62-33860-B
逼仄	62-33913-S
逼仄 逼仄	62-33913-B
逼供	62-33959-S
逼供 逼供	62-33959-B
逼供信	62-34012-S
逼供信 逼供信	62-34012-B
逼债	62-34113-S
逼債 逼债	62-34113-B
逼宫	62-34177-S
逼宮 逼宫	62-34177-B
逼死	62-34248-S
逼死 逼死	62-34248-B
逼真	62-34318-S
逼真 逼真	62-34318-B
逼肖	62-34392-S
逼肖 逼肖	62-34392-B
逼視 逼视	62-34474-B
逼视	62-34474-S
逼近	62-34543-S
逼近 逼近	62-34543-B
逼迫	62-34623-S
逼迫 逼迫	62-34623-B
逾	62-34674-S
逾 逾	62-34674-B
逾越	62-34758-S
逾越 逾越	62-34758-B
逾越節 逾越节	62-34800-B
逾越节	62-34800-S
遁	62-34869-S
遁 遁	62-34869-B
遂	62-34911-S
遂 遂	62-34911-B
遂宁	62-34943-S
遂宁市	62-35018-S
遂寧 遂宁	62-34943-B
遂寧市 遂宁市	62-35018-B
遂川	62-35104-S
遂川 遂川	62-35104-B
遂川县	62-35171-S
遂川縣 遂川县	62-35171-B
遂平	62-35250-S
遂平 遂平	62-35250-B
遂昌	62-35313-S
遂昌 遂昌	62-35313-B
遂溪	62-35381-S
遂溪 遂溪	62-35381-B
遄	62-35444-S
遄 遄	62-35444-B
遄征	62-35488-S
遄征 遄征	62-35488-B
遅	62-35573-S
遅 遅	62-35573-B
遇	62-35623-S
遇 遇	62-35623-B
遇到	62-35699-S
遇到 遇到	62-35699-B
遇害	62-35766-S
遇害 遇害	62-35766-B
遇袭	62-35835-S
遇襲 遇袭	62-35835-B
遇見 遇见	62-35898-B
遇见	62-35898-S
遇险	62-35936-S
遇險 遇险	62-35936-B
遇难	62-36014-S
遇难者	62-36069-S
遇难船	62-36128-S
遇難 遇难	62-36014-B
遇難者 遇难者	62-36069-B
遇難船 遇难船	62-36128-B
遉	62-36183-S
遉 遉	62-36183-B
遊 游	62-36210-B
遊人 游人	62-36278-B
遊伴 游伴	62-36321-B
遊俠 游侠	62-36363-B
遊俠騎士 游侠骑士	62-36410-B
遊學 游学	62-36480-B
遊客 游客	62-36544-B
遊弋 游弋	62-36593-B
遊戲 游戏	62-36635-B
遊戲場 游戏场	62-36677-B
遊戲機 游戏机	62-36733-B
遊戲設備 游戏设备	62-36796-B
遊戲說 游戏说	62-36895-B
遊手 游手	62-36982-B
遊手好閑 游手好闲	62-37027-B
遊抏 游抏	62-37095-B
遊擊 游击	62-37153-B
遊擊戰 游击战	62-37203-B
遊擊隊 游击队	62-37265-B
遊樂 游乐	62-37323-B
遊樂園 游乐园	62-37383-B
遊樂場 游乐场	62-37438-B
遊歷 游历	62-37494-B
遊牧 游牧	62-37544-B
遊玩 游玩	62-37645-B
遊艇 游艇	62-37742-B
遊蕩 游荡	62-37788-B
遊藝 游艺	62-37828-B
遊藝團 游艺团	62-37874-B
遊藝會 游艺会	62-37974-B
遊行 游行	62-38045-B
遊覽 游览	62-38106-B
遊覽區 游览区	62-38175-B
遊記 游记	62-38252-B
遊說 游说	62-38300-B
遊走 游走	62-38375-B
遊隼 游隼	62-38435-B
遊離 游离	62-38485-B
運 运	62-38588-B
運作 运作	62-38665-B
運價 运价	62-38753-B
運動 运动	62-38806-B
運動員 运动员	62-38865-B
運動場 运动场	62-38919-B
運動學 运动学	62-39004-B
運動家 运动家	62-39060-B
運動戰 运动战	62-39123-B
運動方程 运动方程	62-39184-B
運動會 运动会	62-39263-B
運動服 运动服	62-39329-B
運動病 运动病	62-39384-B
運動鞋 运动鞋	62-39459-B
運勢 运势	62-39517-B
運十 运十	62-39574-B
運命 运命	62-39621-B
運單 运单	62-39674-B
運城 运城	62-39733-B
運城地區 运城地区	62-39820-B
運城市 运城市	62-39918-B
運思 运思	62-40016-B
運慶 运庆	62-40080-B
運數 运数	62-40134-B
運氣 运气	62-40189-B
運河 运河	62-40239-B
運營 运营	62-40277-B
運用 运用	62-40348-B
運用自如 运用自如	62-40403-B
運神 运神	62-40561-B
運程 运程	62-40637-B
運筆 运笔	62-40701-B
運算 运算	62-40759-B
運算法則 运算法则	62-40818-B
運算環境 运算环境	62-40903-B
運籌 运筹	62-40983-B
運籌學 运筹学	62-41046-B
運腳 运脚	62-41116-B
運行 运行	62-41165-B
運行時 运行时	62-41227-B
運行時錯誤 运行时错误	62-41296-B
運行狀況 运行状况	62-41392-B
運貨員 运货员	62-41485-B
運貨馬車 运货马车	62-41537-B
運費 运费	62-41603-B
運載 运载	62-41641-B
運載火箭 运载火箭	62-41703-B
運載量 运载量	62-41774-B
運輸 运输	62-41837-B
運輸量 运输量	62-41896-B
運轉 运转	62-41960-B
運送 运送	62-42040-B
運量 运量	62-42096-B
運銷 运销	62-42149-B
遍	62-42226-S
遍 遍	62-42226-B
遍体	62-42663-S
遍体鳞伤	62-42714-S
遍及	62-42290-S
遍及 遍及	62-42290-B
遍地	62-42346-S
遍地 遍地	62-42346-B
遍地开花	62-42399-S
遍地開花 遍地开花	62-42399-B
遍布	62-42531-S
遍布 遍布	62-42531-B
遍身	62-42608-S
遍身 遍身	62-42608-B
遍體 遍体	62-42663-B
遍體鱗傷 遍体鳞伤	62-42714-B
過 过	62-42853-B
過一會兒 过一会儿	62-43013-B
過不去 过不去	62-43085-B
過世 过世	62-43182-B
過了五分鐘 过了五分钟	62-43235-B
過人 过人	62-43320-B
過份 过份	62-43392-B
過份簡單化 过份简单化	62-43442-B
過來 过来	62-43541-B
過冬 过冬	62-43652-B
過分 过分	62-43712-B
過剩 过剩	62-43768-B
過勞 过劳	62-43818-B
過去 过去	62-43905-B
過去分詞 过去分词	62-43988-B
過問 过问	62-44078-B
過境 过境	62-44155-B
過境簽證 过境签证	62-44232-B
過多 过多	62-44304-B
過夜 过夜	62-44356-B
過失 过失	62-44417-B
過少 过少	62-44463-B
過山車 过山车	62-44518-B
過年 过年	62-44578-B
過度 过度	62-44635-B
過度學習到的 过度学习到的	62-44728-B
過度緊張 过度紧张	62-44813-B
過度關懷 过度关怀	62-44899-B
過庭錄 过庭录	62-44983-B
過往 过往	62-45148-B
過後 过后	62-45229-B
過得 过得	62-45287-B
過得去 过得去	62-45390-B
過敏 过敏	62-45556-B
過敏反應 过敏反应	62-45612-B
過敏性 过敏性	62-45689-B
過敏性休克 过敏性休克	62-45779-B
過敏性反應 过敏性反应	62-45864-B
過於 过于	62-45986-B
過日子 过日子	62-46039-B
過早 过早	62-46133-B
過早死亡 过早死亡	62-46209-B
過早起爆 过早起爆	62-46280-B
過時 过时	62-46348-B
過期 过期	62-46395-B
過氧化物 过氧化物	62-46497-B
過氧物酶體 过氧物酶体	62-46561-B
過活 过活	62-46657-B
過渡 过渡	62-46720-B
過渡時期 过渡时期	62-46823-B
過渡金屬 过渡金属	62-46887-B
過濾 过滤	62-46958-B
過濾嘴香煙 过滤嘴香烟	62-47007-B
過熱 过热	62-47098-B
過犯 过犯	62-47160-B
過猶不及 过犹不及	62-47207-B
過獎 过奖	62-47304-B
過生日 过生日	62-47365-B
過癮 过廕	62-47434-B
過癮 过瘾	62-47552-B
過目 过目	62-47684-B
過硬 过硬	62-47729-B
過程 过程	62-47815-B
過程比終點更美 过程比终点更美	62-47875-B
過站大廳 过站大厅	62-48065-B
過節 过节	62-48136-B
過譽 过誉	62-48249-B
過路人 过路人	62-48338-B
過載 过载	62-48393-B
過道 过道	62-48435-B
過重 过重	62-48488-B
過量 过量	62-48544-B
過錯 过错	62-48595-B
過關 过关	62-48636-B
過頭 过头	62-48737-B
過頭話 过头话	62-48797-B
過馬路 过马路	62-48854-B
遏	62-48916-S
遏 遏	62-48916-B
遏制	62-48950-S
遏制 遏制	62-48950-B
遏止	62-49022-S
遏止 遏止	62-49022-B
遐	62-49132-S
遐 遐	62-49132-B
遐迩	62-49170-S
遐迩闻名	62-49230-S
遐邇 遐迩	62-49170-B
遐邇聞名 遐迩闻名	62-49230-B
遑	62-49303-S
遑 遑	62-49303-B
遒	62-49335-S
遒 遒	62-49335-B
道	62-49380-S
道 道	62-49380-B
道不拾遗	62-49468-S
道不拾遺 道不拾遗	62-49468-B
道义	62-51708-S
道光	62-49655-S
道光 道光	62-49655-B
道光帝	62-49729-S
道光帝 道光帝	62-49729-B
道具	62-49791-S
道具 道具	62-49791-B
道別 道别	62-49835-B
道别	62-49835-S
道卡斯族	62-49896-S
道卡斯族 道卡斯族	62-49896-B
道县	62-51654-S
道听途说	62-51775-S
道地	62-49955-S
道地 道地	62-49955-B
道场	62-50006-S
道場 道场	62-50006-B
道士	62-50143-S
道士 道士	62-50143-B
道奇	62-50192-S
道奇 道奇	62-50192-B
道姑	62-50230-S
道姑 道姑	62-50230-B
道孚	62-50273-S
道孚 道孚	62-50273-B
道学	62-50334-S
道學 道学	62-50334-B
道家	62-50494-S
道家 道家	62-50494-B
道尔顿	62-51403-S
