經濟前途 经济前途	49-59387-B
綜藝節目 综艺节目	49-64108-B
綜觀 综观	49-64175-B
綜計 综计	49-64231-B
綜述 综述	49-64303-B
綠 绿	49-64377-B
綠化 绿化	49-64404-B
綠區 绿区	49-64474-B
綠卡 绿卡	49-64526-B
綠園 绿园	49-64606-B
綠園區 绿园区	49-64694-B
綠女紅男 绿女红男	49-64792-B
綠寶石 绿宝石	49-64903-B
綠島鄉 绿岛乡	49-64952-B
綠帽子 绿帽子	49-65007-B
綠春 绿春	49-65056-B
綠松石 绿松石	49-65118-B
綠林 绿林	49-65172-B
綠林好漢 绿林好汉	49-65235-B
綠林豪客 绿林豪客	49-65357-B
綠樹 绿树	49-65478-B
綠油油 绿油油	49-65521-B
綠泥石 绿泥石	49-65583-B
綠洲 绿洲	49-65642-B
綠燈 绿灯	49-65681-B
綠營 绿营	49-65726-B
綠皮書 绿皮书	49-65779-B
綠礬 绿矾	49-65833-B
綠色 绿色	49-65908-B
綠色和平組織 绿色和平组织	49-65945-B
綠色食品 绿色食品	49-66030-B
綠苔 绿苔	49-66115-B
綠茶 绿茶	49-66159-B
綠草 绿草	49-66201-B
綠草如茵 绿草如茵	49-66245-B
綠豆 绿豆	49-66374-B
綠赤楊 绿赤杨	50-0-B
綠雀 绿雀	50-72-B
綠頭巾 绿头巾	50-143-B
綠黨 绿党	50-243-B
綢 绸	50-300-B
綢子 绸子	50-336-B
綢緞 绸缎	50-385-B
綣 绻	50-438-B
綦	50-479-S
綦 綦	50-479-B
綦江	50-533-S
綦江 綦江	50-533-B
綪	50-598-S
綪 綪	50-598-B
綫	50-654-S
綫 綫	50-654-B
綫蟲 线虫	50-726-B
綬 绶	50-801-B
維 维	50-839-B
維也納 维也纳	50-949-B
維京人 维京人	50-1019-B
維他命 维他命	50-1072-B
維修 维修	50-1124-B
維修區 维修区	50-1208-B
維克多・雨果 维克多・雨果	50-1268-B
維克托 维克托	50-1365-B
維吉爾 维吉尔	50-1422-B
維吾爾 维吾尔	50-1495-B
維吾爾人 维吾尔人	50-1565-B
維吾爾族 维吾尔族	50-1642-B
維吾爾語 维吾尔语	50-1734-B
維和 维和	50-1802-B
維和部隊 维和部队	50-1848-B
維基 维基	50-1921-B
維基百科 维基百科	50-1958-B
維士卡 维士卡	50-2041-B
維多利亞 维多利亚	50-2094-B
維多利亞公園 维多利亚公园	50-2156-B
維多利亞女王 维多利亚女王	50-2247-B
維多利亞島 维多利亚岛	50-2357-B
維多利亞州 维多利亚州	50-2437-B
維多利亞洲 维多利亚洲	50-2511-B
維多利亞港 维多利亚港	50-2585-B
維多利亞湖 维多利亚湖	50-2666-B
維多利亞瀑布 维多利亚瀑布	50-2762-B
維奇 维奇	50-2889-B
維妙維肖 维妙维肖	50-2996-B
維它命 维它命	50-3102-B
維度 维度	50-3182-B
維恩圖解 维恩图解	50-3247-B
維拉 维拉	50-3321-B
維持 维持	50-3373-B
維持費 维持费	50-3438-B
維數 维数	50-3500-B
維新 维新	50-3566-B
維新派 维新派	50-3633-B
維族 维族	50-3699-B
維權 维权	50-3767-B
維權人士 维权人士	50-3826-B
維爾容 维尔容	50-3904-B
維爾斯特拉斯 维尔斯特拉斯	50-4014-B
維爾紐斯 维尔纽斯	50-4115-B
維特 维特	50-4199-B
維特根斯坦 维特根斯坦	50-4239-B
維珍 维珍	50-4323-B
維生素 维生素	50-4374-B
維管束 维管束	50-4427-B
維管柱 维管柱	50-4488-B
維納斯 维纳斯	50-4549-B
維繫 维系	50-4608-B
維羅納 维罗纳	50-4677-B
維護 维护	50-4727-B
維達 维达	50-4815-B
綮	50-4867-S
綮 綮	50-4867-B
綯	50-4907-S
綯 綯	50-4907-B
綰 绾	50-4945-B
綱 纲	50-4991-B
綱要 纲要	50-5101-B
綱領 纲领	50-5160-B
網 网	50-5221-B
網上 网上	50-5256-B
網上廣播 网上广播	50-5300-B
網卡 网卡	50-5384-B
網友 网友	50-5430-B
網吧 网吧	50-5500-B
網址 网址	50-5546-B
網孔 网孔	50-5620-B
網店 网店	50-5660-B
網易 网易	50-5707-B
網景 网景	50-5748-B
網杓 网杓	50-5792-B
網架 网架	50-5853-B
網格 网格	50-5892-B
網橋 网桥	50-5943-B
網段 网段	50-5995-B
網民 网民	50-6046-B
網特 网特	50-6090-B
網狀脈 网状脉	50-6212-B
網球 网球	50-6306-B
網球場 网球场	50-6347-B
網眼 网眼	50-6407-B
網站 网站	50-6482-B
網管 网管	50-6546-B
網管員 网管员	50-6610-B
網管接口 网管接口	50-6695-B
網管系統 网管系统	50-6781-B
網絡 网络	50-6857-B
網絡協議 网络协议	50-6909-B
網絡客 网络客	50-6981-B
網絡層 网络层	50-7045-B
網絡層協議 网络层协议	50-7105-B
網絡廣告 网络广告	50-7195-B
網絡應用 网络应用	50-7272-B
網絡打印機 网络打印机	50-7350-B
網絡技術 网络技术	50-7431-B
網絡操作系統 网络操作系统	50-7505-B
網絡日記 网络日记	50-7608-B
網絡瀏覽器 网络浏览器	50-7690-B
網絡特工 网络特工	50-7789-B
網絡環境 网络环境	50-7894-B
網絡直徑 网络直径	50-7972-B
網絡科技 网络科技	50-8046-B
網絡管理 网络管理	50-8119-B
網絡管理員 网络管理员	50-8194-B
網絡管理系統 网络管理系统	50-8284-B
網絡規劃人員 网络规划人员	50-8392-B
網絡設備 网络设备	50-8487-B
網絡設計 网络设计	50-8561-B
網絡遊戲 网络游戏	50-8644-B
網絡遷移 网络迁移	50-8734-B
網絡鐵路 网络铁路	50-8808-B
網罟座 网罟座	50-8902-B
網羅 网罗	50-8972-B
網膜 网膜	50-9038-B
網袋 网袋	50-9086-B
網誌 网志	50-9139-B
網路 网路	50-9201-B
網路作業系統 网路作业系统	50-9242-B
網路平台 网路平台	50-9343-B
網路應用 网路应用	50-9416-B
網路服務 网路服务	50-9493-B
網路架構 网路架构	50-9562-B
網路特務 网路特务	50-9640-B
網路環境 网路环境	50-9741-B
網路節點 网路节点	50-9818-B
網路節點介面 网路节点介面	50-9887-B
網路連接層 网路连接层	50-9989-B
網通 网通	50-10076-B
網遊 网游	50-10207-B
網關 网关	50-10289-B
網際 网际	50-10381-B
網際協定 网际协定	50-10434-B
網際網絡 网际网络	50-10511-B
網際網路 网际网路	50-10576-B
網際網路協會 网际网路协会	50-10640-B
網際色情 网际色情	50-10734-B
網際電話 网际电话	50-10799-B
網頁 网页	50-10870-B
網頁設計 网页设计	50-10912-B
網點 网点	50-10977-B
綴 缀	50-11045-B,50-11109-B
綴飾 缀饰	50-11188-B
綵 䌽	50-11243-B
綸 纶	50-11339-B
綹 绺	50-11393-B
綺 绮	50-11431-B
綺繡 绮绣	50-11477-B
綺色佳 绮色佳	50-11544-B
綺靡 绮靡	50-11593-B
綺麗 绮丽	50-11649-B
綻 绽	50-11701-B
綽 绰	50-11759-B,50-11809-B
綽約 绰约	50-11870-B
綽號 绰号	50-11922-B
綾 绫	50-11965-B
綿 绵	50-12005-B
綿亘 绵亘	50-12151-B
綿力 绵力	50-12234-B
綿子 绵子	50-12304-B
綿密 绵密	50-12355-B
綿延 绵延	50-12425-B
綿惙 绵惙	50-12564-B
綿白糖 绵白糖	50-12632-B
綿竹 绵竹	50-12691-B
綿竹市 绵竹市	50-12779-B
綿竹縣 绵竹县	50-12878-B
綿綢 绵绸	50-12967-B
綿綿 绵绵	50-13038-B
綿羊 绵羊	50-13098-B
綿聯 绵联	50-13141-B
綿薄 绵薄	50-13201-B
綿遠 绵远	50-13285-B
綿里藏針 绵里藏针	50-13327-B
綿陽 绵阳	50-13545-B
綿陽地區 绵阳地区	50-13622-B
綿陽市 绵阳市	50-13721-B
緁	50-13815-S
緁 緁	50-13815-B
緄 绲	50-13845-B
緄邊 绲边	50-13893-B
緅	50-13951-S
緅 緅	50-13951-B
緇 缁	50-13985-B
緊 紧	50-14032-B
緊俏 紧俏	50-14075-B
緊密 紧密	50-14138-B
緊密織物 紧密织物	50-14188-B
緊張 紧张	50-14262-B
緊急 紧急	50-14360-B
緊急事件 紧急事件	50-14399-B
緊急危害 紧急危害	50-14464-B
緊急應變 紧急应变	50-14533-B
緊急狀態 紧急状态	50-14610-B
緊抱 紧抱	50-14686-B
緊握 紧握	50-14723-B
緊湊 紧凑	50-14770-B
緊湊 紧湊	50-14817-B
緊湊型車 紧凑型车	50-14883-B
緊湊渺子綫圈 紧凑渺子线圈	50-14957-B
緊緊 紧紧	50-15064-B
緊縮 紧缩	50-15113-B
緊繃 紧绷	50-15183-B
緊繃繃 紧绷绷	50-15233-B
緊要 紧要	50-15306-B
緊要關頭 紧要关头	50-15362-B
緊貼 紧贴	50-15478-B
緊跟 紧跟	50-15520-B
緊迫 紧迫	50-15588-B
緊靠 紧靠	50-15636-B
緋 绯	50-15706-B
緌	50-15749-S
緌 緌	50-15749-B
緎	50-15786-S
緎 緎	50-15786-B
緑	50-15812-S
緑 緑	50-15812-B
緒 绪	50-15861-B
緒言 绪言	50-15919-B
緖	50-15959-S
緖 緖	50-15959-B
緗 缃	50-16036-B
緘 缄	50-16079-B
緘默 缄默	50-16124-B
緙 缂	50-16172-B
線 线	50-16201-B
線上 线上	50-16248-B
線上查詢 线上查询	50-16291-B
線圈 线圈	50-16363-B
線圈般 线圈般	50-16437-B
線圖 线图	50-16522-B
線團 线团	50-16587-B
線性 线性	50-16637-B
線性代數 线性代数	50-16689-B
線性方程 线性方程	50-16761-B
線性波 线性波	50-16845-B
線性算子 线性算子	50-16902-B
線性系統 线性系统	50-16982-B
線性規劃 线性规划	50-17053-B
線桿 线杆	50-17129-B
線條 线条	50-17180-B
線段 线段	50-17222-B
線狀 线状	50-17270-B
線粒體 线粒体	50-17314-B
線索 线索	50-17371-B
線繩 线绳	50-17437-B
線纜 线缆	50-17492-B
線西鄉 线西乡	50-17553-B
線路 线路	50-17632-B
線軸 线轴	50-17697-B
線速度 线速度	50-17745-B
線鋸 线锯	50-17804-B
緜	50-17853-S
緜 緜	50-17853-B
緝 缉	50-17906-B,50-17961-B
緝拿 缉拿	50-17999-B
緝捕 缉捕	50-18049-B
緝查 缉查	50-18112-B
緝獲 缉获	50-18177-B
緝私 缉私	50-18232-B
緝訪 缉访	50-18314-B
緞 缎	50-18369-B
緞子 缎子	50-18398-B
緞布 缎布	50-18436-B
緞帶 缎带	50-18475-B
緞紋織 缎纹织	50-18516-B
緞織 缎织	50-18573-B
締 缔	50-18619-B
締結 缔结	50-18671-B
締造 缔造	50-18730-B
締造者 缔造者	50-18781-B
緡 缗	50-18858-B
緣 缘	50-18914-B
緣份 缘份	50-19004-B
緣何 缘何	50-19161-B
緣分 缘分	50-19216-B
緣故 缘故	50-19346-B
緣由 缘由	50-19392-B
緣起 缘起	50-19439-B
緣飾 缘饰	50-19479-B
緦 缌	50-19520-B
編 编	50-19552-B
編修 编修	50-19647-B
編劇 编剧	50-19701-B
編印 编印	50-19782-B
編審 编审	50-19842-B
編寫 编写	50-19903-B
編導 编导	50-19945-B
編年史 编年史	50-20007-B
編年體 编年体	50-20070-B
編排 编排	50-20160-B
編曲 编曲	50-20216-B
編次 编次	50-20280-B
編目 编目	50-20334-B
編碼 编码	50-20399-B
編碼字符集 编码字符集	50-20439-B
編磬 编磬	50-20522-B
編程 编程	50-20660-B
編組 编组	50-20707-B
編結 编结	50-20773-B
編結業 编结业	50-20825-B
編織 编织	50-20886-B
編纂 编纂	50-20943-B
編者 编者	50-20986-B
編者按 编者按	50-21036-B
編舞 编舞	50-21100-B
編著 编著	50-21160-B
編號 编号	50-21214-B
編製 编制	50-21269-B
編譔 编撰	50-21372-B
編譯 编译	50-21427-B
編譯器 编译器	50-21479-B
編輯 编辑	50-21531-B
編輯器 编辑器	50-21605-B
編輯室 编辑室	50-21666-B
編輯家 编辑家	50-21727-B
編輯詞條 编辑词条	50-21787-B
編造 编造	50-21882-B
編遣 编遣	50-22012-B
編選 编选	50-22106-B
編錄 编录	50-22165-B
編隊 编队	50-22235-B
緩 缓	50-22340-B
緩不濟急 缓不济急	50-22471-B
緩兵之計 缓兵之计	50-22650-B
緩刑 缓刑	50-22791-B
緩動 缓动	50-22844-B
緩和 缓和	50-22888-B
緩慢 缓慢	50-22991-B
緩步 缓步	50-23042-B
緩發中子 缓发中子	50-23097-B
緩緩 缓缓	50-23169-B
緩衝 缓冲	50-23240-B
緩衝器 缓冲器	50-23286-B
緩解 缓解	50-23358-B
緪	50-23427-S
緪 緪	50-23427-B
緬 缅	50-23457-B
緬元 缅元	50-23531-B
緬因 缅因	50-23581-B
緬因州 缅因州	50-23621-B
緬懷 缅怀	50-23673-B
緬文 缅文	50-23761-B
緬甸 缅甸	50-23813-B
緬甸聯邦 缅甸联邦	50-23867-B
緬甸語 缅甸语	50-23943-B
緯 纬	50-24018-B
緯圈 纬圈	50-24049-B
緯度 纬度	50-24109-B
緯線 纬线	50-24150-B
緯線圈 纬线圈	50-24215-B
緰	50-24287-S
緰 緰	50-24287-B
緱 缑	50-24312-B
緲 缈	50-24346-B
練 练	50-24380-B
練兵 练兵	50-24467-B
練習 练习	50-24532-B
練習冊 练习册	50-24589-B
練習場 练习场	50-24649-B
練習本 练习本	50-24747-B
緶 缏	50-24814-B
緹 缇	50-24843-B
緻 致	50-24880-B
緻畸 致畸	50-24917-B
縁	50-25015-S
縁 縁	50-25015-B
縃	50-25066-S
縃 縃	50-25066-B
縄	50-25097-S
縄 縄	50-25097-B
縈 萦	50-25149-B
縈繞 萦绕	50-25184-B
縉 缙	50-25252-B
縉雲 缙云	50-25283-B
縊 缢	50-25347-B
縋 缒	50-25390-B
縏	50-25434-S
縏 縏	50-25434-B
縐 绉	50-25471-B
縑 缣	50-25508-B
縕	50-25553-S,50-25605-S
縕 縕	50-25553-B,50-25605-B
縗	50-25649-S
縗 縗	50-25649-B
縚	50-25689-S
縚 縚	50-25689-B
縛 缚	50-25727-B
縝 缜	50-25763-B
縝匝 缜匝	50-25801-B
縝密 缜密	50-25855-B
縝潤 缜润	50-25942-B
縝髮 缜发	50-25992-B
縞 缟	50-26041-B
縞瑪瑙 缟玛瑙	50-26080-B
縟 缛	50-26140-B
縠	50-26179-S
縠 縠	50-26179-B
縡	50-26216-S
縡 縡	50-26216-B
縢	50-26245-S
縢 縢	50-26245-B
縣 县	50-26285-B
縣城 县城	50-26315-B
縣級 县级	50-26375-B
縣級市 县级市	50-26421-B
縣長 县长	50-26483-B
縫 缝	50-26545-B,50-26585-B
縫合 缝合	50-26631-B
縫子 缝子	50-26720-B
縫窮 缝穷	50-26784-B
縫紉 缝纫	50-26859-B
縫紉機 缝纫机	50-26910-B
縫絍 缝絍	50-26969-B
縫綴 缝缀	50-27020-B
縫縫連連 缝缝连连	50-27081-B
縫衣工人 缝衣工人	50-27170-B
縫衣針 缝衣针	50-27239-B
縫補 缝补	50-27298-B
縫製 缝制	50-27366-B
縫針 缝针	50-27424-B,50-27486-B
縫針跡 缝针迹	50-27528-B
縫隙 缝隙	50-27578-B
縭 缡	50-27629-B
縮 缩	50-27674-B
縮寫 缩写	50-27766-B
縮小 缩小	50-27823-B
縮小模型 缩小模型	50-27873-B
縮影 缩影	50-27939-B
縮成 缩成	50-28032-B
縮水 缩水	50-28082-B
縮減 缩减	50-28123-B
縮短 缩短	50-28174-B
縯	50-28231-S
縯 縯	50-28231-B
縰	50-28258-S
縰 縰	50-28258-B
縱 纵	50-28297-B
縱令 纵令	50-28455-B
縱使 纵使	50-28527-B
縱停留時間 纵停留时间	50-28581-B
縱剖面 纵剖面	50-28664-B
縱向 纵向	50-28748-B
縱容 纵容	50-28797-B
縱座標 纵坐标	50-28857-B
縱情 纵情	50-28932-B
縱意 纵意	50-28991-B
縱斷面 纵断面	50-29042-B
縱梁 纵梁	50-29127-B
縱橫 纵横	50-29181-B
縱橫交錯 纵横交错	50-29380-B
縱橫字謎 纵横字谜	50-29465-B
縱橫馳騁 纵横驰骋	50-29530-B
縱欲 纵欲	50-29647-B
縱步 纵步	50-29705-B
縱波 纵波	50-29757-B
縱深 纵深	50-29808-B
縱火 纵火	50-29868-B
縱火犯 纵火犯	50-29927-B
縱然 纵然	50-29981-B
縱目 纵目	50-30035-B
縱紋 纵纹	50-30094-B
縱線 纵线	50-30164-B
縱聲 纵声	50-30238-B
縱虎歸山 纵虎归山	50-30297-B
縱裂 纵裂	50-30434-B
縱覽 纵览	50-30509-B
縱觀 纵观	50-30570-B
縱言 纵言	50-30649-B
縱談 纵谈	50-30705-B
縱論 纵论	50-30754-B
縱貫 纵贯	50-30803-B
縱身 纵身	50-30984-B
縱酒 纵酒	50-31035-B
縱隊 纵队	50-31090-B
縱隔 纵隔	50-31136-B
縲 缧	50-31234-B
縳	50-31266-S
縳 縳	50-31266-B
縴 纤	50-31297-B
縴夫 纤夫	50-31339-B
縵 缦	50-31394-B
縶 絷	50-31447-B
縷 缕	50-31484-B
縹 缥	50-31535-B
縻	50-31575-S
縻 縻	50-31575-B
總 总	50-31603-B
總之 总之	50-31699-B
總供給 总供给	50-31761-B
總值 总值	50-31823-B
總價 总价	50-31869-B
總公司 总公司	50-31915-B
總共 总共	50-31987-B
總則 总则	50-32056-B
總動員 总动员	50-32123-B
總務 总务	50-32205-B
總參謀部 总参谋部	50-32307-B
總參謀長 总参谋长	50-32400-B
總司令 总司令	50-32484-B
總司令部 总司令部	50-32610-B
總和 总和	50-32686-B
總噸位 总吨位	50-32723-B
總回報 总回报	50-32817-B
總局 总局	50-32892-B
總幹事 总干事	50-32967-B
總後勤部 总后勤部	50-33029-B
總得 总得	50-33124-B
總成本 总成本	50-33183-B
總括 总括	50-33242-B
總收益 总收益	50-33286-B
總政治部 总政治部	50-33361-B
總數 总数	50-33458-B
總方針 总方针	50-33506-B
總是 总是	50-33587-B
總書記 总书记	50-33628-B
總會會長 总会会长	50-33710-B
總桿賽 总杆赛	50-33778-B
總機 总机	50-33842-B
總歸 总归	50-33923-B
總理 总理	50-33985-B
總理衙門 总理衙门	50-34041-B
總的來說 总的来说	50-34144-B
總監 总监	50-34248-B
總督 总督	50-34377-B
總稱 总称	50-34481-B
總站 总站	50-34530-B
總算 总算	50-34574-B
總結 总结	50-34643-B
總統 总统	50-34714-B
總統任期 总统任期	50-34774-B
總統制 总统制	50-34856-B
總統大選 总统大选	50-34922-B
總統府 总统府	50-35001-B
總統選舉 总统选举	50-35066-B
總經理 总经理	50-35145-B
總線 总线	50-35206-B
總編 总编	50-35254-B
總編輯 总编辑	50-35347-B
總署 总署	50-35420-B
總而言之 总而言之	50-35469-B
總能 总能	50-35552-B
總裁 总裁	50-35600-B
總裝備部 总装备部	50-35679-B
總要 总要	50-35772-B
總覽 总览	50-35819-B
總計 总计	50-35872-B
總部 总部	50-35919-B
總量 总量	50-35973-B
總長 总长	50-36030-B
總需求 总需求	50-36099-B
總面積 总面积	50-36160-B
總領事 总领事	50-36236-B
總領事館 总领事馆	50-36297-B
總額 总额	50-36373-B
總風險 总风险	50-36429-B
總體 总体	50-36491-B
總體上說 总体上说	50-36564-B
績 绩	50-36682-B
績效 绩效	50-36730-B
績溪 绩溪	50-36795-B
縿	50-36852-S
縿 縿	50-36852-B
繁	50-36901-S
繁 繁	50-36901-B
繁体	50-38573-S
繁体中文	50-38650-S
繁体字	50-38736-S
繁华	50-38249-S
繁博	50-36957-S
繁博 繁博	50-36957-B
繁复	50-38405-S
繁多	50-37015-S
繁多 繁多	50-37015-B
繁峙	50-37088-S
繁峙 繁峙	50-37088-B
繁征博引	50-37150-S
繁徵博引 繁征博引	50-37150-B
繁忙	50-37256-S
繁忙 繁忙	50-37256-B
繁文	50-37304-S
繁文 繁文	50-37304-B
繁文縟節 繁文缛节	50-37370-B
繁文缛节	50-37370-S
繁昌	50-37509-S
繁昌 繁昌	50-37509-B
繁星	50-37574-S
繁星 繁星	50-37574-B
繁本	50-37644-S
繁本 繁本	50-37644-B
繁杂	50-38528-S
繁榮 繁荣	50-37715-B
繁殖	50-37778-S
繁殖 繁殖	50-37778-B
繁琐	50-37846-S
繁瑣 繁琐	50-37846-B
繁盛	50-37923-S
繁盛 繁盛	50-37923-B
繁縟 繁缛	50-37969-B
繁缛	50-37969-S
繁育	50-38020-S
繁育 繁育	50-38020-B
繁花	50-38061-S
繁花 繁花	50-38061-B
繁茂	50-38150-S
繁茂 繁茂	50-38150-B
繁荣	50-37715-S
繁華 繁华	50-38249-B
繁衍	50-38303-S
繁衍 繁衍	50-38303-B
繁複 繁复	50-38405-B
繁重	50-38449-S
繁重 繁重	50-38449-B
繁雜 繁杂	50-38528-B
繁體 繁体	50-38573-B
繁體中文 繁体中文	50-38650-B
繁體字 繁体字	50-38736-B
繃 绷	50-38808-B,50-38862-B
繃子 绷子	50-38905-B
繃帶 绷带	50-38967-B
繃床 绷床	50-39009-B
繃簧 绷簧	50-39057-B
繃著臉 绷着脸	50-39100-B
繄	50-39204-S
繄 繄	50-39204-B
繅 缫	50-39247-B
繆 缪	50-39292-B,50-39351-B
繇	50-39387-S,50-39432-S,50-39466-S
繇 繇	50-39387-B,50-39432-B,50-39466-B
繈	50-39521-S
繈 繈	50-39521-B
繊	50-39577-S
繊 繊	50-39577-B
繋	50-39628-S
繋 繋	50-39628-B
繐	50-39668-S
繐 繐	50-39668-B
繒 缯	50-39718-B,50-39767-B
織 织	50-39805-B
織品 织品	50-39833-B
織女 织女	50-39874-B
織女星 织女星	50-39945-B
織布 织布	50-40028-B
織布機 织布机	50-40081-B
織物 织物	50-40128-B
織田信長 织田信长	50-40190-B
織紝 织纴	50-40273-B
織造 织造	50-40327-B
織金 织金	50-40395-B
繕 缮	50-40458-B
繖	50-40501-S
繖 繖	50-40501-B
繘	50-40540-S
繘 繘	50-40540-B
繙	50-40573-S
繙 繙	50-40573-B
繚 缭	50-40605-B
繞 绕	50-40656-B
繞口令 绕口令	50-40717-B
繞地 绕地	50-40777-B
繞流 绕流	50-40828-B
繞組 绕组	50-40893-B
繞路 绕路	50-40965-B
繠	50-41037-S
繠 繠	50-41037-B
繡 绣	50-41079-B
繡帷 绣帷	50-41114-B
繡球花 绣球花	50-41156-B
繡花 绣花	50-41210-B
繡花鞋 绣花鞋	50-41273-B
繢 缋	50-41335-B
繣	50-41377-S
繣 繣	50-41377-B
繨	50-41418-S
繨 繨	50-41418-B
繩 绳	50-41458-B
繩之以法 绳之以法	50-41487-B
繩子 绳子	50-41587-B
繩梯 绳梯	50-41637-B
繩索 绳索	50-41685-B
繩索套 绳索套	50-41725-B
繪 绘	50-41779-B
繪圖 绘图	50-41818-B
繪架座 绘架座	50-41867-B
繪畫 绘画	50-41934-B
繪製 绘制	50-41984-B
繫 系	50-42034-B
繭 茧	50-42070-B
繭子 茧子	50-42100-B
繯 缳	50-42192-B
繰 缲	50-42230-B,50-42279-B
繳 缴	50-42316-B
繳獲 缴获	50-42357-B
繳納 缴纳	50-42405-B
繸	50-42449-S
繸 繸	50-42449-B
繹 绎	50-42478-B
繻	50-42526-S
繻 繻	50-42526-B
繼 继	50-42557-B
繼任 继任	50-42658-B
繼任者 继任者	50-42720-B
繼位 继位	50-42773-B
繼女 继女	50-42830-B
繼承 继承	50-42890-B
繼承人 继承人	50-42958-B
繼承權 继承权	50-43018-B
繼承者 继承者	50-43076-B
繼母 继母	50-43130-B
繼父 继父	50-43173-B
繼續 继续	50-43216-B
繼而 继而	50-43289-B
繼電器 继电器	50-43336-B
繽 缤	50-43399-B
繽紛 缤纷	50-43462-B
繾 缱	50-43516-B
纁	50-43558-S
纁 纁	50-43558-B
纂	50-43588-S
纂 纂	50-43588-B
纆	50-43619-S
纆 纆	50-43619-B
纇	50-43650-S
纇 纇	50-43650-B
纈 缬	50-43682-B
纈氨酸 缬氨酸	50-43720-B
纊 纩	50-43777-B
續 续	50-43827-B
續借 续借	50-43867-B
續假 续假	50-43941-B
續增 续增	50-44006-B
續娶 续娶	50-44066-B
續書 续书	50-44108-B
續發感染 续发感染	50-44170-B
續篇 续篇	50-44243-B
續絃 续弦	50-44309-B
續編 续编	50-44401-B
續續 续续	50-44480-B
續航 续航	50-44540-B
續西遊記 续西游记	50-44618-B
續訂 续订	50-44747-B
續集 续集	50-44786-B
纍	50-44889-S
纍 累	50-44856-B
纍 纍	50-44889-B
纍墜 累坠	50-44933-B
纍贅 累赘	50-45125-B
纏 缠	50-45316-B
纏夾 缠夹	50-45413-B
纏夾不清 缠夹不清	50-45476-B
纏夾二先生 缠夹二先生	50-45617-B
纏手 缠手	50-45742-B
纏擾 缠扰	50-45833-B
纏結 缠结	50-45888-B
纏絡 缠络	50-45954-B
纏絲瑪瑙 缠丝玛瑙	50-46040-B
纏綿 缠绵	50-46148-B
纏綿悱惻 缠绵悱恻	50-46223-B
纏繞 缠绕	50-46353-B
纏繞莖 缠绕茎	50-46425-B
纏足 缠足	50-46489-B
纏頭 缠头	50-46535-B
纑	50-46682-S
纑 纑	50-46682-B
纓 缨	50-46731-B
纔 才	50-46768-B
纕	50-46805-S
纕 纕	50-46805-B
纖 纤	50-46853-B
纖小 纤小	50-46897-B
纖巧 纤巧	50-46946-B
纖度 纤度	50-46997-B
纖弱 纤弱	50-47035-B
纖毛 纤毛	50-47086-B
纖毛動力蛋白 纤毛动力蛋白	50-47127-B
纖細 纤细	50-47228-B
纖維 纤维	50-47278-B
纖維叢 纤维丛	50-47318-B
纖維囊泡症 纤维囊泡症	50-47385-B
纖維狀 纤维状	50-47471-B
纖維素 纤维素	50-47527-B
纖維肌痛 纤维肌痛	50-47581-B
纖維膠 纤维胶	50-47650-B
纖維蛋白 纤维蛋白	50-47704-B
