to make friends again	63-55960-B
to manage by painstaking effort 成语 saw	25-47723-B
to manage every detail regardless of its importance	1-9428-B
to manage to sell	8-44147-B
to manchurian ruling class	31-2477-S
to maneuver troops etc	58-36118-B
to manifest	23-58703-B
to manipulate	29-20540-B,29-21469-B
to manipulate a puppet	42-131-B
to manufacture	9-10752-B,46-14734-B,57-4046-B,57-4320-B,62-17584-B
to manufacture bakelite	63-41615-S,63-41713-S
to manufacture by weaving	50-40327-B
to manufacture counterfeit goods	57-3844-B
to manufacture in bulk	17-37337-B
to many correspondence	1-5602-S
to map	39-4327-B
to map out	57-56704-B,57-58148-B
to march	56-35189-B,59-33371-S,60-35809-B,62-31428-B
to marinade	63-45958-B,63-46075-B
to mark	34-52202-B,34-55960-B,40-41650-B
to mark down	38-66856-B
to mark homework	26-57220-B
to mark night watches	32-8856-S
to mark off	9-38983-B,10-41665-B
to mark one s departure	43-48756-S
to mark out	34-53821-B
to mark the completion of a building project	20-34612-S
to mark time	60-46824-B,60-46913-B,71-37621-S
to mark up	34-55899-B
to market	28-32873-B,60-29213-S
to markets	22-12513-S
to marquis	47-59704-S
to marry	18-53166-B,18-54161-B,18-57531-B,45-30938-S,49-40607-B,49-43565-B,49-44410-B,49-44474-B,57-61751-B,58-3514-S,63-37911-S
to marry a husband	18-57650-B
to marry a woman	18-51415-B
to marry and give birth late	31-44868-B
to marry and live with the bride s family inverting traditional chinese expectations	5-57530-B
to marry of woman	60-37589-B
to marry off a daughter	18-37317-B
to marry sb of woman	60-37298-B
to marry too early	31-13402-B
to marvel	69-61235-B
to masquerade as having an ability	40-10384-B
to mass	66-58921-B
to mass produce	26-58208-B
to mass troops	66-26731-B
to massacre	17-68666-B,17-68867-B,35-62680-B
to massage	28-35465-B
to master	19-17900-B,28-14025-B
to master the subject via a comprehensive study of surrounding areas	56-10915-B
to masticate	13-28881-B
to masturbate slang	26-50486-B
to match	10-40075-B,15-52154-B,18-56876-B,18-56914-B,28-58671-B,28-61008-B,28-61199-B,45-30060-B,45-30200-B,45-31795-B,58-36257-B,62-2796-B,63-37075-B
to match harmoniously	12-35960-B
to match up	63-37911-B
to mate	3-68033-B,63-37075-B,63-37911-B
to materialize	2-34236-S,32-37493-S
to matter	40-53688-S,46-42841-B
to mature	26-12412-B,41-15110-B
to maximize	32-19895-B
to me	1-16525-S,3-10530-S,3-61610-S,25-25118-S
to me and prosper	68-24374-S
to mean	25-29418-B,56-45851-B
to mean brilliant prospects	63-22219-S
to mean broadly	36-55037-B
to mean by extension	23-29944-B
to mean song	61-47835-S
to mean totally irrelevant	27-68938-S,27-69095-S
to mean what one says	58-31194-B,58-33313-B
to measure	30-37354-B,39-3516-B,64-4742-B
to measure angles	37-64308-S,54-47314-S,57-45005-S
to measure body weight	70-10314-S
to measure oneself against	1-21651-B
to measure right angles	32-4542-S,45-65178-S,57-44670-S,64-40280-S
to measure sb s height	64-5810-B
to measure thunder and lightning	67-24403-S
to measure up against	61-6390-B
to measure with the naked eye	45-17480-B
to mecca	13-37531-S,32-48900-S
to mechanically memorize	35-59559-B
to meddle	22-36891-B,28-43623-B,29-4807-B,29-33325-B,48-27373-B
to meddle with	3-26459-B
to mediate	10-10708-B,15-23158-B,28-18078-B,42-131-B,42-716-B,58-39214-B
to mediate a conflict etc	30-37417-B
to mediate in a conflict	57-48069-B
to mediate in a quarrel	10-11236-B
to meditate	15-51526-B,26-42250-B
to meditate of buddhist	26-47657-B
to meet	17-67964-S,32-21986-B,45-31685-B,46-30638-B,51-54685-B,51-56051-B,57-29437-B,57-31523-B,58-51941-B,61-44692-B,61-45365-B,62-35699-B,68-2467-B
to meet a contingency	25-61555-B
to meet a devil	2-82981-B,3-868-B
to meet a person	28-25112-B
to meet a plane i e to meet sb at airport	28-26451-B
to meet a pressing need	50-22471-S
to meet a visitor	58-56403-S
to meet again	8-8982-B,64-1902-B
to meet and part	51-54494-B
to meet as a social group	51-54626-B
to meet as volunteers for an uprising	51-55210-B
to meet by accident	29-9576-B,29-10089-B
to meet by chance	45-31546-B,63-9211-B
to meet for discussion	51-55476-B
to meet for negotiation	51-55531-B
to meet for social drinking	51-56107-B
to meet guests	19-51305-S
to meet head on	20-55259-B,35-39105-B,61-46224-B
to meet in a thousand years 成语 saw	10-50849-S
to meet in passing	6-49006-B
to meet or welcome sb	28-24729-B
to meet sb at airport	28-26451-S
to meet sb for the first time	49-44697-B
to meet the enemy head on	22-18291-S,61-45304-B
to meet the needs of	39-41194-B
to meet those arriving	61-44792-S
to meet together	45-29467-B,45-30497-B,51-56244-B
to meet unexpectedly	46-31566-B
to meet with	6-4958-B,46-30533-B
to meet with a rebuff	46-31692-B,47-56449-B
to meet with danger	62-35936-B
to meet with disaster	25-48533-B,54-64374-B
to meet with sb who is paying a visit	32-24712-B
to meet you	58-63234-S
to meet you and i regret it is not sooner	58-63301-S
to meet you finally	45-30751-S
to meet you personally	17-67964-S
to melt	41-14156-B,56-10377-B,56-11657-B,57-47102-B,64-33491-B,64-34397-B
to melt e g an icecap	38-32166-B
to memorize	41-16573-B
to memorize in silence	71-36734-B
to memory	71-36734-S
to menace	18-48672-B,24-68498-B
to mencius 孟子	18-38317-S
to mend	30-14635-B,50-27020-B,56-56409-B
to mend by stapling or cramping broken pieces together	64-36256-B,64-39174-B
to mend the pen after the sheep are lost 成语 saw	3-66287-S
to mention	28-36446-B,28-37545-B,28-37925-B,68-42769-B
to mention briefly	43-55937-B
to mention i e in addition to sth	25-50349-S,39-53154-S
to mention individually or one by one	1-73899-S
to mention on equal terms	45-28990-B
to mention sb by name	71-38574-B
to mention sb in dispatches	16-9162-B
to mention sth without elaborating 成语 saw	58-26240-B
to mention things on equal terms often with negatives you can t mention x at the same time as y	12-48043-B
to mention x in the same breath as y	45-28990-S
to merge	2-46462-B,10-17486-B,12-32228-B,26-44126-B
to merge and reorganize army units etc	12-36652-B
to merge together 成语 saw	12-36818-B
to mess with	23-23323-B
to mess with sth	52-20593-B
to mete out punishment	47-16590-B
to midnight	9-18659-S
to migrate	47-27143-B,61-23325-B,62-69622-B,62-69763-B
to military	30-30468-S
to military expedition	44-39629-S
to mill	56-2745-B
to mime	13-64199-B
to mince	54-38398-B
to mince human flesh and bones	54-38398-B
to mind	4-23787-B,15-33785-B,15-34951-B,25-25494-S,26-12087-S,61-57543-S
to mind one s own business and keep out of trouble	39-57461-B
to mine	3-56272-S,28-20836-B,65-40065-B
to mingle	17-69457-B,17-71892-B,29-4807-B,29-33325-B,38-52859-B
to miniaturize	24-21067-B
to mint coins	65-5863-B
to mirror	11-50158-B
to misbelieve	44-3563-B
to miscalculate	23-24450-B
to mislead	38-54978-B,58-30264-B,59-48697-B,61-54969-B
to mislead the enemy	44-3684-S,44-4921-S
to mislead the public with prevarication and deliberate falsehoods	38-54625-B
to misplace	64-47761-B
to misreport	55-51169-B
to misrepresent the facts	68-45759-B
to miss	17-64154-B,24-54650-B,24-55459-B,25-25039-B,42-556-B,45-47128-B,45-47184-B,58-29973-B,63-3094-B,70-33373-B
to miss a meal	12-26162-B
to miss an appointment	17-66756-B,41-43009-B
to miss an opportunity	3-71358-B
to miss narrowly	17-64256-B
to miss sb	23-66078-B
to miss sb by a narrow chance	3-71358-B
to miss the big picture	48-25269-S
to miss train	64-48838-B
to mistake	58-30378-B
to mistake for sth else	45-48823-B
to mistreat	33-31845-B
to misunderstand	23-24450-B,58-30378-B
to misuse	33-31845-B
to mix	3-71466-B,17-69457-B,27-28669-B,29-4673-B,29-4807-B,29-4880-B,29-33325-B,29-33487-B,29-36586-B,29-36690-B,29-36910-B,38-52788-B,38-52859-B,38-53370-B,63-37075-B,67-3486-B
to mix and stir	27-28723-B
to mix colors	58-39098-B
to mix different substances together	29-33180-B
to mix evenly	58-36190-B
to mix in fake material	29-4735-B
to mix into	9-51435-B
to mix of powders	48-62280-B
to mix together	29-33262-B
to mix together disparate substances	17-71892-B
to mix up	3-1164-B,26-40322-B,28-57305-B,29-36740-B,38-54551-B
to mix water with clay	15-63332-B
to mix with	23-6895-B
to mix with water wine	51-15384-B
to moan	13-16736-B
to moan about imaginary illness	40-57620-B
to moan in bed	12-9472-B,12-9563-B
to mobilize	44-26860-B
to mock	5-26078-B,14-32136-B,25-826-B,29-26848-B,58-39626-B,58-47284-B,58-53108-B,58-61356-B,59-44571-B
to mock sb without offending	58-53282-B
to model	16-15619-B
to model a figure in clay	16-15395-B
to moderate	48-28407-B,50-22888-B
to modestly decline	58-53838-B
to modify	5-49913-S,29-43783-B,47-58909-B
to modulate	58-35833-B,58-39683-B
to moho 莫霍面	54-26814-S
to moisten	37-26400-B,39-27362-B,40-10138-B
to moisten e g of rain	39-61687-B
to moisten evenly e g in tanning leather	15-47893-B
to mold	62-17851-B
to molify	57-47936-B
to mollify	10-11322-B
to molt	28-46950-B,52-34930-B
to moment	11-24815-S
to monitor	45-9207-B,45-9932-B
to monitor secretly	6-23539-B
to monitor students during a written exam	45-9841-B
to monopolize	29-18149-B,42-17905-B,42-19245-B,42-21978-B
to monopolize a market	42-19291-B
to monopolize the turtle head 成语 saw	42-17952-B
to monopolize the whole business	10-15175-B
to monsoon or typhoon	59-25214-S
to moo	41-49763-B
to moonlight	26-43465-B
to moor	37-28723-B
to mop up	38-60848-B
to morally degenerate	16-30333-B
to more severe 成语 saw	59-9647-S
to morph	59-8131-B
to mothball	20-32862-B
to motivate	5-31077-B
to motor	3-14425-B
to mould	16-15619-B
to mould into some form	16-15731-B
to moult	56-1462-B,56-1584-B
to mount	1-57737-B,3-12362-B,44-23423-B,69-49135-B
to mount a joint attack	12-34540-B
to mount a picture	57-47-B
to mount a punitive expedition against bandits	23-63296-B
to mourn	6-44572-B,58-59271-B
to mouth	57-63266-S
to move	5-62129-B,9-68220-B,18-57299-B,25-38714-B,25-39135-B,26-53991-B,26-58699-B,27-69499-B,27-69641-B,29-11465-B,38-1681-B,47-26081-B,47-26200-B,52-47166-S,53-27307-B,56-31764-B,60-28293-S,62-38588-B,62-41165-B,62-69196-B,62-69622-B,62-69763-B,64-984-S
to move about in search of pasture	62-37544-B
to move and inspire	25-39828-B,25-42879-B
to move animals along	13-26273-S
to move around	5-54933-B
to move as snake	56-6635-B
to move aside	29-12841-B
to move away	47-26732-B
to move away from	60-9940-B
to move back	61-61322-B
to move back and forward	28-55170-B
to move because of twisted leg	69-55396-S
to move elsewhere	4-25618-B,27-69794-B
to move emotionally	25-14017-B
to move forward a single step	62-28438-B
to move forward quickly	47-52686-B
to move forward slowly	39-55826-B
to move forwards	8-39984-B,23-62009-B
to move from one residence to another	62-69438-B
to move home	47-26776-B
to move house	27-69794-B,61-23325-B
to move in circles	62-27819-B
to move in to new lodging	62-69236-B
to move mountains	47-26820-S
to move of vehicle	60-9375-B
to move on	8-12784-B
to move one s base of operations	61-26804-B
to move or speak	33-8508-S
to move out	69-54205-B
to move out of	28-58176-B
to move over to new products	61-25754-B
to move randomly	3-26459-B
to move sb	25-39239-B
to move sb s emotions or worry	57-54266-B
to move sideways	29-11950-B,65-26356-B
to move slowly	46-40980-B
to move the capital city	62-69876-B
to move the pen	38-35409-B
to move things around	5-56009-B
to move to a different major university course	61-26340-B
to move to a superior place	14-15930-B
to move to and fro	29-29351-B
to move to and fro with hand	29-12188-B
to move to pity	26-41240-B
to move to tears of a story	6-31057-B
to move towards	21-8874-B,60-10224-B
to move troops	58-35256-B
to move unhindered	50-29181-S
to move upwards	1-47914-B
to mow	3-8636-B,3-8697-B
to mow grass and cut firewood	53-63394-B
to mt mang 邙山 at luoyang in henan	10-30705-S
to much	2-9460-S
to muck out	8-37239-B
to muddle	28-57305-B
to muddle along	38-52859-B
to muddle things together 成语 saw	50-45476-B
to muddle through	24-9167-B
to muffle	28-62923-B
to mull over	13-28881-B,42-58033-B
to multiplex	16-56583-B,16-56714-B
to multiply	3-12362-B,50-38303-B,55-13992-B
to multiply and divide	3-14509-B
to multiply by a factor	5-54369-B
to multiply math 	45-25622-B
to mumble	13-56542-B,14-2796-B,14-43814-B
to mumble as if hiding sth	12-64891-B
to mumble complaints	14-30535-B
to mumble to oneself	14-30717-B
to mummify	32-52401-B
to murder	8-31082-B,19-58998-B,35-66090-B,35-66319-B,58-18425-B,58-50668-S
to murder by poison	21-24234-B
to murder for love	25-14834-B
to murder for money	58-51814-B
to murmur	14-2796-B,59-15050-B
to music	58-32485-S
to muster	49-2004-B,49-2364-B,51-54996-B
to mutter	13-14795-B,14-2796-S,14-30535-B
to mutter to oneself	13-56542-B
to my embarrassment	46-43320-S
to my humble dwelling	55-8004-S,55-8493-S
to my task	8-56820-S
to nag	12-7520-B,14-31803-B,14-44082-B,27-65622-B
to name	11-58040-B,47-34257-B,47-34862-B,60-16282-B
to name of publishing houses	32-12663-S
to nanjing massacre	27-25659-S,49-7301-S
to narrate	30-332-B,58-55549-B,61-53030-B
to narrate in detail	64-38281-B
to narrate simply	48-38701-B
to narrate systematically and in full detail	1-1470-B
to nationalize	7-60658-B
to nature	4-42308-S
to nature 成语 saw	68-22053-S
to navigate	53-33628-B
to need	23-64931-B,27-63647-S,57-26097-B,67-39436-B,67-39558-B
to need sth urgently	24-59435-B
to need to	10-3627-B,24-6106-B
to nefarious ends	42-10744-S
to negate	12-66424-B,12-66564-B
to neglect	24-45251-B,24-51164-B,24-56842-B,24-56927-B,25-8865-B,33-31845-B,39-47699-B,42-39357-B,44-1400-B,54-50416-B,58-29973-B
to neglect inadvertently	44-2800-B
to neglect one s duties	44-2074-B
to neglect one s duty	42-39437-B
to neglect one s job	17-66856-B
to neglect one s parents but give them a rich funeral	55-20465-B
to neglect one s work or study	54-17522-B
to neglect sleep and food	23-8532-S,23-8657-S
to neglect to take precautions	44-2538-B
to neglect work	32-3251-B
to negotiate	3-70695-B,13-61027-B,13-61473-B,32-22595-B,46-36928-B,58-40845-B
to negotiate a price	59-3100-B
to negotiate an outcome	48-42510-B
to negotiate directly	68-3564-B
to negotiate peace	59-3164-B
to negotiate prices	58-40780-B
to neigh	14-32823-B,14-33154-B
to nest	41-31229-B
to nest in proverb	53-42517-S
to net birds and dig for rats 成语 saw	50-58184-S,50-62628-S
to neuron	46-60618-S
to neuter livestock	9-38860-B
to neutralize	2-52318-B
to neutralize fears	10-24711-B
to new home	18-57178-S
to new lodging	62-69236-S
to new products	61-25754-S
to news reports	29-23822-S
to next generation	63-3405-S
to next year s course	43-50533-S,43-51088-S
to nibble	13-57398-B,56-6994-B
to night 成语 saw	16-52363-S
to nip	27-20244-B,65-8085-B
to nip i e cut short	17-70697-B
to nip in the bud	33-9574-B
to nitpick	27-65622-B,40-815-B
to no avail	10-5907-S,18-2351-B,24-5338-S,40-56130-B
to no purpose	44-42584-B
to nod	71-37621-B
to nod one s head and bow 成语 saw	71-42951-B
to noise ratio	5-43134-S
to nominate	28-29436-B,28-32808-B
to normal after an upheaval	31-8055-S
to normal life leaving a monastic order	63-9469-S
to northern song literati su xun 蘇洵 苏洵	1-41113-S
to not be	37-9795-B
to not be able to	1-70049-B
to not have	37-9795-B
to not know	2-21947-B
to not know what sb is driving at	2-21497-B
to not use all of	43-33858-B
to note	37-43983-B,57-65688-B
to note the words	51-69561-B
to notice	41-54542-B
to notice a familiar sight	41-15665-S
to notify	32-1819-B,62-11815-B,65-56247-B
to notify sb of a call	6-34597-B,6-34678-B
to nouns	12-58923-S
to now	12-62269-S
to nullify	5-6552-B
to nurse	19-21705-B,44-20293-B,58-40257-B,59-5134-B
to nurse a grievance	18-41608-B
to nurse hatred	26-512-B
to nurse to health	58-37647-B
to nurture	28-39388-S,29-14096-B,30-5577-B,41-12758-B
to nurture a development	19-4199-B
to nurture a tree	44-53411-S
to nurture an evildoer 成语 saw	18-40181-S
to nurture one s strength	69-12081-B
to nuzzle up to	27-68448-B
to obey	5-24622-B,20-43346-B,24-9875-B,35-24167-B,35-24467-B,51-69127-B,52-2087-B,62-68129-B,62-69010-B,68-21881-B
to obey an order	24-11014-B,32-43636-B,51-69940-B
to obey or comply	2-15204-S
to obey orders 成语 saw	46-43320-S
to obey the law	32-43827-B
to object	1-67242-B,3-41599-B,28-37347-B
to oblige	23-42597-B
to obliterate	38-30982-B,46-39798-B
to obliterate completely	55-16020-B
to obliterate evidence	27-15798-B
to obscure	38-54551-B
to obscure the facts 成语 saw	38-54625-B
to observe	11-12065-B,20-43346-B,24-9875-B,57-37547-B,57-41556-B,57-42113-B,57-42930-B,62-68129-B,70-6457-B
to observe and emulate	57-42693-B
to observe and form a judgment	20-21207-B
to observe carefully	49-31340-B
to observe from afar	52-61822-B
to observe from outside	57-42788-B
to observe personally	52-62414-B
to observe the ritual	19-21467-B
to obsess	61-53628-B
to obstruct	27-36036-B,27-36398-B,29-20069-B,29-20292-B,33-64800-S,34-13643-B,46-42789-B,65-63838-B,65-64122-B,65-64600-B,65-64663-B,65-64717-B,65-64769-B,65-65002-B,65-65064-B,66-42079-B
to obstruct and procrastinate	62-58519-B
to obstruct sth	65-64492-B
to obtain	11-58112-B,23-23627-B,24-5886-B,24-6920-B,24-8919-B,36-53974-S,42-22843-B,42-23305-B,47-43010-S,47-43294-S,58-50390-B
to obtain a higher degree	29-48033-S
to obtain a proof	24-9058-B
to obtain a university education	11-58171-B
to obtain by an effort	41-38831-B
to obtain by impersonation	8-12180-B
to obtain favor	61-48430-S
to obtain fire by drilling wood	41-33289-B
to obtain tenure	61-25280-B
to occupy	5-1329-B,5-1759-B,5-1878-B,11-12109-B,28-7420-B,29-23527-B,29-24278-B
to occupy a dominant position	5-1535-B
to occupy a territory	5-1975-B
to occupy by force	23-42542-B,67-49022-B
to occupy illegally	45-12041-B
to occur	8-33733-B,8-33733-B,44-31659-B
to occur frequently	21-25625-B
to occur repeatedly	21-25625-B
to off load cargo	11-27847-B
to offend	8-11413-B,13-52607-B,25-26786-B,42-2184-B,56-39363-B
to offend heaven and reason 成语 saw	6-43703-B
to offend others by endlessly repeating unpleasant remarks	5-59714-S
to offend sb	24-8863-B
to offend the whole of society	69-59387-B
to offer	5-22308-B,13-8106-B,18-2671-B,30-10964-B,42-25980-B
to offer a cigarette to a guest	30-11668-B
to offer a gift	8-34882-S
to offer a return banquet	63-10015-B
to offer an apology	59-57779-B
to offer as tribute	62-30140-B
to offer condolence for the deceased	23-26368-B
to offer condolences	23-26641-B
to offer credit	59-54768-B
to offer for sale	8-37035-B
to offer humbly written at the end of letter from sb of lower status to higher status	30-11777-B
to offer sacrifice to ancestors	23-27034-B
to offer sacrifice to gods or ancestors	18-4042-B
to offer sacrifice to one s ancestors	46-65028-B
to offer shelter	29-41474-B
to offer to god	42-26012-B
to office after living as a hermit on mount dongshan 成语 saw	33-17736-S
to offset something to advantage	40-40878-B
to offset the moon 成语 saw	40-41434-S
to ogle	12-44261-B
to ogle to look at	45-52738-B
to oil	9-57004-B
to old age	32-44015-S
to old ways	29-60353-S,37-42578-S
to old ways a confucian aspiration	24-13666-S
to omit	45-32944-B,52-34212-B,54-50416-B,63-3094-B
to omit by mistake	24-51164-B
to one another	3-68646-S,3-68646-S,11-28395-S,20-55944-S,25-12546-S
to one correspondence	1-254-S
to one fifteenth of a hectare	43-53921-S
to one pattern	2-12079-S
to one s abilities	26-590-S
to one s advancing years	32-44015-S
to one s ancestors	5-22179-S,7-8272-S,46-65028-S,46-65215-S
to one s ancestors and benefit future generations 成语 saw	7-7268-S
to one s ancestors 成语 saw	34-40912-S
to one s back on sb	18-58779-B
to one s capabilities	26-29624-S
to one s convictions	62-56960-S
to one s country	61-49451-S
to one s course	1-8894-S
to one s death	16-7103-S
to one s ears	2-79118-S
to one s education	17-64969-S
to one s elders or superiors	19-9759-S
to one s expectations	2-15585-S
to one s forebears	46-63404-S
to one s friends and generous to the needy	4-26250-S
to one s heart s content	31-63841-S,31-64026-S,42-4937-S,45-8447-B,57-53404-S,62-47434-S,65-35012-B
to one s heels	29-6128-S
to one s home country	14-54962-S
to one s home town	61-49626-S
to one s housing	26-26428-S
to one s job	43-48554-S,43-50660-S,43-51323-S
to one s knees	60-40654-S
to one s liking	1-65745-S,2-79118-B,20-47481-B,20-48035-B,20-49741-B,20-53569-B,20-57004-B
to one s love	59-31500-S
to one s mind	38-13843-S
to one s name	2-806-S
to one s native country	35-53793-S
to one s native land and unwilling to leave it	19-25778-S
to one s official post	19-41763-S
to one s old tricks	29-58738-S
to one s own devices	7-69294-S,40-46343-S
to one s parents	14-50091-S,19-9302-S
to one s possessions	38-58274-S
to one s proper duties	1-73670-S
to one s roots	35-54338-S
to one s satisfaction	39-38411-B
to one s superior	5-34852-S,14-57062-S,47-31576-S,47-31637-S
to one s superiors	1-47996-S
to one s surprise	2-13472-B,21-18970-B
to one s taste	20-54965-B
to one s true self	35-54757-S
to one s wishes	18-30607-S,66-43747-S
to one side	1-69346-S,6-11178-S,6-46302-S
to one sixtieth of a degree	47-21774-S
to one tenth dou 斗	10-52837-S
to one tenth of sheng 升 or liter	12-31102-S
to one thirtieth km or 33 33 meters	22-12856-S
to one week national holiday in prc starting 1st may and 1st oct	65-11850-S
to oneself	13-56542-S,14-30717-S,26-28197-S,29-18149-S,31-62711-B,42-18139-S,45-34158-S,53-13815-S,63-48169-S
to oneself i e one s natural child	57-39861-S
to oneself with a start	69-61638-S
to onstruct by hoisting ready built components into place	12-44478-B
to ooze	39-31873-B
to open	13-64508-B,26-50181-B,27-11590-B,27-18583-B,28-7310-B,28-49090-B,29-5606-B,57-47102-B,65-29583-B,65-31511-B,65-33779-B,65-36192-B
to open a bale of cotton	65-41197-B
to open a book	65-30947-B
to open a closed country	65-31551-B
to open a conference	65-33982-B
to open a gate	65-43716-B
to open a law court	65-32354-B
to open a river	65-38189-B
to open a seam	65-40065-B
to open a water source and reduce outflow 成语 saw	65-38362-S
to open a way	65-42461-B
to open an account bank etc	65-35240-B
to open an aperture	65-11334-B
to open an inn that kills and robs guests esp in traditional fiction	65-44346-S
to open as legs	11-41878-B
to open eye	45-54482-B
to open fire	65-37806-B,65-38678-B,65-40019-B
to open fire with artillery	26-47417-B
to open of flowers	46-21099-B
to open one s eyes	65-39891-B
to open one s liver and drip gall 成语 saw	27-11833-S
to open one s mouth	23-37771-B
to open out	27-66710-B,31-28625-B
to open shop	65-34252-B
to open the back door	65-34530-B
to open the door and see the mountain	65-43447-B
to open the eyes	45-54569-B
to open the floodgates	65-31388-B
to open the sky and divide the earth	65-32821-B
to open today s service in a canteen	65-29927-B
to open treaty ports	65-32273-B
to open up	21-22435-B,23-37289-B,27-32044-B,30-6260-B,51-23600-B,65-42631-B,65-43653-B
to open up a new seam	65-35517-B
to open up a path for	44-1787-B
to open up a port for trade	65-32273-B
to open up a road	65-11334-B
to open up a siege	57-47508-B
to open up a topic	27-65304-B
to open up land	21-27836-S,65-32032-B
to open up land for agriculture	16-30828-B,23-23193-B,27-32583-B
to open up land for cultivation	21-27836-B
to open up new horizons	65-35517-S
to open up new territory	65-39057-B
to open up sth sealed	27-19903-B
to open up windows for air	65-42835-B
to operate	5-7414-B,29-20338-B,29-20540-B,29-21838-B,41-30716-B,49-61057-B,62-41960-B
to operate easily 成语 saw	62-40403-B
to operate jointly	12-35631-B
to operate on or to be operated on	65-30283-B
to operate vehicle	65-29583-B
to oppose	11-43612-B,11-47096-B,20-46157-B,42-888-B,45-27990-B,61-65778-B
to oppose each other with equal harshness 成语 saw	64-19426-B
to oppress	23-20104-B
to oppress the people	69-1726-S
to optimize	6-57585-B
to or for	10-13136-S
to or from home	19-61008-S
to or not	68-45248-S
to or not to 	20-16690-S
