jing hai	69-64005-B
jing ji zhi du	49-59325-B
jing jia	48-316-B
jing jian	48-57120-B
jing jian cha	8-37797-S
jing jian kai zhi	48-57177-B
jing jiao	69-59747-B
jing jiao ben	48-53856-B
jing jiao yu xue yuan	10-26451-S
jing jiao zhi	46-60539-S
jing jiao zhi xi bao	46-60618-S
jing jie	16-23652-B,38-65996-S,59-1003-B
jing jie sun sun shang	15-68429-S
jing jin	38-44752-B,48-58546-B,49-62468-B
jing jin jiao	10-28235-S
jing jin xing	22-2450-S
jing jing	26-18491-S,31-55953-B
jing jing ye ye	7-23631-B
jing jing you tiao	3-56157-B
jing jiu	30-12742-B,41-28574-S,49-57803-B
jing jiu bu chi chi fa jiu	30-12804-B
jing jiu bu shuai	49-57858-B
jing jiu pi jiu	41-28647-S
jing ju	59-313-B,69-62233-B,69-63362-B
jing jue	59-1793-B,69-59694-B,69-62847-B
jing kao ya	10-27113-S
jing kong	69-61337-B
jing kou	3-56272-B
jing kuang	16-23602-B,31-54244-B
jing lao yuan	30-12239-B
jing lao zun xian	30-12092-B
jing lei	69-63638-B
jing li	7-34145-S,9-33200-S,30-11990-B,43-31570-S,48-52554-B,49-59064-B,49-61426-B,50-35145-S,59-162-B
jing li chong pei	48-52594-B
jing li ping heng	67-61625-B
jing li xiang	52-16561-S
jing li xue	67-61573-B
jing lian	48-54468-B,48-57488-B,68-41232-B
jing liang	31-55722-B,48-57375-B
jing lie	9-64551-B
jing ling	20-68826-S,48-59009-B,55-29217-S,59-1992-B
jing ling bao zuan	48-59057-B
jing ling wen	48-59209-B
jing liu	24-4803-B,62-3149-B
jing lu	10-66980-S,24-5114-B,65-20969-S
jing lu lu	49-62575-B
jing lu:	9-64488-B
jing luan	11-63686-S,36-29625-S,41-21176-S,44-13939-B
jing lun	39-40715-S,52-35921-B
jing luo	49-61822-B
jing ma	69-63957-B
jing mai	67-62464-B
jing mai dian di	67-62582-B
jing mai xi du	67-62503-B
jing mao	49-62300-B
jing mei	48-57559-B
jing meng	69-60389-B
jing mi	48-52826-B,48-57269-B
jing mi hua	48-52890-B
jing mi ji xie jin chu kou gong si	2-62265-S
jing mian shuan	32-28830-S
jing min	59-1311-B
jing min chong tu	59-1395-B
jing ming	31-55905-B,48-53710-B
jing ming qiang gan	48-53760-B
jing mo	67-62713-B
jing mo pian	19-58131-S
jing mo xing	25-13403-S
jing mu	70-44774-B
jing nan dao	71-4411-S
jing nan zhi yi	67-61011-B
jing nang	48-52660-B
jing nei	16-23292-B
jing nei wai	16-23378-B
jing niao	69-64111-B
jing pa	69-61085-B
jing pan	57-35982-S
jing pei	6-4444-S,30-11090-B
jing pi	48-58784-B,59-2097-B
jing pi jiu	41-28404-S
jing pi li jie	48-54697-B
jing pi li jin	48-54630-B
jing pian	24-19457-S,31-56116-B,43-24903-S,46-11579-S,46-21710-S,64-57993-B
jing ping	32-6678-S,38-37726-S,49-34148-S,65-20915-S
jing ping tai	65-8730-S
jing qi	2-14895-S,9-0-S,16-12328-S,27-29831-S,30-11212-B,31-54184-B,39-4099-S,69-60531-B,69-63079-B
jing qi ju ji	49-59119-B
jing qi zhong	23-19574-S
jing qian	30-12460-B
jing qian zheng	7-24435-S,62-44232-S
jing qiao	9-64126-B,48-53045-B
jing qiao qiao	67-61982-B
jing qie	69-61280-B
jing qing nian bao	10-28484-S
jing qiu	36-41637-S
jing qu	46-8697-S,59-250-B
jing quan	49-58650-B,59-1494-B
jing que	48-54898-B
jing que du	48-54949-B
jing qun dong zhong	69-62601-B
jing ran	3-56757-B,47-63360-B
jing ran you xu	3-56796-B
jing rao	69-62279-B
jing ren	1-23164-S,10-25495-S,50-1019-S,69-59494-B
jing ren min da hui tang	10-25596-S
jing ren zhi ju	69-59540-B
jing ri bao	10-26561-S
jing ru tou	57-35860-S
jing sai	24-4960-B,43-37492-S,48-1489-B,60-63877-S,62-3312-B
jing sai zhe	48-1540-B
jing se	31-54688-B
jing shan	67-61766-B
jing shan qu	46-6502-S
jing shang	49-58558-B,69-62993-B
jing she	9-64033-B,45-52242-S
jing shen	9-36672-S,11-6990-S,15-29359-S,18-14959-S,30-11919-B,31-54488-B,40-45629-S,48-55012-B,48-55115-B,71-62782-S
jing shen bai bei	48-56618-B
jing shen bing	32-38002-S,48-56291-B
jing shen bing xue	48-56364-B
jing shen bing yi yuan	48-56433-B
jing shen cuo luan	48-56937-B
jing shen dou sou	48-55736-B
jing shen fen lie zheng	48-55324-B
jing shen fen xi	48-55253-B
jing shen huan fa	48-56025-B
jing shen huang hu	48-55652-B
jing shen ji bing	48-56219-B
jing shen jian kang	48-55180-B
jing shen liao fa	48-56523-B
jing shen ling xiu	48-57004-B
jing shen man fu	48-55910-B
jing shen shuai ruo	48-56834-B
jing shen wen ming	41-54961-S
jing shen xing yan shi zheng	48-55553-B
jing shen xue	48-55426-B
jing shen xue jia	48-55483-B
jing shen yao wu	48-56759-B
jing shen zhuang tai	48-56142-B
jing sheng	1-8019-S
jing sheng wu xue	46-59864-S
jing shi	8-17973-S,10-26206-S,10-66617-S,32-6472-S,71-57392-S
jing shi dong zhong	69-60570-B,69-60672-B
jing shi hai su	69-59387-B
jing shi jiao shou	30-2911-S
jing shi se	17-41650-S
jing shou	49-58127-B
jing shu	49-58982-B
jing shui	37-20133-S,49-41612-S
jing shui bu fan he shui	3-56645-B
jing si cai se xian hua	49-61894-B
jing song	47-18789-S,69-61579-B
jing song xiao shuo	47-18893-S
jing sui	48-59282-B
jing suo	46-60171-S
jing tai	67-62045-B
jing tai cun chu qi	67-62135-B
jing tai lan	31-54357-B
jing tan	59-1061-B,69-60117-B,69-62333-B
jing tan bu yi	69-60195-B
jing tan hao	69-60276-B
jing tao	69-62392-B,69-63316-B
jing tao hai lang	69-62438-B
jing ti	31-56406-B,49-41743-S,59-860-B
jing ti guan	31-56447-B
jing ti jie gou	31-56503-B
jing ti xing	59-938-B
jing tian	3-56914-B
jing tian dong di	69-60447-B
jing tian zhi	3-56988-B
jing tiao	69-63160-B
jing tiao yue	2-49566-S,10-66710-S
jing ting	9-64393-B,24-4747-B,62-3099-B
jing tong	48-58500-B,49-61514-B
jing tou	8-57743-S,23-14982-S,59-10464-S,64-58324-B
jing tu	38-44628-B
jing wa zhi jian	3-57117-B
jing wai	16-23538-B
jing wai ke	46-59322-S
jing wai zhuan	51-50243-S
jing wan	33-15007-S
jing wan bao	10-26721-S
jing wan juan	10-50098-S
jing wang luo	46-60298-S
jing wei	30-11736-B,49-62110-B,59-1742-B
jing wei dui	15-10825-S,38-18061-S
jing wei yi	49-62193-B
jing wen	49-58927-B
jing wu	31-54538-B,59-801-B,69-61638-B
jing wu ran	43-5290-S
jing wu xia	39-57326-S
jing xi	30-11353-B,48-57431-B,69-59906-B,69-61501-B
jing xi bao	46-60230-S
jing xi ruo kuang	69-59963-B
jing xi tong	2-74078-S,46-60099-S,68-30719-S
jing xia	3-56103-B,69-60339-B
jing xia shi	27-667-S,54-49049-S
jing xian	49-62031-B,69-62557-B,69-62703-B,69-63582-B
jing xian shi	38-37793-S
jing xian shi qi	38-37876-S
jing xian wei	46-60387-S
jing xian wei liu	46-60457-S
jing xian zhi	38-44682-B
jing xian zhuan	51-50421-S
jing xiang	24-4692-B,31-54951-B,36-53161-S,42-29402-S,48-1146-B,62-3056-B,64-57826-B,68-41279-B,71-57616-S
jing xiang zhan dian	64-57875-B
jing xiao	49-62411-B
jing xiao guai	17-41717-S
jing xiao ying	7-57802-S,58-25120-S
jing xie bu min	30-12502-B
jing xin	10-2698-S,48-53440-B,57-55051-S,67-61937-B,69-60903-B
jing xin dong po	69-60946-B
jing xin li xue	58-21311-S
jing xin wen	5-43280-S
jing xing	45-21189-S,46-59516-S,59-1945-B,63-40475-S,69-63414-B
jing xing du ji	46-59590-S
jing xing shi sun shang	46-59679-S
jing xiu	48-1209-B
jing xu rui	69-12081-S
jing xuan	48-1723-B,48-58638-B
jing xuan huo dong	48-1804-B
jing xue	4-22670-S,46-59391-S,49-41551-S
jing xue jia	46-59447-S
jing xun	59-1837-B
jing xun zhang	17-30625-S
jing ya	69-62905-B
jing yan	6-10842-S,30-11668-B,32-38277-S,37-11589-S,48-1289-B,49-62627-B,60-22896-S,63-50335-S
jing yan feng fu	49-62752-B
jing yan zhu yi	49-62686-B
jing yang	30-11029-B,45-52925-S
jing yao	64-55593-S
jing ye	25-34143-S,48-54313-B,69-58033-S
jing ye ye	7-23631-S
jing yi	2-25029-S,4-34595-S,13-10784-S,30-11464-B,56-46005-S,69-62514-B
jing yi jing	67-61442-B
jing yi lai xing	58-25035-S
jing yi qiu jing	48-54764-B
jing yi shi bu zhang yi zhi	2-24768-S
jing yi shu xue yuan	10-27882-S
jing yin	10-28573-S
jing yin liao	63-40542-S
jing ying	25-47723-S,31-56280-B,40-56625-S,41-61726-S,48-57750-B,49-61057-B,53-67441-S
jing ying bao	2-62459-S
jing ying fei yong	49-61337-B
jing ying guan li he wei hu	49-61138-B
jing ying xiang ping gu	43-5149-S
jing ying zhe	49-61272-B
jing you	49-61476-B
jing you tiao	3-56157-S
jing yu	16-23707-B,60-6585-S,70-44830-B
jing yu qin	34-32835-S
jing yu yan xue yuan	10-28050-S
jing yu zuo	70-44869-B
jing yuan	2-83829-S,18-22544-S,31-55824-B,46-59107-S,46-59235-S
jing yuan wang	46-59161-S
jing yun dong	43-37566-S
jing zhan	10-27409-S,48-54352-B
jing zheng	2-16320-S,7-59601-S,45-21990-S,46-60020-S,48-684-B
jing zheng chan pin	48-988-B
jing zheng he ju he	48-826-B
jing zheng li	48-743-B
jing zheng mo shi	48-913-B
jing zheng shi	32-58954-S
jing zheng zhe	48-1088-B
jing zhi	9-64593-B,24-4844-B,31-54635-B,38-44549-B,46-60746-S,48-57692-B,48-58188-B,62-3190-B,67-62277-B
jing zhi bi	71-41034-S
jing zhi feng	67-62336-B
jing zhi shu	31-11407-S
jing zhi tan	2-24937-S
jing zhong	30-13002-B,59-1540-B,59-2050-B
jing zhou bao	10-25805-S,10-28310-S
jing zhu	30-11777-B,48-1656-B
jing zhu yi	49-57463-S
jing zhuan	2-28529-S
jing zhuang	31-56162-B,49-41683-S
jing zhuang ti	31-56211-B
jing zhui	68-41052-B
jing zhun	48-54408-B
jing zhuo ma que	65-27791-S
jing zi	24-4887-B,48-52709-B,62-3240-B,64-57954-B
jing zi mi du	48-52761-B
jing zou	48-1591-B
jing zu	9-63909-B
jing zu zhi	15-14996-S,35-28801-S
jing zuo	32-46988-S,68-50791-S
jing1	1-11374-S,1-32327-S,1-33571-S,2-44287-S,3-68412-S,4-15449-S,4-22577-S,4-34516-S,5-4543-S,5-13288-S,5-46076-S,6-8652-S,6-24587-S,6-33894-S,6-34087-S,6-38805-S,7-23581-B,7-68947-S,8-17925-S,10-25344-S,10-42232-S,10-66159-S,11-9212-S,11-58801-S,11-61260-S,11-63610-S,12-5185-S,12-16043-S,12-17717-S,12-28115-S,13-15687-S,14-47042-S,16-14545-S,17-8772-S,17-8847-S,17-21660-S,17-33076-S,19-46737-S,19-58740-S,19-61691-S,20-35850-S,20-62519-S,21-7406-S,22-1923-S,22-2409-S,24-19366-S,24-37288-S,24-50313-S,24-65993-S,26-16913-S,26-18491-S,27-40376-S,28-5822-S,28-12581-S,29-2440-S,29-2830-S,29-25932-S,31-1972-B,31-28155-S,31-47281-S,31-55691-B,31-55953-S,32-11996-S,32-16427-S,32-28697-S,32-45491-S,32-56988-S,32-58910-S,32-60022-S,33-14823-S,33-23047-S,33-64541-S,33-64661-S,34-33064-S,34-49601-S,35-21580-S,35-33880-S,35-38564-S,35-53066-S,35-63544-S,36-41528-S,36-54115-S,38-28231-S,38-28561-B,38-37678-S,39-28061-S,41-28362-S,42-6513-S,42-21678-S,43-59492-S,44-14772-S,45-4278-S,45-15897-S,45-46221-S,45-54455-B,46-9262-S,46-59066-S,47-8929-S,48-51677-B,48-52303-B,48-54764-S,48-60213-S,48-61336-S,49-28585-S,49-28838-S,49-29561-S,49-39674-B,49-41492-S,49-47449-S,49-57573-B,50-46425-S,50-61497-S,51-16339-S,51-45077-S,51-50098-S,52-35890-B,52-40466-S,53-36914-S,54-11152-S,54-16030-B,54-17662-S,54-18396-S,54-22838-B,54-27929-B,54-32946-S,55-16324-S,55-28824-S,55-30339-S,55-54588-S,56-34523-S,57-21603-S,57-35802-S,57-51152-S,58-14622-S,58-30859-S,58-63234-S,59-6465-S,59-34118-S,61-55052-S,61-67054-S,62-50958-S,63-3581-S,63-24484-S,63-40405-S,63-53564-S,63-63664-S,64-53580-S,65-28427-S,66-24940-S,66-24985-S,67-10873-S,67-40986-S,68-12224-S,68-51138-S,69-29505-S,69-30069-S,69-36986-S,69-40875-S,69-47873-S,69-59319-B,70-6249-S,70-6328-S,70-44745-B,70-48419-S,71-10831-S,71-11162-S,71-20428-S,71-40905-S
jing1 Da4 xue2	10-25916-S,10-66241-S,41-28488-S
jing1 Dian4 ying3 Xue2 yuan4	10-28382-S
jing1 Dong4 wu4 yuan2	10-25725-S
jing1 Gong1 ren2 Ti3 yu4 chang3	10-25990-S
jing1 Gong1 ye4 Da4 xue2	10-26096-S
jing1 Hang2 kong1 Hang2 tian1 Da4 xue2	10-27728-S
jing1 Jun1 qu1	10-28156-S
jing1 Ke1 ji4 Da4 xue2	10-27289-S
jing1 Li3 gong1 Da4 xue2	10-27180-S,10-66858-S
jing1 Lin2 ye4 Da4 xue2	10-26876-S
jing1 Qun2 dao3	51-6499-S,54-3153-S
jing1 Shi1 fan4 Da4 xue2	10-26348-S
jing1 Shi2 jian1	10-26642-S
jing1 Wu3 dao3 Xue2 yuan4	10-27479-S
jing1 an1 suan1	48-53920-B
jing1 ba1 bai3	35-38655-S
jing1 bing1	48-52506-B
jing1 bing4	46-59946-S
jing1 bu4	69-61137-B
jing1 bu4 qi3	49-57716-B
jing1 cai3	48-53214-B
jing1 cang1 hai3	32-16545-S
jing1 cang1 sang1	69-8131-S
jing1 chan4	69-63726-B
jing1 chang2	49-58724-B
jing1 chao2	11-25797-S,48-52962-B
jing1 che1	69-63225-B
jing1 chen2 bao4	10-26798-S
jing1 cheng2	4-2915-B,48-58230-B
jing1 cheng2 suo3 zhi4	48-58296-B
jing1 chu3 wang3	54-16408-B
jing1 chu3 wang3 shi4	54-16479-B
jing1 chuan2	28-5863-S
jing1 cui4	48-57315-B
jing1 cuo4	69-63515-B
jing1 da3 cai3	37-11378-S,37-11464-S,40-59150-S,40-59265-S
jing1 da3 guang1	48-53516-B
jing1 da3 xi4 suan4	48-53603-B
jing1 da4 fang1 guang3 fo2	54-33076-S
jing1 da4 tu2 sha1	10-66315-S
jing1 da4 tu2 sha1 shi4 jian4	10-66418-S
jing1 dai1	69-59801-B
jing1 dang4	48-54571-B
jing1 de5 qi3	49-58867-B
jing1 di4 guo2 da4 xue2	33-14866-S
jing1 di4 yi4	17-52669-S
jing1 dian3	49-57938-B
jing1 dian3 dong4 li4 xi4 tong3	49-58007-B
jing1 dian3 gu4	51-50168-S
jing1 dian4	32-28761-S
jing1 diao1 xi4 ke4	48-53267-B,48-58875-B
jing1 dong4	55-31451-S,69-59639-B
jing1 du2	48-58366-B
jing1 du2 ke4	48-58432-B
jing1 du2 su4	46-59798-S
jing1 du4	48-53171-B,49-58824-B
jing1 duan4 luo4	51-50348-S
jing1 e4	69-61934-B
jing1 er4 hu2	4-2815-B
jing1 fei1	69-63889-B
jing1 fei4	49-62248-B
jing1 feng1	69-63778-B
jing1 feng1 shuang1	69-8223-S
jing1 gan1	54-22872-B
jing1 gan4	48-53090-B
jing1 ge2	31-56002-B
jing1 geng1 xi4 zuo4	48-57618-B
jing1 gong1	36-41571-S
jing1 gong1 zhi1 niao3	69-60774-B
jing1 guai4	69-61235-B
jing1 guan3	49-61577-B,61-17985-S
jing1 guang1	31-55771-B
jing1 gui1 bang4	14-18674-S,31-56337-B
jing1 guo4	49-62340-B
jing1 guo4 min3	46-60804-S
jing1 hai4	69-64005-B
jing1 han4	45-65925-S,46-1379-S
jing1 hang2 kong1 xue2 yuan4	10-27579-S
jing1 he2	49-58207-B
jing1 he2 hui4	3-58656-S
jing1 he2 wu3 qi4 yan2 jiu1 suo3	10-26980-S
jing1 he2 zu3 zhi1	49-58372-B
jing1 hen4 wan3	58-63301-S
jing1 hong2	69-64174-B
jing1 hu1	69-59854-B
jing1 hu2	4-3791-B
jing1 hua2	11-57830-S,48-57818-B
jing1 hua4	10-27989-S
jing1 huang1	69-62016-B
jing1 huang1 shi1 cuo4	69-62058-B
jing1 huang1 shi1 se4	69-62143-B
jing1 huang2 shi1 cuo4	69-61806-B
jing1 hui4 shen2	51-55126-S
jing1 hun2	48-59349-B,69-64046-B
jing1 ji2	49-61628-B,54-16353-B,69-61182-B
jing1 ji2 tuan2	10-38385-S
jing1 ji4	2-40713-S,5-54103-S,13-58626-S,19-39057-S,22-12657-S,24-21837-S,37-37142-S,49-59215-B,49-61676-B,53-9413-S,57-58401-S,69-61724-B
jing1 ji4 an1 quan2	49-60283-B
jing1 ji4 cang1	49-60781-B
jing1 ji4 fa1 zhan3	49-60705-B
jing1 ji4 gai3 ge2	49-60356-B
jing1 ji4 guo2 jia1	30-55542-S
jing1 ji4 he2 zuo4 bu4	20-48647-S
jing1 ji4 ji1 chu3	49-59821-B
jing1 ji4 jie4	49-60644-B
jing1 ji4 li4 liang5	49-59475-B
jing1 ji4 mao4 yi4 wei3 yuan2 hui4	15-6652-S
jing1 ji4 qian2 tu2	49-59387-B
jing1 ji4 qu1	20-38831-S
jing1 ji4 ren2	49-59265-B,49-61747-B,58-60119-S
jing1 ji4 shuai1 tui4	49-60840-B
jing1 ji4 te4 qu1	49-60569-B
jing1 ji4 ti3 xi4	49-60988-B
jing1 ji4 ti3 zhi4	49-60918-B
jing1 ji4 wei1 ji1	49-59548-B
jing1 ji4 xiao4 yi4	49-60426-B
jing1 ji4 xue2	29-56849-S,49-60077-B
jing1 ji4 xue2 jia1	49-60153-B
jing1 ji4 xue2 zhe3	49-60218-B
jing1 ji4 you3 xiao4	49-60498-B
jing1 ji4 zeng1 jia1 zhi2	49-59915-B
jing1 ji4 zeng1 zhang3	49-60003-B
jing1 ji4 zhi4 du4	49-59325-B
jing1 jian3	48-57120-B
jing1 jian3 kai1 zhi1	48-57177-B
jing1 jiao1 zhi4	46-60539-S
jing1 jiao1 zhi4 xi4 bao1	46-60618-S
jing1 jiao4	69-59747-B
jing1 jiao4 ben3	48-53856-B
jing1 jiao4 yu4 xue2 yuan4	10-26451-S
jing1 jie2 sun1 sun3 shang1	15-68429-S
jing1 jin3	49-62468-B
jing1 jin4	48-58546-B
jing1 jin4 jiao1	10-28235-S
jing1 jin4 xing2	22-2450-S
jing1 jing1	26-18491-S,31-55953-B
jing1 jing1 ye4 ye4	7-23631-B
jing1 jiu3	41-28574-S,49-57803-B
jing1 jiu3 bu4 shuai1	49-57858-B
jing1 jiu3 pi2 jiu3	41-28647-S
jing1 ju4	69-62233-B,69-63362-B
jing1 jue2	69-59694-B,69-62847-B
jing1 kao3 ya1	10-27113-S
jing1 kong3	69-61337-B
jing1 lei2	69-63638-B
jing1 li3	9-33200-S,43-31570-S,49-61426-B,50-35145-S
jing1 li4	7-34145-S,48-52554-B,49-59064-B
jing1 li4 chong1 pei4	48-52594-B
jing1 lian4	48-54468-B,48-57488-B
jing1 liang2	48-57375-B
jing1 liang4	31-55722-B
jing1 ling2	20-68826-S,48-59009-B,55-29217-S
jing1 ling2 bao3 zuan4	48-59057-B
jing1 ling2 wen2	48-59209-B
jing1 lu4	10-66980-S
jing1 lu4 lu4	49-62575-B
jing1 luan3	11-63686-S
jing1 lun2	39-40715-S,52-35921-B
jing1 luo4	49-61822-B
jing1 ma3	69-63957-B
jing1 mao4	49-62300-B
jing1 mei3	48-57559-B
jing1 meng4	69-60389-B
jing1 mi3	48-57269-B
jing1 mi4	48-52826-B
jing1 mi4 hua4	48-52890-B
jing1 mi4 ji1 xie4 jin4 chu1 kou3 gong1 si1	2-62265-S
jing1 mian2 shuan1	32-28830-S
jing1 ming2	31-55905-B,48-53710-B
jing1 ming2 qiang2 gan4	48-53760-B
jing1 mu4	70-44774-B
jing1 nang2	48-52660-B
jing1 niao3	69-64111-B
jing1 pa4	69-61085-B
jing1 pan2	57-35982-S
jing1 pi2 jiu3	41-28404-S
jing1 pi2 li4 jie2	48-54697-B
jing1 pi2 li4 jin4	48-54630-B
jing1 pi4	48-58784-B
jing1 pian4	24-19457-S,31-56116-B,43-24903-S,46-11579-S,46-21710-S
jing1 ping2	38-37726-S
jing1 qi2	9-0-S,27-29831-S,69-60531-B
jing1 qi3	69-63079-B
jing1 qi4 ju4 ji2	49-59119-B
jing1 qiao3	48-53045-B
jing1 qie4	69-61280-B
jing1 qing1 nian2 bao4	10-28484-S
jing1 qiu2	36-41637-S
jing1 quan1	49-58650-B
jing1 que4	48-54898-B
jing1 que4 du4	48-54949-B
jing1 qun2 dong4 zhong4	69-62601-B
jing1 rao3	69-62279-B
jing1 ren2	1-23164-S,10-25495-S,50-1019-S,69-59494-B
jing1 ren2 min2 da4 hui4 tang2	10-25596-S
jing1 ren2 zhi1 ju3	69-59540-B
jing1 ri4 bao4	10-26561-S
jing1 ru3 tou2	57-35860-S
jing1 shang1	49-58558-B
jing1 shang3	69-62993-B
jing1 shen1	11-6990-S
jing1 shen2	9-36672-S,15-29359-S,18-14959-S,48-55012-B,71-62782-S
jing1 shen2 bai3 bei4	48-56618-B
jing1 shen2 bing4	32-38002-S,48-56291-B
jing1 shen2 bing4 xue2	48-56364-B
jing1 shen2 bing4 yi1 yuan4	48-56433-B
jing1 shen2 cuo4 luan4	48-56937-B
jing1 shen2 dou3 sou3	48-55736-B
jing1 shen2 fen1 lie4 zheng4	48-55324-B
jing1 shen2 fen1 xi1	48-55253-B
jing1 shen2 huan4 fa1	48-56025-B
jing1 shen2 huang3 hu1	48-55652-B
jing1 shen2 ji2 bing4	48-56219-B
jing1 shen2 jian4 kang1	48-55180-B
jing1 shen2 liao2 fa3	48-56523-B
jing1 shen2 ling3 xiu4	48-57004-B
jing1 shen2 man3 fu4	48-55910-B
jing1 shen2 shuai1 ruo4	48-56834-B
jing1 shen2 wen2 ming2	41-54961-S
jing1 shen2 xing4 yan4 shi2 zheng4	48-55553-B
jing1 shen2 xue2	48-55426-B
jing1 shen2 xue2 jia1	48-55483-B
jing1 shen2 yao4 wu4	48-56759-B
jing1 shen2 zhuang4 tai4	48-56142-B
jing1 shen5	48-55115-B
jing1 sheng1 wu4 xue2	46-59864-S
jing1 shi1 dong4 zhong4	69-60570-B,69-60672-B
jing1 shi1 se4	17-41650-S
jing1 shi2	8-17973-S
jing1 shi4	10-26206-S,10-66617-S
jing1 shi4 hai4 su2	69-59387-B
jing1 shou4	49-58127-B
jing1 shu1	49-58982-B
jing1 shui3	49-41612-S
jing1 si1 cai3 se4 xian3 hua1	49-61894-B
jing1 song3	47-18789-S,69-61579-B
jing1 song3 xiao3 shuo1	47-18893-S
jing1 sui3	48-59282-B
jing1 suo3	46-60171-S
jing1 tan4	69-60117-B,69-62333-B
jing1 tan4 bu4 yi3	69-60195-B
jing1 tan4 hao4	69-60276-B
jing1 tao1	69-62392-B
jing1 tao1 hai4 lang4	69-62438-B
jing1 tao2	69-63316-B
jing1 ti3	31-56406-B,49-41743-S
jing1 ti3 guan3	31-56447-B
jing1 ti3 jie2 gou4	31-56503-B
jing1 tian1 dong4 di4	69-60447-B
jing1 tiao2 yue1	2-49566-S,10-66710-S
jing1 tiao4	69-63160-B
jing1 tong1	48-58500-B
jing1 tong4	49-61514-B
jing1 wai4 ke1	46-59322-S
jing1 wai4 zhuan4	51-50243-S
jing1 wan1	33-15007-S
jing1 wan3 bao4	10-26721-S
jing1 wan4 juan3	10-50098-S
jing1 wang3 luo4	46-60298-S
jing1 wei3	49-62110-B
jing1 wei3 yi2	49-62193-B
jing1 wen2	49-58927-B
jing1 wu4	69-61638-B
jing1 xi1	69-61501-B
jing1 xi3	69-59906-B
jing1 xi3 ruo4 kuang2	69-59963-B
jing1 xi4	48-57431-B
jing1 xi4 bao1	46-60230-S
jing1 xi4 tong3	2-74078-S,46-60099-S
jing1 xia4	69-60339-B
jing1 xian1 wei2	46-60387-S
jing1 xian1 wei2 liu2	46-60457-S
jing1 xian2	69-62557-B
jing1 xian2 zhuan4	51-50421-S
jing1 xian3	69-63582-B
jing1 xian3 shi4	38-37793-S
jing1 xian3 shi4 qi4	38-37876-S
jing1 xian4	49-62031-B,69-62703-B
jing1 xiao1	49-62411-B
jing1 xiao3 guai4	17-41717-S
jing1 xin1	10-2698-S,48-53440-B,57-55051-S,69-60903-B
jing1 xin1 dong4 po4	69-60946-B
jing1 xin1 li3 xue2	58-21311-S
jing1 xin1 wen2	5-43280-S
jing1 xing3	69-63414-B
jing1 xing4	46-59516-S,63-40475-S
jing1 xing4 du2 ji4	46-59590-S
jing1 xing4 shi4 sun3 shang1	46-59679-S
jing1 xu4 rui4	69-12081-S
jing1 xuan3	48-58638-B
jing1 xue2	4-22670-S,46-59391-S,49-41551-S
jing1 xue2 jia1	46-59447-S
jing1 xun1 zhang1	17-30625-S
jing1 ya4	69-62905-B
jing1 yan2	6-10842-S
jing1 yan4	32-38277-S,37-11589-S,49-62627-B,60-22896-S,63-50335-S
jing1 yan4 feng1 fu4	49-62752-B
jing1 yan4 zhu3 yi4	49-62686-B
jing1 ye4	48-54313-B
jing1 ye4 ye4	7-23631-S
jing1 yi1 shi4 bu4 zhang3 yi1 zhi4	2-24768-S
jing1 yi4	2-25029-S,4-34595-S,69-62514-B
jing1 yi4 qiu2 jing1	48-54764-B
jing1 yi4 shu4 xue2 yuan4	10-27882-S
jing1 yin1	10-28573-S
