chū zhí	20-58249-S
chǎng	1-53580-S,1-59160-S,2-65344-S,4-12574-S,4-55013-S,5-48734-S,6-17480-S,7-35747-S,8-1232-S,8-17009-S,8-19145-S,8-37668-S,8-39565-S,8-54401-S,8-64451-S,9-9486-S,9-40288-S,9-45470-S,9-54963-S,10-1182-S,10-13953-S,10-23703-S,10-25990-S,10-55796-S,11-17896-S,11-36946-B,13-58974-S,13-64859-S,13-66076-S,15-17429-S,15-21780-S,15-23158-S,15-34404-S,15-42461-S,15-43724-S,16-13020-B,16-22542-B,17-36024-S,17-46282-S,18-15362-S,18-24240-S,18-50758-S,19-8508-S,19-41056-S,21-23646-S,21-23888-S,21-55317-S,22-12200-S,22-20694-S,23-7386-B,23-11359-S,23-28128-S,23-67450-S,25-13270-S,25-17030-B,25-58997-S,26-10916-S,26-18118-S,26-42153-S,27-2013-S,28-6319-S,28-21078-S,28-21809-S,29-18260-S,29-21202-S,29-40582-S,30-6073-B,30-7577-S,31-13333-S,31-33752-S,31-38593-B,31-39243-S,31-58415-S,32-22746-S,33-7900-S,33-33816-S,33-42690-S,33-60941-S,33-62322-S,33-63447-S,35-2920-S,35-28573-S,36-12032-S,36-17571-B,36-44354-S,36-63034-S,37-1539-S,37-15169-S,37-30436-S,37-34169-S,37-53366-S,38-9871-S,38-14720-S,39-17786-S,39-42177-S,40-3801-S,40-24081-S,41-721-S,41-1186-S,41-1293-S,41-3043-S,41-22679-S,41-24056-S,41-51875-S,41-59048-S,42-8532-S,42-19291-S,42-49816-S,42-51476-S,43-66914-S,44-960-S,44-27826-S,44-35343-S,44-47858-S,45-17409-S,46-4063-S,46-35045-S,46-37898-S,46-44137-S,47-57866-S,47-60799-S,48-462-S,48-42088-S,49-8951-S,49-25730-S,50-6347-S,50-24649-S,51-33047-S,51-68275-S,52-10683-S,52-56650-S,53-10639-S,53-29217-S,54-14190-S,54-29826-S,54-31284-S,55-39680-S,55-57298-S,57-4223-S,57-4444-S,58-1878-S,58-12662-S,58-60371-S,59-41486-S,59-45367-S,59-51831-S,59-62189-S,60-544-S,60-1395-S,60-10773-S,60-17957-S,60-22338-S,60-32739-S,60-45232-S,60-61597-S,61-2055-S,61-18808-S,61-28196-S,61-39996-S,61-42789-S,62-19049-S,62-36677-S,62-37438-S,62-38919-S,62-50006-S,63-39690-S,64-14959-S,64-39437-S,64-39981-B,64-40231-S,64-41784-S,65-11276-S,65-32434-S,65-36766-S,65-55008-S,67-27179-S,67-29818-S,67-33136-S,68-5916-S,68-63680-S,69-7079-S,69-12948-S,69-23803-S,69-23892-S,69-24007-S,69-46104-S,70-9000-S,70-18283-S,70-18432-S
chǎng bái	19-44394-S,65-32486-S
chǎng diào chá	22-12729-S
chǎng dà shà	35-2971-S
chǎng dì	16-13255-B
chǎng dìng wèi	22-12431-S
chǎng fáng	23-7844-B
chǎng guī	23-8149-B
chǎng guǎn	70-9052-S
chǎng gōng	23-7785-B
chǎng huà	22-12371-S
chǎng huì guǎn	42-51563-S
chǎng huí zú zì zhì xiàn	17-17304-S
chǎng hé	16-13202-B
chǎng jià	8-39641-S
chǎng jiā	23-7727-B
chǎng jì bǎn	16-13504-B
chǎng jīng jì	22-12657-S
chǎng jǐng	16-13445-B
chǎng kuàng	23-7984-B
chǎng kāi	30-6260-B
chǎng kǒng jù	23-11442-S
chǎng kǒng jù zhèng	23-11540-S
chǎng lùn	16-13563-B,64-5656-S
chǎng lǐ bài	23-8041-B
chǎng miàn	16-13671-B
chǎng mén	1-59277-S
chǎng pái	23-7928-B
chǎng péng chē	30-6116-B,30-6188-B
chǎng qū yīng jí	16-13131-B
chǎng shì	7-24305-S
chǎng shì chá	42-49881-S
chǎng shāng	23-7576-B
chǎng shī	19-44487-S
chǎng shǐ	23-7525-B
chǎng suǒ	7-55803-S,16-13395-B
chǎng sī	23-8101-B
chǎng wài yīng jí	16-13319-B
chǎng xiàn xíng jì	19-41116-S
chǎng yíng xiāo	22-12588-S
chǎng yī zhì	7-35891-S
chǎng zhàn yǒu lǜ	22-12290-S
chǎng zhǎng	23-8204-B
chǎng zhǐ	23-7626-B
chǎng zhǔ	23-7476-B
chǎng zhǔn rù	22-12513-S
chǎng zi	23-7683-B
chǎng · dōng	17-12676-S
chǎo	13-2457-B,40-28927-B,41-38552-S
chǎo bō cài	40-29090-B
chǎo cài	40-29040-B
chǎo dàn	40-29153-B,43-57407-S,57-21454-S
chǎo fàn	40-29310-B,67-8143-S
chǎo guō	40-29202-B
chǎo jià	13-2587-B,14-8620-S
chǎo jī dàn	40-29251-B
chǎo miàn	40-29419-B,41-48588-S
chǎo mǐ fěn	40-28977-B
chǎo nào	13-2646-B
chǎo nào shēng	13-2686-B
chǎo rè mài	41-20682-S
chǎo ròu piàn	17-33947-S,54-64759-S
chǎo yóu yú	40-29355-B
chǎo zuǐ	13-2542-B
chǐ	1-24962-S,1-47202-S,1-57946-S,1-65035-S,2-36935-S,3-23769-S,4-60975-S,5-20093-B,7-51992-S,7-59311-S,8-63761-S,9-5536-S,9-22449-S,9-23313-S,10-13047-S,11-26547-S,11-70754-S,12-13024-S,13-9903-B,13-28660-S,13-49325-S,14-40455-S,15-8672-S,15-55030-S,18-12042-S,21-11555-B,22-41594-S,23-4899-S,24-7495-S,24-43089-S,24-53438-S,25-728-B,26-53284-B,29-4348-S,31-57830-S,32-4542-S,34-52652-S,35-23727-B,35-50357-B,36-9302-S,37-64308-S,38-34090-S,40-51942-S,41-47262-S,42-2137-S,43-47633-S,44-33124-S,44-63484-S,45-20884-S,45-24299-S,45-65178-S,46-41164-S,51-10149-S,53-21166-S,54-2986-S,54-17941-S,54-24351-S,54-47314-S,56-1834-S,56-44237-S,57-8415-B,57-44670-S,57-45005-S,58-18026-B,59-18118-S,59-18594-B,61-16958-S,61-47914-S,64-39874-S,64-40280-S,65-24333-S,67-48662-S,70-28718-S,71-54858-B,71-56791-S
chǐ bù qīng	11-70852-S
chǐ bù wàng	37-12202-S
chǐ cun	21-11816-B
chǐ cùn	34-54178-S,64-5810-S
chǐ dòng wù	14-40502-S
chǐ dù	21-11875-B
chǐ guàn	71-54886-B
chǐ guī	21-11981-B
chǐ guī zuò tú	21-12061-B
chǐ gēn	71-55067-B
chǐ gēng	71-54982-B
chǐ gōng	12-32666-S
chǐ gǔ	21-12154-B,25-934-B
chǐ hán	13-49046-S
chǐ jiàng	59-18179-S
chǐ jí	71-54935-B
chǐ lèi	14-40637-S
chǐ lèi pá chóng	48-63296-S
chǐ líng lì	11-70949-S
chǐ lóu tī	32-4616-S
chǐ lún	64-43234-S,71-55328-B
chǐ lūn	71-55256-S
chǐ mà	25-826-B
chǐ míng móu	44-63558-S
chǐ mù	14-40571-S
chǐ mǎ	21-11923-B
chǐ nán wàng	37-12381-S
chǐ pǐn	18-12092-S
chǐ qīng chu	11-71081-S
chǐ rǔ	12-67653-S,25-875-B
chǐ shēng xiāng	11-71169-S
chǐ tiáo	71-55114-B
chǐ tiáo chǐ lūn	71-55256-B
chǐ tiáo qiān jīn dǐng	71-55166-B
chǐ xià wèn	2-9764-S
chǐ xiàn	69-44598-S
chǐ xiào	25-765-B
chǐ xiāng yī	13-49428-S
chǐ xíng	64-39915-S
chǐ yì lóng	40-64650-S
chǐ yín	71-55446-B
chǐ yín yán	71-55491-B
chǐ yīn	71-55396-B
chǐ zhū chún	44-63675-S
chǐ zi	21-11751-B
chǐ zuò	45-65252-S
chǐ ér xiào	67-48702-S
chǒng	11-61174-S,14-31413-S,17-65115-S,20-28457-B,25-1885-S,41-38774-S,56-16863-S
chǒng chén	20-28772-B
chǒng huài	20-28572-B
chǒng ruò jīng	11-61260-S
chǒng wù	20-28672-B
chǒng wù diàn	20-28716-B
chǒng ài	20-28624-B
chǒng ér	20-28517-B
chǒu	1-24458-S,2-37132-B,2-37244-B,2-45556-S,3-15219-S,6-17955-B,8-46220-S,18-2157-S,19-241-S,20-60293-S,22-1496-S,33-26911-B,44-22849-S,45-58118-B,59-12397-S,61-32336-S,63-48528-B,67-47849-S
chǒu bù kě wài chuán	19-64414-S
chǒu dǐ	63-48784-B
chǒu huà	63-48619-B
chǒu lòu	63-48828-B
chǒu niú	2-37203-B
chǒu shì	63-48577-B
chǒu tiáo yuē	61-32413-S
chǒu wén	22-29127-S,63-48742-B
chǒu wú bǐ	18-2223-S
chǒu è	63-48695-B
chǔ	5-3005-S,5-51957-S,6-58847-B,7-72803-S,8-24790-S,8-29528-B,9-2773-S,13-22201-S,16-462-S,19-7424-S,20-1626-S,20-22549-S,22-7814-S,32-48488-S,33-26767-B,33-46754-S,34-30197-B,34-33853-B,42-21323-S,42-33065-S,44-59757-S,45-16626-S,45-30690-S,46-42751-B,49-59821-S,51-8528-S,55-13732-S,55-48615-B,56-26513-S,57-7864-B,59-51075-S,60-57175-S,67-20137-S,68-39256-S
chǔ bèi	6-59019-B,10-22596-S,16-45286-S,33-58686-S,51-4860-S,59-51707-S
chǔ bèi huò bì	6-59134-B
chǔ bèi jīn	6-59205-B
chǔ bèi liáng	6-59073-B
chǔ chéng zhēn	46-39515-S
chǔ cáng	6-59722-B
chǔ cáng shì	6-59775-B
chǔ cí	34-30585-B
chǔ cún	3-11681-S,6-59265-B,39-20099-S,45-66207-S
chǔ cún jí bìng	39-24288-S
chǔ fá	55-50548-B
chǔ fèn	55-49195-B
chǔ fāng	55-49927-B
chǔ guó	34-30288-B
chǔ gē	14-54038-S
chǔ hàn zhàn zhēng	34-30346-B
chǔ jiào yù	16-602-S
chǔ jué	55-50151-B
chǔ jìng	55-49495-B
chǔ kè	16-746-S
chǔ liàng	6-59848-B,41-5471-S
chǔ lǐ	3-1509-S,8-55184-S,23-58981-S,30-28746-S,36-46164-S,41-21487-S,51-61711-S,55-50218-B
chǔ lǐ chǎng	36-63034-S
chǔ lǐ jī	2-67547-S
chǔ lǐ néng lì	55-50345-B
chǔ lǐ qì	55-50293-B
chǔ lǐ xì tǒng	57-61234-S
chǔ nán	55-50432-B
chǔ nǚ	51-30539-S,55-49536-B
chǔ nǚ háng	55-49830-B
chǔ nǚ mó	55-49782-B
chǔ nǚ zuò	55-49592-B,55-49665-B
chǔ qì	10-0-S,12-14004-S,19-7472-S,28-50293-S,66-44139-S,67-62135-S,70-22699-S
chǔ rén huò	57-7898-B
chǔ shuǐ	6-59338-B
chǔ shuǐ guǎn	6-59387-B
chǔ shuǐ xiāng	6-59495-B
chǔ shè shī	16-677-S
chǔ shì	55-48908-B,55-49051-B
chǔ shì yuán zé	55-48971-B,55-49115-B
chǔ shǔ	55-50032-B
chǔ suì liáng	34-33897-B
chǔ suǒ	55-49888-B
chǔ sù lǜ	16-817-S
chǔ sǐ	55-50087-B
chǔ sǐ xíng	9-2829-S
chǔ tiáo yuē	2-49713-S,21-13261-S
chǔ wèn tí	16-516-S
chǔ wù	6-59561-B
chǔ wù zhèng	23-45759-S
chǔ wěi	13-2280-S
chǔ wǎng	54-16408-S
chǔ wǎng shì	54-16479-S
chǔ xióng	34-30624-B
chǔ xióng shì	34-30765-B
chǔ xióng yí zú zì zhì zhōu	34-30838-B
chǔ xióng zhōu	34-30686-B
chǔ xù	6-59602-B
chǔ xù lǜ	6-59667-B
chǔ yú	19-35825-S,55-49982-B
chǔ zhuāng wáng	34-30497-B
chǔ zhì	55-50479-B
chǔ zhí kǎ	6-58933-B
chǔn	25-26586-B,25-32028-S,56-21615-B
chǔn bèn	56-21761-B
chǔn cái	56-21721-B
chǔn huò	56-21802-B
chǔn shì	56-21681-B
ci	1-12576-S,1-36017-S,1-38143-S,1-51102-S,1-58225-S,1-60727-S,1-69743-S,1-71497-S,1-74866-S,2-5526-S,2-32102-S,3-7731-S,3-36612-S,4-11455-S,4-15256-S,4-20996-S,4-23925-S,4-24050-S,4-30600-S,4-33471-S,4-37819-S,4-61754-B,4-66159-B,4-66632-S,5-12667-B,5-25244-S,5-49410-S,5-55625-S,6-1219-S,6-9460-S,6-13029-S,6-19277-B,7-4157-S,7-11408-S,7-46314-S,8-4270-S,8-8140-S,8-9057-S,8-58389-S,9-605-S,9-9822-S,9-12429-B,9-29788-S,9-33576-S,9-50233-S,9-61173-S,9-61830-S,9-68870-S,9-69613-S,10-847-S,10-2085-S,10-2434-S,11-11642-S,11-17254-S,11-39296-S,11-41555-S,11-42618-S,11-52371-S,11-54751-S,12-1333-S,12-19882-S,12-33954-S,12-49358-S,12-50917-S,12-52742-S,12-54315-S,12-56541-S,12-58563-S,12-58923-S,12-68373-S,13-5675-S,13-9678-S,13-33042-S,13-56542-S,14-21639-S,14-22598-S,14-27250-S,14-41879-S,14-42719-S,14-42880-S,14-51067-S,14-59919-S,14-60908-S,15-35565-S,15-54699-S,16-22204-S,16-43514-S,16-59438-S,16-62579-S,16-65119-S,17-37103-S,18-30862-S,18-41502-S,18-52761-S,18-52930-S,18-56455-S,19-6594-S,19-43866-S,20-2906-S,20-14760-S,20-38505-S,20-39376-S,20-47423-S,20-47961-S,20-56272-S,21-10204-S,21-19753-S,21-24533-S,21-25317-S,21-63512-B,22-28143-S,22-57858-S,23-50063-S,23-52634-S,23-54034-S,23-54089-S,23-61480-S,24-11893-S,25-2315-S,25-3107-S,25-11509-S,25-11564-S,25-40401-S,25-44677-B,25-58426-S,26-52601-S,27-18086-S,27-50748-S,27-60687-S,27-64267-S,27-65442-S,27-68686-S,27-70445-S,27-70599-S,28-1020-S,28-1075-S,28-23468-S,28-32498-S,28-34226-S,28-42301-S,28-58045-S,29-11900-S,29-19189-S,29-24320-S,29-37873-S,29-60547-S,29-62394-S,30-12654-S,30-24091-S,32-8545-S,32-29405-S,32-66211-S,33-31-B,33-34926-S,33-66113-S,34-30585-S,34-38772-S,34-44149-S,35-12286-S,35-19985-B,35-26497-S,35-40874-B,35-41661-S,35-43849-S,35-52886-S,36-6100-S,36-6897-S,36-11218-S,36-13665-S,36-52428-S,37-35815-B,37-41977-S,38-1212-S,38-49814-S,39-55552-S,39-58468-S,39-60390-S,40-815-S,40-32748-S,41-45143-S,41-59772-S,42-7722-S,42-42449-B,42-47210-S,42-49605-S,42-60985-S,43-12337-B,43-29555-S,43-35947-S,43-38876-S,44-3957-S,44-6433-B,45-47953-S,46-31176-S,46-34584-B,46-55121-S,46-58913-S,46-63245-B,47-9912-S,47-51203-S,48-8534-S,48-8985-S,48-10121-S,48-11323-S,48-21328-S,48-47288-S,48-60604-B,49-918-S,49-42634-S,49-48008-B,50-20280-S,51-120-S,51-2593-S,51-59854-S,52-27507-S,53-7334-S,53-18478-S,53-19840-S,53-20047-S,53-20766-S,53-21966-S,53-34334-S,54-8001-B,54-9039-B,54-27767-B,55-6295-S,55-61396-B,56-38598-S,56-39069-S,57-5394-S,57-52289-S,57-56040-S,57-56531-S,57-65032-S,57-65614-S,58-6232-S,58-8975-B,58-14680-S,58-23668-S,58-24897-S,58-25967-S,58-26363-S,58-27797-S,58-45145-S,58-47284-S,58-52216-S,58-53893-S,58-55506-S,58-57297-S,58-61160-S,58-61356-S,59-2815-S,59-24198-S,59-44738-S,59-50245-S,59-55900-S,59-56781-B,59-57436-S,60-2375-S,60-17642-S,60-35434-B,60-47920-S,61-12846-S,61-16210-S,61-36249-B,61-38059-S,61-38977-S,61-48686-S,62-2303-S,62-5813-S,62-19792-S,62-22257-S,62-23680-S,62-23873-S,62-25290-S,62-43988-S,62-64061-S,64-6707-S,64-48613-S,64-51247-S,65-25835-S,65-34111-S,65-57484-S,66-31578-S,66-49033-S,66-61001-B,67-32909-S,67-42787-S,67-42985-S,67-63567-S,68-25152-S,68-28026-S,68-32266-S,68-43320-S,69-9403-S,69-10253-B,69-22582-S,69-47016-S,69-47142-S,69-65107-S,70-3487-B,70-16855-S,70-59272-B,71-2344-S
ci Shi jie Da zhan	3-36720-S
ci ai	25-45255-B
ci ba	25-37845-S
ci bai	9-13026-B
ci bao	55-25899-S
ci bei	25-45217-B
ci ben	43-29720-S
ci bo	67-33432-S
ci bu	49-48071-B
ci bu pi	34-49355-S
ci bu qi	11-39371-S
ci ceng	46-35094-B
ci chan sheng qi mo xing	14-21676-S
ci chang	15-43724-S,46-35045-B,67-33136-S
ci chang xiao ying	58-11452-B
ci chong die	10-2207-S
ci chong fu ce yan	67-67687-S
ci chu	9-9870-S,15-35926-S
ci chuan	9-13806-B
ci chuo	9-12935-B
ci ci	35-41661-B
ci da lu	35-20417-B
ci da zhan	3-36968-S
ci dai	35-21838-B,45-3657-S,46-35156-B
ci dai ji	46-35202-B
ci dan ji zi	46-34975-B
ci dao	9-12846-B,27-50795-S
ci deng	35-21386-B
ci di	35-21322-B,35-41032-B,35-41580-S
ci di wu yin san bai liang	35-41079-B
ci dian	24-35343-S,44-55617-S,56-50557-S,58-9232-B,60-43956-S,61-36483-B,68-47614-S
ci dian yu yin jia gong	9-23712-S
ci diao	61-36690-B
ci die	7-11458-S,61-3625-S
ci die ci	6-9460-S
ci die ji	7-11539-S
ci duo li	23-45173-S,23-45295-S
ci duo xiang shi	3-36881-S
ci en si	17-18053-S
ci er	9-13974-B
ci er bie	2-33063-S
ci er li	9-12635-B
ci er tou	9-12755-B
ci fa yi shi	34-43856-S
ci fang	1-36148-S,3-37035-S,35-20831-B,65-29737-S
ci fang cheng	1-12835-S,1-36210-S,3-37102-S
ci fang cheng shi	1-12907-S
ci fen xi mo xing	16-56338-S
ci fu	46-35851-B,59-56872-B
ci gan	26-22179-S
ci gan qi dong	58-9421-B
ci gan rao	67-33266-S
ci gan xian	46-35460-B
ci gan ying	46-35307-B,67-33350-S
ci gan ying qiang du	46-35370-B
ci ge ming	3-37345-S
ci gei	59-56912-B
ci gen	58-10178-B
ci gen yu	58-11308-B
ci gong kai zhao gu	69-22634-S
ci gong zhen	33-61104-S,46-34634-B
ci gong zhen cheng xiang	46-34698-B
ci gong zhen cheng xiang shu	9-49967-S
ci gu	9-14099-B,25-45156-B,54-9169-B
ci guan	35-20591-B,61-36629-B
ci gui ze	3-64103-S
ci hai	61-36816-B
ci hai mo shi bing	66-8735-S
ci hai zhi	1-67379-S,1-67577-S
ci han	61-36855-B
ci han shu	1-12660-S,3-36809-S
ci he Ni wei si	51-45439-S
ci hou	4-61839-B,15-35859-S,35-41331-B
ci hou bi	10-62560-S
ci hou li	10-62653-S
ci hua	46-34865-B,66-61255-B
ci hua ti	12-15464-S
ci huai	9-13074-B
ci huang	18-32412-S,66-61619-B
ci hui	15-69640-S,58-9530-B
ci hui dan yuan	3-64021-S
ci hui fen jie	58-9625-B
ci hui jia gong	9-23822-S,24-1597-S
ci hui jie duan	9-24032-S
ci hui pan duan	58-9701-B
ci hui pan duan fa	58-9969-B
ci hui pan duan ren wu	58-9773-B
ci hui pan duan zuo ye	58-9871-B
ci hui tong lu	58-10056-B
ci hui yu yin jia gong	9-23908-S
ci huo	35-21770-B
ci ji	9-13198-B,35-21444-B,35-41831-B,46-35749-B,57-65525-S
ci ji dai kuan	35-21485-B
ci ji ji	9-13274-B
ci ji qi dong bu tong bu	9-13330-B
ci ji qun	9-13657-B
ci ji su	9-13601-B,66-61193-B
ci ji wu	9-13551-B
ci ji xing	9-13440-B
ci ji xing du ji	52-14589-S
ci jian rong xing	67-32958-S
ci jie gou	10-2123-S
ci jing	35-21580-B
ci ju	46-36164-B,58-9331-B
ci ka	43-29655-S,46-34910-B
ci ke	4-50326-S,9-12886-B,35-40906-B,35-41508-S,68-32924-S
ci ke hai	63-29169-S
ci ke jian	43-38925-S
ci kong guan	46-35604-B
ci lan diao	66-29605-S
ci lao ku	2-32995-S
ci lei	6-38622-S,58-11727-B,58-47968-S
ci li	59-18502-S
ci li xian	46-34800-B
ci ling	58-9046-B,61-36402-B
ci lu bu tong	35-41702-B
ci lu: suan	35-20941-B
ci mai chong	33-63513-S,67-33496-S
ci mi	1-36088-S
ci miao	46-63404-B
ci mu	46-63350-B,58-10368-B
ci nu:	35-20502-B
ci pan	46-26024-S,46-36041-B,61-3569-S
ci pan qu dong qi	46-36089-B
