警 警 [01\[ jǐng\]]	to alert;to warn;police
議席 议席 [01\[ yì xí\]]	seat in a parliament or legislative assembly
議會 议会 [01\[ yì huì\]]	parliament;legislative assembly
議會制 议会制 [01\[ yì huì zhì\]]	parliamentary system
議案 议案 [01\[ yì àn\]]	proposal;motion
議程 议程 [01\[ yì chéng\]]	agenda
議論 议论 [01\[ yì lùn\]]	to comment;to talk about;to discuss;discussion
議長 议长 [01\[ yì zhǎng\]]	speaker (of a legislative assembly)
議院 议院 [01\[ yì yuàn\]]	parliament;legislative assembly
議題 议题 [01\[ yì tí\]]	topic of discussion;topic;subject;issue (under discussion)
譲 譲 [01\[ ràng\]]	japanese variant of 讓|让
譴 谴 [01\[ qiǎn\]]	punishment;scold
譴責 谴责 [01\[ qiǎn zé\]]	denounce;condemn;criticize
譴責小說 谴责小说 [01\[ qiǎn zé xiǎo shuō\]]	a novel of denunciation (acc. to lu xun's 鲁迅|鲁迅 classification)
護 护 [01\[ hù\]]	protect
護國戰爭 护国战争 [01\[ hù guó zhàn zhēng\]]	national protection war or campaign to defend the republic (1915)
護國爭 护国争 [01\[ hù guó zhàn\]]	national protection war or campaign to defend the republic (1915)
護國軍 护国军 [01\[ hù guó jūn\]]	national protection army of 1915 (in rebellion against yuan shikai)
護國運動 护国运动 [01\[ hù guó yùn dòng\]]	campaign to defend the republic (1915) or national protection war
護城河 护城河 [01\[ hù chéng hé\]]	moat
護士 护士 [01\[ hù shi\]]	nurse
護法戰爭 护法战争 [01\[ hù fǎ zhàn zhēng\]]	national protection war or campaign to defend the republic (1915)
護法神 护法神 [01\[ hù fǎ shén\]]	protector deities of buddhist law
護照 护照 [01\[ hù zhào\]]	passport
護理 护理 [01\[ hù lǐ\]]	to nurse;to tend and protect
護理學 护理学 [01\[ hù lǐ xué\]]	nursing
護短 护短 [01\[ hù duǎn\]]	to shield (one's shortcoming);to cover up (errors)
護膚 护肤 [01\[ hù fū\]]	skincare
護航 护航 [01\[ hù háng\]]	a naval escort;to convoy
護衛 护卫 [01\[ hù wèi\]]	an escort;a guard;to convoy
護衛艦 护卫舰 [01\[ hù wèi jiàn\]]	corvette
護貝機 护贝机 [01\[ hù bèi jī\]]	laminating machine;laminator
護送 护送 [01\[ hù sòng\]]	to escort;to accompany
護送者 护送者 [01\[ hù sòng zhě\]]	to escort
護髮素 护发素 [01\[ hù fà sù\]]	hair conditioner
譸 譸 [01\[ zhōu\]]	deceive;to lie
譹 譹 [01\[ háo\]]	to shout
譽 誉 [01\[ yù\]]	reputation
譾 谫 [01\[ jiǎn\]]	shallow;stupid
讀 读 [01\[ dòu\]]	comma;phrase marked by pause
讀 读 [01\[ dú\]]	to read;to study
讀卡器 读卡器 [01\[ dú kǎ qì\]]	card reader
讀報 读报 [01\[ dú bào\]]	to read newspapers
讀寫 读写 [01\[ dú xiě\]]	fill out or in (information on a form)
讀寫能力 读写能力 [01\[ dú xiě néng lì\]]	literacy
讀書 读书 [01\[ dú shū\]]	study;read
讀書人 读书人 [01\[ dú shū rén\]]	a scholar;an intellectual
讀本 读本 [01\[ dú běn\]]	reader;an instructional book
讀物 读物 [01\[ dú wù\]]	reading material
讀經 读经 [01\[ dú jīng\]]	to read the scriptures
讀者 读者 [01\[ dú zhě\]]	reader
讀者來信 读者来信 [01\[ dú zhě lái xìn\]]	reader's letters
讀者文摘 读者文摘 [01\[ dú zhě wén zhāi\]]	reader's digest
讀賣新聞 读卖新闻 [01\[ dú mài xīn wén\]]	yomiuri shimbun (japanese newspaper)
讀音 读音 [01\[ dú yīn\]]	pronunciation
讅 讅 [01\[ shěn\]]	investigate;try (in court)
讆 讆 [01\[ wèi\]]	to exaggerate;incredible
變 变 [01\[ biàn\]]	to change;to become different;to transform;to vary;rebellion
變亂 变乱 [01\[ biàn luàn\]]	turmoil;social upheaval
變修 变修 [01\[ biàn xiū\]]	become revisionist
變價 变价 [01\[ biàn jià\]]	appraise at the current rate
變分 变分 [01\[ biàn fēn\]]	variation (calculus);deformation
變分原理 变分原理 [01\[ biàn fēn yuán lǐ\]]	variational principle (math. phys.)
變分學 变分学 [01\[ biàn fēn xué\]]	the calculus of variations (math.)
變分法 变分法 [01\[ biàn fēn fǎ\]]	calculus of variations
變動 变动 [01\[ biàn dòng\]]	change;alteration
變化 变化 [01\[ biàn huà\]]	change;vary
變厚 变厚 [01\[ biàn hòu\]]	thicken
變壓器 变压器 [01\[ biàn yā qì\]]	transformer
變壞 变坏 [01\[ biàn huài\]]	to get worse;to degenerate
變天 变天 [01\[ biàn tiān\]]	change of weather;restoration of reactionary rule
變奏 变奏 [01\[ biàn zòu\]]	variation
變奏曲 变奏曲 [01\[ biàn zòu qǔ\]]	variation (music)
變局 变局 [01\[ biàn jú\]]	turbulent situation;changing (face
變工 变工 [01\[ biàn gōng\]]	exchange work
變幻 变幻 [01\[ biàn huàn\]]	change irregularly;fluctuate
變形 变形 [01\[ biàn xíng\]]	deformation;to become deformed;to change shape;to morph
變形蟲 变形虫 [01\[ biàn xíng chóng\]]	amoeba
變得 变得 [01\[ biàn de\]]	become;change into
變徵之聲 变征之声 [01\[ biàn zhǐ zhī shēng\]]	modified fifth note of the pentatonic scale
變心 变心 [01\[ biàn xīn\]]	cease to be faithful
變性 变性 [01\[ biàn xìng\]]	denaturation
變態 变态 [01\[ biàn tài\]]	metamorphosis;abnormal;anomalous
變成 变成 [01\[ biàn chéng\]]	to change into;to turn into;to become
變戲法 变戏法 [01\[ biàn xì fǎ\]]	perform conjuring tricks;conjure;juggle
變把戲 变把戏 [01\[ biàn bǎ xì\]]	to performmagic;to do magic tricks;prestidigitation
變換 变换 [01\[ biàn huàn\]]	to transform;to convert;to vary;to alternate;a transformation
變換群 变换群 [01\[ biàn huàn qún\]]	(math.) a transformation group
變換設備 变换设备 [01\[ biàn huàn shè bèi\]]	converter;conversion device
變故 变故 [01\[ biàn gù\]]	an unforeseen event;accident;misfortune
變數 变数 [01\[ biàn shù\]]	variable
變文 变文 [01\[ biàn wén\]]	a popular form of narrative literature flourishing in the tang dynasty (618-907) with alternate prose and rhymed parts for recitation and singing (often on buddhist themes)
變星 变星 [01\[ biàn xīng\]]	variable star
變暖 变暖 [01\[ biàn nuǎn\]]	warming;changing to become warmer
變暗 变暗 [01\[ biàn àn\]]	darken
變更 变更 [01\[ biàn gēng\]]	change;alter;modify
變本加厲 变本加厉 [01\[ biàn běn jiā lì\]]	lit. change to more severe (成语 saw); to become more intense (esp. of shortcoming);to aggravate;to intensify
變格 变格 [01\[ biàn gé\]]	case change (in grammar)
變樣 变样 [01\[ biàn yàng\]]	to change (appearance);to change shape
變樣兒 变样儿 [01\[ biàn yàng 5r\]]	erhua variant of 變樣|变样
變法 变法 [01\[ biàn fǎ\]]	political reform
變法兒 变法儿 [01\[ biàn fǎ er\]]	try different ways
變活 变活 [01\[ biàn huó\]]	to come to life (by magic)
變流器 变流器 [01\[ biàn liú qì\]]	converter
變溫動物 变温动物 [01\[ biàn wēn dòng wù\]]	poikilothermal (cold-blooded) animal
變溫層 变温层 [01\[ biàn wēn céng\]]	troposphere;lower atmosphere
變為 变为 [01\[ biàn wéi\]]	to change into
變焦距鏡頭 变焦距镜头 [01\[ biàn jiāo jù jìng tóu\]]	zoom lens
變生肘腋 变生肘腋 [01\[ biàn shēng zhǒu yè\]]	lit. calamity in one's armpit (成语 saw); a major coup happening on one's doorstep;trouble or danger in one's own backyard
變產 变产 [01\[ biàn chǎn\]]	to sell one's estate
變異 变异 [01\[ biàn yì\]]	variation
變異型克雅氏症 变异型克雅氏症 [01\[ biàn yì xíng kè yǎ shì zhèng\]]	variant creutzfeldt-jacobs disease
變異株 变异株 [01\[ biàn yì zhū\]]	variant;variant strain (of virus)
變相 变相 [01\[ biàn xiàng\]]	in disguised form;covert
變硬 变硬 [01\[ biàn yìng\]]	stiffen
變種 变种 [01\[ biàn zhǒng\]]	mutation;variety;variant
變節 变节 [01\[ biàn jié\]]	make a political recantation;turn one's coat
變紅 变红 [01\[ biàn hóng\]]	redden
變臉 变脸 [01\[ biàn liǎn\]]	to turn hostile suddenly;face changing
變色 变色 [01\[ biàn sè\]]	change color;discolor;change countenance;become angry
變色龍 变色龙 [01\[ biàn sè lóng\]]	chameleon
變苦 变苦 [01\[ biàn kǔ\]]	to sour;to turn sour;to curdle
變調 变调 [01\[ biàn diào\]]	modified tone;tonal modification
變賣 变卖 [01\[ biàn mài\]]	sell off (one's property)
變質 变质 [01\[ biàn zhì\]]	go bad;deteriorate;metamorphism
變質作用 变质作用 [01\[ biàn zhì zuò yòng\]]	metamorphism (geol.)
變質岩 变质岩 [01\[ biàn zhì yán\]]	metamorphic rock (geol.)
變軟 变软 [01\[ biàn ruǎn\]]	soften
變通 变通 [01\[ biàn tōng\]]	pragmatic;flexible;to act differently in different situations;to accommodate to circumstances
變速 变速 [01\[ biàn sù\]]	speed change;gear shift
變速器 变速器 [01\[ biàn sù qì\]]	gearbox;speed changer;gear
變速桿 变速杆 [01\[ biàn sù gǎn\]]	gear lever
變速箱 变速箱 [01\[ biàn sù xiāng\]]	gearbox
變遷 变迁 [01\[ biàn qiān\]]	changes;vicissitudes
變醜 变丑 [01\[ biàn chǒu\]]	disfigure
變量 变量 [01\[ biàn liàng\]]	variable
變阻器 变阻器 [01\[ biàn zǔ qì\]]	rheostat (variable resistor)
變電 变电 [01\[ biàn diàn\]]	power transformation
變電站 变电站 [01\[ biàn diàn zhàn\]]	(transformer) substation
變革 变革 [01\[ biàn gé\]]	transform;change
變頻 变频 [01\[ biàn pín\]]	frequency conversion
變體 变体 [01\[ biàn tǐ\]]	variant
變黑 变黑 [01\[ biàn hēi\]]	darken
讋 讋 [01\[ zhé\]]	be frightened
讌 讌 [01\[ yàn\]]	variant of 宴;feast;repose
讌會 讌會 [01\[ yàn huì\]]	variant of 宴會|宴会
讎 雠 [01\[ chóu\]]	enmity;feud
讒 谗 [01\[ chán\]]	slander;defame;misrepresent;to speak maliciously
讒佞 谗佞 [01\[ chán nìng\]]	to defame one person while flattering another;a slandering toady
讒害 谗害 [01\[ chán hài\]]	to slander;to defame and persecute
讒言 谗言 [01\[ chán yán\]]	slander;slanderous report;calumny;false charge
讒諂 谗谄 [01\[ chán chǎn\]]	to defame one person while flattering another;a slandering toady
讒邪 谗邪 [01\[ chán xié\]]	lies and slander;malicious calumny
讓 让 [01\[ ràng\]]	to yield;to permit;to let sb do sth;to have sb do sth
讓人羡慕 让人羡慕 [01\[ ràng rén xiàn mù\]]	enviable;to be admired
讓位 让位 [01\[ ràng wèi\]]	to abdicate;to yield
讓傷心 让伤心 [01\[ ràng shāng xīn\]]	to make grieve
讓坐 让坐 [01\[ ràng zuò\]]	to give up one's seat;to be seated
讓座 让座 [01\[ ràng zuò\]]	to give up one's seat for sb
讓步 让步 [01\[ ràng bù\]]	(make a) concession;to give in;to yield
讓球 让球 [01\[ ràng qiú\]]	to concede points (in a game)
讓路 让路 [01\[ ràng lù\]]	to make way (for sth)
讓開 让开 [01\[ ràng kāi\]]	to get out of the way;to step aside
讕 谰 [01\[ lán\]]	make a false charge
讕言 谰言 [01\[ lán yán\]]	slander;calumny;to accuse unjustly
讕調 谰调 [01\[ lán diào\]]	slander;calumny;to accuse unjustly
讖 谶 [01\[ chèn\]]	prophecy;omen
讙 讙 [01\[ huān\]]	acclamation
讚 赞 [01\[ zàn\]]	to praise
讚不絕口 赞不绝口 [01\[ zàn bù jué kǒu\]]	to praise without cease (成语 saw); praise sb to high heaven
讚同 赞同 [01\[ zàn tóng\]]	to approve of;to endorse;(vote) in favor;trad. also written 贊同
讚揚 赞扬 [01\[ zàn yáng\]]	to praise;to approve of;to show approval
讚美 赞美 [01\[ zàn měi\]]	admire;applause;praise;to eulogize
讚賞 赞赏 [01\[ zàn shǎng\]]	to admire;to praise;to appreciate
讚頌 赞颂 [01\[ zàn sòng\]]	bless;praise
讜 谠 [01\[ dǎng\]]	advice;counsels
讞 谳 [01\[ yàn\]]	decide judicially
讟 讟 [01\[ dú\]]	to murmur;to slander
话筒 话筒 [01\[ huà tǒng\]]	microphone
诬告 诬告 [01\[ wū gào\]]	to frame sb;to accuse falsely
谱線 谱线 [01\[ pǔ xiàn\]]	spectral line
谷 谷 [01\[ gǔ\]]	valley
谷 谷 [01\[ yù\]]	surname yu
谷地 谷地 [01\[ gǔ dì\]]	valley
谷城 谷城 [01\[ gǔ chéng\]]	(n) gucheng (place in hubei)
谷子 谷子 [01\[ gǔ zi\]]	millet
谷梁傳 谷梁传 [01\[ gù liáng zhuàn\]]	mr yuliang's annals or commentary on 春秋
谷歌 谷歌 [01\[ gǔ gē\]]	google internet company and search engine
谷氨酰胺 谷氨酰胺 [01\[ gǔ ān xiān àn\]]	glutamine (gln)
谽 谽 [01\[ hān\]]	a mouth or opening
谿 溪 [01\[ xī\]]	creek
谿壑 溪壑 [01\[ xī hè\]]	valley;mountain gorge
谿徑 溪径 [01\[ xī jìng\]]	path;way through;channel
谿湖 溪湖 [01\[ xī hú\]]	xihu district of benxi city 本溪市|本溪市
谿湖區 溪湖区 [01\[ xī hú qū\]]	xihu district of benxi city 本溪市|本溪市
谿澗 溪涧 [01\[ xī jiàn\]]	stream;mountain gorge
谿蟹 溪蟹 [01\[ xī xiè\]]	fresh water crab
谿谷 溪谷 [01\[ xī gǔ\]]	valley;gorge
谿黃草 溪黄草 [01\[ xī huáng cǎo\]]	rabdosia lophanthoides (no common name)
豁 豁 [01\[ huá\]]	play chinese finger game
豁 豁 [01\[ huō\]]	opening;stake all;sacrifice;crack;slit
豁 豁 [01\[ huò\]]	clear;open;exempt (from);liberal-minded
豁免 豁免 [01\[ huò miǎn\]]	to exempt;exemption;immunity
豁免權 豁免权 [01\[ huò miǎn quán\]]	diplomatic immunity;immunity from prosecution
豁拳 豁拳 [01\[ huá quán\]]	finger-guessing game
豁然 豁然 [01\[ huò rán\]]	wide and open;a flash of understanding
豁然開朗 豁然开朗 [01\[ huò rán kāi lǎng\]]	suddenly see the light;be suddenly enlightened;open and clear;suddenly become extensive
豆 豆 [01\[ dòu\]]	bean;sacrificial vessel
豆奶 豆奶 [01\[ dòu nǎi\]]	soy milk
豆子 豆子 [01\[ dòu zi\]]	bean;pea
豆汁 豆汁 [01\[ dòu zhī\]]	soya bean milk
豆油 豆油 [01\[ dòu yóu\]]	soy bean oil
豆渣 豆渣 [01\[ dòu zhā\]]	soya bean dregs
豆渣腦筋 豆渣脑筋 [01\[ dòu zhā nǎo jīn\]]	brain of soya bean dregs;idiot;porridge head
豆漿 豆浆 [01\[ dòu jiāng\]]	soy milk
豆科 豆科 [01\[ dòu kē\]]	fabaceae
豆腐 豆腐 [01\[ dòu fu\]]	tofu;bean curd
豆腐渣 豆腐渣 [01\[ dòu fu zhā\]]	soya bean dregs
豆腐渣工程 豆腐渣工程 [01\[ dòu fu zhā gōng chéng\]]	jerry-built building project;lit. built on soya bean dregs
豆花 豆花 [01\[ dòu huā\]]	douhua;type of bean curd
豆芽 豆芽 [01\[ dòu yá\]]	bean sprout
豆芽菜 豆芽菜 [01\[ dòu yá cài\]]	bean sprouts
豆苗 豆苗 [01\[ dòu miáo\]]	pea shoots;bean seedling
豆蔻 豆蔻 [01\[ dòu kòu\]]	cardamom (elettaria cardamomum);fig. a girl's teenage years;maidenhood;a budding beauty
豆蔻年华 豆蔻年华 [01\[ dòu kòu nián huá\]]	a girl's teenage years;maidenhood;a budding beauty
豆薯 豆薯 [01\[ dòu shǔ\]]	yam bean (pachyrhizus erosus)
豆薯属 豆薯属 [01\[ dòu shǔ shǔ\]]	yam bean;pachyrhizus genus
豆豉 豆豉 [01\[ dòu chǐ\]]	black bean;black bean sauce
豆豉醬 豆豉酱 [01\[ dòu chǐ jiàng\]]	black bean sauce
豆類 豆类 [01\[ dòu lèi\]]	bean
豇 豇 [01\[ jiāng\]]	cowpeas;black-eyed beans
豇荳 豇豆 [01\[ jiāng dòu\]]	cowpea;black-eyed bean
豈 岂 [01\[ qǐ\]]	how can it be that?;(rhetorical adverb)
豈不 岂不 [01\[ qǐ bù\]]	won't it mean that...?
豈有此理 岂有此理 [01\[ qǐ yǒu cǐ lǐ\]]	(saying) outrageous; ridiculous; absurd
豉 豉 [01\[ chǐ\]]	salted fermented beans
豊 豊 [01\[ fēng\]]	japanese variant of 豐|丰
豋 豋 [01\[ dēng\]]	ceremonial vessel
豌 豌 [01\[ wān\]]	peas
豌豆 豌豆 [01\[ wān dòu\]]	pea (pisum sativum)
豌豆粥 豌豆粥 [01\[ wān dòu zhōu\]]	pea gruel
豌豆趙 豌豆赵 [01\[ wān dòu zhào\]]	pea zhao (person nickname
豎 竖 [01\[ shù\]]	(straight down character stroke);to erect;vertical
豎式 竖式 [01\[ shù shì\]]	standing;vertical
豎折 竖折 [01\[ shù zhé\]]	(downwards-starting right angle character stroke)
豎琴 竖琴 [01\[ shù qín\]]	harp
豎起 竖起 [01\[ shù qi\]]	hold up (high);raise up
豎起耳朵 竖起耳朵 [01\[ shù qǐ ěr duo\]]	(set phrase) to prick up one's ears
豎鉤 竖钩 [01\[ shù gōu\]]	(straight down hooked character stroke)
豏 豏 [01\[ xiàn\]]	half-grown beans;variant of 豏|馅
豐 丰 [01\[ fēng\]]	surname feng;abundant;plentiful;great
豐功 丰功 [01\[ fēng gōng\]]	brilliant (exploit);great (achievement);esp. 豐功偉績|丰功伟绩
豐功偉績 丰功伟绩 [01\[ fēng gōng wěi jì\]]	glorious achievement (成语 saw)
豐南 丰南 [01\[ fēng nán\]]	(n) fengnan (city in hebei)
豐厚 丰厚 [01\[ fēng hòu\]]	generous;ample
豐原 丰原 [01\[ fēng yuán\]]	(n) fengyuan (city in taiwan)
豐台區 丰台区 [01\[ fēng tái qū\]]	fengtai district in south beijing
豐城 丰城 [01\[ fēng chéng\]]	fengcheng county level city in yichun 宜春
豐城市 丰城市 [01\[ fēng chéng shì\]]	fengcheng county level city in yichun 宜春
豐姿 丰姿 [01\[ fēng zī\]]	charm
豐富 丰富 [01\[ fēng fù\]]	rich;plentiful
豐富多彩 丰富多彩 [01\[ fēng fù duō cǎi\]]	richly colorful
豐寧 丰宁 [01\[ fēng níng\]]	fengning manzu autonomous county in hebei
豐寧滿族自治縣 丰宁满族自治县 [01\[ fēng níng mǎn zú zì zhì xiàn\]]	fengning manchurian autonomous county in hebei
豐寧縣 丰宁县 [01\[ fēng níng xiàn\]]	fengning manchurian autonomous county in hebei
豐年 丰年 [01\[ fēng nián\]]	prosperous year;year with bumper harvest
豐採 豐採 [01\[ fēng cǎi\]]	variant of 豐采|丰采 or 風采|风采
豐收 丰收 [01\[ fēng shōu\]]	bumper harvest
豐水 丰水 [01\[ fēng shuǐ\]]	abundant water;high water level
豐滿 丰满 [01\[ fēng mǎn\]]	ample;well developed;fully rounded
豐滿 丰满 [01\[ fēng mǎn\]]	fengman district of jilin city 吉林市
豐滿區 丰满区 [01\[ fēng mǎn qū\]]	fengman district of jilin city 吉林市
豐潤 丰润 [01\[ fēng rùn\]]	(n) fengrun (place in hebei)
豐濱鄉 丰滨乡 [01\[ fēng bīn xiāng\]]	(n) fengpin (village in taiwan)
豐產 丰产 [01\[ fēng chǎn\]]	high yield;bumper crop
豐田 丰田 [01\[ fēng tián\]]	toyota (car company)
豐登 丰登 [01\[ fēng dēng\]]	plentiful harvest;bumper crop
豐盈 丰盈 [01\[ fēng yíng\]]	well-rounded;plump
豐盛 丰盛 [01\[ fēng shèng\]]	rich;sumptuous
豐碑 丰碑 [01\[ fēng bēi\]]	large inscribed stele;fig. great achievement;imperishable masterpiece
豐縣 丰县 [01\[ fēng xiàn\]]	feng county in jiangsu
豐美 丰美 [01\[ fēng měi\]]	abundant and prosperous
豐腴 丰腴 [01\[ fēng yú\]]	full-bodied;well-rounded;fig. fertile land
豐衣足食 丰衣足食 [01\[ fēng yī zú shí\]]	having ample food and clothing (成语 saw); well fed and clothed
豐裕 丰裕 [01\[ fēng yù\]]	abundance;plenty
豐足 丰足 [01\[ fēng zú\]]	abundant;plenty
豐都 丰都 [01\[ fēng dū\]]	(n) fengdu (place in sichuan)
豐采 丰采 [01\[ fēng cǎi\]]	same as 風采|风采
豐鎮 丰镇 [01\[ fēng zhèn\]]	(n) fengzhen (city in inner mongolia)
豐韻 丰韵 [01\[ fēng yùn\]]	charm;fine-looking (woman)
豐順 丰顺 [01\[ fēng shùn\]]	fengshun county in meizhou 梅州
豐順縣 丰顺县 [01\[ fēng shùn xiàn\]]	fengshun county in meizhou 梅州
豐饒 丰饶 [01\[ fēng ráo\]]	rich and fertile
豔 豔 [01\[ yàn\]]	glamorous
豔遇 艳遇 [01\[ yàn yù\]]	favorable opportunity for an encounter with a beautiful woman
豕 豕 [01\[ shǐ\]]	hog;swine
豖 豖 [01\[ chù\]]	a shackled pig
豗 豗 [01\[ huī\]]	clash;grunting of pigs
豚 豚 [01\[ tún\]]	suckling pig
豚鼠 豚鼠 [01\[ tún shǔ\]]	guinea pig
豜 豜 [01\[ jiān\]]	fully grown pig;3-year old pig
豝 豝 [01\[ bā\]]	corned beef;female pig
象 象 [01\[ xiàng\]]	elephant;shape;form;appearance;of that shape;comparable to;such as...;image under a map (math.)
象山 象山 [01\[ xiàng shān\]]	(n) xiangshan (place in zhejiang)
象州 象州 [01\[ xiàng zhōu\]]	(n) xiangzhou (place in guangxi)
象形 象形 [01\[ xiàng xíng\]]	pictogram;one of the six methods 六書|六书 of forming chinese characters;chinese character derived from a picture;sometimes called hieroglyph
象形字 象形字 [01\[ xiàng xíng zì\]]	pictogram (one of the six methods 六書|六书 of forming chinese characters);chinese character derived from a picture;sometimes called hieroglyph
象形文字 象形文字 [01\[ xiàng xíng wén zì\]]	pictogram
象徵 象征 [01\[ xiàng zhēng\]]	emblem;symbol;token;badge;to symbolize;to signify;to stand for
象徵主義 象征主义 [01\[ xiàng zhēng zhǔ yì\]]	symbolism
象徵性 象征性 [01\[ xiàng zhēng xìng\]]	symbolic;emblem;token
象棋 象棋 [01\[ xiàng qí\]]	chinese chess
象棋賽 象棋赛 [01\[ xiàng qí sài\]]	chinese chess tournament
象海豹 象海豹 [01\[ xiàng hǎi bào\]]	elephant seal
象牙 象牙 [01\[ xiàng yá\]]	ivory
象牙塔 象牙塔 [01\[ xiàng yá tǎ\]]	ivory tower
象牙海岸 象牙海岸 [01\[ xiàng yá hǎi àn\]]	ivory coast
象聲詞 象声词 [01\[ xiàng shēng cí\]]	onomatopoeia
象鼻山 象鼻山 [01\[ xiàng bí shān\]]	elephant trunk hill in guilin
豢 豢 [01\[ huàn\]]	feed pigs and dogs;to rear
豣 豣 [01\[ jiān\]]	variant of 豜
豦 豦 [01\[ qú\]]	a wild boar;to fight
豨 豨 [01\[ xī\]]	swine
豪 豪 [01\[ háo\]]	grand;heroic
豪伊杜・比豪爾 豪伊杜・比豪尔 [01\[ háo yī dù · bǐ háo ěr\]]	hajdú-bihar province of east hungary on the border with ukraine
豪俠 豪侠 [01\[ háo xiá\]]	brave and chivalrous
豪傑 豪杰 [01\[ háo jié\]]	hero;towering figure
豪放 豪放 [01\[ háo fàng\]]	bold and unconstrained;powerful and free
豪油 豪油 [01\[ háo yóu\]]	oyster sauce;correct spelling 蚝油
豪爽 豪爽 [01\[ háo shuǎng\]]	outspoken and straightforward;forthright;expansive
豪華 豪华 [01\[ háo huá\]]	luxurious
豪華型 豪华型 [01\[ háo huá xíng\]]	deluxe model
豪豬 豪猪 [01\[ háo zhū\]]	porcupine
豪邁 豪迈 [01\[ háo mài\]]	bold;open-minded;heroic
豪雨 豪雨 [01\[ háo yǔ\]]	violent rain (e.g. due to monsoon or typhoon);cloudburst
豫 豫 [01\[ yù\]]	abbr. for henan 河南 province in central china;variant of 預|预;beforehand;to prepare
豫劇 豫剧 [01\[ yù jù\]]	henan opera
豬 猪 [01\[ zhū\]]	hog;pig;swine
豬下水 猪下水 [01\[ zhū xià shuǐ\]]	pig offal
豬八戒 猪八戒 [01\[ zhū bā jiè\]]	zhu bajie
豬尾巴 猪尾巴 [01\[ zhū wěi ba\]]	pig's tail (meat)
豬年 猪年 [01\[ zhū nián\]]	year of the boar (e.g. 2007)
