资本	59-51584-S
越障	60-28132-S
越障 越障	60-28132-B
越飛 越飞	60-28224-B
越飞	60-28224-S
趋	60-30765-S
趋之若鹜	60-30855-S
趋于	60-31555-S
趋冷	60-31027-S
趋冷气候	60-31100-S
趋势	60-31175-S
趋化作用	60-31222-S
趋吉避凶	60-31337-S
趋向	60-31436-S
趋奉	60-31497-S
趋时	60-31602-S
趋炎附势	60-31652-S
趋近	60-31779-S
趋附	60-31892-S
趑	60-28293-S
趑 趑	60-28293-B
趑趄	60-28339-S
趑趄 趑趄	60-28339-B
趑趄嗫嚅	60-28420-S
趑趄囁嚅 趑趄嗫嚅	60-28420-B
趒	60-28488-S
趒 趒	60-28488-B
趔	60-28519-S
趔 趔	60-28519-B
趕 赶	60-28549-B
趕上 赶上	60-28626-B
趕不上 赶不上	60-28706-B
趕來 赶来	60-28806-B
趕出 赶出	60-28852-B
趕忙 赶忙	60-28899-B
趕快 赶快	60-28957-B
趕緊 赶紧	60-29011-B
趕腳 赶脚	60-29054-B
趕超 赶超	60-29167-B
趕集 赶集	60-29213-B
趙 赵	60-29277-B
趙元任 赵元任	60-29402-B
趙匡胤 赵匡胤	60-29461-B
趙國 赵国	60-29522-B
趙宋 赵宋	60-29569-B
趙忠堯 赵忠尧	60-29707-B
趙括 赵括	60-29780-B
趙曄 赵晔	60-29833-B
趙樹理 赵树理	60-29874-B
趙爾巽 赵尔巽	60-29941-B
趙紫陽 赵紫阳	60-30009-B
趙縣 赵县	60-30078-B
趙翼 赵翼	60-30134-B
趙薇 赵薇	60-30187-B
趙軍 赵军	60-30252-B
趙雲 赵云	60-30339-B
趟	60-30389-S
趟 趟	60-30389-B
趡	60-30433-S
趡 趡	60-30433-B
趣	60-30466-S
趣 趣	60-30466-B
趣剧	60-30511-S
趣劇 趣剧	60-30511-B
趣味	60-30548-S
趣味 趣味	60-30548-B
趣聞 趣闻	60-30592-B
趣闻	60-30592-S
趦	60-30661-S
趦 趦	60-30661-B
趦趄嗫嚅	60-30697-S
趦趄囁嚅 趦趄嗫嚅	60-30697-B
趨 趋	60-30765-B
趨之若鹜 趋之若鹜	60-30855-B
趨冷 趋冷	60-31027-B
趨冷氣候 趋冷气候	60-31100-B
趨勢 趋势	60-31175-B
趨化作用 趋化作用	60-31222-B
趨吉避凶 趋吉避凶	60-31337-B
趨向 趋向	60-31436-B
趨奉 趋奉	60-31497-B
趨於 趋于	60-31555-B
趨時 趋时	60-31602-B
趨炎附勢 趋炎附势	60-31652-B
趨近 趋近	60-31779-B
趨附 趋附	60-31892-B
趫	60-31945-S
趫 趫	60-31945-B
趮	60-31990-S
趮 趮	60-31990-B
趯	60-32028-S,60-32086-S
趯 趯	60-32028-B,60-32086-B
趱	60-32116-S
趲 趱	60-32116-B
足	60-32150-S
足 足	60-32150-B
足以	60-32193-S
足以 足以	60-32193-B
足利义稙	60-32265-S
足利義稙 足利义稙	60-32265-B
足协	60-32348-S
足協 足协	60-32348-B
足坛	60-32428-S
足壇 足坛	60-32428-B
足够	60-32488-S
足夠 足够	60-32488-B
足智多謀 足智多谋	60-32538-B
足智多谋	60-32538-S
足球	60-32623-S
足球 足球	60-32623-B
足球协会	60-32671-S
足球協會 足球协会	60-32671-B
足球场	60-32739-S
足球場 足球场	60-32739-B
足球賽 足球赛	60-32812-B
足球赛	60-32812-S
足球迷	60-32887-S
足球迷 足球迷	60-32887-B
足球队	60-32942-S
足球隊 足球队	60-32942-B
足跡 足迹	60-32997-B
足迹	60-32997-S
趴	60-33050-S
趴 趴	60-33050-B
趴伏	60-33095-S
趴伏 趴伏	60-33095-B
趵	60-33149-S
趵 趵	60-33149-B
趷	60-33181-S
趷 趷	60-33181-B
趸	60-52795-S
趸卖	60-52978-S
趸售	60-52827-S
趸批	60-52879-S
趸船	60-52921-S
趹	60-33210-S
趹 趹	60-33210-B
趺	60-33242-S
趺 趺	60-33242-B
趼	60-33277-S
趼 趼	60-33277-B
趼子	60-33352-S
趼子 趼子	60-33352-B
趼足	60-33436-S
趼足 趼足	60-33436-B
趾	60-33515-S
趾 趾	60-33515-B
趾尖	60-33541-S
趾尖 趾尖	60-33541-B
趾高气扬	60-33582-S
趾高氣揚 趾高气扬	60-33582-B
跁	60-33646-S
跁 跁	60-33646-B
跂	60-33683-S
跂 跂	60-33683-B
跃	60-53280-S
跃居	60-53318-S
跃然	60-53359-S
跃然纸上	60-53455-S
跃跃欲试	60-53587-S
跃迁	60-53749-S
跃进	60-53691-S
跃马	60-53835-S
跄	60-49882-S,60-49919-S
跅	60-33723-S
跅 跅	60-33723-B
跆拳道	60-33754-S
跆拳道 跆拳道	60-33754-B
跋	60-33842-S
跋 跋	60-33842-B
跋扈	60-33875-S
跋扈 跋扈	60-33875-B
跋涉	60-33924-S
跋涉 跋涉	60-33924-B
跌	60-33968-S
跌 跌	60-33968-B
跌交	60-34032-S
跌交 跌交	60-34032-B
跌价	60-34201-S
跌倒	60-34099-S
跌倒 跌倒	60-34099-B
跌價 跌价	60-34201-B
跌到	60-34251-S
跌到 跌到	60-34251-B
跌宕	60-34302-S
跌宕 跌宕	60-34302-B
跌宕昭彰	60-34381-S
跌宕昭彰 跌宕昭彰	60-34381-B
跌幅	60-34464-S
跌幅 跌幅	60-34464-B
跌打损伤	60-34532-S
跌打損傷 跌打损伤	60-34532-B
跌打药	60-34613-S
跌打藥 跌打药	60-34613-B
跌水	60-34665-S
跌水 跌水	60-34665-B
跌盪 跌荡	60-34750-B
跌脚捶胸	60-34829-S
跌腳捶胸 跌脚捶胸	60-34829-B
跌荡	60-34750-S,60-35009-S
跌落	60-34971-S
跌落 跌落	60-34971-B
跌蕩 跌荡	60-35009-B
跌足	60-35088-S
跌足 跌足	60-35088-B
跌跌撞撞	60-35151-S
跌跌撞撞 跌跌撞撞	60-35151-B
跌跌跄跄	60-35229-S
跌跌蹌蹌 跌跌跄跄	60-35229-B
跌風 跌风	60-35304-B
跌风	60-35304-S
跎	60-35365-S
跎 跎	60-35365-B
跏	60-35395-S
跏 跏	60-35395-B
跐	60-35434-S
跐 跐	60-35434-B
跑	60-35466-S
跑 跑	60-35466-B
跑味	60-35510-S
跑味 跑味	60-35510-B
跑味儿	60-35558-S
跑味兒 跑味儿	60-35558-B
跑垒	60-35674-S
跑垒员	60-35743-S
跑堂儿的	60-35615-S
跑堂兒的 跑堂儿的	60-35615-B
跑壘 跑垒	60-35674-B
跑壘員 跑垒员	60-35743-B
跑步	60-35809-S
跑步 跑步	60-35809-B
跑步者	60-35873-S
跑步者 跑步者	60-35873-B
跑江湖	60-35923-S
跑江湖 跑江湖	60-35923-B
跑电	60-36565-S
跑神儿	60-36014-S
跑神兒 跑神儿	60-36014-B
跑腿儿	60-36095-S
跑腿兒 跑腿儿	60-36095-B
跑警報 跑警报	60-36152-B
跑警报	60-36152-S
跑車 跑车	60-36216-B
跑车	60-36216-S
跑遍	60-36340-S
跑遍 跑遍	60-36340-B
跑道	60-36417-S
跑道 跑道	60-36417-B
跑酷	60-36478-S
跑酷 跑酷	60-36478-B
跑錶	60-36521-S
