美觀 美观	51-8990-B
羭	51-14560-S
羭 羭	51-14560-B
羯	51-14591-S
羯 羯	51-14591-B
羯族	51-14619-S
羯族 羯族	51-14619-B
羯胡	51-14662-S
羯胡 羯胡	51-14662-B
羯鼓	51-14705-S
羯鼓 羯鼓	51-14705-B
羯鼓催花	51-14780-S
羯鼓催花 羯鼓催花	51-14780-B
羰	51-14867-S
羰 羰	51-14867-B
羱	51-14909-S
羱 羱	51-14909-B
羲	51-14943-S
羲 羲	51-14943-B
羲皇上人	51-14984-S
羲皇上人 羲皇上人	51-14984-B
羵	51-15148-S
羵 羵	51-15148-B
羶	51-15177-S
羶 羶	51-15177-B
羸	51-15230-S
羸 羸	51-15230-B
羹	51-15267-S
羹 羹	51-15267-B
羹汤	51-15295-S
羹湯 羹汤	51-15295-B
羼	51-15336-S
羼 羼	51-15336-B
羼水	51-15384-S
羼水 羼水	51-15384-B
羽	51-15458-S
羽 羽	51-15458-B
羽冠	51-15487-S
羽冠 羽冠	51-15487-B
羽化	51-15546-S
羽化 羽化	51-15546-B
羽客	51-15663-S
羽客 羽客	51-15663-B
羽林	51-15708-S
羽林 羽林	51-15708-B
羽毛	51-15753-S
羽毛 羽毛	51-15753-B
羽毛球	51-15807-S
羽毛球 羽毛球	51-15807-B
羽毛笔	51-15872-S
羽毛筆 羽毛笔	51-15872-B
羽毛緞 羽毛缎	51-15926-B
羽毛缎	51-15926-S
羽流	51-15991-S
羽流 羽流	51-15991-B
羽状复叶	51-16029-S
羽狀複葉 羽状复叶	51-16029-B
羽田	51-16115-S
羽田 羽田	51-16115-B
羽絨 羽绒	51-16163-B
羽緞 羽缎	51-16217-B
羽绒	51-16163-S
羽缎	51-16217-S
羽翼丰满	51-16271-S
羽翼豐滿 羽翼丰满	51-16271-B
羽茎	51-16339-S
羽莖 羽茎	51-16339-B
羽裂	51-16378-S
羽裂 羽裂	51-16378-B
羿	51-16453-S
羿 羿	51-16453-B
翀	51-16509-S
翀 翀	51-16509-B
翁	51-16538-S
翁 翁	51-16538-B
翁安县	51-16589-S
翁安縣 翁安县	51-16589-B
翁山	51-16728-S
翁山 翁山	51-16728-B
翁山苏姬	51-16784-S
翁山蘇姬 翁山苏姬	51-16784-B
翁源	51-16864-S
翁源 翁源	51-16864-B
翁源县	51-16945-S
翁源縣 翁源县	51-16945-B
翁牛特	51-17038-S
翁牛特 翁牛特	51-17038-B
翁牛特旗	51-17116-S
翁牛特旗 翁牛特旗	51-17116-B
翃	51-17204-S
翃 翃	51-17204-B
翅	51-17249-S
翅 翅	51-17249-B
翅展	51-17276-S
翅展 翅展	51-17276-B
翅膀	51-17319-S
翅膀 翅膀	51-17319-B
翊	51-17358-S
翊 翊	51-17358-B
翌	51-17407-S
翌 翌	51-17407-B
翌年	51-17444-S
翌年 翌年	51-17444-B
翌日	51-17510-S
翌日 翌日	51-17510-B
翎	51-17550-S
翎 翎	51-17550-B
翏	51-17587-S
翏 翏	51-17587-B
習 习	51-17639-B
習以成俗 习以成俗	51-17687-B
習以成性 习以成性	51-17791-B
習以為常 习以为常	51-17875-B
習俗 习俗	51-17955-B
習俗移性 习俗移性	51-18030-B
習得性 习得性	51-18120-B
習得性無助感 习得性无助感	51-18180-B
習性 习性	51-18289-B
習慣 习惯	51-18382-B
習慣性 习惯性	51-18457-B
習慣成自然 习惯成自然	51-18512-B
習氣 习气	51-18674-B
習水 习水	51-18739-B
習題 习题	51-18802-B
翔	51-18855-S
翔 翔	51-18855-B
翔凤	51-18941-S
翔实	51-18884-S
翔實 翔实	51-18884-B
翔鳳 翔凤	51-18941-B
翕	51-19046-S
翕 翕	51-19046-B
翘	51-20393-S,51-20437-S
翘尾巴	51-20499-S
翘舌音	51-20554-S
翘辫子	51-20623-S
翚	51-19772-S
翛	51-19073-S
翛 翛	51-19073-B
翟	51-19105-S,51-19145-S
翟 翟	51-19105-B,51-19145-B
翠	51-19181-S
翠 翠	51-19181-B
翠綠 翠绿	51-19227-B
翠绿	51-19227-S
翠青蛇	51-19287-S
翠青蛇 翠青蛇	51-19287-B
翡	51-19365-S
翡 翡	51-19365-B
翡翠	51-19409-S
翡翠 翡翠	51-19409-B
翣	51-19458-S
翣 翣	51-19458-B
翥	51-19513-S
翥 翥	51-19513-B
翦	51-19540-S
翦 翦	51-19540-B
翩	51-19590-S
翩 翩	51-19590-B
翩然而至	51-19622-S
翩然而至 翩然而至	51-19622-B
翪	51-19693-S
翪 翪	51-19693-B
翫	51-19740-S
翫 翫	51-19740-B
翬 翚	51-19772-B
翮	51-19837-S
翮 翮	51-19837-B
翯	51-19864-S
翯 翯	51-19864-B
翰	51-19913-S
翰 翰	51-19913-B
翰林	51-19939-S
翰林 翰林	51-19939-B
翰林学士	51-20047-S
翰林學士 翰林学士	51-20047-B
翰林院	51-20151-S
翰林院 翰林院	51-20151-B
翱	51-20220-S
翱 翱	51-20220-B
翱翔	51-20252-S
翱翔 翱翔	51-20252-B
翳	51-20297-S
翳 翳	51-20297-B
翳眼	51-20352-S
翳眼 翳眼	51-20352-B
翹 翘	51-20393-B,51-20437-B
翹尾巴 翘尾巴	51-20499-B
翹舌音 翘舌音	51-20554-B
翹辮子 翘辫子	51-20623-B
翻	51-20733-S
翻 翻	51-20733-B
翻云覆雨	51-23712-S
翻作	51-20816-S
翻作 翻作	51-20816-B
翻來覆去 翻来覆去	51-20885-B
翻供	51-20985-S
翻供 翻供	51-20985-B
翻修	51-21065-S
翻修 翻修	51-21065-B
翻倒	51-21137-S
翻倒 翻倒	51-21137-B
翻动	51-21218-S
翻動 翻动	51-21218-B
翻印	51-21275-S
翻印 翻印	51-21275-B
翻嘴	51-21352-S
翻嘴 翻嘴	51-21352-B
翻天覆地	51-21417-S
翻天覆地 翻天覆地	51-21417-B
翻子拳	51-21504-S
翻子拳 翻子拳	51-21504-B
翻开	51-23600-S
翻悔	51-21590-S
翻悔 翻悔	51-21590-B
翻拣	51-21683-S
翻揀 翻拣	51-21683-B
翻新	51-21766-S
翻新 翻新	51-21766-B
翻新后	51-21883-S
翻新後 翻新后	51-21883-B
翻来覆去	51-20885-S
翻案	51-21947-S
翻案 翻案	51-21947-B
翻江倒海	51-22061-S
翻江倒海 翻江倒海	51-22061-B
翻沉	51-22167-S
翻沉 翻沉	51-22167-B
翻涌	51-22221-S
翻涌 翻涌	51-22221-B
翻滚	51-22300-S
翻滾 翻滚	51-22300-B
翻版	51-22349-S
翻版 翻版	51-22349-B
翻版碟	51-22413-S
翻版碟 翻版碟	51-22413-B
翻看	51-22480-S
翻看 翻看	51-22480-B
翻筋斗	51-22544-S
翻筋斗 翻筋斗	51-22544-B
翻耕	51-22631-S
翻耕 翻耕	51-22631-B
翻脸	51-22690-S
翻脸不认人	51-22762-S
翻腾	51-23880-S
翻臉 翻脸	51-22690-B
翻臉不認人 翻脸不认人	51-22762-B
翻船	51-22861-S
翻船 翻船	51-22861-B
翻譯 翻译	51-22918-B
翻譯家 翻译家	51-23026-B
翻譯者 翻译者	51-23094-B
翻译	51-22918-S
翻译家	51-23026-S
翻译者	51-23094-S
翻越	51-23149-S
翻越 翻越	51-23149-B
翻跟头	51-23216-S
翻跟斗	51-23302-S
翻跟頭 翻跟头	51-23216-B
翻跟鬥 翻跟斗	51-23302-B
翻身	51-23366-S
翻身 翻身	51-23366-B
翻轉 翻转	51-23432-B
翻转	51-23432-S
翻过	51-23541-S
翻造	51-23485-S
翻造 翻造	51-23485-B
翻過 翻过	51-23541-B
翻開 翻开	51-23600-B
翻閱 翻阅	51-23644-B
翻阅	51-23644-S
翻雲覆雨 翻云覆雨	51-23712-B
翻騰 翻腾	51-23880-B
翼	51-23973-S
翼 翼	51-23973-B
翼城	51-23999-S
翼城 翼城	51-23999-B
翼龍 翼龙	51-24063-B,51-24146-B
翼龙	51-24063-S,51-24146-S
翽	51-24191-S
翽 翽	51-24191-B
翾	51-24235-S
翾 翾	51-24235-B
翿	51-24283-S
翿 翿	51-24283-B
耀	51-24327-S
耀 耀	51-24327-B
耀县	51-24453-S
耀斑	51-24368-S
耀斑 耀斑	51-24368-B
耀眼	51-24413-S
耀眼 耀眼	51-24413-B
耀縣 耀县	51-24453-B
老	51-24509-S
老 老	51-24509-B
老一輩 老一辈	51-24804-B
老一辈	51-24804-S
老两口儿	51-25688-S
老乌恰	51-29016-S
老乡	51-31295-S
老了	51-24884-S
老了 老了	51-24884-B
老二	51-24927-S
老二 老二	51-24927-B
老人	51-24999-S
老人 老人	51-24999-B
老人家	51-25052-S
老人家 老人家	51-25052-B
老伯	51-25129-S
老伯 老伯	51-25129-B
老伯伯	51-25207-S
老伯伯 老伯伯	51-25207-B
老伴	51-25293-S
老伴 老伴	51-25293-B
老伴儿	51-25363-S
老伴兒 老伴儿	51-25363-B
老來俏 老来俏	51-25429-B
老來少 老来少	51-25535-B
老兄	51-25603-S
老兄 老兄	51-25603-B
老兩口兒 老两口儿	51-25688-B
老公	51-25765-S,51-25818-S
老公 老公	51-25765-B,51-25818-B
老兵	51-25893-S
老兵 老兵	51-25893-B
老化	51-25935-S
老化 老化	51-25935-B
老化酶	51-26010-S
老化酶 老化酶	51-26010-B
老叟	51-26066-S
老叟 老叟	51-26066-B
老境	51-26107-S
老境 老境	51-26107-B
老处女	51-30539-S
老外	51-26164-S
老外 老外	51-26164-B
老大哥	51-26207-S
老大哥 老大哥	51-26207-B
老大妈	51-26261-S
老大娘	51-26350-S
老大媽 老大妈	51-26261-B
老大孃 老大娘	51-26350-B
老大爷	51-26408-S
老大爺 老大爷	51-26408-B
老天	51-26464-S
老天 老天	51-26464-B
老天爷	51-26510-S
老天爺 老天爷	51-26510-B
老太公	51-26566-S
老太公 老太公	51-26566-B
老太太	51-26635-S
老太太 老太太	51-26635-B
老太婆	51-26720-S
老太婆 老太婆	51-26720-B
老太爷	51-26809-S
老太爺 老太爷	51-26809-B
老头	51-31489-S
老头儿	51-31549-S
老套	51-26899-S
老套 老套	51-26899-B
老套子	51-26965-S
老套子 老套子	51-26965-B
老奶奶	51-27030-S
老奶奶 老奶奶	51-27030-B
老妈子	51-27185-S
老婆	51-27137-S
老婆 老婆	51-27137-B
老媽子 老妈子	51-27185-B
老子	51-27252-S,51-27313-S
老子 老子	51-27252-B,51-27313-B
老实	51-27588-S
老实巴交	51-27661-S
老客	51-27382-S
老客 老客	51-27382-B
老客儿	51-27440-S
老客兒 老客儿	51-27440-B
老家	51-27505-S
老家 老家	51-27505-B
老實 老实	51-27588-B
老實巴交 老实巴交	51-27661-B
老师	51-27736-S
老師 老师	51-27736-B
老年	51-27777-S
老年 老年	51-27777-B
老年人	51-27819-S
老年人 老年人	51-27819-B
老年性痴呆症	51-27887-S
老年性痴獃症 老年性痴呆症	51-27887-B
老年痴呆	51-27984-S
老年痴呆症	51-28078-S
老年痴獃 老年痴呆	51-27984-B
老年痴獃症 老年痴呆症	51-28078-B
老庄	51-30338-S
老态	51-28185-S
老态龙钟	51-28301-S
老态龙锺	51-28226-S
老態 老态	51-28185-B
老態龍鍾 老态龙锺	51-28226-B
老態龍鐘 老态龙钟	51-28301-B
老成	51-28401-S
老成 老成	51-28401-B
老成持重	51-28466-S
老成持重 老成持重	51-28466-B
老手	51-28568-S
老手 老手	51-28568-B
老挝	51-28640-S
老撾 老挝	51-28640-B
老早	51-28677-S
老早 老早	51-28677-B
老是	51-28726-S
老是 老是	51-28726-B
老来俏	51-25429-S
老来少	51-25535-S
老板	51-31431-S
老残游记	51-28765-S
老殘遊記 老残游记	51-28765-B
老汉	51-28939-S
老河口	51-28867-S
老河口 老河口	51-28867-B
老漢 老汉	51-28939-B
老烏恰 老乌恰	51-29016-B
老烟枪	51-29111-S
老烟鬼	51-29200-S
老煙槍 老烟枪	51-29111-B
老煙鬼 老烟鬼	51-29200-B
老爷	51-29270-S
老爷岭	51-29349-S
老爷爷	51-29483-S
老爺 老爷	51-29270-B
老爺嶺 老爷岭	51-29349-B
老爺爺 老爷爷	51-29483-B
老牌	51-29588-S
老牌 老牌	51-29588-B
老百姓	51-29652-S
老百姓 老百姓	51-29652-B
老皇历	51-29738-S
老皇曆 老皇历	51-29738-B
老練 老练	51-29882-B
老繭 老茧	51-29937-B
老练	51-29882-S
老老	51-30031-S
老老 老老	51-30031-B
老脸	51-30099-S
老臉 老脸	51-30099-B
老舍	51-30217-S
老舍 老舍	51-30217-B
老花	51-30294-S
老花 老花	51-30294-B
老茧	51-29937-S
老莊 老庄	51-30338-B
老虎	51-30421-S
老虎 老虎	51-30421-B
老虎伍兹	51-30459-S
老虎伍茲 老虎伍兹	51-30459-B
老處女 老处女	51-30539-B
老調重彈 老调重弹	51-30611-B
老调重弹	51-30611-S
老資格 老资格	51-30720-B
老资格	51-30720-S
老趼	51-30769-S
老趼 老趼	51-30769-B
老路	51-30851-S
老路 老路	51-30851-B
老辣	51-30940-S
老辣 老辣	51-30940-B
老边	51-31111-S
老边区	51-31198-S
老迈	51-31066-S
老远	51-31018-S
老遠 老远	51-31018-B
老邁 老迈	51-31066-B
老邊 老边	51-31111-B
老邊區 老边区	51-31198-B
老鄉 老乡	51-31295-B
老酒	51-31393-S
老酒 老酒	51-31393-B
老闆 老板	51-31431-B
老雕	51-31856-S
老頭 老头	51-31489-B
老頭兒 老头儿	51-31549-B
老饕	51-31616-S
老饕 老饕	51-31616-B
老馬識途 老马识途	51-31657-B
老马识途	51-31657-S
老鴰 老鸹	51-31816-B
老鵰 老雕	51-31856-B
老鸹	51-31816-S
老鼠	51-31898-S
老鼠 老鼠	51-31898-B
老鼠尾巴	51-31941-S
老鼠尾巴 老鼠尾巴	51-31941-B
老齡 老龄	51-32047-B
老齡化 老龄化	51-32096-B
老龄	51-32047-S
老龄化	51-32096-S
考	51-32161-S
考 考	51-32161-B
考上	51-32237-S
考上 考上	51-32237-B
考中	51-32307-S
考中 考中	51-32307-B
考入	51-32358-S
考入 考入	51-32358-B
考分	51-32454-S
考分 考分	51-32454-B
考勤	51-32503-S
考勤 考勤	51-32503-B
考勤簿	51-32565-S
考勤簿 考勤簿	51-32565-B
考区	51-32633-S
考區 考区	51-32633-B
考卷	51-32718-S
考卷 考卷	51-32718-B
考取	51-32766-S
考取 考取	51-32766-B
考古	51-32823-S
考古 考古	51-32823-B
考古学	51-32866-S
考古学家	51-32920-S
考古學 考古学	51-32866-B
考古學家 考古学家	51-32920-B
考古家	51-32988-S
考古家 考古家	51-32988-B
考场	51-33047-S
考場 考场	51-33047-B
考完	51-33092-S
考完 考完	51-33092-B
考官	51-33143-S
考官 考官	51-33143-B
考察	51-33220-S
考察 考察	51-33220-B
考慮 考虑	51-33290-B
考拉熊	51-33362-S
考拉熊 考拉熊	51-33362-B
考据	51-33413-S
考據 考据	51-33413-B
考文垂	51-33463-S
考文垂 考文垂	51-33463-B
考文垂市	51-33522-S
考文垂市 考文垂市	51-33522-B
考期	51-33592-S
考期 考期	51-33592-B
考查	51-33654-S
考查 考查	51-33654-B
考核	51-34039-S
考生	51-33705-S
考生 考生	51-33705-B
考研	51-33807-S
考研 考研	51-33807-B
考究	51-33894-S
考究 考究	51-33894-B
考績 考绩	51-33974-B
考绩	51-33974-S
考虑	51-33290-S
考覈 考核	51-34039-B
考訂 考订	51-34145-B
考評 考评	51-34200-B
考試 考试	51-34273-B
考試院 考试院	51-34311-B
考證 考证	51-34439-B
考订	51-34145-S
考证	51-34439-S
考评	51-34200-S
考试	51-34273-S
考试院	51-34311-S
考量	51-34512-S
考量 考量	51-34512-B
考驗 考验	51-34596-B
考验	51-34596-S
耄	51-34647-S
耄 耄	51-34647-B
者	51-34674-S
者 者	51-34674-B
耆	51-34701-S
耆 耆	51-34701-B
耇	51-34746-S
耇 耇	51-34746-B
耋	51-34797-S
耋 耋	51-34797-B
而	51-34842-S
而 而	51-34842-B
而不需	51-34982-S
而不需 而不需	51-34982-B
而且	51-35051-S
而且 而且	51-35051-B
而今	51-35149-S
而今 而今	51-35149-B
而后	51-35262-S
而已	51-35207-S
而已 而已	51-35207-B
而後 而后	51-35262-B
而是	51-35310-S
而是 而是	51-35310-B
耍	51-35349-S
耍 耍	51-35349-B
耍嘴皮	51-35395-S
耍嘴皮 耍嘴皮	51-35395-B
耍狮子	51-35491-S
耍獅子 耍狮子	51-35491-B
耍私情	51-35558-S
耍私情 耍私情	51-35558-B
耎	51-35673-S
耎 耎	51-35673-B
耏	51-35704-S
耏 耏	51-35704-B
耐	51-35742-S
耐 耐	51-35742-B
耐久	51-35833-S
耐久 耐久	51-35833-B
耐克	51-35887-S
耐克 耐克	51-35887-B
耐力	51-35924-S
耐力 耐力	51-35924-B
耐劳	51-35966-S
耐勞 耐劳	51-35966-B
耐受	51-36029-S
耐受 耐受	51-36029-B
耐受力	51-36085-S
耐受力 耐受力	51-36085-B
耐受性	51-36168-S
耐受性 耐受性	51-36168-B
耐寒	51-36233-S
耐寒 耐寒	51-36233-B
耐心	51-36295-S
耐心 耐心	51-36295-B
耐心帮助	51-36348-S
耐心幫助 耐心帮助	51-36348-B
耐性	51-36439-S
耐性 耐性	51-36439-B
耐水	51-36492-S
耐水 耐水	51-36492-B
耐水性	51-36537-S
耐水性 耐水性	51-36537-B
耐洗	51-36594-S
耐洗 耐洗	51-36594-B
耐火	51-36641-S
耐火 耐火	51-36641-B
耐火土	51-36711-S
耐火土 耐火土	51-36711-B
耐火砖	51-36796-S
耐火磚 耐火砖	51-36796-B
耐烦	51-36869-S
耐热	51-36926-S
耐煩 耐烦	51-36869-B
耐熱 耐热	51-36926-B
耐用	51-36984-S
耐用 耐用	51-36984-B
耐用品	51-37026-S
耐用品 耐用品	51-37026-B
耐看	51-37085-S
耐看 耐看	51-37085-B
耐碱	51-37483-S
耐穿	51-37182-S
耐穿 耐穿	51-37182-B
耐腐蚀	51-37253-S
耐腐蝕 耐腐蚀	51-37253-B
耐药性	51-37320-S
耐藥性 耐药性	51-37320-B
耐酸	51-37375-S
耐酸 耐酸	51-37375-B
耐高温	51-37424-S
耐高溫 耐高温	51-37424-B
耐鹼 耐碱	51-37483-B
耑 专	51-37534-B
耒	51-37583-S
耒 耒	51-37583-B
耒阳	51-37610-S
耒陽 耒阳	51-37610-B
耔	51-37672-S
耔 耔	51-37672-B
耕	51-37719-S
耕 耕	51-37719-B
耕作	51-37758-S
耕作 耕作	51-37758-B
耕地	51-37800-S
耕地 耕地	51-37800-B
耕奴	51-37858-S
耕奴 耕奴	51-37858-B
耕畜	51-37915-S
耕畜 耕畜	51-37915-B
耕种	51-37961-S
耕種 耕种	51-37961-B
耕耘	51-38018-S
耕耘 耕耘	51-38018-B
耗	51-38115-S
耗 耗	51-38115-B
耗子	51-38188-S
耗子 耗子	51-38188-B
耗损	51-38227-S
耗損 耗损	51-38227-B
耗散	51-38269-S
耗散 耗散	51-38269-B
耗油量	51-38327-S
耗油量 耗油量	51-38327-B
耗費 耗费	51-38390-B
耗資 耗资	51-38464-B
耗费	51-38390-S
耗资	51-38464-S
耘	51-38525-S
耘 耘	51-38525-B
耙	51-38555-S,51-38590-S
耙 耙	51-38555-B,51-38590-B
耜	51-38618-S
耜 耜	51-38618-B
耞	51-38654-S
耞 耞	51-38654-B
耡	51-38724-S
耡 耡	51-38724-B
耤	51-38750-S
耤 耤	51-38750-B
耦	51-38776-S
耦 耦	51-38776-B
耦合	51-38817-S
耦合 耦合	51-38817-B
耧	51-38981-S
耨	51-38885-S
耨 耨	51-38885-B
耩	51-38911-S
耩 耩	51-38911-B
耪	51-38950-S
耪 耪	51-38950-B
耬 耧	51-38981-B
耰	51-39026-S
耰 耰	51-39026-B
耳	51-39055-S
耳 耳	51-39055-B
耳光	51-39098-S
耳光 耳光	51-39098-B
耳坠子	51-39267-S
耳垢	51-39149-S
耳垢 耳垢	51-39149-B
耳塞	51-39227-S
耳塞 耳塞	51-39227-B
耳墜子 耳坠子	51-39267-B
耳子	51-39345-S
耳子 耳子	51-39345-B
耳屎	51-39393-S
耳屎 耳屎	51-39393-B
耳朵	51-39440-S
耳朵 耳朵	51-39440-B
耳机	51-39475-S
耳機 耳机	51-39475-B
耳源性	51-39546-S
耳源性 耳源性	51-39546-B
耳片	51-39605-S
耳片 耳片	51-39605-B
耳环	51-39661-S
耳環 耳环	51-39661-B
耳痛	51-39703-S
耳痛 耳痛	51-39703-B
耳膜	51-39745-S
耳膜 耳膜	51-39745-B
耳蜗	51-39847-S
耳蜡	51-39886-S
耳蝸 耳蜗	51-39847-B
耳蠟 耳蜡	51-39886-B
耳語 耳语	51-39932-B
耳语	51-39932-S
耳鳴 耳鸣	51-39971-B
耳鸣	51-39971-S
耳鼻咽喉	51-40013-S
耳鼻咽喉 耳鼻咽喉	51-40013-B
耵	51-40101-S
耵 耵	51-40101-B
耵聍	51-40142-S
耵聹 耵聍	51-40142-B
耶	51-40192-S
耶 耶	51-40192-B
耶利米	51-40227-S
耶利米 耶利米	51-40227-B
耶利米书	51-40384-S
耶利米哀歌	51-40294-S
耶利米哀歌 耶利米哀歌	51-40294-B
耶利米書 耶利米书	51-40384-B
耶和华	51-40453-S
耶和华见证人	51-40526-S
耶和華 耶和华	51-40453-B
耶和華見證人 耶和华见证人	51-40526-B
耶哥尼雅	51-40624-S
耶哥尼雅 耶哥尼雅	51-40624-B
耶律大石	51-40713-S
耶律大石 耶律大石	51-40713-B
耶稣	51-40805-S
耶稣会	51-41595-S
耶稣会士	51-41668-S
耶稣升天节	51-40842-S
耶稣受难节	51-40968-S
耶稣基督	51-41045-S
耶稣基督后期圣徒教会	51-41109-S
耶稣基督末世圣徒教会	51-41275-S
耶稣教	51-41441-S
耶稣降临节	51-41757-S
耶穌 耶稣	51-40805-B
耶穌升天節 耶稣升天节	51-40842-B
耶穌受難節 耶稣受难节	51-40968-B
耶穌基督 耶稣基督	51-41045-B
耶穌基督後期聖徒教會 耶稣基督后期圣徒教会	51-41109-B
耶穌基督末世聖徒教會 耶稣基督末世圣徒教会	51-41275-B
耶穌教	51-41520-S
耶穌教 耶稣教	51-41441-B
耶穌教 耶穌教	51-41520-B
耶穌會 耶稣会	51-41595-B
耶穌會士 耶稣会士	51-41668-B
耶穌降臨節 耶稣降临节	51-41757-B
耶西	51-41877-S
耶西 耶西	51-41877-B
耶誕節 耶诞节	51-41928-B
耶诞节	51-41928-S
耶路撒冷	51-42009-S
耶路撒冷 耶路撒冷	51-42009-B
耶酥	51-42092-S
耶酥 耶酥	51-42092-B
耶酥会	51-42152-S
耶酥会士	51-42227-S
耶酥會 耶酥会	51-42152-B
耶酥會士 耶酥会士	51-42227-B
耶魯 耶鲁	51-42289-B
耶魯大學 耶鲁大学	51-42325-B
耶鲁	51-42289-S
耶鲁大学	51-42325-S
耷	51-42393-S
耷 耷	51-42393-B
耸	51-67244-S
耸人听闻	51-67318-S
耸动	51-67447-S
耸立	51-67504-S
耸肩	51-67579-S
耻	25-728-S
耻笑	25-765-S
耻辱	25-875-S
耻骂	25-826-S
耻骨	25-934-S
耽	51-42432-S
耽 耽	51-42432-B
耽搁	51-42477-S
耽擱 耽搁	51-42477-B
耽溺	51-42529-S
耽溺 耽溺	51-42529-B
耽誤 耽误	51-42569-B
耽误	51-42569-S
耿	51-42646-S
耿 耿	51-42646-B
耿耿	51-42704-S
耿耿 耿耿	51-42704-B
耿耿于怀	51-42788-S
耿耿於懷 耿耿于怀	51-42788-B
耿餅 耿饼	51-42894-B
耿饼	51-42894-S
聂	51-67727-S
聂卫平	51-67974-S
聂拉木	51-67769-S
聂耳	51-67923-S
聂荣	51-67860-S
聃	51-42964-S
聃 聃	51-42964-B
聆	51-43003-S
聆 聆	51-43003-B
聆听	51-43048-S
聆聽 聆听	51-43048-B
聆訊 聆讯	51-43105-B
聆讯	51-43105-S
聊	51-43155-S
聊 聊	51-43155-B
聊以解悶 聊以解闷	51-43214-B
聊以解闷	51-43214-S
聊城	51-43280-S
聊城 聊城	51-43280-B
