况且	37-28007-S
凝集的	8-28737-S
凝集的 凝集的	8-28737-B
凝集素	8-28793-S
凝集素 凝集素	8-28793-B
凞	8-28847-S
凞 凞	8-28847-B
几	8-28875-S,8-28908-S,22-55814-S,22-55842-S
几 几	8-28875-B,8-28908-B
几丁	22-55895-S
几丁质	22-55935-S
几个	22-56877-S
几个小时	22-56930-S
几个月	22-56997-S
几乎	22-55986-S
几乎不	22-56043-S
几乎不可能	22-56101-S
几乎完全	22-56182-S
几乎没有	22-56270-S
几何	22-56343-S
几何光学	22-56383-S
几何原本	22-56455-S
几何学	22-56527-S
几何拓扑	22-56578-S
几何拓扑学	22-56657-S
几何线	22-56747-S
几何量	22-56814-S
几倍	22-57073-S
几内亚	22-57135-S
几内亚比绍	22-57184-S
几内亚湾	22-57262-S
几十亿	22-57330-S
几十年	22-57388-S
几千	22-57470-S
几天	22-57520-S
几天来	22-57566-S
几岁	22-58034-S
几年	22-57632-S
几年来	22-57691-S
几时	22-57762-S
几样	22-57811-S
几次	22-57858-S
几次三番	22-57903-S
几点	22-58216-S
几点了	22-58266-S
几率	22-58120-S
几百	22-58168-S
凡	8-28944-S
凡 凡	8-28944-B
凡世通公司	8-29002-S
凡世通公司 凡世通公司	8-29002-B
凡事	8-29092-S
凡事 凡事	8-29092-B
凡人	8-29136-S
凡人 凡人	8-29136-B
凡俗	8-29202-S
凡俗 凡俗	8-29202-B
凡士林	8-29261-S
凡士林 凡士林	8-29261-B
凡尔赛	8-29409-S
凡庸	8-29314-S
凡庸 凡庸	8-29314-B
凡是	8-29366-S
凡是 凡是	8-29366-B
凡爾賽 凡尔赛	8-29409-B
凡高	8-29476-S
凡高 凡高	8-29476-B
凤	70-51574-S
凤仙花	70-51618-S
凤冈	70-52241-S
凤凰	70-51758-S
凤凰县	70-51873-S
凤凰座	70-51802-S
凤县	70-52607-S
凤台	70-51947-S
凤城	70-52010-S
凤尾鱼	70-52092-S
凤山	70-52144-S
凤庆县	70-52308-S
凤林镇	70-52381-S
凤梨	70-52456-S
凤爪	70-52499-S
凤眼兰	70-52547-S
凤翔	70-52665-S
凤阳	70-52734-S
処	8-29528-S
処 処	8-29528-B
凫	70-51352-S
凭	25-54808-S
凭仗	25-54889-S
凭依	25-54949-S
凭信	25-55012-S
凭倚	25-55055-S
凭借	25-55099-S
凭准	25-55469-S
凭单	25-55150-S
凭吊	25-55213-S
凭恃	25-55314-S
凭据	25-55372-S
凭栏	25-55414-S
凭照	25-55564-S
凭眺	25-55619-S
凭祥	25-55696-S
凭空	25-55764-S
凭证	25-55833-S
凭险	25-55966-S
凭陵	25-55896-S
凭靠	25-56057-S
凯	8-29610-S
凯利	8-29678-S
凯尔特人	8-30097-S
凯彻	8-29730-S
凯撒肋雅	8-29788-S
凯文	8-29866-S
凯旋	8-29919-S
凯旋门	8-29971-S
凯歌	8-30031-S
凯瑟琳	8-30155-S
凯达格兰	8-30405-S
凯达格兰族	8-30468-S
凯迪拉克	8-30344-S
凯里	8-30225-S
凯里市	8-30279-S
凰	8-29578-S
凰 凰	8-29578-B
凱 凯	8-29610-B
凱利 凯利	8-29678-B
凱徹 凯彻	8-29730-B
凱撒肋雅 凯撒肋雅	8-29788-B
凱文 凯文	8-29866-B
凱旋 凯旋	8-29919-B
凱旋門 凯旋门	8-29971-B
凱歌 凯歌	8-30031-B
凱爾特人 凯尔特人	8-30097-B
凱瑟琳 凯瑟琳	8-30155-B
凱裡 凯里	8-30225-B
凱裡市 凯里市	8-30279-B
凱迪拉克 凯迪拉克	8-30344-B
凱達格蘭 凯达格兰	8-30405-B
凱達格蘭族 凯达格兰族	8-30468-B
凳	8-30541-S
凳 凳	8-30541-B
凳子	8-30576-S
凳子 凳子	8-30576-B
凵	8-30626-S
凵 凵	8-30626-B
凶	7-1253-S,8-30658-S
凶 凶	8-30658-B
凶事	8-30723-S
凶事 凶事	8-30723-B
凶信	8-30827-S
凶信 凶信	8-30827-B
凶党	8-31206-S
凶器	7-1343-S
凶多吉少	7-1405-S
凶宅	7-1483-S
凶年	7-1552-S
凶恶	7-1680-S,8-30894-S
凶悍	7-1603-S
凶惡 凶恶	8-30894-B
凶戾	7-1742-S
凶手	7-1793-S,8-30953-S
凶手 凶手	8-30953-B
凶暴	7-1857-S,8-30998-S
凶暴 凶暴	8-30998-B
凶杀	7-2014-S,8-31082-S
凶杀案	7-2064-S
凶死	7-1906-S
凶残	7-1959-S,8-31040-S
凶殘 凶残	8-31040-B
凶殺 凶杀	8-31082-B
凶煞	7-2121-S
凶犯	7-2168-S
凶狂	7-2212-S
凶狠	7-2273-S,8-31127-S
凶狠 凶狠	8-31127-B
凶猛	7-2352-S
凶相	7-2395-S
凶相毕露	7-2453-S
凶神	7-2605-S
凶神恶煞	7-2653-S
凶荒	7-2750-S
凶身	7-2804-S
凶险	7-2852-S
凶顽	7-2919-S
凶黨 凶党	8-31206-B
凸	8-31261-S
凸 凸	8-31261-B
凸凸	8-31302-S
凸凸 凸凸	8-31302-B
凸出	8-31373-S
凸出 凸出	8-31373-B
凸多胞形	8-31430-S
凸多胞形 凸多胞形	8-31430-B
凸多面体	8-31501-S
凸多面體 凸多面体	8-31501-B
凸折线	8-31573-S
凸摺線 凸折线	8-31573-B
凸版	8-31639-S
凸版 凸版	8-31639-B
凸版印刷	8-31693-S
凸版印刷 凸版印刷	8-31693-B
凸现	8-31802-S
凸現 凸现	8-31802-B
凸線 凸线	8-31888-B
凸緣 凸缘	8-31934-B
凸线	8-31888-S
凸缘	8-31934-S
凸耳	8-31974-S
凸耳 凸耳	8-31974-B
凸起	8-32016-S
凸起 凸起	8-32016-B
凸輪 凸轮	8-32104-B
凸輪軸 凸轮轴	8-32140-B
凸轮	8-32104-S
凸轮轴	8-32140-S
凸边	8-32249-S
凸透鏡 凸透镜	8-32193-B
凸透镜	8-32193-S
凸邊 凸边	8-32249-B
凸鏡 凸镜	8-32302-B
凸镜	8-32302-S
凸面	8-32349-S
凸面 凸面	8-32349-B
凸面体	8-32522-S
凸面部分	8-32397-S
凸面部分 凸面部分	8-32397-B
凸面鏡 凸面镜	8-32463-B
凸面镜	8-32463-S
凸面體 凸面体	8-32522-B
凹	8-32577-S
凹 凹	8-32577-B
凹凸	8-32638-S
凹凸 凹凸	8-32638-B
凹凸不平	8-32707-S
凹凸不平 凹凸不平	8-32707-B
凹凸印刷	8-32782-S
凹凸印刷 凹凸印刷	8-32782-B
凹凸軋花 凹凸轧花	8-32859-B
凹凸轧花	8-32859-S
凹坑	8-32922-S
凹坑 凹坑	8-32922-B
凹岸	8-32981-S
凹岸 凹岸	8-32981-B
凹度	8-33025-S
凹度 凹度	8-33025-B
凹板	8-33066-S
凹板 凹板	8-33066-B
凹槽	8-33115-S
凹槽 凹槽	8-33115-B
凹洞	8-33154-S
凹洞 凹洞	8-33154-B
凹版	8-33198-S
凹版 凹版	8-33198-B
凹进	8-33384-S
凹透鏡 凹透镜	8-33327-B
凹透镜	8-33327-S
凹進 凹进	8-33384-B
凹鏡 凹镜	8-33497-B
凹镜	8-33497-S
凹陷	8-33547-S
凹陷 凹陷	8-33547-B
凹雕	8-33615-S
凹雕 凹雕	8-33615-B
凹面鏡 凹面镜	8-33673-B
凹面镜	8-33673-S
出	8-33733-S
出 出	8-33733-B
出丑	8-46220-S
出世	8-33872-S
出世 出世	8-33872-B
出丧	8-37176-S
出乎意料	8-33973-S
出乎意料 出乎意料	8-33973-B
出乎預料 出乎预料	8-34065-B
出乎预料	8-34065-S
出乱子	8-34132-S
出亂子 出乱子	8-34132-B
出了事	8-34207-S
出了事 出了事	8-34207-B
出事	8-34266-S
出事 出事	8-34266-B
出于	8-40055-S
出亡	8-34335-S
出亡 出亡	8-34335-B
出产	8-42917-S
出人命	8-34386-S
出人命 出人命	8-34386-B
出人头地	8-34637-S
出人意外	8-34461-S
出人意外 出人意外	8-34461-B
出人意料	8-34571-S
出人意料 出人意料	8-34571-B
出人頭地 出人头地	8-34637-B
出仕	8-34750-S
出仕 出仕	8-34750-B
出价	8-35244-S
出任	8-34811-S
出任 出任	8-34811-B
出份子	8-34882-S
出份子 出份子	8-34882-B
出伏	8-34980-S
出伏 出伏	8-34980-B
出众	8-43163-S
出使	8-35035-S
出使 出使	8-35035-B
出來 出来	8-35130-B
出借	8-35185-S
出借 出借	8-35185-B
出價 出价	8-35244-B
出入	8-35281-S
出入 出入	8-35281-B
出入口	8-35401-S
出入口 出入口	8-35401-B
出入平安	8-35452-S
出入平安 出入平安	8-35452-B
出入門 出入门	8-35559-B
出入门	8-35559-S
出兵	8-35625-S
出兵 出兵	8-35625-B
出其不意	8-35671-S
出其不意 出其不意	8-35671-B
出其不意攻其不備 出其不意攻其不备	8-35789-B
出其不意攻其不备	8-35789-S
出列	8-35944-S
出列 出列	8-35944-B
出力	8-36012-S
出力 出力	8-36012-B
出动	8-36061-S
出動 出动	8-36061-B
出勤	8-36137-S
出勤 出勤	8-36137-B
出卖	8-45572-S
出厂	8-39565-S
出厂价	8-39641-S
出去	8-36212-S
出去 出去	8-36212-B
出发	8-43037-S
出发点	8-43093-S
出口	8-36254-S
出口 出口	8-36254-B
出口产品	8-36603-S
出口商	8-36314-S
出口商 出口商	8-36314-B
出口商品	8-36385-S
出口商品 出口商品	8-36385-B
出口成章	8-36470-S
出口成章 出口成章	8-36470-B
出口產品 出口产品	8-36603-B
出口貨 出口货	8-36674-B
出口货	8-36674-S
出口額 出口额	8-36743-B
出口额	8-36743-S
出台	8-44418-S
出名	8-36799-S
出名 出名	8-36799-B
出品	8-36892-S
出品 出品	8-36892-B
出品人	8-36975-S
出品人 出品人	8-36975-B
出售	8-37035-S
出售 出售	8-37035-B
出問題 出问题	8-37116-B
出喪 出丧	8-37176-B
出国	8-37398-S
出圈	8-37239-S
出圈 出圈	8-37239-B
出圈儿	8-37314-S
出圈兒 出圈儿	8-37314-B
出國 出国	8-37398-B
出土	8-37476-S
出土 出土	8-37476-B
出场	8-37668-S
出埃及記 出埃及记	8-37584-B
出埃及记	8-37584-S
出場 出场	8-37668-B
出境	8-37723-S
出境 出境	8-37723-B
出境检查	8-37797-S
出境檢查 出境检查	8-37797-B
出声	8-44089-S
出处	8-44687-S
出外	8-37873-S
出外 出外	8-37873-B
出头	8-46967-S
出头鸟	8-47104-S
出奇	8-37943-S
出奇 出奇	8-37943-B
出奇制勝 出奇制胜	8-38009-B
出奇制胜	8-38009-S
出奔	8-38091-S
出奔 出奔	8-38091-B
出嫁	8-38153-S
出嫁 出嫁	8-38153-B
出官	8-38212-S
出官 出官	8-38212-B
出家	8-38288-S
出家 出家	8-38288-B
出家人	8-38370-S
出家人 出家人	8-38370-B
出尔反尔	8-41537-S
出尖	8-38437-S
出尖 出尖	8-38437-B
出尖儿	8-38513-S
出尖兒 出尖儿	8-38513-B
出局	8-38622-S
出局 出局	8-38622-B
出山	8-38872-S
出山 出山	8-38872-B
出岔子	8-39014-S
出岔子 出岔子	8-39014-B
出差	8-39092-S
出差 出差	8-39092-B
出师	8-39151-S
出師 出师	8-39151-B
出席	8-39260-S
出席 出席	8-39260-B
出席者	8-39325-S
出席者 出席者	8-39325-B
出席表决比例	8-39378-S
出席表決比例 出席表决比例	8-39378-B
出庭	8-39492-S
出庭 出庭	8-39492-B
出廠 出厂	8-39565-B
出廠價 出厂价	8-39641-B
出征	8-39709-S
出征 出征	8-39709-B
出息	8-39785-S
出息 出息	8-39785-B
出手	8-39834-S
出手 出手	8-39834-B
出操	8-39893-S
出操 出操	8-39893-B
出新	8-39984-S
出新 出新	8-39984-B
出於 出于	8-40055-B
出来	8-35130-S
出榜	8-40107-S
出榜 出榜	8-40107-B
出殡	8-40193-S
出殯 出殡	8-40193-B
出毛病	8-40253-S
出毛病 出毛病	8-40253-B
出气	8-40330-S
出气口	8-40384-S
出气筒	8-40462-S
出氣 出气	8-40330-B
出氣口 出气口	8-40384-B
出氣筒 出气筒	8-40462-B
出水	8-40515-S
出水 出水	8-40515-B
出水芙蓉	8-40597-S
出水芙蓉 出水芙蓉	8-40597-B
出汗	8-40783-S
出汗 出汗	8-40783-B
出沒 出没	8-40837-B
出沒無常 出没无常	8-40954-B
出没	8-40837-S
出没无常	8-40954-S
出洋相	8-41047-S
出洋相 出洋相	8-41047-B
出港	8-41124-S
出港 出港	8-41124-B
出港大厅	8-41197-S
出港大廳 出港大厅	8-41197-B
出溜	8-41270-S
出溜 出溜	8-41270-B
出漏子	8-41336-S
出漏子 出漏子	8-41336-B
出炉	8-41411-S
出点子	8-47696-S
出爐 出炉	8-41411-B
出爾反爾 出尔反尔	8-41537-B
出版	8-41647-S
出版 出版	8-41647-B
出版商	8-41724-S
出版商 出版商	8-41724-B
出版物	8-41780-S
出版物 出版物	8-41780-B
出版社	8-41836-S
出版社 出版社	8-41836-B
出版者	8-41897-S
出版者 出版者	8-41897-B
出狱	8-41951-S
出猎	8-41996-S
出獄 出狱	8-41951-B
出獵 出猎	8-41996-B
出现	8-42047-S
出现意外	8-42110-S
出現 出现	8-42047-B
出現意外 出现意外	8-42110-B
出生	8-42192-S
出生 出生	8-42192-B
出生入死	8-42238-S
出生入死 出生入死	8-42238-B
出生地	8-42401-S
出生地 出生地	8-42401-B
出生地点	8-42457-S
出生地點 出生地点	8-42457-B
出生日期	8-42529-S
出生日期 出生日期	8-42529-B
出生率	8-42598-S
出生率 出生率	8-42598-B
出生缺陷	8-42653-S
出生缺陷 出生缺陷	8-42653-B
出生證 出生证	8-42724-B
出生證明書 出生证明书	8-42809-B
出生证	8-42724-S
出生证明书	8-42809-S
出產 出产	8-42917-B
出界	8-42958-S
出界 出界	8-42958-B
出發 出发	8-43037-B
出發點 出发点	8-43093-B
出眾 出众	8-43163-B
出示	8-43223-S
出示 出示	8-43223-B
出神	8-43306-S
出神 出神	8-43306-B
出神入化	8-43371-S
出神入化 出神入化	8-43371-B
出租	8-43490-S
出租 出租	8-43490-B
出租汽車 出租汽车	8-43530-B
出租汽车	8-43530-S
出租車 出租车	8-43616-B
出租车	8-43616-S
出笼	8-43664-S
出籠 出笼	8-43664-B
出类拔萃	8-47262-S
出納 出纳	8-43766-B
出納員 出纳员	8-43864-B
出線 出线	8-43933-B
出纳	8-43766-S
出纳员	8-43864-S
出线	8-43933-S
出缺	8-44011-S
出缺 出缺	8-44011-B
出聲 出声	8-44089-B
出脫 出脱	8-44147-B
出脱	8-44147-S
出自	8-44373-S
出自 出自	8-44373-B
出臺 出台	8-44418-B
出色	8-44476-S
出色 出色	8-44476-B
出苗	8-44531-S
出苗 出苗	8-44531-B
出落	8-44608-S
出落 出落	8-44608-B
出處 出处	8-44687-B
出血	8-44796-S
出血 出血	8-44796-B
出血性	8-44869-S
出血性 出血性	8-44869-B
出血性登革热	8-44926-S
出血性登革熱 出血性登革热	8-44926-B
出血热	8-45034-S
出血熱 出血热	8-45034-B
出訪 出访	8-45094-B
出謀劃策 出谋划策	8-45152-B
出讓 出让	8-45279-B
出让	8-45279-S
出访	8-45094-S
出谋划策	8-45152-S
出貨 出货	8-45363-B
出資 出资	8-45500-B
出賣 出卖	8-45572-B
出賽 出赛	8-45634-B
出货	8-45363-S
出资	8-45500-S
出赛	8-45634-S
出走	8-45711-S
出走 出走	8-45711-B
出超	8-45764-S
出超 出超	8-45764-B
出路	8-45839-S
出路 出路	8-45839-B
出身	8-45903-S
出身 出身	8-45903-B
出車 出车	8-45968-B
出軌 出轨	8-46045-B
出车	8-45968-S
出轨	8-46045-S
出逃	8-46153-S
出逃 出逃	8-46153-B
出醜 出丑	8-46220-B
出錢 出钱	8-46336-B
出錯 出错	8-46377-B
出錯信息 出错信息	8-46434-B
出钱	8-46336-S
出错	8-46377-S
出错信息	8-46434-S
出門 出门	8-46514-B
出门	8-46514-S
出问题	8-37116-S
出院	8-46613-S
出院 出院	8-46613-B
出险	8-46665-S
出險 出险	8-46665-B
出难题	8-46781-S
出難題 出难题	8-46781-B
出露	8-46850-S
出露 出露	8-46850-B
出面	8-46892-S
出面 出面	8-46892-B
出頭 出头	8-46967-B
出頭鳥 出头鸟	8-47104-B
出題 出题	8-47192-B
出類拔萃 出类拔萃	8-47262-B
出题	8-47192-S
出風口 出风口	8-47360-B
出風頭 出风头	8-47425-B
出风口	8-47360-S
出风头	8-47425-S
出飯 出饭	8-47509-B
出饭	8-47509-S
出馬 出马	8-47584-B
出马	8-47584-S
出點子 出点子	8-47696-B
击	29-19002-S
击中	29-19064-S
击倒	29-19130-S
击刺	29-19189-S
击剑	29-19236-S
击剑者	29-19285-S
击弦类	29-19461-S
击弦类乐器	29-19550-S
击弦贝斯	29-19373-S
击打	29-19650-S
击毁	29-19793-S
击毙	29-19735-S
击球	29-19847-S
击碎	29-19908-S
击落	29-19959-S
击败	29-19691-S
击退	29-20015-S
函	8-47758-S
函 函	8-47758-B
函件	8-47801-S
函件 函件	8-47801-B
函式库	8-47858-S
函式庫 函式库	8-47858-B
函授	8-47943-S
函授 函授	8-47943-B
函数	8-47999-S
函數 函数	8-47999-B
函購 函购	8-48041-B
函购	8-48041-S
凿	65-10993-S,65-11063-S
凿井	65-11126-S
凿子	65-11174-S
凿枘	65-11213-S
凿石场	65-11276-S
凿空	65-11334-S
刀	8-48085-S
刀 刀	8-48085-B
刀俎	8-48113-S
刀俎 刀俎	8-48113-B
刀刃	8-48173-S
刀刃 刀刃	8-48173-B
刀叉	8-48232-S
刀叉 刀叉	8-48232-B
刀口	8-48280-S
刀口 刀口	8-48280-B
刀叶	8-48471-S
刀子	8-48326-S
刀子 刀子	8-48326-B
刀斧手	8-48363-S
刀斧手 刀斧手	8-48363-B
刀疤	8-48414-S
刀疤 刀疤	8-48414-B
刀类	8-48568-S
刀葉 刀叶	8-48471-B
刀鋸斧鉞 刀锯斧钺	8-48509-B
刀锯斧钺	8-48509-S
刀類 刀类	8-48568-B
刁	8-48616-S
刁 刁	8-48616-B
刁藩都	8-48666-S
刁藩都 刁藩都	8-48666-B
刁藩都方程	8-48753-S
刁藩都方程 刁藩都方程	8-48753-B
刁难	8-48844-S
刁難 刁难	8-48844-B
刃	8-48933-S
刃 刃	8-48933-B
分	8-48969-S,8-49157-S
分 分	8-48969-B,8-49157-B
分为	8-56383-S
分之	8-49184-S
分之 分之	8-49184-B
分争	8-56456-S
分享	8-49241-S
分享 分享	8-49241-B
分付	8-49291-S
分付 分付	8-49291-B
分会	8-54361-S
分会场	8-54401-S
分佈 分布	8-49349-B
分佈圖 分布图	8-49407-B
分佈式 分布式	8-49494-B
分佈式拒絕服務 分布式拒绝服务	8-49549-B
分佈式環境 分布式环境	8-49694-B
分佈式結構 分布式结构	8-49797-B
分佈式網絡 分布式网络	8-49887-B
分佈控制 分布控制	8-49973-B
分光	8-50048-S
分光 分光	8-50048-B
分內 分内	8-50106-B
分公司	8-50176-S
分公司 分公司	8-50176-B
分内	8-50106-S
分冊 分册	8-50250-B
分册	8-50250-S
分別 分别	8-50317-B
分别	8-50317-S
分割	8-50412-S
分割 分割	8-50412-B
分化	8-50466-S
分化 分化	8-50466-B
