秋糧 秋粮	47-15758-B
秦皇岛市	47-24844-S
秦皇島 秦皇岛	47-24755-B
秦皇島市 秦皇岛市	47-24844-B
秦穆公	47-24944-S
秦穆公 秦穆公	47-24944-B
秦篆	47-25003-S
秦篆 秦篆	47-25003-B
秦腔	47-25124-S
秦腔 秦腔	47-25124-B
秦軍 秦军	47-25168-B
秦陵	47-25250-S
秦陵 秦陵	47-25250-B
秦韜玉 秦韬玉	47-25367-B
秦韬玉	47-25367-S
秧	47-25421-S
秧 秧	47-25421-B
秧子	47-25459-S
秧子 秧子	47-25459-B
秧歌	47-25524-S
秧歌 秧歌	47-25524-B
秧苗	47-25564-S
秧苗 秧苗	47-25564-B
秩	47-25608-S
秩 秩	47-25608-B
秩序	47-25648-S
秩序 秩序	47-25648-B
秪	47-25749-S
秪 秪	47-25749-B
秫	47-25776-S
秫 秫	47-25776-B
秬	47-25815-S
秬 秬	47-25815-B
秭	47-25849-S
秭 秭	47-25849-B
秭归	47-25878-S
秭归县	47-25937-S
秭歸 秭归	47-25878-B
秭歸縣 秭归县	47-25937-B
积	47-38278-S
积不相能	47-38518-S
积云	47-40659-S
积冰	47-38663-S
积分	47-38710-S
积分方程	47-38797-S
积劳成疾	47-38880-S
积压	47-38984-S
积存	47-39083-S
积少成多	47-39128-S
积弱	47-39267-S
积怨	47-39355-S
积愤	47-39417-S
积攒	47-39480-S
积木	47-39553-S
积极	47-39653-S
积极性	47-39739-S
积案	47-39604-S
积物	47-39818-S
积祖	47-39866-S
积累	47-40194-S
积聚	47-40237-S
积蓄	47-40308-S
积谷防饥	47-39927-S,47-40041-S
积贮	47-40368-S
积贼	47-40413-S
积重难返	47-40461-S
积雨云	47-40596-S
积非成是	47-40710-S
称	47-34200-S,47-34257-S,47-34366-S
称为	47-34862-S
称之为	47-34420-S
称号	47-35042-S
称呼	47-34492-S
称多	47-34559-S
称心	47-34624-S
称心如意	47-34681-S
称稱	30-12030-S
称谓	47-35104-S
称赞	47-35173-S
称重	47-35254-S
称霸	47-35354-S
称颂	47-35472-S
秷	47-26003-S
秷 秷	47-26003-B
秸	47-26042-S
秸 秸	47-26042-B
移	47-26081-S
移 移	47-26081-B
移交	47-26148-S
移交 移交	47-26148-B
移动	47-26200-S
移动平均线	47-26276-S
移动平均线指标	47-26383-S
移动式	47-26524-S
移动式电话	47-26575-S
移动电话	47-26659-S
移動 移动	47-26200-B
移動平均線 移动平均线	47-26276-B
移動平均線指標 移动平均线指标	47-26383-B
移動式 移动式	47-26524-B
移動式電話 移动式电话	47-26575-B
移動電話 移动电话	47-26659-B
移去	47-26732-S
移去 移去	47-26732-B
移居	47-26776-S
移居 移居	47-26776-B
移山志	47-26820-S
移山志 移山志	47-26820-B
移开	47-27321-S
移植	47-26911-S
移植 移植	47-26911-B
移植性	47-26957-S
移植性 移植性	47-26957-B
移植手术	47-27059-S
移殖	47-27013-S
移殖 移殖	47-27013-B
移殖手術 移植手术	47-27059-B
移民	47-27143-S
移民 移民	47-27143-B
移民局	47-27199-S
移民局 移民局	47-27199-B
移民者	47-27260-S
移民者 移民者	47-27260-B
移開 移开	47-27321-B
秽	47-41340-S
稀	47-27363-S
稀 稀	47-27363-B
稀土	47-27399-S
稀土 稀土	47-27399-B
稀土元素	47-27449-S
稀土元素 稀土元素	47-27449-B
稀土金属	47-27521-S
稀土金屬 稀土金属	47-27521-B
稀奇	47-27593-S
稀奇 稀奇	47-27593-B
稀奇古怪	47-27637-S
稀奇古怪 稀奇古怪	47-27637-B
稀少	47-27728-S
稀少 稀少	47-27728-B
稀有	47-27773-S
稀有 稀有	47-27773-B
稀有元素	47-27814-S
稀有元素 稀有元素	47-27814-B
稀有气体	47-27894-S
稀有氣體 稀有气体	47-27894-B
稀松骨質 稀松骨质	47-27977-B
稀松骨质	47-27977-S
稀疏	47-28063-S
稀疏 稀疏	47-28063-B
稀稀拉拉	47-28127-S
稀稀拉拉 稀稀拉拉	47-28127-B
稀粥	47-28201-S
稀粥 稀粥	47-28201-B
稀罕	47-28260-S
稀罕 稀罕	47-28260-B
稀释	47-28344-S
稀釋 稀释	47-28344-B
稀飯 稀饭	47-28388-B
稀饭	47-28388-S
稂	47-28435-S
稂 稂	47-28435-B
稅 税	47-28470-B
稅前 税前	47-28506-B
稅務 税务	47-28562-B
稅務局 税务局	47-28635-B
稅官 税官	47-28716-B
稅後 税后	47-28778-B
稅捐稽征處 税捐稽征处	47-28822-B
稅收 税收	47-28920-B
稅款 税款	47-28964-B
稅關 税关	47-29012-B
稈 秆	47-29080-B
稊	47-29118-S
稊 稊	47-29118-B
程	47-29151-S
程 程	47-29151-B
程序	47-29247-S
程序 程序	47-29247-B
程序员	47-29307-S
程序員 程序员	47-29307-B
程序性	47-29364-S
程序性 程序性	47-29364-B
程序設計 程序设计	47-29418-B
程序设计	47-29418-S
程度	47-29494-S
程度 程度	47-29494-B
程式	47-29559-S
程式 程式	47-29559-B
程式管理员	47-29623-S
程式管理員 程式管理员	47-29623-B
程式語言 程式语言	47-29718-B
程式语言	47-29718-S
程海湖	47-29795-S
程海湖 程海湖	47-29795-B
程頤 程颐	47-29885-B
程顥 程颢	47-29940-B
程颐	47-29885-S
程颢	47-29940-S
稌	47-29997-S
稌 稌	47-29997-B
稍	47-30030-S
稍 稍	47-30030-B
稍异	47-30229-S
稍微	47-30071-S
稍微 稍微	47-30071-B
稍早	47-30118-S
稍早 稍早	47-30118-B
稍早时	47-30167-S
稍早時 稍早时	47-30167-B
稍異 稍异	47-30229-B
稍等	47-30281-S
稍等 稍等	47-30281-B
税	47-28470-S
税关	47-29012-S
税前	47-28506-S
税务	47-28562-S
税务局	47-28635-S
税后	47-28778-S
税官	47-28716-S
税捐稽征处	47-28822-S
税收	47-28920-S
税款	47-28964-S
稑	47-30333-S
稑 稑	47-30333-B
稔	47-30388-S
稔 稔	47-30388-B
稗	47-30421-S
稗 稗	47-30421-B
稙	47-30503-S
稙 稙	47-30503-B
稚	47-30544-S
稚 稚	47-30544-B
稚嫩	47-30582-S
稚嫩 稚嫩	47-30582-B
稚子	47-30658-S
稚子 稚子	47-30658-B
稚弱	47-30702-S
稚弱 稚弱	47-30702-B
稚拙	47-30755-S
稚拙 稚拙	47-30755-B
稚气	47-30827-S
稚氣 稚气	47-30827-B
稚虫	47-30902-S
稚蟲 稚虫	47-30902-B
稛	47-30979-S
稛 稛	47-30979-B
稜	47-31126-S
稜 棱	47-31006-B
稜 稜	47-31126-B
稜柱 棱柱	47-31168-B
稜臺 棱台	47-31211-B
稜角 棱角	47-31251-B
稜錐 棱锥	47-31361-B
稜鏡 棱镜	47-31415-B
稞	47-31471-S
稞 稞	47-31471-B
稟 禀	47-31500-B
稟告 禀告	47-31576-B
稟報 禀报	47-31637-B
稟性 禀性	47-31701-B
稟賦 禀赋	47-31756-B
稠	47-31812-S
稠 稠	47-31812-B
稠密	47-31860-S
稠密 稠密	47-31860-B
稣	47-38239-S
種 种	47-31899-B,47-31993-B
種公畜 种公畜	47-32047-B
種地 种地	47-32139-B
種塊 种块	47-32198-B
種姓 种姓	47-32245-B
種姓制 种姓制	47-32324-B
種子 种子	47-32421-B
種子島 种子岛	47-32459-B
種子選手 种子选手	47-32515-B
種差 种差	47-32586-B
種族 种族	47-32663-B
種族主義 种族主义	47-32712-B
種族主義者 种族主义者	47-32774-B
種族歧視 种族歧视	47-32856-B
種族清洗 种族清洗	47-32973-B
種族清除 种族清除	47-33055-B
種族滅絕 种族灭绝	47-33129-B
種族隔離 种族隔离	47-33194-B
種植 种植	47-33258-B
種植園 种植园	47-33304-B
種植業 种植业	47-33362-B
種樹 种树	47-33418-B
種畜 种畜	47-33468-B
種禽 种禽	47-33543-B
種種 种种	47-33605-B
種系 种系	47-33655-B
種群 种群	47-33723-B
種花 种花	47-33817-B
種薯 种薯	47-33881-B
種蛋 种蛋	47-33927-B
種類 种类	47-33975-B
種馬 种马	47-34062-B
種麻 种麻	47-34116-B
稱 称	47-34200-B,47-34257-B,47-34366-B
稱之為 称之为	47-34420-B
稱呼 称呼	47-34492-B
稱多 称多	47-34559-B
稱心 称心	47-34624-B
稱心如意 称心如意	47-34681-B
稱槃 秤盘	47-34796-B
稱為 称为	47-34862-B
稱砣雖小壓千斤 秤砣虽小压千斤	47-34936-B
稱號 称号	47-35042-B
稱謂 称谓	47-35104-B
稱讚 称赞	47-35173-B
稱重 称重	47-35254-B
稱錘 秤锤	47-35300-B
稱霸 称霸	47-35354-B
稱頌 称颂	47-35472-B
稲	47-35515-S
稲 稲	47-35515-B
稳	47-41463-S
稳便	47-41507-S
稳健	47-41583-S
稳压	47-42029-S
稳厚	47-41745-S
稳固	47-41796-S
稳坐钓鱼台	47-41835-S
稳如泰山	47-42076-S
稳妥	47-42166-S
稳婆	47-42210-S
稳定	47-42261-S
稳定塘	47-42329-S
稳定度	47-42418-S
稳定性	47-42482-S
稳定物价	47-42538-S
稳实	47-42693-S
稳当	47-43366-S
稳态	47-42752-S
稳态理论	47-42798-S
稳扎稳打	47-42888-S
稳拿	47-43010-S
稳操胜券	47-43080-S
稳步	47-43239-S
稳练	47-43427-S
稳胜	47-41640-S
稳获	47-43294-S
稳贴	47-43504-S
稳重	47-43565-S
稳静	47-43621-S
稷	47-35576-S
稷 稷	47-35576-B
稷山	47-35606-S
稷山 稷山	47-35606-B
稹	47-35668-S
稹 稹	47-35668-B
稻	47-35717-S
稻 稻	47-35717-B
稻城	47-35750-S
稻城 稻城	47-35750-B
稻子	47-35817-S
稻子 稻子	47-35817-B
稻田	47-35874-S
稻田 稻田	47-35874-B
稻穀 稻谷	47-35931-B
稻米	47-35974-S
稻米 稻米	47-35974-B
稻草	47-36018-S
稻草 稻草	47-36018-B
稻草人	47-36057-S
稻草人 稻草人	47-36057-B
稻谷	47-35931-S
稼	47-36111-S
稼 稼	47-36111-B
稽	47-36143-S,47-36189-S
稽 稽	47-36143-B,47-36189-B
稽古	47-36228-S
稽古 稽古	47-36228-B
稽古振今	47-36313-S
稽古振今 稽古振今	47-36313-B
稿	47-36416-S
稿 稿	47-36416-B
稿件	47-36470-S
稿件 稿件	47-36470-B
稿子	47-36558-S
稿子 稿子	47-36558-B
稿紙 稿纸	47-36649-B
稿纸	47-36649-S
穀 谷	47-36694-B
穀倉 谷仓	47-36726-B
穀歌	47-36764-S
穀歌 穀歌	47-36764-B
穀氨酸 谷氨酸	47-36813-B
穀物 谷物	47-36876-B
穀神 谷神	47-36920-B
穀神星 谷神星	47-36965-B
穀穗 谷穗	47-37016-B
穀粒 谷粒	47-37091-B
穀草 谷草	47-37140-B
穀雨 谷雨	47-37178-B
穀類 谷类	47-37228-B
穂	47-37273-S
穂 穂	47-37273-B
穄	47-37319-S
穄 穄	47-37319-B
穆	47-37349-S
穆 穆	47-37349-B
穆加貝 穆加贝	47-37388-B
穆加贝	47-37388-S
穆圣	47-38045-S
穆巴拉克	47-37453-S
穆巴拉克 穆巴拉克	47-37453-B
穆斯林	47-37518-S
穆斯林 穆斯林	47-37518-B
穆桂英	47-37567-S
穆桂英 穆桂英	47-37567-B
穆棱	47-37702-S
穆沙拉夫	47-37622-S
穆沙拉夫 穆沙拉夫	47-37622-B
穆稜 穆棱	47-37702-B
穆索尔斯基	47-37770-S
穆索爾斯基 穆索尔斯基	47-37770-B
穆罕默德	47-37862-S
穆罕默德 穆罕默德	47-37862-B
穆罕默德六世	47-37936-S
穆罕默德六世 穆罕默德六世	47-37936-B
穆聖 穆圣	47-38045-B
穇	47-38096-S
穇 穇	47-38096-B
穈	47-38140-S
穈 穈	47-38140-B
穋	47-38184-S
穋 穋	47-38184-B
穌 稣	47-38239-B
積 积	47-38278-B
積不相能 积不相能	47-38518-B
積冰 积冰	47-38663-B
積分 积分	47-38710-B
積分方程 积分方程	47-38797-B
積勞成疾 积劳成疾	47-38880-B
積壓 积压	47-38984-B
積存 积存	47-39083-B
積少成多 积少成多	47-39128-B
積弱 积弱	47-39267-B
積怨 积怨	47-39355-B
積憤 积愤	47-39417-B
積攢 积攒	47-39480-B
積木 积木	47-39553-B
積案 积案	47-39604-B
積極 积极	47-39653-B
積極性 积极性	47-39739-B
積物 积物	47-39818-B
積祖 积祖	47-39866-B
積穀防飢 积谷防饥	47-39927-B
積穀防饑 积谷防饥	47-40041-B
積累 积累	47-40194-B
積聚 积聚	47-40237-B
積蓄 积蓄	47-40308-B
積貯 积贮	47-40368-B
積賊 积贼	47-40413-B
積重難返 积重难返	47-40461-B
積雨雲 积雨云	47-40596-B
積雲 积云	47-40659-B
積非成是 积非成是	47-40710-B
穎 颖	47-40882-B
穎上縣 颖上县	47-40919-B
穏	47-40993-S
穏 穏	47-40993-B
穑	47-41301-S
穗	47-41043-S
穗 穗	47-41043-B
穗飾 穗饰	47-41114-B
穗饰	47-41114-S
穜	47-41154-S
穜 穜	47-41154-B
穟	47-41211-S
穟 穟	47-41211-B
穠	47-41246-S
穠 穠	47-41246-B
穡 穑	47-41301-B
穢 秽	47-41340-B
穧	47-41373-S
穧 穧	47-41373-B
穨	47-41420-S
穨 穨	47-41420-B
穩 稳	47-41463-B
穩便 稳便	47-41507-B
穩健 稳健	47-41583-B
穩勝 稳胜	47-41640-B
穩厚 稳厚	47-41745-B
穩固 稳固	47-41796-B
穩坐釣魚臺 稳坐钓鱼台	47-41835-B
穩壓 稳压	47-42029-B
穩如泰山 稳如泰山	47-42076-B
穩妥 稳妥	47-42166-B
穩婆 稳婆	47-42210-B
穩定 稳定	47-42261-B
穩定塘 稳定塘	47-42329-B
穩定度 稳定度	47-42418-B
穩定性 稳定性	47-42482-B
穩定物價 稳定物价	47-42538-B
穩實 稳实	47-42693-B
穩態 稳态	47-42752-B
穩態理論 稳态理论	47-42798-B
穩扎穩打 稳扎稳打	47-42888-B
穩拿 稳拿	47-43010-B
穩操勝券 稳操胜券	47-43080-B
穩步 稳步	47-43239-B
穩獲 稳获	47-43294-B
穩當 稳当	47-43366-B
穩練 稳练	47-43427-B
穩貼 稳贴	47-43504-B
穩重 稳重	47-43565-B
穩靜 稳静	47-43621-B
穫 获	47-43667-B
穫刑 获刑	47-43702-B
穫獎者 获奖者	47-43751-B
穭	47-43823-S
穭 穭	47-43823-B
穮	47-43855-S
穮 穮	47-43855-B
穰	47-43886-S
穰 穰	47-43886-B
穴	47-43946-S
穴 穴	47-43946-B
穴位	47-44019-S
穴位 穴位	47-44019-B
穴居	47-44070-S
穴居 穴居	47-44070-B
穴播	47-44120-S
穴播 穴播	47-44120-B
穵	47-44167-S
穵 穵	47-44167-B
究	47-44202-S
究 究	47-44202-B
究办	47-44380-S
究竟	47-44284-S
究竟 究竟	47-44284-B
究辦 究办	47-44380-B
穷	47-56934-S
穷人	47-56973-S
穷困	47-57029-S
穷尽	47-57411-S
穷山恶水	47-57091-S
穷愁	47-57231-S
穷愁潦倒	47-57313-S
穷竭法	47-57465-S
穷结	47-57580-S
穷苦	47-57645-S
穷途末路	47-57702-S
穷饿	47-57780-S
穸	47-44442-S
穸 穸	47-44442-B
穹	47-44508-S
穹 穹	47-44508-B
穹丘	47-44563-S
穹丘 穹丘	47-44563-B
穹庐	47-44603-S
穹廬 穹庐	47-44603-B
穹形	47-44657-S
穹形 穹形	47-44657-B
穹窿	47-44712-S
穹窿 穹窿	47-44712-B
穹肋	47-44771-S
穹肋 穹肋	47-44771-B
穹苍	47-44823-S
穹蒼 穹苍	47-44823-B
穹頂 穹顶	47-44901-B
穹顶	47-44901-S
空	47-44965-S,47-45020-S
空 空	47-44965-B,47-45020-B
空中	47-45059-S
空中 空中	47-45059-B
空中客車 空中客车	47-45117-B
空中客车	47-45117-S
空中小姐	47-45200-S
空中小姐 空中小姐	47-45200-B
空中核爆炸	47-45282-S
空中核爆炸 空中核爆炸	47-45282-B
空中楼阁	47-45389-S
空中樓閣 空中楼阁	47-45389-B
空中炮舰	47-45553-S
空中砲艦 空中炮舰	47-45553-B
空位	47-45631-S
空位 空位	47-45631-B
空余	47-50970-S
空儿	47-45691-S
空兒 空儿	47-45691-B
空军	47-50000-S
空军司令	47-50044-S
空军基地	47-50141-S
空前	47-45744-S
空前 空前	47-45744-B
空口白話 空口白话	47-45793-B
空口白话	47-45793-S
空口說白話 空口说白话	47-45864-B
空口说白话	47-45864-S
空喊	47-45955-S
空喊 空喊	47-45955-B
空地	47-46012-S
空地 空地	47-46012-B
空城計 空城计	47-46068-B
空城计	47-46068-S
空头	47-50860-S
空姐	47-46147-S
空姐 空姐	47-46147-B
空子	47-46251-S
空子 空子	47-46251-B
空对空导弹	47-46334-S,47-46421-S
空对空导弹 空对空导弹	47-46334-B
空對空導彈 空对空导弹	47-46421-B
空幻	47-46508-S
空幻 空幻	47-46508-B
空当	47-48762-S
空心	47-46573-S,47-46636-S
空心 空心	47-46573-B,47-46636-B
空心儿	47-46698-S
空心兒 空心儿	47-46698-B
空心墙	47-46765-S
空心牆 空心墙	47-46765-B
空心老大	47-46836-S
空心老大 空心老大	47-46836-B
空心菜	47-46922-S
空心菜 空心菜	47-46922-B
空心萝卜	47-47026-S
空心蘿蔔 空心萝卜	47-47026-B
空想	47-47095-S
空想 空想	47-47095-B
空想社会主义	47-47161-S
空想社會主義 空想社会主义	47-47161-B
空战	47-47258-S
空戰 空战	47-47258-B
空房間 空房间	47-47313-B
空房间	47-47313-S
空手	47-47372-S
空手 空手	47-47372-B
空手而归	47-47435-S
空手而歸 空手而归	47-47435-B
空手道	47-47538-S
空手道 空手道	47-47538-B
空投	47-47591-S
空投 空投	47-47591-B
空挡	47-47658-S
空擋 空挡	47-47658-B
空日	47-47706-S
空日 空日	47-47706-B
空暇	47-47795-S
空暇 空暇	47-47795-B
空格	47-47852-S
空格 空格	47-47852-B
空气	47-48018-S
空气剂量	47-48066-S
空气动力学	47-48131-S
空气取样	47-48210-S
空气取样器	47-48278-S
空气污染	47-48355-S
空气流	47-48423-S
空气流 空氣流	47-47965-B
空气缓冲间	47-48485-S
空气调节	47-48564-S
空气阻力	47-48636-S
空氣 空气	47-48018-B
空氣劑量 空气剂量	47-48066-B
空氣動力學 空气动力学	47-48131-B
空氣取樣 空气取样	47-48210-B
空氣取樣器 空气取样器	47-48278-B
空氣污染 空气污染	47-48355-B
空氣流	47-47965-S
空氣流 空气流	47-48423-B
空氣緩衝間 空气缓冲间	47-48485-B
空氣調節 空气调节	47-48564-B
空氣阻力 空气阻力	47-48636-B
空洞	47-48706-S
空洞 空洞	47-48706-B
空當 空当	47-48762-B
空白	47-48810-S
空白 空白	47-48810-B
空白点	47-48856-S
空白點 空白点	47-48856-B
空穴	47-48918-S
空穴 空穴	47-48918-B
空空	47-48966-S
空空 空空	47-48966-B
空空盪盪 空空荡荡	47-49039-B
空空荡荡	47-49039-S
空竹	47-49107-S
空竹 空竹	47-49107-B
空缺	47-49155-S
空缺 空缺	47-49155-B
空肠	47-49197-S
空腸 空肠	47-49197-B
空腹	47-49252-S
空腹 空腹	47-49252-B
空腹高心	47-49302-S
空腹高心 空腹高心	47-49302-B
空虚	47-49392-S
空虛 空虚	47-49392-B
空袭	47-49454-S
空襲 空袭	47-49454-B
空話 空话	47-49516-B
空話連篇 空话连篇	47-49583-B
空調 空调	47-49664-B
空調車 空调车	47-49716-B
空談 空谈	47-49786-B
空话	47-49516-S
空话连篇	47-49583-S
空调	47-49664-S
空调车	47-49716-S
空谈	47-49786-S
空谷足音	47-49843-S
空谷足音 空谷足音	47-49843-B
空軍 空军	47-50000-B
空軍司令 空军司令	47-50044-B
空軍基地 空军基地	47-50141-B
空运	47-50204-S
空運 空运	47-50204-B
空閑 空闲	47-50252-B
空間 空间	47-50310-B
空間探測 空间探测	47-50351-B
空間站 空间站	47-50419-B
空闲	47-50252-S
