面諭 面谕	68-3424-B
鞍山	68-7015-S
鞍山 鞍山	68-7015-B
鞍山市	68-7089-S
鞍山市 鞍山市	68-7089-B
鞍点	68-7231-S
鞍馬 鞍马	68-7174-B
鞍马	68-7174-S
鞍點 鞍点	68-7231-B
鞏 巩	68-7285-B
鞏俐 巩俐	68-7321-B
鞏固 巩固	68-7362-B
鞏留 巩留	68-7407-B
鞏縣 巩县	68-7473-B
鞏膜 巩膜	68-7529-B
鞑	68-9541-S
鞑虏	68-9586-S
鞑靼	68-9624-S
鞑靼人	68-9702-S
鞑靼海	68-9759-S
鞗	68-7588-S
鞗 鞗	68-7588-B
鞘	68-7628-S
鞘 鞘	68-7628-B
鞘翅	68-7667-S
鞘翅 鞘翅	68-7667-B
鞘翅目	68-7749-S
鞘翅目 鞘翅目	68-7749-B
鞘脂	68-7837-S
鞘脂 鞘脂	68-7837-B
鞙	68-7884-S
鞙 鞙	68-7884-B
鞚	68-7912-S
鞚 鞚	68-7912-B
鞝	68-7948-S
鞝 鞝	68-7948-B
鞞	68-7989-S
鞞 鞞	68-7989-B
鞠	68-8021-S
鞠 鞠	68-8021-B
鞠躬	68-8088-S
鞠躬 鞠躬	68-8088-B
鞡	68-8128-S
鞡 鞡	68-8128-B
鞣	68-8159-S
鞣 鞣	68-8159-B
鞣制	68-8209-S
鞣製 鞣制	68-8209-B
鞦 秋	68-8267-B
鞦韆 秋千	68-8297-B
鞨	68-8352-S
鞨 鞨	68-8352-B
鞫	68-8403-S
鞫 鞫	68-8403-B
鞬	68-8451-S
鞬 鞬	68-8451-B
鞭	68-8502-S
鞭 鞭	68-8502-B
鞭子	68-8556-S
鞭子 鞭子	68-8556-B
鞭打	68-8593-S
鞭打 鞭打	68-8593-B
鞭挞	68-8648-S
鞭撻 鞭挞	68-8648-B
鞭毛	68-8696-S
鞭毛 鞭毛	68-8696-B
鞭炮	68-8799-S
鞭痕	68-8740-S
鞭痕 鞭痕	68-8740-B
鞭砲 鞭炮	68-8799-B
鞭笞	68-8877-S
鞭笞 鞭笞	68-8877-B
鞭策	68-8949-S
鞭策 鞭策	68-8949-B
鞭節 鞭节	68-8998-B
鞭节	68-8998-S
鞭虫	68-9042-S
鞭蟲 鞭虫	68-9042-B
鞭辟入里	68-9234-S
鞭長莫及 鞭长莫及	68-9087-B
鞭长莫及	68-9087-S
鞭闢入裡 鞭辟入里	68-9234-B
鞮	68-9317-S
鞮 鞮	68-9317-B
鞯	68-9935-S
鞶	68-9363-S
鞶 鞶	68-9363-B
鞹	68-9396-S
鞹 鞹	68-9396-B
韁	68-9463-S
韁 缰	68-9426-B
韁 韁	68-9463-B
韁繩 韁绳	68-9500-B
韁绳	68-9500-S
韃 鞑	68-9541-B
韃虜 鞑虏	68-9586-B
韃靼 鞑靼	68-9624-B
韃靼人 鞑靼人	68-9702-B
韃靼海 鞑靼海	68-9759-B
韅	68-9858-S
韅 韅	68-9858-B
韆 千	68-9904-B
韉 鞯	68-9935-B
韋 韦	68-9973-B
韋伯 韦伯	68-10020-B
韋利 韦利	68-10078-B
韋慕庭 韦慕庭	68-10158-B
韋應物 韦应物	68-10237-B
韋斯卡 韦斯卡	68-10301-B
韋格納 韦格纳	68-10359-B
韋氏拼法 韦氏拼法	68-10428-B
韋爾弗雷茲 韦尔弗雷兹	68-10526-B
韋爾瓦 韦尔瓦	68-10642-B
韋科 韦科	68-10691-B
韋達 韦达	68-10728-B
韋馱菩薩 韦驮菩薩	68-10789-B
韌 韧	68-10849-B
韌帶 韧带	68-10915-B
韌性 韧性	68-10957-B
韌皮部 韧皮部	68-11001-B
韌體 韧体	68-11050-B
韍	68-11091-S
韍 韍	68-11091-B
韎	68-11120-S
韎 韎	68-11120-B
韓 韩	68-11169-B
韓信 韩信	68-11197-B
韓元 韩元	68-11248-B
韓国	68-11304-S
韓国 韓国	68-11304-B
韓國 韩国	68-11435-B
韓國人 韩国人	68-11480-B
韓國共和國 韩国共和国	68-11542-B
韓國聯合通訊社 韩国联合通讯社	68-11638-B
韓國銀行 韩国银行	68-11762-B
韓圓 韩圆	68-11832-B
韓城 韩城	68-11896-B
韓城市 韩城市	68-11967-B
韓城縣 韩城县	68-12038-B
韓復榘 韩复矩	68-12112-B
韓愈 韩愈	68-12175-B
韓愛晶 韩爱晶	68-12224-B
韓戰 韩战	68-12287-B
韓文 韩文	68-12332-B
韓方 韩方	68-12381-B
韓日 韩日	68-12431-B
韓朝 韩朝	68-12479-B
韓村樂 韩村乐	68-12562-B
韓江 韩江	68-12636-B
韓素音 韩素音	68-12698-B
韓聯社 韩联社	68-12751-B
韓語 韩语	68-12830-B
韓邦慶 韩邦庆	68-12911-B
韓非 韩非	68-12982-B
韓非子 韩非子	68-13023-B
韔	68-13129-S
韔 韔	68-13129-B
韖	68-13161-S
韖 韖	68-13161-B
韘	68-13187-S
韘 韘	68-13187-B
韙 韪	68-13229-B
韜 韬	68-13265-B
韜光養晦 韬光养晦	68-13305-B
韝	68-13500-S
韝 韝	68-13500-B
韞 韫	68-13541-B
韡	68-13571-S
韡 韡	68-13571-B
韣	68-13602-S
韣 韣	68-13602-B
韦	68-9973-S
韦伯	68-10020-S
韦利	68-10078-S
韦尔弗雷兹	68-10526-S
韦尔瓦	68-10642-S
韦应物	68-10237-S
韦慕庭	68-10158-S
韦斯卡	68-10301-S
韦格纳	68-10359-S
韦氏拼法	68-10428-S
韦科	68-10691-S
韦达	68-10728-S
韦驮菩薩	68-10789-S
韧	68-10849-S
韧体	68-11050-S
韧带	68-10915-S
韧性	68-10957-S
韧皮部	68-11001-S
韩	68-11169-S
韩信	68-11197-S
韩元	68-11248-S
韩国	68-11435-S
韩国人	68-11480-S
韩国共和国	68-11542-S
韩国联合通讯社	68-11638-S
韩国银行	68-11762-S
韩圆	68-11832-S
韩城	68-11896-S
韩城县	68-12038-S
韩城市	68-11967-S
韩复矩	68-12112-S
韩愈	68-12175-S
韩战	68-12287-S
韩文	68-12332-S
韩方	68-12381-S
韩日	68-12431-S
韩朝	68-12479-S
韩村乐	68-12562-S
韩江	68-12636-S
韩爱晶	68-12224-S
韩素音	68-12698-S
韩联社	68-12751-S
韩语	68-12830-S
韩邦庆	68-12911-S
韩非	68-12982-S
韩非子	68-13023-S
韪	68-13229-S
韫	68-13541-S
韬	68-13265-S
韬光养晦	68-13305-S
韭	68-13632-S
韭 韭	68-13632-B
韭菜	68-13659-S
韭菜 韭菜	68-13659-B
韭菜花	68-13711-S
韭菜花 韭菜花	68-13711-B
韱	68-13781-S
韱 韱	68-13781-B
音	68-13825-S
音 音	68-13825-B
音义	68-15331-S
音乐	68-14264-S
音乐会	68-14477-S
音乐光碟	68-14303-S
音乐学	68-14369-S
音乐家	68-14424-S
音乐节	68-14529-S
音乐院	68-14588-S
音位	68-13864-S
音位 音位	68-13864-B
音信	68-13905-S
音信 音信	68-13905-B
音像	68-13946-S
音像 音像	68-13946-B
音叉	68-13996-S
音叉 音叉	68-13996-B
音变	68-15697-S
音响	68-16177-S
音响效果	68-16290-S
音响设备	68-16362-S
音带	68-14041-S
音帶 音带	68-14041-B
音律	68-14085-S
音律 音律	68-14085-B
音拴	68-14136-S
音拴 音拴	68-14136-B
音效	68-14217-S
音效 音效	68-14217-B
音标	68-14660-S
音樂 音乐	68-14264-B
音樂光碟 音乐光碟	68-14303-B
音樂學 音乐学	68-14369-B
音樂家 音乐家	68-14424-B
音樂會 音乐会	68-14477-B
音樂節 音乐节	68-14529-B
音樂院 音乐院	68-14588-B
音標 音标	68-14660-B
音步	68-14710-S
音步 音步	68-14710-B
音波	68-14787-S
音波 音波	68-14787-B
音程	68-14830-S
音程 音程	68-14830-B
音符	68-14882-S
音符 音符	68-14882-B
音管	68-14995-S
音管 音管	68-14995-B
音箱	68-15045-S
音箱 音箱	68-15045-B
音節 音节	68-15132-B
音節體 音节体	68-15174-B
音級 音级	68-15233-B
音素	68-15291-S
音素 音素	68-15291-B
音级	68-15233-S
音義 音义	68-15331-B
音耗	68-15381-S
音耗 音耗	68-15381-B
音色	68-15422-S
音色 音色	68-15422-B
音节	68-15132-S
音节体	68-15174-S
音調 音调	68-15478-B
音譯 音译	68-15517-B
音讀 音读	68-15624-B
音變 音变	68-15697-B
音译	68-15517-S
音读	68-15624-S
音调	68-15478-S
音質 音质	68-15747-B
音质	68-15747-S
音速	68-15806-S
音速 音速	68-15806-B
音量	68-15853-S
音量 音量	68-15853-B
音長 音长	68-15901-B
音长	68-15901-S
音阶	68-15976-S
音階 音阶	68-15976-B
音韵	68-16023-S
音韵学	68-16077-S
音韻 音韵	68-16023-B
音韻學 音韵学	68-16077-B
音響 音响	68-16177-B
音響效果 音响效果	68-16290-B
音響設備 音响设备	68-16362-B
音頻設備 音频设备	68-16442-B
音频设备	68-16442-S
音高	68-16531-S
音高 音高	68-16531-B
韵	68-17078-S
韵书	68-17534-S
韵事	68-17162-S
韵味	68-17243-S
韵头	68-18585-S
韵尾	68-17332-S
韵律	68-17418-S
韵文	68-17495-S
韵母	68-17732-S
韵白	68-17980-S
韵目	68-18068-S
韵脚	68-18245-S
韵腹	68-18321-S
韵致	68-18192-S,68-18377-S
韵诗	68-18430-S
韵语	68-18477-S
韵调	68-18525-S
韶	68-16583-S
韶 韶	68-16583-B
韶关	68-16712-S
韶关地区	68-16791-S
韶关市	68-16879-S
韶山	68-16648-S
韶山 韶山	68-16648-B
韶關 韶关	68-16712-B
韶關地區 韶关地区	68-16791-B
韶關市 韶关市	68-16879-B
韹	68-16978-S
韹 韹	68-16978-B
韺	68-17025-S
韺 韺	68-17025-B
韻 韵	68-17078-B
韻事 韵事	68-17162-B
韻味 韵味	68-17243-B
韻尾 韵尾	68-17332-B
韻律 韵律	68-17418-B
韻文 韵文	68-17495-B
韻書 韵书	68-17534-B
韻母 韵母	68-17732-B
韻白 韵白	68-17980-B
韻目 韵目	68-18068-B
韻緻 韵致	68-18192-B
韻腳 韵脚	68-18245-B
韻腹 韵腹	68-18321-B
韻致 韵致	68-18377-B
韻詩 韵诗	68-18430-B
韻語 韵语	68-18477-B
韻調 韵调	68-18525-B
韻頭 韵头	68-18585-B
響 响	68-18669-B
響亮 响亮	68-18753-B
響叮噹 响叮当	68-18816-B
響噹噹 响当当	68-18904-B
響應 响应	68-18986-B
響應時間 响应时间	68-19040-B
響水 响水	68-19113-B
響聲 响声	68-19182-B
響音 响音	68-19225-B
頀	68-19269-S
頀 頀	68-19269-B
頁 页	68-19296-B
頁岩 页岩	68-19327-B
頁底 页底	68-19365-B
頁心 页心	68-19419-B
頁碼 页码	68-19461-B
頁蒿 页蒿	68-19504-B
頁邊 页边	68-19544-B
頁面 页面	68-19584-B
頁首 页首	68-19631-B
頂 顶	68-19696-B
頂事 顶事	68-19789-B
頂住 顶住	68-19838-B
頂呱呱 顶呱呱	68-19900-B
頂多 顶多	68-19974-B
頂夸克 顶夸克	68-20024-B
頂尖 顶尖	68-20086-B
頂尖級 顶尖级	68-20212-B
頂層 顶层	68-20284-B
頂峰 顶峰	68-20351-B
頂撞 顶撞	68-20398-B
頂替 顶替	68-20446-B
頂架 顶架	68-20490-B
頂樑柱 顶梁柱	68-20530-B
頂用 顶用	68-20593-B
頂端 顶端	68-20641-B
頂級 顶级	68-20688-B
頂葉 顶叶	68-20731-B
頂輪 顶轮	68-20778-B
頂針 顶针	68-20836-B
頂風 顶风	68-20879-B
頂骨 顶骨	68-20975-B
頂點 顶点	68-21041-B
頃 顷	68-21088-B
頃刻間 顷刻间	68-21232-B
頄	68-21291-S
頄 頄	68-21291-B
項 项	68-21323-B
項城 项城	68-21418-B
項城市 项城市	68-21502-B
項目 项目	68-21597-B
項羽 项羽	68-21657-B
項英 项英	68-21726-B
項鏈 项链	68-21785-B
項頸 项颈	68-21832-B
順 顺	68-21881-B
順便 顺便	68-21968-B
順其自然 顺其自然	68-22053-B
順利 顺利	68-22173-B
順勢 顺势	68-22231-B
順勢療法 顺势疗法	68-22360-B
順化 顺化	68-22450-B
順口 顺口	68-22488-B
順口溜 顺口溜	68-22611-B
順和 顺和	68-22717-B
順嘴 顺嘴	68-22764-B
順嘴兒 顺嘴儿	68-22887-B
順坦 顺坦	68-23019-B
順城 顺城	68-23076-B
順城區 顺城区	68-23166-B
順境 顺境	68-23266-B
順導 顺导	68-23325-B
順差 顺差	68-23429-B
順帶 顺带	68-23489-B
順序 顺序	68-23579-B
順序數 顺序数	68-23627-B
順延 顺延	68-23686-B
順式 顺式	68-23749-B
順從 顺从	68-23819-B
順德 顺德	68-23883-B
順心 顺心	68-23947-B
順意 顺意	68-24000-B
順應 顺应	68-24052-B
順應不良 顺应不良	68-24149-B
順應天時 顺应天时	68-24243-B
順我者昌逆我者亡 顺我者昌逆我者亡	68-24374-B
順手 顺手	68-24499-B
順手兒 顺手儿	68-24576-B
順手牽羊 顺手牵羊	68-24662-B
順敘 顺叙	68-24860-B
順昌 顺昌	68-24917-B
順時針 顺时针	68-24985-B
順暢 顺畅	68-25041-B
順服 顺服	68-25106-B
順次 顺次	68-25152-B
順民 顺民	68-25213-B
順氣 顺气	68-25285-B
順水 顺水	68-25332-B
順水人情 顺水人情	68-25384-B
順水推舟 顺水推舟	68-25473-B
順水推船 顺水推船	68-25632-B
順治 顺治	68-25792-B
順治帝 顺治帝	68-25873-B
順溜 顺溜	68-25951-B
順潮 顺潮	68-26004-B
順理成章 顺理成章	68-26054-B
順當 顺当	68-26192-B
順眼 顺眼	68-26235-B
順義 顺义	68-26305-B
順義區 顺义区	68-26368-B
順耳 顺耳	68-26464-B
順著 顺着	68-26517-B
順藤摸瓜 顺藤摸瓜	68-26576-B
順行 顺行	68-26705-B
順訪 顺访	68-26795-B
順路 顺路	68-26850-B
順遂 顺遂	68-26932-B
順適 顺适	68-27014-B
順風 顺风	68-27069-B
順風耳 顺风耳	68-27131-B
順風車 顺风车	68-27254-B
順風轉舵 顺风转舵	68-27332-B
頇 顸	68-27463-B
須 须	68-27494-B
須丸 须丸	68-27536-B
須知 须知	68-27583-B
須要 须要	68-27674-B
頊 顼	68-27719-B
頌 颂	68-27756-B
頌揚 颂扬	68-27789-B
頌歌 颂歌	68-27846-B
頌聲載道 颂声载道	68-27885-B
頌詞 颂词	68-28026-B
頌贊 颂赞	68-28063-B
頍	68-28107-S
頍 頍	68-28107-B
頎 颀	68-28146-B
頏 颃	68-28172-B
預 预	68-28204-B
預付 预付	68-28269-B
預估 预估	68-28315-B
預備 预备	68-28392-B
預備知識 预备知识	68-28473-B
預兆 预兆	68-28560-B
預先 预先	68-28615-B
預卜 预卜	68-28665-B
預后 预后	68-28713-B
預告 预告	68-28770-B
預報 预报	68-28824-B
預定 预定	68-28865-B
預想 预想	68-28918-B
預感 预感	68-28970-B
預應力 预应力	68-29014-B
預扣 预扣	68-29069-B
預提 预提	68-29113-B
預收費 预收费	68-29174-B
預料 预料	68-29229-B
預期 预期	68-29273-B
預期推理 预期推理	68-29320-B
預期收入票據 预期收入票据	68-29393-B
預案 预案	68-29499-B
預測 预测	68-29547-B
預演 预演	68-29595-B
預知 预知	68-29668-B
預示 预示	68-29719-B
預祝 预祝	68-29798-B
預科 预科	68-29876-B
預算 预算	68-29939-B
預約 预约	68-29979-B
預習 预习	68-30031-B
預裝 预装	68-30082-B
預見 预见	68-30163-B
預覽 预览	68-30269-B
預言 预言	68-30309-B
預言家 预言家	68-30361-B
預訂 预订	68-30412-B
預計 预计	68-30477-B
預試 预试	68-30540-B
預謀 预谋	68-30581-B
預警 预警	68-30664-B
預警系統 预警系统	68-30719-B
預購 预购	68-30795-B
預賽 预赛	68-30844-B
預選 预选	68-30926-B
預防 预防	68-31003-B
預防措施 预防措施	68-31103-B
頑 顽	68-31193-B
頑劣 顽劣	68-31269-B
頑匪 顽匪	68-31352-B
頑固 顽固	68-31401-B
頑強 顽强	68-31452-B
頑梗 顽梗	68-31512-B
頑症 顽症	68-31567-B
頑皮 顽皮	68-31654-B
頑童 顽童	68-31694-B
頑鈍 顽钝	68-31735-B
頒 颁	68-31807-B
頒佈	68-31874-S
頒佈 頒佈	68-31874-B
頒布 颁布	68-31947-B
頒獎 颁奖	68-32002-B
頒發 颁发	68-32056-B
頒示 颁示	68-32111-B
頒給 颁给	68-32170-B
頒行 颁行	68-32210-B
頒賜 颁赐	68-32266-B
頒賞 颁赏	68-32361-B
頓 顿	68-32433-B
頓悟 顿悟	68-32536-B
頓挫 顿挫	68-32657-B
頓時 顿时	68-32737-B
頓河 顿河	68-32800-B
頓涅斯克 顿涅斯克	68-32842-B
頓涅茨克 顿涅茨克	68-32924-B
頓號 顿号	68-32985-B
頓足 顿足	68-33091-B
頖	68-33142-S
頖 頖	68-33142-B
頗 颇	68-33173-B
頗為 颇为	68-33263-B
領 领	68-33308-B
領事 领事	68-33362-B
領事館 领事馆	68-33403-B
領先 领先	68-33459-B
領先地位 领先地位	68-33517-B
領取 领取	68-33592-B
領受 领受	68-33642-B
領土 领土	68-33687-B
領土完整 领土完整	68-33730-B
領地 领地	68-33809-B
領域 领域	68-33852-B
領子 领子	68-33920-B
領導 领导	68-33965-B
領導人 领导人	68-34038-B
領導層 领导层	68-34090-B
領導權 领导权	68-34180-B
領導者 领导者	68-34247-B
領導能力 领导能力	68-34299-B
領巾 领巾	68-34366-B
領帶 领带	68-34422-B
領悟 领悟	68-34465-B
領情 领情	68-34526-B
領收 领收	68-34605-B
領會 领会	68-34671-B
領洗 领洗	68-34733-B
領海 领海	68-34774-B
領獎 领奖	68-34827-B
領略 领略	68-34896-B
領空 领空	68-34975-B
領袖 领袖	68-35032-B
領路 领路	68-35073-B
領釦 领扣	68-35122-B
領銜 领衔	68-35170-B
領銜主演 领衔主演	68-35284-B
領隊 领队	68-35377-B
領養 领养	68-35471-B
領館 领馆	68-35532-B
頜 颌	68-35595-B
頞	68-35637-S
頞 頞	68-35637-B
頠	68-35687-S
頠 頠	68-35687-B
頡 颉	68-35740-B
頤 颐	68-35791-B
頤和園 颐和园	68-35827-B
頦 颏	68-35897-B,68-35923-B
頫	68-35949-S
頫 頫	68-35949-B
頭 头	68-35986-B,68-36138-B
頭份鎮 头份镇	68-36175-B
頭伏 头伏	68-36248-B
頭兒 头儿	68-36324-B
頭兜 头兜	68-36362-B
頭冠 头冠	68-36444-B
頭功 头功	68-36502-B
頭半天 头半天	68-36554-B
頭半天兒 头半天儿	68-36629-B
頭名 头名	68-36720-B
頭向前 头向前	68-36785-B
頭城鎮 头城镇	68-36841-B
頭子 头子	68-36918-B
頭孢菌 头孢菌	68-36966-B
頭孢菌素 头孢菌素	68-37051-B
頭寸 头寸	68-37146-B
頭屋鄉 头屋乡	68-37192-B
頭巾 头巾	68-37267-B
頭擋 头挡	68-37365-B
頭文字 头文字	68-37410-B
頭昏 头昏	68-37500-B
頭昏目暈 头昏目晕	68-37562-B
頭昏目眩 头昏目眩	68-37668-B
頭昏眼暈 头昏眼晕	68-37759-B
頭昏眼暗 头昏眼暗	68-37864-B
頭昏眼花 头昏眼花	68-37983-B
頭昏腦悶 头昏脑闷	68-38080-B
頭昏腦眩 头昏脑眩	68-38171-B
頭昏腦脹 头昏脑胀	68-38261-B
頭暈 头晕	68-38341-B
頭條 头条	68-38380-B
頭條新聞 头条新闻	68-38439-B
頭版 头版	68-38504-B
頭獎 头奖	68-38562-B
頭疼 头疼	68-38609-B
頭痛 头痛	68-38652-B
頭皮 头皮	68-38695-B
頭皮屑 头皮屑	68-38733-B
頭盔 头盔	68-38785-B
頭目 头目	68-38825-B
頭等 头等	68-38890-B
頭等艙 头等舱	68-38936-B
頭索類 头索类	68-39037-B
頭緒 头绪	68-39106-B
頭罩 头罩	68-39159-B
頭腦 头脑	68-39211-B
頭腦清楚 头脑清楚	68-39256-B
頭腦發脹 头脑发胀	68-39317-B
頭臉 头脸	68-39398-B
頭臉兒 头脸儿	68-39446-B
頭蓋 头盖	68-39520-B
頭蓋骨 头盖骨	68-39567-B
頭號 头号	68-39624-B
頭號字 头号字	68-39688-B
頭蝨 头虱	68-39764-B
頭角 头角	68-39807-B
頭角崢嶸 头角峥嵘	68-39880-B
頭路 头路	68-40015-B
頭部 头部	68-40059-B
頭里 头里	68-40096-B
頭面 头面	68-40161-B
頭面人物 头面人物	68-40227-B
頭頂 头顶	68-40304-B
頭領 头领	68-40354-B
頭頭 头头	68-40407-B
頭頭是道 头头是道	68-40451-B
頭顱 头颅	68-40524-B
頭骨 头骨	68-40567-B
頭髮 头发	68-40605-B
頭髮鬍子一把抓 头发胡子一把抓	68-40655-B
頯	68-40877-S
頯 頯	68-40877-B
頰 颊	68-40918-B
頲	68-40947-S
頲 頲	68-40947-B
頷 颔	68-40986-B
頸 颈	68-41024-B
頸椎 颈椎	68-41052-B
頸部 颈部	68-41173-B
頸鏈 颈链	68-41232-B
頸項 颈项	68-41279-B
頹 颓	68-41320-B
頹勢 颓势	68-41363-B
頹唐 颓唐	68-41417-B
頹廢 颓废	68-41472-B
頹靡 颓靡	68-41526-B
頻 频	68-41569-B
頻仍 频仍	68-41624-B
頻危物種 频危物种	68-41667-B
頻寬 频宽	68-41742-B
頻帶 频带	68-41802-B
頻度 频度	68-41861-B
頻數 频数	68-41903-B
頻數分佈 频数分布	68-41946-B
頻段 频段	68-42023-B
頻率 频率	68-42085-B
頻率合成 频率合成	68-42127-B
頻率調製 频率调制	68-42202-B
頻繁 频繁	68-42278-B
頻譜 频谱	68-42328-B
頻道 频道	68-42400-B
頻頻 频频	68-42464-B
頼	68-42524-S
頼 頼	68-42524-B
顆 颗	68-42574-B
顆粒 颗粒	68-42624-B
顇	68-42688-S
顇 顇	68-42688-B
顇奴	68-42725-S
顇奴 顇奴	68-42725-B
題 题	68-42769-B
題名 题名	68-42875-B
題字 题字	68-42937-B
題旨 题旨	68-42990-B
題材 题材	68-43047-B
題目 题目	68-43094-B
題簽 题签	68-43145-B
題花 题花	68-43218-B
題解 题解	68-43263-B
題詞 题词	68-43320-B
題跋 题跋	68-43374-B
額 额	68-43443-B
額外 额外	68-43501-B
額敏 额敏	68-43555-B
額比河 额比河	68-43615-B
額濟納旗 额济纳旗	68-43680-B
額爾古納右旗 额尔古纳右旗	68-43759-B
額爾古納左旗 额尔古纳左旗	68-43876-B
額爾金 额尔金	68-43993-B
額爾齊斯河 额尔齐斯河	68-44046-B
額菲爾士 额菲尔士	68-44119-B
額菲爾士峰 额菲尔士峰	68-44225-B
額葉 额叶	68-44318-B
額頭 额头	68-44361-B
額骨 额骨	68-44401-B
顎 颚	68-44455-B
顎裂 颚裂	68-44486-B
顏 颜	68-44545-B
顏料 颜料	68-44597-B
顏真卿 颜真卿	68-44649-B
顏色 颜色	68-44712-B
顏體 颜体	68-44750-B
顑	68-44817-S
顑 顑	68-44817-B
顒	68-44846-S
顒 顒	68-44846-B
顓 颛	68-44886-B
顓頊 颛顼	68-44936-B
顔	68-44979-S
顔 顔	68-44979-B
顕	68-45020-S
顕 顕	68-45020-B
顗	68-45071-S
顗 顗	68-45071-B
願 愿	68-45119-B
願意 愿意	68-45173-B
願意不願意 愿意不愿意	68-45248-B
願望 愿望	68-45341-B
顙 颡	68-45388-B
顛 颠	68-45427-B
顛三倒四 颠三倒四	68-45507-B
顛倒 颠倒	68-45593-B
顛倒過來 颠倒过来	68-45696-B
顛倒黑白 颠倒黑白	68-45759-B
顛峰 颠峰	68-45946-B
顛撲不破 颠扑不破	68-46005-B
顛来倒去 颠来倒去	68-46118-B
顛沛 颠沛	68-46233-B
顛沛流離 颠沛流离	68-46305-B
顛狂 颠狂	68-46444-B
顛簸 颠簸	68-46489-B
顛茄 颠茄	68-46547-B
顛覆 颠覆	68-46619-B
顛覆份子 颠覆分子	68-46718-B
顛覆罪 颠覆罪	68-46789-B
顛踣 颠踣	68-46876-B
顛连 颠连	68-46938-B
顛顛 颠颠	68-46983-B
顛鸞倒鳳 颠鸾倒凤	68-47036-B
顜	68-47121-S
顜 顜	68-47121-B
類 类	68-47160-B
類人猿 类人猿	68-47232-B
類似 类似	68-47285-B
類似點 类似点	68-47335-B
類別 类别	68-47391-B
類固醇 类固醇	68-47448-B
類地行星 类地行星	68-47500-B
類型 类型	68-47575-B
類屬詞典 类属词典	68-47614-B
類推 类推	68-47679-B
類星體 类星体	68-47733-B
