瀺 瀺	40-16945-B
火成 火成	40-21219-B
火成岩	40-21301-S
火成岩 火成岩	40-21301-B
火把	40-21382-S
火把 火把	40-21382-B
火把節 火把节	40-21449-B
火把节	40-21449-S
火星	40-21527-S
火星 火星	40-21527-B
火星人	40-21575-S
火星人 火星人	40-21575-B
火星快車 火星快车	40-21628-B
火星快车	40-21628-S
火枪	40-21807-S
火枪手	40-21915-S
火柱	40-21698-S
火柱 火柱	40-21698-B
火柴	40-21747-S
火柴 火柴	40-21747-B
火树银花	40-21979-S
火槍 火枪	40-21807-B
火槍手 火枪手	40-21915-B
火樹銀花 火树银花	40-21979-B
火湖	40-22068-S
火湖 火湖	40-22068-B
火災 火灾	40-22169-B
火灾	40-22169-S
火炉	40-23306-S
火炬	40-22234-S
火炬 火炬	40-22234-B
火炬手	40-22272-S
火炬手 火炬手	40-22272-B
火炭	40-22359-S
火炭 火炭	40-22359-B
火炮	40-22419-S,40-23616-S
火炮 火炮	40-22419-B
火烈鳥 火烈鸟	40-22473-B
火烈鸟	40-22473-S
火烧	40-22877-S
火烧云	40-23151-S
火烧火燎	40-22924-S
火烧眉毛	40-23030-S
火热	40-22605-S
火焰	40-22677-S
火焰喷射器	40-22527-S
火焰噴射器 火焰喷射器	40-22527-B
火焰山	40-22722-S
火熱 火热	40-22605-B
火燄 火焰	40-22677-B
火燄山 火焰山	40-22722-B
火燒 火烧	40-22877-B
火燒火燎 火烧火燎	40-22924-B
火燒眉毛 火烧眉毛	40-23030-B
火燒雲 火烧云	40-23151-B
火爆	40-23236-S
火爆 火爆	40-23236-B
火爐 火炉	40-23306-B
火牆 火墙	40-23344-B
火狐	40-23388-S
火狐 火狐	40-23388-B
火环	40-23442-S
火環 火环	40-23442-B
火盆	40-23528-S
火盆 火盆	40-23528-B
火石	40-23569-S
火石 火石	40-23569-B
火砲 火炮	40-23616-B
火神	40-23670-S
火神 火神	40-23670-B
火箭	40-23723-S
火箭 火箭	40-23723-B
火箭炮	40-23764-S
火箭炮 火箭炮	40-23764-B
火線 火线	40-23826-B
火线	40-23826-S
火腿	40-23903-S
火腿 火腿	40-23903-B
火舌	40-23940-S
火舌 火舌	40-23940-B
火花	40-23989-S
火花 火花	40-23989-B
火药	40-24140-S
火药味甚浓	40-24183-S
火葬	40-24036-S
火葬 火葬	40-24036-B
火葬场	40-24081-S
火葬場 火葬场	40-24081-B
火藥 火药	40-24140-B
火藥味甚濃 火药味甚浓	40-24183-B
火蜥蜴	40-24308-S
火蜥蜴 火蜥蜴	40-24308-B
火衛一 火卫一	40-24412-B
火警	40-24488-S
火警 火警	40-24488-B
火車 火车	40-24533-B
火車票 火车票	40-24572-B
火車站 火车站	40-24630-B
火車頭 火车头	40-24689-B
火车	40-24533-S
火车头	40-24689-S
火车票	40-24572-S
火车站	40-24630-S
火速	40-24757-S
火速 火速	40-24757-B
火鉗 火钳	40-24823-B
火鍋 火锅	40-24868-B
火钳	40-24823-S
火锅	40-24868-S
火雞 火鸡	40-24924-B
火鶴 火鹤	40-24963-B
火鶴花 火鹤花	40-25055-B
火鸡	40-24924-S
火鹤	40-24963-S
火鹤花	40-25055-S
火龍 火龙	40-25157-B
火龍果 火龙果	40-25204-B
火龙	40-25157-S
火龙果	40-25204-S
灭	39-26260-S
灭亡	39-26327-S
灭度	39-26437-S
灭掉	39-26529-S
灭火	39-26576-S
灭火器	39-26643-S
灭绝	39-26704-S
灭菌	39-26770-S
灯	41-24893-S
灯光	41-24953-S
灯台	41-25742-S
灯塔	41-25012-S
灯柱	41-25056-S
灯泡	41-25099-S
灯火	41-25172-S
灯盏	41-25213-S
灯笼	41-25423-S
灯笼花	41-25466-S
灯管	41-25275-S
灯红酒绿	41-25531-S
灯罩	41-25659-S
灯节	41-25328-S
灰	40-25273-S
灰 灰	40-25273-B
灰塵 灰尘	40-25304-B
灰头土脸	40-26294-S
灰姑娘	40-25343-S
灰姑娘 灰姑娘	40-25343-B
灰尘	40-25304-S
灰岩	40-25432-S
灰岩 灰岩	40-25432-B
灰岩残丘	40-25493-S
灰巖殘丘 灰岩残丘	40-25493-B
灰心	40-25600-S
灰心 灰心	40-25600-B
灰心丧气	40-25659-S
灰心喪氣 灰心丧气	40-25659-B
灰泥	40-25746-S
灰泥 灰泥	40-25746-B
灰烬	40-25841-S
灰熊	40-25793-S
灰熊 灰熊	40-25793-B
灰燼 灰烬	40-25841-B
灰猎犬	40-25880-S
灰獵犬 灰猎犬	40-25880-B
灰白	40-25935-S
灰白 灰白	40-25935-B
灰白色	40-25988-S
灰白色 灰白色	40-25988-B
灰色	40-26040-S
灰色 灰色	40-26040-B
灰赤杨	40-26125-S
灰赤楊 灰赤杨	40-26125-B
灰領 灰领	40-26211-B
灰頭土臉 灰头土脸	40-26294-B
灰领	40-26211-S
灴	40-26387-S
灴 灴	40-26387-B
灵	67-50485-S
灵丘	67-50569-S
灵丘县	67-50633-S
灵位	67-50715-S
灵光	67-50765-S
灵利	67-50890-S
灵台	67-50950-S
灵命	67-51013-S
灵堂	67-51083-S
灵妙	67-51210-S
灵宝	67-51265-S
灵寿	67-51145-S
灵山	67-51327-S
灵川	67-51394-S
灵巧	67-51463-S
灵快	67-51504-S
灵性	67-51551-S
灵怪	67-51603-S
灵感	67-51656-S
灵敏	67-51767-S
灵敏度	67-51811-S
灵机	67-52023-S
灵机一动	67-52093-S
灵柩	67-51878-S
灵棺	67-51939-S
灵武	67-52247-S
灵气	67-52310-S
灵泛	67-52407-S
灵活	67-52454-S
灵活性	67-52510-S
灵渠	67-52568-S
灵猫	67-53068-S
灵猫类	67-53178-S
灵璧	67-52646-S
灵界	67-52707-S
灵的世界	67-52757-S
灵石	67-52824-S
灵符	67-52888-S
灵芝	67-52939-S
灵语	67-53010-S
灵长目	67-53299-S
灵长类	67-53372-S
灵长类动物	67-53447-S
灵验	67-53525-S
灵魂	67-53590-S
灶	40-26418-S
灶 灶	40-26418-B
灶君	40-26462-S
灶君 灶君	40-26462-B
灶王	40-26503-S
灶王 灶王	40-26503-B
灶神	40-26545-S
灶神 灶神	40-26545-B
灶神星	40-26587-S
灶神星 灶神星	40-26587-B
灸	40-26639-S
灸 灸	40-26639-B
灺	40-26671-S
灺 灺	40-26671-B
灼	40-26705-S
灼 灼	40-26705-B
灼見 灼见	40-26748-B
灼见	40-26748-S
災 灾	40-26799-B
災區 灾区	40-26839-B
災害 灾害	40-26901-B
災害鏈 灾害链	40-26960-B
災後 灾后	40-27057-B
災情 灾情	40-27125-B
災星 灾星	40-27189-B
災殃 灾殃	40-27265-B
災民 灾民	40-27308-B
災禍 灾祸	40-27364-B
災荒 灾荒	40-27406-B
災變 灾变	40-27465-B
災變說 灾变说	40-27530-B
災變論 灾变论	40-27683-B
災難 灾难	40-27836-B
災難性 灾难性	40-27890-B
灾	40-26799-S
灾区	40-26839-S
灾变	40-27465-S
灾变论	40-27683-S
灾变说	40-27530-S
灾后	40-27057-S
灾害	40-26901-S
灾害链	40-26960-S
灾情	40-27125-S
灾星	40-27189-S
灾殃	40-27265-S
灾民	40-27308-S
灾祸	40-27364-S
灾荒	40-27406-S
灾难	40-27836-S
灾难性	40-27890-S
灿	41-32943-S
灿烂	41-33012-S
灿烂多彩	41-33075-S
灿若繁星	41-33166-S
炀	41-10487-S
炁	40-27948-S
炁 炁	40-27948-B
炅	40-27988-S
炅 炅	40-27988-B
炉	41-35434-S
炉子	41-35473-S
炉床	41-35522-S
炉架	41-35564-S
炉火	41-35602-S
炉灶	41-35654-S
炉边	41-35692-S
炉霍	41-35734-S
炊	40-28022-S
炊 炊	40-28022-B
炊事员	40-28078-S
炊事員 炊事员	40-28078-B
炊具	40-28144-S
炊具 炊具	40-28144-B
炎	40-28190-S
炎 炎	40-28190-B
炎夏	40-28237-S
炎夏 炎夏	40-28237-B
炎帝	40-28298-S
炎帝 炎帝	40-28298-B
炎帝陵	40-28344-S
炎帝陵 炎帝陵	40-28344-B
炎性	40-28427-S
炎性 炎性	40-28427-B
炎性反应	40-28485-S
炎性反應 炎性反应	40-28485-B
炎炎	40-28564-S
炎炎 炎炎	40-28564-B
炎热	40-28607-S
炎熱 炎热	40-28607-B
炎症	40-28677-S
炎症 炎症	40-28677-B
炎陵县	40-28725-S
炎陵縣 炎陵县	40-28725-B
炎黃子孫 炎黄子孙	40-28804-B
炎黄子孙	40-28804-S
炒	40-28927-S
炒 炒	40-28927-B
炒米粉	40-28977-S
炒米粉 炒米粉	40-28977-B
炒菜	40-29040-S
炒菜 炒菜	40-29040-B
炒菠菜	40-29090-S
炒菠菜 炒菠菜	40-29090-B
炒蛋	40-29153-S
炒蛋 炒蛋	40-29153-B
炒鍋 炒锅	40-29202-B
炒锅	40-29202-S
炒雞蛋 炒鸡蛋	40-29251-B
炒面	40-29419-S
炒飯 炒饭	40-29310-B
炒饭	40-29310-S
炒魷魚 炒鱿鱼	40-29355-B
炒鱿鱼	40-29355-S
炒鸡蛋	40-29251-S
炒麵 炒面	40-29419-B
炔	40-29483-S
炔 炔	40-29483-B
炕	40-29512-S
炕 炕	40-29512-B
炖	40-29563-S,41-25786-S
炖 炖	40-29563-B
炖煌	41-25813-S
炘	40-29597-S
炘 炘	40-29597-B
炙	40-29638-S
炙 炙	40-29638-B
炜	41-1718-S
炝	41-14374-S
炤	40-29666-S
炤 炤	40-29666-B
炫	40-29711-S,56-36232-S
炫 炫	40-29711-B
炫耀	40-29753-S
炫耀 炫耀	40-29753-B
炬	40-29809-S
炬 炬	40-29809-B
炭	40-29836-S
炭 炭	40-29836-B
炭疽	40-29874-S
炭疽 炭疽	40-29874-B
炭疽杆菌	40-29923-S
炭疽桿菌 炭疽杆菌	40-29923-B
炭疽热	40-30018-S
炭疽熱 炭疽热	40-30018-B
炭疽病	40-30068-S
炭疽病 炭疽病	40-30068-B
炭疽菌苗	40-30120-S
炭疽菌苗 炭疽菌苗	40-30120-B
炮	40-30191-S,46-16004-S
炮 炮	40-30191-B
炮兵	40-30236-S
炮兵 炮兵	40-30236-B
炮击	40-30387-S,46-16172-S
炮台	46-16236-S
炮塔	40-30295-S
炮塔 炮塔	40-30295-B
炮弹	40-30338-S
炮彈 炮弹	40-30338-B
炮手	46-16116-S
炮擊 炮击	40-30387-B
炮火	40-30451-S
炮火 炮火	40-30451-B
炮舰	46-16321-S
炮艇	46-16277-S
炮轟 炮轰	40-30510-B
炮轰	40-30510-S,46-16371-S
炮釺 炮钎	40-30563-B
炮钎	40-30563-S
炯	40-30666-S
炯 炯	40-30666-B
炰	40-30703-S
炰 炰	40-30703-B
炱	40-30734-S
炱 炱	40-30734-B
炳	40-30761-S
炳 炳	40-30761-B
炷	40-30810-S
炷 炷	40-30810-B
炸	40-30857-S,40-30891-S
炸 炸	40-30857-B,40-30891-B
炸丸子	40-30921-S
炸丸子 炸丸子	40-30921-B
炸子雞 炸子鸡	40-30996-B
炸子鸡	40-30996-S
炸弹	40-31056-S
炸彈 炸弹	40-31056-B
炸掉	40-31094-S
炸掉 炸掉	40-31094-B
炸死	40-31136-S
炸死 炸死	40-31136-B
炸毁	40-31255-S
炸油餅 炸油饼	40-31194-B
炸油饼	40-31194-S
炸燬 炸毁	40-31255-B
炸糕	40-31326-S
炸糕 炸糕	40-31326-B
炸药	40-31428-S
炸薯条	40-31370-S
炸薯條 炸薯条	40-31370-B
炸藥 炸药	40-31428-B
炸酱面	40-31483-S
炸醬面 炸酱面	40-31483-B
炸雞 炸鸡	40-31544-B
炸鸡	40-31544-S
点	71-37621-S
点交	71-38140-S
点亮	71-38199-S
点儿	71-38290-S
点兵	71-38347-S
点击	71-39574-S
点击一个链接	71-39680-S
点化	71-38410-S
点卯	71-38522-S
点发	71-40830-S
点号	71-41871-S
点名	71-38574-S
点名册	71-38685-S
点头	71-42788-S
点头咂嘴	71-42826-S
点头哈腰	71-42951-S
点头招呼	71-43083-S
点子	71-38769-S
点字	71-38896-S
点字机	71-38973-S
点对点	71-39211-S
点射	71-39035-S
点将	71-39111-S
点心	71-39292-S
点拨	71-39389-S
点播	71-39458-S
点收	71-39788-S
点数	71-39850-S
点明	71-39916-S
点染	71-39964-S
点检	71-40062-S
点水	71-40140-S
点水不漏	71-40283-S
点滴	71-40432-S
点火	71-40529-S
点点	71-43349-S
点点滴滴	71-43396-S
点燃	71-40652-S
点球	71-40718-S
点画	71-40765-S
点睛	71-40905-S
点睛之笔	71-41034-S
点石成金	71-41263-S
点破	71-41423-S
点票	71-41526-S
点穿	71-41576-S
点窜	71-41661-S
点缀	71-41721-S
点菜	71-41803-S
点补	71-41922-S
点见	71-41986-S
点视	71-42040-S
点视厅	71-42111-S
点评	71-42202-S
点金成铁	71-42276-S
点金石	71-42433-S
点钟	71-42498-S
点铁成金	71-42567-S
点集合	71-42727-S
点题	71-43146-S
点鬼火	71-43262-S
為 为	40-31590-B,40-31708-B
為主 为主	40-31748-B
為了 为了	40-31828-B
為人 为人	40-31899-B
為人師表 为人师表	40-31955-B
為什麼	40-32055-S
為什麼 為什麼	40-32055-B
為仁不富 为仁不富	40-32129-B
為何 为何	40-32224-B
為例 为例	40-32260-B
為富不仁 为富不仁	40-32311-B
為所欲為 为所欲为	40-32406-B
為時 为时	40-32484-B
為時過早 为时过早	40-32545-B
為期 为期	40-32619-B
為止 为止	40-32709-B
為此 为此	40-32748-B
為準 为准	40-32865-B
為甚麼 为什么	40-32960-B
為生 为生	40-33025-B
為虎作倀 为虎作伥	40-33077-B
為難 为难	40-33251-B
為非作歹 为非作歹	40-33310-B
為首 为首	40-33458-B
炼	41-71-S
炼丹	41-107-S
炼丹八卦炉	41-173-S
炼之未定	41-327-S
炼乳	41-457-S
炼句	41-539-S
炼字	41-591-S
炼油	41-674-S
炼油厂	41-721-S
炼焦	41-781-S
炼焦炉	41-863-S
炼狱	41-923-S
炼珍	41-966-S
炼金术	41-1019-S
炼金术士	41-1072-S
炼钢	41-1138-S
炼钢厂	41-1186-S
炼铁	41-1245-S
炼铁厂	41-1293-S
炽	41-23156-S
炽烈	41-23190-S
炽热	41-23256-S
炽热火山云	41-23293-S
烁	41-35395-S
烂	41-35858-S
烂崽	41-35981-S
烂污货	41-36042-S
烂泥	41-36102-S
烂漫	41-36139-S
烂熟	41-36226-S
烂熳	41-36290-S
烂糊	41-36377-S
烂舌头	41-36428-S
烂账	41-36503-S
烂醉	41-36565-S
烂醉如泥	41-36627-S
烃	40-42861-S
烃化作用	40-42896-S
烈	40-33510-S
烈 烈	40-33510-B
烈士	40-33564-S
烈士 烈士	40-33564-B
烈士陵	40-33604-S
烈士陵 烈士陵	40-33604-B
烈屿乡	40-33681-S
烈嶼鄉 烈屿乡	40-33681-B
烈度	40-33757-S
烈度 烈度	40-33757-B
烈怒	40-33799-S
烈怒 烈怒	40-33799-B
烈性	40-33844-S
烈性 烈性	40-33844-B
烈日	40-33902-S
烈日 烈日	40-33902-B
烈火	40-33940-S
烈火 烈火	40-33940-B
烈火乾柴 烈火干柴	40-33994-B
烈火干柴	40-33994-S
烈焰	40-34154-S
烈燄 烈焰	40-34154-B
烈酒	40-34201-S
烈酒 烈酒	40-34201-B
烊	40-34257-S
烊 烊	40-34257-B
烋	40-34293-S
烋 烋	40-34293-B
烏 乌	40-34336-B
烏七八糟 乌七八糟	40-34381-B
烏什 乌什	40-34508-B
烏什縣 乌什县	40-34570-B
烏來鄉 乌来乡	40-34639-B
烏倫古河 乌伦古河	40-34714-B
烏倫古湖 乌伦古湖	40-34792-B
烏克蘭 乌克兰	40-34869-B
烏克蘭人 乌克兰人	40-34919-B
烏克麗麗 乌克丽丽	40-34991-B
烏合之眾 乌合之众	40-35095-B
烏坵鄉 乌丘乡	40-35154-B
烏塌菜 乌塌菜	40-35230-B
烏孜別克 乌孜别克	40-35320-B
烏審旗 乌审旗	40-35392-B
烏干達 乌干达	40-35475-B
烏德勒支 乌德勒支	40-35524-B
烏恰 乌恰	40-35584-B
烏恰縣 乌恰县	40-35641-B
烏托邦 乌托邦	40-35710-B
烏拉圭 乌拉圭	40-35761-B
烏拉爾 乌拉尔	40-35811-B
烏拉爾山 乌拉尔山	40-35881-B
烏拉爾山脈 乌拉尔山脉	40-35963-B
烏拉特中旗 乌拉特中旗	40-36042-B
烏拉特前旗 乌拉特前旗	40-36151-B
烏拉特後旗 乌拉特后旗	40-36258-B
烏拜迪 乌拜迪	40-36363-B
烏日鄉 乌日乡	40-36427-B
烏木 乌木	40-36495-B
烏桓 乌桓	40-36532-B
烏桕 乌桕	40-36588-B
烏梁海 乌梁海	40-36649-B
烏欖 乌榄	40-36709-B
烏海 乌海	40-36774-B
烏海市 乌海市	40-36862-B
烏爾 乌尔	40-36961-B
烏爾姆 乌尔姆	40-37037-B
烏爾格 乌尔格	40-37100-B
烏特列支 乌特列支	40-37188-B
烏良哈 乌良哈	40-37249-B
烏茲別克 乌兹别克	40-37308-B
烏茲別克人 乌兹别克人	40-37387-B
烏茲別克斯坦 乌兹别克斯坦	40-37465-B
烏茲別克族 乌兹别克族	40-37549-B
烏藍 乌蓝	40-37635-B
烏蘇 乌苏	40-37677-B
烏蘇裡江 乌苏里江	40-37737-B
烏蘇里斯克 乌苏里斯克	40-37804-B
烏蘭 乌兰	40-38026-B
烏蘭夫 乌兰夫	40-38087-B
烏蘭察布 乌兰察布	40-38148-B
烏蘭察布市 乌兰察布市	40-38251-B
烏蘭巴托 乌兰巴托	40-38365-B
烏蘭浩特 乌兰浩特	40-38466-B
烏西亞 乌西亚	40-38544-B
烏語 乌语	40-38607-B
烏賊 乌贼	40-38653-B
烏里雅蘇台 乌里雅苏台	40-38696-B
烏雞 乌鸡	40-38767-B
烏雲 乌云	40-38812-B
烏飯果 乌饭果	40-38856-B
烏魯克恰提 乌鲁克恰提	40-38909-B
烏魯克恰提縣 乌鲁克恰提县	40-39084-B
烏魯木齊 乌鲁木齐	40-39271-B
烏魯木齊市 乌鲁木齐市	40-39476-B
烏魯汝	40-39692-S
烏魯汝 烏魯汝	40-39692-B
烏鱧 乌鳢	40-39739-B
烏鴉 乌鸦	40-39798-B
烏鴉嘴 乌鸦嘴	40-39840-B
烏鴉座 乌鸦座	40-40061-B
烏鶇 乌鸫	40-40126-B
烏黎雅 乌黎雅	40-40169-B
烏黑色 乌黑色	40-40223-B
烏齊雅 乌齐雅	40-40282-B
烏龍球 乌龙球	40-40345-B
烏龍茶 乌龙茶	40-40398-B
烏龜 乌龟	40-40453-B
烏龜殼 乌龟壳	40-40502-B
烓	40-40559-S
烓 烓	40-40559-B
烔	40-40602-S
烔 烔	40-40602-B
烘	40-40636-S
烘 烘	40-40636-B
烘乾	40-40677-S
烘乾 烘乾	40-40677-B
烘乾机	40-40717-S
烘乾機 烘乾机	40-40717-B
烘云托月	40-41434-S
烘干	40-40775-S
烘干机	40-40828-S
烘幹 烘干	40-40775-B
烘幹機 烘干机	40-40828-B
烘托	40-40878-S
烘托 烘托	40-40878-B
烘染	40-41026-S
烘染 烘染	40-41026-B
烘炉	40-41236-S
烘烤	40-41116-S
烘烤 烘烤	40-41116-B
烘焙	40-41167-S
烘焙 烘焙	40-41167-B
烘爐 烘炉	40-41236-B
烘笼	40-41315-S
烘笼儿	40-41370-S
烘箱	40-41274-S
烘箱 烘箱	40-41274-B
烘籠 烘笼	40-41315-B
烘籠兒 烘笼儿	40-41370-B
烘雲托月 烘云托月	40-41434-B
烙	40-41602-S
烙 烙	40-41602-B
烙印	40-41650-S
烙印 烙印	40-41650-B
烛	41-33560-S
烛光	41-33589-S
烜	40-41711-S
烜 烜	40-41711-B
烝	40-41744-S
烝 烝	40-41744-B
烟	41-1785-S
烟卷儿	41-2342-S
烟台	41-1831-S
烟台地区	41-1905-S
烟台市	41-2001-S
烟叶	41-4065-S
烟囱	41-2086-S
烟圈	41-2128-S
烟尘	41-2173-S
烟幕	41-2236-S
烟径	41-2297-S
烟枪	41-2395-S
烟民	41-2441-S
烟海	41-2482-S
烟消云散	41-2530-S
烟火	41-2626-S
烟灰	41-2684-S
烟灰缸	41-2731-S
烟瘾	41-2784-S
烟碱	41-4475-S
烟缸	41-2853-S
烟花	41-2895-S
烟花债	41-2972-S
烟花场	41-3043-S
烟花女	41-3120-S
烟花寨	41-3197-S
烟花巷	41-3273-S
烟花市	41-3338-S
烟花柳巷	41-3405-S
烟花簿	41-3481-S
烟花粉黛	41-3570-S
烟花缭乱	41-3690-S
烟花行院	41-3769-S
烟花阵	41-3857-S
烟花风月	41-3933-S
烟草	41-4024-S
烟袋	41-4110-S
烟酸	41-4156-S
烟雾	41-4297-S
烟雾剂	41-4357-S
烟霞	41-4259-S
烟鬼	41-4416-S
烤	40-41787-S
烤 烤	40-41787-B
烤房	40-41832-S
烤房 烤房	40-41832-B
烤火	40-41883-S
烤火 烤火	40-41883-B
烤炉	40-42058-S
烤炙	40-41942-S
烤炙 烤炙	40-41942-B
烤烟	40-42006-S
烤煙 烤烟	40-42006-B
烤爐 烤炉	40-42058-B
烤电	40-42463-S
烤盘	40-42101-S
烤盤 烤盘	40-42101-B
烤箱	40-42146-S
烤箱 烤箱	40-42146-B
烤肉	40-42195-S
烤肉 烤肉	40-42195-B
烤肉酱	40-42255-S
烤肉醬 烤肉酱	40-42255-B
烤胡椒香肠	40-42316-S
烤胡椒香腸 烤胡椒香肠	40-42316-B
烤雞 烤鸡	40-42417-B
烤電 烤电	40-42463-B
烤面包	40-42673-S
烤餅 烤饼	40-42590-B
烤饼	40-42590-S
烤鴨 烤鸭	40-42630-B
烤鸡	40-42417-S
烤鸭	40-42630-S
烤麵包 烤面包	40-42673-B
烦	41-9993-S
烦恼	41-10122-S
烦扰	41-10202-S
烦杂	41-10426-S
烦死了	41-10242-S
烦琐	41-10301-S
烦躁	41-10369-S
烦闷	41-10081-S
烧	41-26069-S
烧伤	41-26139-S
烧到	41-26189-S
烧制	41-26272-S
烧包	41-26338-S
烧卖	41-27705-S
烧埋	41-26420-S
烧开	41-27852-S
烧心	41-26476-S
烧掉	41-26519-S
烧杯	41-26595-S
烧死	41-26648-S
烧毁	41-27106-S
烧毛	41-26698-S
烧火	41-26752-S
烧灼	41-26814-S
烧灼感	41-26857-S
烧烤	41-26911-S
烧烤酱	41-26960-S
烧焊	41-27022-S
烧焦	41-27064-S
烧瓶	41-27161-S
烧硬	41-27213-S
烧碱	41-28181-S
烧红	41-27266-S
烧纸	41-27316-S
烧结	41-27406-S
烧腊	41-27480-S
烧茄子	41-27540-S
烧荒	41-27599-S
烧酒	41-27747-S
烧饼	41-27891-S
烧香	41-27955-S
烧香拜佛	41-28007-S
烧高香	41-28099-S
烨	41-23468-S
烩	41-33712-S
烫	41-30416-S
烫伤	41-30468-S
烫发	41-30619-S
烫衣	41-30510-S
烫衣板	41-30561-S
烬	41-34010-S
热	41-17619-S
热中子	41-17689-S
热乎乎	41-17749-S
热传导	41-17804-S
热函	41-17882-S
热切	41-17953-S
热力	41-17993-S
热力学	41-18029-S
热力学温度	41-18086-S
热力学温标	41-18209-S
热卖品	41-21894-S
热处理	41-21487-S
热容	41-18325-S
热对流	41-18375-S
热导	41-18434-S
热尔韦	41-21007-S
热岛	41-18485-S
热岛效应	41-18566-S
热带	41-18678-S
热带雨林	41-18726-S
热带风暴	41-18800-S
热带鱼	41-18870-S
热度	41-18926-S
热得快	41-18969-S
热心	41-19055-S
热忱	41-19148-S
热情	41-19200-S
热成层	41-19343-S
热捧	41-19402-S
热插拔	41-19480-S
热望	41-19535-S
热机	41-19848-S
热核反应堆	41-19575-S
热核武器	41-19656-S
热核聚变反应	41-19742-S
热气	41-19891-S
热气球	41-19933-S
热水	41-19991-S
热水器	41-20034-S
热水澡	41-20090-S
热水瓶	41-20153-S
热水袋	41-20227-S
热河	41-20302-S
热泪	41-20415-S
热泪盈眶	41-20457-S
热浪	41-20371-S
热源	41-20582-S
热潮	41-20627-S
热炒热卖	41-20682-S
热点	41-22917-S
热烈	41-20844-S
热烫	41-20966-S
热焓	41-20895-S
热爱	41-19286-S
热狗	41-21089-S
热电	41-22611-S
热电厂	41-22679-S
热病	41-21129-S
热痉挛	41-21176-S
热线	41-21233-S
热肠	41-21400-S
热能	41-21296-S
热脉冲	41-21341-S
热茶	41-21447-S
热血	41-21559-S
热补	41-21715-S
热衷	41-21648-S
热诚	41-21844-S
热身	41-21958-S
热身赛	41-22007-S
热辐射	41-22067-S
热连球菌	41-22127-S
热那亚	41-22209-S
热量	41-22256-S
热量单位	41-22336-S
热门	41-22418-S
热门货	41-22471-S
