蹡	60-50484-S
躡手躡腳 蹑手蹑脚	60-54450-B
躥 蹿	60-54523-B
躥房越脊 蹿房越脊	60-54554-B
躥貨 蹿货	60-54758-B
躥跳 蹿跳	60-54829-B
躥蹦 蹿蹦	60-54872-B
躥騰 蹿腾	60-54926-B
躦 躜	60-54990-B
躩	60-55021-S
躩 躩	60-55021-B
躪 躏	60-55053-B
身	60-55088-S
身 身	60-55088-B
身上	60-55180-S
身上 身上	60-55180-B
身不由己	60-55228-S
身不由己 身不由己	60-55228-B
身世	60-55348-S
身世 身世	60-55348-B
身亡	60-55414-S
身亡 身亡	60-55414-B
身份	60-55453-S
身份 身份	60-55453-B
身份證 身份证	60-55534-B
身份证	60-55534-S
身体	60-57585-S
身体障害	60-57638-S
身兼	60-55607-S
身兼 身兼	60-55607-B
身分	60-55674-S
身分 身分	60-55674-B
身分證 身分证	60-55773-B
身分证	60-55773-S
身在福中不知福	60-55846-S
身在福中不知福 身在福中不知福	60-55846-B
身处	60-57175-S
身子	60-56035-S
身子 身子	60-56035-B
身子骨	60-56082-S
身子骨 身子骨	60-56082-B
身形	60-56148-S
身形 身形	60-56148-B
身影	60-56207-S
身影 身影	60-56207-B
身心爽快	60-56260-S
身心爽快 身心爽快	60-56260-B
身心障碍	60-56332-S
身心障礙 身心障碍	60-56332-B
身态	60-56400-S
身態 身态	60-56400-B
身手	60-56455-S
身手 身手	60-56455-B
身才	60-56511-S
身才 身才	60-56511-B
身披羽毛	60-56586-S
身披羽毛 身披羽毛	60-56586-B
身敗名裂 身败名裂	60-56650-B
身材	60-56804-S
身材 身材	60-56804-B
身板	60-56879-S
身板 身板	60-56879-B
身板儿	60-56948-S
身板兒 身板儿	60-56948-B
身段	60-57026-S
身段 身段	60-57026-B
身法	60-57097-S
身法 身法	60-57097-B
身處 身处	60-57175-B
身败名裂	60-56650-S
身躯	60-57245-S
身軀 身躯	60-57245-B
身輕如燕 身轻如燕	60-57283-B
身轻如燕	60-57283-S
身边	60-57404-S
身邊 身边	60-57404-B
身長 身长	60-57453-B
身长	60-57453-S
身體 身体	60-57585-B
身體障害 身体障害	60-57638-B
身高	60-57703-S
身高 身高	60-57703-B
躬	60-57757-S
躬 躬	60-57757-B
躭	60-57811-S
躭 躭	60-57811-B
躯	60-58164-S
躯体	60-58301-S
躯壳	60-58240-S
躯干	60-58196-S
躲	60-57871-S
躲 躲	60-57871-B
躲藏	60-57940-S
躲藏 躲藏	60-57940-B
躲避	60-57979-S
躲避 躲避	60-57979-B
躺	60-58028-S
躺 躺	60-58028-B
躺下	60-58074-S
躺下 躺下	60-58074-B
躺椅	60-58120-S
躺椅 躺椅	60-58120-B
軀 躯	60-58164-B
軀幹 躯干	60-58196-B
軀殼 躯壳	60-58240-B
軀體 躯体	60-58301-B
車 车	60-58341-B,60-58436-B
車位 车位	60-58473-B
車前燈 车前灯	60-58563-B
車前草 车前草	60-58619-B
車城鄉 车城乡	60-58693-B
車夫 车夫	60-58774-B
車子 车子	60-58827-B
車展 车展	60-58862-B
車床 车床	60-58907-B
車庫 车库	60-58949-B
車廂 车厢	60-58988-B
車把 车把	60-59032-B
車把式 车把式	60-59080-B
車條 车条	60-59152-B
車水馬龍 车水马龙	60-59203-B
車流 车流	60-59324-B
車爾尼雪夫斯基 车尔尼雪夫斯基	60-59386-B
車牌 车牌	60-59491-B
車票 车票	60-59538-B
車禍 车祸	60-59579-B
車程 车程	60-59639-B
車窗 车窗	60-59718-B
車站 车站	60-59788-B
車胎 车胎	60-59844-B
車臣 车臣	60-59882-B
車行通道 车行通道	60-59925-B
車費 车费	60-59998-B
車身 车身	60-60040-B
車軸草 车轴草	60-60093-B
車輛 车辆	60-60169-B
車輪 车轮	60-60212-B
車轍 车辙	60-60253-B
車速 车速	60-60309-B
車道 车道	60-60355-B
車里雅賓斯克 车里雅宾斯克	60-60401-B
車鈴 车铃	60-60521-B
車錢 车钱	60-60568-B
車間 车间	60-60623-B
車隊 车队	60-60666-B
車馬 车马	60-60715-B
軋 轧	60-60767-B,60-60855-B,60-60901-B
軋場 轧场	60-60939-B
軋染 轧染	60-61028-B
軋染機 轧染机	60-61090-B
軋棉 轧棉	60-61170-B
軋機 轧机	60-61245-B
軋花機 轧花机	60-61296-B
軋製 轧制	60-61349-B
軋道機 轧道机	60-61396-B
軋道車 轧道车	60-61450-B
軋鋼 轧钢	60-61527-B
軋鋼廠 轧钢厂	60-61597-B
軋鋼條 轧钢条	60-61665-B
軋鋼機 轧钢机	60-61723-B
軌 轨	60-61788-B
軌枕 轨枕	60-61833-B
軌範 轨范	60-61879-B
軌距 轨距	60-61931-B
軌跡 轨迹	60-61969-B
軌道 轨道	60-62030-B
軌道艙 轨道舱	60-62124-B
軍 军	60-62198-B
軍事 军事	60-62239-B
軍事力量 军事力量	60-62315-B
軍事化 军事化	60-62406-B
軍事基地 军事基地	60-62465-B
軍事威脅 军事威胁	60-62532-B
軍事學 军事学	60-62603-B
軍事家 军事家	60-62664-B
軍事實力 军事实力	60-62732-B
軍事情報 军事情报	60-62819-B
軍事援助 军事援助	60-62954-B
軍事核大國 军事核大国	60-63023-B
軍事機構 军事机构	60-63110-B
軍事法庭 军事法庭	60-63185-B
軍事演習 军事演习	60-63272-B
軍事科學 军事科学	60-63353-B
軍事職業專業 军事职业专业	60-63424-B
軍事設施 军事设施	60-63536-B
軍事部門 军事部门	60-63614-B
軍人 军人	60-63684-B
軍令狀 军令状	60-63755-B
軍備 军备	60-63818-B
軍備競賽 军备竞赛	60-63877-B
軍刀 军刀	60-63960-B
軍分區 军分区	60-64014-B
軍力 军力	60-64080-B
軍務 军务	60-64127-B
軍區 军区	60-64176-B
軍品出口領導小組 军品出口领导小组	60-64257-B
軍售 军售	60-64395-B
軍國主義 军国主义	60-64440-B
軍團 军团	60-64505-B
軍團桿菌 军团杆菌	60-64552-B
軍團菌病 军团菌病	60-64628-B
軍士 军士	60-64707-B
軍委 军委	60-64749-B
軍委會 军委会	60-64843-B
軍官 军官	60-64970-B
軍情 军情	60-65023-B
軍情五處 军情五处	60-65079-B
軍情六處 军情六处	60-65177-B
軍政 军政	60-65284-B
軍政府 军政府	60-65339-B
軍方 军方	60-65404-B
軍旅 军旅	60-65447-B
軍曹魚 军曹鱼	60-65484-B
軍校 军校	60-65574-B
軍棋 军棋	60-65641-B
軍樂隊 军乐队	60-65691-B
軍機 军机	60-65746-B
軍機處 军机处	60-65846-B
軍民 军民	61-0-B
軍法 军法	61-81-B
軍港 军港	61-125-B
軍演 军演	61-181-B
軍火 军火	61-233-B
軍火庫 军火库	61-290-B
軍營 军营	61-341-B
軍用 军用	61-394-B
軍艦 军舰	61-468-B
軍裝 军装	61-532-B
軍訓 军训	61-585-B
軍費 军费	61-636-B
軍費開支 军费开支	61-690-B
軍車 军车	61-763-B
軍醫 军医	61-813-B
軍醫院 军医院	61-861-B
軍銜 军衔	61-923-B
軍閥 军阀	61-981-B
軍陣 军阵	61-1043-B
軍隊 军队	61-1094-B
軍需 军需	61-1139-B
軏	61-1189-S
軏 軏	61-1189-B
軒 轩	61-1238-B
軒檻 轩槛	61-1287-B
軒然大波 轩然大波	61-1344-B
軒軒自得 轩轩自得	61-1406-B
軒轅 轩辕	61-1490-B
軒轅氏 轩辕氏	61-1555-B
軔 轫	61-1648-B
軘	61-1676-S
軘 軘	61-1676-B
軛 轭	61-1710-B
軜	61-1744-S
軜 軜	61-1744-B
軝	61-1795-S
軝 軝	61-1795-B
軟 软	61-1828-B
軟件 软件	61-1865-B
軟件企業 软件企业	61-1920-B
軟件包 软件包	61-1992-B
軟件市場 软件市场	61-2055-B
軟件平臺 软件平台	61-2130-B
軟件技術 软件技术	61-2206-B
軟件系統 软件系统	61-2282-B
軟件開發 软件开发	61-2355-B
軟件開發人員 软件开发人员	61-2432-B
軟化 软化	61-2530-B
軟口蓋 软口盖	61-2571-B
軟坐 软坐	61-2634-B
軟席 软席	61-2708-B
軟座 软座	61-2781-B
軟庫 软库	61-2846-B
軟弱 软弱	61-2900-B
軟木 软木	61-2953-B
軟木塞 软木塞	61-2995-B
軟毛 软毛	61-3044-B
軟流圈 软流圈	61-3082-B
軟流層 软流层	61-3149-B
軟玉 软玉	61-3216-B
軟盤 软盘	61-3264-B
軟硬件 软硬件	61-3310-B
軟硬兼施 软硬兼施	61-3379-B
軟碟 软碟	61-3523-B
軟磁盤 软磁盘	61-3569-B
軟磁碟 软磁碟	61-3625-B
軟禁 软禁	61-3681-B
軟脂酸 软脂酸	61-3728-B
軟膏 软膏	61-3796-B
軟臥 软卧	61-3845-B
軟著陸 软着陆	61-3949-B
軟飲 软饮	61-4028-B
軟飲料 软饮料	61-4073-B
軟骨 软骨	61-4130-B
軟骨魚 软骨鱼	61-4173-B
軟骨魚類 软骨鱼类	61-4252-B
軟體 软体	61-4386-B
軟體出版協會 软体出版协会	61-4449-B
軟體動物 软体动物	61-4558-B
軟體業 软体业	61-4630-B
軟體業巨人 软体业巨人	61-4695-B
軟體配送者 软体配送者	61-4774-B
軟齶 软齶	61-4862-B
転	61-4906-S
転 転	61-4906-B
軥	61-4958-S
軥 軥	61-4958-B
軨	61-4992-S
軨 軨	61-4992-B
軫 轸	61-5047-B
軫方 轸方	61-5102-B
軭	61-5156-S
軭 軭	61-5156-B
軱	61-5225-S
軱 軱	61-5225-B
軷	61-5252-S
軷 軷	61-5252-B
軸 轴	61-5283-B
軸承 轴承	61-5316-B
軸突 轴突	61-5373-B
軸突運輸 轴突运输	61-5411-B
軸索 轴索	61-5483-B
軸絲 轴丝	61-5553-B
軸綫 轴线	61-5622-B
軹 轵	61-5677-B
軺 轺	61-5726-B
軻 轲	61-5763-B
軼 轶	61-5806-B
軼事 轶事	61-5857-B
軽	61-5898-S
軽 軽	61-5898-B
軾 轼	61-5949-B
軿	61-5998-S
軿 軿	61-5998-B
輀	61-6054-S
輀 輀	61-6054-B
較 较	61-6082-B
較大 较大	61-6142-B
較好 较好	61-6195-B
較少 较少	61-6236-B
較短絜長 较短絜长	61-6276-B
較量 较量	61-6390-B
較長 较长	61-6465-B
較長絜短 较长絜短	61-6520-B
輅 辂	61-6634-B
輇 辁	61-6663-B
輈	61-6713-S
輈 輈	61-6713-B
載 载	61-6752-B,61-6800-B
載人 载人	61-6892-B
載伯德 载伯德	61-6932-B
載入 载入	61-6989-B
載客 载客	61-7123-B
載客車 载客车	61-7183-B
載客量 载客量	61-7251-B
載彈量 载弹量	61-7314-B
載攜 载携	61-7368-B
載波 载波	61-7418-B
載湉 载湉	61-7463-B
載漪 载漪	61-7546-B
載籍 载籍	61-7597-B
載荷 载荷	61-7660-B
載貨 载货	61-7713-B
載貨汽車 载货汽车	61-7759-B
載途 载途	61-7819-B
載運 载运	61-7903-B
載道 载道	61-7970-B
載重 载重	61-8038-B
載重能力 载重能力	61-8096-B
載重量 载重量	61-8178-B
載頻 载频	61-8267-B
載體 载体	61-8326-B
輊 轾	61-8365-B
輒 辄	61-8423-B
輓	61-8522-S
輓 輓	61-8522-B
輔 辅	61-8644-B
輔仁大學 辅仁大学	61-8699-B
輔以 辅以	61-8801-B
輔助 辅助	61-8868-B
輔助醫療 辅助医疗	61-8918-B
輔導 辅导	61-8995-B
輔導人 辅导人	61-9071-B
輔導員 辅导员	61-9120-B
輔幣 辅币	61-9193-B
輔料 辅料	61-9244-B
輔課 辅课	61-9321-B
輔酶 辅酶	61-9370-B
輔音 辅音	61-9422-B
輔音釋放時間 辅音释放时间	61-9464-B
輕 轻	61-9559-B
輕便 轻便	61-9671-B
輕傷 轻伤	61-9752-B
輕元素 轻元素	61-9819-B
輕咬 轻咬	61-9878-B
輕子 轻子	61-9919-B
輕工業 轻工业	61-9959-B
輕微 轻微	61-10019-B
輕快 轻快	61-10092-B
輕慢 轻慢	61-10193-B
輕打 轻打	61-10238-B
輕捷 轻捷	61-10287-B
輕擊區 轻击区	61-10388-B
輕擊棒 轻击棒	61-10452-B
輕擊球 轻击球	61-10511-B
輕敵 轻敌	61-10599-B
輕易 轻易	61-10659-B
輕染 轻染	61-10714-B
輕柔 轻柔	61-10754-B
輕機槍 轻机枪	61-10808-B
輕機關槍 轻机关枪	61-10872-B
輕水 轻水	61-10981-B
輕水反應堆 轻水反应堆	61-11112-B
輕浪浮薄 轻浪浮薄	61-11207-B
輕浮 轻浮	61-11285-B
輕狂 轻狂	61-11343-B
輕率 轻率	61-11389-B
輕生 轻生	61-11431-B
輕盈 轻盈	61-11492-B
輕省 轻省	61-11582-B
輕看 轻看	61-11630-B
輕而易舉 轻而易举	61-11682-B
輕聲 轻声	61-11759-B
輕脆 轻脆	61-11836-B
輕舉妄動 轻举妄动	61-11979-B
輕蔑 轻蔑	61-12081-B
輕薄 轻薄	61-12123-B
輕視 轻视	61-12186-B
輕言細語 轻言细语	61-12265-B
輕質石油 轻质石油	61-12335-B
輕質石油產品 轻质石油产品	61-12441-B
輕軌 轻轨	61-12575-B
輕輕 轻轻	61-12708-B
輕重 轻重	61-12758-B
輕重主次 轻重主次	61-12846-B
輕重倒置 轻重倒置	61-13058-B
輕重緩急 轻重缓急	61-13271-B
輕量級 轻量级	61-13394-B
輕音樂 轻音乐	61-13474-B
輕風 轻风	61-13531-B
輕飄飄 轻飘飘	61-13584-B
輕鬆 轻松	61-13650-B
輗	61-13700-S
輗 輗	61-13700-B
輙	61-13753-S
輙 輙	61-13753-B
輛 辆	61-13794-B
輜 辎	61-13842-B
輝 辉	61-13879-B
輝南 辉南	61-13917-B
輝南縣 辉南县	61-13982-B
輝煌 辉煌	61-14059-B
輝瑞 辉瑞	61-14112-B
輝石 辉石	61-14183-B
輝綠岩 辉绿岩	61-14266-B
輝縣 辉县	61-14334-B
輝長岩 辉长岩	61-14396-B
輞 辋	61-14457-B
輟 辍	61-14496-B
輟學 辍学	61-14538-B
輟止 辍止	61-14643-B
輟演 辍演	61-14698-B
輟筆 辍笔	61-14783-B
輟食吐餔 辍食吐哺	61-14872-B
輠	61-14954-S
輠 輠	61-14954-B
輤	61-15000-S
輤 輤	61-15000-B
輥 辊	61-15050-B
輦 辇	61-15093-B
輩 辈	61-15135-B
輩出 辈出	61-15192-B
輩分 辈分	61-15253-B
輩子 辈子	61-15351-B
輪 轮	61-15406-B
輪任 轮任	61-15456-B
輪作 轮作	61-15534-B
輪值 轮值	61-15617-B
輪到 轮到	61-15672-B
輪台 轮台	61-15770-B
輪唱 轮唱	61-15834-B
輪回 轮回	61-15889-B
輪子 轮子	61-15962-B
輪廓 轮廓	61-15999-B
輪廓線 轮廓线	61-16054-B
輪換 轮换	61-16121-B
輪椅 轮椅	61-16167-B
輪次 轮次	61-16210-B
輪流 轮流	61-16273-B
輪滑 轮滑	61-16316-B
輪班 轮班	61-16364-B
輪番 轮番	61-16411-B
輪盤 轮盘	61-16470-B
輪胎 轮胎	61-16512-B
輪腳 轮脚	61-16565-B
輪船 轮船	61-16624-B
輪訓 轮训	61-16669-B
輪詢 轮询	61-16723-B
輪軸 轮轴	61-16772-B
輪轂 轮毂	61-16811-B
輪轉機 轮转机	61-16853-B
輪迴 轮迴	61-16913-B
輪齒 轮齿	61-16958-B
輬	61-17021-S
輬 輬	61-17021-B
輮	61-17065-S
輮 輮	61-17065-B
輯 辑	61-17098-B
輳 辏	61-17150-B
輴	61-17194-S
輴 輴	61-17194-B
輵	61-17224-S
輵 輵	61-17224-B
輶	61-17280-S
輶 輶	61-17280-B
輸 输	61-17326-B
輸入 输入	61-17369-B
輸入法 输入法	61-17420-B
輸入設備 输入设备	61-17475-B
輸出 输出	61-17553-B
輸出品 输出品	61-17606-B
輸卵管 输卵管	61-17681-B
輸水管 输水管	61-17750-B
輸沙量 输沙量	61-17816-B
輸油管 输油管	61-17921-B
輸精管 输精管	61-17985-B
輸血 输血	61-18044-B
輸送 输送	61-18120-B
輸送媒介 输送媒介	61-18170-B
輸電 输电	61-18243-B
輹	61-18323-S
輹 輹	61-18323-B
輻 辐	61-18375-B
輻射 辐射	61-18413-B
輻射偵察 辐射侦察	61-18455-B
輻射儀 辐射仪	61-18530-B
輻射分解 辐射分解	61-18588-B
輻射劑量 辐射剂量	61-18653-B
輻射劑量率 辐射剂量率	61-18723-B
輻射場 辐射场	61-18808-B
輻射對稱 辐射对称	61-18869-B
輻射強度 辐射强度	61-18940-B
輻射敏感性 辐射敏感性	61-19015-B
輻射散射 辐射散射	61-19098-B
輻射波 辐射波	61-19173-B
輻射直接效應 辐射直接效应	61-19246-B
輻射能 辐射能	61-19351-B
輻射計 辐射计	61-19425-B
輻射警告標志 辐射警告标志	61-19478-B
輻射防護 辐射防护	61-19581-B
輻條 辐条	61-19656-B
輻照 辐照	61-19703-B
輼	61-19748-S
輼 輼	61-19748-B
輾 辗	61-19789-B
輾轉 辗转	61-19845-B
輿 舆	61-19967-B
輿論 舆论	61-20015-B
輿論界 舆论界	61-20062-B
輿論調查 舆论调查	61-20124-B
轀 辒	61-20192-B
轀車 辒车	61-20221-B
轂 毂	61-20261-B,61-20288-B
轄 辖	61-20322-B
轄制 辖制	61-20438-B
轄區 辖区	61-20482-B
轅 辕	61-20536-B
轆 辘	61-20580-B
轇	61-20610-S
轇 轇	61-20610-B
轉 转	61-20644-B,61-20725-B
轉一趟 转一趟	61-20798-B
轉世 转世	61-20860-B
轉乘 转乘	61-20946-B
轉交 转交	61-21012-B
轉來轉去 转来转去	61-21094-B
轉側 转侧	61-21164-B
轉入 转入	61-21259-B
轉入地下 转入地下	61-21327-B
轉劇 转剧	61-21429-B
轉動 转动	61-21491-B
轉動慣量 转动惯量	61-21545-B
轉化 转化	61-21636-B
轉化糖 转化糖	61-21688-B
轉口 转口	61-21750-B
轉台 转台	61-21792-B
轉向 转向	61-21855-B
轉告 转告	61-21932-B
轉回 转回	61-21996-B
轉圈 转圈	61-22094-B
轉型 转型	61-22183-B
轉基因 转基因	61-22247-B
轉塔 转塔	61-22313-B
轉嫁 转嫁	61-22363-B
轉子 转子	61-22438-B
轉字鎖 转字锁	61-22477-B
轉學 转学	61-22539-B
轉學生 转学生	61-22623-B
轉寄 转寄	61-22697-B
轉寫 转写	61-22753-B
轉導 转导	61-22827-B
轉帳 转帐	61-22875-B
轉幹 转干	61-22951-B
轉引 转引	61-23038-B
轉彎 转弯	61-23104-B
轉彎抹角 转弯抹角	61-23153-B
轉徙 转徙	61-23325-B
轉念 转念	61-23384-B
轉悠 转悠	61-23473-B
轉悲為喜 转悲为喜	61-23554-B
轉戰 转战	61-23652-B
轉戰千里 转战千里	61-23724-B
轉手 转手	61-23897-B
轉托 转托	61-23943-B
轉折 转折	61-24036-B
轉折點 转折点	61-24135-B
轉抵 转抵	61-24211-B
轉捩 转捩	61-24268-B
轉捩點 转捩点	61-24311-B
轉授 转授	61-24372-B
轉接 转接	61-24420-B
轉換 转换	61-24513-B
轉換器 转换器	61-24583-B
轉換斷層 转换断层	61-24650-B
轉播 转播	61-24733-B
轉敗為勝 转败为胜	61-24800-B
轉文 转文	61-24943-B
轉椅 转椅	61-25038-B
轉業 转业	61-25107-B
轉機 转机	61-25197-B
轉正 转正	61-25280-B
轉氨基酶 转氨基酶	61-25365-B
轉氨酶 转氨酶	61-25447-B
轉渾天儀 转浑天仪	61-25513-B
轉爐 转炉	61-25599-B
轉生 转生	61-25676-B
轉產 转产	61-25754-B
轉用 转用	61-25840-B
轉發 转发	61-25910-B
轉盤 转盘	61-25973-B
轉眼 转眼	61-26020-B
轉眼即逝 转眼即逝	61-26099-B
轉矩 转矩	61-26192-B
轉矩臂 转矩臂	61-26233-B
轉磨 转磨	61-26288-B
轉科 转科	61-26340-B
轉租 转租	61-26449-B
轉移 转移	61-26493-B
轉移安置 转移安置	61-26558-B
轉移支付 转移支付	61-26637-B
轉移陣地 转移阵地	61-26804-B
轉筋 转筋	61-26921-B
轉紐 转纽	61-26969-B
轉給 转给	61-27050-B
轉義 转义	61-27099-B
轉而 转而	61-27153-B
轉背 转背	61-27238-B
轉臉 转脸	61-27340-B
轉船 转船	61-27433-B
轉行 转行	61-27488-B
轉角 转角	61-27545-B
轉註 转注	61-27622-B
轉註字 转注字	61-27843-B
轉譯 转译	61-28074-B
轉變 转变	61-28143-B
轉變立場 转变立场	61-28196-B
轉讓 转让	61-28297-B
轉賣 转卖	61-28354-B
轉賬 转账	61-28399-B
轉賬卡 转账卡	61-28481-B
轉贈 转赠	61-28541-B
轉距 转距	61-28598-B
轉身 转身	61-28639-B
轉車 转车	61-28717-B,61-28781-B
轉車台 转车台	61-28828-B
轉軸 转轴	61-28886-B
轉軸兒 转轴儿	61-28939-B
轉載 转载	61-29015-B
轉輪 转轮	61-29109-B
轉輪王 转轮王	61-29198-B
轉輪聖王 转轮圣王	61-29315-B
轉述 转述	61-29445-B
轉送 转送	61-29511-B
轉速 转速	61-29556-B
轉運 转运	61-29640-B
轉道 转道	61-29699-B
轉達 转达	61-29761-B
轉遞 转递	61-29822-B
轉鈴 转铃	61-29876-B
轉鈴兒 转铃儿	61-29946-B
轉錄 转录	61-30022-B
轉門 转门	61-30070-B
轉關係 转关系	61-30120-B
轉面無情 转面无情	61-30250-B
轉韻 转韵	61-30395-B
轉頭 转头	61-30462-B
轉體 转体	61-30606-B
轉鼓 转鼓	61-30679-B
轍 辙	61-30725-B,61-30769-B
轎 轿	61-30801-B
轎夫 轿夫	61-30859-B
轎子 轿子	61-30926-B
轎車 轿车	61-30993-B
轏	61-31120-S
轏 轏	61-31120-B
轑	61-31179-S
轑 轑	61-31179-B
轒	61-31208-S
轒 轒	61-31208-B
轔 辚	61-31242-B
轕	61-31283-S
轕 轕	61-31283-B
轖	61-31324-S
轖 轖	61-31324-B
轗	61-31367-S
轗 轗	61-31367-B
轘	61-31415-S
轘 轘	61-31415-B
轙	61-31475-S
轙 轙	61-31475-B
轝	61-31515-S
轝 轝	61-31515-B
轞	61-31548-S
轞 轞	61-31548-B
轟 轰	61-31606-B
轟動 轰动	61-31686-B
轟擊 轰击	61-31736-B
轟炸 轰炸	61-31777-B
轟炸機 轰炸机	61-31830-B
轟然 轰然	61-31892-B
轟轟烈烈 轰轰烈烈	61-31964-B
轟隆 轰隆	61-32049-B
轡 辔	61-32109-B
轢 轹	61-32144-B
轤 轳	61-32184-B
车	60-58341-S,60-58436-S
车位	60-58473-S
车前灯	60-58563-S
车前草	60-58619-S
车厢	60-58988-S
车城乡	60-58693-S
车夫	60-58774-S
车子	60-58827-S
车尔尼雪夫斯基	60-59386-S
车展	60-58862-S
车床	60-58907-S
车库	60-58949-S
车把	60-59032-S
车把式	60-59080-S
车条	60-59152-S
车水马龙	60-59203-S
车流	60-59324-S
车牌	60-59491-S
车票	60-59538-S
车祸	60-59579-S
车程	60-59639-S
车窗	60-59718-S
车站	60-59788-S
车胎	60-59844-S
车臣	60-59882-S
车行通道	60-59925-S
车费	60-59998-S
车身	60-60040-S
车轮	60-60212-S
车轴草	60-60093-S
车辆	60-60169-S
车辙	60-60253-S
车速	60-60309-S
车道	60-60355-S
车里雅宾斯克	60-60401-S
车钱	60-60568-S
车铃	60-60521-S
车间	60-60623-S
车队	60-60666-S
车马	60-60715-S
轧	60-60767-S,60-60855-S,60-60901-S
轧制	60-61349-S
轧场	60-60939-S
轧机	60-61245-S
轧染	60-61028-S
轧染机	60-61090-S
轧棉	60-61170-S
轧花机	60-61296-S
轧道机	60-61396-S
轧道车	60-61450-S
轧钢	60-61527-S
轧钢厂	60-61597-S
轧钢机	60-61723-S
轧钢条	60-61665-S
轨	60-61788-S
轨枕	60-61833-S
轨范	60-61879-S
轨距	60-61931-S
轨迹	60-61969-S
轨道	60-62030-S
轨道舱	60-62124-S
轩	61-1238-S
轩槛	61-1287-S
轩然大波	61-1344-S
轩轩自得	61-1406-S
轩辕	61-1490-S
轩辕氏	61-1555-S
轫	61-1648-S
转	61-20644-S,61-20725-S
转一趟	61-20798-S
转世	61-20860-S
转业	61-25107-S
转义	61-27099-S
转乘	61-20946-S
转交	61-21012-S
转产	61-25754-S
转体	61-30606-S
转侧	61-21164-S
转入	61-21259-S
转入地下	61-21327-S
转关系	61-30120-S
转写	61-22753-S
转剧	61-21429-S
转动	61-21491-S
转动惯量	61-21545-S
转化	61-21636-S
