观光客	57-41951-S
角質 角质	57-46081-B
角質素 角质素	57-46129-B
角质	57-46081-S
角质素	57-46129-S
角逐	57-46181-S
角逐 角逐	57-46181-B
角速度	57-46246-S
角速度 角速度	57-46246-B
角釘 角钉	57-46306-B
角錐 角锥	57-46347-B
角鐵 角铁	57-46390-B
角钉	57-46306-S
角铁	57-46390-S
角锥	57-46347-S
角門 角门	57-46435-B
角閃石 角闪石	57-46481-B
角门	57-46435-S
角闪石	57-46481-S
角頭 角头	57-46560-B
角頻率 角频率	57-46617-B
角频率	57-46617-S
角鬥 角斗	57-46679-B
角鬥士 角斗士	57-46723-B
角鴞	57-46778-S
角鴞 角鴞	57-46778-B
觔	57-46838-S
觔 觔	57-46838-B
觕	57-46866-S
觕 觕	57-46866-B
觖	57-46894-S
觖 觖	57-46894-B
觚	57-46929-S
觚 觚	57-46929-B
觜	57-46966-S,57-47003-S
觜 觜	57-46966-B,57-47003-B
觝	57-47031-S
觝 觝	57-47031-B
觞	57-54113-S
觡	57-47067-S
觡 觡	57-47067-B
解	57-47102-S,57-47304-S,57-47348-S
解 解	57-47102-B,57-47304-B,57-47348-B
解严	57-48232-S
解乏	57-47382-S
解乏 解乏	57-47382-B
解体	57-53470-S
解僱 解雇	57-47449-B
解免	57-47508-S
解免 解免	57-47508-B
解决	57-50925-S
解决问题	57-51000-S
解冻	57-47585-S
解凍 解冻	57-47585-B
解剖	57-47624-S
解剖 解剖	57-47624-B
解剖学	57-47699-S
解剖學 解剖学	57-47699-B
解剖室	57-47751-S
解剖室 解剖室	57-47751-B
解剖麻雀	57-47813-S
解剖麻雀 解剖麻雀	57-47813-B
解劝	57-47936-S
解勸 解劝	57-47936-B
解压	57-48519-S
解压缩	57-48626-S
解吸	57-47990-S
解吸 解吸	57-47990-B
解和	57-48069-S
解和 解和	57-48069-B
解嘲	57-48138-S
解嘲 解嘲	57-48138-B
解嚴 解严	57-48232-B
解囊	57-48318-S
解囊 解囊	57-48318-B
解围	57-48419-S
解圍 解围	57-48419-B
解壓 解压	57-48519-B
解壓縮 解压缩	57-48626-B
解密	57-48713-S
解密 解密	57-48713-B
解寒	57-48759-S
解寒 解寒	57-48759-B
解开	57-53066-S
解悟	57-48808-S
解悟 解悟	57-48808-B
解悶 解闷	57-48857-B
解惑	57-48935-S
解惑 解惑	57-48935-B
解愁	57-49007-S
解愁 解愁	57-49007-B
解手	57-49063-S
解手 解手	57-49063-B
解扣	57-52813-S
解放	57-49147-S
解放 解放	57-49147-B
解放军	57-49925-S
解放后	57-49449-S
解放巴勒斯坦人民阵线	57-49282-S
解放巴勒斯坦人民陣線 解放巴勒斯坦人民阵线	57-49282-B
解放後 解放后	57-49449-B
解放战争	57-49587-S
解放戰爭 解放战争	57-49587-B
解放日	57-49674-S
解放日 解放日	57-49674-B
解放日報 解放日报	57-49774-B
解放日报	57-49774-S
解放組織 解放组织	57-49846-B
解放组织	57-49846-S
解放軍 解放军	57-49925-B
解放运动	57-50019-S
解放運動 解放运动	57-50019-B
解救	57-50096-S
解救 解救	57-50096-B
解散	57-50189-S
解散 解散	57-50189-B
解析	57-50239-S
解析 解析	57-50239-B
解析几何	57-50532-S
解析几何学	57-50622-S
解析函数	57-50319-S
解析函数论	57-50426-S
解析函數 解析函数	57-50319-B
解析函數論 解析函数论	57-50426-B
解析幾何 解析几何	57-50532-B
解析幾何學 解析几何学	57-50622-B
解毒	57-50723-S
解毒 解毒	57-50723-B
解民倒悬	57-50806-S
解民倒懸 解民倒悬	57-50806-B
解決 解决	57-50925-B
解決問題 解决问题	57-51000-B
解法	57-51070-S
解法 解法	57-51070-B
解深密經 解深密经	57-51152-B
解深密经	57-51152-S
解渴	57-51238-S
解渴 解渴	57-51238-B
解热	57-51277-S
解熱 解热	57-51277-B
解甲	57-51326-S
解甲 解甲	57-51326-B
解甲归田	57-51402-S
解甲歸田 解甲归田	57-51402-B
解疑	57-51524-S
解疑 解疑	57-51524-B
解痛	57-51595-S
解痛 解痛	57-51595-B
解码	57-51655-S
解码器	57-51709-S
解碼 解码	57-51655-B
解碼器 解码器	57-51709-B
解禁	57-51759-S
解禁 解禁	57-51759-B
解离	57-53260-S
解答	57-51814-S
解答 解答	57-51814-B
解职	57-51963-S
解聘	57-51899-S
解聘 解聘	57-51899-B
解職 解职	57-51963-B
解脫 解脱	57-52040-B
解脱	57-52040-S
解药	57-52133-S
解藥 解药	57-52133-B
解說 解说	57-52175-B
解說員 解说员	57-52231-B
解說詞 解说词	57-52289-B
解調 解调	57-52346-B
解謎 解谜	57-52394-B
解讀 解读	57-52446-B
解说	57-52175-S
解说员	57-52231-S
解说词	57-52289-S
解读	57-52446-S
解调	57-52346-S
解谜	57-52394-S
解酲	57-52500-S
解酲 解酲	57-52500-B
解酸药	57-52580-S
解酸藥 解酸药	57-52580-B
解释	57-52654-S
解释执行	57-52734-S
解釋 解释	57-52654-B
解釋執行 解释执行	57-52734-B
解釦 解扣	57-52813-B
解鈴系鈴 解铃系铃	57-52888-B
解铃系铃	57-52888-S
解開 解开	57-53066-B
解闷	57-48857-S
解除	57-53116-S
解除 解除	57-53116-B
解雇	57-47449-S
解離 解离	57-53260-B
解餓 解饿	57-53355-B
解饞 解馋	57-53404-B
解饿	57-53355-S
解馋	57-53404-S
解體 解体	57-53470-B
觥	57-53569-S
觥 觥	57-53569-B
触	57-54216-S
触动	57-54266-S
触发	57-54797-S
触发器	57-54843-S
触发引信	57-54909-S
触发清单	57-54983-S
触怒	57-54375-S
触手	57-54419-S
触技曲	57-54462-S
触控板	57-54512-S
触控点	57-54634-S
触控萤幕	57-54566-S
触摸	57-54719-S
触斗蛮争	57-55397-S
触犯	57-54757-S
触电	57-55279-S
触目惊心	57-55051-S
触礁	57-55131-S
触觉	57-55176-S
触角	57-55230-S
触须	57-55338-S
觩	57-53633-S
觩 觩	57-53633-B
觫	57-53673-S
觫 觫	57-53673-B
觭	57-53712-S
觭 觭	57-53712-B
觯	57-54150-S
觱	57-53767-S
觱 觱	57-53767-B
觱慄 觱栗	57-53806-B
觱栗	57-53806-S
觱篥	57-53924-S
觱篥 觱篥	57-53924-B
觳	57-54042-S
觳 觳	57-54042-B
觴 觞	57-54113-B
觶 觯	57-54150-B
觷	57-54179-S
觷 觷	57-54179-B
觸 触	57-54216-B
觸動 触动	57-54266-B
觸怒 触怒	57-54375-B
觸手 触手	57-54419-B
觸技曲 触技曲	57-54462-B
觸控板 触控板	57-54512-B
觸控螢幕 触控萤幕	57-54566-B
觸控點 触控点	57-54634-B
觸摸 触摸	57-54719-B
觸犯 触犯	57-54757-B
觸發 触发	57-54797-B
觸發器 触发器	57-54843-B
觸發引信 触发引信	57-54909-B
觸發清單 触发清单	57-54983-B
觸目驚心 触目惊心	57-55051-B
觸礁 触礁	57-55131-B
觸覺 触觉	57-55176-B
觸角 触角	57-55230-B
觸電 触电	57-55279-B
觸鬚 触须	57-55338-B
觸鬥蠻爭 触斗蛮争	57-55397-B
觼	57-55562-S
觼 觼	57-55562-B
觾	57-55602-S
觾 觾	57-55602-B
觿	57-55639-S
觿 觿	57-55639-B
言	57-55691-S
言 言	57-55691-B
言外之意	57-55739-S
言外之意 言外之意	57-55739-B
言明	57-55905-S
言明 言明	57-55905-B
言行	57-55956-S
言行 言行	57-55956-B
言詞 言词	57-56040-B
言語 言语	57-56089-B
言語失常症 言语失常症	57-56133-B
言語缺陷 言语缺陷	57-56216-B
言談 言谈	57-56285-B
言論 言论	57-56375-B
言論自由 言论自由	57-56442-B
言论	57-56375-S
言论自由	57-56442-S
言词	57-56040-S
言语	57-56089-S
言语失常症	57-56133-S
言语缺陷	57-56216-S
言谈	57-56285-S
言辞	57-56531-S
言辭 言辞	57-56531-B
訂 订	57-56606-B
訂出 订出	57-56704-B
訂單 订单	57-56822-B
訂單號 订单号	57-56873-B
訂婚 订婚	57-56931-B
訂定 订定	57-56976-B
訂户 订户	57-57086-B
訂房 订房	57-57161-B
訂書機 订书机	57-57214-B
訂正 订正	57-57303-B
訂票 订票	57-57382-B
訂立 订立	57-57450-B
訂製 订制	57-57503-B
訂貨 订货	57-57620-B
訂購 订购	57-57687-B
訂購者 订购者	57-57754-B
訂金 订金	57-57810-B
訂閱 订阅	57-57885-B
訃 讣	57-57932-B
訃告 讣告	57-57969-B
訇	57-58010-S
訇 訇	57-58010-B
計 计	57-58063-B
計劃 计划	57-58148-B
計劃生育 计划生育	57-58220-B
計劃目標 计划目标	57-58315-B
計劃經濟 计划经济	57-58401-B
計提 计提	57-58471-B
計數 计数	57-58560-B
計數器 计数器	57-58611-B
計數法 计数法	57-58670-B
計數率儀 计数率仪	57-58734-B
計數管 计数管	57-58796-B
計數者 计数者	57-58848-B
計時法 计时法	57-58899-B
計生 计生	57-58956-B
計畫 计画	57-59066-B
計票 计票	57-59103-B
計程車 计程车	57-59151-B
計策 计策	57-59214-B
計算 计算	57-59255-B
計算器 计算器	57-59321-B
計算尺 计算尺	57-59404-B
計算數學 计算数学	57-59459-B
計算機 计算机	57-59562-B
計算機制圖 计算机制图	57-59625-B
計算機動畫 计算机动画	57-59707-B
計算機工業 计算机工业	57-59792-B
計算機模式 计算机模式	57-59875-B
計算機模擬 计算机模拟	57-59959-B
計算機比喻 计算机比喻	57-60042-B
計算機科學 计算机科学	57-60123-B
計算機網絡 计算机网络	57-60204-B
計算機輔助設計 计算机辅助设计	57-60287-B
計算機集成制造 计算机集成制造	57-60398-B
計謀 计谋	57-60526-B
計較 计较	57-60576-B
計都 计都	57-60638-B
計量 计量	57-60714-B
計量單位 计量单位	57-60770-B
訊 讯	57-60842-B
訊問 讯问	57-60933-B
訊息 讯息	57-60988-B
訊息傳遞中介 讯息传递中介	57-61065-B
訊息原 讯息原	57-61171-B
訊息處理系統 讯息处理系统	57-61234-B
訊框傳送 讯框传送	57-61337-B
訊框傳送服務 讯框传送服务	57-61409-B
訊框傳送網路 讯框传送网路	57-61509-B
訊框傳送論壇 讯框传送论坛	57-61611-B
訊號 讯号	57-61711-B
討 讨	57-61751-B
討乞 讨乞	57-61825-B
討人嫌 讨人嫌	57-61887-B
討伐 讨伐	57-61956-B
討便宜 讨便宜	57-62015-B
討保 讨保	57-62134-B
討債 讨债	57-62189-B
討價還價 讨价还价	57-62243-B
討厭 讨厌	57-62317-B
討厭鬼 讨厌鬼	57-62406-B
討吃 讨吃	57-62473-B
討好 讨好	57-62522-B
討嫌 讨嫌	57-62673-B
討巧 讨巧	57-62747-B
討平 讨平	57-62854-B
討底 讨底	57-62924-B
討底兒 讨底儿	57-62985-B
討擾 讨扰	57-63086-B
討教 讨教	57-63203-B
討生活 讨生活	57-63266-B
討米 讨米	57-63378-B
討論 讨论	57-63426-B
討論會 讨论会	57-63483-B
討論的議題 讨论的议题	57-63554-B
討賬 讨账	57-63636-B
討還 讨还	57-63716-B
討飯 讨饭	57-63777-B
討饒 讨饶	57-63833-B
訏	57-63906-S
訏 訏	57-63906-B
訐 讦	57-63948-B
訑	57-63981-S
訑 訑	57-63981-B
訒	57-64016-S
訒 訒	57-64016-B
訓 训	57-64053-B
訓令 训令	57-64121-B
訓導職務 训导职务	57-64173-B
訓斥 训斥	57-64271-B
訓民正音 训民正音	57-64353-B
訓獸術 训兽术	57-64499-B
訓練 训练	57-64597-B
訓練營 训练营	57-64661-B
訓練者 训练者	57-64721-B
訓育 训育	57-64774-B
訓詁 训诂	57-64837-B
訓詁學 训诂学	57-64936-B
訓詞 训词	57-65032-B
訓話 训话	57-65087-B
訓誡 训诫	57-65145-B
訓迪 训迪	57-65220-B
訕 讪	57-65282-B
訖 讫	57-65319-B
託 托	57-65349-B
託拉博拉 托拉博拉	57-65430-B
託洛茨基 托洛茨基	57-65525-B
託詞 托词	57-65614-B
記 记	57-65688-B
記不住 记不住	57-65749-B
記事 记事	57-65805-B
記事冊 记事册	57-65873-B
記事本 记事本	57-65944-B
記事簿 记事簿	57-66026-B
記仇 记仇	57-66099-B
記住 记住	57-66149-B
記作 记作	57-66192-B
記傳 记传	57-66253-B
記帳 记帐	57-66309-B
記帳員 记帐员	57-66350-B
記得 记得	57-66407-B
記性 记性	57-66449-B
記憶 记忆	57-66489-B
記憶力 记忆力	57-66545-B
記憶廣度 记忆广度	57-66601-B
記憶體 记忆体	57-66667-B
記為 记为	57-66726-B
記者 记者	57-66769-B
記者報道 记者报道	57-66821-B
記者招待會 记者招待会	57-66888-B
記者會 记者会	57-66971-B
記者無國界 记者无国界	57-67031-B
記者站 记者站	57-67138-B
記號 记号	57-67223-B
記賬 记账	57-67268-B
記起 记起	57-67332-B
記載 记载	57-67370-B
記述 记述	57-67436-B
記錄 记录	58-0-B
記錄員 记录员	58-38-B
記錄器 记录器	58-90-B
記錄片 记录片	58-140-B
訛 讹	58-215-B
訛詐 讹诈	58-254-B
訛謬 讹谬	58-338-B
訝 讶	58-405-B
訟 讼	58-436-B
訢 䜣	58-470-B
訣 诀	58-531-B
訣竅 诀窍	58-582-B
訥 讷	58-655-B
訥河 讷河	58-699-B
訥澀 讷涩	58-762-B
訧	58-822-S
訧 訧	58-822-B
訪 访	58-858-B
訪俄 访俄	58-900-B
訪問 访问	58-945-B
訪問方式 访问方式	58-1019-B
訪問美國 访问美国	58-1090-B
訪問者 访问者	58-1190-B
訪問量 访问量	58-1247-B
訪客 访客	58-1313-B
訪師求學 访师求学	58-1352-B
訪港 访港	58-1444-B
訪華 访华	58-1500-B
訬	58-1546-S
訬 訬	58-1546-B
設 设	58-1576-B
設備 设备	58-1652-B
設在 设在	58-1720-B
設定 设定	58-1796-B
設廠 设厂	58-1878-B
設想 设想	58-1937-B
設施 设施	58-2046-B
設法 设法	58-2103-B
設立 设立	58-2200-B
設置 设置	58-2255-B
設計 设计	58-2309-B
設計師 设计师	58-2371-B
設計程序 设计程序	58-2433-B
設計程式 设计程式	58-2503-B
設計者 设计者	58-2571-B
設防 设防	58-2648-B
許 许	58-2712-B,58-2744-B
許久 许久	58-2811-B
許仙 许仙	58-2868-B
許仲琳 许仲琳	58-2918-B
許信良 许信良	58-3028-B
許厪父 许厪父	58-3088-B
許可 许可	58-3158-B
許可協議 许可协议	58-3208-B
許可證 许可证	58-3268-B
許和 许和	58-3341-B
許多 许多	58-3388-B
許婚 许婚	58-3439-B
許嫁 许嫁	58-3514-B
許字 许字	58-3563-B
許廑父 许廑父	58-3604-B
許慎 许慎	58-3667-B
許旺細胞 许旺细胞	58-3807-B
許昌 许昌	58-3918-B
許昌地區 许昌地区	58-3997-B
許昌市 许昌市	58-4092-B
許親 许亲	58-4182-B
許諾 许诺	58-4244-B
許配 许配	58-4291-B
許願 许愿	58-4365-B
訳	58-4441-S
訳 訳	58-4441-B
訴 诉	58-4510-B
訴求 诉求	58-4549-B
訴苦 诉苦	58-4613-B
訴訟 诉讼	58-4652-B
訴說 诉说	58-4693-B
訶 诃	58-4751-B
訹	58-4804-S
訹 訹	58-4804-B
診 诊	58-4855-B
診所 诊所	58-4905-B
診斷 诊断	58-4946-B
診斷功能 诊断功能	58-5003-B
診治 诊治	58-5082-B
診療 诊疗	58-5138-B
診費 诊费	58-5197-B
註 注	58-5244-B
註冊 注册	58-5275-B
註定 注定	58-5319-B
註腳 注脚	58-5392-B
註解 注解	58-5435-B
註音 注音	58-5547-B
註音字母 注音字母	58-5597-B
註音法 注音法	58-5667-B
証	58-5770-S
証 証	58-5770-B
証券化率 证券化率	58-5800-B
訾	58-5878-S,58-5936-S
訾 訾	58-5878-B,58-5936-B
詀	58-5974-S
詀 詀	58-5974-B
詁 诂	58-6026-B
詅	58-6063-S
詅 詅	58-6063-B
詆 诋	58-6094-B
詆毀 诋毁	58-6133-B
詈	58-6199-S
詈 詈	58-6199-B
詈詞 詈词	58-6232-B
詈词	58-6232-S
詊	58-6276-S
詊 詊	58-6276-B
詎 讵	58-6319-B
詐 诈	58-6366-B
詐冒 诈冒	58-6405-B
詐唬 诈唬	58-6475-B
詐騙 诈骗	58-6544-B
詐騙罪 诈骗罪	58-6613-B
詑	58-6664-S
詑 詑	58-6664-B
詒 诒	58-6692-B
詔 诏	58-6743-B
詔令 诏令	58-6781-B
詔安 诏安	58-6831-B
詔旨 诏旨	58-6894-B
評 评	58-6946-B
評事 评事	58-7045-B
評估 评估	58-7115-B
評價 评价	58-7204-B
評價分類 评价分类	58-7260-B
評判 评判	58-7321-B
評定 评定	58-7392-B
評審 评审	58-7462-B
評斷 评断	58-7530-B
評書 评书	58-7574-B
評比 评比	58-7629-B
評為 评为	58-7690-B
評章 评章	58-7742-B
評註 评注	58-7790-B
評話 评话	58-7862-B
評語 评语	58-7959-B
評說 评说	58-8011-B
評論 评论	58-8063-B
評論家 评论家	58-8141-B
評議會 评议会	58-8202-B
評述 评述	58-8254-B
評選 评选	58-8313-B
評閱 评阅	58-8358-B
評頭論足 评头论足	58-8413-B
評點 评点	58-8630-B
詖	58-8704-S
詖 詖	58-8704-B
詗	58-8746-S
詗 詗	58-8746-B
詘	58-8794-S
詘 詘	58-8794-B
詘 诎	58-8829-B
詛 诅	58-8867-B
詛咒 诅咒	58-8907-B
詝	58-8946-S
詝 詝	58-8946-B
詞 词	58-8975-B
詞令 词令	58-9046-B
詞優效應 词优效应	58-9152-B
詞典 词典	58-9232-B
詞句 词句	58-9331-B
詞尾 词尾	58-9382-B
詞幹啟動 词干启动	58-9421-B
詞序 词序	58-9488-B
詞彙 词汇	58-9530-B
詞彙分解 词汇分解	58-9625-B
詞彙判斷 词汇判断	58-9701-B
詞彙判斷任務 词汇判断任务	58-9773-B
詞彙判斷作業 词汇判断作业	58-9871-B
詞彙判斷法 词汇判断法	58-9969-B
詞彙通路 词汇通路	58-10056-B
詞性 词性	58-10124-B
詞根 词根	58-10178-B
詞條 词条	58-10260-B
詞源 词源	58-10310-B
詞目 词目	58-10368-B
詞相似效應 词相似效应	58-10416-B
詞約指明 词约指明	58-10507-B
詞素 词素	58-10599-B
詞素結構 词素结构	58-10639-B
詞素通達模型 词素通达模型	58-10716-B
詞組 词组	58-10824-B
詞綴 词缀	58-10872-B
詞綴剝除 词缀剥除	58-10961-B
詞義 词义	58-11093-B
詞藻 词藻	58-11142-B
詞語 词语	58-11200-B
詞語彙 词语汇	58-11255-B
詞跟語 词跟语	58-11308-B
詞通達模型 词通达模型	58-11369-B
詞長效應 词长效应	58-11452-B
詞項邏輯 词项逻辑	58-11529-B
詞頭 词头	58-11601-B
詞頻效應 词频效应	58-11640-B
詞類 词类	58-11727-B
詞體 词体	58-11813-B
詠 咏	58-11854-B
詠嘆調 咏叹调	58-11882-B
詠春拳 咏春拳	58-11933-B
詡 诩	58-12033-B
詢 询	58-12078-B
詢問 询问	58-12108-B
詢根問底 询根问底	58-12152-B
詣 诣	58-12294-B
試 试	58-12387-B
試一試 试一试	58-12452-B
試劑 试剂	58-12509-B
試卷 试卷	58-12549-B
試圖 试图	58-12612-B
試場 试场	58-12662-B
試客 试客	58-12707-B
試射 试射	58-12774-B
試探 试探	58-12828-B
試樣 试样	58-12906-B
試煉 试炼	58-12957-B
試爆 试爆	58-13011-B
試用 试用	58-13073-B
試用期 试用期	58-13141-B
試算表 试算表	58-13208-B
試管 试管	58-13266-B
試著 试着	58-13310-B
試行 试行	58-13360-B
試製 试制	58-13413-B
試試看 试试看	58-13522-B
試車 试车	58-13583-B
試金 试金	58-13642-B
試飛員 试飞员	58-13681-B
試驗 试验	58-13737-B
試驗性 试验性	58-13799-B
詨	58-13857-S
詨 詨	58-13857-B
詩 诗	58-13895-B
詩人 诗人	58-13959-B
詩句 诗句	58-14002-B
詩壇 诗坛	58-14040-B
詩意 诗意	58-14101-B
詩書 诗书	58-14140-B
詩歌 诗歌	58-14274-B
詩禮 诗礼	58-14311-B
詩稿 诗稿	58-14438-B
詩篇 诗篇	58-14488-B
詩經 诗经	58-14622-B
詩詞 诗词	58-14680-B
詫 诧	58-14718-B
詫異 诧异	58-14777-B
詬 诟	58-14834-B
詭 诡	58-14880-B
詭異 诡异	58-14913-B
詭祕 诡秘	58-14959-B
詭計 诡计	58-15023-B
詭計多端 诡计多端	58-15062-B
詭詐 诡诈	58-15201-B
詭辯 诡辩	58-15246-B
詭辯家 诡辩家	58-15309-B
詭辯術 诡辩术	58-15399-B
詮 诠	58-15473-B
詮釋 诠释	58-15512-B
詮釋學 诠释学	58-15581-B
詰 诘	58-15639-B
話 话	58-15688-B
話劇 话剧	58-15784-B
話卡 话卡	58-15840-B
話又說回來 话又说回来	58-15897-B
話本 话本	58-15991-B
話語 话语	58-16085-B
話說 话说	58-16150-B
話說回來 话说回来	58-16195-B
話費 话费	58-16278-B
話鋒 话锋	58-16323-B
話題 话题	58-16401-B
該 该	58-16475-B
該亞 该亚	58-16565-B
該應 该应	58-16602-B
該死 该死	58-16643-B
該隱 该隐	58-16704-B
詳 详	58-16759-B
詳和 详和	58-16806-B
詳實 详实	58-16852-B
詳情 详情	58-16928-B
詳略 详略	58-16984-B
詳盡 详尽	58-17049-B
詳盡無遺 详尽无遗	58-17145-B
詳細 详细	58-17220-B
詳述 详述	58-17280-B
詵 诜	58-17323-B
詶	58-17361-S
詶 詶	58-17361-B
詹	58-17425-S
詹 詹	58-17425-B
詹天佑	58-17479-S
詹天佑 詹天佑	58-17479-B
詹姆斯	58-17538-S
詹姆斯 詹姆斯	58-17538-B
詹姆斯・乔伊斯	58-17594-S
詹姆斯・喬伊斯 詹姆斯・乔伊斯	58-17594-B
詹森	58-17702-S
詹森 詹森	58-17702-B
詹江布尔	58-17744-S
詹江布爾 詹江布尔	58-17744-B
詻	58-17837-S
詻 詻	58-17837-B
詼 诙	58-17874-B
詼諧 诙谐	58-17915-B
詿 诖	58-17959-B
誂	58-17997-S
誂 誂	58-17997-B
誃	58-18026-S
誃 誃	58-18026-B
誄 诔	58-18060-B
誅 诛	58-18107-B
誅心之論 诛心之论	58-18177-B
誅戮 诛戮	58-18281-B
誅暴討逆 诛暴讨逆	58-18329-B
誅殺 诛杀	58-18425-B
誅求 诛求	58-18476-B
誅求無厭 诛求无厌	58-18561-B
誅求無已 诛求无已	58-18644-B
誅流 诛流	58-18732-B
誅滅 诛灭	58-18784-B
誅盡殺絕 诛尽杀绝	58-18844-B
誅鋤 诛锄	58-18926-B
誅鋤異己 诛锄异己	58-18993-B
誅除 诛除	58-19103-B
誆 诓	58-19163-B
誆騙 诓骗	58-19206-B
誇 夸	58-19264-B
誇口 夸口	58-19319-B
誇大 夸大	58-19361-B
誇張 夸张	58-19404-B
誇獎 夸奖	58-19484-B
誇耀 夸耀	58-19554-B
誇贊 夸赞	58-19602-B
誉	59-5847-S
誊	58-52337-S
誊写	58-52380-S
誌 志	58-19675-B
認 认	58-19734-B
認人 认人	58-19786-B
認人兒 认人儿	58-19883-B
認作 认作	58-19956-B
認出 认出	58-20041-B
認可 认可	58-20099-B
認同 认同	58-20169-B
認命 认命	58-20232-B
認字 认字	58-20323-B
認定 认定	58-20384-B
認得 认得	58-20576-B
認明 认明	58-20665-B
認死扣兒 认死扣儿	58-20727-B
認死理 认死理	58-20788-B
認死理兒 认死理儿	58-20839-B
認清 认清	58-20927-B
認準 认准	58-20989-B
認為 认为	58-21041-B
認生 认生	58-21114-B
認真 认真	58-21168-B
認知 认知	58-21253-B
認知神經心裡學 认知神经心里学	58-21311-B
認罪 认罪	58-21426-B
認罰 认罚	58-21490-B
認腳 认脚	58-21543-B
認親 认亲	58-21656-B
認證 认证	58-21727-B
認識 认识	58-21789-B
認識不能 认识不能	58-21926-B
認識論 认识论	58-21988-B
認賊作父 认贼作父	58-22059-B
