alto fiddle	3-41081-B
america europe	51-7333-B
america online aol	51-3811-B
america radio	51-2739-S
american	11-20719-S,51-2660-B
american airlines	51-5061-B,51-5136-B
american airways aa	51-2184-B
american bald eagle	51-7437-B
american broadcasting corporation	51-4005-S
american computer scientist at stanford university	70-14738-S
american dancing	27-21018-S
american dollar	51-2061-B
american express co amex	51-5595-B
american federal reserve	51-4778-B
american football	51-6724-B,51-6808-B
american football championship game	60-22475-S,60-22595-S
american ginseng	53-56421-B
american government	51-4123-B
american indian	11-20719-B
american indians	11-20830-B
american interests	48-6390-S
american international group	51-3706-B
american international group aig	11-43498-B
american made	51-8943-B
american novelist	3-2219-S,38-20031-S
american people	51-2939-B,51-3015-S,66-8855-S
american person	51-2939-B
american serviceman	51-5509-B
american states	51-7520-S
american style	51-6676-B
american taiwanese singer	42-33437-S
american virologist	71-16753-S
american war of independence 1775 1783	51-4552-B
americana	41-47890-S,70-48917-S
americana poisonous desert plant of mexico	71-61408-S
americans	3-32275-S
americas	11-20719-S,51-7390-S
americium	64-32404-B
americium am95	65-11517-B
amethyst	49-28838-B,49-28892-B,49-28945-S
amethyst purple crystalline silicon dioxide	49-28585-B
amex	51-5595-S
amiability leads to harmony	13-23795-S
amiability makes you rich	13-23701-S
amiable	12-13471-B,12-16609-B,13-23647-B,13-25095-B,55-35634-B,57-38035-B
amiable and approachable	22-41929-S
amiable as a spring breeze	31-36113-S
amiable disposition	66-43203-B
amiable manner	22-41826-B
amicable	55-35634-B
amid	15-36938-B
amide	63-43808-S
amiens french town	66-10750-B
amin	66-5836-S
aminacrine antiseptic and disinfectant	36-33025-S
amine	52-26300-B
amine involved in local immune responses	49-39108-S
amino	36-33180-B
amino acid	36-33595-B,52-26327-B
amino acids	6-20010-S
amino acids forming cell wall	52-15554-S
amino acids making up protein	52-15811-S
amino group	36-33180-B
amino radical	52-15681-S
amino transferase enzyme	61-25365-B
aminoacridine or aminacrine antiseptic and disinfectant	36-33025-B
aminobenzene	54-1186-B
aminobenzoic acid	36-33346-B
aminopropiophenone	20-51991-S
amis or pangcah	66-10822-B
amiss	2-6288-B,2-14428-B
amitabha	66-2165-B
amitabha buddha	66-2013-B
amitayus	40-62943-B
amithaba	23-52014-B
amman capital of jordan	19-29832-B
ammeter	67-36015-B,67-38364-B
amminadab	27-55739-S
amminadab name	66-10512-B
amminadab son of ram	3-63080-B
ammon	51-14909-S
ammonia	36-32996-B,38-37965-S,66-5012-B
ammonia gas	36-33649-B
ammonite fossil spiral shell	71-2660-B
ammonium	46-38072-B,64-32540-B,64-42962-B
ammonium chloride	36-36050-B
ammonium nitrate	46-23525-B
ammonium sulfate	46-24602-B
ammonium sulfate fertilizer	52-11601-B
ammophila infesta	56-10152-B,56-22089-B
ammunition	10-21901-S,20-12923-S,20-35465-S,23-49960-B,43-24523-S
ammunition and no food left 成语 saw	23-49491-S
ammunition and no hope of reinforcements 成语 saw	23-49352-S
ammunition case	23-49073-B
ammunition dump	23-50004-B
ammunition into gun	56-61155-S
amnesia	6-18509-B
amnesty	17-35719-B,27-41476-S,27-42201-S,41-62202-B
amnesty international	15-16288-B,15-18053-B,15-18128-B,17-35774-B
amniocentesis	51-862-B
amniocentesis used in taiwan	51-120-B
amnion	51-805-B
amniotic fluid	51-70-B,51-805-B
amoeba	59-8222-B,66-10371-B
amoebic dysentery	66-10418-B
amoghasiddhi buddha	2-23068-B
amok 成语 saw	52-20447-S
amomum cardamomum	21-820-S
amon son of manasseh	3-57853-B
among	2-48825-B,3-11016-B,8-3378-B,15-36938-B,43-65182-B,65-46337-B,66-41878-B
among a group	8-47104-S
among brothers	4-57644-S
among ethnic minorities	18-50197-S
among men	37-46398-S
among muslims	27-426-S
among one s contemporaries 成语 saw	12-54851-S
among peers	70-32787-S
among the best	12-54093-S
among the dwarfs	46-1124-S
among the hierarchy	7-27757-S
among the most famous	12-54030-B
among the part	45-28700-S
among the people	36-23351-B
among the yi nationality	43-54690-S
among these	8-3378-S
among winners	12-53008-S
amorous feelings	6-35937-S
amorous glances at	45-36367-S
amorous involvement	18-61064-B
amorphous carbon	40-49824-B
amorphous language	58-11308-B
amos	49-7798-S,66-4948-S
amount	5-14874-S,7-36830-S,8-36743-S,13-33513-S,16-55926-B,16-56076-B,17-37261-S,19-48229-S,19-48635-S,21-62499-S,22-199-S,28-31658-S,30-20699-B,30-23508-B,30-23554-B,30-24280-B,30-24468-B,31-28708-S,38-10364-S,39-41954-S,50-35973-S,58-20384-S,62-65856-S,64-4777-B,64-17606-S,64-22958-S,68-43443-B,71-41986-S
amount of	53-66149-S
amount of books and papers	11-26776-S
amount of fine tuning	62-65111-S
amount of force or pressure	23-43766-B
amount of passenger traffic	19-53459-B
amount or degree	49-54566-S
amount or value	50-36373-S
amount still in store	55-42973-B
amount to	27-8913-B,40-57468-S
amounts to	12-37520-S
amoxicillin	66-11662-B
amp	24-18635-S,24-18725-S
ampere	19-26052-B
ampere measure of apparent power in alternating current circuits	4-53449-S
amperemeter	67-36015-B
amphetamine	19-34240-B
amphibian	7-45986-B
amphibians	7-46071-B
amphibious	7-45891-B
amphibious animal with one horn	55-48392-B
amphibious animals	7-45986-B
amphibious fish	23-47614-S
amphibole silicate rock forming mineral	65-26190-B
ample	6-64150-B,10-47564-B,11-6045-B,20-27603-B,20-28076-B,38-10297-B,39-39786-B,50-11809-B,59-19776-B,59-20875-B
ample experience	49-62752-S
ample flowing robes	57-7081-B
ample food and clothing 成语 saw	59-21826-S
ample time for that later	5-18148-S
amplification	15-67214-S,29-28829-B
amplification in male frogs	51-65443-S
amplifier	29-49173-B,34-58567-S,49-1447-S
amplify	16-26685-S,56-35596-S
amplitude	27-70402-B,37-38415-B
ampoule	19-31130-B
ampullaria gigas spix	47-3227-S
amputate	9-15831-S,9-34283-S,9-43480-B
amputation	26-16467-B
amsterdam	66-702-B
amu darya	66-853-B
amudurexiti chairman of xinjiang autonomous region	65-65731-S
amun	66-11864-B
amur river	17-26572-S,29-14233-S,71-31920-S
amur river the amur river the border between north east china and russia	71-34241-S
amur river the border between north east china and russia	66-10077-S,71-34241-S
amur silvergrass	54-38728-S
amur tiger	33-15680-B
amurense	35-12374-S
amuricus	55-17772-S
amuse	5-13693-B,18-50559-B,62-4279-S,62-4463-S,62-4530-S
amuse oneself	18-60961-S,62-4141-S,62-37323-S,62-37645-S
amusement	18-51293-B,18-60661-B,38-32806-B,42-37776-S
amusement parks and attractions caapa	2-64411-S
amusing	18-29025-B,32-39754-B,39-29129-B,58-46316-B,62-3500-B,62-4279-B
amusing story with strained interpretations of history	26-21428-B
amway	19-24665-B
amygdalin	53-67638-B
amyl alcohol	26-6258-B
amyl nitrite	3-62507-B
amylase	40-2483-B
amylum c6h10o5	40-2427-B
an	1-2028-B,10-55722-S,17-18053-S,17-39445-S,19-22698-S,46-28514-S,47-23836-S,65-13349-S,65-13499-S
an abandoned village	54-17793-B
an abbreviated slogan or catchphrase	1-29511-S
an aberration	60-27669-B
an ability	40-10384-S
an abortion	4-13607-B,4-13718-B,16-30261-S,35-64793-B,38-5082-B
an about turn	5-61576-S
an absolute majority	49-46293-B
an abundance	32-41677-S
an academic subject	13-59025-S
an academician	66-20214-B
an academy	62-13730-S,66-20214-S
an accident	6-44927-S,8-34266-S,17-64360-S,35-56832-S,43-52344-S,50-55018-S
an accident etc	11-59971-S
an accolade	45-6208-B
an accomplice	12-51690-B
an account	9-39578-S,16-10005-S,20-32862-S,32-22101-S,41-5106-S,49-43242-S,58-55549-S,59-61749-S,61-22875-S,64-33781-S
an account bank etc	65-35240-S
an account book	59-61449-B,59-61868-B
an account of	10-38220-S,23-52839-S
an accountant	59-61604-B
an accounts office in former times	59-61604-B
an accusation	8-58683-S,48-21567-S
an acquisition	29-41768-B
an act	56-61444-S
an action	1-18851-B,38-5082-S,60-15864-S
an action in progress	15-33424-S
an action made pointless by changed circumstances	9-14997-S
an action movie	35-46944-B
an action that two people hook each other s pinky fingers to pledge	27-26092-B
an activist	70-28865-B
an activity	4-56870-S
an actor	14-10110-S
an actor in a play	56-60349-S
an actor or actress	55-32370-S
an actor or actress in costume or makeup	26-54795-S
an actor s lines	12-19882-B,53-20766-B
an actor with brocade headband	50-46535-S
an actual example	20-12094-B
an acupoint	43-52442-S,52-41265-B
an acupoint insertion point in acupuncture	52-41335-B
an acupuncture treatment	26-39831-S
an addiction	26-13991-S,44-20985-B
an additional increment	61-56446-B
an additional posthumous title	61-56446-B
an address	12-12519-S
an administrative system organized on basis of households	5-38017-S
an admonition	48-28036-B
an adolescent	67-54404-B
an adult	32-58218-S
an advance	60-3039-S
an advance on one s pay	6-51-S
an advantage	65-10505-S
an aerosol spray	41-4357-B
an affair	26-3809-S,43-65410-S
an affair with sb	3-70225-S
an affectionate person	25-15226-B
an age	22-47192-S,32-59434-S
an agenda	19-30355-S
an agent	4-33720-B
an agreement	10-64495-S,12-44876-S,19-46898-B,21-26204-S,21-26473-S,48-40928-S,50-18671-S,52-18252-S,57-33917-S,57-53116-S,58-31704-S,58-39214-S,60-47142-S,62-53513-S,62-58231-S,62-68298-S
an air gun	36-28548-B
an air of complacency	24-7914-B,24-8132-B
an aircraft carrier	26-20662-S,53-35536-S
an airplane	3-12712-S,60-18976-S
an airvent	28-16753-B,62-10348-B
an alarm e g a burglar or fire alarm	16-12328-B
an algebraic function	4-31109-S
an alias	10-20891-S
an all out effort	7-34365-S,15-61237-S,64-23707-S
an all out effort 成语 saw	45-8143-S
an all rounder	8-6370-B
an allegory	14-23198-B
an allergic reaction	62-45612-B
an alliance	7-25423-S,49-43005-S
an alliance or union	9-58460-S
an allocated task	10-14586-B,10-14710-B
an allowance accounting	6-28714-B
an alms bowl	64-20297-B
an alphabet	19-5599-S
an alternative name of person stressing a moral principle	56-44130-S
an amalgam	56-10531-B
an amateur actor e g in chinese opera	46-63850-B,46-63925-B
an ambassador	17-5524-B
an ambassador of the church	30-2641-B
an ambitious character	34-14949-B
an ambitious strategy	62-62905-B
an amount	28-31658-S,58-20384-S,71-41986-S
an an official position	9-53534-S
an analgesic	35-32942-B
an analogy	14-23198-B
an analogy 	36-10804-S
an analytic function of a complex variable	57-50319-S
an ancestor	7-3805-S
an ancient catapult	55-48092-B
an ancient city	59-26531-S,63-15497-S,63-21573-S,63-24883-S,63-36233-S
an ancient history	29-59183-S
an ancient name of xi an 西安 capital of china during tang dynasty 唐朝	65-13349-S
an ancient one	6-24295-S
an ancient placename	6-49658-B
an ancient river	36-64685-S,63-14773-S
an ancient state	12-9947-S,18-44379-S,18-44813-S,55-55775-S
an ancient temple	24-13282-S
an ancient tribe	36-17876-S
an angle	1-38979-S,1-39063-S,28-20564-S
an animal	12-30629-S,12-30965-S,26-15854-S,28-321-S,52-31970-S,56-18735-B,57-47624-S
an animal by the head	42-716-S
an animal on a tether	41-62775-S
an animal or bike	69-51960-S
an animal or fish	28-5125-S
an animal to go	29-52883-S
an animal to heat by artifial means	6-30959-S
an animal which eats its mother	42-16496-B
an annotated book	44-39498-S
an annual basis	62-2234-S
an annual meeting	70-57411-S
an annular eclipse of the sun	31-10522-B
an anomaly	43-60836-B
an answer	58-4549-S
an anti revolutionary coup	11-56171-B
an aperture	65-11334-S
an apology	59-57779-S,62-51337-S
an apostolic nuncio from the vatican	30-2641-B
an apostrophe punct 	45-33916-B
an appeal	13-19491-B,27-7581-S
an appendix	6-29272-B
an appointed time	17-66034-S
an appointment	11-59582-S,17-66756-S,21-26204-S,28-12015-S,28-32498-S,41-43009-S,49-4840-S,60-47142-S
an appointment to go together with sb	49-4569-B
an appointment with the foreign ambassador	49-7861-B
an appropriate amount of fine tuning	62-65111-B
an arbitrary fashion	42-19370-S
an arch	27-48831-B,47-44771-S,50-62388-S
an arch dam	27-48282-B
an arched roof	27-49243-B
an archeologist	51-32988-B
an archive	65-35963-S
an area	29-30288-S
an area of level country	21-49953-B
an argument	1-64728-S,3-7825-S,30-14214-S,44-13088-S,58-44258-S,58-54885-S,69-46457-S
an arhat buddh 	50-60118-B
an arm to support sb	29-33425-S
an armed criminal	34-44204-B
an armed secret agent squad	9-3302-B
an armlet	64-20143-B
an armor plated battleship	65-3952-B
an army	3-3980-S,8-291-B,23-68324-S,42-1266-S
an army banner	26-18644-B
an army burning with righteous indignation is bound to win 成语 saw	13-31364-B
an army of 400	49-21294-S
an army post	7-544-S
an army unit or the name of its general	31-3456-S
an arrangement or plan	67-23076-S
an arrest	50-18049-B
an arrow 成语 saw	6-44103-S,7-13552-S
an art	58-531-S
an art object	51-8828-B,63-57272-S
an article made of bamboo strips	48-3890-B
an aspiration	57-11235-B
an assertion	66-29978-B
an association	10-64628-B
an association such as a political party	32-24545-S
an assortment	67-3542-B
an assumption	49-49293-B
an atm	28-42947-S
an atom	6-52852-S
an atom determining its chemical properties	6-53313-S
an atrocity	35-62680-B
an attack	27-68512-S,29-48304-S,44-34428-S,50-22650-S,56-39459-B,61-45427-S
an attack and meet it	25-59815-S
an attack esp surprise attack	57-12267-B
an attack or criticism	45-62535-B
an attempt	26-22252-B
an attitude	5-5817-S
an attitude of one s own	42-19607-S
an attractive spectacle	14-9089-B
an attractive woman	4-9911-B,4-10590-B
an auction	26-7624-S,48-316-S
an audience	19-55742-S,39-45624-S,48-4143-S,57-37388-S
an audience with the emperor	57-40782-S,57-40849-S
an audit	57-29327-B
an auger	65-8620-B
an author or artist	4-33145-S
an authorised issue	41-8618-B
an automatic firearm	23-47765-S
an autonomous region	69-22273-S
an autopsy	69-58223-B
an auxiliary word performing the grammatical functions of mood	13-66256-B
an award	42-16766-S,42-16999-B,68-32361-B
an awful condition	1-5398-S
an awkward person	9-12755-B
an awkward position	11-63489-S
an awl	64-43074-S
an awl 成语 saw	59-35994-S,59-36120-S
an awning	12-44089-S
an ax	4-55149-S,29-21528-S
an ax handle you need an ax	4-55149-S,29-21528-S
an axe	64-31213-S
an c 90 bc	4-42869-S
an cause trouble	39-9651-S
an city in fujian	10-69180-S,36-50134-S,47-3496-S
an city in hebei	35-45869-S
an city in heilongjiang	10-30243-S,20-17274-S
an city in zhejiang	42-61822-S
an city prefecture level city in shandong	37-45879-S
an city 吉安市	12-39918-S,12-39991-S,67-53988-S,67-54065-S
an county	12-39429-S
an county county in sichuan	19-32180-S
an county in changchun 長春 长春	61-40262-S,61-40337-S
an county in fuzhou 撫州 抚州	34-47751-S,34-47819-S
an county in hubei	7-58825-S
an county in ji an 吉安	12-39690-S,54-44431-S,54-44493-S
an county in jiujiang 九江	24-24966-S,24-25029-S
an county in qiannan buyei and miao autonomous prefecture 黔南布依族苗族自治州	51-16589-S
an county in shandong	37-46136-S
an county in songyuan 松原	3-24414-S,3-24481-S
an county in yichun 宜春	67-60606-S,67-60671-S
an county in zhejiang	52-57075-S,52-57133-S
an county level city in baicheng 白城	17-14513-S,17-14654-S
an county level city in tonghua 通化	66-57381-S,66-57454-S
an county level city in yichun 宜春	70-13069-S,70-13143-S
an county 興安 兴安	53-24114-S,67-52568-S
an dehai 1869	19-28182-B
an district district in anhui	7-67110-S
an district district in jiangxi	12-39517-S
an district district in shaanxi	23-16751-S
an district district in shandong	37-45957-S
an district district in sichuan	23-11776-S,66-54939-S
an district of liaoyuan city 遼源市 辽源市	57-15540-S,57-15873-S
an district of shenzhen city 深圳市	20-29157-S,20-29232-S
an district of xi an	65-13499-S
an ear to	6-19684-S
an earlier date	28-37621-S
an earlier time	28-39873-S,31-13500-S
an early form of chinese script	43-42180-S,43-42322-S,43-42438-S
an early form of integral calculus	47-57465-S
an early start	7-6464-S
an earthquake	28-53886-S,67-40110-S
an earthwork	16-7311-B
an east wind 成语 saw	12-8147-S
an easy conscience	24-31626-S
an easy drive on a familiar path 成语 saw	69-49464-S
an easy target	67-22389-S
an economy	62-47098-S
an edge	47-31006-S
an edict	62-58609-S
an edition	41-44718-B
an effect	60-16416-S,68-50948-S,68-50948-S
an effective writer	48-15373-B
an effigy	6-5695-B
an effort	9-66621-S,23-42306-S,41-38831-S,44-27398-S
an effort to become strong 成语 saw	44-27477-S
an effortless victory	8-519-S
an egg	43-31462-S
an egg shaped chamber with holes	16-21376-S
an elaborate string of references	50-37150-B
an elderly person on his birthday	27-45332-S
an elderly relative	45-33026-S
an elderly woman	17-13989-S,51-26261-S
an election	2-82879-S,10-4461-S,48-1723-S,54-50821-S
an election campaign	63-181-B
an electric circuit	62-15552-S
an electric device e g a 100 watt light bulb	67-25955-S
an electric saw	67-38544-B
an electric shock	57-55279-S
an electric turntable	67-26323-B,67-38042-B
an electrical lead	23-30179-B
an electrical reactor	67-30847-B
an electricity generating plant	67-33639-B
an electronic device	28-44084-S
an elegy	28-865-B,28-1020-B,28-1075-B
an elegy for use in funeral procession	28-321-B,61-8522-B
an elevator	12-44686-B
an embankment	69-46629-S
an embargo	57-53116-S
an embarrassing situation	21-8794-S,53-20866-S
an emblem	34-52730-B
an embryo can implant in the womb	71-25112-S
an emergency	13-9076-S,24-57268-S,24-59275-S,25-59392-S,28-62535-S,44-2424-S,68-24662-S
an emotion	26-67505-S
an empire	57-28444-S
an employee	27-43642-S
an empress	18-58365-S,44-60199-B
an empty stomach	13-26655-S,47-46636-S,47-49252-B
an empty valley 成语 saw	47-49843-S
an encirclement	57-48419-S
an enclosed carriage for carrying passengers	61-30993-S
an enclosure	47-52975-S
an encoding	3-26987-S
an encounter with a beautiful woman	59-22531-S
an encyclopedic dictionary	44-55617-B
an end	13-9456-S,29-40732-S,29-42299-S,32-51384-S
an end of a meeting	65-27929-S
an end to	23-9040-S,33-9926-S
an endearing term of address to a child	21-2672-S
an ending	29-40582-B
an endless stream	21-50189-S
an enemy	4-21698-B,26-48026-S,54-14773-S,57-34870-S,63-8433-S
an enemy into a friend 成语 saw	10-23974-S
an enemy off guard with a surprise attack 成语 saw	8-35789-S
an enemy soldier 成语 saw	54-14773-S
an enemy 成语 saw	44-6890-S
an engagement	59-62577-S
an engine	6-34223-S,65-37869-S,71-40529-S
an engineering project	21-56432-B
an english language newspaper	2-59385-S
an engraved or etched plate	41-45215-S
an engraved printing plate	8-33198-B,15-27475-B
an enigma	46-20122-S,46-56398-B
an enormous price as first negotiating step	57-27609-S
an enterprise	28-59691-S
an enterprise for a share of the profits	27-19744-S
an enterprise through painstaking efforts	53-67441-S
an entertainment	42-40459-B
an entire journey	7-40567-S
an entire lot	4-59538-S
an entire project as a whole	49-52817-S
an entire set	7-36061-B
an entrance exam	51-32766-S
an entry	59-61805-B,59-62051-B
an entry in online dictionary	50-21787-S
an environment with no oxygen	40-55802-B
an environmental activist	43-4734-B
an environmental indicator	10-23343-S
an environmental think tank	7-39469-S
an envoy	17-5524-B
an envoy of a foreign country to an interview	12-10157-S
an epic	12-22719-B
an epilogue	24-1543-B
an epistle in the bible	32-9831-B
an equal	8-52550-S
an equality	48-18538-B
an equation	3-43605-S,36-54609-S,48-18538-B,57-51814-S
an era	2-37725-B,49-2573-S
an eraser	35-6301-B
an erection	9-65919-S
an errand	5-28478-S
an error	6-15715-S,49-1753-S,58-22541-S
an error of judgement	45-39717-B,58-30556-B
an error of judgment	60-12749-B
an error passed on for a long time may be taken for the truth	47-40710-S
an erudite person	32-10848-S
an eruption	14-37409-B
an escort	59-5426-B
an essay in eight parts	7-52488-B
an essay topic	13-20450-S
an estranged person	62-60192-B
an ethnic group	6-52170-S,51-54296-S,56-4088-S
an ethnic group in guangxi	6-52080-S
an ethnic minority	5-38381-S
an evacuation	63-7865-B
an evening scene	31-65545-B
an event	9-17876-S
an event from beginning to end	32-64546-S
an evil doer	16-34610-B,18-24814-B
an evil practise refers to mencius 孟子	18-38317-S
an evildoer 成语 saw	18-40181-S
an exaggerated opinion of one s own abilities	2-21246-B
an exam	17-70269-S,29-43304-S,51-32161-S,51-32307-S,51-33092-S,51-33143-S,51-33705-S,52-56650-S
an exam for sb else	34-44394-S
an exam or the imperial exam	2-70866-S
an exam paper	51-32718-B
an exam takes place	51-32633-S
an examination	16-11997-S
an examiner	51-33143-B
an example	2-32595-S,22-29463-S,40-32260-S,53-26684-S,59-2224-S
an example of an abbreviated slogan or catchphrase	1-29511-S
an example of sb by punishment to frighten others	36-1705-S
an example to be followed	2-32595-S
an example to others	35-66143-S,36-1329-S,36-1517-S,36-1880-S
an example 成语 saw	4-38996-S
an excavation	8-37476-S
an exception	5-20318-S
an excerpt	63-1409-B
an excess of joy may lead to sluggishness of vital energy traditional chinese medicine	14-7343-B
an exchange shop	46-64387-B
an excuse	6-115-S,26-59290-S,61-38059-B,61-38977-B
an execution	55-50087-B
an exhibition of oneself	8-41047-S,17-9611-S
an exit	8-36254-B
an expedition	23-63118-S,23-64602-S,23-64756-S,24-12606-S,57-38946-S,62-35488-S,62-60689-B
an expedition against	4-54853-S
an expense account	16-10005-S,16-12506-S,21-60616-S
an experience	25-39646-B,30-5319-S
an experience worker know what to do	51-31657-B
an experienced hand	41-15507-B
an expert	26-37150-B,42-48260-S
an expert on china	2-64313-B
an explanation	61-37774-S,61-37920-S
an explanation of the meaning of words or phrases	63-53635-B
an expletive	14-33219-B
an explicit link word 如同	59-2261-S
an explosion	14-30770-S,40-31136-S
an explostion	60-17366-S
an express train sets off	65-34839-B
an expression	23-30028-S,58-26716-S
an extended period	62-8658-S
an extent as to	4-38495-S
an extra day or month inserted into the lunar or solar calendar such as february 29	65-44788-B
an extra effort	9-57004-S
an extramarital affair	16-51229-B
an extravagant hope	18-12148-B,18-12318-B
an extreme right winger	34-34496-B
an extremely rare and unprecedented event	51-57206-B
an eye	1-8366-S,1-15617-S,9-26757-S,23-48555-S,23-48663-S,31-514-S,45-59562-S,61-26020-S,61-26099-S,61-27340-S
an eye on	65-56167-S
an eye sore	46-43152-B
an eyeful	39-40299-S
an eyelid	1-73359-S
an eyesore	2-2626-B
an honor	14-28383-S,28-12177-S,41-38238-S
an honor to have you	7-12879-S
an honorific title	20-43838-B
an icecap	38-32166-S
an icy manner	8-22818-S
an idea	27-57051-S,27-57199-S,32-32561-S,44-29645-S
an idea for one s own use	6-622-S
an idea or an organization	31-3456-S
an idea or cause	5-31216-S
an idea or school of thought	6-2278-S
an idea to sb	46-46429-S
an ideal	26-779-S
an ideal couple	43-46166-B
an idiot	6-45570-B,59-58482-S
an idiot 成语 saw	58-26363-S
an ignorant blunder	67-47105-S
an ignorant person	3-56522-S
an ill wind	41-11335-S,66-26107-S
an ill wind that blows nobody any good	14-61468-S
an illegal exchange	18-8718-B
an illegality	42-3130-B
an illegitimate child	67-64097-B
an illegitimate child as one s own	58-22621-S
an illicit affair	60-13142-S
an illness	2-17048-S,7-33873-S,19-59443-S,20-52978-S,37-24843-S,44-8576-S,44-8845-S,44-10142-S,44-10428-S,44-10647-S,44-11567-S,44-11979-S,44-12889-S,58-23955-S,63-50033-S
an illness 成语 saw	20-53110-S,20-53317-S
an illustrative example	46-46709-B
an image	26-12087-S
an imbalance	17-67224-B
an imitation	6-6677-S
an immortal	6-49658-S
an impact detonator	57-54909-B
