hallow	46-60889-B
han china represented by lü buwei 呂不韋 吕不韦	67-4341-S
han chinese person or people	39-48121-B
han chinese states	12-24920-S
han dynasty	10-11692-S,17-26162-S,23-20772-S,33-21314-S,33-24119-S,56-1999-S
han dynasty 141 87 bc	39-50212-S
han dynasty 206 bc 220 ad	7-46770-B,39-47775-S,39-48369-S,39-50150-B
han dynasty 214 263 of liu bei 劉備 刘备 during the three kingdoms	56-2134-S
han dynasty 25 220	24-425-S
han dynasty around 200 ad	33-21377-S,33-21496-S
han dynasty astronomer and mathematician	23-41681-S
han dynasty astronomer zhang heng	39-7632-S
han dynasty dictionary shuowen jiezi 說文解字 说文解字	58-3667-S
han dynasty ducal title meaning lord of 10	54-45426-S
han dynasty general li guang 李廣 李广	68-63147-S
han dynasty legalist philosopher	68-13023-S
han dynasty name for chiefs of xiongnu huns 匈奴	14-16536-S,14-18581-S
han dynasty onwards	26-25447-S
han dynasty philosopher dong zhongshu 董仲舒	53-27543-S
han dynasty province around the bohai sea	9-65492-B
han dynasty province in vietnam	31-5960-B
han dynasty school of confucian scholars	4-22577-S,4-22670-S
han dynasty study or rewriting of classical texts such as the confucian six classics 六經 六经	4-22245-S
han dynasty town in shaanxi	30-25277-S
han dynasty tribes	59-59646-S
han emperor han wendi 202 157 bc	39-49741-S
han emperor liu bang 劉邦 刘邦 256 or 247 195 bc	39-51386-S
han emperor yuan 75 33 bc	39-48434-B
han etymological dictionary explain words by 劉熙 刘熙	63-52782-S
han fei	68-12982-B
han feizi c 280 233 bc pre han dynasty legalist philosopher	68-13023-B
han feizi 韓非子 韩非子	26-17900-S
han former han	38-47146-S,39-50081-S
han from 184	71-19079-S,71-19195-S,71-19324-S,71-19453-S
han fuju 1890 1938	68-12112-B
han later han	24-542-S
han name for nanjing	64-17051-S
han name of liao river 遼河 辽河	12-6368-S
han nationality	39-50296-B
han nationality majority population in china	39-49914-B
han of the five dynasties 947 950	24-425-S
han of the five dynasties 951 979	10-34327-B
han of the sixteen kingdoms 304 347	26-10564-S
han or eastern han dynasty 25 220	24-425-S
han or former dynasty 206 bc 8 ad	57-20063-S
han or western han 西漢 西汉 dynasty 206 bc 8 ad	9-21685-S
han people	3-53307-S,17-68566-S,42-5627-S,46-1835-S
han people ruling most of china 304 439	3-53358-S,10-44624-S
han peoples in former times	56-23009-S
han period	12-55609-S,48-41567-S,48-41671-S,48-41752-S,52-37218-S
han philosophy as analyzed by sima tan 司馬談 司马谈	7-67279-S
han river	39-50409-B
han river hanshui	39-50355-B
han river in guangdong	68-12636-S
han river 汉水 valley	47-24151-S
han school of thought	50-29181-S,61-39754-S
han states	17-13281-S
han suyin	68-12698-B
han times	37-30912-S
han to republican china by cai dongfan 蔡東藩 蔡东藩	35-52701-S
han to tang times on huai river 淮河 in modern anhui	53-49480-S
han tribes in the east and north of ancient china	17-69044-S
han wendi 202 157 bc	39-49741-S
han xin 196 bc	68-11197-B
han yu 768 824	68-12175-B
han yu 韓愈 韩愈	11-35667-S
han 漢 汉	70-55688-S
han 漢武帝 汉武帝	21-63021-S
han 西漢 西汉 dynasty 206 bc 8 ad	9-21685-S
hanan daoud khalil ashrawi 1946 	65-66137-B
hancheng city and county in shaanxi	68-11896-B
hancheng city in shaanxi	68-11967-B
hancheng county in shaanxi	68-12038-B
hanchuan place in hubei	39-49597-S
hand	1-1984-S,1-9338-S,1-16717-S,1-18378-S,1-22098-S,1-22098-S,1-76770-S,2-64313-S,2-83535-S,3-28416-S,3-68547-S,4-61376-S,5-364-S,7-24933-S,10-12436-S,11-55332-S,12-6633-S,12-22881-S,12-23208-S,19-13127-S,21-20015-S,22-6405-B,22-35810-S,22-66195-S,23-6823-S,23-23707-S,24-5460-S,26-31403-B,26-32882-S,26-35976-S,26-37024-S,26-50031-S,26-51252-S,26-55537-S,27-61116-S,27-61646-S,28-10527-S,28-13914-S,28-36446-S,28-39388-S,28-39801-S,28-47189-S,28-51048-S,28-52932-S,28-53684-S,29-3265-S,29-3482-S,29-3565-S,29-12188-S,29-22143-S,29-51844-S,29-58201-S,30-48928-S,36-12741-S,39-9574-S,41-15507-S,45-18367-S,49-40806-S,51-21218-S,53-26949-S,54-21499-S,57-37612-S,70-14922-S
hand 	11-43799-S
hand and beat it	28-63821-S
hand and feet	28-14757-S
hand and foot	3-53837-S,26-35533-B
hand around	38-3622-S
hand as signal	53-26949-S
hand at sth	51-28568-S
hand back	4-343-S
hand back yili province to qing china in exchange for compensation payment and unequal treaty rights	29-45849-S
hand bag	26-33751-B
hand basin	37-54498-S
hand behind one s back	11-49189-S
hand car	3-36132-S
hand car market	53-29217-S
hand chain pulley block	26-33323-B
hand clothes	4-59403-S,4-59886-S
hand down	2-37921-S,4-30348-S,6-35715-S,6-37435-S,15-54430-B,15-57488-S,38-2072-B,45-26882-S,59-57066-S
hand down an imperial edict	1-62964-S
hand down to next generation	63-3405-B
hand drill with crank handle	32-4819-S
hand drum used by peddlers	68-6417-B
hand e g cash	26-36970-S
hand foot and mouth disease	26-36293-S
hand foot mouth disease	26-36213-B
hand for an errand	5-28478-S
hand goods	3-38942-S
hand grenade	26-34178-B
hand house	3-35967-S
hand in	50-42316-B
hand in a velvet glove	61-3379-S
hand in certain trade	5-54212-S
hand in glove with sb to nefarious ends	42-10744-S
hand in one s ration cards	3-71048-S
hand infantry combat	45-65660-S
hand information	3-35889-S
hand knows the ropes	51-31657-S
hand man	52-46353-S
hand of a clock	64-49456-B
hand or arm	36-11859-S
hand or foot	52-26458-S
hand or move a leg 成语 saw	53-27178-S
hand organ	26-33943-B
hand over	3-66773-S,3-66830-B,3-67006-B,3-71188-B,11-49189-S,47-26148-B,50-42316-B,61-63449-S,62-59643-S
hand over face to face	68-1049-S
hand over one by one	71-38140-S
hand over payment	8-43766-S
hand over sth	29-42166-S
hand over the money to cover sth	4-542-S
hand over to	1-45851-S,4-26481-S
hand over to the next workshift	3-70915-S
hand pulled noodles	27-16144-B
hand roll japanese temaki	26-33489-B
hand s turn 成语 saw	31-27660-S
hand scroll horizontal format for chinese landscape painting	26-33489-B
hand side	12-23253-S
hand side of split chinese character	6-11178-S,30-67012-S
hand soap	37-53072-S
hand that feeds you	18-23992-S
hand tied behind one s back	69-49464-S
hand to	1-59913-S,7-24870-S
hand to hand	3-68547-S,23-6823-B,24-5460-S
hand to hand infantry combat	45-65660-S
hand to it	54-54333-S
hand to mouth	57-63266-S
hand to sth	8-39834-S
hand to the other	5-56958-S
hand tool	26-34948-B
hand torch	26-36886-S
hand towel	26-32741-B
hand typewriter	67-30612-S,67-30697-S
hand typewriter as opposed to electric typewriter	26-33061-B,26-33146-B
hand used	26-34948-B
hand 成语 saw	7-3039-S,51-23712-S,53-27031-S,70-15112-S
handan district district in hebei	63-19223-S
handan prefecture level city in hebei	63-19152-B,63-19316-B
handbag	28-37874-B,44-64733-B
handball	26-34900-S
handbasin	45-12715-B
handcuff lock	64-59335-B
handcuffs	26-36638-B,33-26911-B,33-26944-B
handed	1-69262-S,1-69346-S,7-45453-S,14-19073-S,21-58792-S,47-47372-S,47-47435-S,48-49572-S,70-12653-S
handed and wade rivers 成语 saw	32-159-S
handed down from ancient times	6-33432-B
handful	21-20015-B,39-38660-B
handicap	31-57635-S,31-57712-S
handicapped	35-62528-B,35-63206-B,35-63668-B
handicapped person	23-8342-B
handicraft	26-32613-B,26-32669-B
handicraft article	21-56956-B
handiwork	21-56956-B
handkerchief	22-22066-B,22-22471-B,22-25990-B,26-32786-B,26-35057-B
handle	10-37081-S,20-46890-S,23-23323-S,24-10189-S,26-34136-B,26-65079-S,26-65079-S,26-65243-B,26-65330-S,26-65369-B,26-65577-B,26-65755-B,27-23023-S,27-23023-S,28-39171-S,28-40784-S,29-21417-S,30-35379-S,32-4773-S,32-4819-S,33-35349-S,33-40537-B,37-49286-S,41-32128-S,41-40783-S,42-53278-S,48-6114-S,51-39055-S,55-50218-S,55-50479-S,61-34549-S,61-35479-S,61-37125-B,62-43541-S,64-32091-S,64-59502-S,67-11322-S
handle a case	61-35366-S
handle a crisis effortlessly	21-26653-S
handle a matter urgently	9-55710-S
handle administrative work	45-33134-S
handle affairs	55-49051-S,61-34737-S
handle different things by the same method	68-40655-S
handle everything	68-3940-B
handle for stopping or turning off machinery	9-26553-S
handle in accordance with the rules	62-69073-S
handle in the shape of a hoop	28-40154-B
handle into a socket	34-25015-S
handle it	9-51084-S,42-38323-S,42-38672-S
handle matters	6-14355-S
handle of ax	33-47539-B
handle of bamboo strips	33-48656-S
handle of bow	23-34030-B
handle of hammer bone	64-43715-S
handle official business	61-34856-B
handle on a pot	51-39345-B
handle or radio button	31-1721-S
handle rapids	40-16287-S
handle sth jointly	32-22376-S
handle you need an ax	4-55149-S,29-21528-S
handlebar bike	60-59032-B
handler	56-33879-S
handles	48-35521-S
handling	67-34445-S
handling system	57-61234-S
handover to prc rule in 1997	66-27907-S
handpicked	48-58638-B
hands	6-14948-S,7-47755-S,8-44147-S,10-20161-S,12-34451-S,21-58286-S,22-50791-S,24-5460-S,26-35976-S,26-44658-S,26-44717-S,26-49445-S,26-53123-S,27-509-S,27-21144-S,27-22975-S,27-27106-S,27-58611-S,27-58821-S,28-6140-S,28-13835-S,28-34492-S,28-34539-S,28-44319-S,28-47410-S,28-47502-S,28-47605-S,28-63031-S,29-5410-S,29-13059-S,29-22182-S,29-29935-S,29-33679-S,36-8397-S,41-62775-S,45-12668-S,47-65236-S,57-39380-S,60-6366-S,60-25771-S,66-65686-S,71-54770-S
hands and face	37-54338-S,52-52308-S
hands and feet 成语 saw	25-12546-S
hands behind one s back	5-60085-S,11-45109-S
hands bound and be unable to do anything about it 成语 saw	33-11937-S
hands bring the dying back to life 成语 saw	18-35667-S
hands clasped behind one s back	52-18412-S
hands clean	39-57461-S
hands dance and feet trip 成语 saw	26-35712-B
hands due to pressure on the median nerve	52-38801-S
hands free of telephone etc	7-20498-B
hands in obeisance or greeting	27-48581-S
hands in salute	27-48151-S
hands joined	23-23127-B
hands joined to people on all sides	50-56464-S
hands of a healer	18-35529-S
hands of merchandise	5-56958-S
hands on	23-23707-S,28-7185-S
hands or fingers	28-53446-S
hands or fists	10-146-S
hands raised	26-35657-B
hands romance	41-63750-S
hands than needed 成语 saw	4-13833-S
hands tied	33-11474-S
hands tied and expecting the worst	33-11667-B,33-11757-B,33-11847-B
hands tied and waiting to be captured	33-11573-B
hands tied behind the back	11-49557-S
handsome	5-12635-B,5-32518-B,6-2529-B,18-36220-B,18-41946-B,18-53135-B,22-25877-B,32-14016-B,47-11274-B,54-1680-B
handsome guy	22-25944-B
handsome male companion	68-4241-B
handsome pay etc	6-58064-B
handstand	5-59521-S
handwork	26-32562-B
handwriting	19-6756-B,26-32281-B,39-62339-S,48-16693-B,57-40301-S,62-20844-S,62-22510-S
handwriting or painting	26-36567-S
handwriting recognition	26-32327-B,26-32407-B
handwritten copy	26-64282-B
handy	5-28266-B,5-29889-B,39-9574-B,48-36111-B,67-51463-B,68-24499-B,68-24576-B
haneda airport	51-16115-B
hang	26-1919-B,26-2415-S,26-2787-S,28-19201-S,33-12649-S,50-25347-B
hang a criminal	49-48425-B
hang a person	12-42489-S
hang around	38-12055-S,70-31726-S
hang around and cause trouble to everyone	25-63858-S
hang clothes on a pole	28-58671-S
hang down	4-66899-S,14-41178-B,15-54430-S,15-54536-S,15-54804-S,34-56865-B
hang down hair	70-27636-S
hang down in a bunch	14-30609-S
hang e g a painting	12-43087-S
hang hau area in hong kong	15-51958-B
hang loosely	35-7319-B,50-41037-B
hang on to and serve the rich and powerful by literary hack work etc	22-36210-S
hang oneself	12-43656-S,12-45068-S,53-13053-S
hang out together with derog 	23-6895-S
hang paper	57-2780-B
hang sb up and beat him	12-43027-S
hang seng bank	24-67906-B,24-69852-B
hang seng index	24-69778-B
hang seng name	24-67853-B
hang sth out to dry	68-53327-S
hang up	12-42489-S
hang up a phone	28-19785-S
hang up properly telephone	28-19371-S
hang upside down	5-56262-S,5-57439-S
hangar	35-3377-S
hanged	1-47676-B
hanged upside down 成语 saw	5-56342-S,5-56503-S,5-56663-S
hanger	56-42419-S
hanger on	52-49900-B,65-21874-B
hangers on	4-9258-B
hangeul	57-64353-S
hanging	12-43656-S,16-31261-S,16-31472-S,26-53488-S,28-35335-S,49-48491-S
hanging basket for flowers	12-44003-B
hanging bells	48-39575-S
hanging bowl for lamp or fish	64-20389-B
hanging by a thread	2-24636-B
hanging criminals	49-48713-S
hanging decorations symbolizing the emperor of china	8-12368-S
hanging down	29-13059-S,51-42393-S
hanging down from the hand	28-36446-S
hanging fist chinese martial art	9-40875-S
hanging from a mast	12-44089-S
hanging from the ceiling	12-43087-B
hanging hook	12-44814-B
hanging in the balance	9-24666-B,26-3050-B
hanging low	4-67810-B
hanging objects	12-43279-S
hanging orchid chlorophytum comosum	12-44392-B,28-19840-B
hanging participle error of grammar in english	15-54699-B
hanging rings gymnastics	12-43890-B
hanging scroll	14-7893-S,22-34731-B
hanging scrolls	21-21385-S
hanging temple hair	70-27901-B
hanging upside down 成语 saw	57-50806-S
hangjin qi place in inner mongolia	33-13189-S
hangjinhouqi place in inner mongolia	33-13091-S
hangman	12-43722-B,15-65682-S
hangover	20-473-B
hangs by a thread 成语 saw	10-52209-S
hangs heavy	22-63768-S
hangu area in tianjin	39-50454-S
hangzhou	30-59260-S,33-12649-B
hangzhou bay	33-13032-B
hangzhou bay 杭州灣 杭州湾 in zhejiang	3-11262-S,3-11371-S
hangzhou prefectural city and capital of zhejiang province in southeast china	33-12795-B,33-12908-B
hangzhou 杭州	57-19784-S
hangzhou 杭州 in zhejiang 浙江省	64-44500-S
hani and yi autonomous county in yunnan	20-18721-S,31-49756-S,49-10849-S
hani and yi autonomous county 寧洱哈尼族彝族自治縣 宁洱哈尼族彝族自治县	20-18553-S,20-18885-S,31-49569-S,31-49923-S
hani people	13-38149-B
hanjiang place in jiangsu	63-14820-S
hank paulson 1946 	5-37846-S
hankou	39-48588-B
hanlin academy	51-20151-S
hanlin imperial academy 翰林院	51-20047-S
hanlu or cold dew	20-9763-B
hannibal barca 247 183 bc	39-49511-B
hannibal name	39-49511-B
hanoi capital of vietnam	37-18675-B
hanover	39-51198-B
hanqing c 1235 c 1300	65-56090-S
hans christian andersen	19-28011-B
hans christian jaochim gram 1953 1938	68-5161-S
hansen s disease	71-16312-B,71-16370-B
hanshan place in anhui	12-67590-S
hanshou place in hunan	39-49021-S
hanshui	39-50355-S
hantavirus a family deadly rodent borne viruses responsible for hemorrhagic fever with renal syndrome or cardiopulmonary syndrome	39-48183-B,39-48628-B
hantengri on the border between xinjiang and kazakhstan	36-56977-S
hanting area in shandong	20-8978-S
hanuman	13-37764-B
hanwang town in mianzhu county	39-50004-B
hanyang county in hubei province	39-51313-B
hanyin place in shaanxi	39-51250-S
hanyu pinyin	39-51019-B
hanyuan place in sichuan	39-50524-S
hanzhong district district in shaanxi	39-47924-S
hao	63-21789-S
hao 1032 1085	47-29940-S
hao 754	21-44062-S
hao haidong	63-21842-B
haojiang district of shantou city 汕头市	40-9970-B,40-10049-B
haojing in modern shaanxi	64-53580-B
haoran 689 740	19-10944-S
hapale jacchus	42-8347-B
haploid single chromosome	14-17057-B
happen	4-44476-S,6-3964-S,8-33733-S,10-7735-S,12-15884-S,24-22943-S,24-51745-S,44-31659-S,51-69277-S
happen at any moment	1-20769-S,17-48173-S
happen to	35-35109-S,46-30784-S,50-54968-B
happen to be	9-27601-B
happen to coincide	2-24294-B
happen to hold the same view	2-29887-B
happen to just at the right time	35-35989-S
happen unexpectedly	2-15585-B
happen upon	6-22039-S
happen usually of sth undesirable	9-68275-S
happened	8-34207-S,11-48038-S,24-52074-S,25-16325-S,53-66451-S,58-41653-S
happened in the past	5-19119-S
happening	3-28870-B,20-13902-S,29-58290-B,35-34678-S,37-9879-S
happening again	25-62921-S
happening easily e g accident or illness	9-68275-B
happening on one s doorstep	59-10542-S
happening suddenly	47-53053-B
happenings	16-12860-S,23-61761-S
happenings from one s life	38-11961-S
happens	1-10483-S,21-59877-S,52-57739-S,62-64534-S
happens i m still sure it s right	11-50532-S
happens of an arrangement or plan	67-23076-S
happens that	35-35109-S
happens then	62-5666-S
happens to be on hand for an errand	5-28478-S
happily	35-32225-S,44-14183-B
happily gather under the same roof	35-32291-S
happiness	14-6828-B,19-29948-S,19-60177-S,22-51515-B,31-36434-S,39-41770-S,45-64832-S,46-18091-S,47-2244-S,47-2688-B,64-16439-S,66-64437-S
happiness do not follow rules 成语 saw	47-2422-S
happiness elsewhere euphemism for extra marital sex	12-7123-S
happiness similar to 喜喜	14-44714-S
happiness 成语 saw	61-23554-S
happy	5-15942-S,12-12179-S,13-23532-S,13-26159-B,13-48821-B,14-6828-S,14-7559-B,14-8341-B,14-8842-B,14-8897-B,20-25251-B,20-25724-B,20-26793-B,20-27483-B,22-51515-B,24-7832-B,24-31807-S,24-48373-B,24-48418-B,24-50488-B,24-57072-B,24-57119-B,25-6342-B,25-27901-B,31-63669-B,34-47149-B,35-22121-B,35-22149-B,35-31516-B,35-31997-B,37-6063-S,41-42546-S,47-6202-B,51-5833-B,51-7804-S,51-7864-B,53-31080-B,53-31131-B,56-11590-B,58-470-B,63-19686-B,65-34683-S,68-23947-B,70-21176-B
happy and carefree	65-37265-B
happy and excited 成语 saw	53-26121-B,53-26242-B
happy and giggling 成语 saw	18-60793-B
happy and prosperous life	4-2543-B
happy and sad	12-14731-B
happy birthday	43-21207-B
happy coincidence	12-12751-S
happy encounter	18-2081-B
happy esp of one s parents	26-61509-S
happy event	14-8065-S
happy events in the family	66-64569-S
happy land	47-3176-B
happy lot	47-2932-S
happy mood	14-9247-S
happy new year	25-3836-B,25-4587-B,27-45604-S,30-48120-B
happy occasion	14-7119-B
happy occasion esp wedding	14-8955-S
happy or elated	65-40992-S
happy sheep group of five cartoon sheep	34-49649-B
happy time 成语 saw	6-56311-S
happy to do sth	34-48543-B
happy together	56-11459-B
happy valentine s day	25-12286-B
happy when one s errors are pointed out	51-57365-S
hapsburg european dynasty	13-38428-B
harakiri formal japanese seppuku	8-62702-B
harald v of norway	13-38545-B
harangue	70-21708-S
harare capital of zimbabwe	13-38626-B
harass	5-13417-B,5-27394-S,29-31305-S,47-58854-S,50-45413-S,50-45833-S,50-56123-S,50-60853-S,69-55015-S
harassment	24-63564-S
harbin	13-39182-B,13-39347-B
harbin institute of technology	13-39231-B
harbin 哈尔滨	33-28525-S
harbin 哈爾濱 哈尔滨	3-50142-S,3-50232-S
harbinger of doom	40-39840-S
harbor	8-41124-S,10-14941-B,10-17616-S,22-58457-S,38-21661-B,39-5442-B,39-5844-B,39-6070-B,39-6263-S,39-6263-S,40-2536-B,47-56589-S,50-2585-S,53-42256-S,55-30430-S,67-10207-S,69-36585-S
harbor a grudge	26-512-S
harbor evil designs	2-10949-B
harbor evil intentions	21-18593-S,55-30908-S
harbor evil intentions 成语 saw	10-17682-S,53-65639-S
harbor hawaii	42-43463-S
harbor in guangdong	71-17834-B
harbor malicious intentions	2-10949-B
harbor thoughts	24-33353-S
hard	8-25622-B,9-15326-S,9-27374-B,9-45646-S,9-62058-S,14-64047-B,16-3431-B,16-5317-B,16-52636-S,19-19176-S,25-23230-S,27-47820-S,27-52196-S,29-21142-S,37-7560-B,37-7624-S,42-5330-S,43-34429-S,44-27398-S,44-57909-S,45-8806-B,46-25003-B,47-40461-S,53-43613-B,53-43895-B,53-67037-S,54-53563-S,54-53638-S,61-33232-B,70-27342-S
hard a climbing to heaven 成语 saw	67-12719-B
hard about sth	24-32516-S
hard and concentrated effort	19-8967-S
hard at sth	53-67308-S
hard bristle	59-27546-S
hard candy	46-26089-B
hard coal	44-41800-B
hard disk	8-47858-S,46-25807-B,46-25969-B,46-26024-B
hard drive	45-19087-S,46-25969-B,46-26024-B
hard earned savings	56-25389-B
hard earned savings e g after a company collapse	56-25487-S
hard fighting	25-19226-B,25-21379-B,25-24121-B
hard for	9-46850-S
hard for sth	41-39022-S
hard in fighting	47-42888-S
hard iron	64-22825-B
hard legal case to judge	44-4674-S
hard lump in the abdomen in chinese medicine	44-13088-B
hard march	60-33436-S
hard metals	64-22410-B
hard of hearing	63-63950-B
hard on sb	8-48844-S
hard on sb s heels	60-38229-B
hard on subject	2-17994-S
hard outer skin	59-29892-B
hard practice 成语 saw	53-41108-S
hard pressed	12-27392-B,47-55808-B
hard pressed for cash	50-58184-B,50-62628-S
hard pressed for money	27-47877-B,27-47953-B
hard rice grain	8-47509-S
hard seat on trains	46-25338-B
hard seat on trains or boats	46-25604-B
hard ship of life	69-8223-S
hard steel	64-58523-B
hard struggle	35-56623-B
hard target	46-25851-B
hard time	11-63906-S,18-28045-S,30-14635-S
hard times	12-50029-S,68-58218-S
hard to	9-45417-S
hard to avoid	67-11634-B
hard to bear	67-13045-B
hard to believe	41-63504-S
hard to catch up	61-46517-S
hard to clap with only one hand	19-13127-S
hard to come by	1-76382-B,67-12110-B
hard to compensate for one s limited abilities	48-7938-S
hard to control	67-12658-B,67-13883-B
hard to deal with	67-11322-B,67-13206-B
hard to defeat	68-31452-B
hard to distinguish real from imitation	45-40885-B
hard to erase	67-11409-B
hard to escape the dragnet of the law	67-13531-S
hard to escape the net of justice	37-32825-S
hard to fill 成语 saw	25-1415-S
hard to forecast	9-24666-S
hard to forget even after one s teeth fall out 成语 saw	37-12202-B,37-12381-B
hard to get to	65-27677-B
hard to handle	67-11322-B
hard to hold back	64-32882-B
hard to imagine	25-25118-B
hard to make out distinctly	61-55575-B
hard to meet in a thousand years 成语 saw	10-50849-S
hard to overcome 成语 saw	47-40461-S
hard to pass	67-13435-B
hard to play of music for stringed instrument	67-12029-B
hard to predict	67-11273-B
hard to pronounce	27-38031-B
hard to remember	67-13482-B
hard to save a desperate crisis	9-46405-S
hard to see	21-4982-B
hard to separate	40-63334-B
hard to swallow	53-43202-S
hard to take	67-11922-B
hard to tell if it s real or sham	55-54110-B
hard to understand	44-5002-B,59-47863-B
hard towards a turn around	26-48109-S
hard up	13-46717-S
hard water	46-25761-B
hard while accomplishing little	10-5907-S
hard without giving up	36-43354-S,39-33050-S,39-33298-S
hard won skill	53-41108-B
hard won victory	40-63881-S
hard won wealth esp as an object of unscrupulous exploitation	36-22610-S
hard wood	34-46415-S
hard work of writing	65-28766-S
hard working	19-8847-B,21-47468-S,25-34143-S
hard working and capable of overcoming adversity	9-15402-B
hard 成语 saw	9-15402-S
harden	5-15009-B,33-30937-B,46-25169-S
harden by quenching	38-46797-B
hardened forewing of coleoptera beetle	68-7667-S
hardened mucus in nostrils	71-51688-B
hardened skin	50-42100-S,51-29937-S,51-30769-S,60-33277-S,60-33352-S
hardening	27-5633-S,46-25169-B
hardening of the arteries	10-1671-B,56-27854-B
harder	9-53282-S,9-53374-S,61-67446-S
hardest	45-7790-S
hardie name	13-40568-S
hardiness	51-36085-B
hardline faction	23-45049-B
hardly	22-56043-B,36-15815-B
hardly any	22-56270-B
hardness	46-25562-B
hardship	11-64381-B,12-68624-S,25-53850-B,46-25431-S,46-38274-B,49-58127-S,51-35966-S,53-43613-B,54-12879-S,68-46233-B
hardship posting	43-51877-S
hardship with equanimity	19-22883-S
hardships	2-33145-S,11-63906-B,12-27529-B,43-14967-S,53-43951-B,68-58137-S,68-58952-S
hardships and danger	29-31872-S
hardships and perils	53-44013-B
hardships and work hard 成语 saw	9-15402-S
hardships etc	7-16897-S
hardships for a noble cause	43-13312-S
hardships set phrase	10-51005-S
hardships 成语 saw	12-49865-S
hardware	46-25049-B,46-26744-S,61-3310-S,65-2478-B
hardware nuts and bolts	3-55379-S
hardware platform	46-25093-B
hardware store	3-55465-S
hardwood	46-25719-B
hardworking	9-15193-B,10-8672-B,10-8906-B,10-9260-B,10-9603-B,19-8893-B,19-16311-B,61-32854-B
hardworking and frugal	10-8363-B,10-9389-B
hardy	51-35742-B,51-35966-B
hardy or hardie name	13-40568-B
hare	7-22639-B,64-2992-B
hare lip birth defect	7-22582-B
harelip	50-48662-B
harem in ancient muslim states	65-48422-B
hari raya muslim day of celebration after ramadan	65-44538-S
haricot	26-30701-B
hark	24-3568-S
hark back	63-59111-S
harlem district of manhattan	13-39772-B
harm	6-43855-B,11-22485-S,16-35160-B,18-36504-B,19-58469-B,19-59821-B,23-24687-B,28-52145-S,28-52350-S,28-52559-B,47-2099-B,47-2099-S,58-29973-S,62-23328-S
harm by witchcraft	56-22172-S,56-22309-S
harm in	2-4317-S
harm in doing it	40-49492-S
harm people	60-12458-S
harm people and damage property 成语 saw	35-62924-S
harm rather than good	32-31696-S
