free and unconstrained	60-34302-B,60-34750-B,60-35009-B
fried noodles	40-29419-S
fried noodles with beef	41-48588-S
fried pancake	37-23895-S
fried pork with garlic	17-33947-S,54-64759-S
fried potato chips	55-27097-B
fried potatoes	55-27028-S
fried rice	40-29310-B,67-8143-S
fried rice cake	69-10253-B
fried rice noodles	40-28977-B
fried spinach	40-29090-S
fried yellow fish filet	48-62679-S,48-62764-S
friedrich engels 1820 1895	25-2860-B
friedrich gauss 1777 1855	70-15650-S
friedrich name	23-32722-B
friedrich nietzsche 1846 1900	21-13509-B
friedrich schiller 1759 1805	22-27090-S
friedrich von schiller or friedrich schiller 1759 1805	22-27090-S
friend	11-42967-B,11-42996-B,11-52620-S,18-21046-S,18-28528-S,20-3869-S,24-45369-S,29-3070-S,29-3070-S,29-58576-S,29-58640-S,29-59123-S,29-59123-S,32-42029-B,32-42111-B,41-14993-B,43-46456-S,45-63273-S,52-49796-S,53-18022-S,53-18182-S,53-40651-S,61-30250-S,61-47304-S,63-40681-S
friend capable of direct admonition	58-43613-S
friend colloq 	13-42113-B
friend made in hospital or people who become friends in hospital	44-9300-S
friend or rival	18-37134-S
friend over many years	29-60845-S
friend when wining and dining 成语 saw	63-40681-S
friend who you can seek advice	22-26153-B
friend 成语 saw	10-23974-S,57-35580-S
friendliness	57-38035-B
friendly	11-43036-B,13-23647-B,18-27937-B,39-57710-B,45-56719-B,54-26557-S,55-35604-B,57-40530-B
friendly affection	11-43196-B
friendly face	68-1288-S
friendly feelings	11-43133-B
friendly feelings towards sb	25-13940-B
friendly forces	11-43388-B
friendly manners belying hypocritical intentions	48-4982-B
friendly or unfriendly tone of comments	11-68401-B
friendly relations	11-43079-B,56-11177-B
friendly relations with	62-45148-S
friendly society	55-40883-S
friendly state	11-43444-B
friendly terms	49-42860-S
friends	3-66603-S,3-67685-S,3-70225-S,6-55894-B,14-59084-S,18-37449-S,18-37571-S,27-33444-S,27-34604-S,27-34788-S,29-61117-S,29-61161-S,45-26004-S,49-43362-S,51-25603-S,57-25555-S,60-60767-S
friends again	63-55960-S
friends and family	57-39487-B
friends and generous to the needy	4-26250-S
friends and relations	60-13767-S
friends and relatives	57-38156-B
friends in hospital	44-9300-S
friends or lovers abroad	17-49697-S
friends to thank them after a funeral	58-56322-S
friends with	49-39970-S
friendship	3-67931-B,3-68332-B,3-71604-B,4-9478-B,11-43133-B,11-43262-B,11-43330-S,25-12427-B,25-12546-S,25-12729-S,25-15688-B,27-15313-S,48-34008-S,49-43362-S,54-26611-S,55-44294-S,55-51749-S,57-38400-S,58-35166-B,64-14614-S
friendship between classmates	22-49485-B
friendship etc	64-21583-S
friendship of people in same year	22-47759-B
friendship 成语 saw	45-42172-S
fries	40-31370-S,50-53842-S,55-27028-S
friesland	23-32936-B
frigate warship	56-38674-S
fright	58-59528-S,69-62233-B,69-64005-B
frighten	5-15890-B,14-39669-S,14-39738-S,25-3411-B,26-3538-S
frighten others	36-1705-S
frighten seriously	46-19744-S
frightened	14-39828-S,14-39977-S,23-63642-S,24-53771-S,24-54020-B,24-68449-B,25-7560-B,25-26405-B,42-13567-B,57-54042-B,59-12874-S,69-59319-S,69-61085-B,69-64046-B
frightened person	69-60774-S
frightened rat	71-50037-S
frightened to move or speak	33-8508-S
frightening	7-1680-B,24-68633-B,57-25256-B,71-30815-S
frightening words to scare people 成语 saw	11-23295-B
frightful	12-12908-B,24-68633-B
frigid	8-24185-B,20-9143-B
frigid zone	10-30504-S
frigidity lack of libido	24-61220-B
fringe	50-19479-B,50-36852-B,55-15482-B,63-12347-B,63-12763-B
fringe of a coronet	49-24673-S
fringes of hair	9-42608-S
fringilla montifringilla	41-29352-S
frisbee	68-64227-B,68-64413-B
frisk	26-64477-S
fritillaria thunbergii	59-30077-S
fritillaria verticillata	54-22747-B
fritillary fritillaria thunbergii	59-30077-S
frivolous	5-12587-B,6-54974-B,18-60793-B,24-66280-B,24-68118-B,34-60263-S,38-14220-B,42-37925-B,55-17886-B,61-9559-B,61-11207-S,61-11285-B,61-11343-B,61-12123-B
frivolous and forgetful	69-35592-B
fro	3-45685-S,5-17354-S,6-57006-S,9-18085-S,23-61534-S,23-62912-S,29-29351-S,62-35444-S
fro between two sides	27-26206-S
fro with hand	29-12188-S
frock	62-25221-B
frog	34-61800-S,48-27678-S,55-58134-S,56-50-B,56-930-B,56-1065-B,67-14757-S,67-58726-B
frog at the bottom of a well 成语 saw	3-56522-S
frog in a well 成语 saw	3-57117-S
frog meaning unclear	56-16208-S
frogman	39-59298-B,56-76-B
frogs	51-65443-S
frolic	18-60692-S
frolic for joy	66-52511-S
from	2-22541-S,4-2465-S,4-36678-S,5-19626-S,5-64456-S,7-21419-S,8-40055-S,8-44373-S,8-44687-S,11-63046-S,17-45514-S,21-63392-S,23-47271-S,24-9875-B,24-10138-B,26-40322-B,28-64558-S,29-11410-S,29-30386-S,29-30386-S,29-30386-S,30-64786-B,31-59081-S,35-530-S,40-57468-S,43-38556-B,44-32060-S,44-33252-S,45-59069-S,49-19962-S,50-54968-S,52-16428-S,52-18797-S,52-18797-S,52-32243-S,52-62992-B,56-18458-S,59-16365-S,60-9375-B,60-9940-S,60-9940-S,60-15954-S,60-17254-S,60-37298-S,61-59008-S,62-19348-S,62-26361-S,62-63830-S,63-5989-S,63-5989-S,63-6085-S,63-7797-S,67-8589-B,67-11634-S
from 10 down to 0	5-57922-S
from 1027 bc	13-10567-S,13-10905-S,13-13469-S
from 1550 1850	24-25544-S
from 1616 	24-2637-S,64-8410-S
from 17th century	37-63520-S
from 184	71-19079-S,71-19195-S,71-19324-S,71-19453-S
from 1860	47-22726-S
from 18th early 20th century	47-1132-S
from 1913 of the provisional revolutionary government under sun yat sen and the guomindang against yuan shikai 袁世凱 袁世凯 and the northern warlords	3-37345-S
from 1924	54-61843-S
from 1925	61-8699-S
from 1927	21-57879-S
from 1930 onwards	15-21401-S
from 1961 1966	1-33639-S
from 1978 speech by deng xiaoping 鄧小平 邓小平 introducing the four modernizations 四個現代化 四个现代化 	47-17500-S
from 1984	67-58317-S
from 1997 to 2005	54-59447-S
from 2001	61-42863-S
from 2001 and president since 2004	11-13673-S
from 2001 meeting of wto in doha	16-55024-S
from 2005	23-1464-S,25-21482-S,25-21577-S,59-62671-S
from 2006	69-34254-S
from 24m 5m years ago	2-72538-S
from 2m years ago	32-8103-S
from 34m 24m years ago	39-55385-S
from 55m 34m years ago	18-38499-S
from 5m 2m years ago	1-49767-S
from 600 ad and took over france	37-33275-S
from 65m 55m years ago	12-2632-S
from 661 bc in shanxi	70-34323-S
from 6th century bc	65-52176-S
from 7th to 15th century	45-44445-S
from a bank or warehouse	28-38015-S
from a banquet	27-10032-S
from a battlefield	56-30030-S
from a beam and struck as a xylophone	50-20522-S
from a certain point of view	5-18624-S,5-19307-S
from a chinese studio	51-43738-S
from a clear sky 成语 saw	31-55258-S,67-54289-S
from a colliery	70-4743-S
from a common pot	66-60256-S
from a cowshed	8-37239-S
from a database	10-37881-S
from a destroyed country	3-66161-S
from a difficult situation	53-6845-S
from a disaster 成语 saw	14-61468-S
from a distance 成语 saw	30-12323-S,30-13076-S
from a dream	69-60389-S
from a drill or lathe	36-13711-S
from a famine	61-65368-S
from a famine stricken region	61-65368-S
from a flagpole	31-2965-S
from a former age	66-29902-S
from a high place	45-60005-S,52-61822-S
from a horse	54-50875-S
from a job	9-12096-S
from a knife cut	8-48414-S
from a list	71-37621-S
from a mast	12-44089-S
from a meeting	61-62148-S
from a mine	65-36055-S
from a mirror etc	11-46587-S
from a model	52-57467-S
from a particular place	4-11602-S
from a picture	59-23175-S,59-23357-S
from a place	5-18947-S
from a place known for the product	15-45343-B
from a plane	23-47955-S
from a position	68-5085-S
from a position of weakness	4-37233-S
from a predecessor	26-61876-S
from a restaurant	26-41320-S
from a rewarding journey	39-41436-S
from a ruler	25-1885-S
from a sense of justice	4-26032-B
from a solution	52-33629-S
from a source	6-1826-S,6-1937-S
from a stone inscription	46-28254-S
from a store e g to sun it	5-55410-S
from a straight line	6-13387-S
from a tablet	27-32527-S
from a text	29-5458-S
from a to b	60-43346-S
from a tyre	37-60178-S
from a vehicle	6-46478-S
from a verbose studio	51-43738-S
from a war zone	29-10674-S
from a webpage	8-66094-S
from a wound	9-36940-S,27-19607-S,60-2232-S
from above	25-1539-S,58-46630-S
from abroad	35-53793-S
from abroad to develop the nation effectively	4-25249-S
from accounts	64-34128-S
from adam	49-24916-S
from adjective	24-60540-S
from administrative post	67-2267-S
from advice	11-61854-S
from afar	5-17146-S,5-19818-S,52-61822-S,62-60640-S
from afar quenches not fire	62-61757-S
from afar 成语 saw	10-51192-S,10-51499-S
from age to age	2-37519-B
from ages immemorial	51-14984-S
from all angles 成语 saw	8-15558-S
from all around	14-53119-B
from all four quarters	10-71389-S,10-71508-S,10-71629-S,33-18712-S,33-18833-S,33-24204-S
from all over the place	6-47257-B
from all sides	14-53361-S,16-58130-B
from also 	66-21334-S
from among the dwarfs	46-1124-S
from an atm	28-42947-S
from an earthquake	67-40110-S
from an engraved or etched plate	41-45215-S
from an experience	30-5319-S
from an illness	2-17048-S,44-11979-S
from an object	4-4227-S
from an old family	29-59978-S
from an old stump	55-43829-S
from an unexpected direction	61-43243-S
from ancient times	6-33432-S,12-61-S,53-3486-B
from another angle	11-53819-S
from another land	43-63875-B
from anxiety	60-46585-S
from any kind of flour	48-47146-S
from any location	66-43312-B
from any situation	21-58371-S
from april to march	59-33371-S
from around 1980	29-46898-S
from association with sb or sth	37-25839-S
from axil of plant	52-36283-S
from bad	2-30281-S
from basics	67-20137-B
from beast of burden	11-27503-S
from beginning to end	9-20029-B,18-38851-B,32-64546-S,59-40202-S
from behind	52-17586-S
from behind the scene	42-131-S
from behind the scenes	22-34433-S
from beijing	10-25495-S,67-10873-S
from belt	57-8708-S
from beyond the grave	26-56230-S
from blow on the head etc	64-11065-S
from boredom	38-30133-S
from both inside and out	57-1607-S
from burning incense	69-28805-S
from burnt paper	49-22586-S
from c 2nd century bc	30-497-S
from calamities	61-64951-S
from calamity	17-39886-S
from caldicot	11-13288-S
from california	48-31144-S
from california down to antarctica	33-16969-S
from castilla leon	15-49498-S
from certain food as when ill	24-42190-S
from childhood	24-11491-B
from china	1-62826-S,57-19326-S
from china through central asia to europe	3-59833-S
from chu 楚 capital ying 郢 郢 contains inadvertent words hold up the candle that minister of yan 燕 puzzles out to mean brilliant prospects	63-22219-S
from civilization	6-13482-S
from close up	62-34474-S
from coal	41-781-S
from cocoons	50-39247-S,50-42230-S
from cold	42-63262-S
from compressed file	57-48519-S
from confucian analects with the right title or reputation	12-56605-S
from constant overwork 成语 saw	47-38880-S
from cooked food for 3 days around the qingming festival 清明節 清明节	20-9857-S
from corrupt dealing	41-31903-S
from counsel	11-60517-S
from cursory observation	60-14800-S,60-15016-S
from cut branch or stump	35-17309-S
from cut down roots	53-63886-S
from cut segment 成语 saw	30-59714-S
from damage	5-34645-S
from danger	8-46665-S,28-51207-S,61-64498-S
from daoist classic zhuangzi 莊子 庄子	23-27144-S
from death	43-21406-S
from dehydration	55-53767-S
from deng xiaoping theory	20-15514-S
from devouring freshly killed prey	56-24026-S
from different angles	21-58646-S
from different from	60-37298-B
from disease	44-18705-S
from distant locations	21-31540-S
from downstream to upstream because of blockage	5-58954-S
from dried fish guts	70-37879-S
from drilling	65-10685-S
from drinking	63-41848-S
from duty	7-21419-S
from each according to his means	12-28611-B
from ear to ear	39-40872-S,39-41686-S
from early 20th century now called wuqia 烏恰縣 乌恰县	40-38909-S,40-39084-S
from earth	32-26838-S
from eaves	67-45391-S
from either side	17-69457-S
from elsewhere	23-31240-S
from email header	44-26148-B
from employee s salary	4-30925-S
from english	9-59727-S,9-59793-S
from english cool	63-44316-S
from english share	32-3858-S
from english tin	51-69127-S,52-1046-S,52-2138-S
from equations	38-29037-S
from every angle	28-34613-S
from every aspect	68-4047-S
from every side 成语 saw	21-58371-S
from everywhere	6-47257-S
from evil and follow virtue	29-44350-S
from experience	2-24768-S
from extinction	29-63564-S
from facts	35-54869-S
from facts 成语 saw	20-11970-S
from falling	28-63744-S
from fear	69-59694-S
from fibre	60-61170-S
from food	17-42837-S
from foreign non chinese news agencies	16-51752-S
from former times	6-36224-S
from freezing rain or water vapor	67-14095-S
from generation to generation	2-37725-S
from generation to generation 成语 saw	2-37921-S,4-30348-S
from geng village	51-42894-S
from girdle	42-46125-S
from glacier	8-19260-S
from going to extremes in meting out punishment	2-17994-S
from good	2-4089-S
from government or private sector for which no good or service is required in return	61-26637-S
from grace	16-30333-S,60-56650-S
from granary	49-1214-S
from grievances	8-13597-S
from guilin	14-57511-S
from guilt	65-40579-S
from guns	46-23034-S
from han to republican china by cai dongfan 蔡東藩 蔡东藩	35-52701-S
from hand to mouth	57-63266-S
from hanging upside down 成语 saw	57-50806-S
from hard practice 成语 saw	53-41108-S
from head to foot	24-12369-B,39-8552-B
from head to protect neck	68-36362-S
from head to tail	24-12277-B
from head to tail 成语 saw	24-29757-S
from head to toe	1-21496-B
from heat	31-58534-S
from heaven	66-17468-S
from heaven 成语 saw	14-8065-S
from helping others	9-60911-S
from helping others 成语 saw	9-61028-S
from hibernation	13-65778-S
from hiding	42-7722-S,42-7773-S
from higher authorities	26-57311-S
from his external appearance	13-28660-S
from his friends	14-59084-S
from home	8-46514-S,19-61008-S,20-1931-S,30-68209-S,38-5676-S,43-63808-S,60-52116-S,62-60192-S,62-62656-S,65-52839-S
from home temporarily	20-2840-S
from home 成语 saw	67-10589-S
from horizontal	6-49185-S
from horseback 成语 saw	60-14800-S,60-15016-S
from house to house	27-68047-S
from hydrocarbon by substituting halogen for hydrogen	71-3053-S
from hydrogenated oil	11-47741-S
from idaho	52-13905-S
from ignorance	13-65580-S,44-3754-S
from illness	25-8213-S,44-13254-S,44-31118-S,52-56312-S
from imitation	45-40885-S
from in email header	5-18947-B
from incised inscription	22-24044-S
from infatuation or addiction	45-46308-S
from infection or injury	44-30937-S
from injustice	8-15067-S
from inside in coordination with attackers outside	57-1607-S
from insomnia	17-66494-S
from italian belly	42-47571-S
from italian pull me up	28-39213-S
from its owners	27-19832-S
from its vine 成语 saw	39-34673-S
from japanese mangaka	39-53030-S
from japanese rule in 1945	7-8962-S
from kang xi to qian long emperors	23-1219-S
from landlords during famines before liberation	12-27103-S
from legendary times	3-49838-S
from level ground	27-33021-S
from liquid	49-50195-S,49-50281-S
from locusts	56-18914-S
from loneliness	28-18135-S
from lower case letters	1-74108-S,10-40636-S
from malnutrition	54-30065-S
from many others	44-55966-S
from many points of view	10-49646-S
from mars	20-69270-S
from matthew 9 17	53-28635-S
from meat or wine	71-54477-S
from melancholy	30-8040-S
from memory	52-16428-S,52-18499-S,61-59555-S,71-35696-S,71-36146-S,71-36198-S,71-36393-S
from mencius	11-59061-S,23-30388-S
from mencius 孟子	24-32792-S
from milk products	63-42128-S
from milk teeth to adult teeth	71-54982-S
from mill or power plant	21-15087-S
from misrendering an encoding	3-26987-S
from modern japanese	35-14373-S
from money paid	26-60113-S
from morning to night 成语 saw	16-52363-S
from natural calcium phosphate 磷化鈣 磷化钙 capo3	70-31807-S
from nightfall to midnight	9-18659-S
from no difficulty or danger	2-35581-S
from north to south	56-50897-S
from nothing	44-39147-S
from now on	4-22497-B,24-10372-B,24-11893-B
from now on …	23-62348-S
from obligation	7-21419-S
from office	1-63844-S,7-20296-S,7-21419-S,29-10938-S,38-22674-S,50-54561-S,50-54905-S,57-51963-S,68-4453-S
from office etc	1-58915-S,1-62445-S
from oil making	48-46805-S
from one another	3-45477-S,32-8368-S
from one hand to the other	5-56958-S
from one job to another	35-51577-S
from one language to the next so multiplying errors	64-610-S
from one residence to another	62-69438-S
from one s blood and sweat	56-25389-S
from one s eyes	29-25932-S
from one s home and wandering about	38-7364-S
from one s life	38-11961-S
from one s present position	16-44425-S
from one s regular work	10-59833-S
from one s subordinates	2-9764-S
from one s thoughts	50-52785-S
from one s wife or husband	67-9281-S
from one state to another	68-51240-S
from one’s native place	67-10589-S
from opera	29-4285-S
from opera and film recent usage	35-48337-S
from or into an account	61-22875-S
from or since childhood	53-5310-B
from organic compounds	52-33309-S
from outer space	17-45714-S
from outside	4-25249-S,16-44711-S,16-54491-S,57-42788-S
from parents after marriage	42-21025-S
from party membership	65-43895-S
from passive to active behavior	11-46384-S
from past mistake	24-1970-S
from person to person	6-34782-S,61-19845-S
from person to person 成语 saw	14-59228-S
from physical exercise	43-18976-S
from place to place	38-7236-S
from pocket	28-14867-S,28-61358-S
from position of prestige	1-58915-S,1-62445-S
from power	5-59075-S,5-60303-S,15-57309-S,19-38409-S
from prejudice or superstition	13-65580-S
from prison	3-65766-S,42-24155-S,61-65086-S
from productive labor	10-59833-S
from progressing to enlightenment	34-33207-S
from prosecution	7-21419-S,59-16490-S
from public life	63-10750-S
from pursuers	65-26508-S
from radioactive decay	3-16555-S
from raw material	38-1109-S
from reality and act blindly	65-28919-S
from rice flour twisted into rings	48-48534-S
from rinsing rice	37-29163-S
from sacrifice	40-44078-S
from sales	64-33641-S
from salty food	71-52912-S
from sanskrit bhiksu	36-8908-S
from sanskrit bhiksuni	36-8982-S
from saturn	31-16037-S
from sb	27-3690-S,67-8904-S
from sb else s prestige	5-64058-S
from sb of lower status to higher status	30-11777-S
from sb s misfortune	60-19437-S
from school	65-43820-S
from scratch	12-7259-S,44-39147-S,67-20137-B,67-21480-B
from seaweed gelidium amansii	43-8302-S
from second half of 14th century	31-22273-S
from secondary source	61-23038-S
from service	61-61494-S
from shame	25-43821-S
from shandong	70-39874-S,70-40421-S
from shell	23-49121-S
from shopfloor	61-22951-S
from shoulders to bottom tailor or dressmaker s measure	60-57453-S
from side to side	13-44781-S,35-50110-S,60-46287-S,60-49919-S
from side to side e g sleeplessly	27-11145-S
from side to side in bed	61-21164-S
from side to side 成语 saw	33-15065-S
from simple to traditional chinese characters	48-38145-S
from simpler source material	56-35711-S,56-35814-S
from skin of raccoon dog after removing hard bristle	59-27546-S
from sleep	20-11606-S
from small traces	20-10768-S
from sneeze or saliva	68-63870-S
from sneezing	68-63966-S
from society	66-50177-S
from solution	8-45363-S
from solved	62-61451-S
from song of the southern dynasties 南朝宋	48-31235-S
from sorghum or maize	44-46725-S
from south asia	24-28569-S
from south china more generally	13-2063-S
from starch	48-47146-S
from start to finish	1-21083-B,6-61047-B,53-4673-B,53-18227-B
from start to finish 成语 saw	18-38918-S
from stewing meat etc	11-34186-S
from sth	42-23983-S,53-10414-S,61-65514-S
from sth else	38-1109-S
from straight line	6-12554-S
from stress during exam	31-58415-S
from superior	11-61174-S,18-2671-S
from superior humble expr 	11-61260-S
from suspense	63-52972-S
from taiwan and fujian	35-25575-S
from tang to qing times	22-62727-S,22-62905-S,22-63059-S
from teletubbies	20-66652-S
from that	8-3744-S,41-40463-S,66-42845-B,66-42845-S
from that time on	24-12139-B
from the 1980s possibly planned together with zhou enlai	14-46395-S
from the air	47-49454-S
from the ancients	47-36228-S
from the back rows of seats	5-57922-B
from the beginning of up to 	1-15203-B
from the blue	31-55258-S,67-54289-S
from the book of ezekiel 以西結書 以西结书	31-33426-S
from the bottom lines on a page	5-57922-B
from the bottom of a well 成语 saw	15-50753-S
from the bottom of one s heart	39-38329-B
from the brain	6-34087-S
from the ceiling	12-43087-S
from the center	63-13157-S
from the central administration	15-40988-S
from the city	6-11474-S
from the coast	62-61956-S
from the communist party	11-66579-S
from the communist party committee of one unit to another	61-30120-S
from the court	59-44809-S
from the cradle to the grave 成语 saw	8-42238-B
from the dead	60-17020-S
from the east in the biblical nativity story	1-30402-S,33-19070-S
from the emperor	44-61721-S
from the enemy	16-3647-S
from the eyes	57-41330-S
from the face of the earth	55-15928-S,55-16020-S
from the failure of one’s predecessor	24-1970-S
from the fake	45-41030-S
from the front	42-46848-S
from the fulcrum to the line of force	9-47121-S
from the grave	63-10833-S
from the groom s family	11-64002-S
from the han dynasty onwards	26-25447-S
from the hand	28-36446-S
from the head	15-22796-S
from the heart	24-33641-S
from the hip	1-69119-S,44-14638-S
