屬國 属国	21-27304-B
岗巴	21-44299-S
岘	21-40323-S
岚	21-46323-S
岚县	21-46432-S
岚皋	21-46369-S
岛	21-40357-S
岛国	21-40386-S
岛屿	21-40433-S
岛盖部	21-40473-S
岝	21-35191-S
岝 岝	21-35191-B
岡 冈	21-35244-B
岡山鎮 冈山镇	21-35279-B
岡底斯山 冈底斯山	21-35356-B
岡本 冈本	21-35441-B
岡比亞 冈比亚	21-35499-B
岢	21-35549-S
岢 岢	21-35549-B
岢岚	21-35589-S
岢嵐 岢岚	21-35589-B
岣	21-35649-S
岣 岣	21-35649-B
岧	21-35695-S
岧 岧	21-35695-B
岨	21-35729-S
岨 岨	21-35729-B
岩	21-35761-S,21-49671-S
岩 岩	21-35761-B
岩仓	21-35794-S
岩仓使节团	21-35836-S
岩倉 岩仓	21-35794-B
岩倉使節團 岩仓使节团	21-35836-B
岩土体	21-35995-S
岩土體 岩土体	21-35995-B
岩层	21-49699-S
岩床	21-49745-S
岩径	21-36044-S
岩徑 岩径	21-36044-B
岩手县	21-36092-S
岩手縣 岩手县	21-36092-B
岩沙海葵毒素	21-36182-S
岩沙海葵毒素 岩沙海葵毒素	21-36182-B
岩浆	21-36325-S
岩浆岩	21-36371-S
岩浆流	21-36430-S
岩溶	21-36267-S
岩溶 岩溶	21-36267-B
岩漿 岩浆	21-36325-B
岩漿岩 岩浆岩	21-36371-B
岩漿流 岩浆流	21-36430-B
岩画	21-49789-S
岩盐	21-49871-S
岩石	21-36486-S
岩石 岩石	21-36486-B
岩石圈	21-36524-S
岩石圈 岩石圈	21-36524-B
岩石学	21-36581-S
岩石學 岩石学	21-36581-B
岩石层	21-36660-S
岩石層 岩石层	21-36660-B
岩穴	21-36718-S
岩穴 岩穴	21-36718-B
岩羊	21-36763-S
岩羊 岩羊	21-36763-B
岫	21-36804-S
岫 岫	21-36804-B
岫岩满族自治县	21-36845-S
岫岩滿族自治縣 岫岩满族自治县	21-36845-B
岬	21-36975-S
岬 岬	21-36975-B
岭	21-49091-S
岱	21-37010-S
岱 岱	21-37010-B
岱宗	21-37066-S
岱宗 岱宗	21-37066-B
岱山	21-37255-S
岱山 岱山	21-37255-B
岱庙	21-37321-S
岱廟 岱庙	21-37321-B
岳	21-37366-S,21-49156-S
岳 岳	21-37366-B
岳普湖	21-37423-S
岳普湖 岳普湖	21-37423-B
岳母	21-37497-S
岳母 岳母	21-37497-B
岳池	21-37543-S
岳池 岳池	21-37543-B
岳父	21-37606-S
岳父 岳父	21-37606-B
岳西	21-37652-S
岳西 岳西	21-37652-B
岳阳	21-37711-S
岳阳地区	21-37784-S
岳阳市	21-37866-S
岳阳楼	21-37950-S
岳阳楼记	21-38009-S
岳陽 岳阳	21-37711-B
岳陽地區 岳阳地区	21-37784-B
岳陽市 岳阳市	21-37866-B
岳陽樓 岳阳楼	21-37950-B
岳陽樓記 岳阳楼记	21-38009-B
岳飛 岳飞	21-38088-B
岳飞	21-38088-S
岳麓书院	21-49187-S
岳麓山	21-38141-S
岳麓山 岳麓山	21-38141-B
岵	21-38220-S
岵 岵	21-38220-B
岷	21-38253-S
岷 岷	21-38253-B
岷县	21-38362-S
岷江	21-38302-S
岷江 岷江	21-38302-B
岷縣 岷县	21-38362-B
岸	21-38416-S
岸 岸	21-38416-B
岸上	21-38460-S
岸上 岸上	21-38460-B
岸标	21-38501-S
岸標 岸标	21-38501-B
岸然	21-38558-S
岸然 岸然	21-38558-B
岸边	21-38605-S
岸邊 岸边	21-38605-B
岽	21-44755-S
岿	21-49439-S
峄	21-48626-S
峄城区	21-48673-S
峇	21-38644-S,21-38684-S
峇 峇	21-38644-B,21-38684-B
峇厘	21-38710-S
峇厘 峇厘	21-38710-B
峇里	21-38772-S
峇里 峇里	21-38772-B
峋	21-38821-S
峋 峋	21-38821-B
峒	21-38859-S,21-38899-S
峒 峒	21-38859-B,21-38899-B
峓	21-38941-S
峓 峓	21-38941-B
峙	21-38973-S
峙 峙	21-38973-B
峞	21-39009-S
峞 峞	21-39009-B
峡	21-40600-S
峡江	21-40628-S
峡江县	21-40695-S
峡湾	21-40774-S
峡谷	21-40815-S
峤	21-48461-S
峥	21-44809-S
峦	21-49548-S
峨	21-39047-S
峨 峨	21-39047-B
峨山彝族自治县	21-39092-S
峨山彝族自治縣 峨山彝族自治县	21-39092-B
峨嵋山	21-39216-S
峨嵋山 峨嵋山	21-39216-B
峨嵋山市	21-39278-S
峨嵋山市 峨嵋山市	21-39278-B
峨嵋拳	21-39357-S
峨嵋拳 峨嵋拳	21-39357-B
峨眉乡	21-39550-S
峨眉山	21-39409-S
峨眉山 峨眉山	21-39409-B
峨眉山市	21-39471-S
峨眉山市 峨眉山市	21-39471-B
峨眉鄉 峨眉乡	21-39550-B
峨边彝族自治县	21-39623-S
峨邊彝族自治縣 峨边彝族自治县	21-39623-B
峪	21-39748-S
峪 峪	21-39748-B
峭	21-39776-S
峭 峭	21-39776-B
峭壁	21-39810-S
峭壁 峭壁	21-39810-B
峰	21-39865-S
峰 峰	21-39865-B
峰会	21-40178-S
峰回路轉 峰回路转	21-39900-B
峰回路转	21-39900-S
峰峦	21-40123-S
峰峰矿区	21-40031-S
峰峰礦區 峰峰矿区	21-40031-B
峰巒 峰峦	21-40123-B
峰會 峰会	21-40178-B
峰線 峰线	21-40227-B
峰线	21-40227-S
峱	21-40282-S
峱 峱	21-40282-B
峴 岘	21-40323-B
島 岛	21-40357-B
島國 岛国	21-40386-B
島嶼 岛屿	21-40433-B
島蓋部 岛盖部	21-40473-B
峹	21-40532-S
峹 峹	21-40532-B
峻	21-40572-S
峻 峻	21-40572-B
峽 峡	21-40600-B
峽江 峡江	21-40628-B
峽江縣 峡江县	21-40695-B
峽灣 峡湾	21-40774-B
峽谷 峡谷	21-40815-B
峿	21-40866-S
峿 峿	21-40866-B
崀	21-40906-S
崀 崀	21-40906-B
崁頂鄉 崁顶乡	21-40958-B
崁顶乡	21-40958-S
崂	21-48100-S
崂山	21-48153-S
崂山区	21-48240-S
崃	21-43096-S
崆	21-41037-S
崆 崆	21-41037-B
崇	21-41079-S
崇 崇	21-41079-B
崇义	21-42732-S
崇义县	21-42806-S
崇仁	21-41133-S
崇仁 崇仁	21-41133-B
崇仁县	21-41208-S
崇仁縣 崇仁县	21-41208-B
崇信	21-41295-S
崇信 崇信	21-41295-B
崇安	21-41360-S
崇安 崇安	21-41360-B
崇尚	21-41425-S
崇尚 崇尚	21-41425-B
崇州	21-41527-S
崇州 崇州	21-41527-B
崇州市	21-41587-S
崇州市 崇州市	21-41587-B
崇左	21-41678-S
崇左 崇左	21-41678-B
崇左市	21-41755-S
崇左市 崇左市	21-41755-B
崇庆	21-41843-S
崇慶 崇庆	21-41843-B
崇拜	21-41912-S
崇拜 崇拜	21-41912-B
崇拜仪式	21-41968-S
崇拜儀式 崇拜仪式	21-41968-B
崇拜者	21-42040-S
崇拜者 崇拜者	21-42040-B
崇敬	21-42097-S
崇敬 崇敬	21-42097-B
崇文区	21-42155-S
崇文區 崇文区	21-42155-B
崇文門 崇文门	21-42255-B
崇文门	21-42255-S
崇明	21-42324-S
崇明 崇明	21-42324-B
崇明岛	21-42394-S
崇明島 崇明岛	21-42394-B
崇洋媚外	21-42451-S
崇洋媚外 崇洋媚外	21-42451-B
崇礼	21-42669-S
崇祯	21-42623-S
崇禎 崇祯	21-42623-B
崇禮 崇礼	21-42669-B
崇義 崇义	21-42732-B
崇義縣 崇义县	21-42806-B
崇阳	21-42892-S
崇陽 崇阳	21-42892-B
崇高	21-42959-S
崇高 崇高	21-42959-B
崋	21-43011-S
崋 崋	21-43011-B
崌	21-43061-S
崌 崌	21-43061-B
崍 崃	21-43096-B
崎	21-43148-S
崎 崎	21-43148-B
崎岖	21-43181-S
崎嶇 崎岖	21-43181-B
崑 昆	21-43219-B
崑劇 昆剧	21-43258-B
崑士蘭 昆士兰	21-43302-B
崑崙 昆仑	21-43357-B
崑崙山 昆仑山	21-43436-B
崒	21-43529-S,21-43614-S
崒 崒	21-43529-B,21-43614-B
崔	21-43667-S
崔 崔	21-43667-B
崔亚琳	21-43727-S
崔亞琳 崔亚琳	21-43727-B
崔嵬	21-43816-S,21-43868-S
崔嵬 崔嵬	21-43816-B,21-43868-B
崔明慧	21-43943-S
崔明慧 崔明慧	21-43943-B
崔永元	21-44003-S
崔永元 崔永元	21-44003-B
崔顥 崔颢	21-44062-B
崔颢	21-44062-S
崔鴻 崔鸿	21-44110-B
崔鸿	21-44110-S
崖	21-44153-S
崖 崖	21-44153-B
崗 岗	21-44206-B
崗位 岗位	21-44252-B
崗巴 岗巴	21-44299-B
崙 仑	21-44360-B
崙背鄉 仑背乡	21-44428-B
崚	21-44505-S
崚 崚	21-44505-B
崛	21-44551-S
崛 崛	21-44551-B
崛起	21-44592-S
崛起 崛起	21-44592-B
崞	21-44664-S
崞 崞	21-44664-B
崟	21-44705-S
崟 崟	21-44705-B
崠 岽	21-44755-B
崢 峥	21-44809-B
崤	21-44845-S
崤 崤	21-44845-B
崦	21-44885-S
崦 崦	21-44885-B
崧	21-44935-S
崧 崧	21-44935-B
崩	21-44992-S
崩 崩	21-44992-B
崩塌	21-45078-S
崩塌 崩塌	21-45078-B
崩毀 崩毁	21-45128-B
崩毁	21-45128-S
崩溃	21-45222-S
崩漏	21-45171-S
崩漏 崩漏	21-45171-B
崩潰 崩溃	21-45222-B
崩症	21-45284-S
崩症 崩症	21-45284-B
崩裂	21-45390-S
崩裂 崩裂	21-45390-B
崩陷	21-45442-S
崩陷 崩陷	21-45442-B
崩龍族 崩龙族	21-45493-B
崩龙族	21-45493-S
崭	21-47374-S
崭亮	21-47414-S
崭劲	21-47468-S
崭新	21-47530-S
崭晴	21-47574-S
崭然	21-47623-S
崭露头角	21-47678-S
崭齐	21-47817-S
崮	21-45591-S
崮 崮	21-45591-B
崱	21-45640-S
崱 崱	21-45640-B
崳	21-45667-S
崳 崳	21-45667-B
崴	21-45716-S
崴 崴	21-45716-B
崶	21-45743-S
崶 崶	21-45743-B
崽	21-45791-S
崽 崽	21-45791-B
崿	21-45830-S
崿 崿	21-45830-B
嵂	21-45866-S
嵂 嵂	21-45866-B
嵇	21-45909-S
嵇 嵇	21-45909-B
嵊	21-45960-S
嵊 嵊	21-45960-B
嵊县	21-46088-S
嵊泗县	21-46015-S
嵊泗縣 嵊泗县	21-46015-B
嵊縣 嵊县	21-46088-B
嵋	21-46149-S
嵋 嵋	21-46149-B
嵌	21-46201-S
嵌 嵌	21-46201-B
嵌入	21-46242-S
嵌入 嵌入	21-46242-B
嵎	21-46287-S
嵎 嵎	21-46287-B
嵐 岚	21-46323-B
嵐皋 岚皋	21-46369-B
嵐縣 岚县	21-46432-B
嵒	21-46487-S
嵒 嵒	21-46487-B
嵓	21-46515-S
嵓 嵓	21-46515-B
嵘	21-49062-S
嵙	21-46556-S
嵙 嵙	21-46556-B
嵛	21-46588-S
嵛 嵛	21-46588-B
嵝	21-47293-S
嵞	21-46632-S
嵞 嵞	21-46632-B
嵞山	21-46688-S
嵞山 嵞山	21-46688-B
嵩	21-46759-S
嵩 嵩	21-46759-B
嵩县	21-46991-S
嵩山	21-46805-S
嵩山 嵩山	21-46805-B
嵩明	21-46857-S
嵩明 嵩明	21-46857-B
嵩明县	21-46918-S
嵩明縣 嵩明县	21-46918-B
嵩縣 嵩县	21-46991-B
嵫	21-47047-S
嵫 嵫	21-47047-B
嵬	21-47096-S
嵬 嵬	21-47096-B
嵯	21-47124-S
嵯 嵯	21-47124-B
嵴	21-47169-S
嵴 嵴	21-47169-B
嵼	21-47207-S
嵼 嵼	21-47207-B
嵾	21-47252-S
嵾 嵾	21-47252-B
嶁 嵝	21-47293-B
嶂	21-47329-S
嶂 嶂	21-47329-B
嶄 崭	21-47374-B
嶄亮 崭亮	21-47414-B
嶄勁 崭劲	21-47468-B
嶄新 崭新	21-47530-B
嶄晴 崭晴	21-47574-B
嶄然 崭然	21-47623-B
嶄露頭角 崭露头角	21-47678-B
嶄齊 崭齐	21-47817-B
嶇 岖	21-47863-B
嶋	21-47891-S
嶋 嶋	21-47891-B
嶌	21-47932-S
嶌 嶌	21-47932-B
嶒	21-47973-S
嶒 嶒	21-47973-B
嶓	21-48014-S
嶓 嶓	21-48014-B
嶔	21-48054-S
嶔 嶔	21-48054-B
嶗 崂	21-48100-B
嶗山 崂山	21-48153-B
嶗山區 崂山区	21-48240-B
嶙	21-48337-S
嶙 嶙	21-48337-B
嶝	21-48375-S
嶝 嶝	21-48375-B
嶞	21-48425-S
嶞 嶞	21-48425-B
嶠 峤	21-48461-B
嶡	21-48497-S,21-48543-S
嶡 嶡	21-48497-B,21-48543-B
嶢	21-48584-S
嶢 嶢	21-48584-B
嶧 峄	21-48626-B
嶧城區 峄城区	21-48673-B
嶨	21-48748-S
嶨 嶨	21-48748-B
嶭	21-48789-S
嶭 嶭	21-48789-B
嶮	21-48818-S
嶮 嶮	21-48818-B
嶰	21-48860-S
嶰 嶰	21-48860-B
嶲	21-48898-S
嶲 嶲	21-48898-B
嶴	21-48981-S
嶴 嶴	21-48981-B
嶷	21-49013-S
嶷 嶷	21-49013-B
嶸 嵘	21-49062-B
嶺 岭	21-49091-B
嶼 屿	21-49129-B
嶽 岳	21-49156-B
嶽麓書院 岳麓书院	21-49187-B
巂	21-49268-S
巂 巂	21-49268-B
巃	21-49312-S
巃 巃	21-49312-B
巅	21-49587-S
巅峰	21-49617-S
巇	21-49367-S
巇 巇	21-49367-B
巉	21-49410-S
巉 巉	21-49410-B
巋 岿	21-49439-B
巍	21-49497-S
巍 巍	21-49497-B
巒 峦	21-49548-B
巔 巅	21-49587-B
巔峰 巅峰	21-49617-B
巖 岩	21-49671-B
巖層 岩层	21-49699-B
巖床 岩床	21-49745-B
巖畫 岩画	21-49789-B
巖鹽 岩盐	21-49871-B
巘	21-49914-S
巘 巘	21-49914-B
川	21-49953-S
川 川	21-49953-B
川党	21-50598-S
川党参	21-50674-S
川剧	21-50073-S
川劇 川剧	21-50073-B
川沙	21-50121-S
川沙 川沙	21-50121-B
川流不息	21-50189-S
川流不息 川流不息	21-50189-B
川滇藏	21-50318-S
川滇藏 川滇藏	21-50318-B
川菜	21-50374-S
川菜 川菜	21-50374-B
川菜厅	21-50426-S
川菜廳 川菜厅	21-50426-B
川藏	21-50494-S
川藏 川藏	21-50494-B
川西	21-50548-S
川西 川西	21-50548-B
川黨 川党	21-50598-B
川黨參 川党参	21-50674-B
州	21-50762-S
州 州	21-50762-B
州長 州长	21-50831-B
州长	21-50831-S
巟	21-50920-S
巟 巟	21-50920-B
巡	21-50968-S
巡 巡	21-50968-B
巡回	21-51021-S
巡回 巡回	21-51021-B
巡回法庭	21-51062-S
巡回法庭 巡回法庭	21-51062-B
巡回演出	21-51148-S
巡回演出 巡回演出	21-51148-B
巡弋	21-51262-S
巡弋 巡弋	21-51262-B
巡抚	21-51318-S
巡撫 巡抚	21-51318-B
巡查	21-51403-S
巡查 巡查	21-51403-B
巡洋舰	21-51446-S
巡洋艦 巡洋舰	21-51446-B
巡测仪	21-51525-S
巡測儀 巡测仪	21-51525-B
巡游	21-51958-S
巡航	21-51580-S
巡航 巡航	21-51580-B
巡航导弹	21-51624-S
巡航導彈 巡航导弹	21-51624-B
巡視 巡视	21-51695-B
巡视	21-51695-S
巡警	21-51753-S
巡警 巡警	21-51753-B
巡迴	21-51802-S
巡迴 巡迴	21-51802-B
巡迴分析端口	21-51856-S
巡迴分析端口 巡迴分析端口	21-51856-B
巡逻	21-52011-S
巡逻艇	21-52062-S
巡逻车	21-52119-S
巡逻队	21-52174-S
巡遊 巡游	21-51958-B
巡邏 巡逻	21-52011-B
巡邏艇 巡逻艇	21-52062-B
巡邏車 巡逻车	21-52119-B
巡邏隊 巡逻队	21-52174-B
巢	21-52224-S
巢 巢	21-52224-B
巢湖	21-52252-S
巢湖 巢湖	21-52252-B
巢湖地区	21-52335-S
巢湖地區 巢湖地区	21-52335-B
巢湖市	21-52428-S
巢湖市 巢湖市	21-52428-B
巢穴	21-52510-S
巢穴 巢穴	21-52510-B
巣	21-52566-S
巣 巣	21-52566-B
工	21-52613-S
工 工	21-52613-B
工业	21-55612-S
工业化	21-55654-S
工业化国家	21-55733-S
工业品	21-55822-S
工业园区	21-55954-S
工业国	21-55885-S
工业大学	21-56025-S
工业现代化	21-56112-S
工业的巨头	21-56205-S
工业设计	21-56283-S
工业革命	21-56355-S
工事	21-52683-S
工事 工事	21-52683-B
工人	21-52789-S
工人 工人	21-52789-B
工人党	21-52969-S
工人日報 工人日报	21-52830-B
工人日报	21-52830-S
工人阶级	21-52900-S
工人階級 工人阶级	21-52900-B
工人黨 工人党	21-52969-B
工会	21-55476-S
工伤	21-54016-S
工作	21-53059-S
工作 工作	21-53059-B
工作人员	21-53120-S
工作人員 工作人员	21-53120-B
工作单位	21-53183-S
工作單位 工作单位	21-53183-B
工作報告 工作报告	21-53249-B
工作室	21-53337-S
工作室 工作室	21-53337-B
工作报告	21-53249-S
工作服	21-53398-S
工作服 工作服	21-53398-B
工作站	21-53455-S
工作站 工作站	21-53455-B
工作組 工作组	21-53524-B
工作组	21-53524-S
工作表	21-53609-S
工作表 工作表	21-53609-B
工作記憶 工作记忆	21-53665-B
工作记忆	21-53665-S
工作过度	21-53734-S
工作過度 工作过度	21-53734-B
工作量	21-53798-S
工作量 工作量	21-53798-B
工作队	21-53869-S
工作隊 工作队	21-53869-B
工作面	21-53943-S
工作面 工作面	21-53943-B
工傷 工伤	21-54016-B
工党	21-57535-S
工兵	21-54070-S
工兵 工兵	21-54070-B
工具	21-54123-S
工具 工具	21-54123-B
工具书	21-54186-S
工具書 工具书	21-54186-B
工具箱	21-54267-S
工具箱 工具箱	21-54267-B
工农	21-57389-S
工匠	21-54321-S
工匠 工匠	21-54321-B
工厂	21-55317-S
工商	21-54371-S
工商 工商	21-54371-B
工商业	21-54429-S
工商業 工商业	21-54429-B
工商界	21-54484-S
工商界 工商界	21-54484-B
工商管理硕士	21-54562-S
工商管理碩士 工商管理硕士	21-54562-B
工商銀行 工商银行	21-54683-B
工商银行	21-54683-S
工地	21-54789-S
工地 工地	21-54789-B
工夫	21-54840-S,21-54886-S
工夫 工夫	21-54840-B,21-54886-B
工夫茶	21-54953-S
工夫茶 工夫茶	21-54953-B
工头	21-57493-S
工委	21-55047-S
工委 工委	21-55047-B
工学院	21-55099-S
工學院 工学院	21-55099-B
工布江达	21-55167-S
工布江達 工布江达	21-55167-B
工序	21-55258-S
工序 工序	21-55258-B
工廠 工厂	21-55317-B
工整	21-55361-S
工整 工整	21-55361-B
工时	21-55433-S
工時 工时	21-55433-B
工會 工会	21-55476-B
工期	21-55534-S
工期 工期	21-55534-B
工業 工业	21-55612-B
工業化 工业化	21-55654-B
工業化國家 工业化国家	21-55733-B
工業品 工业品	21-55822-B
工業國 工业国	21-55885-B
工業園區 工业园区	21-55954-B
工業大學 工业大学	21-56025-B
工業現代化 工业现代化	21-56112-B
工業的巨頭 工业的巨头	21-56205-B
工業設計 工业设计	21-56283-B
工業革命 工业革命	21-56355-B
工程	21-56432-S
工程 工程	21-56432-B
工程图	21-56523-S
工程图学	21-56608-S
工程圖 工程图	21-56523-B
工程圖學 工程图学	21-56608-B
工程学	21-56704-S
工程學 工程学	21-56704-B
工程师	21-56763-S
工程師 工程师	21-56763-B
工艺	21-56891-S
工艺品	21-56956-S
工艺美术	21-57029-S
工薪阶层	21-56819-S
工薪階層 工薪阶层	21-56819-B
工藝 工艺	21-56891-B
工藝品 工艺品	21-56956-B
工藝美術 工艺美术	21-57029-B
工蜂	21-57096-S
工蜂 工蜂	21-57096-B
工行	21-57142-S
工行 工行	21-57142-B
工讀學校 工读学校	21-57260-B
工读学校	21-57260-S
工資 工资	21-57346-B
工资	21-57346-S
工農 工农	21-57389-B
工錢 工钱	21-57445-B
工钱	21-57445-S
工頭 工头	21-57493-B
工黨 工党	21-57535-B
工齡 工龄	21-57597-B
工龄	21-57597-S
左	21-57660-S
左 左	21-57660-B
左丘明	21-57699-S
左丘明 左丘明	21-57699-B
左云	21-59657-S
左传	21-57823-S
左侧	21-57781-S
左倾机会主义	21-57879-S
左側 左侧	21-57781-B
左傳 左传	21-57823-B
左傾機會主義 左倾机会主义	21-57879-B
左前卫	21-58029-S
左前衛 左前卫	21-58029-B
左右	21-58105-S
左右 左右	21-58105-B
左右勾拳	21-58180-S
左右勾拳 左右勾拳	21-58180-B
左右手	21-58286-S
左右手 左右手	21-58286-B
左右逢源	21-58371-S
左右逢源 左右逢源	21-58371-B
左岸	21-58540-S
左岸 左岸	21-58540-B
左思	21-58593-S
左思 左思	21-58593-B
左思右想	21-58646-S
左思右想 左思右想	21-58646-B
左撇子	21-58792-S
左撇子 左撇子	21-58792-B
左权	21-58846-S
左权县	21-58905-S
左權 左权	21-58846-B
左權縣 左权县	21-58905-B
左氏春秋	21-58976-S
左氏春秋 左氏春秋	21-58976-B
左派	21-59066-S
左派 左派	21-59066-B
左營區 左营区	21-59134-B
左翼	21-59207-S
左翼 左翼	21-59207-B
左舵	21-59261-S
左舵 左舵	21-59261-B
左营区	21-59134-S
