cdc	44-7124-S
censorship bureau	15-5246-S,23-13405-S,23-15372-S,23-15540-S
censorship organization	30-54170-S
censure	27-59874-S,27-69439-S,59-41144-B,59-44279-B,59-44738-S,70-28610-S
censure sb for his past misdeeds	2-1605-S
census	4-7086-B,4-7318-B,12-56290-S,31-48761-B
census or taxation	26-24480-S
census register	26-25261-B
cent	1-3082-B,2-11817-S,8-59368-B,44-51478-S
cent united states coin	51-2121-S
centaur	4-18786-B
centaur mythology	10-54678-B
centauri or rigel kentaurus	11-4587-S
centaurus constellation	10-54741-B
center	2-41529-S,2-42345-S,2-48825-B,2-65617-B,2-71234-B,2-73944-B,6-19208-S,12-23878-S,13-17481-S,13-59778-S,13-59778-S,15-20049-S,15-63723-S,17-63372-B,18-50631-S,18-50631-S,19-52038-S,22-11619-S,22-12037-S,27-39256-S,27-48891-S,27-59132-S,32-42546-S,37-63915-S,43-65182-S,46-13794-S,49-38050-S,52-13556-S,57-14433-S,59-63538-S,63-13157-S,63-49643-S,64-27115-S,66-58226-S,69-27364-S
center acupuncture point	4-5647-S
center basketball	2-83342-B
center cdstic	2-56276-S
center cssrc	2-63495-S
center embedded relative clauses	2-71287-B
center for disease control us	44-7319-B
center for global development an environmental think tank	7-39469-B
center forward soccer position	2-51335-B
center in mali	23-19847-S,62-6917-S
center jnacc	51-60198-S
center of a flower	53-55778-S
center of a wheel accommodating the axle archaic	35-10685-S
center of circle	15-23575-B
center of force	9-45980-B
center of gravity	59-60092-B,63-58683-B
center of projection	27-1221-B
center of the universe	31-6971-S
center on an issue	15-22270-S
centered around huangshan mountains in south anhui	71-18049-S,71-18194-S
centers are hotter	15-61983-S,41-18485-S,41-18566-S
centers for disease control cdc	44-7124-B
centigrade	29-34884-B,29-34936-S
centigrade temperature scale	29-35066-S
centigram	11-29227-B
centiliter	11-29268-B
centimeter	7-56731-B,11-29313-B,47-60988-S,64-7274-B
centipede	55-58411-S,55-58786-S,56-3840-B,56-3871-B,56-6849-S
centipede dies but never falls down	44-57909-S
centipede s path	55-58841-S
centipedes and millipedes	16-63734-B,16-63823-B
central	2-65617-B,2-76148-B
central academy of drama	2-66747-B
central administration	15-40988-S
central africa	3-223-B
central african republic	3-223-B,3-298-B,42-46596-S
central america	2-78770-B,69-43967-S
central artery of the brain	15-68330-S
central asia	2-49023-B,2-49070-B,4-65964-S,4-66051-S,12-60458-S,16-16121-S,17-20860-S,17-20956-S,31-49127-S,32-27206-S,32-27983-S,32-28069-S,66-8233-S,68-9624-S
central asia and india	57-14686-S
central asia first identified in 1881 by nikolai mikhailovich przevalski 普爾熱瓦爾斯基 普尔热瓦尔斯基	31-49349-S
central asia including xinjiang	3-59976-S
central asia to europe	3-59833-S
central asian grasslands	2-49137-B
central asian music e g as appreciated by tang literati	52-21878-B
central asian nomads	57-17475-S
central asian zurna	57-53806-S,57-53924-S
central axis	2-81906-B
central axis in chinese architecture	20-53738-B
central axis line	2-81960-B,61-5622-B
central bank	2-67811-B,35-28330-S
central bank abbr for 中央銀行 中央银行	17-63709-B
central beijing	42-34785-S,57-14363-S
central china	19-28481-S,19-28630-S,37-19058-S,37-19130-S,39-10462-S,39-10534-S,39-10725-S,39-10865-S,39-11749-S,46-22646-S,54-31659-B,55-44970-S,55-45168-S,59-25303-S,59-42585-S,59-42739-S,63-28290-S,63-33986-S,63-34179-S,65-16403-S,65-16522-S
central committee	2-50625-S,2-54596-S,2-65675-S,2-66122-B,60-64749-S,60-64843-S,71-43837-S
central committee of the communist party of china	2-50728-S,2-54416-B
central conservatory of music	2-68169-B
central core	63-58683-B
central core of tree	24-34237-B
central daily news	2-66929-B
central europe	2-74188-B
central exchange	50-33842-B
central executive committee of communist party or guomindang	2-65966-B
central finance	2-65870-B
central government	2-66851-B
central intelligence agency	2-66646-B
central intelligence agency abbr 	2-71774-B
central java	2-75925-B
central military commission	2-80134-S
central military committee cmc	2-67644-B
central moment	2-71421-S
central myanmar burma	9-65200-S,9-65314-S,64-46557-S
central nervous system cns	2-74078-B
central news agency	32-47459-S,32-50113-S
central news agency kcna	32-49987-S
central news agency taiwan	2-67471-B
central north china	17-56396-S,17-56528-S,57-15540-S,57-15966-S,66-19584-S,66-19797-S
central office	50-32892-B,67-25264-B
central pavilion of the forbidden city rendered in english as hall of supreme harmony	17-57431-S
central plains of china	2-51979-S
central point	16-1950-B,24-30819-B
central processing unit cpu	2-67547-B
central propaganda department of the chinese communist party	2-66210-B,2-68810-B
central propaganda section	2-66210-B,2-68810-B
central province	2-67285-B
central region	2-51749-S
central section	2-83076-B
central state	2-67735-B
central taiwan	12-17849-S
central television cctv	2-52595-S,2-67965-S
central tibet	19-45695-S,34-7087-S,36-58462-S,43-8227-S,49-16795-S,50-63997-S,55-26328-S,63-16892-S
central tokyo	31-10086-S
central university for nationalities	2-67005-B
central yunnan	34-30838-S
centralis depression in the macula retina	2-65775-S
centralism	36-18778-S
centralize	49-52154-S,66-56610-S
centralized	66-56610-B
centralized autocratic rule	2-66421-B
centralized government	2-73944-S
centralized power hist 	66-58585-B
centralized state power	2-67883-B
centred dot mark · punct used to separate western names or words	65-47130-S
centred show off	17-27182-S
centrifugal force	67-9646-B,67-9772-B
centrifuge	36-31763-S,52-33532-S,67-9698-B,67-9832-B
centriole	2-71494-B
centripetal force	12-63114-B
centrist	2-77443-B
centrist faction	2-77443-S
cents	3-47478-S,3-51262-S
cents or one dollar	16-14232-S
centuries	3-9894-S,26-17598-S
century	1-45793-S,2-41799-B,2-41839-S,2-80884-S,3-33143-S,3-33503-S,3-65396-S,6-3775-S,6-62513-S,6-62603-S,10-54480-S,21-58593-S,23-40264-S,30-27816-S,31-22273-S,31-24875-S,31-24949-S,32-67922-S,32-68028-S,35-45311-S,37-63520-S,38-61764-S,44-53148-B,45-44445-S,47-1132-S,48-30686-S,49-30511-S,49-30616-S,50-58003-S,57-7898-S,61-47442-S,63-24806-S
century ad	8-48666-S,12-61181-S,12-65532-S,17-9707-S,17-68782-S,23-32265-S,29-614-S,34-28368-S,55-25128-S,55-26020-S,66-39317-S
century bc	4-23544-S,6-25709-S,13-58017-S,13-61165-S,30-497-S,35-43618-S,44-47599-S,47-10113-S,49-3639-S,53-31878-S,65-52176-S
century bc mythical leader who tamed the floods	17-29797-S
century bc on tortoiseshells or animal bones	11-11642-S
century china	31-45217-S,51-41441-S
century chinese calendar established by zu chongzhi 祖冲之	17-20048-S
century commonly used name	30-43477-S
century e g the sixties	22-47102-S
century expeditions to the western pacific	1-62826-S
century folk hero	50-62240-S
century imperialist powers and japan	5-27833-S
century leading up to 1911 xinhai revolution 辛亥革命	11-51102-S
century now called wuqia 烏恰縣 乌恰县	40-38909-S,40-39084-S
century southern song poet fan gongcheng 範公偁 范公偁	62-44983-S
cenxi place in guangxi	21-34579-S
ceo	69-22031-B
cephalosporin pharmacology	68-36966-B,68-37051-B
cephalothin	68-36966-B,68-37051-B
cephalus	70-44088-S
cepheus constellation	4-29444-B
cerambyx rugicollis	56-22128-B
ceramic	43-12435-B
ceramic material	41-15576-S
ceramic teapot	39-34010-S
ceramics	66-31578-B
ceramics art	66-31762-B
cercaria microscopic larva of parasitic miracidium flatworm	21-15577-B
cercis chinensis	49-29561-B
cereal	47-10695-B,47-10869-B,47-36876-B,47-37091-S,47-37228-B,52-29079-S
cereal crops to collapse and lie flat	5-55241-S
cereals	49-532-B,69-3260-S
cerebellum part of the brain	20-69648-B
cerebral concussion	52-41192-S
cerebral cortex	45-366-B
cerebral hemorrhage	52-31511-S,52-39264-B
cerebral palsy	52-39810-B
cerebrospinal fluid	52-40647-B
cerebrum	17-31936-B
cerefolium	54-10414-S
ceremonial	14-13417-S
ceremonial dress determining the grade of an official	13-34044-B
ceremonial entry	7-24305-B
ceremonial gowns	57-7762-S
ceremonial music of each succeeding chinese dynasty starting with the zhou	66-55268-S
ceremonial procession	26-49604-S
ceremonial vessel	59-18690-B
ceremonies	6-54400-S,65-28029-S
ceremonious	66-38110-B
ceremony	1-61022-S,1-62258-S,3-68646-S,3-70313-S,6-53985-B,6-54050-B,6-54244-B,8-5861-B,9-3489-S,9-30778-S,10-53220-S,11-65092-S,14-11676-S,16-3353-S,16-4820-S,16-4889-S,18-53996-S,26-3248-S,27-6453-S,27-39450-S,27-45189-S,27-45442-S,28-48434-S,41-27316-S,45-4503-S,46-17006-S,47-1819-S,47-7995-B,49-35109-S,49-36360-S,51-48317-S,65-34051-S
ceremony at 20 years	9-51588-S
ceremony for the dead	23-27034-S
ceremony of capping the roof to mark the completion of a building project	20-34612-B
ceremony of sacrifice	19-60329-B
ceres	18-53944-B,47-36965-B
cerium ce58	64-22049-B
cern	17-11901-S,35-29503-S
cernan 1934 	16-20091-S
cernan apollo 17 astronaut	21-8574-S
cerro aconcagua	66-10219-B,66-10289-B
certain	24-41560-B,30-34936-B,33-42059-S,46-33291-B,46-33291-S,48-33679-B,52-13173-S,52-13173-B,65-10993-B,65-11063-B
certain adjectives	7-70152-S
certain animals	66-51818-S
certain appearance	13-8325-S
certain date	40-32619-S
certain destruction	69-0-S
certain extent	15-35340-S,45-29958-S
certain extent etc	1-6575-S
certain field	68-20086-S
certain food	12-26411-S,12-26481-S
certain food as when ill	24-42190-S
certain foods	24-42190-S
certain foods during pregnancy	19-59053-S
certain ly	12-10925-B
certain nouns	22-2746-S
certain number or amount of	53-66149-S
certain person	33-42186-S
certain place	19-29653-S
certain point of view	5-18624-S,5-19307-S
certain position	19-29508-S
certain temperature	41-26189-S
certain thing	17-17852-S
certain things	33-42131-B
certain time	19-45832-S,40-32619-S
certain trade	5-54212-S
certain types of work	26-31403-S,26-31403-S
certain units	8-48969-S
certain year	22-47342-B
certainly	1-6575-B,5-38699-B,24-40725-B,30-59582-B,42-55266-S,43-67747-B,46-33755-B
certainty	26-65687-B,36-16582-B
certainty about sth	38-48544-S
certificate	8-42724-S,8-42809-S,10-16948-S,25-55150-S,25-55564-B,32-22821-S,46-63732-S,48-41116-B,58-59605-B,58-59605-B,58-60201-S,58-60829-B,58-60888-B,58-60947-B
certificate of prize	42-16896-B
certificate of property ownership	26-27157-B
certificates investments	25-55833-B
certification	58-60947-S
certify	48-41116-S
cerumen	51-39393-B,51-39886-B,51-40142-B
cervantes	16-2153-S
cervical cancer	19-1066-B
cervical smear	19-58131-B
cervical vertebra	68-41052-B
cervical vertebrae in the neck of humans and most mammals	68-41052-S
cervix	19-995-B,19-58070-B
cesarean section	9-26921-B,9-27137-B,22-25602-B
cesarean section operation	9-26984-B,9-27198-B
cesium cs	64-32641-B
cesspit	36-62981-B
cestrum nocturnum	17-590-B,17-1983-B
cetacea whale family	70-44774-B
cetane number quality of light diesel fuel	10-44917-B
cetera	48-17202-S
cetus constellation	70-44869-B
ceuta moroccan northern city	4-56357-B
ceyhan turkish mediterranean port	6-27079-B
ceylon	30-43099-S
cf biblical nativity story	51-46173-S
cf birthday of the flowers on lunar 15th february and mid autumn festival on lunar 15th august	53-56819-B
cf book of songs how to fashion an ax handle you need an ax	4-55149-B,29-21528-B
cf can the sparrow know the will of the great swan 燕雀安知鴻鵠之志 燕雀安知鸿鹄之志	41-29352-B
cf cao cao 曹操 155 220	58-32565-B
cf china joined wto in 2003	7-23888-B
cf confucian analects	4-44306-S
cf dr dong feng 董奉	33-6563-S
cf famous episode in the fictional romance of three kingdoms 三國演義 三国演义 in which liu bei 劉備 刘备 recruits zhuge liang 諸葛亮 诸葛亮 the hidden dragon 臥龍 卧龙 to his cause by visiting him three times	1-44380-B
cf four horsemen of the apocalypse	3-51918-B
cf irish banshee	14-13628-S,14-13737-S
cf japan s surrender in wwii on 15th august 1945	49-36023-B
cf japan s surrender on 15th august 1945	57-49674-B
cf japanese surrender in wwii on 15th august 1945	7-48581-B,7-48676-B,49-35916-B
cf letter from chu 楚 capital ying 郢 郢 contains inadvertent words hold up the candle that minister of yan 燕 puzzles out to mean brilliant prospects	63-22219-B
cf liu bang 劉邦 刘邦 in his tent trusts his general a thousand miles away to make better decisions	61-46766-B
cf mao zedong in north shaanxi folk song the east is red 東方紅 东方红	29-64167-B
cf periodic table of the elements 元素週期表 元素周期表	62-27384-B
cf politician wu zixu 伍子胥	13-6199-B
cf qin and se 琴瑟	50-44309-B
cf song founding emperor song taizu 宋太祖 holds a banquet in 961 and persuades his senior army commanders to go home to their provinces	33-13968-B
cf star of bethlehem in biblical nativity story	29-64167-S
cf to have known the world	32-16545-B
cf trojan horse	32-55667-S
cf wu zixu 伍子胥	13-298-B,13-6329-B
cf zhao kuo 趙括 赵括 leading an army of 400	49-21294-S
cf 两江 and 两湖	36-59731-B
cf 圓錐體 圆锥体 a cone	15-24969-B
cf 大地	17-19707-S
cf 箜篌	48-24832-B
cf 紫芝眉宇	53-50679-B
cf 羅雀掘鼠 罗雀掘鼠 to net birds and dig for rats 成语 saw	50-58184-B
cf 貉子	59-27268-B
cf98	65-1122-S
cflac	2-58773-S
cgi	7-71027-B
cgs	2-57009-S
cgwic	2-64665-S
ch 3n pharmacology	14-23048-S
ch ien lung	3-25727-S
ch ing or qing dynasty	38-61764-S
ch ing or qing dynasty 1644 1911	17-25392-S,17-25472-S,38-58446-S,38-58640-S,38-61694-B,38-63882-S
ch üan 1812 1864	37-62065-S
ch2chcho	2-44482-S
ch3 2aso2h	3-39329-S,3-39443-S
ch3 chem 	43-39691-S
ch3ch2cho	2-45231-S
ch3cl	36-36589-S
ch3cooh	3-16974-S,63-47216-S
ch3och3	43-42034-S
ch3oh	43-41863-S
ch4	37-25395-S,43-40764-S
cha	69-6527-S
cha 1924 	64-10586-S
cha fist martial art	33-45981-S
cha quan cha fist martial art	33-45981-B
cha siu baau	11-42064-B
chacun son gout	12-29586-B,12-29750-B
chad	3-11173-B,3-11210-S,25-3026-S
chaenomeles japonica	33-45361-B
chaff	47-22072-B
chagatai died 1241	20-10430-B
chagos archipelago	33-45761-B
chaha er youyi houqi place in inner mongolia	20-10633-S
chaha er youyi zhongqi place in inner mongolia	20-10494-S
chai	33-50859-S
chai area in hong kong	40-18933-S
chain	1-12142-S,3-40488-S,5-22489-S,7-47254-S,14-7174-S,14-22372-S,15-12690-S,16-11814-S,16-62850-S,19-31863-S,22-21249-S,33-39904-S,34-21028-S,37-3531-S,43-32188-S,46-32779-S,49-44778-S,52-15419-S,54-47764-S,56-48662-S,62-23072-B,62-25709-B,64-34975-B,64-49707-S,64-52160-B,64-55886-B,64-55931-B,65-5152-S,66-65585-S,67-0-S,68-41232-S,69-2993-S
chain between kamchatka and hokkaido	10-48863-S,10-49057-S,23-204-S
chain chain of amino acids making up protein	52-15811-S
chain esp mountains	50-12151-S
chain fiber	46-32826-S
chain link	64-56386-B
chain mail hung from head to protect neck	68-36362-B
chain nucleic acid refer to the double helix dna as opposed to single chain 單鏈 单链 rna	67-2106-S
chain of amino acids making up protein	52-15811-S
chain of bureaucracy	26-62324-S
chain of cause and effect	14-61865-B
chain of command	1-63552-S
chain of debt	1-41581-B
chain of islands	8-66607-B
chain of ossicles in the middle ear	52-2297-B
chain of peaks	21-29647-S
chain of reasoning	41-63423-S
chain of south america	19-32007-S
chain of suspicions	44-4129-S
chain on the border of russia and mongolia	66-8411-S
chain originally german	71-12120-S
chain pulley block	26-33323-S,67-26241-S
chain reaction	33-62944-S,62-25749-B,64-55969-B
chain reaction of nuclear fission	64-56041-B
chain saw	64-56612-S
chain smoker	41-4416-B,44-22153-B,51-29111-B,51-29200-B
chain spherical bacteria	64-56281-S
chain store	8-52484-S,62-25821-B
chain used in classifying amino acids	6-20010-S
chain 單鏈 单链 rna	67-2106-S
chained	64-59257-S
chains	64-52639-B
chair	1-41641-S,15-51364-B,27-9619-S,29-4397-S,34-24915-B,34-24942-B,48-27821-S,60-58120-S,61-19967-S,61-25038-S,61-30801-S,61-30926-S,61-31515-S,68-523-S
chair designed to fit in corner of a room	57-45188-B
chairman	3-4822-B,9-33435-S,9-33614-S,50-35600-B,54-59198-B
chairman henry hyde	38-19511-S
chairman mao	36-13221-B
chairman of microsoft	55-6359-S
chairman of the board	15-26076-S,54-59198-B
chairman of xinjiang autonomous region	65-65731-S
chairperson	3-4822-B,9-31784-S
chakra name	33-45540-B
chakra sanskrit disc	33-45540-B
chakra system of yogic meditation	33-45540-B
chakravarti raja sanskrit king of kings	61-29198-B,61-29315-B
chalcedony	42-60656-B,50-46040-S,67-8213-S
chalcopyrite	53-9828-B
chaling place in hunan	54-11666-S
chalk	44-37825-B,48-47473-B
challenge	25-59815-S,27-64727-B
challenge a statement	28-37347-S
challenge and admonish boldly	32-69711-S
challenger	27-64772-B,27-64829-S,47-6904-S
challenging questions	5-30539-S
chalone protein inhibiting cell proliferation	26-66962-B
chamaeleon constellation	16-8409-B
chamber	1-55975-S,3-23024-S,30-48863-S,36-31457-S,46-22572-B,65-47795-S,65-47959-S,65-48422-S,65-48568-S,65-48629-S,67-19360-S,67-39048-S
chamber by wang shifu 王實甫 王实甫	57-16983-S
chamber by yuan yuling 袁于令	57-18892-S,57-19028-S
chamber music	19-55980-B
chamber of a musical instrument	68-15045-S
chamber of commerce	13-59598-B
chamber of commerce icc	15-15843-S
chamber of deputies	45-53811-B
chamber of legislative body	1-63075-S
chamber of the eye	9-20394-S,45-49273-S
chamber phys 	67-18172-S
chamber pot	5-28781-B,5-29571-B,56-38598-B,69-39061-B
chamber the front chamber of the eye	9-20394-S
chamber with holes	16-21376-S
chamberlain	7-31434-B,23-37495-B
chambers	31-33354-S
chamdo	31-21544-S
chamdo district in tibet chinese qamdo or changdu	31-21593-S
chameleon	56-5200-B,56-5445-B,59-11473-B
chamois	68-8159-B
chamotte refractory ceramic material	41-15576-B
champa sanskrit campapura or campanagara	5-1679-B
champagne	69-26153-S,69-26205-B
champion	8-13359-B,27-49941-S,34-19969-S,34-39785-S
champion in sporting contest	47-6904-S
championship	1-13600-S,2-42585-S,7-65707-B,8-13402-B,12-14564-S,28-6447-S,39-19416-S,39-20953-S,39-22855-S,40-47561-S,56-18272-S,56-37092-S
championship challenger	47-6904-S
championship contest	64-45571-B
championship game	60-22475-S,60-22595-S
championships	64-45571-B
champs elysés paris	69-25891-S,69-25981-S
chan 1936 	62-21868-S
chan 1954 	26-12777-S
chan or fang on sang 1940 head of hong kong s civil service before and after the handover to prc rule in 1997	66-27907-S
chan river in shaanxi province	39-34239-B
chan 劉禪 刘禅 207 271	9-42975-S
chance	2-15708-S,3-13447-S,3-71358-S,4-62033-S,6-21662-S,6-21834-B,9-27726-S,14-61865-B,22-51008-S,35-3534-B,35-4794-B,35-35109-S,35-35989-S,40-60156-S,45-31546-S,46-30784-S,53-41950-S,54-41668-S,54-42752-S,62-19382-S,63-9211-S,66-15676-S,66-41949-B,70-30256-S
chance encounter	2-15708-S,63-9211-S
chance event	6-21750-B
chance has it	39-9368-S
chance not to be missed	35-2239-B
chance of love	40-60156-S
chance of seeing sth beautiful	45-50905-S
chance of success	17-21418-S
chance that brings people together	50-19004-S,50-19216-S
chance to	35-35109-S
chance usually with misfortune	62-66090-S
chancellor	17-32452-B,28-14442-S,65-4509-S
chancellor rank in various european states	28-14442-B,28-14560-B
chances	8-11927-S
chances in hell	37-43743-S
chandelier	12-43774-B
chandighar	31-21318-B
chang	22-29633-S,31-20197-S,33-3542-S
chang 1920 1995	23-39813-S
chang 1947 	55-41447-S
chang 1968 2004	23-41036-S
chang an ancient name of xi an 西安 capital of china during tang dynasty 唐朝	65-13349-B
chang an district of xi an	65-13499-B
chang character in harry potter	23-40910-S
chang chen 1976 	23-41998-B
chang ho	33-3349-S
chang kum	17-37920-S
chang lin tien	43-38248-B
chang or li hongzhang 1823 1901	33-6182-S,70-55837-S
chang taiwan foreign minister	47-63771-S
chang ting hsieh 1946 	58-57562-S
chang 張純如 张纯如	10-66418-S
changbai korean autonomous county in baishan 白山	65-17588-B,65-17841-B,65-17995-B
changbai or baekdu mountain	65-17675-B
changbai township	65-18094-B
changbaishan tianchi	65-17750-B
changchih village in taiwan	65-16991-S
changchun 1944 	33-5847-S
changchun city 長春市 长春市	3-42795-S,3-42880-S,11-4746-S,11-4835-S,20-24459-S,20-24552-S,49-64606-S,49-64694-S,67-2421-S,67-2516-S
changchun prefecture level city	65-15180-B,65-15248-B
changchun 長春 长春	3-17872-S,3-17957-S,24-26024-S,24-26198-S,34-38595-S,34-38678-S,61-40262-S,61-40337-S
changdao county level city in yantai 煙台 烟台	65-13813-B,65-13899-B
changde district district in hunan	22-31341-S
changde prefecture level city in hunan	22-31268-B,22-31436-B
changde prefecture 常德	46-10403-S,46-10490-S
changdu	31-21593-S
change	9-68220-S,17-49913-S,21-14886-S,24-44371-S,24-60079-S,26-31921-S,26-32000-S,26-58729-S,26-60063-S,28-13177-S,28-19703-S,28-45752-B,29-43530-S,29-45630-S,29-46088-S,30-31671-S,30-69909-S,31-27238-B,32-6914-S,32-7259-S,32-8196-S,32-9259-S,32-9316-S,36-25660-S,36-58907-S,36-59048-S,38-6539-S,39-55728-S,40-27465-S,47-26081-S,47-53890-S,47-58909-S,49-15396-S,51-58855-S,53-2456-S,53-2693-S,53-2847-S,59-6936-S,59-7501-B,59-7554-B,59-9592-B,59-12105-S,59-12687-B,59-61020-S,59-61020-S,61-21636-B,61-24513-S,61-28143-B,64-6786-S,67-21030-S,67-21708-S,68-15697-S
change according to the situation 成语 saw	66-44361-S
change anything now	43-28366-S,43-28618-S
change appearance	59-9872-S
change as opposed to revolution	29-45207-S
change buses	5-61452-S
change clothes	32-9087-S
change color	59-11386-B
change completely	29-44837-S
change countenance	25-27395-B,59-11386-B
change course to leeward	1-64728-S
change currency illegally	18-9098-S
change direction	27-8254-S,28-321-S,61-8522-S,61-21855-S,61-30462-S
change feathers	28-46950-S
change from money paid	26-60113-B
change gear	28-46307-S,28-46414-S
change gold or silver into money	27-8630-S
change guard complement	28-47062-S
change hands of merchandise	5-56958-S
change horses at a relay station	69-64358-S
change in a very short time	61-27238-S
change in form but not in substance	28-46521-S
change in grammar	59-9814-S
change in name only	28-46521-S
change in spoken sound	68-32657-S
change in sth	41-63163-S
change into	10-20608-S,41-40463-S,59-8277-B,59-8600-S,59-10415-S
change irregularly	59-8067-B
change is caused by catastrophic events such as the biblical flood	40-27683-S
change its direction	15-56658-S
change jobs	60-44728-B
change name	32-7391-S
change of appearance	29-45428-B
change of direction	61-21855-B
change of dynasties	28-45850-B,29-44610-B,71-47457-B
change of leader	32-7010-B
change of meaning	25-30036-B
change of mind	48-19639-S
change of money	67-21708-B
change of regime	17-4850-S
change of rhyme within a poem	61-30395-B
change of scene	9-40664-S
change of society	38-6539-S
change of state	51-34842-S
change of weather	59-7759-B
change one s profession	61-25107-S
change one s residence	24-9724-B
change one s viewpoint	61-21164-S
change ones name	29-43942-S
change over of personnel	43-8664-S
