devastate, plunder.	38-2374-S
dishonorable.	40-2872-S,40-2903-S
dishonorably.	10-6474-B
dishonored /dishonorable, shameful /ugly.	10-2610-S
dishonored.	10-6498-B
disinherit.	31-2012-S
disinherited.	10-6520-B
disjoint, sever /divide, break up.	31-2134-S
disk, orbit, coil/ round / rotation.	8-2887-S
dislike strongly.	33-2892-S
dislike, displeasure.	8-4399-S
dislike, have an aversion to, loathe.	31-2036-S
dislike, sqeamishness.	10-6310-S
dislocate /extort by force.	38-6676-S
dislodge, overturn.	38-6152-S
disloyal, untrue.	40-1253-S
disloyal.	10-6568-S,40-3471-S
disloyally.	12-3374-S
disloyalty.	12-3411-S
dismember, cut into pieces, chop up.	31-2086-S
dismember, disjoint, sever /divide, break up.	31-2134-S
dismiss, leave, abandon, leave behind.	29-3159-S
dismiss, send away, lose, let slip away.	31-2192-S
dismiss.	28-2550-S
disobedience.	10-6542-B
disobident, disloyal.	10-6568-B
disorder, confounding, destroy.	29-3926-S
disorder, confuse, unsettle.	31-2506-S
disorder, lack of regularity.	10-6603-B
disorder.	3-3538-S,18-4795-S,27-6326-S
disordered, moved.	10-6646-B
disorderly /embarassed, troubled, confounded.	8-6906-S
disorderly manner.	16-5485-S
disorderly, not arranged, unplanned, confused.	11-0-B
disparage.	31-2243-S
disparate, dissimilar, distinct.	40-2337-S
dispatch, send in advance.	36-7430-S
dispatch.	36-7579-S
dispense with, get rid of /dishearten, weaken.	38-3072-S
dispise, look down upon.	20-4902-S
display, fulfill, offer, present.	31-2921-S
display, have on show.	33-3086-S
display, hurry on.	31-2266-S
display, offer, allow, cause.	35-5385-S
display, prefer.	29-6256-S
display, publish, relate, tell, propose, promise.	11-58-B
display.	32-79-S
displease.	31-2300-S,33-6958-S
displeasure.	8-4399-S,11-116-B,42-685-S
dispose.	31-192-S,36-1964-S
disposed, in a certain condition.	11-140-B
disposed.	16-3007-S,41-3390-S
disposition of mind.	14-2945-S
disposition, talent, tendency, metier.	14-1150-S
disprove, refute. with gen. prove guilty, convict.	11-182-B
disprove.	39-1467-S
disputation.	11-242-B
dispute, contention, fight, battle, fracas.	11-268-B
dispute, discussion.	10-1650-S
dispute, strife.	11-318-B
dispute, to settle by combat.	30-3970-S
dispute, wrangling.	24-5454-S
dispute.	11-346-B,27-4112-S,35-7217-S
disquiet, apprehension.	40-836-S
disquiet.	28-2241-S
disregard, not be recognized.	28-5077-S
disregard.	31-2322-S
disrespectful.	11-365-B
disrupt.	31-2458-S
dissect, cut away.	30-5587-S
dissension, quarrel, insurrection, mutiny, rising.	11-391-B
dissimilar, distinct.	40-2337-S
dissimilar.	19-3878-S
dissipate.	31-2344-S
dissociate, separate.	29-2841-S
dissolute, profligate.	17-2327-S
dissolve, break up.	34-3749-S
dissolve, slip away, fall apart.	29-3219-S
dissolve.	1-7151-S
distance, contemplate.	34-3485-S
distance, from a distance.	6-708-S
distance, prosper, propitious.	36-6475-S
distance, remoteness, isolation.	11-450-B
distance.	6-708-S,12-3821-S
distant, far.	23-1845-S
distant, isolated, removed.	11-495-B
distant.	11-531-B
distinct, plain, visible, evident.	8-3624-S
distinct.	40-2337-S
distinction, difference.	3-4210-S
distinction.	11-549-B,41-2095-S
distinction/distinguished, excellent/excellence.	28-4215-S
distinctly, plainly.	8-3692-S
distingished, imminent, superior.	12-1263-S
distinguish /decide, resolve, determine.	36-7695-S
distinguish, discriminate.	24-1533-S
distinguish, recognize as different.	31-2367-S
distinguish.	35-6267-S
distinguished for.	27-3927-S
distinguished, excellent.	11-572-B
distinguished, excellent/excellence.	28-4215-S
distinguished, first.	13-397-S
distinguished, special, extraordinary.	12-1328-S
distinguished.	11-610-B,15-5436-S,23-1297-S,35-4418-S
distinguishing, distinction, difference.	3-4210-S
distort, test.	38-6583-S
distort.	38-6646-S,39-6637-S
distract /(property) sell up, alienate.	2-7508-S
distrain.	39-3943-S
distress, cast down, strike against, weaken.	36-1282-S
distress.	10-5243-S,14-5587-S,30-3176-S
distressed, cast down, prostrate, ruined, weakened.	11-634-B
distribute, divide.	31-2425-S
distribute.	36-7643-S
distribution, stewardship.	11-696-B
distributor.	11-735-B
district, country / residents of a district.	22-5785-S
district, country-folk, peasants.	16-3105-S
district, countryside, rural portions of a civitas.	11-757-B
district, zone, region.	11-815-B
district.	22-5785-S
distrust, despair.	28-4507-S
distrustful, distrust, despair.	28-4507-S
distrusting.	42-1478-S
disturb / mention / complete, accomplish.	1-8820-S
disturb /shake violently.	39-1522-S
disturb, shake /excite, upset.	34-6956-S
disturb, shatter.	37-913-S
disturb, trouble, perturb, disrupt.	31-2458-S
disturb, upset, throw into disorder, confuse, unsettle.	31-2506-S
disturb.	37-4184-S
disturbance /mob, crowd, multitude.	40-3989-S
disturbance, confusion.	11-845-B
disturbance, riot, tumult.	40-3943-S
disturbed, restless, troubled.	5-4232-S
ditch, moat.	20-5534-S
ditch, trench, channel, moat.	11-878-B
ditcher, sapper / fool, boor, clown.	3-4065-S
ditching, etc.	18-1829-S
ditching.	10-5292-S
dive.	31-2571-S
diver.	3-4264-S
diversity.	40-4888-S
divert.	29-5475-S
divest, strip off.	31-2586-S
divide, allot, assign, grant, give, allow.	32-6474-S
divide, break up.	31-2134-S
divide, distribute.	36-7643-S
divide, part.	30-5630-S
divide, part/ distinguish, discriminate.	24-1533-S
divide, scatter.	31-2613-S
divide, separate.	30-5695-S
divide.	31-2425-S,31-2640-S,31-2661-S
divination.	21-5201-S
divine communication, by divine influence .	7-4921-S
divine influence .	7-4921-S
divine influence, admirably, nobly, by inspiration.	11-914-B
divine law or command/ fate, destiny/ lawful, allowed.	11-976-B
divine will.	11-1035-B
divine, sacred.	11-1054-B
division, disagreement, tearing apart.	24-1684-S
division.	11-1078-B
divorce.	24-1745-S
divulge, bring to light.	22-98-S
dizzy.	34-4879-S
do away with, obliterate, efface.	31-617-S
do battle.	31-2682-S
do fine with me, baby.	1-3462-S
do good, benefit.	2-9881-S
do good.	28-7039-S
do harm to, inflict injury, hurt.	1-1851-S
do harm, inflict injury.	11-1098-B
do maliciously.	30-4142-S
do not hesistate because of this! (doubt).	2-6014-S
do not hesitate because of that! (doubt).	2-6080-S
do one thing and then another.	31-2705-S
do penance.	31-2747-S
do something.	28-1408-S,30-5933-S
do thoroughly, accomplish, bring.	31-2770-S
do with dice or dice-playing.	15-529-S
do wrong to, injure, hurt, harm.	31-2836-S
do wrong, err, sin, go astray.	31-2881-S
do!.	1-3600-S
do, accomplish.	39-3050-S
do, act, perform, cause, bring about.	2-9513-S
do, execute.	34-7697-S
do, perform, display, fulfill, offer, present.	31-2921-S
do, produce, effect, make/ bring about, cause /prove.	31-2986-S
do.	1-2474-S,15-321-S,28-3555-S,35-206-S
do/contrive evil.	31-3051-S
dockyard.	24-3444-S
doctor).	2-4426-S,2-4477-S
doctor, physician.	11-1129-B
doctrine, teaching, instruction, learning.	11-1156-B
document.	17-3458-S,25-5823-S,27-775-S
documents) to falsify / (character) to corrupt.	1-8599-B
dog).	3-2390-S
dog.	11-1208-B
dogs) whine, whimper.	30-2075-S
doing something).	28-3174-S,36-3743-S
doing, execution, performance, effect, result.	11-1219-B
doleful.	17-1330-S
dolefully.	25-1527-S
doll /little girl.	11-1275-B
dolt, simpleton, fool, blockhead.	11-1299-B
domestic fattened bird.	11-1338-B
domestic, civil.	11-1370-B
dominate.	3-605-S
domination.	17-5736-S,23-4555-S
domineering.	5-6066-S
dominering, powerful.	15-5830-S
dominion, domination.	17-5736-S
dominion, pre-eminence, first place.	23-4417-S
don /inspire.	38-3181-S
donate, furnish.	32-6684-S
donation, offering.	11-1398-B
donation.	7-2023-S,14-1427-S
done / cure, rest.	1-2889-S
done /perfect, without flaw.	8-5636-S
done! good job!.	14-2899-S
done, become.	6-4295-S
done, completed work, building.	42-2218-S
done, made.	1-6230-S
done, unfinished, incomplete.	40-3692-S
done.	29-4285-S
donjon.	8-3038-S
doom, lot, weird.	12-4189-S
door, opening, entrance.	3-4280-S
door.	11-1428-B,11-6249-S
doorkeeper, porter.	20-3572-S
doors / + dare = to publish.	20-4413-S
doors, outside, abroad / from abroad, from outside.	20-4033-S
dotage.	20-325-S
dotage/ decay, decline, deterioration.	20-351-S
double /paired /half and half.	39-6589-S
double way.	11-1440-B
double-talk, digression.	11-1461-B
double.	31-3079-S
doubt).	2-6014-S,2-6080-S
doubt, assuredly.	12-988-S
doubt, hesitate.	31-3097-S
doubt, hesitation, reservation.	11-1494-B
doubt.	7-1710-S,32-1507-S
doubtful, unsure, hesitant.	40-167-S
doubtful.	11-1533-B
doubts, confident, without hesitation.	42-1307-S
dousing, drenching.	41-3568-S
down .	38-2316-S
down / fall dead, die / sink, fall.	32-599-S
down / manoeuver / run in a race / take refuge.	36-5087-S
down /be ruined, destroyed.	32-1067-S
down /charge, manoeuver, attack; completion of a course	3-7380-S
down /destroy, ruin.	33-6907-S
down /to happen, occur / to hack, hew /to ruin.	32-650-S
down at another's feet.	32-713-S
down below, the dead.	27-3140-S
down from one's forefathers.	14-5202-S
down from, from, concerning, about.	2-8418-S
down headlong.	8-398-S
down often.	34-2140-S
down to as far as.	1-6076-S
down to.	2-8695-S
down upon.	20-4902-S,38-5189-S
