down).	38-4882-S
drunkenness.	41-5955-S
dry up, out.	5-5519-S
dry, arid.	28-7811-S
dry, thirsty/ sober, temperate.	11-2647-B
dry.	2-6146-S
dryness, drought, eager desire.	27-2738-S
ducal dignity.	11-2686-S
duchy, ducal dignity.	11-2686-B
due forms /funereal rites.	11-2716-B
due.	19-3730-S,32-6106-S
dues, military service, service.	20-6596-S
duke.	11-2749-B,17-2669-S
dull, obtuse, dull-witted, dumb.	11-2759-B
dull, stupid, heavy, opressive, bad.	17-2601-S
dull-witted, dumb.	11-2759-S
dull.	17-2481-S,25-6108-S
dullness, indolence.	8-4238-S
duly.	11-2801-B,15-3408-S
dumb.	11-2759-S
dung, dirt, filth, manure.	11-2812-B
dungeon.	21-5920-S
dupe, trick, disappoint.	30-5813-S
dupe.	30-5868-S
duplicate, copy.	32-4540-S
duplicity.	19-917-S
durability.	11-2845-B,25-3894-S
durable.	25-3857-S
duration, lasting three days.	27-3420-S
duration, temptation, judgement.	39-5392-S
duration, to render old.	32-6318-S
duration.	17-1968-S,17-5365-S,17-5390-S
during, according to.	1-2570-S
during, in the course of.	1-685-S
dusk, twilight.	11-2867-B
dusky.	23-4678-S
dust, powder /arena, scene of action.	11-2895-B
dust.	14-188-S
duties).	34-5403-S
duties, quit, retire, die, finish.	31-1654-S
dutiful conduct, piety, devotion, kindness.	11-3004-S
dutiful, compassionate, respectful, gracious.	21-1557-S
dutiful, godly, holy, upright, kind, honest, affectionate.	11-2940-B
dutiful, patriotic.	15-3173-S
dutifully, solemnly, ceremoniously.	9-3639-S
dutifully.	4-6393-S
dutifulness, dutiful conduct, piety, devotion, kindness.	11-3004-B
dutifulness, kindness.	8-5283-S
duty /gift.	24-1968-S
duty of the sale of grain.	11-3068-B
duty, commit a crime.	32-352-S
duty, service, job, post, position, responsibility.	11-3104-B
duty.	19-6555-S
dwarf.	3-4439-S
dwell (in).	33-5262-S
dwell in / watch over.	33-2370-S
dwell, abide.	31-4491-S
dwell, reside /take possession.	33-2984-S
dweller in heaven.	15-1363-S
dwelling.	41-799-S
dye /decorate.	25-3459-S
dye /to become used to.	37-3237-S
dye, purple cloth /high rank, emperorship.	22-2215-S
dye, stain, imbue.	38-3608-S
dye.	1-8683-S
dyed, steeped.	41-3504-S
dyer.	11-3165-B
dying.	27-927-S
e ) (prep. + abl.) out of, from within, from / on account of.	1-3065-B
e, noteworthy, notable, notorious.	11-3180-B
each one, each person.	11-3226-B
each other.	20-1104-S
each party.	2-1874-S
each person.	11-3226-S
each point.	29-2676-S
each side, each party.	2-1874-S
each, every.	11-3257-B
each, one apiece, single, separate.	20-1291-S
each.	24-4710-S
eager desire.	5-3013-S,27-2738-S
eager for.	1-2155-S,11-3276-B
eager, hot-blooded.	11-3295-B
eager, severe, fierce.	24-3016-S
eager, zealous.	25-4935-S
eager.	10-4110-S
eagerly, be eager for.	1-2155-S
eagerly, devote oneself to.	35-6202-S
eagerly, earnestly.	11-3326-B
eagerly.	11-3355-B,30-4519-S
eagerness) through which he died.	2-5952-S
eagerness, zeal.	11-3373-B
eagerness.	22-3900-S
eagle.	11-3398-B
ear of wheat.	27-397-S
ear, the beard on an ear of wheat.	27-397-S
ear-rings.	11-3412-B
ear.	11-3432-B
early in the morning, early.	19-117-S
early.	19-117-S
earn completely, deserve well.	34-7559-S
earn, be entitled to, merit.	10-3869-S
earn.	31-4515-S
earned it by these (her deeds).	2-5413-S,2-7907-S
earnestly / to make a claim.	30-6739-S
earnestly engaged in, draw nigh.	28-4577-S
earnestly for.	36-6839-S
earnestly request.	31-4534-S
earnestly, carefully, diligently.	6-1944-S
earnestly.	11-3326-S
earnestness, seriousness.	11-3443-B
ears to hear .	2-194-S
earth quake).	18-276-S
earth rich in cac, added to lime-deficient soils].	18-2152-S
earth's axis.	11-5446-S
earth, bury,.	9-3934-S
earth, ground, land, country, soil.	11-3477-B
earth, human being.	16-2130-S
earth, soil /land, country.	14-3999-S
earth, soil, dirt, sod.	22-5879-S
earth, success.	14-53-S
earth.	8-1457-S,14-88-S,19-386-S,27-1342-S
earthen wall, entrenchment, rampart.	20-5480-S
earthly, temporal.	11-3519-B
ease / stop (doing something).	36-3743-S
ease /diminish, weaken, impair.	35-7618-S
ease, lighten.	34-3700-S
ease, peace, repose.	13-5717-S
ease.	3-683-S
easiest, most agreeable, pleasantest.	11-3547-B
easily broken / fleeting, transitory.	13-5294-S
easily moved, gentle.	25-493-S
easily, without difficulty.	11-3596-B
easily.	11-3631-B,13-5934-S
easiness of belief, just belief.	11-3646-B
easing, alleviation, consolation.	8-4640-S
east / morning.	23-3074-S
easterners.	11-3690-B
easy, agreeable, affable, pleasant.	11-3713-B
easy, at ease.	3-683-S
easy, to be clear.	28-5818-S
eat breakfast.	31-4564-S,31-4588-S
eat greedily, swallow up, consume, gorge oneself.	31-4612-S
eat lunch.	31-4670-S
eat some of that.	2-2969-S
eat some of this.	2-3034-S
eat up, consume /waste, squander.	31-4692-S
eat, consume, devour, waste.	31-4753-S
eat.	5-5547-S,32-2021-S
eaten with bread, sauce or relish.	5-4814-S
eating together.	11-3757-B
eating.	1-6479-S
eaves.	11-2292-S
ebb.	29-3415-S
ebbing, disappearance / distant, far.	23-1845-S
ecc. apostle.	2-2862-S
echo, reproduce, recall.	29-3585-S
eclipse of the sun.	11-3792-B
economical, moderate.	25-1931-S
economical.	16-2702-S
economically.	18-5546-S
economy, pinching pennies.	13-6793-S
edge, dagger point.	3-7644-S
edge, extent /going around, circuit.	7-2252-S
edge, rim /bathing tub.	17-4596-S
edge, rim, border, boundary / coast, coast-line.	11-3826-B
edge, sharpness, battle-line, battlefield.	17-0-S
edge.	23-3914-S
edible.	11-3879-B
edict, order.	10-2120-S
edit.	32-4892-S
editor.	9-2907-S
educate.	35-3235-S
educator.	13-4647-S
efface.	31-617-S,34-7485-S
effect, make/ bring about, cause /prove.	31-2986-S
effect, obtain (by asking).	32-5903-S
effect, perform.	31-4799-S
effect, power.	21-5571-S
effect, result.	11-1219-S
effect.	27-4874-S,40-626-S,40-4620-S
effective, efficient.	11-3894-B
effective.	11-3983-S,33-3150-S
effectively, efficiently.	11-3924-B
effectively, powerfully.	11-4014-S
efficacious.	11-3962-B
efficient, effective.	11-3983-B
efficient.	11-3894-S
efficiently, effectively, powerfully.	11-4014-B
efficiently.	11-3924-S
effigy, as of a ruler on a seal	11-4063-B
effigy, idol, likeness /ghost, appartition /ideal.	11-4104-B
effort / undertaking / impulse, inclination.	12-1664-S
effort, exertion, attention, intent / attack, accusation.	11-4173-B
effort, persevere.	37-6903-S
effort.	11-4240-B,12-1727-S,17-939-S,25-4913-S
efforts, impulses.	5-3273-S
effusion.	3-6905-S
egi, -actus] put down, conquer, compel.	27-4472-S
eighths.	9-701-S
either .. or.	40-5155-S
either of the two.	11-4256-B
either..or.	11-4288-B
eject / belch.	11-4310-B
eject / dislodge, overturn.	38-6152-S
eject, drive out.	38-3291-S
eject.	31-4825-S
elated, arrogant, swollen.	11-4332-B
elbow /a cubit.	26-5343-S
elder.	17-5694-S
elders.	11-4367-B,11-4383-B
elect, choose, take out.	36-7182-S
elect.	31-4843-S
elegance / absurd, laughable.	6-2812-S
elegance, brilliance, brightness.	25-2767-S
elegance, splendor.	7-3478-S
elegance.	8-2096-S,25-2738-S,26-3080-S
elegant, fine.	11-4404-B
elegant, refined.	41-1476-S
elegant.	8-2130-S,8-3483-S,10-2061-S,23-4035-S
elegantly, pleasantly.	8-2174-S
elegantly, with ornament.	11-4427-B
elegantly.	25-2698-S
element, basic constituent.	13-251-S
elephant.	11-4460-B
elevate, carry away. .	34-2537-S
elevate, exalt.	34-2484-S
elevate, surpass.	31-4859-S
elevate.	35-7448-S
elevate/ excite, exalt.	35-7566-S
elevated, lofty /arrogant, proud, haughty.	11-4477-B
elevated, sublime.	17-5236-S
elevated.	10-5207-S
elevation, sublimity.	17-5163-S
elevations.	11-4527-B
eligius.	25-3190-S
elite troop of soldiers.	23-6553-S
elk.	26-5371-S
elnon. herimann, p. 279.	11-4547-B
eloquence, readiness of speech, fluency, persuasiveness.	11-4584-B
eloquence.	11-4652-B
eloquent, fluent, ready of speech.	11-4674-B
eloquent, persuasive, fluent.	11-4718-B
eloquent.	11-4757-B,12-2373-S
eloquently, fluently.	11-4775-B
eloquently.	37-3710-S
else's, foreign, alien, strange, different.	25-792-S
else, in a different fashion.	15-6514-S
else, something else.	20-3756-S
else.	20-3756-S,29-6770-S
elsewhere, in other respects.	11-4805-B
elude, run away.	13-1067-S
emanate, originate.	32-3700-S
emasculate.	8-592-S
embarassed, prevented, obstructed,.	11-5905-S
embarassed, troubled, confounded.	8-6906-S
embark /cheat, deceive.	35-2356-S
embark.	31-4888-S
embassy commander.	19-6487-S
embassy.	11-4841-B
embellish, adorn.	6-4870-S
embellish.	31-4915-S,31-6260-S
embellish/ punctuate.	10-2012-S
embellishment.	11-2180-S
embers.	6-304-S
embitter.	27-6259-S
embossing.	23-2895-S
embrace, [euphemism].	5-3408-S
embrace, grasp.	11-4858-B
embrace, surround.	31-4937-S
embrace, take firmly, include, seize.	31-4969-S
embrace.	11-5206-S
embracing, surrounding, loving embrace, [euphemism].	5-3408-S
embroider, draw.	35-775-S
embroidered.	11-4885-B,20-5259-S
emend, edit.	32-4892-S
emended.	40-1817-S
emerge, appear, exist, be.	31-5022-S
emerge, be/ happen, take place.	31-5060-S
eminence, first place.	23-4417-S
eminence, magnanimity.	18-780-S
eminence.	15-1309-S
eminent, distinguished.	15-5436-S
eminent, splendid, magnificent.	11-4907-B
emotion, disposition of mind.	14-2945-S
emotion.	12-1781-S
emotional than sed).	1-7623-S
emperor.	8-4763-S
emperorship.	22-2215-S
emphatic and emotional than sed).	1-7623-S
employ for wages, among many other meanings.	15-2550-S
employ, enjoy /perceive, observe.	38-1365-S
employ, possess, enjoy.	38-7687-S
employ, use up, finish, waste away, destroy.	37-4069-S
employ.	30-295-S,40-4261-S
employment, business, task, occupation, pains.	11-4950-B
emptiness /meagerness, poverty.	15-4732-S
emptiness, loneliness.	23-6113-S
empty space /pond, pool /deficiency, loss.	3-5482-S
empty, devoid of, free from.	11-5006-B
empty, hollow/ [+ abl.] deuoid of/ worthless useless, vain.	11-5042-B
empty, vain, inane.	11-5109-B
empty-headed, vain, silly.	11-5136-B
empty.	3-929-S,11-5173-B
encampment, station.	8-469-S
encampment, temporary fortification, bivouac.	3-1496-S
encircle, surround.	30-5029-S
encircle.	32-5959-S,38-569-S
enclose, establish a siege, surround.	37-1843-S
enclose, restrain, confine/ regulate.	26-1516-S
enclose.	37-1952-S
enclosure /troop, 1/10 of a legion.	4-1872-S
enclosure, haye.	15-1584-S
enclosure.	11-5187-B
enclosure/ cloister.	7-1835-S
encompass, embrace.	11-5206-B
encounter, assembly, meeting, congress.	11-5235-B
encounter, meet.	31-5103-S
encourage, enfold.	30-41-S
encourage, incite, exhort.	31-5129-S
