ply one's oars.	36-4574-S
prep + abl) with passive verbs - by, because.	2-8338-B
prep + abl.) with.	2-8394-B
prep. + abl.) down from, from, concerning, about.	2-8418-B
prep. + abl.) out of, from within, from / on account of.	1-3065-S
prep. + acc.) among, in the presence of, at, at the house of.	2-8472-B
prep. + acc.) before/ in front of/ (adv.) before, previously.	2-8540-B
prep. + acc.) beyond, outside.	2-8608-B
prep. + acc.) toward, against, facing.	2-8646-B
prep. + acc., besides, beyond, more than.	4-5565-S
prep. with abl) as far as, up to, to, down to.	2-8695-B
prep. with abl.) before, in front of.	2-8749-B
prep.) (+ abl.) over, above /concerning, about, besides.	2-8798-B
prepaid, arragned beforehand.	1-7269-S
preparation, fitting out, equipment.	21-5375-B
preparation, getting ready.	21-4097-S
prepare, get ready/ set, put/ furnish, supply/ buy.	35-4161-S
prepare, provide /draw up an order of battle.	21-5420-B
prepare, ready, make ready, arrange.	35-4221-S
prepared or ready for battle.	21-5474-B
prepared skin.	27-2305-S
prepared, fitted out.	13-671-S
prepared, ready, equipped; (of persons) skilled.	21-5514-B
prepared, resolute, prompt.	2-7577-S
pres. incipio ).	6-5441-S
prescribe.	37-796-S
presence of mind, effect, power.	21-5571-S
presence of, at, at the house of.	2-8472-S
presence of.	1-618-S,20-2173-S
presence, presence of mind, effect, power.	21-5571-B
present cirumstances.	13-2752-S
present oneself.	1-2629-S
present subjunctive of sum) you may be.	1-3187-S
present time, soon, at this time.	19-4626-S
present with something, "gratifier".	35-4279-S
present, be near, be in attendance,.	28-1966-S
present, donation.	14-1427-S
present, give.	31-1530-S
present, in present cirumstances.	13-2752-S
present, make plain, declare.	37-1767-S
present, offer, expose.	29-3863-S
present, spectacle, function, tribute, service.	14-1458-S
present, standing.	26-1632-S
present.	13-2810-S,14-1518-S,31-2921-S,32-6735-S
presentiment.	21-5625-B
presently, immediately, soon.	19-4677-S
presently, shortly.	5-811-S
presently, then, thereupon.	25-1395-S
presents.	27-2646-S
preserve, conserve, maintain, keep, hold to.	35-4328-S
preserve, serve, guard.	35-4385-S
preserve.	17-58-S
preside over have charge of.	28-6143-S
preside over, be distinguished.	35-4418-S
preside, command.	37-2380-S
presider, protector, director.	10-778-S
press against, take by surprise.	37-7235-S
press around, gather around /attend (a person).	30-2214-S
press down, depress, low-lying.	35-4463-S
press down, strike down.	25-3150-S,35-4518-S,37-4806-S
press heavily upon, weigh down, oppress.	35-4560-S
press in, trample in / impress upon.	30-4892-S
press together, reduce, abrdiged.	35-4624-S
press upon, to struggle to reach.	35-4666-S
prestige, dignity.	18-4095-S
presume, attempt, presume.	38-7157-S
presume.	38-7157-S
presuming, haughty.	21-5650-B
presumption.	21-5679-B
presumptuous.	15-6197-S
presumptuously.	15-6251-S
pretend, sham.	35-4711-S
pretense,.	21-5703-B
pretext /interest.	8-734-S
prettily, handsomely, charmingly.	21-5724-B
pretty gals.	42-3835-S
pretty, charming, handsome.	6-4730-S
pretty.	21-5764-B
prevail / be able.	33-1621-S
prevail upon a person, entreat successfully.	35-4736-S
prevail upon, beg.	21-5783-B
prevail, have power.	35-4790-S
prevail, increase, wax.	1-8761-S
prevarication, injustice, wrong	41-5152-S
prevent, frustrate.	29-2168-S
prevent, hinder, restrain, prohibit, forbid.	35-4824-S
prevent, hinder.	32-5778-S
prevent, obstruct.	31-5745-S
prevent.	11-5971-S
prevented, obstructed,.	11-5905-S
previous, former.	21-5808-B
previously, formerly.	1-4873-S
previously.	2-8540-S
prey to death.	32-999-S
prey.	21-2847-S
price /high cost of living /dearness, affection.	15-2099-S
price of grain / cost of living.	42-3230-S
price, of a great value.	2-1928-S
price, of the highest worth.	6-1468-S
price, to offer to buy, bid, proffer, tender.	34-7951-S
price, vaue, reward.	21-5835-B
price, worthlessness.	8-2402-S
price.	13-2541-S
priced, expensive.	10-1505-S
prick, goad.	35-4881-S
prick, little hole, puncture /a point, spot, place.	3-6939-S
prick, puncture, stab /touch, move.	35-4905-S
prick, sting, jab.	35-4965-S
pride oneself, boast, glory in.	35-4993-S
pride oneself.	32-7068-S
pride, arrogance.	21-5864-B
pride, haughtiness.	21-5891-B
priest), insignia.	15-831-S
prime of life.	36-241-S
prince) who loved a milkmaid.	2-3098-S
prince, preeminent person, magnate, prince.	3-142-S
prince.	2-1474-S,3-142-S,8-2596-S
princely.	22-5733-S
principal.	6-6501-S
principally.	12-241-S
principle, element, basic constituent.	13-251-S
principle.	20-3268-S,21-1199-S
prior, abbot.	22-5623-S
prior.	2-4918-S,13-3819-S,18-1776-S
prison, cell, jail, dungeon.	21-5920-B
prison, den, pen, enclosure/ cloister.	7-1835-S
prisoner, catch red-handed.	36-6876-S
prisoner.	26-2778-S
prisoners).	15-6613-S
prithee.	21-5956-B
private person.	21-5971-S
private, retired, secret conversation.	24-516-S
private, unofficial, a private person.	21-5971-B
privilege, right.	6-6167-S
privy counsellor.	21-6019-B
privy to.	21-6049-B
prize, award for victory, salvation.	14-2149-S
prize, love.	30-206-S
prize-money.	21-760-S
prize/ booty /profit.	23-2154-S
pro] desire.	27-4142-S
probably.	21-83-S
probity, uprightness, honesty.	21-6068-B
probo-are, to judge, test, examine.	13-6649-S
procedure, manner.	26-2551-S
procedure, theory.	21-6108-B
proceed /turn out, happen/go away, withdraw.	33-730-S
proceed on the winds.	35-5036-S
proceed, advance, continue.	32-7303-S
proceed, attack.	14-2435-S
proceed, go on with.	30-4102-S
proceed, go out.	33-36-S
proceed, pursue.	35-5083-S
proceed, travel, move along, progress.	33-663-S
procession).	34-1243-S
procession, progress.	21-6133-B
procession, triumph.	39-5719-S
proclaim (a person as chosen).	35-5109-S
proclaim, announce, declaim.	35-5151-S
proclaim, declare.	29-5753-S
proclaim, make publicly known, announce, disclose.	35-5193-S
proclaim.	28-3016-S,29-5726-S,35-5254-S
procrastinator,.	10-2702-S
procure the favor, bring together.	34-5060-S
procure.	29-2650-S,35-2456-S,35-5275-S,36-1095-S
procurer, go-between.	21-6165-B
prodigiality.	21-6743-S
prodigious.	21-6192-B
prodigy, portent / monster, unnatural thing.	21-6211-B
produce in abundance.	29-2397-S
produce, bring forward, bring out.	21-6266-B
produce, create.	29-357-S
produce, disclose, bring forth.	35-5295-S
produce, effect, make/ bring about, cause /prove.	31-2986-S
produce, engender.	35-5353-S
produce, fetch out.	38-1323-S
produce, give rise to.	35-2489-S
produce, grain crop / price of grain / cost of living.	42-3230-S
produce, recall to the colors.	31-3470-S
produce, show, display, offer, allow, cause.	35-5385-S
produce.	13-6862-S
produce/ create, make, get.	28-7495-S
produced, to be born.	28-5718-S
producer, someone who causes something.	21-6328-B
producing fear, quaking as in feeling fear.	11-1842-S
producing.	17-6383-S,21-6388-B
production of spring.	25-2985-S
productive, fertile, abundant, rich.	21-6409-B
productive, profitable.	12-5447-S
productive.	13-6955-S
profane, desecrate.	21-6451-B,35-5448-S
profess.	30-6105-S
professed monastic vows.	15-487-S
profession of vows/ oath of canonical obedience.	18-5806-S
profession.	10-1905-S
profession/ trade, art, craft, profession.	10-1905-S
professor.	18-2471-S
proffer, tender.	34-7951-S
proffer.	36-4188-S
profit from, use.	38-946-S
profit, a source of profit, gainiing, getting.	21-6479-B
profit, enjoyment, produce.	13-6862-S
profit, favorable condition, requirements.	21-6543-B
profit, gainiing, getting.	21-6479-S
profit, the use of something.	21-6595-B
profit, win.	32-5356-S
profit.	14-616-S,23-2154-S,40-4282-S
profitable, fond of gain, rich.	21-6637-B
profitable, gainful.	21-6692-B
profitable, lucrative.	23-2549-S
profitable.	12-5447-S
profiting /using money lent /interest.	40-4401-S
profitless /weak.	16-2572-S
profligate.	17-2327-S
profound, high, thick, dense, boundless.	10-2291-S
profuse.	23-2369-S
profusely, abundantly.	16-29-S
profusely.	21-6722-B
profusion, prodigiality.	21-6743-B
profusion, profusely, abundantly.	16-29-S
progeny, offspring, descendants.	10-3714-S
progeny.	10-3641-S,24-3512-S,42-3798-S
progress, advance.	34-5518-S
progress, increase.	5-62-S
progress, movement.	9-3449-S
progress.	21-6133-S,33-663-S
prohibit, forbid.	35-4824-S
prohibit, outlaw, gain an injunction.	32-4138-S
prohibited, not allowed.	13-3005-S
prohibition, restrain, forbidding.	21-6780-B
project, be remarkable, conspicuous.	37-5250-S
project, show itself.	37-5153-S
project, thrust forward.	21-6826-B
projection.	16-6933-S
prolong, protract/ bring forward.	21-6868-B
prolonged.	23-154-S
prominent, conspicuous .	28-5756-S
promise /designate.	27-6608-S
promise again.	35-5478-S
promise in return, promise again.	35-5478-S
promise to god, vow, pray for.	35-5526-S
promise to god.	21-4636-S
promise, assurance, word of honor, engagement.	21-6910-B
promise, oath.	35-6576-S
promise, offer.	21-6963-B,35-5579-S
promise, pledge.	29-1538-S
promise, trust, faith, belief, truth.	22-0-B
promise, undertake.	34-1816-S
promise,.	11-5580-S
promise.	3-7001-S,3-7022-S,11-58-S,19-5844-S,22-44-B,22-66-S,27-5196-S,34-1909-S
promised, a promise.	22-66-B
promiser, suretor, guarantor.	3-7043-S
promontory.	20-6801-S
promote, advance.	35-822-S
promote, divulge, bring to light.	22-98-B
promote,.	29-6450-S
promote.	1-1658-S,28-300-S
promoter, patron, partisan, supporter.	12-4789-S
