糢 糢 [01\[ mó\]]	blurred
約分 约分 [01\[ yuē fēn\]]	reduced fraction (i.e. one half for three sixths);to reduce a fraction by cancelling common factors in the numerator and denominator
約制 约制 [01\[ yuē zhì\]]	to bind (restrict)
約合 约合 [01\[ yuē hé\]]	approximately;about (some numerical value)
約同 约同 [01\[ yuē tóng\]]	to promise to accompany;an appointment (to go together with sb)
約坦 约坦 [01\[ yuē tǎn\]]	jotham (son of uzziah)
約塔 约塔 [01\[ yāo tǎ\]]	iota (greek letter ιι)
約契 约契 [01\[ yuē qì\]]	contract;oath of allegiance
約定 约定 [01\[ yuē dìng\]]	engage;promise;make an appointment
約定俗成 约定俗成 [01\[ yuē dìng sú chéng\]]	common usage agreement (e.g. paying one's bill in a restaurant);conventional contract
約定資訊速率 约定资讯速率 [01\[ yuē dìng zī xùn sù lǜ\]]	committed information rate (frame relay);cir
約拿書 约拿书 [01\[ yuē ná shū\]]	book of jonah
約摸 约摸 [01\[ yuē mo\]]	about;around;approximately;also written 約莫|约莫
約數 约数 [01\[ yuē shù\]]	divisor (of a number);approximate number
約旦 约旦 [01\[ yuē dàn\]]	jordan
約旦河 约旦河 [01\[ yuē dàn hé\]]	jordan river
約書亞 约书亚 [01\[ yuē shū yà\]]	joshua (name
約書亞記 约书亚记 [01\[ yuē shū yà jì\]]	book of joshua
約會 约会 [01\[ yuē huì\]]	appointment;engagement
約束 约束 [01\[ yuē shù\]]	restrict;limit to
約根 约根 [01\[ yuē gēn\]]	jurgen (name)
約櫃 约柜 [01\[ yuē guì\]]	ark of the covenant
約法 约法 [01\[ yuē fǎ\]]	temporary law;provisional constitution
約法三章 约法三章 [01\[ yuē fǎ sān zhāng\]]	provisional agreement between people and new dynastic government
約珥書 约珥书 [01\[ yuē ěr shū\]]	book of joel
約瑟夫 约瑟夫 [01\[ yuē sè fū\]]	joseph (biblical name)
約略 约略 [01\[ yuē lüè\]]	approximate;rough
約略估計 约略估计 [01\[ yuē lüè gū jì\]]	approximate estimate;to reckon roughly
約當現金 约当现金 [01\[ yuē dāng xiàn jīn\]]	(accounting) cash equivalent
約納 约纳 [01\[ yuē nà\]]	jonah
約維克 约维克 [01\[ yāo wéi kè\]]	gjøvik (city in oppland
約翰 约翰 [01\[ yuē hàn\]]	john (name);johan (name);johann (name)
約翰・本仁 约翰・本仁 [01\[ yuē hàn · běn rén\]]	john bunyan (1628-1688)
約翰・霍金斯 约翰・霍金斯 [01\[ yuē hàn · huò jīn sī\]]	john hawkins (1532-1595)
約翰一書 约翰一书 [01\[ yuē hàn yī shū\]]	first epistle of st john
約翰三書 约翰三书 [01\[ yuē hàn sān shū\]]	third epistle of st john
約翰二書 约翰二书 [01\[ yuē hàn èr shū\]]	second epistle of st john
約翰內斯堡 约翰内斯堡 [01\[ yuē hàn nèi sī bǎo\]]	johannesburg (city in south africa)
約翰參書 约翰参书 [01\[ yuē hàn cān shū\]]	third epistle of st john;also written 約翰三書|约翰三书
約翰壹書 约翰壹书 [01\[ yuē hàn yī shū\]]	first epistle of st john;also written 約翰一書|约翰一书
約翰拉貝 约翰拉贝 [01\[ yuē hàn lā bèi\]]	john rabe (german eyewitness to nanjing massacre)
約翰斯頓 约翰斯顿 [01\[ yuē hàn sī dùn\]]	johnston
約翰福音 约翰福音 [01\[ yuē hàn fú yīn\]]	gospel according to st john
約翰貳書 约翰贰书 [01\[ yuē hàn èr shū\]]	second epistle of st john;also written 約翰二書|约翰二书
約翰遜 约翰逊 [01\[ yuē hàn xùn\]]	johnson or johnston (name)
約莫 约莫 [01\[ yuē mo\]]	about;around;approximately
約西亞 约西亚 [01\[ yuē xī yà\]]	josiah (son of amos)
約見 约见 [01\[ yuē jiàn\]]	to arrange an interview;an appointment (with the foreign ambassador)
約言 约言 [01\[ yuē yán\]]	promise;one's word;pledge;abbreviation
約計 约计 [01\[ yuē jì\]]	approximate estimate;a rough count
約請 约请 [01\[ yuē qǐng\]]	to invite;to issue an invitation
約集 约集 [01\[ yuē jí\]]	to assemble by agreement;to gather
紅 红 [01\[ hóng\]]	bonus;popular;red;revolutionary
紅五星旗 红五星旗 [01\[ hóng wǔ xīng qí\]]	name of the flag of the people's republic of china
紅利 红利 [01\[ hóng lì\]]	bonus;dividend
紅利股票 红利股票 [01\[ hóng lì gǔ piào\]]	scrip shares (issued as dividend payment)
紅包 红包 [01\[ hóng bāo\]]	lit. money wrapped in red as a gift;a bonus payment;a kickback;a bribe
紅十字會 红十字会 [01\[ hóng shí zì huì\]]	red cross (international humanitarian movement)
紅原 红原 [01\[ hóng yuán\]]	(n) hongyuan (place in sichuan)
紅嘴鷗 红嘴鸥 [01\[ hóng zuǐ ōu\]]	black-headed gull
紅堡 红堡 [01\[ hóng bǎo\]]	red fort (historic building in delhi
紅場 红场 [01\[ hóng chǎng\]]	red square (in moscow)
紅墨水 红墨水 [01\[ hóng mò shuǐ\]]	red ink
紅外 红外 [01\[ hóng wài\]]	infrared (ray)
紅外線 红外线 [01\[ hóng wài xiàn\]]	infrared ray
紅妝 红妆 [01\[ hóng zhuāng\]]	splendid gay female clothing
紅孃 红娘 [01\[ hóng niáng\]]	matchmaker
紅孩症 红孩症 [01\[ hóng hái zhèng\]]	kwashiorkor (a form of malnutrition)
紅安 红安 [01\[ hóng ān\]]	(n) hong'an (place in hubei)
紅寶石 红宝石 [01\[ hóng bǎo shí\]]	ruby
紅山區 红山区 [01\[ hóng shān qū\]]	hongshan district of chifeng city 赤峰市
紅巨星 红巨星 [01\[ hóng jù xīng\]]	red giant (star)
紅巾軍 红巾军 [01\[ hóng jīn jūn\]]	the red turbans
紅斑 红斑 [01\[ hóng bān\]]	erythema (pathol.);rash in red patches
紅斑性狼瘡 红斑性狼疮 [01\[ hóng bān xìng láng chuāng\]]	lupus erythematosus
紅新月會 红新月会 [01\[ hóng xīn yuè huì\]]	red crescent (humanitarian organization)
紅旗 红旗 [01\[ hóng qí\]]	red flag
紅星 红星 [01\[ hóng xīng\]]	red star;five pointed star as symbol or communism or proletariat;hot film star
紅暈 红晕 [01\[ hóng yùn\]]	to blush;to flush red
紅曲 红曲 [01\[ hóng qū\]]	red food dye made from yeast
紅棗 红枣 [01\[ hóng zǎo\]]	dates;jujube
紅榿樹 红桤树 [01\[ hóng qī shù\]]	red alder (alnus rubra)
紅樓夢 红楼梦 [01\[ hóng lóu mèng\]]	a dream of red mansions (first completed edition 1791) by cao xueqin 曹雪芹
紅樹 红树 [01\[ hóng shù\]]	mangrove;cl:棵[ke1]
紅樹林 红树林 [01\[ hóng shù lín\]]	mangrove
紅橙 红橙 [01\[ hóng chéng\]]	blood orange
紅毛丹 红毛丹 [01\[ hóng máo dān\]]	rumbutan (fruit)
紅毛丹 红毛丹 [01\[ hóng máo dàn\]]	rambutan (nephelium lappaceum);hairy red pellet fruit
紅河 红河 [01\[ hóng hé\]]	(n) honghe (place in yunnan)
紅河哈尼族彝族自治州 红河哈尼族彝族自治州 [01\[ hóng hé hā ní zú yí zú zì zhì zhōu\]]	honghe hani and yi autonomous county in yunnan
紅海 红海 [01\[ hóng hǎi\]]	red sea
紅燈 红灯 [01\[ hóng dēng\]]	red light
紅燈區 红灯区 [01\[ hóng dēng qū\]]	red light district
紅燈記 红灯记 [01\[ hóng dēng jì\]]	the legend of the red lantern
紅燒 红烧 [01\[ hóng shāo\]]	simmer-fried (dish)
紅燒肉 红烧肉 [01\[ hóng shāo ròu\]]	red-cooked meat (pork);simmer fried meat
紅牌 红牌 [01\[ hóng pái\]]	red card (sports)
紅牛皮菜 红牛皮菜 [01\[ hóng niú pí cài\]]	chard (beta vulgaris)
紅珊瑚 红珊瑚 [01\[ hóng shān hú\]]	red coral
紅瑪瑙 红玛瑙 [01\[ hóng mǎ nǎo\]]	cornelian
紅男綠女 红男绿女 [01\[ hóng nán lǜ nǚ\]]	young people decked out in gorgeous clothes (成语 saw)
紅矮星 红矮星 [01\[ hóng ǎi xīng\]]	red dwarf star
紅磷 红磷 [01\[ hóng lín\]]	red phosphorus
紅移 红移 [01\[ hóng yí\]]	red shift (astronomy)
紅筆 红笔 [01\[ hóng bǐ\]]	red pen
紅籌股 红筹股 [01\[ hóng chóu gǔ\]]	red chip stocks (chinese company stocks incorporated outside mainland china and listed in the hong kong stock exchange)
紅糖 红糖 [01\[ hóng táng\]]	dark brown sugar;molasses
紅細胞 红细胞 [01\[ hóng xì bāo\]]	erythrocyte;red blood cell
紅綠燈 红绿灯 [01\[ hóng lǜ dēng\]]	(red and green) traffic light;traffic signal
紅腫 红肿 [01\[ hóng zhǒng\]]	inflamed;red and swollen
紅腸 红肠 [01\[ hóng cháng\]]	saveloy
紅臉 红脸 [01\[ hóng liǎn\]]	to blush;to turn red
紅色 红色 [01\[ hóng sè\]]	red (color);revolutionary
紅色氧化汞 红色氧化汞 [01\[ hóng sè yǎng huà gǒng\]]	red mercuric oxide hgo
紅色高棉 红色高棉 [01\[ hóng sè gāo mián\]]	red khmers;cambodian revolutionary army in the 1970s
紅花 红花 [01\[ hóng huā\]]	red flower
紅茶 红茶 [01\[ hóng chá\]]	black tea
紅葉 红叶 [01\[ hóng yè\]]	red autumnal leaves
紅蓮 红莲 [01\[ hóng lián\]]	red lotus
紅薯 红薯 [01\[ hóng shǔ\]]	sweet potato
紅蘿蔔 红萝卜 [01\[ hóng luó bó\]]	chinese red radish (raphanus sativus var. niger)
紅血球 红血球 [01\[ hóng xuè qiú\]]	erythrocyte;red blood cell
紅血球生成素 红血球生成素 [01\[ hóng xuè qiú shēng chéng sù\]]	erythropoietin (epo)
紅衛兵 红卫兵 [01\[ hóng wèi bīng\]]	red guards (during the cultural revolution
紅衣主教 红衣主教 [01\[ hóng yī zhǔ jiào\]]	catholic cardinal
紅豆 红豆 [01\[ hóng dòu\]]	azuki bean;red bean
紅超巨星 红超巨星 [01\[ hóng chāo jù xīng\]]	red super-giant (star)
紅軍 红军 [01\[ hóng jūn\]]	red army
紅辣椒 红辣椒 [01\[ hóng là jiāo\]]	hot red pepper;chili
紅辣椒粉 红辣椒粉 [01\[ hóng là jiāo fěn\]]	red pepper powder;paprika
紅運 红运 [01\[ hóng yùn\]]	good luck
紅醋栗 红醋栗 [01\[ hóng cù lì\]]	red currant
紅霉素 红霉素 [01\[ hóng méi sù\]]	erythromycin
紅領巾 红领巾 [01\[ hóng lǐng jīn\]]	red neckscarf;by extension
紅骨髓 红骨髓 [01\[ hóng gǔ suǐ\]]	red bone marrow (myeloid tissue)
紅高粱 红高粱 [01\[ hóng gāo liáng\]]	red sorghum
紅鰹 红鲣 [01\[ hóng jiān\]]	red mullet
紅黴素 红黴素 [01\[ hóng méi sù\]]	erythromycin
紆 纡 [01\[ yū\]]	cord;twist;surname yu
紇 纥 [01\[ gē\]]	knot
紇 纥 [01\[ hé\]]	tassels
紈 纨 [01\[ wán\]]	white;white silk
紉 纫 [01\[ rèn\]]	to string;to thread (needle)
紊 紊 [01\[ wěn\]]	involved;tangled;disorderly;confused;chaotic;taiwan pr. wen4
紊亂 紊乱 [01\[ wěn luàn\]]	disorder;chaos
紊流 紊流 [01\[ wěn liú\]]	turbulent flow
紋 纹 [01\[ wén\]]	line;trace;mark;decoration;decorated with
紋理 纹理 [01\[ wén lǐ\]]	vein lines (in marble or fingerprint);grain (in wood etc)
紋章 纹章 [01\[ wén zhāng\]]	coat of arms
紋絲 纹丝 [01\[ wén sī\]]	tiny bit;a jot;whisker
紋絲不動 纹丝不动 [01\[ wén sī bù dòng\]]	not moving a single jot (成语 saw); absolutely no progress
紋絲兒 纹丝儿 [01\[ wén sī 5r\]]	erhua variant of 紋絲|纹丝
紋縷 纹缕 [01\[ wén lǚ\]]	veined pattern;wrinkles;vein lines (in marble or fingerprint);grain (in wood etc)
紋縷兒 纹缕儿 [01\[ wén lǚ 5r\]]	erhua variant of 紋縷|纹缕
紋路 纹路 [01\[ wén lù\]]	veined pattern;wrinkles;vein lines (in marble or fingerprint);grain (in wood etc)
紋身 纹身 [01\[ wén shēn\]]	tattoo
紋銀 纹银 [01\[ wén yín\]]	fine silver
紋風不動 纹风不动 [01\[ wén fēng bù dòng\]]	absolutely still;fig. not the slightest change;also written 文風不動|文风不动
紋飾 纹饰 [01\[ wén shì\]]	decorative motif;figure
納 纳 [01\[ nà\]]	to accept;to pay (tax etc)
納什 纳什 [01\[ nà shén\]]	nash
納傑夫 纳杰夫 [01\[ nà jié fū\]]	najaf (city in iraq
納入 纳入 [01\[ nà rù\]]	to bring sth into line;to channel sth;to foist (onto sb)
納匝肋 纳匝肋 [01\[ nà zā lèi\]]	nazareth
納吉布 纳吉布 [01\[ nà jí bù\]]	muhammad naguib (first president of the republic of egypt)
納塔乃耳 纳塔乃耳 [01\[ nà tǎ nǎi ěr\]]	nathaniel
納妾 纳妾 [01\[ nà qiè\]]	to take a concubine
納尼亞 纳尼亚 [01\[ nà ní yà\]]	narnia
納尼亞傳奇 纳尼亚传奇 [01\[ nà ní yà chuán qí\]]	the chronicles of narnia
納悶 纳闷 [01\[ nà mèn\]]	puzzled;bewildered
納悶兒 纳闷儿 [01\[ nà mèn 5r\]]	puzzled;bewildered
納扎爾巴耶夫 纳扎尔巴耶夫 [01\[ nà zhā ěr bā yē fū\]]	nursultan nazarbayev
納指 纳指 [01\[ nà zhǐ\]]	nasdaq;national association of securities dealers automated quotations
納斯達克 纳斯达克 [01\[ nà sī dá kè\]]	nasdaq stock exchange
納新 纳新 [01\[ nà xīn\]]	to accept the new;to take fresh (air);fig. to accept new members (to reinvigorate the party);new blood
納星 纳星 [01\[ nà xīng\]]	nanosatellite
納木錯 纳木错 [01\[ nà mù cuò\]]	namtso lake at nakchu in central tibet
納涼 纳凉 [01\[ nà liáng\]]	to enjoy the cool air
納溪 纳溪 [01\[ nà xī\]]	(n) naxi (place in sichuan)
納瓦薩 纳瓦萨 [01\[ nà wǎ sà\]]	navassa (island in carribean sea)
納福 纳福 [01\[ nà fú\]]	to accept a life of ease;to enjoy a comfortable retirement
納稅 纳税 [01\[ nà shuì\]]	to pay taxes
納稅人 纳税人 [01\[ nà shuì rén\]]	taxpayer
納米 纳米 [01\[ nà mǐ\]]	nanometer
納米技術 纳米技术 [01\[ nà mǐ jì shù\]]	nanotechnology
納米比亞 纳米比亚 [01\[ nà mǐ bǐ yà\]]	namibia
納粹 纳粹 [01\[ nà cuì\]]	nazi
納粹份子 纳粹分子 [01\[ nà cuì fèn zǐ\]]	nazis
納糧 纳粮 [01\[ nà liáng\]]	to pay taxes in kind (rice
納聘 纳聘 [01\[ nà pìn\]]	to pay bride-price (payment to the bride's family in former times)
納衛星 纳卫星 [01\[ nà wèi xīng\]]	nanosatellite
納西族 纳西族 [01\[ nà xī zú\]]	nakhi ethnic group in yunnan
納豆 纳豆 [01\[ nà dòu\]]	stinky tofu (japanese natto);strong-smelling fermented soybeans;same as 臭豆腐
納豆菌 纳豆菌 [01\[ nà dòu jūn\]]	bacillus subtilis (formerly bacillus natto)
納貢 纳贡 [01\[ nà gòng\]]	to pay tribute
納賄 纳贿 [01\[ nà huì\]]	bribery;to give or accept bribes
納賽爾 纳赛尔 [01\[ nà sài ěr\]]	nasr or nasser (arab name);gamal abdel nasser (1918-1970)
納赫雄 纳赫雄 [01\[ nà hè xióng\]]	nahshon (name)
納降 纳降 [01\[ nà xiáng\]]	to accept surrender
納雍 纳雍 [01\[ nà yōng\]]	(n) nayong (place in guizhou)
納霍德卡 纳霍德卡 [01\[ nà huò dé kǎ\]]	nakhodka (city in russia)
納鴻 纳鸿 [01\[ nà hóng\]]	nahum
紐 纽 [01\[ niǔ\]]	to turn;to wrench;button;nu (greek letter νν)
紐倫堡 纽伦堡 [01\[ niǔ lún bǎo\]]	nürnberg or nuremberg
紐卡斯爾 纽卡斯尔 [01\[ niǔ kǎ sī ěr\]]	newcastle (place name)
紐卡素 纽卡素 [01\[ niǔ kǎ sù\]]	newcastle
紐帶 纽带 [01\[ niǔ dài\]]	tie;link;bond
紐幾內亞 纽几内亚 [01\[ niǔ jī nèi yà\]]	new guinea;papua-new guinea
紐扣 纽扣 [01\[ niǔ kòu\]]	button
紐約 纽约 [01\[ niǔ yuē\]]	new york
紐約人 纽约人 [01\[ niǔ yuē rén\]]	new yorker
紐約大學 纽约大学 [01\[ niǔ yuē dà xué\]]	new york university
紐約客 纽约客 [01\[ niǔ yuē kè\]]	the new yorker
紐約州 纽约州 [01\[ niǔ yuē zhōu\]]	new york state
紐約市 纽约市 [01\[ niǔ yuē shì\]]	new york city
紐約帝國大廈 纽约帝国大厦 [01\[ niǔ yuē dì guó dà shà\]]	empire state building
紐約時報 纽约时报 [01\[ niǔ yuē shí bào\]]	new york times (newspaper)
紐約證券交易所 纽约证券交易所 [01\[ niǔ yuē zhèng quàn jiāo yì suǒ\]]	new york stock exchange
紐約郵報 纽约邮报 [01\[ niǔ yuē yóu bào\]]	new york post (newspaper)
紐芬蘭 纽芬兰 [01\[ niǔ fēn lán\]]	newfoundland island
紐芬蘭與拉布拉多 纽芬兰与拉布拉多 [01\[ niǔ fēn lán yǔ lā bù lā duō\]]	newfoundland and labrador
紐西蘭 纽西兰 [01\[ niǔ xī lán\]]	new zealand (taiwan)
紑 紑 [01\[ fóu\]]	bright;glossy (of silk)
紓 纾 [01\[ shū\]]	slow;to free from
紓解 纾解 [01\[ shū jiě\]]	to relieve;to ease (pressure);to alleviate;to remove;to get rid of
純 纯 [01\[ chún\]]	pure;simple;unmixed;genuine
純净 纯净 [01\[ chún jìng\]]	pure;clean;unmixed
純利 纯利 [01\[ chún lì\]]	net profit
純品 纯品 [01\[ chún pǐn\]]	sterling
純屬 纯属 [01\[ chún shǔ\]]	pure and simple;sheer;outright
純度 纯度 [01\[ chún dù\]]	purity
純樸 纯朴 [01\[ chún pǔ\]]	variant of 淳樸|淳朴
純正 纯正 [01\[ chún zhèng\]]	genuine
純潔 纯洁 [01\[ chún jié\]]	pure;clean and honest
純白 纯白 [01\[ chún bái\]]	pure white
純真 纯真 [01\[ chún zhēn\]]	sincere
純種 纯种 [01\[ chún zhǒng\]]	purebred
純粹 纯粹 [01\[ chún cuì\]]	purely
純粹數學 纯粹数学 [01\[ chún cuì shù xué\]]	pure mathematics
純金 纯金 [01\[ chún jīn\]]	pure gold
純音 纯音 [01\[ chún yīn\]]	pure tone
純鹼 纯碱 [01\[ chún jiǎn\]]	sodium carbonate na2co3;soda ash;same as 碳酸鈉|碳酸钠
紕 纰 [01\[ pī\]]	error;carelessness;spoiled silk
紗 纱 [01\[ shā\]]	cotton yarn;muslin
紗布 纱布 [01\[ shā bù\]]	gauze
紗布口罩 纱布口罩 [01\[ shā bù kǒu zhào\]]	gauze mask
紗線 纱线 [01\[ shā xiàn\]]	yarn
紘 紘 [01\[ hóng\]]	cord for hat;vast
紙 纸 [01\[ zhǐ\]]	paper
紙上談兵 纸上谈兵 [01\[ zhǐ shàng tán bīng\]]	lit. military tactics on paper (成语 saw); fig. theoretical discussion that is worse than useless in practice (cf. zhao kuo 趙括|赵括 leading an army of 400
紙人 纸人 [01\[ zhǐ rén\]]	paper doll;papercut silhouette
紙人紙馬 纸人纸马 [01\[ zhǐ rén zhǐ mǎ\]]	paper dolls for ritual use in the shape of people or animals
紙包不住火 纸包不住火 [01\[ zhǐ bāo bù zhù huǒ\]]	lit. paper can't wrap fire; fig. the truth will out
紙品 纸品 [01\[ zhǐ pǐn\]]	paper products;stationery
紙型 纸型 [01\[ zhǐ xíng\]]	paper matrix in which type is set
紙夾 纸夹 [01\[ zhǐ jiā\]]	paperclip
紙婚 纸婚 [01\[ zhǐ hūn\]]	paper wedding (first year wedding anniversary)
紙巾 纸巾 [01\[ zhǐ jīn\]]	paper napkin
紙帶 纸带 [01\[ zhǐ dài\]]	paper tape
紙幣 纸币 [01\[ zhǐ bì\]]	bank notes;paper currency
紙張 纸张 [01\[ zhǐ zhāng\]]	paper
紙杯 纸杯 [01\[ zhǐ bēi\]]	paper cup
紙板 纸板 [01\[ zhǐ bǎn\]]	cardboard
紙條 纸条 [01\[ zhǐ tiáo\]]	slip of paper
紙樣 纸样 [01\[ zhǐ yàng\]]	paper pattern as model in dressmaking;paper patten
紙漿 纸浆 [01\[ zhǐ jiāng\]]	paper pulp
紙火柴 纸火柴 [01\[ zhǐ huǒ chái\]]	matches made of cardboard
紙灰 纸灰 [01\[ zhǐ huī\]]	ash from burnt paper
紙煙 纸烟 [01\[ zhǐ yān\]]	cigarette
紙煤兒 纸煤儿 [01\[ zhǐ méi 5r\]]	paper taper used to light cigarette etc
紙片 纸片 [01\[ zhǐ piàn\]]	scraps of paper
紙牌 纸牌 [01\[ zhǐ pái\]]	playing card
紙盆 纸盆 [01\[ zhǐ pén\]]	paper cone used as hailer
紙箱 纸箱 [01\[ zhǐ xiāng\]]	carton;cardboard box
紙老虎 纸老虎 [01\[ zhǐ lǎo hǔ\]]	paper tiger
紙花 纸花 [01\[ zhǐ huā\]]	paper flower
紙草 纸草 [01\[ zhǐ cǎo\]]	papyrus
紙葉子 纸叶子 [01\[ zhǐ yè zi\]]	deck of playing cards
紙醉金迷 纸醉金迷 [01\[ zhǐ zuì jīn mí\]]	lit. dazzling with paper and gold (成语 saw); fig. indulging in a life of luxury
紙錢 纸钱 [01\[ zhǐ qián\]]	ritual money made of paper burnt for the gods or the dead
紙馬 纸马 [01\[ zhǐ mǎ\]]	paper dolls for ritual use in the shape of people or animals
紙馬兒 纸马儿 [01\[ zhǐ mǎ 5r\]]	erhua variant of 紙馬|纸马
紙魚 纸鱼 [01\[ zhǐ yú\]]	silverfish (lepisma saccarina);fish moth
紙鳶 纸鸢 [01\[ zhǐ yuān\]]	kite
紙鶴 纸鹤 [01\[ zhǐ hè\]]	paper crane
紙鷂 纸鹞 [01\[ zhǐ yào\]]	kite
級 级 [01\[ jí\]]	level;grade;rank;step
級別 级别 [01\[ jí bié\]]	(military) rank;level;grade
級差 级差 [01\[ jí chā\]]	differential (between grades);salary differential
級距 级距 [01\[ jí jù\]]	numerical range;interval;taxation band
紛 纷 [01\[ fēn\]]	numerous;confused;disorderly
紛亂 纷乱 [01\[ fēn luàn\]]	numerous and disorderly
紛呈 纷呈 [01\[ fēn chéng\]]	brilliant and varied;(often in the combination 精彩纷呈)
紛爭 纷争 [01\[ fēn zhēng\]]	to dispute
紛紛 纷纷 [01\[ fēn fēn\]]	one after another;in succession;one by one
紛繁 纷繁 [01\[ fēn fán\]]	numerous and complicated
紛飛 纷飞 [01\[ fēn fēi\]]	to swirl in the air (of thickly falling snowflakes
紜 纭 [01\[ yún\]]	confused;numerous
紝 纴 [01\[ rèn\]]	to weave;to lay warp for weaving;silk thread for weaving;variant of 紉|纫
紝織 纴织 [01\[ rèn zhī\]]	to weave
紞 紞 [01\[ dǎn\]]	silk fringe of a coronet
紟 紟 [01\[ jīn\]]	a sash;to tie
素 素 [01\[ sù\]]	plain;element
素來 素来 [01\[ sù lái\]]	usually
素描 素描 [01\[ sù miáo\]]	sketch
素數 素数 [01\[ sù shù\]]	prime number
