soap bubble 成语 saw	49-35613-S
socio economic relations	43-27684-B
sociologist and socialist	6-25510-S
sociology	46-48804-B
société générale	53-24742-B
sock	46-277-B
socket	8-33115-B,28-43576-B,34-25015-S,45-18115-S,45-45976-S,45-46100-S,45-46779-S,45-50617-S,45-51137-S
socks	12-37252-S,50-56011-S,57-11547-B,57-11584-B,68-6276-B
socks up	44-27477-S
socrates	49-26726-S
socrates 469 399 bc	55-39556-B
socrates name	49-26726-B
socratic method of debate	61-38651-S
sod	54-14021-B
soda	16-14014-B,21-60-S,36-34433-S,37-824-B,46-32509-B,53-65164-S,55-39014-S,71-4733-B,71-5576-S
soda ash	49-20892-B
soda biscuit	55-39068-B
soda loan word	55-38912-B
soda naoh	36-34216-S,36-34286-S,41-28181-S
soda used to leaven bread	40-45059-S,44-32624-S,60-16594-S
soda water	55-38960-B
sodium	3-38829-S,66-66935-S
sodium a sedative	26-5366-S
sodium bicarbonate	46-32434-B
sodium carbonate	46-32509-S
sodium carbonate na2co3	49-20892-B
sodium chlorate naclo3	36-36894-B
sodium chloride	36-35850-S
sodium cyanide nacn	36-37238-B
sodium dichloroisocyanurate	3-38651-B
sodium dimercaptosuccinate	3-40103-B
sodium dimercaptosulphanate	3-39908-B
sodium dodecylbenzene sulfonate used as a bubbling agent in detergents	40-43110-B
sodium hydroxide naoh	36-34433-B,53-65164-B
sodium hyposulfide	46-23742-B
sodium hyposulfide na2s2o3 hypo	35-20188-B
sodium iodide nai	46-29109-B
sodium na	64-21116-B
sodium nitrate	46-23278-B
sodium nitrite	3-62596-B
sodium phosphate na3po4	46-41941-B
sodium sulfate	46-24352-B
sodium thiosulfate	46-23742-B
sodium thiosulphate na2s2o3 used in fixing photos formerly hyposulphite	38-20861-B
sodom	49-26355-B
sodom and gomorrah	26-28034-B,26-28096-B,49-26404-B,56-1775-B
sodomy	43-46810-B,52-9079-B,67-7087-B,67-7152-B
sofa	37-17122-B
sofia capital of bulgaria	49-27910-B
sofia city in bulgaria	49-27597-B
soft	11-16889-S,13-21651-B,14-44439-B,14-44570-B,18-59869-B,33-43804-B,33-44155-B,33-44630-B,39-22034-S,41-35858-B,41-35858-S,52-26263-B,54-16905-B,61-1828-B,61-9559-B,61-10754-B,63-42013-B,63-42357-S,66-42492-B
soft and fragrant	39-23382-B
soft and immature	47-30582-B
soft and warm	13-23220-B
soft and weak	50-12005-B
soft as water	33-44372-S
soft at the knees	44-34643-S
soft bodied animal	61-4386-B
soft drink	61-4028-B,61-4073-B
soft feathers	51-16163-S
soft fruit etc	46-30857-S
soft fur	49-49504-S
soft hair	36-16293-B,36-56515-B
soft ice cream	67-44701-B
soft interior of plant stem	70-5003-S
soft landing e g of spacecraft	61-3949-B
soft leather	68-9973-B
soft loan	6-57876-B
soft lush hair	55-8112-B
soft mixed vegetable and meat roll up	39-62159-B
soft or runny not set hard	70-27342-B
soft palate	24-3194-S,61-2571-B,61-4862-B
soft seat first class in prc trains	61-2634-B,61-2708-B
soft seat on trains or boats	61-2781-B
soft sleeper a type of sleeper train ticket class with a softer bunk	61-3845-B
soft southern brogue	12-69761-B,12-69879-B
soft tissue due to internal hemorrage	56-28921-S
soft voice	49-32289-S
softball	16-34285-B
softbank corporation	61-2846-B
soften	59-11934-B,61-2530-B
soften cotton fiber by fluffing	23-49892-S
softer bunk	61-3845-S
softly	25-6076-B,61-11759-B,61-12265-S,61-12708-B
softly drooping branches	8-7582-B
software	5-53565-S,6-19806-S,11-27847-S,13-60159-S,16-44883-S,16-44883-S,19-52427-S,20-67929-S,25-60825-S,25-60905-S,28-56113-S,29-61657-S,30-22339-S,36-540-S,39-4441-S,40-13681-S,44-26295-S,45-6520-S,50-21605-S,51-10544-S,58-12707-S,59-33019-S,59-33019-S,61-1865-S,61-4386-B,65-49760-S,65-61487-S,67-35188-S,68-30082-S,69-55939-S,69-56185-S
software and hardware	61-3310-B
software company	61-1920-B
software component	28-43201-S
software developer	61-2432-B,67-34519-B
software development	61-2355-B
software distributor	61-4774-B
software giant	61-4695-B
software industry	61-4630-S
software localization	32-62040-B
software market	61-2055-B
software menu	63-0-B
software oss	65-36480-S
software package	61-1992-B
software pirate	45-6608-B
software platform	61-2130-B
software publishers association	61-4449-B
software settings	63-1505-S
software system	61-2282-B
software technology	61-2206-B
softwood	61-2953-B
sohu	28-56373-B,28-56410-B
soil	15-30267-B,15-30556-S,16-6882-S,16-25135-S,16-25192-S,16-26104-S,16-35649-B,16-35683-S,36-39715-S,37-3028-S,37-3770-S,37-14899-S,37-42769-B,38-38193-S,43-19845-S,43-19845-S,46-42335-S,48-39149-S,48-62356-S,51-22631-S,52-10971-S,55-18344-S,56-43651-S,61-15534-S,64-35905-S,70-4486-S,70-25832-S,70-27342-S,71-2989-S,71-4844-S,71-5683-S,71-8046-S
soil and whether it can support a crop	16-25259-S
soil around plants	51-37672-S
soil conservation	36-39890-B
soil dressing	61-59417-S
soil dwelling primitive hexapod	55-58166-S,55-58246-S
soil moisture	5-34972-S
soil of loess plateau	16-22385-S
soil roller	46-38033-S
soil study	15-30305-S
soil typical of north china	71-17519-S
soil with large clay content	15-64520-B
soiled	57-9263-B
sojourn	5-6339-S,30-68209-B
sojourner martian land rover	49-26122-B
soka gakkai international	9-35543-B
sol goddess	55-40204-B
solanaceae the potato and eggplant family	54-7021-B
solar	8-12368-S,61-19351-S
solar calendar	66-35588-B,66-36084-S
solar calendar such as february 29	65-44788-S
solar cell	17-62264-B
solar day	17-61313-B
solar eclipse	31-12623-B
solar energy	17-62205-B
solar flare	51-24368-B
solar month of 31 days	17-20780-B
solar panel	17-60854-B
solar system	17-62148-B,22-67113-S,42-24648-S,71-23578-S
solar term	48-29252-B
solar terms	3-34608-S
solar variation	17-61464-B
solar wind	17-62344-B
solar year	14-56572-S
sold	63-40807-S,64-34045-S
sold as chinese pearl barley	55-21132-S
sold by bulk	30-9711-S
sold into slavery during western colonialism	28-20430-S
sold out	30-59340-B,59-58786-S
solder	64-20344-S,64-32770-S,64-32815-B,65-7104-B
soldier	8-977-S,8-1028-B,10-63125-B,16-35952-B,23-63118-S,26-6426-S,26-18272-B,30-29047-S,31-2560-S,31-2744-S,34-42097-S,35-42119-S,40-30236-S,40-48296-S,43-66014-S,46-16037-S,51-5509-S,60-10009-S,60-63684-B,69-52837-S
soldier ant	8-2567-B
soldier in battle	24-23335-B
soldier must face danger bravely	2-35456-B
soldier of fortune	8-2021-B
soldier on expedition	23-63496-B
soldier on leave for the melon picking season	43-8664-S
soldier s pay	69-10290-B
soldier serving alternate watch	32-7324-B
soldier stationed in some place	21-28038-B
soldier symbolizing war dead	40-48390-S
soldier taking part in battle	23-63496-B
soldier to top strategist of wu	12-69308-S
soldier x	8-35944-B
soldier švejk schweik	18-26775-S
soldier 成语 saw	40-48184-S,54-14773-S
soldiers	4-39186-S,4-52755-S,6-45155-S,8-291-B,8-720-B,8-2959-S,9-63909-S,20-36718-S,21-27740-S,23-42737-S,27-41079-S,30-7165-S,38-58976-S,39-64114-S,47-15074-S,56-38921-S
soldiers and buy horses 成语 saw	27-41131-S
soldiers and crab generals in mythology or popular fiction	56-7851-S
soldiers and sturdy horses	8-1381-S
soldiers by offering amnesty	27-41476-S,27-42201-S
soldiers under a good general	23-43572-S
soldiers 成语 saw	30-7255-S
soldiery fight one another 成语 saw	45-65660-S
sole	13-54641-B,14-16236-B,14-16326-B,25-17135-B,42-17727-B,70-41659-B,70-45611-B,71-57698-B
sole agent for a production unit or firm	10-19174-S
sole criterion for judging truth item from deng xiaoping theory	20-15514-S
sole fish	70-46430-B
sole hegemony	42-21978-S
sole hegemony 成语 saw	42-22085-S
sole of a shoe	68-6807-B
sole of foot	60-36804-B,60-50429-B
sole or flounder	70-39730-B
solecurtus constricta	56-19251-B
solely	7-9971-B,25-17325-B
solely engrossed in one thing	12-8282-B
solely of islands	53-33099-S,53-33231-S
solely preoccupied with one thing	12-8886-B
solemn	6-60257-B,14-42409-B,14-42625-B,21-38558-B,25-30828-B,29-58954-S,47-37349-B,54-21908-B,66-38110-B
solemn and stirring	25-9552-B
solemn fervor	25-10278-S
solemnity	14-42625-B
solenoid	25-41892-B,56-14868-B
solenoid cms	50-14957-S
solenoid electrical engineering	50-16363-B,50-16437-B
solfege	13-55355-B
solicit	24-23450-S,27-41944-S,28-64907-B
solicit business	27-42390-S
solicit contributions	10-6627-S,28-3609-S
solicit opinion	23-64528-S
solicit subscription to a publication	24-23631-S
solicitous	10-8738-B,25-44644-B,25-58178-B
solicitously	35-65816-B
solicitude	65-55252-B
solicitude for	70-6958-S
solicitude 成语 saw	35-61332-S
solid	8-27290-S,14-64047-B,15-744-B,16-3222-B,16-4293-B,16-5317-B,16-14984-B,20-10134-B,20-11839-B,25-45902-S,26-39226-B,41-51388-S,45-8806-B,46-26836-B,46-33016-B,46-34204-B,47-61935-B,48-49097-S,49-39832-B,66-52918-S,68-7285-B,68-46005-B,70-40739-B
solid and dependable	41-51452-B
solid angle	47-62419-B
solid as a boulder 成语 saw	16-3887-B
solid as a rock	19-26336-S
solid as rock	19-26436-S
solid background	9-48506-S
solid carriage pulled by fat horses	3-13152-S
solid carrying pole	34-45971-B
solid earth	15-64571-B
solid education	31-35967-S
solid figure having nine plane faces	3-20745-S
solid from a solution	52-33629-S
solid geometry	47-62217-B
solid learning	45-42521-B
solid particles in liquid	15-371-B
solid practical work	20-12767-B
solid solution	15-781-B
solid state	15-440-S
solid state hot condensed laser sshcl	15-849-B
solidarity	15-29359-B
solidarity polish worker s union	15-29090-B
solidify	8-27677-S,8-28005-S
soliloquize	53-13815-B
soliloquy introducing opera character	19-44394-S
soliloquy text introducing opera character	19-44487-S
solitaire puzzle	42-20952-B
solitary	4-60873-B,19-13296-B,44-470-B,45-35122-B
solitary hero	19-13470-B,19-13525-B
solitary tree 成语 saw	42-19607-S
solitary wasp	56-20096-B
solo	42-18581-S,42-18581-S,42-18793-B
solomon	66-55410-S
solomon islands	49-26306-B,49-27520-B,67-42379-S
solomon islands in southwest pacific	26-29467-B
solomon name	26-29408-B,29-8282-B,49-27520-B
solstice	1-29671-S,8-16378-S,8-16428-S,8-57572-S,16-41640-S,16-41699-S,31-11650-B,46-80-S,65-18954-S
solstice 冬至 and summer solstice 夏至	31-11650-S
solstice 夏至	31-11650-S
solubility	12-15193-B,36-43239-B,39-24754-B,39-24809-B
soluble	24-19859-S,39-24060-B,39-24809-B,57-39693-S
soluble in water	36-43239-B
solution	8-45363-S,9-17159-S,15-781-S,23-65255-S,30-20405-S,36-44924-S,36-54609-S,37-13329-S,37-13401-S,38-63218-S,39-24238-S,39-24702-B,39-24874-S,39-25002-B,40-6892-S,45-36281-S,48-20924-B,48-42651-S,52-33629-S,53-43083-S,57-47102-S,57-47990-S,61-47722-S,66-66756-S
solution math 	62-27573-S
solution of an equation	57-51814-S
solution to a problem	57-51070-S
solutions to problems 成语 saw	61-44878-S
solve	37-11802-S,46-20049-S,57-47102-S,57-49063-S,57-50925-S
solve a case	46-17923-S
solve a dispute	57-52813-S
solve all problems	68-40655-S
solve an enigma	46-20122-S
solve an equation	36-54609-S
solve crime	6-20807-S
solve disputes 成语 saw	28-18376-S
solve it	20-53110-S,20-53317-S
solve one problem only to find another cropping up	27-61868-B
solve or integrate an ordinary differential equation math 	47-38278-S
solve quadratic equation	63-38201-S
solve the problem at one fell swoop	1-17915-S
solve the riddle	57-52394-S
solved	62-61451-S
solvent	39-24103-B
solving	57-51000-S,57-51070-S
solving quadratic equation	63-38326-S
somalia	29-0-S,32-55749-S,49-27981-B
somber	8-25251-B,37-5496-B,66-24356-B
sombre	8-24904-B
some	1-1610-B,3-57436-B,5-51743-B,7-43173-B,32-29537-B,33-42059-B,33-42131-B
some activity	60-16932-S
some activity such as musician or revolutionary	19-60606-S
some advantage	2-18131-S
some author	29-27198-S
some branch of culture	41-12973-S
some business	24-45796-S
some capacity	6-13941-S,29-62165-S,29-62256-S
some cases picked out as example	43-56464-B
some claiming spiritual development	35-48337-S
some color	10-47564-S
some condition	14-55184-S
some context in beijing opera	68-17980-S
some deeper meaning in this	17-21518-B
some difficulty	37-58714-S
some exist	32-36651-B
some extent	16-55379-S,32-33782-S
some field	29-18260-S
some field or group	17-5443-S
some form	16-15731-S
some fruits e g oranges	7-30272-S
some goal	62-32665-S
some good comes out of a setback	14-61468-B
some help	2-18131-S
some hope is left	1-72767-S
some kind of	33-42377-B
some languages and actions cannot be followed by a noun	16-12860-S
some mammals	9-23313-S
some matter	43-65323-S,43-65323-S
some model	5-24153-S
some muslim states	55-37532-S
some number	69-14715-S
some numerical value	49-4494-S
some of your valuable attention to my task	8-56820-S
some one to do	40-12776-S
some other day	29-44551-B
some outcome	48-33679-S
some people	32-29584-B,33-42186-B
some phenomenon	40-10619-S
some place	21-28038-S,60-57175-S
some project	9-35166-S,24-38802-S
some purpose	63-764-S
some reason	46-43225-S
some regime	52-54077-S
some remarks	53-19840-S
some season	19-12275-S
some state	55-49982-S
some task	20-38388-S
some temperature scales	64-29672-S
some time ago	53-40533-B
some topic	11-55677-S
some traditional chinese operas	22-36059-S
some who are 	32-36651-S
some years	22-58034-B
someday in the future	31-6906-B
somehow	2-20775-B
someone	26-64725-S,32-29640-B,33-42186-B
someone do something	62-33566-S
someone from the same hometown	51-31295-B
someone less well informed	1-19510-S
someone s life	29-63745-S
someone there	32-29640-S
somersault	12-59792-S,12-62397-S,12-63036-S,26-49300-B,27-10840-S,34-59904-S,48-19639-B,51-22544-S,51-23216-S,51-23302-S,60-38539-S,69-760-S
somersault in gymnastics or dance	60-48727-B,60-48834-B
somersault in gymnastics or martial arts	30-70288-S
something	10-65465-S,10-65465-S,13-17658-S,14-3805-S,23-23940-S,28-34226-S,33-42335-B,36-65552-S,43-16504-B,56-32224-S,57-26552-S,59-32262-S,62-33566-S,65-21183-S,70-9900-S
something about everything	11-9212-S
something and it seems inevitable	51-18512-S
something appropriate	25-5464-S
something as a personal kindness	25-40023-S
something becomes true	1-10483-S
something custom made	19-47309-S,57-57503-S
something desperate	62-33697-S
something eaten	31-4390-S
something extra	61-56446-S
something from	52-16428-S
something happens	1-10483-S
something hidden	66-48482-S
something in sb s name	12-57814-S
something intact to its rightful owner	19-37869-S
something is true	45-26779-S
something made to order	19-43736-S
something or happening	35-34678-S
something out	58-13073-S
something specific	20-40812-S
something to advantage	40-40878-S,40-40878-S
something to be taken up later in speech or writing	24-1683-B
something to be true	5-43674-S
something to its original state	25-443-S
something to sb	18-2351-S
something too much to part with it	25-32509-S
something with one s back to the light	52-16828-S
sometime	31-6906-B,33-42293-B
sometime in the future	32-34770-B
sometimes	6-21906-B,32-34551-B,32-34607-B
sometimes big	31-39929-B
sometimes called hieroglyph	59-23175-B,59-23357-B
sometimes called mutually explanatory character	61-27622-B,61-27843-B
sometimes confused with 候 hou4	5-26354-B
sometimes derog 	9-23167-S
sometimes derogatory	58-44588-S
sometimes good	31-39998-B
sometimes institute of technology	42-54501-S
sometimes used as traditional character	5-1329-S,11-12109-S
sometimes written 曲	71-13276-S
somewhat	16-56076-B,32-29346-B,32-29537-B,32-33782-B,32-41928-B,47-30030-B,58-2744-B
somewhat extraordinary	2-6204-B
somewhere	13-45537-B,13-45705-B,33-42427-B,38-899-S,47-59135-S
somewhere as a visitor	5-6339-S
somewhere else	60-14514-S
somewhere temporarily	6-17051-S
somnabulism	17-2861-B,17-3172-B
somniloquy	29-6740-B
son	7-21701-B,7-22229-B,14-25333-S,16-46885-S,16-48915-S,16-48915-S,19-121-B,19-15015-S,26-61949-S,29-65932-S,35-20549-S,38-11507-S,38-11568-S,42-18830-S,51-46251-S,61-66775-S,63-3351-S,65-12976-S,65-13150-S
son as a sign of filial piety	14-12551-S
son becomes a dragon 成语 saw	32-45750-S
son gout	12-29586-S,12-29750-S
son honorific	55-45678-S
son in law	3-15018-S,18-55539-B,57-38683-S
son in law humble	20-62861-S
son in law living at wife s parent s house	60-1971-B
son in law living with wife s family	60-1866-S
son in the christian trinity	51-46251-S
son of a bitch	42-33267-B
son of a king	42-34199-B
son of abraham	4-37534-S
son of achim	4-37394-S
son of ahaz	22-21942-S
son of amaziah	40-40282-S
son of amminadab	27-55739-S
son of amos	49-7798-S
son of an official	7-58245-B
son of aphrodite and ares	2-43022-S
son of azor and father of achim in matthew 1 13	29-8000-S
son of boaz and ruth	5-31589-S
son of eleazar	69-32000-S
son of eliakim and father of zadok in matthew 1 13 14	3-59195-S
son of eluid	4-36212-S
son of fengtian clique warlord	23-38381-S
son of first wife	18-59560-B
son of god	46-58629-S
son of grandfather s sister	56-43454-B
son of grandmother s brother or sister	56-43454-B
son of heaven traditional english translation	17-46030-S
son of hezekiah	43-1152-S
son of hezron	3-63758-S
son of jacob	42-14152-S
son of jeconiah	29-7295-S
son of joram	40-38544-S
son of josiah	51-40624-S
son of jotham	3-58331-S
son of judah	37-29668-S,58-56801-S
son of king sihanouk of cambodia	27-25996-S
son of man	4-8023-B
son of manasseh	3-57853-S
son of nashon	29-9021-S
son of obed	51-41877-S
son of odin	43-10272-S
son of one s eldest son	65-13150-S
son of perez	22-20630-S
son of ram	3-63080-S
son of royalty	23-785-S
son of salmon and rahab	37-41906-S
son of shealtiel	26-29325-S
son of uzziah	49-4667-S
son of yu the great 禹	13-64508-S
son of zadok in matthew 1 14	3-64818-S
son of zerubbabel	3-60448-S
son or daughter	18-44119-S,19-9985-S
son ra	65-13740-S
son ra 長山山脈 长山山脉	19-24881-S
son s daughter	19-14663-B,19-14724-S
son s daughter s husband	19-14796-B
son s son	19-15015-B
son s son s wife	19-14887-B
son s wife	5-16661-S,16-49153-S,19-14887-S
son 成语 saw	69-20564-S
sonar sound navigation and ranging	51-66513-B
sonata	18-5769-B
sonata form one of the large scale structures used in western classical music	18-5820-B
sonchus oleraceus	54-20603-B
song	8-30031-S,12-56379-S,13-32105-S,13-55547-B,13-55631-S,19-34795-S,19-35243-S,19-35889-S,21-30750-S,21-30750-S,25-14791-S,25-22917-S,26-67369-S,30-43553-S,32-4338-B,33-27028-S,33-53378-S,34-27348-S,35-25549-B,35-25654-B,35-26139-B,35-47306-S,36-21842-S,37-25193-S,50-39387-S,53-27889-S,58-58903-B,58-58966-B,59-57846-S,61-47835-S,63-44899-S,65-51285-S,66-55410-S,69-22844-B,70-17583-S
song 1128 1279	7-44185-S
song 195	44-62237-S
song 907 960	3-46892-S
song 960 1279 dynasties	13-51031-S
song and yuan literary form based on vernacular folk stories	58-15991-B
song and yuan periods	22-44990-S,58-7862-S
song associated with classical writing 古文	24-13666-S
song bai 936 1012	19-36135-B
song calligraphers namely su shi 蘇軾 苏轼	19-35138-S
song ci 1186 1249	19-35386-B
song ci 宋慈	37-52863-S
song contest	35-25872-B,35-30354-S
song county in henan	21-46991-B
song cycle in chinese opera	18-9183-S
song dynasties	9-2344-S
song dynasty	6-35052-S,10-30380-S,19-34973-S,19-35035-S,19-35309-S,66-28255-S
song dynasty 1127 1279	10-69305-S
song dynasty 960 1127	10-30309-S
song dynasty 960 1279	7-44185-S,19-34795-S,19-34915-B,19-35714-B,60-29569-B
song dynasty family of warriors c 10th century ad	34-28368-S
song dynasty history of zen buddhism in china 1252	3-51597-B
song dynasty literary figure	42-36244-S
song dynasty provincial governor	48-28795-S
song dynasty reading primer	44-52644-S
song dynasty scholar zhou dun yi 周敦頤 周敦颐	17-59471-S
song dynasty typeface	4-45399-S
song font	19-36418-B
song form from yuan	30-8514-S
song founding emperor song taizu 宋太祖 holds a banquet in 961 and persuades his senior army commanders to go home to their provinces	33-13968-S
song from wu or from south china more generally	13-2063-S
song girls of shanghai by han bangqing 韓邦慶 韩邦庆	38-15363-S
song government in 1043	25-52292-S
song in	45-704-S
song in henan	21-46759-S,21-46805-S
song in opera with clapperboard accompaniment	24-48262-S
song jiang	19-36031-B
song jiaoren 1882 1913	19-35531-B
song lian 1310 1381	19-36078-B
song literati su xun 蘇洵 苏洵	1-41113-S
song lyric	35-26497-B
song meiling 1898 2003	19-36241-S
song of 1943	15-28946-S
song of lady du qiu	33-9851-B
song of solomon	66-55410-S
song of southern dynasties 420 479	60-29569-S
song of southern dynasties 南朝宋 420 479	19-35714-S
song of the pipa player	42-59991-B
song of the southern dynasties 420 479	9-41873-B,10-72577-B
song of the southern dynasties 南朝宋	48-31235-S,58-57724-S
song of the southern dynasties 南朝宋 420 479	9-41788-B,19-34795-S
song of the southern dynasties 南朝宋 or liu song 劉宋 刘宋	19-35602-S
song or elegy	63-15044-S
song phonetic theory	1-31891-S
song poet fan gongcheng 範公偁 范公偁	62-44983-S
song prose	13-51115-S
song qi 998 1061	19-36189-B
song qingling or rosemonde soong 1893 1981	19-35439-B
song reigned 650 637 bc	19-36330-S
song screen font is wrong should be	48-13836-S
song taizu 宋太祖 holds a banquet in 961 and persuades his senior army commanders to go home to their provinces	33-13968-S
song the east is red 東方紅 东方红	29-64167-S
song times	30-5490-S,62-50334-S
song to pass from person to person	6-34782-S
song to stringed accompaniment	23-35046-B
song writer	5-7300-B
song writer ouyang xiu 欧阳修	24-28215-S
song 劉宋 刘宋	19-35602-S
song 嵩山 in henan	2-70503-S
song 舊五代史 旧五代史	34-9151-S
song 詩經 诗经	17-39509-S,21-1797-S
songbird	70-52950-B,70-53152-S
songdao or kuo sun tao 1818 1891	63-24543-S
songhay people of mali and the sahara	34-6885-B
songhua river in jilin province 吉林省 through harbin 哈尔滨	33-28525-B
songhua river through liaoning peninsula	33-28903-S
songjiang place in shanghai	70-26505-S
songkran or water splashing festival at thai new year 13th 15th april	39-56895-B
songling 1640 1715	55-942-S
songling 蒲松齡 蒲松龄	51-43738-S
songming county in yunnan	21-46857-B,21-46918-B
songpan place in sichuan	70-26740-S
songs	28-22859-S,35-25386-B,58-14622-S,58-58863-B
songs how to fashion an ax handle you need an ax	4-55149-S,29-21528-S
songs of chu 成语 saw	14-54038-S
songs 書經 书经 and classic of rites 禮記 礼记	58-14311-S
songs 詩經 诗经	3-52990-S,10-42232-S,66-55410-S
songs 詩經 诗经 and the book of history 書經 书经	58-14140-S
songshan district of chifeng city 赤峰市	33-27775-B
songtao miaozu autonomous county in guizhou	70-26372-B
songtsen gampo or songzain gambo 604 650 tibetan emperor	70-27083-B
songtsen gampo or songzain gambo in lhoka prefecture	70-27197-S
songwriter	5-7237-B
songxi place in fujian	70-26617-S
songyang place in zhejiang	70-27488-S
songyuan city 松原市	20-17995-S,20-18077-S
songyuan prefecture level city in jilin province 吉林省 in northeast china	33-27461-B,33-27574-B
songyuan 松原	3-24414-S,3-24481-S,9-25338-S,9-25524-S,26-55652-S,26-55714-S,65-14056-S,65-14128-S
songzain gambo 604 650 tibetan emperor	70-27083-S
songzain gambo in lhoka prefecture	70-27197-S
songzi place in hubei	70-26679-S
sonic boom	41-35285-B
sonn 	54-18815-S
sonnet	10-45394-B
sonny seraphin haitian ambassador to taiwan	16-19808-B
sonorant	68-19225-B
sonorous	64-56942-B
sonorous voice	20-23988-S,38-61576-S
sons	1-41113-S,16-2341-S
sons and daughters	7-22041-B,19-629-B
sons cao pi 曹丕 and cao zhi 曹植	1-35616-S
sons in law	18-55174-S
sons of an official	7-58297-S
sons of same father by different mother	43-62335-B
sons zhuan xu 顓頊 颛顼	3-49838-S
sons 成语 saw	71-61068-S
sony	49-26578-B
soochow university	55-38555-S
