the gospel	19-55856-S
the heart and delights the eye 成语 saw	59-57206-S
the heart and nurture the character 成语 saw	5-47670-S
the heart of the matter	9-5144-S,61-56577-S,61-58605-S
the heart sutra	24-37288-B,53-36776-S,53-36914-B
the heart to do sth	24-43001-S
the heart wishes	24-7608-S
the heart 成语 saw	46-19827-S
the heavens	31-31253-B
the heavens 成语 saw	37-61943-S
the hebrew university	22-19954-B
the hebrews	22-19750-S
the heels of	21-15685-S
the hegemon	67-49458-S,67-49995-S
the height of folly	54-18616-B
the heilongjiang and vladivostok area	18-22880-S
the heilongjiang or amur river	17-26572-S,29-14233-S,71-31920-S
the helm of state	29-55779-S
the helm 成语 saw	57-31761-S
the hem of clothes	28-61432-S
the herd	19-59922-S
the herd 成语 saw	19-59609-S
the hermitage or ermitazh museum in st peterburg	53-48248-B
the hero	31-39692-S
the hidden dragon 臥龍 卧龙 to his cause by visiting him three times	1-44380-S
the hierarchy	7-27757-S
the high	29-32379-S
the high traffic load around chinese new year	31-35664-S
the highest imperial civil service examination	62-29483-S
the highest order	6-58305-S
the himalayas	14-9735-B
the hindmost	41-43222-S
the hindu creator	34-17186-S
the hindu goddess of wisdom and arts and consort of lord brahma	61-37529-S
the hindu kush mountain range	53-25693-B
the hip	1-69119-S,18-31353-S,44-14638-S
the hiring side of a contract	26-61784-B
the historiographers got working on them	3-49838-S
the hobbit by j r r tolkien 托爾金 托尔金	67-42883-B
the hold of a ship	49-53133-S
the hold of a ship or airplane	53-39420-B
the hole in the center of a wheel accommodating the axle archaic	35-10685-B
the holiest city of islam	71-11673-S
the holy roman empire hist 	46-60951-B
the holy see	30-2553-B,50-63356-B
the holy spirit	51-49306-S,56-11272-S
the home	26-25204-B
the home old view	45-27748-S
the honest folk	70-39346-S
the hong kong stock exchange	49-11934-S
the hong kong stock market	39-5501-B,69-26919-B
the honor	2-12885-S
the horizon	32-1282-S
the horizontal or vertical	6-48033-S
the horns	34-27147-S
the horse	32-64677-S,61-12846-S,61-13058-S
the horse at the edge of the precipice 成语 saw	26-2206-S
the horse before the cart	5-58479-S
the horse e g 2002	69-37110-S
the horse has bolted	3-66287-S
the horse has bolted 成语 saw	29-53474-S
the horse s head nebula	69-44326-B
the hotel and restaurant business	63-39552-B
the hottest periods of summer	1-30252-S
the hour and size up the situation	20-21684-S
the house	15-9573-S
the house and cross the roofridge 成语 saw	60-54554-S
the house and its crow 成语 saw	25-33806-S,25-33955-S
the house because of a blockage	5-58742-S
the house down	39-37240-S
the house 成语 saw	23-29630-S
the household	17-63223-S,26-24426-S,27-22306-S
the household who goes out to work	26-43566-S
the huanghuagang uprising of 23rd april 1911	71-22753-S
the huayan school	54-32946-S,54-33076-S
the hub of centralized government	2-73944-S
the human body	20-9616-S,52-18353-S,52-29189-S,56-46472-S
the human center acupuncture point	4-5647-B
the human head	68-52886-S
the human way one of the stages in the cycle of reincarnation	4-17332-S
the humours of the body	44-17782-B
the hunchback of notre dame by victor hugo 維克多·雨果 维克多·雨果	65-120-B
the hundred days reform 百日維新 百日维新	26-5949-S
the hundred schools	42-18977-S
the hundred thousands place or column in the decimal system	10-47269-B
the hundreds and thousands	26-10998-S
the hundreds place or column in the decimal system	44-50454-B
the husk	53-21265-S
the husk and see the rice	13-6454-S
the hydrosphere geology	36-39636-B
the iberian peninsula	4-49790-B
the ice	46-16658-S
the iceberg	8-17561-S
the idea	51-11461-S
the idea of	62-38300-S
the idea of retaining previous legislature after transition to chinese rule in hong kong or macao	45-25002-S
the identification of cultural heritage	15-5708-S
the ignorant	54-63524-S
the ili river basin around turpan in xinjiang	4-50395-B
the ill fated chinese navy in the 1895 war with japan	10-33160-S
the illness	20-52978-S
the illness and the patient s condition	61-38497-S
the illusory nature of the world in buddhism	17-2526-S
the imagination	50-21882-S
the immensity of heaven and earth	2-21246-S
the immortals	43-8016-S
the immortals advertising real estate	37-65340-S
the imperial college	15-4248-S
the imperial court	32-47135-B,44-62034-B
the imperial court and the ordinary people	32-49052-B
the imperial exam	2-70866-S,2-82879-S
the imperial examinations	22-47473-S,69-23592-S
the imperial exams	53-26617-S,54-50044-S
the imperial family	44-61802-B
the imperial palace	29-59785-B
the imperial palace in beijing	49-29013-B
the imperial provincial examination	35-43680-S
the imperial regime	22-24959-B
the imperial throne applies esp to empress dowager or regent	52-58504-S
the importance of agriculture in ancient philosophy	1-56309-S,64-1540-S
the importance of sth	32-37334-S
the importance of things i e stress the incidental and neglect the main point	61-12846-S
the importance of things i e stress the unimportant and neglect the important	61-13058-S
the important	61-13058-S
the important and dwell on the trivial	63-7636-S
the important point is 	64-196-B
the impossible	4-36415-S
the impression of weakness	46-46233-B
the inadequacies of my humble service and pay me a little more	70-15112-S
the incident	3-31474-S,3-31554-S
the incidental	32-64546-S
the incidental and neglect the main point	61-12846-S
the incidental over the fundamental	32-64677-S
the independent	42-20543-B
the indian ocean	61-51021-S
the indian subcontinent	35-20417-S
the indian subcontinent esp in tang or buddhist context	17-52223-B
the individual 成语 saw	3-29873-S
the individuals	10-18840-S
the indonesian islands	55-41935-S,55-42027-S,55-42130-S
the inert or noble gases 惰性氣體 惰性气体	67-20529-S
the inexorable passage of time	22-48329-S,31-7939-S
the inferno	66-24446-B
the initial accident	52-4907-B
the initial consonant of a chinese syllable	51-66213-B
the initial problem	52-4115-B
the initial stage	54-41310-S
the initiative	3-4103-S,8-46967-S
the initiator	9-36129-B
the inner ear	61-55120-S
the ins and outs	18-38658-B
the inside	56-46148-S
the inside of some fruits e g oranges	7-30272-S
the inside story	37-59877-S
the instant sth happens	52-57739-S
the insured person	11-59744-B
the intercepting fist	26-15932-S
the interest on a bill of exchange	59-48250-S
the interior	7-28689-S,7-28759-S,33-35121-S
the international border	6-23037-S
the international communist movement	15-14696-B
the international community	15-18224-B
the internationale	15-17506-B
the internet	1-54817-S,3-46059-B
the intersection of the moon s orbit with the ecliptic in vedic astronomy sanskrit rahu	50-61116-B
the intestine	44-17656-S
the intoxication of a beautiful spring day	70-50916-S
the invader	16-3723-S
the inverse square law in gravitation or electrostatics	22-41046-B
the inverse square law of electrostatic forces	22-65442-B
the inverse square of the distance	22-41182-S
the inverse square phys 	22-41340-S
the investors	52-10346-B
the iron is hot	3-13005-S
the islamic conference	4-49272-S
the island of borneo	9-59411-S
the isoperimetric inequality	48-18053-B
the issue without getting involved	56-6398-S
the item named above	9-20947-B
the items on a theatrical program	16-10108-S
the ivory coast	3-62897-S
the iwakura mission japanese diplomatic and exploratory mission to us and europe of 1871	21-35836-B
the jade annulus to zhao 成语 saw	19-37869-S
the jade emperor	17-46369-S
the jade gate in gansu	42-32402-B
the jade lake on mount kunlun	43-535-B
the japanese armed forces	53-13400-B
the japanese as a pretext to annex manchuria	3-17360-S,33-49592-S
the japanese kana scripts	6-6914-B
the japanese kwantung army or kantou army	65-55772-B
the japanese meiji restoration of 1868	31-25212-B
the japanese side or party in negotiations etc	31-7288-B
the japanese twenty one demands of 1925	3-33219-B
the jaws of defeat	61-24800-S
the jaws of victory	9-49161-S
the jejunum 空腸 空肠 and appendix 盲腸 盲肠	14-57381-S
the jesuits	51-42152-B
the jesuits society of jesus	51-41595-B
the jin dynasties 265 420	31-43131-B
the jin dynasty	31-43795-S
the job	6-22628-S,20-12767-S,28-46705-S,30-19021-S,46-39734-S
the job and stint on materials 成语 saw	6-22696-S
the job of a train conductor	60-36216-S
the job seriously	30-19021-S
the job training	15-36194-S
the jockey club	60-1475-B
the joined hands	28-44319-S
the jordan river	49-4109-B
the journalists	16-11156-B
the judgement of superiors	62-68385-S
the junggar or dsungharian basin in xinjiang between the altai and tianshan ranges	39-17075-B
the jurchen jin dynasty	64-8291-S
the jurisdiction of	35-53978-S,37-24183-S
the just and unjust alike	55-46040-S
the kangxi dictionary 1716 source of the 214 radicals still used today	23-2922-B
the kempeitai or japanese military police 1881 1945 japanese counterpart of the gestapo during wwii	25-57365-B
the key or radical by which a character is arranged in a traditional chinese dictionary	63-23984-B
the key point	28-41577-B
the key to the past	42-49700-S
the key trick	57-27540-B
the keyboard	71-39574-S
the kind of room	32-10976-S
the kindness	68-34526-S
the kindness 成语 saw	25-40891-S
the king	10-9467-S,42-34320-B,42-36865-S
the king diligently	10-9467-S
the king or emperor to abdicate	62-34177-S
the king s horses and all the king s men	10-50654-S
the king s men	10-50654-S
the kitchen 成语 saw	60-25771-S
the knack	41-16224-S
the knack of doing sth	47-59321-B,47-59417-B
the knee 成语 saw	10-62423-S,18-23465-S
the knees	44-34643-S
the know	5-52494-S
the korean koryo or georyo dynasty 935 1392	70-24123-B
the korean side	68-12381-B
the korean text hunmin jongum promulgated by sejong daewang in 1418 to introduce hangeul	57-64353-B
the korean war 1950 1953	32-50308-B
the korean yi or lee dynasty 1392 1910	33-3840-B
the kowloon peninsula opposite hong kong island	21-6006-S
the kremlin	7-18617-B
the kuiper belt in the outer reaches of the solar system	22-67113-B
the kunlun karakorum mountain range	21-43436-B
the kuomintang	2-56109-S
the kyrghiz nationality	12-41591-B,33-48104-B
the kyrghiz people race	12-41591-B,33-48104-B
the lady in the moon	18-44294-B,18-59702-B
the lake 成语 saw	64-58033-S
the lamb of god	17-43581-B
the lamentations of jeremiah	51-40294-B
the land	13-33136-S,38-15928-S,39-52309-S,39-52449-S,42-35867-S,47-32139-S
the land and extort from the peasant	11-26321-S
the land fengshui describing good or bad locations	15-44296-S
the land of dreams	17-3321-B
the land with rotation of crops or fertilizer	69-10666-S
the lantern festival 15th of first month of lunar calendar	41-25328-B
the lapel of a garment	56-47789-B
the large	19-38967-S
the large flat bone of the pelvic girdle	70-4115-S
the large hadron collider lhc at cern	17-11901-B
the large intestine	17-32196-B
the large scale structures used in western classical music	18-5820-S
the larger issues	2-30171-S
the larva of silkworm with batrytis	44-40690-B
the last 12000 years	7-37373-S
the last 180	48-13034-S
the last 65m years	30-52136-S
the last ditch	52-17315-S
the last emperor	32-59582-B
the last few days	61-48167-S
the last few months	22-56997-B
the last few years	32-21361-B
the last hurdle	9-49161-S
the last ice age	7-37165-S,7-37290-S
the last minute	52-57896-S
the last qing emperor pu yi 溥儀 溥仪	19-55319-S
the last ruler of the xia dynasty	18-37228-S
the last straw	20-59248-B,24-43266-S
the last supper in the biblical passion story	32-20409-B
the last supper in the christian passion story	32-20696-B
the last years	22-47415-S
the last years of eastern han	33-21377-B,33-21496-B
the late	22-2269-B
the late emperor	7-5098-B
the late i e person who has passed away	12-61-B
the late qin and early republic	38-61881-B
the late qing	30-3201-S,31-45217-B,37-49813-S,57-15412-S
the late qing and under the guomindang	10-56431-S
the later jin dynasty from 1616 	64-8410-B
the later tang dynasty	30-45269-S
the lateral sulcus or sylvian fissure	16-43843-S,16-43994-S
the latest fashion in clothes	31-41566-B
the latin alphabet	50-63073-B
the latter	24-1122-B
the latter name is commonly used in malaysia and indonesia	65-44538-B
the latter two	23-67238-B
the lattice of a window a sill	35-19717-B
the law	18-2978-S,19-22063-S,20-54161-S,23-46265-S,27-62796-S,32-43827-S,32-43827-S,37-32346-S,37-32721-S,37-32721-S,37-35044-S,42-2705-S,42-35867-B,50-41487-S,59-39863-S,62-57749-S,67-13531-S,67-13531-S,68-20879-S
the law and behave oneself	19-24558-S
the law and break it 成语 saw	45-63852-S
the law and commit crimes 成语 saw	40-33310-S
the law and disregarding all rules	45-17733-S
the law as firm as a mountain 成语 saw	15-65338-S
the law for one s own profit 成语 saw	23-65428-S
the law of a state in former times	42-35867-B
the law of conservation of energy	52-28344-B
the law of the land	42-35867-B
the law of the sea	51-59044-S
the law or discipline	2-32741-S
the law strictly	15-65338-S
the law temple in beijing	37-32428-S
the law 成语 saw	59-39863-S
the lead	22-29463-S,27-66550-S,42-716-S
the lead showing initiative	42-28817-S
the least	1-23518-S,32-20229-B,36-15744-S,36-15815-S,36-16346-S,40-61403-S,49-45316-S,53-18305-S
the least bit	10-61685-B
the least concerned	39-47375-S,47-16329-S
the least concerned 成语 saw	39-35230-S
the least inferior	36-16661-S
the left	12-62843-S
the left and right side of a split chinese character	6-12656-B
the left ear of the slain	51-56327-S,69-24742-S
the left hand side of split chinese character	6-11178-B
the left of	21-59436-S
the left side	21-59436-B
the leg	20-69765-S
the leg of a boot	68-6377-B
the legal limits	22-60933-S
the legation quarter during the boxer uprising	33-14664-S
the legend of the red lantern	49-11163-B
the legendary bird zhen 鴆 鸩	70-53553-S
the legendary emperor fuxi 伏羲	51-14984-S
the lender	59-46061-B
the length of a curve segment	23-35784-S
the leopard	1-10270-S
the lesser of two evils	20-16690-S
the letter	1-11646-S,2-11817-S,66-43028-S
the letter t 成语 saw	45-15767-S
the liangshan mountain rebels	62-33697-S
the liao dynasty	63-4550-S
the liaohe river	18-6031-S
the liaoning peninsula	55-59737-S
the liberation of palestine	57-49282-S
the liberation of taiwan from japanese rule in 1945	7-8962-B
the liberty	8-11086-S
the liberty of	2-12264-S
the light	24-68348-S,37-25839-S,52-16828-S,59-16709-S
the light at the end of the tunnel	66-42628-B
the light of	27-61646-S,27-62634-S,36-11059-S
the light of buddha	6-37664-S
the light of day	4-4679-S
the light of torch	40-42808-S
the lights	41-11690-S,71-38199-S
the lily	16-59492-S
the lily family	44-52057-B
the limbs	44-17603-S
the limelight	8-47425-S
the limit	17-38365-B,33-12602-B,60-21670-S,60-24297-S,60-26245-S
the limit of sth	45-7675-S
the line	8-43933-S,16-33392-S,37-27396-S,60-48228-S
the line e g railway	37-27396-S
the line of duty	35-60677-S,42-26465-S
the line of force	9-47121-S
the lines	17-70440-S,19-6493-S,23-34398-S,57-55739-S
the lionheart 1157 1199	42-16136-S
the lip or vibrating end of a reed in a wind instrument	48-39427-B
the lips	13-10096-B,13-49046-S
the listener can take or leave 成语 saw	18-33654-S
the lithuanian republic	47-61784-B
the little mermaid	4-19415-B
the liver and rectify qi4 traditional chinese medicine	44-2929-S
the loads on it	29-22680-S
the local commander	28-40867-B
the local population	43-66757-B
the location	66-43312-S
the location below sth	22-60076-B
the lofty heights	66-45662-B
the logical content of a word or technical notion	7-29553-B
the long and broad view	44-25630-S,70-18635-S
the long arm of the law	37-32721-B,67-13531-B
the long corridor at summer palace 頤和園 颐和园	65-14612-B
the long march	62-68902-S,65-14703-B
the long route	50-40965-S
the long tail	65-13691-B
the long term influence of a solid education	31-35967-S
the long view	62-60934-S
the lookout	26-66100-S
the lord buddha preserve us	66-2013-S
the lord of lu who declined to employ confucius	70-40248-B
the losing side	59-31891-B
the loss to the authorities concerned	16-9842-S
the losses	24-6164-S
the lottery	23-56089-B,24-6335-S
the louvre	70-39967-B
the lover	25-12113-S
the lower reaches of changjiang	36-57963-S
the lowest class	53-42019-S
the lowest point e g of a relationship	32-18741-S
the lunar calendar	6-62222-S,61-40724-B,65-45008-S
the lunar month	23-34697-S,32-44910-S
the lunar new year	35-37366-S,65-36942-B
the lunar or solar calendar such as february 29	65-44788-S
the lungs	50-31136-S,52-14847-S
the luoxiao mountains between jiangxi and hunan	50-62785-B
the lute to a cow 成语 saw	20-52736-S
the ma clique of warlords in gansu and ningxia during the 1930s and 1940s	69-35882-B
the macartney mission to qing china in 1793	69-35282-B,69-37807-B
the mace	29-7067-S
the macula retina	2-65775-S
the madeira islands	69-37437-B
the magi	1-30402-B,33-19070-B
the mail	5-42961-S
the main body of a book	32-64147-B
the main cathedral of constantinople	51-49957-S
the main forms of southern chinese 吳語 吴语	55-38722-S
the main guest	1-59913-S
the main point	44-1967-S,61-12846-S
the main point in an argument	44-13088-B
the main point in speaking	46-18662-S
the main points	2-8947-S,57-25980-B,57-26985-B
the main points 成语 saw	28-41632-S
the main river through shanghai	71-20935-B
the main sequence astron 	3-5262-S
the main theme	71-43146-S
the main topic	60-14649-S
the major subject	3-6895-S
the majority	17-36783-B
the majority of sth	17-36724-B
the malaysian peninsula and singapore	33-44038-S
the maldives	69-39404-B
the male line	18-43929-S
the man of qii fears the sky falling 成语 saw	33-10940-B
the man of the moment 成语 saw	68-58730-B
the man 成语 saw the trend of events brings forth the hero	31-39692-S
the manchu	69-56711-S
the manchu khanate or kingdom that took over as the qing dynasty in 1644	64-8410-B
the manchu surname of the qing emperors	25-35539-B
the manchurian railway incident of 18th july 1931 九一八事變 九一八事变	27-5334-S
the mandate of heaven	26-62489-S
the mandate of heaven traditional english translation	11-60608-S
the mantis stalks the cicada	56-13419-B
the mantle of the earth geology	15-40553-B
the manufacture of	45-10003-S
the many names of buddha	5-5039-S
the marco polo bridge incident of 7th july 1937 that sparked ww2 between japan and china	1-26425-B,45-13840-B,55-36662-B
the mark	2-27181-S,2-48918-S,27-68938-S,27-69095-S,62-47729-S
the market	1-49233-S,5-57158-S,8-37035-S,27-2013-S,42-21978-S,62-65910-S,64-34271-S
the market in sth	14-62792-S
the marrow	24-29914-S,38-45291-S
the marsh by shi naian 施耐庵	36-43602-S,36-43708-S
the mass of common people	55-14623-B
the massacre of 12th mar 1927	14-45852-B
the masses	14-6607-S,17-29049-S,36-23189-S,51-10989-B,51-11050-S
the masses and from reality and act blindly	65-28919-S
the masses rise to attack it 成语 saw	51-11461-B
the masses 成语 saw	9-46557-S,53-22610-S
the master	23-66996-S
the master and his teaching	20-43253-S
the matchmaker	58-56265-S
the materials ready	6-28803-S
the mathematical art	3-20312-S
the matrix movie	71-29509-B,71-29578-B
the matter	9-5144-S,35-57269-S,45-45692-S,61-56577-S,61-58605-S
the matter also used with negative	54-55949-S
the matter and deliberate the reason 成语 saw	56-40631-S
the matter as it stands	21-9175-S
the matter depends on the individual 成语 saw	3-29873-B
the matter drop	50-54410-S
the matter falls to sb s responsibility	54-55608-B
the matter has become a pile of eggs 成语 saw	3-29733-S
the mausoleum of the first emperor near xi an	47-23836-B
the maximum	53-18111-S
the mean	2-70760-S
the mean value theorem in calculus	22-38302-B
the meaning	23-54964-S,25-29799-S,32-46090-S
the meaning as opposed to literal translation 直譯 直译	25-30505-S
the meaning behind sb s words	24-40022-S
the meaning behind sb s words 成语 saw	24-40189-S
the meaning of sth	63-53635-B
the meaning of the classics	30-18562-S
the meaning of the whole piece	30-59714-S
the meaning of words in classic texts	63-53299-S
the meaning of words or phrases	63-53635-S
the meanings of existing elements	32-23505-S,32-23744-S
the means of production in marxism	26-28812-S
the meantime	8-4393-S
the media	18-56211-S,30-54591-B,41-34232-S
the medial vowel	67-21243-S
the median nerve	52-38801-S
the medicine to the illness	20-52978-S
the mei lanfang school	34-11582-B
the melon	68-26576-S
the melon is ripe	43-8964-S
the melon picking season	43-8664-S
the melting point of silver 962 c used as a calibration point in some temperature scales	64-29672-B
the memories	25-55213-S
the memory of	26-430-S
the memory of betrothed	19-22116-S
the memory of sb	24-55301-S
the men s swords 成语 saw	8-519-S
the menstrual cycle when an embryo can implant in the womb	71-25112-S
the merchant of venice	16-41104-S
the merchant of venice by william shakespeare	18-46551-B
the merits of an argument	58-54885-S
the mess kitchen	22-35751-S
the message 成语 saw	1-67379-S,1-67577-S
the messiah	15-70441-B,71-36681-B
the metaphysical union of jesus christ with god and the holy spirit	56-11272-B
the microphone 麥克風 麦克风	71-12985-S
the microscopic world	24-21749-B
the microsoft operating system	57-36186-S
the mid 19th to early 20th century	61-47442-S
the mid autumn festival	2-76974-B,32-29138-S
the mid autumn festival on 15th of 8th lunar month	2-77033-B
the middle	43-65182-S
the middle and lower regions of the yellow river	2-51979-B
the middle class	2-76283-S
the middle classes in imperial china	19-56839-S
the middle ear	51-39745-S,52-189-S,52-2202-S,52-2297-S,71-48108-S,71-48642-S
the middle east	2-73602-S
the middle man makes a profit	3-495-S
the middle of a tray	2-76608-S
the middle of doing sth	15-33424-S
the middle of sth	65-46699-S
the middle of the 17th century	31-24949-S
the middle of the night	10-55991-S
the middle road	27-8490-S,27-10515-S
the middle stretches of a river	2-82599-B
the midfield in soccer	29-48225-B
the midnight oil	27-65772-S,65-32731-S
the midpoint	35-38013-S
the midst of pressing affairs	29-11780-S
the mike at karaoke party hegemon 霸 of the microphone 麥克風 麦克风	71-12985-S
the military	61-62234-S,63-59624-S
the military powerful political slogan	23-42737-S
the military revolt of 960 that led zhao kuangyin 趙匡胤 赵匡胤 to found the song dynasty	66-28255-B
the milk teeth	71-55546-S,71-56067-S
the milky way	64-27617-B
the milky way between altair and vega where cowherd and weaving maid 牛郎織女 牛郎织女 are allowed an annual meeting	70-57411-S
the millions place or column in the decimal system	44-56920-B
the miluo river 汨羅江 汨罗江 at yueyang 岳陽市 岳阳市	21-19753-S
the mind	25-62105-S,52-40212-B
the mind in a trance	61-54878-S
the ming	36-58106-S
the ming 1368 1644 and qing 1644 1911 dynasties	31-25368-B
the ming and qing	63-30645-S
the ming dynasty	18-22766-S,31-22716-S
the ming dynasty 1368 1644	31-21770-B,31-22043-B
the ming dynasty provincial headquarters in the heilongjiang and vladivostok area	18-22880-B
the ming emperors in changping district of beijing	31-22362-S
the ming tombs mausoleum park of the ming emperors in changping district of beijing	31-22362-B
the minimum	60-17578-S
the ministry of truth	2-54596-B
the ministry of war in feudal china	8-2849-B
the minor details to clear up later	61-44878-S
the mire with sb 成语 saw	12-49154-S
the mirror	64-58240-S
the misfortune on to sb else 成语 saw	18-57952-S
the mob chases the rich and powerful	18-31576-B,18-31734-B
the mob scrabbles madly for sth unobtainable	60-30855-B
the model	37-26550-S
the modern form	42-48994-B
the moisture content of the soil	16-25135-B,16-25192-B
the moment	18-39595-S,65-25220-S,65-26835-S
the moment comes	9-9687-S
the moment 成语 saw	68-58730-S
the money market	64-26962-B
the money spent	8-14623-S,8-15181-S
the money to cover sth	4-542-S
the mongoose family	42-24340-S
the monkey creates havoc in heaven	17-41960-B
the monkey e g 2004	42-13803-S
the monkey 成语 saw	36-1329-S,36-1517-S,36-1880-S
the monkeys scatter 成语 saw	34-60376-S
the month	1-20022-S,1-60304-S,3-34127-S,3-41297-S,7-69181-S,31-5051-S,32-26594-S,32-27468-S
the month childbirth is due	52-58365-B
the month during tang dynasty	38-9178-S
the mood for enjoyment	62-33324-S
the mood for playing	42-40549-S
the moon	12-66079-S,13-1091-S,18-44294-S,18-59475-S,18-59702-S,18-59702-S,18-61064-B,32-27109-S,32-27292-S,32-28370-B,32-28412-S,32-29004-S,32-29071-S,32-51979-S,35-42539-S,44-24034-S,44-25320-S,65-28203-S,66-10879-S,68-54076-S
the moon esp in daoism	17-60923-B
the moon full	15-22671-S
the moon goddess	32-26090-B
the moon reflected in the lake 成语 saw	64-58033-S
the moon s elliptic orbit	32-26838-S
the moon s orbit	32-27109-S
the moon s orbit furthest from earth	32-26838-S
the moon s orbit with the ecliptic in vedic astronomy sanskrit rahu	50-61116-S
the moon 成语 saw	40-41434-S
the more	25-27706-S,25-27770-S,45-2669-S,60-25465-S
the more knowledgeable	45-64721-B
the more the better	16-55464-B
the more the more	25-27706-B,60-25465-B
