hé jiān	37-21571-B
hòu hàn	24-425-B
hòu hàn shū	24-542-B
hòu hé	9-18085-S
hòu jiè kuǎn	14-3226-S
hòu jì	9-24117-S,24-1543-B
hòu jìn	23-68460-B
hòu jìn xiān chū	24-2448-B
hòu jī lóu	5-62626-B
hòu jī tīng	5-62555-B
hòu jīn	24-2637-B
hòu liáng	24-112-B,24-344-B
hòu liǎn pí	11-29874-B
hòu liǎng zhě	23-67238-B
hòu lái	23-66946-B
hòu lái jū shàng	23-66996-B
hòu lóng zhèn	24-3341-B
hòu lù	26-64201-S,43-49677-S
hòu lǐ	10-62653-S,11-29827-B
hòu lǐ xiāng	12-59867-B
hòu mian	24-2882-B
hòu mian bì yǒu yī gè fèng xiàn de nǚ rén	26-8394-S
hòu mén	24-2766-B,60-11548-S,65-34530-S
hòu mā	23-67976-B
hòu měi gǔ yíng lì	29-36167-S
hòu mǔ	24-301-B
hòu nián	23-68027-B
hòu niǎo	5-63182-B
hòu nuǎn huà	36-25487-S
hòu pà	23-68081-B
hòu pà hǔ	9-20196-S
hòu pào	29-53474-S,69-37273-S
hòu pái	23-68218-B
hòu quē	5-62696-B
hòu qí	20-10633-S,33-13091-S,40-36258-S,47-20102-S
hòu qín	23-67299-B,24-820-B
hòu qín bù	50-33029-S
hòu qín xué	23-67342-B
hòu qún	2-65048-S,12-38860-S,44-12834-S,52-38801-S
hòu qī	24-0-B
hòu qī shèng tú jiào huì	51-41109-S
hòu qī xiàn	32-20601-S
hòu qū	44-60245-S
hòu qǐ zhī xiù	24-1768-B
hòu rèn	5-62463-B
hòu rén	23-66810-B
hòu shì	23-66759-B
hòu shēng láo dòng shěng	11-29652-B
hòu shēng shěng	11-29751-B
hòu shēng wēn	7-39281-S
hòu shěn	5-62506-B
hòu shū	13-43601-S,22-24309-S,23-61084-S,28-39700-S
hòu suàn zhàng	47-14532-S
hòu sài	19-12021-S
hòu sài yīn	55-26436-S
hòu sì	23-67756-B
hòu tiān	23-67912-B
hòu tou	24-2949-B
hòu tuì	24-2380-B
hòu tuǐ	27-36398-S
hòu tái	24-1209-B
hòu táng	23-67679-B
hòu tōng dié	32-20809-S
hòu tǔ	44-60297-S
hòu wàng	11-29587-B
hòu wèi	24-1307-B,24-3121-B
hòu wén	9-20103-S
hòu wú lái zhě	9-21785-S
hòu wǎn cān	32-20409-S
hòu xiàn dài zhǔ yì	24-698-B
hòu xué	41-53046-S
hòu xué jiā	36-25417-S
hòu xuǎn	5-62950-B
hòu xuǎn rén	5-26596-B,5-62994-B
hòu xíng	1-34661-S
hòu xù de jiě shì guò chéng	24-952-B
hòu xī yóu jì	24-1413-B
hòu yàn	24-621-B
hòu yì	24-1370-B
hòu yú shēng	9-62724-S
hòu yā lì	9-35324-S
hòu yā lì wěn luàn	9-35415-S
hòu yīn	53-29707-S
hòu yǎn bì	23-68264-B
hòu yǎng bó zàng	11-29964-B
hòu yǔ	35-24872-S
hòu zhuàn	36-43826-S
hòu zhuàng kuàng	36-25558-S
hòu zhuì	24-897-B
hòu zhào	24-1891-B
hòu zhě	24-1122-B
hòu zhěn	5-62829-B
hòu zhī	24-1166-B
hòu zhī bù zú	19-18527-S
hòu zhōu	23-67602-B
hòu zhū gě liàng	3-30572-S
hòu zhǔ	33-2451-S
hòu zuò	4-28249-S
hòu zàng	55-20465-S
hòu zǒng	9-41362-S
hóng	3-44232-S,5-19818-S,8-56090-S,8-57164-S,11-69096-S,12-68927-B,13-34540-S,14-15675-S,18-9712-S,18-22043-S,18-25983-S,19-38515-B,20-24938-S,20-25497-S,20-26521-S,20-35638-S,20-68877-S,21-44110-S,22-20893-S,23-33218-B,23-56202-S,24-4102-S,24-25104-S,28-36152-S,31-54423-S,31-66826-S,32-15940-S,32-69269-S,33-19288-S,33-50499-S,34-3349-S,35-1610-S,36-30814-S,37-29120-B,37-35589-S,37-42334-S,37-60302-S,37-60818-B,38-9540-B,39-26955-S,39-37464-S,39-39224-S,39-54226-S,39-63457-S,40-26387-B,41-27266-S,42-13321-S,42-33437-S,44-32691-S,45-51244-S,47-59051-S,47-62513-B,48-47511-S,49-8237-B,49-18474-S,49-21225-B,51-17204-B,52-52384-S,53-59281-S,54-52939-B,55-16971-S,55-57009-B,59-11270-S,60-13424-S,62-1167-S,62-12017-S,63-32910-S,64-28342-S,64-35361-B,65-44743-B,65-62137-S,67-44118-S,68-6466-B,68-64591-S,69-64174-S,70-43219-S,70-55453-B,71-23446-S,71-24769-S,71-26455-B
hóng biàn yě	13-33136-S
hóng bìng dú	19-38737-B
hóng bān	49-9692-B
hóng bān xìng láng chuāng	49-9765-B
hóng bāng	38-64280-S,67-57169-S
hóng bāo	49-8543-B
hóng bǎo	37-61079-B,49-8880-B
hóng bǎo shí	49-9430-B
hóng bǐ	49-11893-B
hóng chá	49-12786-B
hóng cháng	49-12382-B
hóng chéng	49-10577-B
hóng chóu gōng sī	51-63368-S
hóng chóu gǔ	49-11934-B
hóng chāo jù xīng	49-13459-B
hóng chǎng	49-8951-B
hóng cù lì	49-13774-B
hóng dà	19-38684-B
hóng dà dù	20-24985-S,20-26612-S
hóng dà liàng	20-25074-S,20-26701-S
hóng dàn bái	56-28032-S,70-23177-S
hóng dào	56-49494-S
hóng dòu	49-13405-B
hóng dēng	49-11054-B,67-44169-S
hóng dēng jì	49-11163-B
hóng dēng qū	49-11099-B
hóng dū lā sī	37-62157-B
hóng dǎi zú jǐng pō zú zì zhì zhōu	24-25204-S
hóng fó	37-60984-B
hóng fú qí tiān	37-61943-B
hóng guān	19-38904-B
hóng guān diào kòng	19-39129-B
hóng guān jīng jì	19-39057-B
hóng guān shì jiè	19-38967-B
hóng gāo liáng	49-14036-B
hóng gōu	70-55688-B
hóng gǔ	70-56024-B
hóng gǔ suǐ	49-13959-B
hóng gǔ zhī zhì	41-29558-S
hóng huā	43-57240-S,49-12741-B,55-31380-S
hóng hái zhèng	49-9284-B
hóng hé	49-10787-B
hóng hé hā ní zú yí zú zì zhì zhōu	49-10849-B
hóng hú	37-61645-B
hóng hǎi	49-11012-B
hóng jiān	49-14095-B
hóng jiāng	37-61372-B
hóng jiǔ lǜ	41-25531-S
hóng jù xīng	49-9569-B
hóng jīn jūn	49-9631-B
hóng jūn	49-13539-B
hóng kǒu qū	55-57072-B
hóng liàng	37-60860-B
hóng liàng jí	37-60913-B
hóng lián	49-12883-B
hóng liú	37-61572-B
hóng liǎn	49-12426-B
hóng liǔ lǜ	53-59418-S
hóng luó bo	20-69004-S
hóng luó bó	49-12975-B
hóng là jiāo	49-13582-B
hóng là jiāo fěn	49-13648-B
hóng lào	37-61705-B
hóng lì	49-8398-B
hóng lì gǔ	44-33563-S
hóng lì gǔ piào	49-8446-B
hóng lín	49-11789-B
hóng lóu mèng	49-10343-B
hóng lǐng jīn	49-13886-B
hóng lǜ dēng	49-12231-B
hóng mào	20-68935-S
hóng máo	37-46577-S
hóng máo dàn	49-10688-B
hóng máo dān	49-10626-B
hóng méi sù	49-13829-B,49-14141-B
hóng mén yàn	70-55915-B
hóng mò shuǐ	49-9010-B
hóng mó	55-57384-B
hóng mǎ nǎo	49-11564-B
hóng niáng	49-9237-B
hóng niú pí cài	49-11432-B
hóng nán	49-64792-S
hóng nán lǜ nǚ	49-11618-B
hóng pái	49-11380-B
hóng qiáo	55-57185-B
hóng qiáo jī chǎng	55-57298-B
hóng qí	3-50719-S,19-38806-B,49-9954-B
hóng qí jí tuán	19-38844-B
hóng qù yàn	5-19900-S
hóng qī shù	49-10275-B
hóng qū	3-44318-S,49-10166-B
hóng rè	42-13364-S
hóng shuǐ	37-61324-B
hóng shì	57-21403-S
hóng shì chǎo dàn	57-21454-S
hóng shí	64-13604-S
hóng shí zì huì	49-8648-B,69-27813-S
hóng shù	49-10468-B
hóng shù lín	49-10523-B
hóng shān hú	49-11509-B
hóng shān qū	49-9480-B
hóng shāo	49-11238-B
hóng shāo ròu	49-11293-B
hóng shěng	42-31945-S
hóng shū	63-17715-S
hóng shǔ	49-12928-B
