dǎ bu guò	26-40554-B
dǎng shǐ	71-44255-B
dǎng sù lǜ	28-16261-S,28-16584-S
dǎng tuán	71-44525-B
dǎng tóng fá yì	71-44310-B
dǎng wèi	29-20230-B
dǎng wù	71-44047-B
dǎng wěi	71-44573-B
dǎng xiàng	71-45384-B
dǎng xiàng zú	71-45467-B
dǎng xiào	71-44844-B
dǎng xuān yán	7-72442-S
dǎng xuǎn jǔ	17-371-S
dǎng xìng	71-44623-B
dǎng yuán	7-72360-S,71-44467-B
dǎng yíng sī	49-45059-S
dǎng yǔ	71-45342-B
dǎng zhuān zhì	1-23959-S
dǎng zhèng	71-44703-B
dǎng zhì	7-48488-S,17-307-S
dǎng zhù	29-20292-B
dǎng zhāng	71-45108-B
dǎng zhōng yāng	71-43837-B
dǎng zhōng yāng wěi yuán huì	2-54416-S
dǎng zhōng yāng wěi yuán huì xuān chuán bù	2-54596-S
dǎng zhǔ xí	71-43909-B
dǎng zǔ	71-45213-B
dǎng àn chuán shū xié dìng	35-11535-B
dǎo	1-22555-S,1-72399-S,2-51586-S,2-51862-S,2-70435-S,2-82443-S,3-4649-S,3-64374-S,4-8820-S,4-32724-S,4-49870-S,5-54933-B,6-2278-S,6-35672-S,6-46172-S,7-3876-S,7-18693-S,7-19577-S,8-17637-S,8-66607-S,9-11027-S,9-41284-S,9-56056-S,9-56158-S,9-58798-S,9-60129-S,9-67572-S,10-3154-S,10-10918-S,10-30849-S,10-36612-S,10-48863-S,10-49057-S,10-57018-S,10-70449-S,11-55-S,11-412-S,11-1590-S,11-19185-S,11-19831-S,12-12608-S,12-20792-S,12-38707-S,12-41194-S,13-64929-S,14-39828-S,14-41069-S,14-59462-S,15-61983-S,16-7914-S,16-9920-S,16-11925-S,16-21110-S,16-32511-S,16-34011-B,16-40513-S,17-14818-S,17-26572-S,18-56018-S,19-13010-S,19-29447-S,19-33286-S,19-33467-S,19-40296-S,20-57790-S,20-57991-B,20-63632-S,21-6641-S,21-8174-S,21-30162-S,21-40357-B,21-42394-S,21-47891-B,21-47932-B,22-4237-S,22-8387-S,22-9899-S,22-15190-S,22-25386-S,22-65882-S,23-204-S,23-12215-S,23-28589-S,23-31993-S,24-15008-S,25-34522-S,25-34596-S,26-29467-S,26-35712-S,26-40906-S,27-21200-S,27-44849-S,27-58003-S,28-29881-S,28-30425-S,28-54924-B,28-63656-S,29-16319-S,29-19130-S,29-23822-S,29-25683-B,30-2335-S,30-32254-S,30-41106-S,31-29392-S,31-45360-S,31-46936-S,31-58288-S,32-50234-S,32-63150-S,33-27945-S,33-45761-S,34-239-S,34-6519-S,34-19365-S,34-31387-S,36-10222-S,36-21580-S,37-13919-S,37-14052-S,37-32978-S,37-38227-S,37-38269-S,38-4916-S,38-16439-S,38-18214-S,38-18666-S,39-8927-S,39-14409-S,39-19851-S,39-28479-S,39-62272-S,40-443-S,40-1797-S,40-9398-S,40-9522-S,40-20774-S,41-17804-S,41-18434-S,41-18485-S,41-37104-S,42-19172-S,42-34564-S,42-57362-S,43-5440-S,43-9482-S,43-20676-S,44-1787-S,44-8576-S,45-56148-S,46-30586-S,46-42408-S,46-52057-S,46-62766-S,47-1782-B,47-2851-S,47-9654-B,47-24755-S,47-32459-S,47-57313-S,48-2413-S,49-39456-S,49-63245-S,50-2357-S,50-19945-S,50-57816-S,51-6499-S,51-10803-S,51-21137-S,51-44791-S,51-49161-S,51-51843-S,52-23655-S,52-39726-S,52-54345-S,53-32816-S,53-33374-S,54-3153-S,54-17442-S,54-59944-S,55-42027-S,55-59737-S,56-31302-S,57-9073-S,57-13694-S,57-15264-S,57-19256-S,57-22722-S,58-24036-S,58-30264-S,58-49429-S,58-49706-S,59-36470-S,60-20196-S,60-34099-S,60-34251-S,60-40654-S,60-40909-S,60-49654-B,61-8995-S,61-22827-S,61-51021-S,61-60517-S,63-5170-S,64-16961-S,64-19797-S,65-13813-S,65-28138-S,65-33682-S,65-37368-S,65-37530-S,65-54794-S,66-2815-S,66-6135-S,66-6383-S,66-9774-S,66-45246-S,67-9597-S,67-22897-S,67-29645-S,67-43339-S,67-54926-S,68-23325-S,68-33965-S,68-45593-S,69-27171-S,69-32220-S,69-37437-S,69-40005-S,69-40542-S,69-40793-S,69-43587-S,69-46457-S,71-8195-S,71-18556-S,71-18643-S,71-31920-S,71-36546-S
dǎo bài	5-57799-B
dǎo bì	5-58124-B,5-61933-B
dǎo bān	5-59242-B
dǎo bǎ	5-57158-B,27-2399-S
dǎo chá	5-60465-B
dǎo chē	5-61452-B
dǎo chū	20-58146-B
dǎo chū zhí	20-58249-B
dǎo cáo	5-58683-B
dǎo céng	68-34090-S
dǎo cí	47-9912-B
dǎo cāng	5-55410-B
dǎo diàn	20-60072-B,60-20272-S
dǎo diàn shì tái	10-57353-S
dǎo diàn tǐ	60-20427-S
dǎo diàn xìng	20-60129-B,60-20343-S
dǎo duò	66-45313-S
dǎo dà xué	65-54853-S
dǎo dàn	5-60516-B,11-47388-S,11-47494-S,11-47906-S,11-52932-S,15-40310-S,20-58602-B,21-51624-S,23-50315-S,26-20228-S,28-55333-B,47-46334-S,47-46421-S,66-33007-S
dǎo dàn guǐ	28-55402-B
dǎo dàn hé qián tǐng	20-58673-B
dǎo dàn qián tǐng	20-58933-B
dǎo dàn wǔ qì jì shù kòng zhì zhì dù	20-58774-B
dǎo dǎo dàn	11-47388-S
dǎo er	26-55184-S
dǎo fèng	68-47036-S
dǎo fù	55-59876-S
dǎo fú	5-55241-B
dǎo fēn miǎn	58-24136-S
dǎo gu	28-55764-B
dǎo guò lái	68-45696-S
dǎo guó	21-40386-B
dǎo guó jì xué xiào	10-57237-S
dǎo guǎn	20-59353-B
dǎo guǎn zǔ zhī	20-59417-B
dǎo guǐ	28-55698-B
dǎo gài bù	21-40473-B
dǎo gào	6-15573-S,47-9701-B
dǎo gē	5-56821-B
dǎo gē xiè jiǎ	5-56887-B
dǎo huàn	5-57661-B
dǎo huǐ	28-55238-B
dǎo huǒ	60-15458-S
dǎo huǒ suǒ	20-59181-B
dǎo huǒ xiàn	20-59248-B
dǎo hán shù	20-58343-B
dǎo háng	20-59707-B
dǎo háng xì tǒng	7-39609-S
dǎo háng yuán	20-59752-B
dǎo hé dōng fāng háng hǎi	10-57103-S
dǎo hé nán sāng wēi qí	10-68590-S
dǎo hú	10-49000-S,51-10865-S
dǎo hú sūn sàn	34-60376-S
dǎo hēi bái	68-45759-S
dǎo hǎi	28-16053-S,51-22061-S
dǎo hǎi fān jiāng	5-58848-B
dǎo jiào	5-55692-B
dǎo jiào shòu	27-58195-S
dǎo jiáo	5-55748-B
dǎo jì shí	5-61008-B
dǎo jǔ	24-17586-S
dǎo kè	27-58382-S
dǎo liè dǎo	10-48863-S
dǎo luàn	28-54982-B
dǎo lùn	20-59884-B
dǎo lún	20-59930-B
dǎo mài	5-61061-S,5-61307-B,28-55523-B
dǎo méi	5-62067-B
dǎo mín zú	10-70495-S
dǎo mǎi dǎo mài	5-61061-B
dǎo niàn	47-9749-B
dǎo niào	20-58434-B
dǎo nòng	5-56009-B,28-55170-B
dǎo pí jiǔ	67-54980-S
dǎo qiè	6-48547-S
dǎo quán	68-34180-S
dǎo qù	68-46118-S
dǎo qún dǎo	10-49057-S
dǎo qū	71-18732-S
dǎo rén	4-35073-S,61-9071-S,68-34038-S
dǎo rì bào	31-29434-S
dǎo rù	20-58063-B
dǎo shàn qū	23-28663-S
dǎo shì	47-24844-S,54-60076-S,67-55062-S
dǎo shí	28-55091-B
dǎo shù	20-59017-B
dǎo shī	20-58492-B,61-68194-S
dǎo shǒu	5-56958-B
dǎo suì	28-55294-B
dǎo sì	68-45507-S
dǎo sù	52-23696-S
dǎo teng	5-62129-B,28-55637-B
dǎo tái	5-60303-B
dǎo téng	28-55578-B
dǎo tì	5-58405-B
dǎo tā	5-55863-B
dǎo tān	5-55804-B
dǎo tǐ	10-56635-S,20-60196-B,60-20498-S,67-29702-S
dǎo tǐ tàn cè qì	10-56692-S
dǎo wèi	5-55367-B
dǎo wèi kǒu	5-59875-B
dǎo wén	3-6837-S,47-9812-B
dǎo wò	5-60246-B
dǎo wēng	1-68753-S
dǎo xià	5-55181-B
dǎo xiàn	20-59488-B,47-3837-S,65-13899-S
dǎo xiào yìng	41-18566-S
dǎo xiān wéi	7-8420-S
dǎo xiāng	49-64952-S
dǎo xiū	5-55316-B
dǎo xiǎo zǔ	60-64257-S
dǎo xué yuàn	10-27479-S
dǎo xìng	3-4700-S
dǎo xī wāi	33-15065-S
dǎo yuán	27-58100-S,61-9120-S
dǎo yán	20-59829-B
dǎo yè guǎn	20-59061-B
dǎo yé	5-59148-B
dǎo yóu	20-59993-B
dǎo yùn	5-61723-B
dǎo yī	28-55460-B
dǎo yǎn	20-59121-B,67-30034-S
dǎo yǐn	20-58556-B
dǎo yǔ	21-40433-B
dǎo zhàn yì	2-82502-S
dǎo zhàng	5-61375-B
dǎo zhì	20-59538-B
dǎo zhì sǐ wáng	20-59616-B
dǎo zhí wù	57-64173-S
dǎo zhù	47-9871-B
dǎo zhě	6-2400-S,27-58279-S
dǎo zhōu	50-57872-S
dǎo zào	5-59075-B
dǎo · kuí	26-32488-S
dǐ	4-47461-S,4-50019-S,5-25366-S,5-36937-S,6-28714-S,9-5303-S,9-9555-S,9-48506-S,11-38058-S,13-10542-B,15-33852-S,15-54347-B,15-68292-S,18-51839-S,19-43272-S,20-29057-S,20-33098-S,20-45227-S,22-4674-S,22-21500-S,22-48574-S,22-54436-S,22-59972-B,22-63342-S,23-34065-B,24-29533-S,24-32034-S,26-43750-S,27-14313-B,29-41279-S,32-63408-S,33-45292-B,34-52804-S,35-54441-S,36-17922-B,36-40749-S,37-50507-S,37-59877-S,38-19119-S,40-50452-S,41-55525-B,42-46933-S,45-11228-S,45-48950-S,46-15444-B,52-54571-S,54-31025-B,55-39556-S,56-23564-S,57-44946-S,57-47031-B,57-62924-S,58-6094-B,58-12152-S,58-49307-S,58-52898-S,61-24211-S,61-58233-S,61-58605-S,63-20390-B,63-48784-S,64-37144-S,67-47053-S,68-6807-S,68-19365-S,70-3525-B
dǐ 5r	10-18121-S,16-24146-S,57-62985-S,61-58694-S
dǐ bàn dǎo	58-49429-S
dǐ bù	22-61115-B
dǐ bǎn	22-60745-B,41-8413-S
dǐ bǐ sī	22-60563-B
dǐ chù	27-15185-B,41-55561-B
dǐ céng	22-60257-B
dǐ diào chá	32-63521-S
dǐ dá	27-15436-B
dǐ dì qiào	37-50572-S
dǐ dì qū	18-51908-S
dǐ dòng	40-50586-S
dǐ dòng mài	15-68330-S
dǐ dǎng	27-14886-B
dǐ fú shè	32-63601-S
dǐ guō	22-40214-S
dǐ gé lǐ sī	22-60405-B
dǐ gé lǐ sī hé	22-60479-B
dǐ gǎi	32-59774-S
dǐ gǔ	70-3604-B
dǐ huá	27-15091-B
dǐ huǐ	58-6133-B
dǐ hé	22-54514-S
dǐ hé gǔ	22-54592-S
dǐ jiè	22-60847-B
dǐ jiāng	4-50230-S
dǐ jì shù	32-63451-S
dǐ kuò zhāng	38-19187-S
dǐ kuò zhāng shuō	38-19270-S
dǐ kuā kè	22-60141-B
dǐ kàng	2-26023-S,27-14560-B
dǐ kàng lì	27-14614-B
dǐ kàng zhǔ yì	2-11915-S
dǐ kēng	40-50494-S
dǐ lún	38-19375-S
dǐ lǐ	35-24974-S
dǐ piàn	22-60684-B
dǐ pán	22-60894-B
dǐ pǔ sī	5-32120-S
dǐ pǔ sī qíng jié	5-32178-S
dǐ qī yǒu kǒng chóng	22-60301-B
dǐ rén	58-49359-S
dǐ shén jīng jié sūn sǔn shāng	15-68429-S
dǐ shì	18-51999-S
dǐ sān jiǎo zhōu	4-50102-S
dǐ sī shān	21-35356-S
dǐ tè lǜ	22-60798-B
dǐ wén	4-66051-S
dǐ xia	22-60076-B,45-49024-S
dǐ xià	48-14946-S
dǐ xiàng jī	36-40884-S
dǐ xiāo	27-14975-B
dǐ xiě zì bǎn	36-40793-S
dǐ xì bāo ái	15-68552-S
dǐ xī sī hǎi	22-61153-B
dǐ yà shū	5-32043-S
dǐ yù	27-15037-B
dǐ yùn	22-61047-B
dǐ yā	27-14677-B
dǐ yā dài kuǎn	27-14818-B
dǐ yā pǐn	27-14717-B
dǐ zhài	4-39102-S,27-14417-B
dǐ zhàng	27-15243-B
dǐ zhì	27-14486-B
dǐ zhī	22-60611-B
dǐ zhī wā	3-56522-S
dǐ zi	22-60204-B
dǐ zuò	53-38091-S
dǐ zú ér mián	27-15313-B
dǐng	2-75003-S,6-25065-S,10-49432-S,13-63360-S,15-23291-S,15-25229-S,17-20161-S,17-54873-S,19-48857-S,20-34465-S,20-52279-S,21-6747-S,21-20624-S,21-33505-S,22-46549-S,26-27521-S,27-35147-S,27-49243-S,30-64663-S,33-42986-S,38-37465-S,44-49515-S,47-6140-S,47-11139-S,47-44901-S,54-7368-S,56-13711-S,58-57844-S,63-36639-B,63-47720-S,68-19696-B,68-40304-S,71-46505-B,71-47579-S,71-55166-S
dǐng bàn biān tiān	18-54645-S
dǐng chēng yù shí	71-47254-B
dǐng céng	68-20284-B
dǐng cōng ming	49-47813-S
dǐng diǎn	68-21041-B
dǐng duān	68-20641-B
dǐng duō	68-19974-B
dǐng dǐng	17-20161-S,71-47579-B
dǐng fèi	71-46914-B
dǐng fēng	68-20351-B,68-20879-B
dǐng guā guā	68-19900-B
dǐng gé	71-47457-B
dǐng gǔ	68-20975-B
dǐng hè	3-3379-S
dǐng hé	35-5961-S
dǐng jià	68-20490-B
dǐng jiān	68-20086-B
dǐng jiān jí	68-20212-B
dǐng jiǎo	20-57494-S
dǐng jí	68-20688-B
dǐng kuā kè	68-20024-B
dǐng liáng zhù	68-20530-B
dǐng lì	71-46535-B
dǐng lún	68-20778-B
dǐng qīng zhòng	13-63687-S
dǐng shèng	31-35134-S,71-46974-B
dǐng shì	68-19789-B
dǐng shí	65-667-S,71-47528-B
dǐng shān	22-46594-S
dǐng shān shì	22-46685-S
dǐng tì	8-10853-S,68-20446-B
dǐng tì zhě	8-11004-S
dǐng wén	65-804-S
dǐng xiāng	21-40958-S
dǐng xīn	71-46799-B
dǐng yè	68-20731-B
dǐng yí shì	20-34612-S
dǐng yòng	68-20593-B
dǐng zhuàng	68-20398-B
dǐng zhì	71-46712-B
dǐng zhù	68-19838-B,71-46618-B
dǐng zhēn	68-20836-B
dǐng zhōng yuán	13-63511-S
dǐng zú	71-46845-B,71-47047-B
dǐng zú zhī shì	71-47141-B
dǒng	2-10720-S,2-10783-S,12-5077-S,25-57946-B,31-27914-S,52-278-S,54-59022-B,62-7072-S,67-12308-S,70-2044-S
dǒng bì wǔ	54-59553-B
dǒng de	19-36828-S,25-58057-B
dǒng dù	12-13616-S
dǒng fèng	54-59402-B
dǒng háng	25-58125-B
dǒng jiàn huá	54-59447-B
dǒng shì	25-57991-B,54-59087-B
dǒng shì huì	54-59134-B
dǒng shì zhǎng	54-59198-B
dǒng zhuó	54-59350-B
dǒng zhuāng dǒng	2-10783-S
dǒng zhòng shū	54-59276-B
dǒu	7-60213-S,10-31706-S,12-43183-S,14-40035-S,27-3747-B,27-17063-S,27-36796-S,30-33642-B,30-35308-S,30-37562-S,31-29604-S,33-32343-B,34-59904-S,36-30046-S,37-46398-S,37-46988-S,39-44273-S,41-17310-S,42-63190-S,44-29344-S,47-19397-S,48-3950-S,48-19639-S,51-22544-S,55-58648-B,56-6809-S,66-20007-B,68-49752-S
dǒu bù	10-22357-S,33-57755-S
dǒu dòng	27-3787-B
dǒu jiǔ	12-8735-S
dǒu jiǔ zhī jī	30-34152-B
dǒu liù	30-33745-B
dǒu mén	30-34303-B
dǒu nán zhèn	30-33806-B
dǒu péng	30-34105-B,65-61415-S
dǒu qiào	66-20035-B
dǒu qī xīng	10-31761-S
dǒu rán	66-20081-B
dǒu shāo zhī rén	30-34012-B
dǒu suō	27-3936-B
dǒu sǒu	27-3832-B,48-55736-S
dǒu xīng	10-31849-S
dǒu zhèn	10-31918-S
dǔ	11-23127-S,12-26900-S,16-13722-B,16-21636-S,25-46843-S,26-48937-S,32-36896-S,32-37334-S,45-18367-S,45-57257-B,48-33269-B,51-55779-S,52-8629-B,57-37547-B,58-29644-S,59-62116-B,65-69928-S,70-37792-S
dǔ bìng	48-34072-B
dǔ bó	59-62148-B
dǔ chē	16-13933-B
dǔ chǎng	59-62189-B
dǔ dìng	48-33679-B
dǔ fù	52-8977-B
dǔ hòu	48-33481-B
dǔ qū	1-27332-S
dǔ shí	48-33767-B
dǔ shí liù shì	32-65746-S
dǔ shǒu	48-33604-B
dǔ sè	3-72411-S,16-13816-B
dǔ sè fèi	16-13873-B
dǔ tú	59-62230-B
dǔ wèi kuài	7-5151-S
dǔ wù	65-69969-S
dǔ wō	59-62329-B
dǔ xué	48-33545-B
dǔ xìn	48-33321-B
dǔ xìn hào xué	48-33393-B
dǔ xíng	48-34128-B
dǔ zhuān	48-33819-B
dǔ zhì	48-33878-B,48-34008-B
dǔ zhù	16-13772-B,59-62271-B
dǔ zhī guài xiàn zhuàng	3-34813-S
dǔ ài	48-33948-B
dǔn	26-47136-S,45-32614-B,60-52795-B
dǔn 5r	26-47209-S,26-49387-S
dǔn chuán	60-52921-B
dǔn mài	60-52978-B
dǔn pī	60-52879-B
dǔn shòu	60-52827-B
