malaysian peninsula and singapore	33-44038-S
malnutrition	41-32530-B,49-9284-S,54-30065-S
malo	51-52640-S
malong place in yunnan	69-44679-S
malpractice	23-24736-B,23-24815-B,38-3294-B,42-39437-B,66-16464-B
malt	71-12656-B
malt milk extract	71-11162-B
malt sugar	69-18626-B
malt sugar candy	48-61145-B
malta	43-11487-S,69-39357-B,69-41030-B
maltose sweet syrup	71-12693-B
maltreat as prisoners	44-17558-B
maltreatment	11-62281-S
malus asiatica	53-59281-S
malus spectabilis	38-20440-S
malus toringo	34-8683-B
malva sylvestris	53-50073-B
malvinas islands also known as falkland islands	69-40005-B
malware	25-21245-B
malware boobytrap	66-49291-S
mama	18-57436-B
mamma	18-57360-B,18-61934-B
mammal	13-48242-B,56-50152-S
mammal group including mongoose and civet	67-53068-S,67-53178-S
mammalia	13-48302-B
mammals	9-23313-S,13-48354-B,13-48443-B,44-28868-S,44-28948-S,52-24971-S,60-38156-S,68-41052-S
mammals producing progesterone	71-25014-S
mammary areola	3-22218-B
mammary gland	3-23333-B
mammoth	42-15680-B
man	2-83535-S,3-35967-S,4-5355-B,4-5939-S,4-8023-S,4-59003-S,6-45492-S,6-55303-S,9-45526-S,10-8603-S,12-21077-S,13-52535-S,14-21972-S,15-32808-S,17-7489-S,17-12755-S,17-12755-S,17-27250-S,17-62778-B,18-29471-S,18-59434-S,19-33-S,20-6595-S,21-224-S,21-13184-S,21-23328-S,21-63242-S,23-53366-S,25-13478-S,25-19037-S,26-9529-S,27-51112-S,29-21005-S,32-3123-S,32-57403-S,34-46253-S,35-46264-S,36-60008-S,40-55615-S,42-15475-S,43-23244-S,43-44925-S,43-45376-S,44-9552-S,46-57751-S,51-209-S,51-12393-S,51-25052-S,51-25207-S,51-26066-S,51-28939-S,51-51626-S,52-46353-S,59-32745-S,67-4569-S,67-14013-S
man a post and defend	69-48070-B
man achieves the dao	1-1662-S
man and beautiful woman	43-46166-S
man and wife	12-47769-S,17-62858-B,63-37495-S
man and wife fall out 成语 saw	17-62902-B
man and woman	25-34802-S,44-36211-S
man by his looks	4-5395-S
man can conquer nature 成语 saw	4-8138-B
man cannot be benevolent 成语	40-32129-S
man cannot be rich 成语	40-32311-S
man cantonese	5-10729-B
man disguised as a woman	43-46282-B
man eating beast	69-1726-B
man eating shark	69-1819-B
man gets a government position	67-7583-S
man has a dedicated woman behind him	26-8394-S
man has the courage to accept the consequences of his actions	30-6343-S
man hour	21-55433-B
man i e manly	43-45545-B
man jiang hong chinese poems	39-39224-B
man kam to place in hong kong	30-31377-B
man lost his mare	16-20852-S,16-20933-S
man made	4-14066-B,4-16900-B
man made disasters 成语 saw	17-50130-S
man made waterway	4-9045-B
man makes a profit	3-495-S
man moves mountains traditional folk tale	25-31263-S
man of letters	30-27326-B
man of qii fears the sky falling 成语 saw	33-10940-S
man of sixty or seventy	51-34701-B
man of the moment 成语 saw	68-58730-S
man of war	8-2373-B
man often impolite	51-31549-S
man or god worshipped by a religious sect	30-1093-S
man or woman	41-40268-S
man out in baseball	8-38622-S
man referring to himself	51-28939-S
man s family in marriage	43-45888-B
man s ginseng codonopsis pilosula	71-44126-S
man s headband arch 	22-32812-B
man s name	23-4495-S
man s staff	33-51592-S
man s world	4-17697-B
man saw	27-26206-S
man sb who agrees with anything	18-27661-S
man sinanthropus pekinesis	10-25495-S
man struggles upwards	36-41067-S
man submits to circumstances	58-62673-S
man usually derog 	20-68082-S
man will cry out against injustice	2-7425-B
man with extensive experience	4-15449-B
man woman connection	43-45235-B
man 成语 saw the trend of events brings forth the hero	31-39692-S
manacle	64-32672-B
manacles	26-36638-B,34-12997-B
manacles and leg irons	64-59257-B
manage	3-4649-S,22-36558-S,22-52002-S,23-23323-S,27-55862-B,29-20338-S,29-21417-S,30-35196-S,37-24078-S,37-24766-S,41-30716-S,42-53278-S,43-64373-B,48-6114-S,48-25144-S,48-26535-S,61-34549-S,62-43541-S,69-44741-B,70-51070-S
manage a business	49-61676-S
manage by painstaking effort 成语 saw	25-47723-S
manage every detail regardless of its importance	1-9428-S
manage household affairs	43-67032-B
manage one s household	48-25925-B
manage to sell	8-44147-S
management	4-5793-S,5-44666-S,10-6064-S,41-53665-S,42-56823-S,43-38377-S,47-18107-S,47-63119-S,48-26535-B,50-6546-S,50-6781-S,50-8119-S,50-14533-S,51-62031-S,59-61153-S
management agency	51-64039-S
management area	33-33816-S
management as a study	4-46639-S
management function	48-26778-B
management information base	48-26682-B
management interface	32-62450-S,48-26985-B,50-6695-S,52-58218-S
management protocol	48-36803-S
management science	42-56884-S
management station	48-27061-B
management studies	48-26922-B
management system	50-8284-S
manager	9-33200-S,10-64686-S,10-64867-S,13-9193-S,43-31570-S,48-26855-B,49-61272-B,49-61426-B,49-61676-B,49-61747-B,50-6610-S,50-35145-S,50-36030-S
manager windows	47-29623-S
managing	10-64686-S,22-36150-S
managing e g traffic police or crowd control	10-64761-S
manama capital city of bahrain	71-12453-B
manama capital of bahrain	69-40724-B
manas river in xinjiang	43-1807-B
manasi place in xinjiang	43-1735-S
manasseh	3-57853-S
manasseh son of hezekiah	43-1152-B
manatee	38-22352-B
manaus city in brazil	69-40381-B
mancheng place in hebei	39-36800-S
manchester	32-14058-B,32-14384-B,32-14622-B
manchester city football team	32-14430-B
manchester encoding	32-14686-B
manchester united football club	32-14781-B
manchester united football team	32-14847-B
manchou village in taiwan	39-38042-S
manchu	39-35477-S,69-56711-S
manchu autonomous county in benxi 本溪 本溪	32-65265-S,32-65405-S,34-7355-S,34-7499-S
manchu autonomous county in fushun 撫順 抚顺	30-56738-S,38-59244-S
manchu autonomous county in liaoning	20-26836-S,20-26971-S,20-27106-S
manchu golden clan	25-35539-S
manchu khanate or kingdom that took over as qing dynasty in 1644	24-2637-B
manchu khanate or kingdom that took over as the qing dynasty in 1644	64-8410-S
manchu people	39-38901-B
manchu soldiers	38-58976-B
manchu surname of the qing emperors	25-35539-S
manchu yellow rock	60-7959-S
manchukuo	39-39346-B
manchuria	3-17360-S,33-49592-S,39-39302-B
manchurian	31-2669-B,39-35164-B
manchurian autonomous county in hebei	20-24655-S,59-20376-S,59-20512-S
manchurian autonomous county in siping 四平	4-51531-S,4-51690-S,4-52001-S
manchurian autonomous county 伊通滿族自治縣 伊通满族自治县	4-51830-S,4-52099-S
manchurian catalpa	34-36691-S
manchurian chinese relations	39-39868-B
manchurian foot soldier	31-2560-B
manchurian language	39-41044-B
manchurian national	31-3363-B
manchurian officer	31-3150-B
manchurian official	31-2838-B
manchurian qing government	39-39562-B
manchurian qing refers to the qing dynasty	39-39484-B
manchurian railway incident of 18th july 1931 九一八事變 九一八事变	27-5334-S
manchurian railway incident of 18th september 1931 used by the japanese as a pretext to annex manchuria	3-17360-S,33-49592-S
manchurian ruling class	31-2477-S
manchurian soldier	31-2744-B
mandal city in agder	32-15168-B
mandalay	32-14506-B
mandalay 曼德勒	43-10656-S
mandarin	15-13059-S,19-42815-B,59-39095-S
mandarin common language	31-52037-B
mandarin duck	70-54319-B,70-54988-B,71-2033-S
mandarin ducks	70-54356-B
mandarin ducks and butterfly i e love birds	70-54425-B
mandarin ducks and butterfly i e love birds literary school around 1900	70-54593-B
mandarin fish	70-47882-B
mandarin orange citrus reticulata	33-42508-B
mandarin who conspires against the state	18-24874-S
mandate of heaven	17-44986-B,26-62489-S
mandate of heaven traditional english translation	11-60608-S
mandela 1918 	32-14557-S
mandible	1-64463-B,1-64615-B,68-35595-S
mandible lower jaw	1-64676-B,21-2287-B
mandolin	37-51526-B
mane	66-62052-S,69-53950-S,69-54157-S,70-24559-B,70-25209-B,70-25509-S,70-27855-S,70-28535-B
mane e g of lion	70-25554-B
manes 3rd century ad	29-614-B
maneuver	21-60763-B,26-62935-S,33-59052-S,43-52896-S,62-31596-S,62-32566-S
maneuver troops etc	58-36118-S
maneuvering room	61-53184-B
mang	63-15044-S
mang 45 bc 23 ad	42-36644-S
mang at luoyang in henan	10-35590-S,63-14930-S,63-14981-S
mang 王莽	30-49864-S
mang 邙山 at luoyang in henan	10-30705-S
manga	39-52963-S
mangaka	39-53030-S
manganese iv oxide	3-38296-B
manganese mn	64-49024-B
manganese nodule	64-49110-B
manganese ore	64-49060-B
mange	44-5273-B
manger	34-46980-B,69-2502-B
mangkang place in tibet	53-49799-S
mangle	29-9424-B
mango	35-14790-B,53-49864-B
mango juice	53-49904-B
mangostanus	54-23645-S,55-15384-S
mangosteen	21-31922-B
mangrove	33-54969-B,49-10468-B,49-10523-B
mangya area in qinghai	54-9352-S
mangzhong or grain in beard	53-49961-B
manh	61-40614-S
manh secretary general of the vietnamese communist party from 2001	61-42863-S
manhattan	13-39772-S
manhattan borough of new york city	32-14161-B,32-14289-B
manhattan island	32-14161-B,32-14289-B
manhunt	28-56184-S
mani god	43-924-B
mani padma hum sanskrit	13-56214-S,13-56314-S
mania	60-52537-B
maniac	35-66693-S,53-45376-S,53-46084-S
manic	60-52411-B
manic depression	60-52452-B
manic episode	60-52537-B
manicheanism	29-668-B,37-39068-S
manicheism	31-23951-B
manifest	23-58052-B,23-58314-B,23-58703-S,31-1972-S,31-26273-B,31-37075-B,56-45431-B
manifest der kommunistischen partei by marx and engels 1848	7-72442-B
manifestation	56-45431-B
manifestation of passion	36-7520-B
manifesting one s inner quality	24-36977-S
manifesto	1-2375-S,19-55422-B
manifesto of the communist party	7-72442-B
manifold	4-31997-S,10-49646-B,16-59193-B,16-61038-B,38-5812-S
manifold diversity	10-49194-B
manifold math 	38-3357-B
manila	69-36142-S
manila capital of philippines	69-36069-B
manipulate	29-20540-S,29-21469-S,29-29753-B
manipulate a puppet	42-131-S
manipulator	58-50561-S
manipura	52-53122-S
manipūra or manipura	52-53122-B
manis pentadactylata	46-11091-S,47-51302-S,70-45056-S,70-45137-S
manitoba province	69-35999-B
manjushri	30-29215-B,30-29258-B,30-29342-B
mankind	4-18357-B,25-9626-S
manly	43-45487-B,43-45545-S
manned	7-34811-S,61-6892-B
manned rocket series divine boat	46-61261-S
manner	1-68625-S,8-22818-S,14-12480-S,14-43916-S,18-45157-S,22-41826-S,24-50992-S,25-22101-S,25-45956-B,27-41617-B,30-31047-S,30-62649-B,34-59260-B,34-59369-B,35-24257-S,36-26573-B,36-26573-S,36-28238-S,36-28865-B,38-814-B,38-1515-B,38-1561-S,46-57637-B,46-58356-B,53-27307-B,53-27385-B,53-36638-B,55-17811-S,57-26228-B,68-45071-S,68-53274-B,68-56703-B,68-57339-B,68-57782-S
manner of crimes	40-53106-S
manner of dancing	60-54195-B
manner of dressing	26-44346-B
manner of evil	40-53009-S
manner of speaking	24-65662-S,58-25907-B
manner of speech	11-70234-B,57-56285-B
manner of walking	60-50484-B
mannered	22-44007-S,37-9077-S
mannerism	51-18674-B,63-29655-S
manners	17-66625-S,29-8933-S,37-8569-S,47-9208-B
manners belying hypocritical intentions	48-4982-S
manners in talking with sb	58-9046-B,61-36402-B
manners of speaking	67-5861-S
mannitol	43-15401-B
manor	54-21047-B,54-21368-S
manor house	21-32636-B
manpower	4-6453-B,4-8674-B,4-9802-B,10-4852-B,10-50654-S
manpower or tourism	59-52377-S
manpower resources for military service	8-1868-B
manservant	23-6504-B
mansion	7-65988-B,17-17112-B,22-62727-B,42-34735-S,51-9234-S
mansion house	22-63148-B,22-63342-B
mansion on the verge of collapse 成语 saw	17-17175-S
mansions	70-16505-S
mansions first completed edition 1791 by cao xueqin 曹雪芹	49-10343-S
mansions of north sky	42-27749-S
mansions 成语 saw	20-8739-S
manslaughter	58-30455-B
mansur	32-15046-S
mansur 712 775	32-15046-S
mantis	56-5401-S,56-9883-B,56-13324-S,56-13362-B,56-13362-S,56-13505-S,56-18637-S,56-19315-B
mantis chinese martial art	10-33633-S
mantis egg nest	56-1335-B
mantis martial art	11-683-S
mantis stalks the cicada	56-13419-S
mantle	30-34105-B
mantle geology	36-2198-S
mantle of the earth geology	15-40553-S
manual	26-31881-B,26-31921-B,26-32562-B,58-32304-S
manual gear change	26-31921-B,26-32000-B
manual gearbox	26-32078-B
manual labor	22-52555-B,22-52624-B
manual labor for a living	26-43465-S
manual labor only	10-55258-S
manual therapy	28-30890-S
manual transmission	26-32078-B
manual work	4-8674-B,6-14948-B
manually controlled	4-9845-B
manually operated	26-31921-B
manubrium of malleus handle of hammer bone	64-43715-B
manuel barroso eu commission president	22-9064-S
manufacture	9-10752-S,27-21311-B,43-26523-B,46-14734-S,57-3707-B,57-3741-B,57-4046-S,57-4320-S,62-17584-S
manufacture bakelite	63-41615-S,63-41713-S
manufacture by weaving	50-40327-S
manufacture counterfeit goods	57-3844-S
manufacture in bulk	17-37337-S
manufacture medicine	9-11775-B
manufacture of	45-10003-S
manufactured	15-32561-S
manufactured goods	9-11306-B,10-57681-S,21-55822-B
manufacturer	43-26605-B,57-4518-B
manufacturing	26-10305-B,28-9257-S,38-5163-S,63-58187-B
manufacturing ability	43-27143-B
manufacturing cim	57-60398-S
manufacturing company	57-4376-B
manufacturing environment	46-14793-B
manufacturing equipment	43-27322-B
manufacturing factory	57-4223-S
manufacturing industry	9-12030-B
manufacturing location	43-31386-B,43-31642-B
manufacturing plant	57-4444-B
manufacturing process	41-26272-S,43-27581-B,58-13413-S
manufacturing program	33-59140-S
manure	5-59714-S,43-53825-S,48-62322-B,48-62469-B,52-11446-B,54-28535-S
manure etc	43-53125-B
manuscript	26-35005-B,26-47716-S,27-40426-S,29-16125-S,29-44971-S,30-30090-B,47-36416-B,47-36558-B,54-13738-B,58-14438-S,63-3501-S
manuscript humble expr 	27-39702-S,27-40143-S
manuscript of a book	32-11808-B
manuscript paper with squares for chinese characters	30-63088-S
manuscript to the press	4-27502-S
many	2-20939-S,8-28908-S,10-50179-B,16-53014-B,16-53313-B,16-56133-S,17-3754-B,17-12934-B,18-27341-B,20-11691-S,22-55842-S,22-56877-S,23-65720-S,32-7099-S,37-12561-B,38-10297-S,40-8020-B,40-8194-B,40-41744-B,47-31812-B,49-54206-S,50-36901-B,50-38528-B,58-3388-B,58-47358-B,58-47817-S,62-44304-S,67-64689-S
many a mickle makes a muckle	21-3986-B,47-39128-B,66-59151-B
many and complicated	50-37846-B
many and dissorderly	41-10426-B
many and elaborate	50-37969-B
many and varied	16-61038-B,50-37015-B
many as	1-65638-S,21-8874-S
many aspects	15-34811-S,16-58302-S
many books	36-56606-S
many buildings	17-38637-S
many changes	69-8131-S
many chinese cities established under unequal treaties from 1860	47-22726-S
many chinese residents	30-47147-S
many chinese states up to the han	17-57006-S
many colored warp	49-62468-S
many common molds	71-13276-S
many cooks spoil the broth	4-13833-S
many correspondence	1-5602-S
many countries	15-8886-S
many countries 成语 saw	13-14488-S
many different kinds	50-37015-S
many different kinds of	58-48550-B
many different types	12-29866-B
many excuses to delay working	25-63967-S
many families living together	17-39749-S
many fishing birds	70-39097-S
many fleas	56-8287-B
many fold 成语 saw	1-13726-S
many generations of ancestors	47-39866-B
many good things to see	45-15431-S
many guests come and go	21-26320-S
many hairs make a fur coat 成语 saw	66-59151-B
many human pathogens	24-18850-S
many internet users	4-15855-S
many kinds	30-23992-B
many kinds of	16-60965-B
many kinds 成语 saw	12-57366-S
many kingdoms or dynasties with varying roles	2-45332-S
many language	16-63547-B
many little things add up to sth great 成语 saw	21-3986-B,47-39128-B
many men	4-7782-B
many monks	48-51328-S
many names of buddha	5-5039-S
many of them in different town	35-43849-S
many offspring	16-62741-S
many others	44-55966-S
many parallel universes	16-53903-S
many people	17-13078-B
many people eating	14-26539-S
many people or households	44-52561-B
many points of view	10-49646-S
many possible interpretations	43-18976-S
many postures	16-55600-B
many pre qin scripts	17-30240-S
many quotations	50-37150-B
many regards	15-34811-S
many sages	58-48277-B
many schools of thought	44-52561-B
many sheeted cover math 	16-56451-B
many sided	16-53572-B,16-58192-B,16-58302-B
many sided skills	16-57692-B
many small contributions add up to sth big	66-59151-B
many species	34-50216-S
many stages	16-63892-S
many stars	50-37574-B
many stops	25-50573-S
many thanks	16-63613-B
many things	8-6484-S
many things arranged together	34-23911-B
many times	16-59438-B
many times over	5-54369-S
many to count	32-7099-S
many twists	1-13726-S
many twists and turns	1-13726-S
many ways	16-58130-S
many ways 成语 saw	58-15062-S
many wolves and not enough meat	42-9744-B
many years	16-57031-B,16-57160-S,22-58034-S,29-60845-S,62-21748-S,66-27523-S,66-28901-S
many years duration	22-50514-B
many years in the past	16-57076-S
manzhouli city in inner mongolia	39-39401-S
manzu autonomous county in hebei	59-20299-S,67-60138-S
manzu autonomous county in liaoning	10-36108-S,21-36845-S,70-52010-S
mao	36-13221-S,54-7230-S,57-44619-S,57-45510-S
mao county in sichuan	54-6622-B
mao dun prize	54-7606-B
mao s line during the 1930s	8-12007-S
mao s purges 1955 57	52-2900-S,52-3086-S,52-3407-S
mao tower	64-14148-S
mao yisheng	54-7271-B
mao zedong	17-33156-S,36-13320-S
mao zedong 1893 1976	36-14502-B
mao zedong in 1949	23-20544-S
mao zedong in north shaanxi folk song the east is red 東方紅 东方红	29-64167-S
mao zedong thought	36-14641-B
mao zedong 毛澤東 毛泽东 1893 1976	36-13221-B
maodeng 16th century	50-58003-S
maodun 1896 1981	54-7554-B
maogang district of maoming city 茂名市	54-6360-B,54-6437-B
maoism	36-13421-B,36-14569-B,36-14641-B
maoism one divides into two	7-43659-B
maoist	36-14462-B
maolin village in taiwan	54-6213-S
maoming city 茂名市	54-5764-S,54-5839-S,54-6360-S,54-6437-S
maoming prefecture level city in guangdong	54-5924-B
maoming prefecture level city in guangdong province	54-6001-B
maoming 茂名	5-43515-S,5-43589-S,10-23463-S,10-23541-S,67-32763-S,67-32830-S,70-14305-S,70-14383-S
maonan district of maoming city 茂名市	54-5764-B,54-5839-B
maonanzu autonomous county in guangxi	43-6071-S
maoqian 11th 12th century	63-24806-S
maotai a chinese liquor	54-7751-B
maotai town in renhuai county	54-7688-B
maowen county in sichuan	54-6290-B
map	2-39072-S,5-39210-S,15-39537-B,39-4327-S,43-55868-S
map in math 	1-73498-S
map math 	31-32425-B,59-22916-S
map or chart	34-52553-S
map out	57-56704-S,57-58148-S
maple	34-29689-B,34-29718-B,34-46557-B,34-46593-B,34-46620-B
maple leaf	34-29758-B
mapping in genomics	66-18548-S
mapping of genome	15-66962-B
mapping process	31-32471-B
maps	15-28101-S
maputo capital of mozambique	69-38802-B
maqin place in qinghai	43-1344-S
maqu place in gansu	43-1220-S
mar 1927	14-45618-S,14-45852-S
mar 1927 by chiang kai shek against the communists	14-45852-S
maracaibo	69-38425-B
maranta arundinacea	48-3259-S
marat	69-38060-S
marathon race	69-38317-B
marble	17-27900-B,17-28202-B,39-50663-S,46-8557-S,53-58919-B
marble or fingerprint	49-14630-S,49-15010-S,49-15196-S
marble pillar ornamental column in front of places	54-36125-B
marble used for building and sculpting	39-50663-S
marble white color of the dawn sky	70-37879-B
marbled	30-33546-B
marbles	15-60055-S,23-49225-B
marburg virus	69-39567-B
marc aurel stein 1862 1943	30-39530-B
march	1-30903-S,1-35727-B,14-50532-S,17-1721-S,17-43830-S,24-59592-S,35-41879-B,35-42061-B,56-35189-S,59-33371-S,60-33436-S,60-35809-S,62-31428-S,62-38045-B,62-63191-B,62-68902-S,65-14703-S,65-30663-B
march 21	1-35778-B
march army	56-35189-S
march at ease	5-29779-B
march musical	62-30843-B
march of the volunteer army	51-12567-B
march 成语 saw	61-62965-S
marches	63-12932-S
marching order	35-43239-B
marco polo 1254 c 1324	69-34864-B
marco polo bridge	55-36584-S
marco polo bridge in southwest of beijing	45-13738-S
marco polo bridge incident of 7th july 1937 that sparked ww2 between japan and china	1-26425-S,45-13840-S,55-36662-S
marconi	69-34815-B
marcus aurelius 121 180	69-39469-B
marcus name	69-39645-B
marcus tullius cicero 106 43 bc	57-14900-B
marcuse philosopher	69-37173-B
mare	16-20852-S,16-20933-S,36-4865-B,69-51899-B
mare cantabrico	15-49653-S
mare s tail	55-17689-S
mare serenitatis	39-65559-S
margaret name	43-1277-B
margarita	64-11341-S
margin	1-56597-S,9-7274-S,17-16736-S,17-16794-S,42-36567-S,45-35258-S,50-18914-B,63-11163-B,63-11747-S,68-19544-B,69-15193-B,71-16874-S
margin character	33-5784-S
margin for error	43-52896-S
margin on a page	32-11668-S,45-36536-S
margin or outlaws of the marsh by shi naian 施耐庵	36-43602-S,36-43708-S
margin sequel	36-43826-S
marginal	43-47803-B,63-12763-B
marginal comments on	26-57665-S
marginal cost	63-13989-B
marginal notes	30-7490-B,37-44837-B
marginalia	26-57665-B
marginalized	23-36508-S
maria name	43-1996-B,43-2050-B,69-34195-B
maria skłodowska curie or marie curie 1867 1934	21-19205-B
mariana islands	10-36525-S,10-36612-S
marianna islands in pacific	69-43587-B
marie curie 1867 1934	21-19205-S
marijuana	17-42500-B
marinade	39-33969-B,39-34058-B,63-45958-S,63-46075-S
marinade sauce	63-46025-B
marinaded meat	63-46175-B
marinated	52-36486-B
marinated oyster meat	56-21942-B
marine	38-22759-B,38-23689-B
marine abrasion	38-23624-B
marine corps	38-25323-B
marine crab	55-61362-B
marine department	38-15571-B
marine trench	17-25335-B,38-21713-B
mariner	36-41187-B,38-17304-B,53-34653-B
marines	38-25323-B
marino	51-52508-S,51-52574-S
marital	18-53279-S,18-55819-S
marital discord	42-59631-B
marital dissension	12-46834-B
marital relations	55-44438-S
marital sex	12-7123-S
maritime	38-15117-B,38-21077-B
maritime climate	38-21132-B
maritime organization	15-17828-S
maritime safety agency	2-60789-S,38-15501-S
maritime space	38-17500-B
maritimus	53-52908-S
marjoram	41-48893-B
mark	2-27181-S,2-48918-S,8-36799-S,9-38400-B,11-17657-B,14-30394-B,24-24825-S,25-40339-S,26-15335-S,27-68938-S,27-69095-S,31-63092-S,34-52202-S,34-53193-B,34-55773-B,34-55899-B,34-55960-B,34-55960-S,34-56140-B,34-56699-S,34-56778-S,40-41650-B,40-41650-S,44-13867-S,44-18595-B,48-5931-B,48-7037-B,49-14566-B,51-32454-S,57-65688-B,58-19675-B,60-38639-B,60-38720-B,62-47729-S,68-5883-B,68-8740-S,69-34942-S,69-40139-B,69-50274-S,69-60276-S,71-15151-S,71-41871-S
mark 	29-5281-S
mark a price	34-52319-B
mark as correct	26-49899-S
mark down	38-66856-S
mark homework	26-57220-S
mark name	69-32744-B
mark night watches	32-8856-S
mark off	9-38983-S,10-41665-S
mark on map or chart	34-52553-B
mark one s departure	43-48756-S
mark or symbol	34-55578-S
mark out	34-53821-S
mark punct 	13-62980-S,23-30625-S,35-26893-S
mark six hong kong lotto game	7-66798-B
mark system	44-51305-S
mark the completion of a building project	20-34612-S
mark the evangelist	69-40139-S
mark time	60-19572-B,60-46824-S,60-46913-S,71-37621-S
mark twain samuel langhorne clemens 1835 1910	69-32787-B
mark twain 馬克·吐溫 马克·吐温	13-36858-S,39-14708-S
mark up	34-55899-S
mark · punct used to separate western names or words	65-47130-S
marked by pause	59-5917-S
marked price	6-53629-B,34-52319-B,34-52494-S,34-55104-B,34-56179-S
marked scale	9-14440-B
markedly	60-53359-S
marker	3-27929-S,11-59260-S,14-30202-S,22-28558-B,34-53499-S,53-34118-S,59-1253-S,62-42853-S,69-33509-S
marker brick in building	34-55300-B
marker for pronouns and a small number of animate nouns	5-54849-S
marker loan	69-33509-B
marker of surprise	14-6096-S
marker used before verb or clause	32-15317-S,32-16427-S
marker writing instrument	18-1320-B
market	1-49233-S,1-49233-S,1-53246-S,5-57158-S,8-37035-S,9-35874-S,13-58974-B,17-908-S,22-11585-B,22-12200-B,27-2013-S,28-32873-S,31-13617-S,39-5501-S,41-12055-S,41-47592-S,42-19291-S,42-21978-S,42-22085-S,45-17409-S,52-3700-B,52-10024-S,52-10452-S,52-10683-S,53-10639-S,53-29217-S,53-29217-S,54-29826-S,58-60287-S,58-60371-S,59-45367-S,59-51831-S,60-29213-S,60-35304-S,60-45232-S,61-2055-S,61-42789-S,62-65910-S,64-14959-S,64-26962-S,64-33585-B,64-34271-B,64-34271-S,65-57787-S,66-57665-B,66-59550-B,68-37146-S,69-26919-S,71-29889-S
market between tibet	54-11909-S
market close	29-41652-B
market dominance	16-35514-S
market e g houses	26-27076-S
market economy	22-12657-B
market in hong kong	65-16652-S
market in sth	14-62792-S
market index	31-11407-S,39-31573-S
market maker	6-15031-B
market old term for eu	35-28573-S
market place	23-6468-B,65-58170-S
market price	56-32287-S,56-32398-B,56-32398-S
market prices appear to be rising	45-38926-S
