特別任務連 特别任务连	41-56645-B
特種警察 特种警察	41-60878-B
特種部隊 特种部队	41-60996-B
特立尼达	41-61077-S
特立尼达和多巴哥	41-61137-S
特立尼達 特立尼达	41-61077-B
特立尼達和多巴哥 特立尼达和多巴哥	41-61137-B
特等	41-61249-S
特等 特等	41-61249-B
特約 特约	41-61308-B
特約記者 特约记者	41-61402-B
特級 特级	41-61486-B
特约	41-61308-S
特约记者	41-61402-S
特级	41-61486-S
特色	41-61543-S
特色 特色	41-61543-B
特許 特许	41-61623-B
特許狀 特许状	41-61673-B
特許經營 特许经营	41-61726-B
特調 特调	41-61814-B
特警	41-61891-S
特警 特警	41-61891-B
特護 特护	41-61960-B
特護區 特护区	41-62057-B
特许	41-61623-S
特许状	41-61673-S
特许经营	41-61726-S
特调	41-61814-S
特質 特质	41-62138-B
特质	41-62138-S
特赦	41-62202-S
特赦 特赦	41-62202-B
特起	41-62242-S
特起 特起	41-62242-B
特輯 特辑	41-62314-B
特辑	41-62314-S
特邀	41-62384-S
特邀 特邀	41-62384-B
特長 特长	41-62435-B
特长	41-62435-S
特需	41-62526-S
特需 特需	41-62526-B
特魯埃爾 特鲁埃尔	41-62593-B
特鲁埃尔	41-62593-S
特點 特点	41-62663-B
牺	42-1857-S
牺牲	42-1888-S
牼	41-62735-S
牼 牼	41-62735-B
牽 牵	41-62775-B
牽一髮而動全身 牵一发而动全身	41-62858-B
牽制 牵制	41-63061-B
牽動 牵动	41-63163-B
牽就 牵就	41-63235-B
牽引 牵引	41-63291-B
牽引力 牵引力	41-63357-B
牽強 牵强	41-63423-B
牽強附會 牵强附会	41-63504-B
牽心 牵心	41-63593-B
牽心掛腸 牵心挂肠	41-63646-B
牽手 牵手	41-63750-B
牽扯 牵扯	41-63806-B
牽扶 牵扶	41-63858-B
牽掛 牵挂	41-63899-B
牽掣 牵掣	41-63942-B
牽涉 牵涉	41-63997-B
牽牛 牵牛	41-64050-B,41-64174-B
牽牛星 牵牛星	41-64222-B
牽牛花 牵牛花	41-64358-B
牽累 牵累	42-0-B
牽絆 牵绊	42-71-B
牽線 牵线	42-131-B
牽線人 牵线人	42-251-B
牽纏 牵缠	42-310-B
牽腸掛肚 牵肠挂肚	42-371-B
牽著鼻子走 牵着鼻子走	42-473-B
牽記 牵记	42-556-B
牽連 牵连	42-657-B
牽頭 牵头	42-716-B
牾	42-888-S
牾 牾	42-888-B
牿	42-927-S
牿 牿	42-927-B
犀	42-971-S
犀 犀	42-971-B
犀利	42-1003-S
犀利 犀利	42-1003-B
犀牛	42-1061-S
犀牛 犀牛	42-1061-B
犀鳥 犀鸟	42-1104-B
犀鸟	42-1104-S
犁	42-1146-S
犁 犁	42-1146-B
犁地	42-1172-S
犁地 犁地	42-1172-B
犁骨	42-1211-S
犁骨 犁骨	42-1211-B
犄	42-1266-S
犄 犄	42-1266-B
犄角	42-1312-S
犄角 犄角	42-1312-B
犆	42-1350-S
犆 犆	42-1350-B
犇	42-1383-S
犇 犇	42-1383-B
犉	42-1441-S
犉 犉	42-1441-B
犊	42-1812-S
犍	42-1466-S
犍 犍	42-1466-B
犍为	42-1497-S
犍為 犍为	42-1497-B
犍陀罗	42-1562-S
犍陀羅 犍陀罗	42-1562-B
犒	42-1643-S
犒 犒	42-1643-B
犖 荦	42-1681-B
犛	42-1729-S
犛 犛	42-1729-B
犠	42-1763-S
犠 犠	42-1763-B
犢 犊	42-1812-B
犧 牺	42-1857-B
犧牲 牺牲	42-1888-B
犨	42-1949-S
犨 犨	42-1949-B
犬	42-2002-S
犬 犬	42-2002-B
犬儒主义	42-2029-S
犬儒主義 犬儒主义	42-2029-B
犬科	42-2092-S
犬科 犬科	42-2092-B
犬齒 犬齿	42-2137-B
犬齿	42-2137-S
犯	42-2184-S
犯 犯	42-2184-B
犯不着	42-2306-S
犯不著 犯不着	42-2306-B
犯人	42-2364-S
犯人 犯人	42-2364-B
犯得上	42-2423-S
犯得上 犯得上	42-2423-B
犯得着	42-2509-S
犯得著 犯得着	42-2509-B
犯愁	42-2594-S
犯愁 犯愁	42-2594-B
犯毒	42-2651-S
犯毒 犯毒	42-2651-B
犯法	42-2705-S
犯法 犯法	42-2705-B
犯浑	42-2754-S
犯渾 犯浑	42-2754-B
犯病	42-2826-S
犯病 犯病	42-2826-B
犯罪	42-2872-S
犯罪 犯罪	42-2872-B
犯罪团伙	42-2937-S
犯罪團伙 犯罪团伙	42-2937-B
犯罪学	42-3009-S
犯罪學 犯罪学	42-3009-B
犯罪者	42-3065-S
犯罪者 犯罪者	42-3065-B
犯規 犯规	42-3130-B
犯规	42-3130-S
犯錯 犯错	42-3203-B
犯错	42-3203-S
犰	42-3243-S
犰 犰	42-3243-B
犰狳	42-3275-S
犰狳 犰狳	42-3275-B
犴	42-3317-S
犴 犴	42-3317-B
犵	42-3343-S
犵 犵	42-3343-B
状	42-3451-S
状元	42-3529-S
状况	42-3649-S
状态	42-3585-S
状语	42-3713-S
犷	42-25157-S
犸	42-15680-S
犹	42-14011-S
犹他	42-3380-S,42-14066-S
犹他 犹他	42-3380-B
犹他州	42-14103-S
犹大	42-14152-S
犹大书	42-14211-S
犹太	42-14292-S
犹太人	42-14366-S
犹太会堂	42-14713-S
犹太复国主义	42-14414-S
犹太复国主义者	42-14497-S
犹太教	42-14593-S
犹太教堂	42-14646-S
犹太法典	42-14794-S
犹如	42-14860-S
犹热	42-14919-S
犹豫	42-14979-S
犹豫不决	42-15020-S
犹达	42-15103-S
犹达斯	42-15140-S
犺	42-3417-S
犺 犺	42-3417-B
狀 状	42-3451-B
狀元 状元	42-3529-B
狀態 状态	42-3585-B
狀況 状况	42-3649-B
狀語 状语	42-3713-B
狁	42-3795-S
狁 狁	42-3795-B
狂	42-3833-S
狂 狂	42-3833-B
狂乱	42-3871-S
狂亂 狂乱	42-3871-B
狂人	42-3918-S
狂人 狂人	42-3918-B
狂人日記 狂人日记	42-3960-B
狂人日记	42-3960-S
狂傲	42-4057-S
狂傲 狂傲	42-4057-B
狂吠	42-4111-S
狂吠 狂吠	42-4111-B
狂喜	42-4151-S
狂喜 狂喜	42-4151-B
狂奔	42-4198-S
狂奔 狂奔	42-4198-B
狂妄	42-4245-S
狂妄 狂妄	42-4245-B
狂妄自大	42-4309-S
狂妄自大 狂妄自大	42-4309-B
狂怒	42-4388-S
狂怒 狂怒	42-4388-B
狂恣	42-4430-S
狂恣 狂恣	42-4430-B
狂想曲	42-4487-S
狂想曲 狂想曲	42-4487-B
狂暴	42-4551-S
狂暴 狂暴	42-4551-B
狂欢	42-4594-S
狂欢节	42-4683-S
狂歡 狂欢	42-4594-B
狂歡節 狂欢节	42-4683-B
狂热	42-4746-S
狂熱 狂热	42-4746-B
狂牛病	42-4786-S
狂牛病 狂牛病	42-4786-B
狂犬病	42-4882-S
狂犬病 狂犬病	42-4882-B
狂笑	42-4937-S
狂笑 狂笑	42-4937-B
狂言	42-5023-S
狂言 狂言	42-5023-B
狂躁	42-5092-S
狂躁 狂躁	42-5092-B
狂轟濫炸 狂轰滥炸	42-5152-B
狂轰滥炸	42-5152-S
狂野	42-5232-S
狂野 狂野	42-5232-B
狂風 狂风	42-5282-B
狂风	42-5282-S
狂飲 狂饮	42-5330-B
狂飲大嚼 狂饮大嚼	42-5379-B
狂飲暴食 狂饮暴食	42-5473-B
狂饮	42-5330-S
狂饮大嚼	42-5379-S
狂饮暴食	42-5473-S
狃	42-5591-S
狃 狃	42-5591-B
狄	42-5627-S
狄 狄	42-5627-B
狄奥多	42-5674-S
狄奥多・阿多诺	42-5731-S
狄奧多 狄奥多	42-5674-B
狄奧多・阿多諾 狄奥多・阿多诺	42-5731-B
狄拉克	42-5859-S
狄拉克 狄拉克	42-5859-B
狆	42-5925-S
狆 狆	42-5925-B
狈	42-11201-S
狉	42-5959-S
狉 狉	42-5959-B
狎	42-5993-S
狎 狎	42-5993-B
狐	42-6032-S
狐 狐	42-6032-B
狐假虎威	42-6057-S
狐假虎威 狐假虎威	42-6057-B
狐朋狗友	42-6218-S
狐朋狗友 狐朋狗友	42-6218-B
狐步舞	42-6325-S
狐步舞 狐步舞	42-6325-B
狐狸	42-6380-S
狐狸 狐狸	42-6380-B
狐狸座	42-6446-S
狐狸座 狐狸座	42-6446-B
狐狸精	42-6513-S
狐狸精 狐狸精	42-6513-B
狐猴	42-6590-S
狐猴 狐猴	42-6590-B
狐疑	42-6628-S
狐疑 狐疑	42-6628-B
狐群狗党	42-6680-S
狐群狗黨 狐群狗党	42-6680-B
狐蝠	42-6787-S
狐蝠 狐蝠	42-6787-B
狐鬼神仙	42-6853-S
狐鬼神仙 狐鬼神仙	42-6853-B
狒	42-6915-S
狒 狒	42-6915-B
狗	42-6954-S
狗 狗	42-6954-B
狗交媾般	42-6980-S
狗交媾般 狗交媾般	42-6980-B
狗仗人势	42-7048-S
狗仗人勢 狗仗人势	42-7048-B
狗屁	42-7197-S
狗屁 狗屁	42-7197-B
狗屋	42-7247-S
狗屋 狗屋	42-7247-B
狗年	42-7286-S
狗年 狗年	42-7286-B
狗拳	42-7348-S
狗拳 狗拳	42-7348-B
狗日的粮食	42-7416-S
狗日的糧食 狗日的粮食	42-7416-B
狗肉	42-7497-S
狗肉 狗肉	42-7497-B
狗腿子	42-7539-S
狗腿子 狗腿子	42-7539-B
狘	42-7642-S
狘 狘	42-7642-B
狙	42-7669-S
狙 狙	42-7669-B
狙击	42-7773-S
狙击手	42-7833-S
狙刺	42-7722-S
狙刺 狙刺	42-7722-B
狙擊 狙击	42-7773-B
狙擊手 狙击手	42-7833-B
狝	42-22645-S
狞	42-22758-S
狞猫	42-22796-S
狠	42-7892-S
狠 狠	42-7892-B
狠巴巴	42-7926-S
狠巴巴 狠巴巴	42-7926-B
狠心	42-7980-S
狠心 狠心	42-7980-B
狠毒	42-8031-S
狠毒 狠毒	42-8031-B
狡	42-8088-S
狡 狡	42-8088-B
狡猾	42-8130-S
狡猾 狡猾	42-8130-B
狡詐 狡诈	42-8183-B
狡诈	42-8183-S
狡賴 狡赖	42-8241-B
狡赖	42-8241-S
狡辩	42-8301-S
狡辯 狡辩	42-8301-B
狨	42-8347-S
狨 狨	42-8347-B
狩	42-8385-S
狩 狩	42-8385-B
狩猎	42-8490-S
狩猎场	42-8532-S
狩獵 狩猎	42-8490-B
狩獵場 狩猎场	42-8532-B
狫	42-8594-S
狫 狫	42-8594-B
独	42-17727-S
独一无二	42-17783-S
独体字	42-22211-S
独出一时	42-18285-S
独出心裁	42-18392-S
独创	42-18508-S
独占	42-17905-S
独占鳌头	42-17952-S
独占鼇头	42-18048-S
独唱	42-18581-S
独在异乡为异客	42-18641-S
独处	42-21323-S
独奏	42-18793-S
独子	42-18830-S
独孤求败	42-18870-S
独家	42-18935-S
独尊儒术	42-18977-S
独居石	42-19058-S
独山	42-19109-S
独岛	42-19172-S
独揽	42-19245-S
独揽市场	42-19291-S
独断专行	42-19370-S
独木桥	42-19456-S
独木舟	42-19558-S
独来独往	42-18139-S
独树一帜	42-19607-S
独步	42-19826-S
独特	42-19909-S
独生	42-19987-S
独生女	42-20055-S
独生子女	42-20116-S
独生子女政策	42-20184-S
独白	42-20282-S
独立	42-20330-S
独立国家联合体	42-20401-S
独立宣言	42-20601-S
独立战争	42-20683-S
独立报	42-20543-S
独立自主	42-20759-S
独立选民	42-20880-S
独立钻石	42-20952-S
独立门户	42-21025-S
独联体	42-21132-S
独自	42-21286-S
独行侠	42-21369-S
独裁	42-21442-S
独裁者	42-21487-S
独角兽	42-21592-S
独角戏	42-21539-S
独角鲸	42-21678-S
独资	42-21739-S
独身	42-21831-S
独辟蹊径	42-21881-S
独霸	42-21978-S
独霸一方	42-22085-S
独龙	42-22340-S
独龙江	42-22427-S
狭	42-8931-S
狭义	42-9102-S
狭义相对论	42-9170-S
狭小	42-8974-S
狭径	42-9015-S
狭窄	42-9061-S
狭谷	42-9256-S
狭路	42-9293-S
狭隘	42-9331-S
狮	42-15771-S
狮城	42-15798-S
狮子	42-15864-S
狮子乡	42-15985-S
狮子头	42-16062-S
狮子座	42-15900-S
狮心王理查	42-16136-S
狮泉河	42-16236-S
狮潭乡	42-16311-S
狮身人面像	42-16389-S
狯	42-22529-S
狰	42-11780-S
狰狞	42-11827-S
狱	42-15743-S
狲	42-15391-S
狳	42-8632-S
狳 狳	42-8632-B
狴	42-8663-S
狴 狴	42-8663-B
狷	42-8692-S
狷 狷	42-8692-B
狸	42-8730-S
狸 狸	42-8730-B
狸子	42-8777-S
狸子 狸子	42-8777-B
狸猫	42-8819-S,42-8863-S
狸猫 狸猫	42-8819-B
狸貓 狸猫	42-8863-B
狹 狭	42-8931-B
狹小 狭小	42-8974-B
狹徑 狭径	42-9015-B
狹窄 狭窄	42-9061-B
狹義 狭义	42-9102-B
狹義相對論 狭义相对论	42-9170-B
狹谷 狭谷	42-9256-B
狹路 狭路	42-9293-B
狹隘 狭隘	42-9331-B
狺	42-9419-S
狺 狺	42-9419-B
狻	42-9458-S
狻 狻	42-9458-B
狼	42-9499-S
狼 狼	42-9499-B
狼井	42-9527-S
狼井 狼井	42-9527-B
狼人	42-9587-S
狼人 狼人	42-9587-B
狼号鬼哭	42-10971-S
狼吞虎咽	42-9630-S
狼吞虎咽 狼吞虎咽	42-9630-B
狼多肉少	42-9744-S
狼多肉少 狼多肉少	42-9744-B
狼奔豕突	42-9857-S
狼奔豕突 狼奔豕突	42-9857-B
狼子野心	42-10015-S
狼子野心 狼子野心	42-10015-B
狼孩	42-10125-S
狼孩 狼孩	42-10125-B
狼崽	42-10212-S
狼崽 狼崽	42-10212-B
狼毫	42-10255-S
狼毫 狼毫	42-10255-B
狼烟	42-10321-S
狼烟四起	42-10399-S
狼煙 狼烟	42-10321-B
狼煙四起 狼烟四起	42-10399-B
狼狈	42-10566-S
狼狈不堪	42-10647-S
狼狈为奸	42-10744-S
狼狗	42-10524-S
狼狗 狼狗	42-10524-B
狼狽 狼狈	42-10566-B
狼狽不堪 狼狈不堪	42-10647-B
狼狽為奸 狼狈为奸	42-10744-B
狼藉	42-10891-S
狼藉 狼藉	42-10891-B
狼號鬼哭 狼号鬼哭	42-10971-B
狼蜘	42-11046-S
狼蜘 狼蜘	42-11046-B
狼顧 狼顾	42-11111-B
狼顾	42-11111-S
狽 狈	42-11201-B
猁	42-11260-S
猁 猁	42-11260-B
猃	42-22567-S
猇	42-11298-S
猇 猇	42-11298-B
猈	42-11373-S
猈 猈	42-11373-B
猊	42-11418-S,59-27837-S
猊 猊	42-11418-B
猋	42-11462-S
猋 猋	42-11462-B
猎	42-24407-S
猎人	42-24437-S
猎头	42-25045-S
猎户座	42-24477-S
猎户座大星云	42-24542-S
猎户臂	42-24648-S
猎手	42-24765-S
猎物	42-24806-S
猎犬	42-24843-S
猎犬座	42-24883-S
猎狗	42-24959-S
猎豹	42-25004-S
猎鹰	42-25110-S
猓	42-11495-S
猓 猓	42-11495-B
猕	42-26566-S
猕猴	42-26595-S
猕猴桃	42-26635-S
猖	42-11524-S
猖 猖	42-11524-B
猖披	42-11557-S
猖披 猖披	42-11557-B
猖狂	42-11609-S
猖狂 猖狂	42-11609-B
猖獗	42-11661-S
猖獗 猖獗	42-11661-B
猗	42-11719-S
猗 猗	42-11719-B
猘	42-11750-S
猘 猘	42-11750-B
猙 狰	42-11780-B
猙獰 狰狞	42-11827-B
猛	42-11882-S
猛 猛	42-11882-B
猛兽	42-12168-S
猛冲	42-12280-S
猛增	42-11946-S
猛增 猛增	42-11946-B
猛撞	42-12009-S
猛撞 猛撞	42-12009-B
猛烈	42-12051-S
猛烈 猛烈	42-12051-B
猛然	42-12116-S
猛然 猛然	42-12116-B
猛獸 猛兽	42-12168-B
猛禽	42-12233-S
猛禽 猛禽	42-12233-B
猛衝 猛冲	42-12280-B
猛跌	42-12334-S
猛跌 猛跌	42-12334-B
猜	42-12401-S
猜 猜	42-12401-B
猜度	42-12432-S
猜度 猜度	42-12432-B
猜忌	42-12489-S
猜忌 猜忌	42-12489-B
猜想	42-12550-S
猜想 猜想	42-12550-B
猜拳	42-12618-S
猜拳 猜拳	42-12618-B
猜测	42-12680-S
猜測 猜测	42-12680-B
猜疑	42-12737-S
猜疑 猜疑	42-12737-B
猜謎兒 猜谜儿	42-12802-B
猜谜儿	42-12802-S
猝	42-12864-S
猝 猝	42-12864-B
猝然	42-12900-S
猝然 猝然	42-12900-B
猞猁	42-12950-S
猞猁 猞猁	42-12950-B
猟	42-12987-S
猟 猟	42-12987-B
猡	42-26738-S
猢	42-13037-S
猢 猢	42-13037-B
猥	42-13067-S
猥 猥	42-13067-B
猥亵	42-13113-S
猥亵性暴露	42-13157-S
猥褻 猥亵	42-13113-B
猥褻性暴露 猥亵性暴露	42-13157-B
猩	42-13250-S
猩 猩	42-13250-B
猩猩	42-13277-S
猩猩 猩猩	42-13277-B
猩紅 猩红	42-13321-B
猩紅熱 猩红热	42-13364-B
猩紅色 猩红色	42-13423-B
猩红	42-13321-S
猩红热	42-13364-S
猩红色	42-13423-S
猪	59-25457-S
猪下水	59-25493-S
猪八戒	59-25548-S
猪头	59-26360-S
猪尾巴	59-25601-S
猪年	59-25661-S
猪排	59-25724-S
猪水泡病	59-25777-S
猪油	59-25864-S
猪湾	59-25902-S
猪狗	59-25954-S
猪狗不如	59-26028-S
猪肉	59-26120-S
猪链球菌	59-26158-S
猪链球菌病	59-26251-S
猫	59-27962-S
猫儿	59-27988-S
猫儿山	59-28027-S
猫叫声	59-28087-S
猫咪	59-28138-S
猫头鹰	59-28355-S
猫王	59-28176-S
猫科	59-28249-S
猫雾族	59-28306-S
猫鼬	59-28404-S
猬	56-7490-S
猭	42-13484-S
猭 猭	42-13484-B
献	42-25980-S
献上	42-26012-S
献县	42-26192-S
献媚	42-26064-S
献给	42-26138-S
献血	42-26248-S
献血者	42-26298-S
献身	42-26355-S
献身殉职	42-26465-S
猱	42-13528-S
猱 猱	42-13528-B
猲	42-13567-S,42-13609-S
猲 猲	42-13567-B,42-13609-B
猳	42-13647-S
猳 猳	42-13647-B
猳国	42-13682-S
猳國 猳国	42-13682-B
猴	42-13736-S
猴 猴	42-13736-B
猴子	42-13765-S
猴子 猴子	42-13765-B
猴年	42-13803-S
猴年 猴年	42-13803-B
猴拳	42-13868-S
猴拳 猴拳	42-13868-B
猴痘病毒	42-13939-S
猴痘病毒 猴痘病毒	42-13939-B
猶 犹	42-14011-B
猶他 犹他	42-14066-B
猶他州 犹他州	42-14103-B
猶大 犹大	42-14152-B
猶大書 犹大书	42-14211-B
猶太 犹太	42-14292-B
猶太人 犹太人	42-14366-B
猶太復國主義 犹太复国主义	42-14414-B
猶太復國主義者 犹太复国主义者	42-14497-B
猶太教 犹太教	42-14593-B
猶太教堂 犹太教堂	42-14646-B
猶太會堂 犹太会堂	42-14713-B
猶太法典 犹太法典	42-14794-B
猶如 犹如	42-14860-B
猶熱 犹热	42-14919-B
猶豫 犹豫	42-14979-B
猶豫不決 犹豫不决	42-15020-B
猶達 犹达	42-15103-B
猶達斯 犹达斯	42-15140-B
猷	42-15195-S
猷 猷	42-15195-B
猸	42-15235-S
猸 猸	42-15235-B
猸子	42-15273-S
猸子 猸子	42-15273-B
猹	42-15313-S
猹 猹	42-15313-B
猺	42-15359-S
猺 猺	42-15359-B
猻 狲	42-15391-B
猾	42-15422-S
猾 猾	42-15422-B
猿	42-15448-S
猿 猿	42-15448-B
猿人	42-15475-S
猿人 猿人	42-15475-B
猿猴	42-15517-S
猿猴 猿猴	42-15517-B
猿玃	42-15568-S
猿玃 猿玃	42-15568-B
獀	42-15638-S
獀 獀	42-15638-B
獁 犸	42-15680-B
獃 呆	42-15709-B
獄 狱	42-15743-B
獅 狮	42-15771-B
獅城 狮城	42-15798-B
獅子 狮子	42-15864-B
獅子座 狮子座	42-15900-B
獅子鄉 狮子乡	42-15985-B
獅子頭 狮子头	42-16062-B
獅心王理查 狮心王理查	42-16136-B
獅泉河 狮泉河	42-16236-B
獅潭鄉 狮潭乡	42-16311-B
獅身人面像 狮身人面像	42-16389-B
獉	42-16466-S
獉 獉	42-16466-B
獍	42-16496-S
獍 獍	42-16496-B
獎 奖	42-16551-B
獎勵 奖励	42-16601-B
獎品 奖品	42-16661-B
獎學金 奖学金	42-16708-B
獎得主 奖得主	42-16766-B
獎牌 奖牌	42-16846-B
獎狀 奖状	42-16896-B
獎章 奖章	42-16956-B
獎賞 奖赏	42-16999-B
獎酬 奖酬	42-17058-B
獎金 奖金	42-17111-B
獐	42-17174-S
獐 獐	42-17174-B
獒	42-17217-S
獒 獒	42-17217-B
獒犬	42-17246-S
獒犬 獒犬	42-17246-B
獗	42-17297-S
獗 獗	42-17297-B
獘	42-17331-S
獘 獘	42-17331-B
獙	42-17361-S
獙 獙	42-17361-B
獚	42-17396-S
獚 獚	42-17396-B
獜	42-17428-S
獜 獜	42-17428-B
獝	42-17458-S
獝 獝	42-17458-B
獞	42-17485-S
獞 獞	42-17485-B
獠	42-17560-S
獠 獠	42-17560-B
獢	42-17611-S
獢 獢	42-17611-B
獣	42-17638-S
獣 獣	42-17638-B
獧	42-17689-S
獧 獧	42-17689-B
獨 独	42-17727-B
獨一無二 独一无二	42-17783-B
獨佔 独占	42-17905-B
獨佔鰲頭 独占鳌头	42-17952-B
獨佔鼇頭 独占鼇头	42-18048-B
獨來獨往 独来独往	42-18139-B
獨出一時 独出一时	42-18285-B
獨出心裁 独出心裁	42-18392-B
獨創 独创	42-18508-B
獨唱 独唱	42-18581-B
獨在異鄉為異客 独在异乡为异客	42-18641-B
獨奏 独奏	42-18793-B
獨子 独子	42-18830-B
獨孤求敗 独孤求败	42-18870-B
獨家 独家	42-18935-B
獨尊儒術 独尊儒术	42-18977-B
獨居石 独居石	42-19058-B
獨山 独山	42-19109-B
獨島 独岛	42-19172-B
獨攬 独揽	42-19245-B
獨攬市場 独揽市场	42-19291-B
獨斷專行 独断专行	42-19370-B
獨木橋 独木桥	42-19456-B
獨木舟 独木舟	42-19558-B
獨樹一幟 独树一帜	42-19607-B
獨步 独步	42-19826-B
獨特 独特	42-19909-B
獨生 独生	42-19987-B
獨生女 独生女	42-20055-B
獨生子女 独生子女	42-20116-B
獨生子女政策 独生子女政策	42-20184-B
獨白 独白	42-20282-B
獨立 独立	42-20330-B
獨立國家聯合體 独立国家联合体	42-20401-B
獨立報 独立报	42-20543-B
獨立宣言 独立宣言	42-20601-B
獨立戰爭 独立战争	42-20683-B
獨立自主 独立自主	42-20759-B
獨立選民 独立选民	42-20880-B
獨立鑽石 独立钻石	42-20952-B
獨立門戶 独立门户	42-21025-B
獨聯體 独联体	42-21132-B
獨自 独自	42-21286-B
獨處 独处	42-21323-B
獨行俠 独行侠	42-21369-B
獨裁 独裁	42-21442-B
獨裁者 独裁者	42-21487-B
獨角戲 独角戏	42-21539-B
獨角獸 独角兽	42-21592-B
獨角鯨 独角鲸	42-21678-B
獨資 独资	42-21739-B
獨身 独身	42-21831-B
獨辟蹊徑 独辟蹊径	42-21881-B
獨霸 独霸	42-21978-B
獨霸一方 独霸一方	42-22085-B
獨體字 独体字	42-22211-B
獨龍 独龙	42-22340-B
獨龍江 独龙江	42-22427-B
獪 狯	42-22529-B
獫 猃	42-22567-B
獬	42-22605-S
獬 獬	42-22605-B
獭	42-25953-S
獮	42-22684-S
獮 狝	42-22645-B
獮 獮	42-22684-B
獯	42-22720-S
獯 獯	42-22720-B
獰 狞	42-22758-B
獰貓 狞猫	42-22796-B
獲 获	42-22843-B
獲准 获准	42-22895-B
獲刑 获刑	42-22947-B
獲利 获利	42-22996-B
獲勝 获胜	42-23069-B
獲勝者 获胜者	42-23133-B
獲取 获取	42-23186-B
獲嘉 获嘉	42-23244-B
獲得 获得	42-23305-B
獲得勝利 获得胜利	42-23365-B
獲得性 获得性	42-23427-B
獲得性免疫 获得性免疫	42-23498-B
獲得性閱讀障礙 获得性阅读障碍	42-23582-B
獲得者 获得者	42-23688-B
獲悉 获悉	42-23741-B
獲救 获救	42-23813-B
獲暴利者 获暴利者	42-23870-B
獲獎 获奖	42-23934-B
獲益 获益	42-23983-B
獲益者 获益者	42-24049-B
獲罪 获罪	42-24104-B
獲釋 获释	42-24155-B
獲鹿 获鹿	42-24217-B
獳	42-24276-S
獳 獳	42-24276-B
獴	42-24308-S
獴 獴	42-24308-B
獴科	42-24340-S
獴科 獴科	42-24340-B
獵 猎	42-24407-B
獵人 猎人	42-24437-B
獵戶座 猎户座	42-24477-B
獵戶座大星雲 猎户座大星云	42-24542-B
獵戶臂 猎户臂	42-24648-B
