the root is firm	32-61746-S
the same story	20-47690-S
the same string	63-58324-S
the same suit	38-58537-S
the same thing	43-60089-S
the same thing applies for everyone	54-24159-B
the same thing usually derog 	1-24039-S
the same time	1-10572-S,1-24251-S,5-11900-S,8-6102-S,12-48253-S,12-48377-S,15-35779-S,24-34455-S,34-58955-S,53-22529-S
the same time as y	12-48043-S
the same to you returning a compliment	12-46072-B
the same topic	63-59053-S
the same track	12-37889-S
the same trade	12-51439-S
the same translation	64-610-S
the same tribe 成语 saw	1-865-S
the same view	2-29887-S
the same views but alienate those with different views	71-44310-S
the same village	12-52308-S,63-29806-S,63-30526-S
the same way	12-51845-S
the same way as	21-9715-S
the same way as before	37-27523-S
the same word	43-61823-S
the same year	12-46785-B
the same 成语 saw	1-12407-S
the sand	28-33509-S,65-28278-S
the sanggan river	17-61554-S
the satisfaction of both parties	7-46650-S
the satisfaction of everyone	17-17661-S
the save the nation anti japanese protest movement stemming from the manchurian railway incident of 18th july 1931 九一八事變 九一八事变	27-5334-B
the savior in christianity	29-63326-B
the saying goes 	58-24843-S
the scales from one s eyes	29-25932-S
the scaly dragon	36-1099-S
the scene	9-9486-S,15-34404-S,41-62242-S,42-131-S,43-66914-S,59-162-S
the scene of a crime	61-64325-S
the scene of the incident	3-31474-B
the scenes	7-28139-S,22-34383-S,22-34433-S,39-60124-S
the scheduled time	21-19401-S
the scholar buys a donkey 成语 saw	11-6746-S
the scholars	6-55755-B
the school	33-53599-S
the school of logicians from the pre han period	12-55609-B
the scope of	2-2777-S
the score	16-8923-S
the scream or roar of a tiger	42-11298-B
the scriptures	11-58801-S,59-6465-S
the scull	68-20975-S
the sea	26-44926-S,38-22913-S,38-26399-S,38-26494-S,38-50649-S,40-14691-S,46-6237-S,51-59044-S,55-19080-S,66-32820-S
the sea of evil	19-19945-S
the sea of galilee	54-57047-S
the sea of grief	39-26437-S
the sea of learning 成语 saw	19-18347-S
the sea 成语 saw	17-25213-S,21-31655-S,21-33739-S,37-43366-S
the seal as a precaution against fraud	23-51142-S
the seam	50-11701-S
the seams of cap	43-4418-S
the season	4-40812-S,40-47008-S
the seasons	56-18065-S
the seasons traditional chinese medicine concept	68-24243-S
the seat number	20-55444-S
the seat of emotions	39-38483-S,52-24706-S,57-10692-S,57-10987-S
the seat to the right of the main guest	1-59913-B
the second book of moses	8-37584-B
the second child or brother or sister	51-24927-B
the second day	35-19985-B
the second focus of the moon s elliptic orbit	32-26838-S
the second in command	3-36253-B
the second month	23-51343-S
the second of numbered kings	3-32275-B
the second opium war	3-63343-S,3-63507-S
the second place	3-32514-S
the second sex	48-11265-B
the second time	48-11323-B
the secret	28-48869-S
the secret of success	57-27540-B
the security authorities	16-11082-S
the seed of fennel	20-70102-S
the selection on computer	11-54996-S
the sense of to acquire	23-23707-S
the senses	25-39646-S,29-16778-S,29-16955-S,45-23888-S
the sentence on a criminal	64-5065-S
the serious hard work of writing	65-28766-S
the sermon on the mount	21-28569-B
the service of one s country	16-9760-S
the services of sb	23-17737-S,23-18319-S
the set of all x not in set s	69-17403-B
the setting sun	16-42021-B
the seven cervical vertebrae in the neck of humans and most mammals	68-41052-B
the seven duties of a sovereign	1-26742-B
the seven mansions of north sky	42-27749-S
the seventy two martyrs of the huanghuagang uprising of 23rd april 1911	71-22753-B
the sex industry	24-62831-B
the sexes	7-44969-S,7-45054-S,24-61293-S
the shade	3-13706-S,52-18745-S
the shaft of a pen or writing brush	48-15290-B
the shame of the family must not be spread abroad 俗语 common expression	19-64414-B
the shang dynasty	13-57586-B,35-65636-S
the shang dynasty 16th 11th century bc on tortoiseshells or animal bones	11-11642-S
the shang dynasty after their move to yinxu 殷墟 in modern henan province	35-65889-S
the shanghai coup of 12th mar 1927 by chiang kai shek against the communists	14-45852-B
the shanghai stock market	1-53246-B
the shaolin monastery and martial arts school	21-4505-B
the shape of a character or symbol in a particular typeface	19-5113-S
the shape of a hoop	28-40154-S
the shape of people or animals	49-21579-S,49-23410-S
the sheep	16-54162-S
the sheep are lost 成语 saw	3-66287-S
the sheep s back 成语 saw	36-13471-S,50-64323-S
the shelves e g a contaminated product	1-60459-S
the shoes 成语 saw	9-17159-S
the shooting of films	45-10003-S
the shoots to make them grow faster	28-47271-S
the shop floor or countryside	1-60063-S
the shot hits the bird that pokes its head out 成语 saw	34-44552-B
the shoulder	1-42512-S
the shoulder between two neighoring arches	27-48993-S
the show	54-49669-S
the shrew	69-45663-S
the shu han dynasty 214 263 of liu bei 劉備 刘备 during the three kingdoms	56-2134-B
the siberian jerboa	56-17916-B
the sichuan basin 四川盆地	63-15370-S
the sick and the dying	23-26799-S
the sick and the wounded	6-44807-B
the sick list	44-9410-S,44-12218-S
the sickness to save the patient	37-24894-S
the side	6-19524-B,12-7123-S,30-67818-S
the side of	1-10429-S
the side of a boat to locate a sword dropped overboard 成语 saw	9-14997-S
the side of the evil doer	9-61525-S
the side 成语 saw	42-45557-S
the sidereal year astronomy	24-67186-B
the sides of a doorway	20-54845-S
the sides of human head	17-61910-S,17-62068-S,68-52966-S
the sides of the road	37-27659-S
the sieve method for primes	48-22257-B
the signs of the zodiac	10-43097-B
the silk road	49-54928-B
the silk road abbr for 丝绸之路	49-55194-B
the silk road near lop nor 羅布泊 罗布泊	34-51662-S
the silken gauze	38-9409-S
the silver point	64-29672-B
the silver screen	64-26000-B
the silver tael 兩 两	64-25499-S
the sima method by sīmǎ rángjū of qí	12-25419-B
the simplest characters	2-30061-S
the sincerest form of respect	25-4160-S
the sing song girls of shanghai by han bangqing 韓邦慶 韩邦庆	38-15363-B
the sisters short story	18-39386-B
the situation	2-12362-S,20-21272-S,20-21684-S,43-63720-S,45-63634-S,57-31576-S,57-31761-S,57-50096-S,62-511-S,66-43987-S
the situation for one s own benefit	68-25473-S,68-25632-S
the situation is hopeless	44-8690-B
the situation looks grim	68-58368-S
the situation 成语 saw	66-44361-S
the six day war of june 1967 between israel and her arab neighbors	7-67631-B
the six dynasties	7-67951-S
the six dynasties period 222 589 between han and tang	7-68057-B
the six gentlemen martyrs of the failed reform movement of 1898	26-5536-B
the six methods 六書 六书 of forming chinese characters	6-5978-S,6-6174-S,23-53820-S,23-55344-S,27-57051-S,27-57199-S,32-23505-S,32-23744-S,59-23175-S,59-23357-S,61-27622-S,61-27843-S
the six southern dynasties 317 589	7-67880-B,10-72489-B
the sixteen kingdoms	3-47261-S,38-38850-S,60-29277-S
the sixteen kingdoms 304 329	9-24207-S
the sixteen kingdoms 304 347	26-10564-S
the sixteen kingdoms 304 439 by cui hong 崔鴻 崔鸿	10-44784-S
the sixteen kingdoms 314 376	9-21602-S
the sixteen kingdoms 319 350	24-1891-S
the sixteen kingdoms 351 395	9-22508-S
the sixteen kingdoms 384 409	24-621-S
the sixteen kingdoms 384 417	24-820-S
the sixteen kingdoms 385 431	57-21238-S
the sixteen kingdoms 386 403	24-344-S
the sixteen kingdoms 397 414	11-979-S
the sixteen kingdoms 398 410	11-1834-S
the sixteen kingdoms 398 439	10-34099-S
the sixteen kingdoms 400 421	57-19624-S
the sixteen kingdoms 407 432	16-40012-S
the sixteen kingdoms 409 436	10-34396-S
the sixteen kingdoms 前燕 337 370	9-21977-S
the sixties	22-47102-S
the skate or ray	70-43852-B
the skeleton	70-1514-S,70-2447-S
the skin	44-18595-S,44-64446-S,70-37021-S
the skin and the flesh	52-39036-S
the skin containing sense of touch	45-43522-S
the skin of one s teeth 成语 saw	46-38799-S
the skull	15-55790-S,33-32973-S,52-39165-S,68-53031-S
the sky	1-48200-S,1-54636-S,4-39837-S,8-26758-S,10-61065-S,18-54645-S,28-17784-S,29-248-S,31-29644-S,37-36955-S,47-44712-B,47-44823-B,47-45059-S,49-35613-S,67-39712-B
the sky above	1-48200-B
the sky and covering the earth 成语 saw	62-66618-S,64-36705-S
the sky and divide the earth	65-32821-S
the sky falling 成语 saw	33-10940-S
the sky from the bottom of a well 成语 saw	15-50753-S
the sky in sorrow	45-16804-S
the sky or chess pieces on a board 成语 saw	31-31406-S
the sky with a basin on one s head 成语 saw	26-23741-S
the sky 成语 saw	14-52530-S,68-58368-S
the slain	51-56327-S,69-24742-S
the sleeve	57-8044-S,57-8552-S
the sleeve of a garment	56-42719-B
the slightest	36-16996-B
the slightest amount or degree	49-54566-B
the slightest change	30-31671-S,49-15396-S
the slightest doubt	36-15981-S
the slightest offense against the people of soldiers	47-15074-S
the slightest scruple	52-3895-S
the sly	6-22321-S,31-60469-S,31-60935-S,52-17233-S
the small intestine	49-49504-S
the small investor	30-8153-B
the small or lesser seal	20-68662-B
the small red kind	20-69004-S
the small seal 小篆 and great seal 大篆	47-25003-B,48-31522-B,48-31790-B
the small thing	47-14996-S
the smallest detail	7-24777-S
the smallest tide	20-67055-S
the smurfs	55-29217-B
the snake e g 2001	55-59961-S
the society of jesus	51-42152-B
the soft palate	24-3194-S
the software industry	61-4630-B
the soil	16-25135-S,16-25192-S,51-22631-S,64-35905-S,70-25832-S
the soil and whether it can support a crop	16-25259-S
the solar system	22-67113-S,71-23578-S
the solar year	14-56572-B
the sole agent for a production unit or firm	10-19174-S
the sole criterion for judging truth item from deng xiaoping theory	20-15514-S
the son as a sign of filial piety	14-12551-S
the son in the christian trinity	51-46251-S
the son of god	46-58629-B
the son of heaven traditional english translation	17-46030-B
the song dynasty	19-34973-S,66-28255-S
the song dynasty 960 1279	7-44185-B,19-34795-B
the songs of chu 成语 saw	14-54038-S
the sorbonne	49-27773-B
the soul	60-58240-S
the soul after death	40-50255-S
the sound	30-16133-S
the sound and the fury novel by william faulkner 威廉·福克納 威廉·福克纳	14-11034-B
the sound of the wind	51-17587-B
the sound of wailing	14-26308-B
the source	28-31185-S,37-36708-S,39-23573-S,48-21974-B,61-58459-S,61-67716-S
the source of a product	43-31642-B
the sources of income and economize on expenditure	65-38362-S
the south	10-71321-S,10-71953-B,13-32212-S
the south bank	10-70402-B
the south china sea	71-18556-S
the south coast of sumatra	31-22505-S,31-22605-S
the south of	11-4261-S
the south of silla 新羅 新罗 in south korea around 500 ad	4-63171-S
the south of the forbidden city that was the legation quarter during the boxer uprising	33-14664-S
the south sandwich islands	10-68590-S
the southeast himalayas	66-56196-S
the southern dynasties	10-68416-S,11-5912-S,34-9691-S,66-28179-S,71-53823-S
the southern dynasties 420 479	9-41873-S,10-72577-S
the southern dynasties 502 557	10-72664-S,55-16741-S
the southern dynasties 557 589	10-72753-S,66-26326-S
the southern dynasties 南朝宋	48-31235-S,58-57724-S
the southern dynasties 南朝宋 420 479	9-41788-S,19-34795-S
the southern dynasties 南朝宋 or liu song 劉宋 刘宋	19-35602-S
the southern dynasties 南朝梁 in 548	5-26431-S
the southern foothills of a mountain	11-5774-B
the southern part of the country	10-71953-B
the southern song dynasty 1127 1279	10-69305-B
the southern state of wu during the three kingdoms period	33-16548-B
the southern state of wu 成语 saw	12-69308-S
the southern states wu and yue traditional rivals	13-1945-S
the southwest	57-13975-B
the soviet union	55-40979-S
the soviet union and the northern warlord government of china	2-81022-S
the space	6-64518-S
the sparrow and swallow know the will of the great swan 成语 saw	41-29558-S
the sparrow know the will of the great swan 燕雀安知鴻鵠之志 燕雀安知鸿鹄之志	41-29352-S
the speaker	21-4982-S
the speed	58-39803-S
the speed of light	7-13383-B
the spelling 喬治敦 乔治敦 is more common	14-15186-B
the spinal chord	23-19707-S
the spinal column	70-3525-S,70-3604-S
the spirit is willing but the flesh is weak	9-44949-B
the spirit or character of a political party	71-44623-B
the spitting image of	43-55349-S
the spoils	61-59306-S
the sport of judo	33-44723-B
the sporting world	70-9197-B
the spot	10-3309-S,21-9488-S,43-64373-S,43-66298-S,43-66914-S,60-46824-S
the spot investigation	51-33220-S
the spot survey	20-13970-S
the spot 成语 saw	64-984-S
the spring	31-35286-S
the spring and autumn 770 476 bc and warring states 475 221 bc periods	31-34629-B
the spring and autumn 770 476 bc and warring states 475 221 periods	31-34761-B
the spring and autumn annals 春秋	31-34293-S,71-10831-S
the spring and autumn annals 春秋 edited by confucius	70-40126-S
the spring and autumn period 770 476 bc	31-34409-S,67-48896-S
the spring equinox	31-32999-B
the spring scenery	20-45872-S
the spur of the moment	65-25220-S,65-26835-S
the square	3-13368-S
the square method of solving quadratic equation	63-38326-S
the square to solve quadratic equation	63-38201-S
the stable door after the horse has bolted	3-66287-S
the staff of a buddhist monk	47-7567-B
the stage	1-58915-S,1-59160-S,1-59277-S,1-62445-S,7-61418-S,12-18009-S
the stage to indicate scene changes	60-10773-S
the stages in the cycle of reincarnation	4-17332-S
the stake	40-20179-S
the standard	46-20221-S
the star of duck soup	69-32896-S
the starring female role in a chinese opera	35-37287-B
the stars	19-66657-S
the stars and stripes	53-56482-S
the stars and stripes us flag	53-56344-B
the stars astrology	47-2299-S
the start	24-12223-S,52-4361-B,52-5046-B
the start of a building project	46-16853-S
the start of a new term	65-33263-B
the start of a race	60-18450-B
the start of some activity	60-16932-B
the start of spring	5-58232-S
the start 成语 saw	49-36835-S,62-27819-S
the starting line of a race	60-18519-B
the starting point	52-4992-B
the state	6-47257-S,7-59013-B,17-10568-S,18-24874-S,18-25354-S,41-11202-S,58-50307-S,65-4451-S,68-46789-S
the state cultural authorities in china	15-8316-S
the state of chu hist 	34-30288-B
the state of family finance	19-62906-B
the state of moisture in the soil and whether it can support a crop	16-25259-B
the state of qii in modern qi county 杞縣 杞县	33-11063-B
the state of qin hist 	47-23602-B
the state of shu in sichuan at different periods	56-2134-B
the state of society	47-25648-B
the state of the universe and pity the fate of mankind	25-9626-S
the statute of limitation	61-59773-S
the steady state theory cosmology	47-42798-B
the steamer basket 蒸籠 蒸笼	8-43664-S
the stem	19-4107-S
the stems of plants after harvest	35-63544-S
the steps to the throne	66-19004-B
the sting of scorpion etc	36-7709-B,36-8305-B
the stink assaults the nostrils	25-23030-B
the stock market	1-49233-S
the stomach	52-24276-S
the stomach and rectify qi4 traditional chinese medicine	13-24971-S
the stone tower 成语 saw	56-6180-S
the stone 成语 saw	36-43354-S,39-33050-S,39-33298-S
the store front	52-62237-B
the storm	31-64953-S
the storm put strong grass to the test 成语 saw	44-7683-B,44-7881-B
the stove	66-18952-S
the straight path 成语 saw	56-30838-S
the strait of malacca or melaka	69-33836-B
the straits times	38-18593-B
the strange state of the world witnessed over 20 years	3-34813-B
the strategic high ground	28-61753-S
the strawberry generation taiwanese term	54-15505-B
the stream	37-27118-S,61-67581-S
the stream flows without stopping	21-50189-S
the stream of human passion buddh	25-36007-B
the street	17-71677-S,31-51503-S,38-64995-S,51-29652-S,52-62186-S,56-36501-S,62-16259-S,62-48854-S
the street serving as a store	52-62237-S
the street 成语 saw	60-41398-S,62-49468-S
the streets	1-55423-S
the streets in welcome	17-71764-S
the strength to truss a chicken	26-34786-S
the strokes of a character	19-5790-B
the strokes of chinese characters	48-14041-B
the strong and attack the weak 成语 saw	62-56679-S,62-56839-S
the strong and give people peace 成语 saw	66-22240-S
the strong and support the weak 成语 saw	64-36020-S
the student s ability	14-60739-S
the study	30-28129-S
the study of classic texts including interpretation	57-64936-B
the study of seasonal phenomena flouring	41-53046-B
the style of a classic author	29-27314-S
the style of annals	50-20070-S
the style of some author	29-27198-S
the subject	8-63558-S,21-35102-S,26-43373-S
the subject just mentioned	9-51084-S
the subject s face	45-32341-S
the subject s face for his prognostication	45-27646-S
the subject to life	43-59492-S,71-41034-S
the subject under discussion	32-67437-B
the subject via a comprehensive study of surrounding areas	56-10915-S
the substance concisely	71-43146-S
the sudan	22-5378-S
the sudanese government against darfur rebels	59-53751-S
the suez canal	55-37661-B
the suffering of others	69-7875-S
the sui dynasty	66-39201-S,66-39317-S
the sui dynasty 581 617	66-38713-B
the suit	25-19103-S
the suit 成语 saw	64-6912-S
the sum of its parts	33-65584-S,33-66177-S
the summer	38-29797-S,38-30465-S
the summer holidays	63-7136-S
the summer palace 頤和園 颐和园	5-5239-S,10-41999-S,54-44329-S
the summer solstice	16-41699-B,65-18954-B
the sun	3-51501-S,3-55658-S,8-40837-S,14-9586-S,31-10522-S,31-29881-S,31-43073-S,31-43073-S,31-46220-S,31-50205-S,31-57918-S,31-59160-S,32-49233-S,32-49233-S,38-15928-S,58-41092-S,61-30462-S,64-12529-B,64-12529-S,68-26705-S
the sun and moon	31-7491-B
the sun and moon like a shuttle 成语 saw	31-7665-B
the sun and moon shine once more	31-8055-B
the sun beats down	40-41942-B
the sun god	31-11081-B
the sun is at the center of the universe	31-6971-S
the sun never sets	17-61367-S
the sun or moon	31-7780-S
the sun s corona	31-5744-B
the sun shines over the sanggan river	17-61554-B
the sun 成语 saw	29-12887-S
the sunshine	32-3858-S
the supernatural by pu songling 蒲松齡 蒲松龄	51-43738-S
the supervision of	45-56201-S
the surface	2-19663-S,8-40515-S,39-60534-S,56-47150-S,66-47656-S,66-48384-S
the surface of	1-57305-S
the surface of the earth	15-44653-B
the surface of the river	36-61767-B
the surface of the water	14-34495-S
the surface 成语 saw	8-40597-S
the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity	51-24509-S
the surrounding area	8-33384-S
the surrounding words	9-20103-B
the sutra in forty two sections spoken by the buddha	14-47042-B
the sutras	37-31142-S,58-30859-S
the swift family	67-14642-S
the swim bladder of fish	70-37792-S
the swings	11-59061-S
the swings you gain on the roundabouts	29-39887-S
the sword	63-59624-S
the symbol of hong kong	49-29561-S
the symptoms but not the root cause	37-24607-S
the syriac script	30-497-B
the table	29-36061-S,65-41782-S,65-42002-S
the table and cheer 成语 saw	27-29721-S
the table and shout with praise 成语 saw	27-29594-S
the table in amazement	9-0-S,27-29525-S
the table in amazement 成语 saw	27-29831-S
the table of one s master	13-57209-S
the tail of an animal	26-15854-S
the taiping era	17-58358-S
the taiping era 978	17-58258-S
the taiwan straits arats	38-18430-S
the tajik people race	16-16630-B
the takings	43-50141-S,43-50258-S
the talented and call the valorous 成语 saw	27-44014-S
the talk of the town	39-36991-B
the talmud	42-14794-B
the tang 618 907 and song 960 1279 dynasties	13-51031-B
the tang and song dynasty	6-35052-S
the tang dynasty 618 907	17-9960-B
the tang dynasty 618 907 with alternate prose and rhymed parts for recitation and singing often on buddhist themes	59-9227-S
the tang dynasty onwards	12-23958-S
the tang onwards	51-19939-S
the tangent	23-34208-S
the target	24-6335-S,44-55329-S,46-18662-S
the target language in a language school	58-27601-S
the target of an attack	27-68512-S
the tarim basin in southern xinjiang	16-18224-B
the task	42-38323-S,42-38672-S,64-5925-S
the task is done	1-4444-S
the taxman	16-11415-S
the teaching of a religious leader	57-64173-B
the teaching of confucius	19-3409-B
the teaching of confucius and mencius	19-2968-B
the teachings of the buddha	5-4383-S
the tear glands	22-36960-S
the tedious details in full	58-17049-B
the teeth	7-34037-S,13-29102-S,14-32748-S,24-45369-S,71-55618-S,71-55979-S
the teeth tightly 成语 saw	13-29180-S
the temple	56-9267-S
the temple on the human head	68-52886-S
the temples	70-28371-S,70-28421-S,70-28483-S
the ten commandments relig 	10-47029-B
the ten heavenly trunks 十天干	43-39169-S
the ten thousands place or column in the decimal system	54-43437-B
the tens place or column in the decimal system	10-43888-B
the terminator	49-36774-B
the terracotta army	24-14821-S
the terracotta warriors	47-25168-S
the terrestrial branches	43-28967-S
the test	26-21949-S,26-22537-S,51-34596-S
the test 成语 saw	44-7683-S,44-7881-S
the text of an annotated book	44-39498-B
the thames river	37-47057-B
the theater	1-47362-S
the theme for discussion	8-47192-S
the theory of curves	32-5789-B
the theory of evolution early translation	17-49991-B
the theory of surfaces	32-6611-B
the theory that geological change is caused by catastrophic events such as the biblical flood	40-27683-B
the theory that the sun is at the center of the universe	31-6971-B
the thessalonians	22-24176-S,22-24309-S
the thing in itself	32-67517-B
the thing mentioned above	8-3812-S
the third book of moses	9-6914-B
the third generation	39-41575-S
the third of named kings	1-29611-B
the third tone of classical chinese	4-21551-S
the thirteen confucian classics namely book of songs 詩經 诗经	10-42232-B
the thorax between the lungs	50-31136-S
the thousands and tens of thousands	26-8722-S
the thousands place or column in the decimal system	10-48058-B
the three acupoints for measuring pulse in chinese medicine	21-11555-S
the three caos cao cao 曹操 and his sons cao pi 曹丕 and cao zhi 曹植	1-35616-B
the three changjiang river gorges	1-34134-B
the three divisions of the viscera med 	52-50109-B
the three foreign religions nestorianism	1-33485-B
the three gorges	1-34134-B,21-62735-S
the three gorges dam	1-33918-B
the three gorges reservoir	1-33982-B,1-34052-B
the three kingdoms	1-32939-S,1-33134-S,3-54314-S,56-2134-S
the three kingdoms after the fall of the han dynasty	56-1999-S
the three kingdoms in which zhao yun 趙雲 赵云 charges seven times through the ranks of cao cao s armies	65-12079-S
the three kingdoms period	33-16548-S
the three kingdoms period after the break up of the han 220 280	1-33013-B
the three legged golden crow that lives in the sun	64-12529-B
the three legs of a tripod	71-47047-S
the three main divisions of the book of song 詩經 诗经	17-39509-S,21-1797-S
the three no s an example of an abbreviated slogan or catchphrase	1-29511-B
the three precious treasures of buddhism namely	1-33773-B
the three punic wars 264 146 bc between rome and carthage	22-14177-B
the three religions daoism	1-34806-B,1-34868-B
the three represents enunciated by jiang zemin 江澤民 江泽民 as the duty of the chinese communist party in 2001	1-30647-B
the three rules ruler guides subject	1-39604-B
the three su father and sons	1-41113-B
the three wise kings from the east in the biblical nativity story	1-30402-B,33-19070-B
the throat	9-16433-S,70-2779-S
the throne	4-2039-S,11-23983-S,15-33943-S,24-13121-S,42-34320-B,46-54013-B,48-33069-S,50-42773-S,66-19004-S
the tianshan mountain range between xinjiang and mongolia	17-46517-B
the tibetan tubo dynasty 7th 11th century ad	12-61181-B
the tide	11-49943-S,39-43136-S,70-11597-B
the tide 成语 saw	5-60574-S,61-68194-S
the tiger and behead the scaly dragon	36-1099-S
the tiger behind 成语 saw	9-20196-S
the tiger e g 2010	55-47325-S
the tiger return to the mountain	50-30297-S
the tiger s lair	1-70353-S
the tiger s might 成语 saw	42-6057-S
the tiger s neck must untie it 成语 saw	57-52888-S
the tiger 成语 saw	40-33077-S
the tiger 成语 saw the fearlessness of youth	9-785-S
the tiles are broken	30-59637-B
the tiles laid out as a square	30-62269-S
the time	14-44082-S,17-47899-B,22-58266-S,26-9311-S,26-46980-S,32-47701-S,38-33031-S,51-24509-S
the time being	18-39595-B,31-64761-S
the time comes	21-19401-S
the time has not yet come	31-41777-B
the time is right	17-48022-B
the time is ripe to settle accounts	47-14532-S
the time limit	62-46395-S
the time of	44-59199-S
the time of day or night	37-9689-S
the time of going to press	44-32386-S
the time of the incident	3-31554-B
the time to do sth	27-17530-S
the time when sth is ready etc	48-17869-S
the time will not come again 谚语 proverb	31-38833-B
the times	1-70228-S,2-57-S,53-22111-S,53-22240-S
the times and reject custom 成语 saw	62-57612-S
the times newspaper	37-47057-B,37-47141-B
the times 成语 saw	2-30554-S,2-30720-S
the tip	21-6254-B
the tip and try 成语 saw	11-42837-S
the tip of a tree	34-61082-B
the tip of a writing brush	48-16736-B
the tip of a writing brush or pencil	48-14813-B
the tip of the liaoning peninsula	55-59737-S
the tip of the tongue	53-29787-S
the tissue between the skin and the flesh	52-39036-B
the title of a book on a label	68-43145-S
the title of emperor	22-24906-B,44-59701-B
the toilet	13-8755-S,17-15888-S,30-61708-S,57-49063-S
the toilet euphemism	32-9087-S
the tokyo bay	35-10501-S
the tomb of the first emperor	69-64941-S
the tomb of the first emperor at mt li 驪山 骊山 near xian awaits excavation	47-23950-B,47-25250-B
the tomb of tibetan king songtsen gampo or songzain gambo in lhoka prefecture	70-27197-B
the tombs of one s ancestors	1-48103-S,28-10642-S
the tone	19-47769-S,19-47820-S,27-69869-S
the tongue	17-64824-S,17-67284-S,53-29787-S,58-25192-S,60-10677-S
the tongue against the alveolar ridge	9-26190-S
the tongue against the soft palate	24-3194-S
the top	1-56597-B,68-35986-B
the top margin	1-56597-B
the top of a building	68-20284-B
the top of the chest	52-24454-S
the top part of a tablet	46-28850-B
the top you exaggerate	32-56503-S
the topmost branches of a tree	34-52202-B
the torch 成语 saw	4-26737-S
the torments of buddhist hell while still alive	4-17753-S
the torsion of a space curve	29-9233-B
the total	12-37520-S
the totality of human attributes	4-9383-B
the town	39-36991-S
the town 成语 saw	39-36991-S
the track	52-34338-S
the track of an overturned cart	24-1970-S
the track of an overturned cart 成语 saw	64-1165-S
the track of train	52-33942-S
the trade	7-43228-S,58-582-S
the trades	3-54633-S
the tradition	26-61268-S
the traditional chinese calendar	61-40724-B
the traditional chinese lunar calendar	16-40849-B
the traditional chinese scale	21-11555-S
the traitors	64-35961-S
the transport department	4-125-B
the trap 成语 saw	24-9528-S
the travels of confucius	13-14488-S
