fluency	28-14025-B
flying somersault	69-760-B
flying squirrel	71-2267-B
flying tigers	68-64834-B
flying 成语 saw	56-28506-S
fm	58-40199-B
fm100	65-1275-S
fmd	11-70092-S
fmri	9-49967-S
fo	37-60984-S,55-11975-S
fo tan area in hong kong	40-22359-B
foam	37-18209-B,37-36891-B,37-37073-B,52-11766-B
foam flying in all directions	14-51842-B
foam in string theory	64-5735-S
foam with rage	60-17156-S
foamer for cappuccino	26-42445-S
foaming at the mouth	38-36124-B
focal distance	40-65543-B
focal length	40-65543-B
focal mechanism of earthquake	67-40460-B
focal point	40-65674-B,64-2820-B
foch 1851 1929	47-5287-S
foci of tubercular infection	44-19891-B
focus	1-8823-B,40-65674-B,51-54954-S,58-38557-S,66-56610-S,66-58644-S
focus a camera	20-52549-S
focus attention on one phrase without regard to the meaning of the whole piece	30-59714-S
focus light e g in theater	51-53510-S
focus of infection	44-11643-B
focus of the moon s elliptic orbit	32-26838-S
focus on	45-62351-S
focus strategy	66-56845-B
focusing on sth	12-8886-B
focussing	20-52549-B
fodder	30-35507-S,48-50187-S,49-317-B,49-392-S,53-63290-B,53-63351-B,54-14573-B,67-58764-S,67-59766-S,69-6892-B
foe	8-13913-B,8-15260-B,16-52528-S,19-66352-S
foeniculum vulgare	54-10513-B
foes	44-6890-S
fog	17-40151-S,23-50971-S,37-4307-B,40-6796-S,40-7770-S,40-16516-S,43-16059-S,61-55706-S,67-45441-B,67-45742-B
fog bound city	67-45961-B
fog or smoke	23-51685-S
fog 成语 saw	16-30454-S,67-45839-S
fogang county in qingyuan 清远	5-3882-B,5-3948-B
fogey	61-43389-S
foggy	49-29-B,67-17715-B,67-45788-B
foil	40-41434-S,48-23597-S,64-9707-B,64-28298-S,64-34830-S,64-34875-S,64-46683-S
foil fencing	53-54556-B
foil sb s plans	27-70063-S
foil to one another	20-55944-S
foil to set off something to advantage	40-40878-S
foist onto sb	49-15743-S
fok 1913 2006	67-43576-S
fold	12-34612-S,15-1270-S,27-8254-S,27-9513-B,29-4131-S,29-4443-B,55-9371-S,57-8923-S
fold a document	29-4072-S
fold in layers	43-64272-S
fold mountain range geol 	57-9178-B
fold mountain system geol 	57-8988-B
fold of upper eyelid characteristic of asian people	63-63146-S,63-63270-S
fold over	20-50514-S
fold over in layers	44-1129-S
fold 成语 saw	1-13726-S
folded document	29-4131-B
folder	17-69457-B,30-25674-B
folder web browser	29-42509-S
folding	29-4504-S,57-8874-B,57-8923-B
folding chair	1-41641-B,27-9619-S,29-4397-B
folding i e portable	27-9551-B
folding knife	27-8707-S,27-8770-S
folding notebook	29-4223-B
folding ruler	29-4348-S
folds	57-10264-B
folds or pleats in a garment	57-10634-B
foliage	48-35322-S,54-12323-S,54-51096-S,54-51628-B,54-64212-S,55-12952-S
foliated	54-52111-B
folic acid	54-52799-B
folk	10-61065-S,36-23351-B,39-42433-S,64-28409-S,70-39346-S
folk art	36-23784-B
folk art consisting of story telling to music	58-32485-B
folk customs	36-23717-B
folk dance	21-1321-S,36-21580-B
folk dancing	67-49778-S
folk festival	61-45733-B,62-37974-B,67-4693-S
folk hero	50-62240-S
folk legend	36-23473-B
folk music	36-21644-B,36-23848-B
folk musical theater	20-64507-B,32-5854-B
folk remedy	3-2395-B
folk singer	36-21884-B
folk song	21-30750-B,36-21842-B,50-39387-B
folk song from wu or from south china more generally	13-2063-B
folk song the east is red 東方紅 东方红	29-64167-S
folk songs	28-22859-S
folk stories	58-15991-S
folk story	36-23562-B,41-49228-S
folk tale	19-10539-S,25-31263-S
folk tale cowherd and weaving maid 牛郎織女 牛郎织女	41-49104-S,41-64050-S,41-64222-S
folk tales	17-18756-S,50-39874-S,50-39945-S
folk theatrical form	58-7574-B
folklore	36-19523-B
folklore personifying pestilence	3-51832-S,3-51918-S,3-55948-S
folks back home	12-52308-S,63-30526-S
folktale	36-23562-B
folkways	36-23997-B
follicle	11-25667-B,36-13879-B,54-52967-B,55-4847-B
follow	4-60547-S,5-24678-S,9-16471-S,20-43346-S,23-65393-B,24-9875-S,24-16899-S,26-62031-S,27-34604-S,28-27562-S,28-27616-S,28-27616-S,30-61935-S,43-38556-S,44-62715-B,60-38054-B,60-38446-B,60-38496-S,60-48612-B,61-43035-B,61-50387-S,61-61013-S,62-68129-S,62-68498-S,62-69010-S,63-1584-B,66-42753-S,66-43690-S,68-21881-S,68-26517-S
follow a line of argument	68-26054-S
follow a model	29-26964-S
follow a narrow path	43-38731-S
follow a prescribed pattern to the letter	1-11646-S
follow a principle	4-55149-S,29-21528-S
follow a set routine	66-30201-S
follow a trail	61-60445-S
follow after	50-42557-S,60-38327-B
follow bad examples	19-17423-S
follow blindly	45-19691-S
follow closely	60-37298-S,60-38229-S
follow directives	62-68385-S
follow fashion	60-31602-S
follow good examples	19-17602-S
follow in other people s footsteps	35-41945-B
follow it 成语 saw	29-18794-S
follow local customs	60-14360-S
follow lustfull desires	25-585-S
follow old patterns	14-62086-S
follow on	23-67756-S
follow on sb s heels	28-27988-S
follow on the heels of	21-15685-S
follow or take	24-41621-S
follow orders	18-3324-S
follow precedent	26-61268-S,60-54065-B
follow precisely	50-15520-S
follow rules 成语 saw	47-2422-S
follow sb closely	60-37794-S
follow sb s precepts is the sincerest form of respect	25-4160-S
follow sb s tracks	60-38372-S
follow sth closely	65-56004-S
follow the above instruction	8-60451-S
follow the bad example of others	12-49154-S
follow the beaten track	2-27077-S
follow the example of	29-62595-S
follow the original shape	41-6785-S
follow the prescribed order	27-62527-B
follow the rules	24-17586-S,41-9730-S,62-68579-S
follow the same road as	64-1093-S
follow the track of an overturned cart	24-1970-S
follow the track of an overturned cart 成语 saw	64-1165-S
follow the vine to get to the melon	68-26576-S
follow up	60-38446-B,61-60591-S
follow up a study	33-46685-S
follow up a victory	3-12783-S
follow up a victory and press home the attack	3-12870-S
follow up music performance	19-25114-S
follow up report	61-60517-B
follow up study	61-60591-B
follow virtue	29-44350-S
follow 成语 saw	27-33444-S,27-34788-S,40-53763-S
followed	2-32595-S
followed by a nasal consonant	71-52526-S
followed by a noun	16-12860-S
follower	23-33895-B,61-61070-B
follower of a religion	30-2764-B
follower of catholicism	17-43415-B
follower of daoism	62-51263-S
follower of inferior stature	51-31941-S
follower of mohist school	16-29468-B
follower of rationalism or neo confucianism 理學 理学	42-53918-S
following	1-58621-B,1-64319-S,3-10907-B,4-35758-B,4-37446-B,28-24935-B,58-47887-S,61-61070-B,66-44837-B,68-26517-B
following a line	37-26444-B
following cart 成语 saw	24-1970-S
following closely	45-30431-B
following clues	68-26576-S
following echo	14-25590-S
following floods	35-21214-S
following from that	66-42845-B
following good advice 成语 saw	24-11114-S
following instructions	35-24167-S,35-24467-S
following morning	31-24801-S
following noun as a direct object	26-65079-S
following numerical value or more	69-14715-B
following on disaster	40-26960-S
following on from that	41-40463-B
following sb s example	57-42693-S
following section	24-191-S
following the break up of the han 220 280	1-32791-S
following the model	37-26550-B
following the straight path 成语 saw	56-30838-S
following up a clue	27-62174-S
following which	66-43086-B
following year	14-25529-S,51-17444-S
following yu the great	19-48857-S
follows	18-30061-S
follows 	31-26055-S
follows a hard won victory	40-63881-S
follows a villain	42-7539-S
follows after 比如 listed examples	13-66256-B
follows another of thrilling story	37-40249-S
follows next	62-30296-S
follows that 	42-55266-S
folly	54-18616-S,56-21681-B
foment	9-61959-B,30-1663-S,50-51348-B
fond of	14-6828-S,14-7675-B,14-8386-S,14-8566-S,14-24419-B,18-26190-S,25-32320-S,25-33666-S
fond of certain food	12-26411-S
fond of sth	25-32627-S
fond remembrance of times past	26-1509-B
fondle	27-70909-S,29-14020-S,45-11012-S
fondle admiringly	25-32509-S
fondly	25-40648-S,43-49806-S,43-50049-S,44-6610-S,50-23673-S
fondly of	45-47007-S
fondly of sb	45-47383-S
fondness	14-24499-B
font	4-45399-S,19-4652-B,19-5113-B,19-7130-B,19-36418-S,32-13127-B
font is wrong should be	48-13836-S
font size on website	19-6423-B
fontanel gap between the bones of an infant s skull	14-58780-B,14-58856-B,14-58954-B
foo	6-25392-S
foochow or fuchow	47-3917-S,47-4060-S
food	1-24314-S,2-52366-S,3-741-S,3-8489-S,3-8595-S,3-21355-S,5-1152-S,8-23047-S,9-29841-S,9-29893-S,9-33748-S,11-67737-S,11-68033-S,12-26411-S,12-26481-S,12-27037-S,14-26362-S,16-47322-S,16-50860-S,17-42837-S,17-72001-S,18-1389-S,22-28864-S,22-28864-S,22-28864-S,23-8532-S,23-8657-S,24-49379-S,28-5694-S,31-39326-S,37-46816-S,38-63060-S,38-64562-S,40-24868-S,40-28022-S,40-28022-S,41-966-S,41-1569-S,41-12175-S,41-14877-S,41-17123-S,41-30379-S,43-57739-S,43-57739-S,44-37218-S,45-3745-S,45-6357-S,48-30317-S,48-35087-B,48-52070-B,49-25349-S,49-66030-S,50-55243-S,50-55817-S,51-9399-S,52-12565-S,54-29482-S,55-22850-S,56-42919-S,57-24309-S,57-34171-S,57-62473-S,57-63378-S,57-63777-S,63-42309-S,65-29927-S,67-7878-S,68-22488-S,68-22764-S,68-22887-S,69-1654-B,69-1913-B,69-2675-B,69-3048-S,69-4421-S,69-5049-S,69-5203-B,69-5670-B,69-5763-B,69-6807-S,69-9600-S,69-10225-B,69-14640-S,69-19151-S,69-19543-B,69-19636-B,69-19676-B,69-20305-S,70-43468-S,71-47528-S,71-52912-S
food additive	38-58207-B,43-17021-S
food additive used as a thickener	71-17272-S,71-22203-S
food and agriculture	49-462-B
food and clothing	12-27339-B,22-14971-B,37-9148-S,45-33672-S,50-49478-S
food and clothing 成语 saw	48-30075-S,59-21826-S
food and drink	12-26848-B,69-6670-B
food and drug administration	15-7933-S,55-34928-S,69-2233-B
food and drug administration authority fda	69-2785-S
food and drug administration sda	69-2105-S
food and remain idle	69-8637-S
food and sex	69-3732-B,69-3795-S
food and warm clothes	39-23292-S
food as the primary need	36-19315-S
food as when ill	24-42190-S
food at sacrifice	5-32698-S
food balls	40-30921-S
food bought at a restaurant	16-50977-S
food briefly then dress with soy etc	41-14374-S
food by steaming it	69-18963-S
food cereals	69-3260-B
food chain	69-2993-B
food company	71-12262-S
food court	21-2340-B
food delicacies	21-31655-S
food delivered	16-51122-S
food dish	45-10338-S
food dish made from the swim bladder of fish	70-37792-S
food dye made from yeast	49-10166-S
food first	36-19315-B
food for 3 days around the qingming festival 清明節 清明节	20-9857-S
food for a journey	48-60663-B
food for show only	69-4893-S
food freshly cooked	41-20682-S
food from landlords during famines before liberation	12-27103-S
food grain	47-10869-B
food growing	43-32787-B
food growing area	43-32850-B
food i e to abstain from cooked food for 3 days around the qingming festival 清明節 清明节	20-9857-S
food in a restaurant	71-37621-S
food in tibet	48-47889-S
food in times of shortages	63-37717-S
food in traditional chinese medicine	69-3117-S
food is required for a meal	64-6462-S
food is the god of the people 成语 saw	36-19315-B
food kept for sb	43-52724-B
food left over from a banquet	27-10032-S
food left 成语 saw	23-49491-S
food made by deep frying plaited dough	71-15415-S
food market	54-29826-B
food oil	69-2929-B
food on a skewer	3-1370-S
food or grain used in a prc economic program c 1955 1993	49-211-S
food or money	57-28106-S
food popular among muslims	27-426-S
food prepared from starch	48-47146-B
food preserved in sugar or honey	56-5034-B
food product	49-66030-S,69-3048-B
food program	46-7903-S
food program united nations aid agency	2-40533-S
food ready to eat	41-16513-S
food safety	69-1972-B
food savory	69-24798-S
food served at a mess hall	4-57074-B
food shop	24-49440-S,62-17395-S,62-17454-S
food specialty	15-12827-S
food store	22-61528-S
food therapy	69-3117-B
food to build up one s health	56-60200-S
food to laborers in the field	69-19197-S
food vessel with a round mouth and two or four handles	48-35521-S
food 成语 saw	42-9630-S
foodborne illness	69-2712-B
foods	21-8874-S,24-42190-S
foods during pregnancy	19-59053-S
foodstuff	42-43743-S,42-44113-S,52-12236-S,69-1913-B,70-17864-S
foodstuff from distant locations	21-31540-S
foodstuffs	5-40294-S,49-532-B
fool	3-26746-S,6-45570-S,6-45972-S,13-7949-B,13-53899-S,17-6136-S,17-18002-S,25-31171-S,25-31884-B,32-10363-S,35-23458-S,48-7387-B,48-7833-B,48-60019-S,54-27639-S,56-21802-B,62-3760-S,69-53447-S,70-29557-S
fool around	70-31726-S
fool of oneself	67-47849-S
fool of oneself by an ignorant blunder	67-47105-S
fool of oneself by excessive ambition	43-59073-S
fool of sb or oneself	8-46220-S
fool s day	25-31111-S
fool s paradise	41-30084-S,55-49299-S
fool with	23-23323-S
fool 成语 saw	57-254-S
fooled	1-54246-S
foolhardy	56-23177-B
foolish	1-30903-B,6-45395-B,6-45674-B,6-45735-B,8-13741-S,13-7893-B,25-54176-B,44-15881-B,44-21440-B,48-7325-B,53-50462-B,69-51721-B
foolish talk	6-45917-B
foolishness	6-45674-B
foot	3-44153-S,3-53837-S,21-11555-S,22-40837-S,23-60149-S,24-5686-S,24-12369-S,26-35533-S,35-42119-B,35-42951-S,39-8552-S,52-26458-S,52-43047-B,52-43116-S,52-46905-S,60-14020-S,60-32150-B,60-36804-S,60-50429-S,60-52076-S,60-52283-S,69-27913-S
foot and mouth disease	26-36293-S
foot and mouth disease fmd	11-70092-B
foot binding	50-46489-B,57-3618-B,57-3618-S
foot drill military	35-42486-B
foot english	13-9903-B
foot fault	60-48228-B
foot fault tennis etc	52-43513-B,52-44020-B
foot fetish	26-4086-B
foot fetishist	26-4143-B
foot in	38-35685-S
foot in anger	60-35088-S
foot in the grave	52-61921-S
foot mouth disease	26-36213-S
foot of a hill	71-9417-B
foot of a mountain	21-32370-B
foot of a wall	41-43881-B
foot of mountain	66-23477-B
foot on	60-46478-S
foot position in dance	52-43165-B
foot soldier	31-2560-S,35-42119-B,60-10009-S
foot syllabic unit in verse	68-14710-B
foot system of ropes through tackle to hold up an awning	12-44089-S
foot unit of area equal to 0 093 square meters	22-41594-S
foot unit of length equal to 0 3048 m 	54-2986-B
foot with six toes	60-33683-B
foot 成语 saw	67-46603-S,67-48446-S
football	15-19717-S,40-3199-S,51-6724-S,51-6808-S,60-32623-B
football association	69-28196-S
football championship game	60-22475-S,60-22595-S
football club	32-14781-S
football confederation	3-61229-S
football fan	60-32887-B
football field	60-32739-B
football forwards	29-47813-S
football move	9-25768-S
football or soccer	60-47695-S
football played with oval shaped ball rugby	35-339-B
football team	32-14430-S,32-14847-S
footballer	42-51412-B
footbridge	34-42841-B,34-45644-B
footed dinosaur group	42-25501-S
foothills	21-33872-B
foothills of a mountain	10-36794-S,11-5774-S,33-26434-S,57-24440-S
foothold	47-61732-B
footing	15-67812-B,16-1087-B,16-14984-S,46-12655-B
footman	60-37696-S
footman servant	60-38095-B
footnote	58-5392-B,58-19675-S,58-61840-S
footnotes	35-36906-S
footnotes at top of the page	45-35658-S
footpath	24-22538-B,60-14290-B,60-49823-B
footprint	52-43269-B,60-32997-B,60-38639-B,60-50638-B,60-50684-B
footprints are rare	4-16593-S
footrest	29-28642-B
footstep	52-43412-B
footsteps	35-41945-S,66-15374-S
footsteps in an empty valley 成语 saw	47-49843-S
footstool	52-43224-B
footway	56-31402-B
footwear	46-21019-S
footwork	35-42829-B
fop	13-52535-S
foping place in shaanxi	5-3446-S
for	2-13416-S,3-5387-S,3-23991-S,3-25831-S,4-15677-S,4-32380-S,4-33061-S,4-36678-S,4-47120-S,5-1329-S,5-5414-S,5-29433-S,5-42158-S,6-13941-S,6-19382-S,6-33035-S,9-6857-S,9-19956-S,9-46850-S,10-13136-S,10-60459-S,11-12109-S,11-42280-S,12-11163-S,13-31236-S,13-31995-S,13-53983-S,14-41110-S,15-55030-S,17-67901-S,18-7609-S,18-7669-S,18-56610-S,19-21705-S,19-32247-S,19-32247-S,19-34558-S,19-34558-S,19-63788-S,20-44603-S,20-45173-S,20-45534-S,20-45986-S,20-46157-B,22-2829-S,22-20776-S,22-52277-S,22-53187-S,23-61667-S,24-10189-S,24-22538-S,24-40583-S,24-54594-S,24-54650-S,24-55459-S,25-1039-S,25-1203-S,25-30673-S,25-35103-S,25-35284-S,25-56738-S,26-3701-S,26-30052-S,26-58729-S,26-58729-S,26-59145-S,26-59384-S,28-55955-S,28-55955-S,28-57082-S,29-22627-S,29-34075-S,29-62256-S,32-16879-S,32-16879-B,32-16879-S,32-16983-S,33-45844-S,35-31631-S,36-3332-S,36-53489-S,38-52859-S,39-6791-S,40-31708-B,40-33251-S,40-54530-S,40-58096-S,41-9093-S,41-38393-S,41-39807-S,41-54542-S,42-26355-S,43-33937-S,43-34006-S,43-34157-S,43-51038-S,44-1787-S,45-32675-S,45-32675-S,45-32731-S,45-38558-S,45-47128-S,45-47184-S,45-47439-S,45-47439-S,45-54176-S,45-57149-S,48-17202-S,48-18596-S,49-49050-B,50-52674-S,53-3732-S,53-18367-S,53-19098-S,54-61159-S,54-61159-S,56-56409-S,57-24785-S,57-24785-S,57-40693-S,57-40973-S,57-61751-S,58-1937-S,58-50390-S,58-51113-S,58-54728-S,59-1003-S,59-23618-S,59-31940-S,59-32156-S,59-32336-S,59-32336-S,59-58551-S,60-4008-S,60-4054-S,60-10224-S,62-33566-S,62-43085-S,63-16291-S,65-47307-S,65-55252-S,66-21334-S,66-21534-S,66-21915-S,68-1348-S,68-29798-S,68-49305-S,69-11213-S,70-6958-S,71-47943-S
for 	5-9558-S,25-8660-S
for 3 days around the qingming festival 清明節 清明节	20-9857-S
for 50 years	63-21240-S
for a ball point pen	48-15005-S
for a bargain	57-62015-S
for a big effort	69-12081-S
for a birthday celebration	16-38309-S
for a bit	26-47344-S
for a bit then give up	31-40189-S
for a bit to give it a try	1-399-S
for a bribe	14-58012-S
for a buddhist monk	47-7422-S
for a building	6-59387-S
for a bus stop	47-62914-S
for a car journey	60-59639-S
for a cause	5-21790-S,35-60364-S
for a championship	1-13600-S
for a cigarette	6-553-S
for a competition	36-12032-S
for a country or theater of operations	50-32484-S
for a crime	11-61101-S,27-10328-S,28-25374-S
for a crop in spring	47-14727-S
for a deficiency	23-51834-S
for a definite condition	26-10105-S
for a dispute	63-52037-S
for a drop in value	6-28714-S
for a fight	20-57374-S,26-6907-S
for a foreign land	67-10589-S
for a foul	8-38622-S
for a good cause	26-7768-S
for a grievance	43-42758-S
for a higher standard	45-58017-S
for a job	10-14326-S,25-59304-S,26-60171-S,27-42863-S,58-50189-S
for a job etc	4-17631-S
for a joking story	26-21428-S
for a journey	30-15081-S,30-16223-S,30-16343-S,33-12398-S,48-60663-S
for a knapsack	52-17491-S
for a lever	29-39700-S
for a lifetime	1-21789-B
for a light	20-52497-S
for a limited time	45-5370-S
for a living	26-43465-S,38-55811-S
for a living esp by donkey	60-29054-S
for a loan	5-65010-S,5-65097-S,5-65250-S,5-65370-S,6-0-S,6-399-S
for a long time	3-9733-S,3-10011-S,16-22769-S,31-13560-B,58-2811-B,65-11797-B
for a long time may be taken for the truth	47-40710-S
for a long time without success	3-9385-S
for a lost wife	71-48348-S
for a mate	26-59452-S
for a meal	43-52724-S,64-6462-S
for a meeting hall or tent	32-23419-S
for a minority group in china	5-9997-S
for a mistake	23-28402-S
for a noble cause	43-13312-S
for a padded coverlet	56-51570-S
for a painter	39-61405-S
for a palanquin	61-30859-S
for a particular person	20-37631-B
for a particular purpose	20-40156-S
for a payment	6-32243-S
for a person over sth that should have happened	25-16325-S
for a photo	12-35578-S
for a photograph	7-11891-S
for a pittance	50-26784-S
for a position	15-66439-S
for a pretext	26-59078-S,26-59290-S,26-59920-S
for a prize	41-38393-S
for a product	23-44029-S
for a production unit or firm	10-19174-S
for a project	21-55534-S
for a prosperous new year	25-3836-S
for a queen	20-43838-S
for a rainy day	47-39927-S,47-40041-S
for a resident permit	16-10555-S
for a rest	34-24098-S
for a rifle	52-17491-S
for a righteous cause	21-10411-S
for a room	26-27365-S
for a room or house	26-27251-S
for a sail	50-40605-S
for a seal	49-34249-S
for a second time	3-35372-S
for a separate task	8-58615-S
for a share of the profits	27-19744-S
for a short time	27-69575-S,36-54759-S
for a short while	1-10572-B
for a shortage	56-58599-S
for a shortcut to get ahead in work or study	56-30838-S
for a single day	1-77193-S
for a single sum	18-8498-S
for a special purpose	41-57674-B
for a special task	41-61308-S
for a specific purpose	41-60402-B
for a spin in the fresh air	7-23398-S
for a supernatural explanation	46-57228-S,70-31065-S
for a task	11-64002-S,71-39111-S
for a test	27-17795-S
for a time	1-8173-B,45-5370-S
for a tooth retaliation	4-38100-S
for a trifle	4-38187-S
for a vacancy	5-62696-S
for a vendor s stall	29-36440-S
for a virtuous ruler	25-33290-S,25-35817-S
for a vote	27-2995-S
for a walk	30-8880-S,39-17990-S
for a woman who is about the age of one s mother	4-58819-S
for a year	22-50514-S
for abbr for 梵語 梵语 or 梵文	34-16915-S
for ablutions in a monastery	40-1105-S
for abraham	3-57696-S
for absent teacher	4-33511-S
for absorption	13-4357-S
for acceptance of a plan	28-29981-S
for accurate measurement	16-14675-S
for achievement 成语 saw	9-48900-S
for action	9-45228-S,23-30388-S
for action etc	30-63224-S
for action to be taken	58-43304-S
for acts of a play	14-54252-S
for address	20-44977-S
for admission	62-70157-S
for admission to a school	6-28321-S
for admission to school	5-40382-S
for advertising or propaganda	27-43922-S
for advice	57-63203-S
for affectionately	25-35284-S
for africa 非洲	67-62839-S
for african kingdom in somalia	32-55749-S
for aged	30-12239-S
for ages	25-7961-S,58-2811-B
for agricultural pest gryllotalpa	15-31755-S,17-53423-S
for agriculture	16-30828-S,23-23193-S,27-32583-S,65-35517-S
for aid in government	59-52142-S
for air	65-42835-S
for all	66-22392-S
for all the rest	54-24159-S
for all to see	23-58459-S,32-36896-S,32-37053-S
for alms	2-37022-S,57-61825-S
for amusement	42-37776-S
for an activity	4-56870-S
for an appointed time	17-66034-S
for an argument	58-44258-S
for an audience	39-45624-S
for an elderly woman	17-13989-S,51-26261-S
for an encounter with a beautiful woman	59-22531-S
for an errand	5-28478-S
for an ethnic minority	5-38381-S
for an exam	51-33705-S
for an examination	16-11997-S
for an expedition	23-64756-S
for an illness	20-52978-S
for an illness 成语 saw	20-53110-S,20-53317-S
for an insurance or legal claim	69-57793-S
for an interview	6-39333-S
for an occasion	30-69854-S
for an offence	58-57092-S
for an official post	8-38212-S
for an old person	16-39035-S
for an opportunity	20-45369-S,26-59702-S
for an organization or enterprise	28-22465-S
for an overview	2-16755-S
for an uprising	51-55210-S
for and collect	28-22246-S
for and educate	58-39292-S,58-39359-S
for and obtain	36-53974-S
for anhui 安徽 province	44-63795-S
for animal or prisoner	35-16024-S
for animals	41-50242-S,54-23186-S
for another	5-63756-S,33-640-S
for another place	8-37873-S
for another purpose	16-24915-S,61-25840-S
for another term of office	62-19570-S
for another use	6-622-S
for anything	1-65809-S
for apartment	65-62598-S
for appointment	62-68010-S
for approximate dates	68-21088-S
for aquatic animals and plants	28-5049-S
for arabia or arabs	17-47711-S
for arrest	27-39323-S
for arriving guests	19-51832-S
for asia since 2001	11-10594-S
for aspirated pinyin p etc	18-47519-S
for astrological purposes	43-30163-S
for athletes	47-1349-S
for athletics competition	60-544-S
for attack	45-62606-S
for auction	34-52804-S
for austria 奧地利	18-12639-S
for austria 奧地利 奥地利 and australia 澳大利亞 澳大利亚	40-2536-S
for avoiding calamity	47-9970-S
for awhile	68-59064-S
for bad person	38-55224-S,39-8428-S
for bail money	57-62134-S
for ball games	42-52560-S
for bank of china boc 中国银行	2-81256-S
for baskets	48-35143-S
for batches	26-56691-S
for bathing	38-14767-S
for battle	20-57374-S,23-7149-S,52-62693-S
