to bet	26-48937-B
to broaden the sources of income and economize on expenditure	65-38362-B
to broil	40-41787-B
to broker a compromise	15-23158-B
to brook no delay	9-14299-B
to browse	38-6344-B,38-35549-B,40-13625-B,51-22480-B,51-23644-B
to browse and select	51-21683-B
to brush	9-12096-B
to brush away	8-65146-B,26-51193-B,27-18279-B
to brush away a tear	27-67533-B
to brush into motion	27-18314-B
to brush lightly	46-40980-B
to brush past sb	29-26557-B
to brush teeth	9-12281-B
to brush up	63-61716-B
to brush with one s sleeve then go 成语 saw	27-18423-B
to bubble	14-260-B,60-17156-B
to bubble up	28-10138-B,38-35933-B,39-13937-B
to buckle up	26-53430-B,49-1351-B
to buckle upwards	8-32016-B
to bud	8-44531-B,54-41385-B
to buddha	24-49978-S
to buddhism and hinduism	54-31156-S
to budge	9-69170-B
to budget	48-43053-S
to buffer	50-23240-B
to build	5-47277-B,5-47570-B,5-48791-B,23-20176-B,23-22647-B,26-40322-B,33-39616-B,45-10338-B,48-20174-B,48-32214-B,55-4968-B,62-17584-B,65-42631-B
to build a framework	28-59691-B
to build a mechanism	9-37279-B
to build a personal fiefdom	47-35354-B
to build by laying bricks or stones	46-12598-B
to build esp with simple materials	28-59401-B,28-60680-B
to build for the first time	52-5090-B
to build housing	41-32219-B
to build one s house	49-41318-B
to build one s house 成语 saw	48-32362-S
to build scaffolding	28-58671-B
to build sth	48-42592-S
to build the capital	23-22958-B
to build up	51-55058-B
to build up an enterprise through painstaking efforts	53-67441-B
to build up and train	30-16449-B
to build up one s health	56-60200-S
to bulge	8-32016-B,47-52686-B,66-38059-B
to bullshit endlessly	39-36045-B,39-36140-B
to bully	5-26139-B,35-23307-B,35-23403-B,35-23559-B,61-32144-B,62-56679-B,62-56839-B
to bully and humiliate	35-23347-B
to bully and insult	5-26078-B
to bully intolerably 成语 saw	35-23119-B
to bully others	42-7048-S
to bully others 成语 saw	4-25829-S
to bully the weakest person	67-22389-S
to bump	28-34847-B,33-0-B,46-30533-B,68-46489-B
to bump against	29-9576-B
to bump into	6-4958-B,29-9576-B,45-29223-B,46-31566-B
to bundle up	11-26671-B
to bundle up one s possessions for a journey	33-12398-B
to bundle up valuables and abscond	28-8195-B
to bungle	59-48697-B
to burial	35-64477-S
to burn	23-29335-S,40-45524-B,41-20966-B,41-26069-B,41-26519-B,41-26814-B,41-27106-B,41-30416-B,41-35329-B,54-53041-B,54-54943-B
to burn a disk	9-15760-B
to burn both fragrant orchids and stinking weeds 成语 saw	55-46040-S
to burn down	40-22877-B,41-27106-B
to burn down 成语 saw	4-26987-B
to burn incence	41-28099-B
to burn incense	40-45578-B,41-27955-B
to burn incense and worship buddha	41-28007-B
to burn incense in prayer to a god	40-45629-B
to burn incense to 成语 saw	28-34984-S
to burn money	41-26338-B
to burn one s boats	46-20447-B
to burn paper offerings as part of religious ceremony	41-27316-B
to burn sth down deliberately	4-26737-B
to burn the books and bury alive the confucian scholars one of the crimes of the first emperor in 212 bc	40-45301-B
to burn the books one of the crimes of the first emperor in 212 bc	40-45198-B
to burn the candle at both ends	16-52636-B
to burn the grass 成语 saw	27-44494-S
to burn the midnight oil	27-65772-B
to burn to death	41-26648-B
to burn up	41-24682-B
to burn with anxiety	24-32657-B
to burn wolf dung to give alarm	42-10321-B
to burnish	27-27299-B
to burst e g a dam	37-13495-B
to burst forth	61-56046-B
to burst into bloom	12-61056-B
to burst into loud laughter	13-37665-B
to burst open	37-330-B,50-11701-B,65-40992-S
to burst out	41-34704-B
to burst out laughing	44-32560-B
to bursting	41-34374-S
to bury	15-61077-B,28-33416-B,41-26420-B,55-27353-B
to bury funerary dolls 成语 saw	18-38317-S
to bury husband and wife together	12-37361-B
to bury in a grave	16-25684-B
to bury one s face	28-62971-B
to bury one s face in one s hands	28-63031-B
to bury one s head in the sand	28-33509-B,65-28278-B
to bury oneself in work 成语 saw	15-61237-B
to bury sth along with the dead	35-60737-B
to bury the hatchet	13-21826-B
to bust guts	46-19744-S
to bust guts and freeze the heart 成语 saw	46-19827-S
to bustle about	33-17135-B,33-17266-B
to butt	41-55525-B,57-47031-B
to butt as horned animals	16-39806-B
to butt in	28-43434-B
to butt in an cause trouble	39-9651-B
to butter sb up	27-30398-B,40-18000-B
to buy	28-62151-S,28-62385-S,38-58274-B,43-44416-S,59-53608-B,59-63456-B
to buy and sell	5-62129-B,28-55578-B
to buy and sell at a profit	5-61061-B
to buy and sell at a profit derog 	5-56009-B
to buy at auction	48-1403-S
to buy back	59-45085-B
to buy it slang	59-45581-B
to buy on behalf of sb	4-33662-B
to buy on credit	59-54946-B
to buy or sell on account	59-54768-B
to buy or sell on credit	59-54863-B
to buy support	20-32974-B
to buy the whole lot	10-13860-B
to buy up sth illegally	18-10427-B
to buy wholesale	26-49387-B
to buzz around	4-1125-B
to bypass	30-67489-B
to cache	16-3647-B
to cadge a meal	60-51702-B
to cajole	13-45937-B
to calcine	40-66175-B
to calcine purify by heating	40-66237-B,40-66314-B
to calculate	8-65300-B,11-36022-B,26-40322-B,26-47888-B,30-19440-B,39-46325-B,45-11783-B,48-23744-B,57-58063-B,57-59255-B,58-17361-B
to calculate an amount	28-31658-B
to calculate inwardly	71-36608-B
to calculate the final bill	37-215-B
to calculate the square	3-13368-B
to calculate using bamboo tokens on a counting board	48-43053-B
to calender	46-13072-B
to calibrate measure or apparatus	19-46234-B
to call	6-5145-B,12-9012-B,12-9073-B,13-16787-B,14-6576-B,25-39828-B,47-34257-B,47-34492-B,55-50662-B
to call a conference	12-10372-B
to call attention to	28-42738-B
to call cat	13-28534-S
to call it 	47-34420-B
to call loudly	13-55160-B
to call loudly 成语 saw	17-31308-B
to call on sb	3-1631-B,26-58729-B
to call on sb to do sth	13-19491-B
to call or praise or criticize sb by name	71-38574-B
to call out	8-38622-B
to call out a name etc	13-18559-B
to call out loudly	17-10269-B
to call out to sb	27-41357-B
to call sb to account	12-20391-B
to call sb to the phone	6-34597-B,6-34678-B
to call sth a cow or a horse 成语 saw	13-19275-B
to call sth a cow or a horse 成语 撒网	13-19119-B
to call sth as a group	49-52667-B
to call sth by a name	47-34862-B
to call the wind and summon the rain 成语 saw	13-19755-B
to call to do something	13-17658-B
to call to mind	25-25494-B,26-12087-B
to call together	12-10008-B,12-10276-B
to call up all one s associates	13-18973-B
to call upon sb	45-34758-B
to calumny	68-64268-B
to calumny maliciously	25-23577-B
to camp	49-30435-B,64-3838-B
to campaign military	8-39709-B
to cancel	5-6552-B,9-8630-B,10-12386-B
to cancel an account	64-33781-B
to cancel an item from accounts	64-34128-B
to cancel out	20-52366-B
to cancel out a crime	32-17871-B
to cane as punishment	61-58854-B
to cannibalize	27-19534-B
to canter	25-50503-B
to canvass	27-42288-B
to canvass for customers	27-41944-B
to cap the roof finishing a building project	20-34465-B
to capacity	39-41373-S
to capacity of theater	41-34425-S
to capsize	6-49091-B,6-49591-B,51-21137-B,57-28358-B,68-46619-B
to capsize and sink	51-22167-B,51-22861-B
to captivate	61-53628-B
to capture	27-194-B,28-2182-B,28-2234-B,28-4752-B,28-4987-B,28-5191-B,29-42166-B,29-47283-B,42-22843-B
to capture a city in battle	66-31881-B
to capture a prisoner	29-18076-B
to capture after search	28-56529-B
to carbon copy	24-14392-B
to care	2-2175-S
to care about	4-23787-B,15-33785-B,15-34951-B,45-39645-B
to care for	45-47439-B,45-57149-B,68-49305-B
to care for affectionately	25-35284-B
to care for and educate	58-39292-B,58-39359-B
to care for sb	25-26046-B
to care for sth	65-55185-B
to carefully inspect	38-61968-B
to caress	29-13652-B
to carouse	42-4594-B
to carp	27-64267-B,27-65442-B
to carry	22-27849-B,26-60379-B,27-12249-S,28-40533-B,29-22384-B,29-33679-B,29-33874-B,47-65236-B,61-6800-B,61-7368-B,61-63346-B,62-42040-B
to carry a disease	22-28699-B
to carry along	66-43589-B
to carry and give to sb else	61-21012-B
to carry away everything	22-27288-B
to carry burden	54-19580-B
to carry esp slung over the arm	27-63799-B
to carry firewood to put out a fire 成语 saw	27-13649-S
to carry hanging down from the hand	28-36446-B
to carry in one s arms	27-12429-B
to carry in the bosom or the sleeve	57-8044-B,57-8552-B
to carry on	11-26049-B,28-27616-B,50-42890-B,62-30357-B
to carry on bent fingers	27-30559-B
to carry on even for a single day	1-77193-S
to carry on intimately with 成语 saw	26-43795-B
to carry on just as before	14-60157-B
to carry on one s ancestral line	6-35294-B
to carry on one s back	59-31102-B
to carry on one s person	66-45029-B
to carry on the back or shoulder	52-16358-B
to carry out	20-13361-B,21-23049-B,24-12792-B,28-32028-B,30-65228-B,54-49558-B,62-30357-B
to carry out a scam	65-44346-S
to carry out a task	21-26473-B,21-26598-B
to carry out a transaction	62-30487-B
to carry out a vendetta against sb	20-44732-B
to carry out an investigation	62-30981-B
to carry out commercial activities	49-58558-B
to carry out communications	62-31068-B
to carry out obligation conscientiously	48-34128-B
to carry out official duties and observe the law	18-2978-B
to carry out one s duty	17-67751-S
to carry out orders	47-13937-B
to carry out propaganda on behalf of	44-29516-B
to carry out research	24-10279-B
to carry out resolutely	30-60385-B
to carry out usu food	22-28864-B
to carry secretly	17-70269-B
to carry sth under armpit	17-69457-B
to carry sth under one s coat	28-51748-B
to carry the can for sb	33-640-B
to carry to	22-28819-B
to carry to burial	35-64477-B
to carve	9-14180-B,23-56627-B,34-39308-B,64-50476-B,66-62191-B,66-62252-B,66-62781-B
to carve a face	65-40767-B
to carve into	8-33615-B
to carve wood	23-52497-B
to cash	7-19975-B,27-8630-B
to cast	27-27154-B,27-27756-B
to cast a spell over sb	61-55774-B
to cast amorous glances at	45-36367-B
to cast away	29-5199-B
to cast blame on	66-32188-B
to cast off an old skin or shell	56-1462-B,56-1584-B
to cast off old ideas etc	29-30386-B
to cast pearls before swine	20-52736-B
to cast pour metal into a mold	65-5965-B
to catalyze a reaction	6-30458-B
to catapult	23-47955-B,23-48043-B
to catch	26-67574-B,27-54700-B,28-4752-B,28-4752-B,28-4987-B,28-5191-B,28-24729-B,42-22843-B,50-55293-B
to catch a big fish 成语 saw	29-53078-S
to catch a criminal	28-2392-B
to catch a disease	24-5886-B,33-42643-B
to catch a thief	27-331-B
to catch and feed on	28-5694-B
to catch and hold on	28-27616-B
to catch cold	11-61036-B,11-62500-B,25-39011-B,44-26762-B
to catch everything in one net 成语 saw	1-17915-B
to catch fire	54-53041-B,60-17320-B
to catch on	68-57086-B
to catch on cloth e g of a zip fastener	12-27264-B
to catch sb off guard	8-35671-B
to catch sight of	45-39443-B
to catch sparrows blindfolded	65-27791-S
to catch the wind	7-23398-B,27-44403-B
to catch up	60-28549-B,61-46517-S
to catch up vigorously	18-18753-B
to catch up with	60-28626-B,60-37450-B,61-60343-B
to catch what sb says	52-278-B
to cater for the masses	17-29049-B
to cater to sb	61-45062-B
to cater to sb to make them happy esp of one s parents	26-61509-B
to cause	4-62149-B,5-12764-B,5-13964-B,5-31008-B,5-51169-B,20-59538-B,23-30950-B,39-27453-B,53-18876-B,58-24393-B,62-18409-B
to cause a commotion	69-55015-B
to cause a dam to collapse	37-12992-B
to cause a lot of trouble	19-58633-B
to cause a problem	62-18478-B
to cause a quarrel by provocation	27-44494-B
to cause a wound to close up and heal	23-50902-B
to cause cancer	53-19636-B
to cause death	19-59314-B
to cause delay or hindrance	59-48697-B
to cause mischief	28-55698-B
to cause oneself trouble with superfluous action	40-57763-B
to cause sb s death	57-25256-B
to cause sb suffering	55-56652-B
to cause sb to do	4-33981-B
to cause sb to feel wronged	18-41608-B
to cause sth	5-51221-S
to cause to burn	23-29335-B
to cause to perish	38-31043-B
to cause to smile	62-4279-B
to cause trouble	25-26737-B,28-55333-B,39-9651-B,39-27184-B,39-27292-B,52-20593-B
to cause trouble to	19-58469-B
to caution the world	63-48043-S
to cave in	8-33547-B,16-15076-B,16-15247-B,66-22958-B,66-31881-B
to cease	2-74275-B,6-5300-S,6-16630-B,50-11045-B
to celebrate	35-31949-B
to celebrate a birthday	62-47365-B
to celebrate a festival	62-48136-B
to celebrate a heroic deed	25-51964-B
to celebrate a holiday	62-42853-B
to celebrate an official appointment	23-47088-B
to celebrate weddings etc	53-59281-S
to cement	52-49394-B
to censor out	9-8384-B
to censure	27-59874-B,70-28610-B
to center on an issue	15-22270-B
to central asia and india	57-14686-S
to central asian zurna	57-53806-S,57-53924-S
to centralize	49-52154-B,66-56610-B
to certain destruction	69-0-S
to certain food	12-26481-S
to certify	48-41116-B
to challenge a statement	28-37347-B
to challenge and admonish boldly	32-69711-B
to chance to	35-35109-B
to change	9-68220-B,24-44371-B,29-43530-B,29-45630-B,29-46088-B,32-6914-B,32-7259-B,32-9259-B,32-9316-B,36-58907-S,36-59048-S,47-26081-B,47-58909-B,59-6936-B,61-24513-B
to change according to the situation 成语 saw	66-44361-B
to change anything now	43-28366-S,43-28618-S
to change appearance	59-9872-B
to change buses	5-61452-B
to change clothes	32-9087-B
to change completely	29-44837-B
to change course to leeward	1-64728-S
to change currency illegally	18-9098-B
to change direction	27-8254-B,61-21855-B,61-30462-B
to change feathers	28-46950-B
to change gear	28-46307-B,28-46414-B
to change gold or silver into money	27-8630-B
to change guard complement	28-47062-B
to change hands of merchandise	5-56958-B
to change horses at a relay station	69-64358-B
to change into	10-20608-B,41-40463-B,59-8600-B,59-10415-B
to change name	32-7391-B
to change one s profession	61-25107-B
to change one s viewpoint	61-21164-B
to change ones name	29-43942-B
to change places	28-45967-B,58-37575-B
to change planes	61-25197-B
to change positions	61-28196-B
to change production	61-25754-B
to change profession	29-45329-B,61-27488-B
to change profession or business	29-44772-B
to change progressively	62-59881-B
to change rapidly	46-55891-B
to change route	29-46382-B
to change schools	61-22539-B
to change shape	59-8131-B,59-9872-B
to change shape in a single shake	28-54741-B
to change shift	28-46705-B
to change shifts	5-59242-B
to change sides in a war	5-56821-B
to change special subject	61-26340-B
to change sth	68-48800-S
to change sth that is already settled upon	32-47262-B
to change the guard	28-46176-B
to change the subject	21-35102-B,26-43373-B
to change train or plane	2-82028-B
to change train plane	28-45791-B
to change trains	61-20946-B,61-28717-B
to change trains or buses	5-54933-B
to change workshifts	28-46251-B
to changes	25-61555-S
to channel	20-58063-B
to channel sth	49-15743-B
to chant	12-65835-B,12-65913-B,13-43912-B,13-48904-B,13-55160-B
to chant the names of buddha	24-49978-B,71-37021-B
to chant the sutras	58-30859-B
to chaotic dynamics	56-8710-S
to chap	15-54379-B,45-1081-B
to char	41-26519-B
to charge	22-29223-B,28-28880-B,29-47554-B,37-12703-B,57-27847-B,59-40430-B
to charge ammunition into gun	56-61155-B
to charge around violently	35-9909-B
to charge forward	42-12280-B
to charge in	65-52510-B
to charge into	56-39263-B
to charity	28-3817-S
to charm	70-33710-B
to charter a car	10-13311-B
to charter a plane	10-16203-B
to charter a ship	10-17563-B
to chase	61-56182-B,61-60761-B,62-1974-B
to chase after	61-60343-B
to chase after a popular person or item	61-57822-B
to chase and beat	61-57618-B
to chat	5-16564-B,30-332-B,30-793-B,31-64026-B,51-43155-B,51-43554-B,58-40628-B,58-41050-B,65-45409-B,65-45464-B
to chat 1980s beijing slang	46-12820-B
to chatter	14-5675-B,14-31770-B,14-31803-B,46-38601-B,52-21533-B
to chatter a lot	14-5722-B
to chatter away incessantly	46-40900-B
to chatter continuously	14-31955-B
to chatter endlessly	49-50095-B,49-50752-B
to chatter incessantly	49-50444-B,49-50698-B
to chatter loudly	49-50634-B
to cheat	5-5628-B,5-6634-B,35-23053-B,35-23518-B,35-23598-B,45-61052-B,49-34937-B,56-35541-B,58-58311-B,69-53447-B
to cheat i e 欺骗	13-7797-S
to cheat sb	69-53530-B
to cheat sb into confessing	69-53583-B
