biān dì qū	23-18869-S
biāo zhǔn huà zǔ zhī	15-17176-S
biāo zhǔn mǎ	15-5884-S,51-5391-S
biāo zhǔn pǔ ěr	34-54379-B
biāo zhǔn shí	34-54319-B
biāo zhǔn shí jiān	33-66764-S,33-67124-S
biāo zhǔn xiàng	34-54050-B
biāo zhǔn yīn	34-54980-B
biāo zhǔn yǔ	34-54917-B
biāo zhǔn zhuàng kuàng	34-54642-B
biāo zhǔn zhuàng tài	34-54533-B
biāo zhǔn zǔ zhī	15-17311-S,34-54753-B
biāo zi	54-11517-S,71-32877-S
biē	25-54240-B,70-47459-B
biē jiǎ	70-47488-B
biē mēn	25-54330-B
biē qì	25-54403-B
biē qún	70-47534-B
biē sān	44-21243-B
biě	11-62981-S,44-21189-B
biě luó shā	44-21334-B
biǎn	10-40146-B,16-33102-S,26-30109-B,41-45750-S,47-54523-B,57-6936-B,59-44279-B,66-28463-S
biǎn chì	59-44638-B
biǎn chóng	26-30757-B
biǎn cí	59-44738-B
biǎn dan	26-30338-B
biǎn dòu	20-64454-S,26-30701-B
biǎn dī	59-44373-B
biǎn gǔ	26-30802-B
biǎn píng	26-30291-B
biǎn pī	26-30253-B
biǎn sǔn	59-44571-B
biǎn táo	26-30399-B
biǎn táo tǐ	26-30584-B
biǎn táo tǐ yán	26-30635-B
biǎn táo xiàn	26-30463-B
biǎn táo xiàn yán	26-30516-B
biǎn xiá	57-6973-B
biǎn yuán	26-30211-B
biǎn yì	59-44518-B,59-44688-B
biǎn zhé	59-44809-B
biǎn zhí	59-37431-S,59-44436-B
biǎn é	10-40231-B
biǎo	1-30647-S,1-38018-S,3-13564-S,3-17679-S,4-11729-S,4-33061-S,5-50902-B,6-53535-S,6-54151-S,6-54452-S,6-62839-S,7-38048-S,8-67578-S,9-43103-S,9-50181-S,15-27946-S,15-44653-S,15-45041-S,16-11499-S,16-12063-S,16-22054-S,16-50406-S,16-54375-S,18-53026-B,21-26132-S,21-53609-S,22-26686-S,26-1806-S,26-36743-S,31-26142-S,31-31669-S,31-32109-S,31-42599-S,31-55636-S,33-64038-S,34-12273-S,34-12456-S,36-27941-S,36-46510-S,37-44167-S,39-21430-S,40-31955-S,43-44205-S,44-33738-S,45-40827-S,48-14366-S,49-53575-S,51-60431-S,53-34889-S,54-36125-S,54-46482-S,55-52848-S,56-43022-B,57-2780-B,57-34521-S,58-13208-S,58-34780-S,58-34842-S,59-52795-S,60-36521-S,62-27509-S,62-29759-S,64-49171-B,64-56471-S,65-438-S,67-36015-S,67-38364-S,69-21954-S,70-8147-S,70-9731-S
biǎo bào	56-43705-B
biǎo bái	56-45683-B
biǎo chǐ	56-44237-B
biǎo cè	56-43380-B
biǎo céng	56-44293-B
biǎo duì	4-33361-S
biǎo dà huì	7-35145-S
biǎo dài	64-49224-B
biǎo dá	15-67507-S,56-46719-B
biǎo dá shì	56-46881-B
biǎo dá shī yǔ zhèng	56-46795-B
biǎo dì	56-44342-B
biǎo guān	56-46320-B
biǎo gé	56-45118-B
biǎo gē	56-43584-B
biǎo gū	56-44083-B
biǎo hú	57-2833-B
biǎo jiě	56-43937-B
biǎo jiě mèi	56-44007-B
biǎo jué	7-61111-S,56-45162-B
biǎo jué bǐ lì	8-39378-S
biǎo jué quán	56-45216-B
biǎo jì	56-46364-B
biǎo jī	11-21370-S,29-9788-S,65-2122-S
biǎo lái kàn	24-11253-S
biǎo lù	56-46962-B
biǎo lǐ	56-46148-B
biǎo miàn	32-28412-S,56-47007-B
biǎo miàn de	56-47463-B
biǎo miàn huà	56-47150-B
biǎo miàn huó huà jì	56-47306-B
biǎo miàn huó xìng jì	56-47384-B
biǎo miàn xìn xī	56-47074-B
biǎo miàn zhāng lì	56-47232-B
biǎo mèi	56-43770-B
biǎo méng zi	64-49392-B
biǎo míng	56-45018-B
biǎo pán	64-49280-B,64-49342-B,65-381-S
biǎo pí	56-45727-B
biǎo pí bō tuō sù	56-45778-B
biǎo qíng	40-61310-S,56-44544-B,68-3761-S
biǎo qīn	56-46268-B
biǎo shuài	56-45381-B
biǎo shuǐ	15-44713-S
biǎo shì	7-61556-S,56-45851-B
biǎo shì céng	56-45940-B
biǎo shì jìng yì	56-46005-B
biǎo shù	56-46635-B
biǎo shēng míng	44-33899-S
biǎo shū	56-43454-B
biǎo tuán	4-33235-S
biǎo tài	56-44877-B
biǎo tǔ	56-43651-B
biǎo xiàn	56-45431-B
biǎo xiàn lì	56-45564-B
biǎo xiàn xíng	56-45626-B
biǎo xiàng	56-46594-B
biǎo xiōng	56-43235-B
biǎo xiōng dì	56-43305-B
biǎo xìng	4-33292-S
biǎo yáng	56-44962-B
biǎo yì	56-44636-B
biǎo yì fú jiē duàn	56-44793-B
biǎo yì wén zì	2-73055-S,56-44700-B
biǎo yīn	56-47533-B
biǎo yǎn	56-45281-B
biǎo yǎn jiǎng	44-33825-S
biǎo yǎn zhě	11-68209-S
biǎo yǔ	56-46427-B
biǎo zhèng	56-46472-B
biǎo zhí	56-43187-B
biǎo zhāng	56-44411-B,56-46088-B
biǎo zhēn	64-49456-B
biǎo zhēng	56-44476-B
biǎo zi	18-53060-B
biǎo zuò	4-33145-S
biǎo zì	56-44130-B
biǎo zǐ mèi	56-43842-B
bo	2-72190-S,3-57696-S,4-5067-B,4-57453-B,4-57778-S,4-57778-S,6-12494-S,6-16689-S,6-36570-S,6-52170-B,7-10638-S,7-17341-S,7-18570-S,9-15653-S,9-28770-B,9-39578-S,9-42526-S,9-64870-B,9-65075-S,11-6045-B,11-10859-B,11-10859-B,11-36743-S,11-56493-S,12-3559-S,12-61108-S,13-13678-S,13-36494-S,13-37401-S,14-260-B,14-291-B,14-291-B,14-350-S,14-27520-S,14-56744-S,14-58738-S,15-46195-S,15-70189-S,16-1316-S,16-29036-S,16-32031-B,16-43122-S,17-5279-S,17-28973-S,18-7199-S,18-11116-S,18-33530-S,19-56723-S,20-4375-S,20-18232-S,20-66652-S,20-69004-S,20-69004-S,21-23405-S,21-48014-B,21-61304-S,22-14900-S,22-22722-S,22-24764-B,22-46430-S,23-6755-S,23-10710-S,23-12832-S,23-28193-S,23-48825-S,24-19753-S,24-21412-S,24-39178-S,24-39178-S,24-61153-S,26-29325-S,26-41790-S,26-58406-S,27-37884-S,27-51538-S,27-64975-S,28-28608-S,28-52985-B,28-60528-S,29-11465-B,29-13442-S,29-15119-B,29-23374-B,29-36126-S,30-8280-S,30-32302-S,30-33318-S,30-54098-S,31-13768-S,31-33577-S,31-63228-S,32-48361-S,33-3407-S,33-36365-S,33-36583-S,33-40753-B,33-40804-B,34-8390-B,34-16047-S,35-9032-S,35-12374-B,35-13749-S,35-20357-S,35-28227-S,35-36581-S,36-10103-S,36-11298-S,36-16923-S,36-42678-S,37-13055-S,37-16917-S,37-18597-S,37-28723-B,37-37425-B,38-3622-S,38-9130-B,38-10297-S,38-20534-S,38-20861-S,38-40031-S,38-43841-S,38-52474-S,38-57573-S,39-2681-B,39-20536-S,39-43136-S,39-46055-S,40-5016-S,40-12283-S,40-59975-S,42-41680-B,43-22234-S,44-45504-S,44-45504-S,45-3035-B,45-22298-S,45-49679-S,45-66662-S,46-15089-S,46-21171-B,46-36579-S,46-43645-B,47-14727-S,47-44120-S,47-47026-S,47-47026-S,48-2561-S,48-23597-B,48-39776-B,48-39807-B,49-3916-S,49-12975-S,49-54527-S,50-5300-S,50-13201-S,50-16845-S,50-29757-S,50-36957-S,50-49735-B,50-57612-S,51-25129-S,51-25207-S,51-25207-S,51-66348-S,52-22755-S,52-22755-S,52-24060-S,52-24060-S,52-29568-S,52-29663-S,52-31585-B,52-46976-B,53-25213-S,53-37440-B,53-38585-S,54-18997-S,54-30715-B,54-59708-B,55-7458-S,55-10957-B,55-10957-B,55-13862-B,55-17886-B,55-17983-S,55-23324-S,55-46999-S,55-46999-S,56-26360-S,56-39524-S,56-42033-S,57-10415-B,57-11804-B,57-37203-S,58-35890-S,58-45992-S,58-61546-B,59-33263-S,59-62148-S,60-22022-S,60-23474-S,60-24510-S,60-36928-B,60-47972-B,61-1344-S,61-7418-S,61-11207-S,61-12123-S,61-19173-S,61-24733-S,61-39084-S,63-32158-S,64-13884-S,64-15353-S,64-22347-B,64-23421-B,64-24406-B,64-28298-S,64-34830-S,64-35263-B,64-46683-S,64-52993-B,64-53029-B,66-2603-S,66-54683-S,67-23554-S,67-31895-S,67-33432-S,67-36223-S,68-10020-S,68-14787-S,68-46489-S,68-46876-S,68-55611-S,68-60710-S,69-13790-B,69-13824-S,69-13824-S,69-18751-B,69-26629-S,69-38157-S,69-38425-S,69-46345-B,69-48128-S,69-51046-B,70-4242-B,70-56401-B,71-39389-S,71-39458-S
bo Dian tai	54-2339-S
bo Gong si	54-2223-S
bo Guo jia Lian meng	66-2895-S
bo Hai	66-3149-S
bo Lian he Qiu chang guo	66-3290-S
bo Mao yi Gong si	2-63348-S
bo Zhong gong Ji tuan Gong si	2-63495-S
bo ai	11-7701-B
bo an	55-18841-B,69-46629-B
bo ba nai cha	37-42139-B
bo ban dao	66-2815-S
bo bao	29-15252-B
bo bao yuan	29-15315-B
bo bi	28-53309-B
bo bo	4-57778-B,9-65075-B,14-350-B,43-22234-S,51-25207-S,53-25213-S,69-13824-B
bo cai	11-7561-B,40-29090-S,54-30744-B
bo cai bi	9-29084-B
bo chan	55-19390-B
bo chang	7-10683-S,37-41861-B
bo che	4-30769-S,28-26607-S,28-28699-S,37-28809-B
bo chi	69-46782-B
bo chou	55-20150-B
bo chu	29-11856-B,29-15184-B,58-10961-S
bo chuan	69-46968-B
bo ci	29-11900-B,69-47016-B,69-47142-B
bo ci wa na	11-9826-B
bo da	11-6934-B
bo da jing shen	11-6990-B
bo dai	55-18574-B
bo dang	37-41592-B,48-39970-B
bo dao	37-38227-B,37-38269-B,69-46457-B
bo de	11-7601-B,24-21458-S,61-6932-S
bo de lei en tu shu guan	4-58397-B
bo di	11-9886-B,55-18344-B,65-62048-S
bo di qu	20-18306-S
bo di zhi	23-13141-S
bo dian tai	2-56642-S,2-66531-S
bo dian ying dian shi zong ju	15-5246-S,23-13405-S
bo diao	9-29046-B
bo dong	11-6184-B,28-53025-B,29-11950-B,37-37654-B
bo dong xing	37-37738-B
bo dou	28-53196-B
bo duan	37-39724-B
bo dun	13-37147-S
bo duo	9-28983-B
bo duo gong	8-55998-S
bo en si	4-58567-B
bo er	16-20659-S,21-13889-S,33-41411-S
bo er Gong chan dang	21-13936-S
bo er bu jing	11-9212-B
bo er de	11-8653-B
bo er duo ye	37-40400-B
bo er gan	37-40528-B
bo er gan di qu	37-40582-B
bo er guo wang	21-14038-S
bo er ni	4-59087-B
bo fa	9-65659-B
bo fang	29-15540-B
bo fang ji	29-15592-B
bo feng	37-38312-B
bo fu	4-59003-B,29-11724-B,37-38415-B,69-46741-B
bo ge	30-42048-S,70-56434-B
bo ge da	37-37851-B
bo gen di	9-65778-B
bo gong si	2-55963-S,7-40988-S,13-42605-S,51-3162-S,51-4005-S
bo gu	37-41823-B
bo gu tong jin	11-6334-B
bo guan	56-34067-S
bo hai	55-19080-B
bo hao	29-12679-B
bo hao pan	29-12730-B
bo hao yin	29-12788-B
bo he	52-21815-S,55-19834-B,69-30758-S
bo he wei zhi fu wu qi	23-12946-S
bo he you	55-19886-B
bo hou	55-18175-B
bo hou mei gu ying li	29-36167-S
bo hua	22-24828-B,29-23436-B
bo hui	2-38103-S,69-46524-B
bo huo	27-65934-S
bo huo gun	29-12583-B
bo ji	24-5558-S,28-53156-B,37-37795-B,48-39893-B,49-3992-S,55-18712-B
bo jian cha	60-23538-S
bo jiang zuo	37-39767-B
bo jiao	66-3414-S
bo jie	4-57837-B
bo jing er	52-31692-B
bo ju	23-12890-S
bo jue	4-58960-B
bo kai	29-12841-B,29-23481-B
bo kao bing	55-19145-B
bo ke	11-7248-B,29-15369-B
bo ke nei xi	33-1344-S
bo ke qiang	69-46910-B
bo kuan	29-12362-B
bo kè nèi xī	33-1344-S
bo la	4-49962-S,15-52772-S,57-65430-S
bo la bing du	15-57686-S
bo la han	3-57778-S
bo lai	22-19620-S,22-19905-S
bo lai Da xue	22-19954-S
bo lai ren	22-19669-S
bo lai shu	22-19750-S
bo lai wen	22-20039-S
bo lai yu	22-19837-S,22-20108-S
bo lan	11-9955-B,37-39927-B
bo lan hui	11-10004-B
bo lan lao cheng	37-40143-B
bo lan qi fu	37-40249-B
bo lan yu	37-41676-B
bo lan zhuang kuo	37-40017-B
bo lang	37-39837-B
bo lang gu	29-12476-B
bo lao	4-58095-B
bo le	69-31944-S
bo le jiao	30-39204-S
bo le qi	23-48941-S
bo lei	15-50177-S
bo lei da zhu jiao	15-50241-S
bo li	2-22102-S,9-29395-B,15-57929-S,38-15715-S,42-41979-B,44-59366-S,47-55589-S,48-45394-S,55-18044-B,55-19505-B,64-40116-S,68-55132-S
bo li bei	42-42084-B
bo li duo xiao	55-18089-B
bo li gang	42-42269-B
bo li guan	42-42139-B
bo li hua	42-42029-B
bo li jian	27-65192-S
bo li ni xi ya	37-37583-B,42-41707-B
bo li ping yuan	49-26920-S
bo li shi huan	49-27022-S
bo li si	11-21047-S,31-23383-S
bo li ti	42-42347-B
bo li xian wei	42-42192-B
bo li ya	30-56342-S,57-12866-S
bo li ya shi	30-56257-S
bo li yan	64-7481-S
bo lin	63-26785-S,63-27804-S
bo lin qiang	33-41354-B
bo ling	52-31646-B
bo long li	14-28259-S
bo lu	24-19802-S
bo lu li	30-33365-S
bo luan fan zheng	29-11584-B
bo lun	23-37495-S
bo luo	9-29307-B,17-23127-S,54-30784-B,66-6988-S
bo luo ji hua	66-7043-S
bo luo mi	53-36776-S,54-30826-B
bo luo mi duo xin jing	53-36914-S
bo luo nei	13-37447-S
bo ma si	13-36661-S
bo man	9-5634-S
bo mei bi zhong ji	37-41106-B
bo mei du	37-41050-B
bo mian	55-20268-B
bo mian zi	69-47308-B
bo ming	55-18255-B,55-18787-B
bo mo	55-19789-B
bo mu	4-58819-B,55-18888-B
bo na	55-16544-S
bo neng xian	24-28215-S
bo nong	29-12188-B,29-15460-B
bo pi	9-29165-B
bo pi qi	9-29237-B
bo pian	64-9707-S
bo pu	37-41783-B
bo qi	9-65919-B,40-12324-S,46-46590-S
bo qie	14-38343-S
bo qing	55-18653-B
bo qu	11-6236-B
bo r	1-9801-S,47-56449-S
bo ran	9-65595-B
bo ren	66-2736-S
bo rong	29-11780-B
bo ru lao	11-16889-S
bo ruo	55-18531-B
bo san zhe	1-13726-S
bo se zi	42-42403-B
bo sen mei	37-39632-B
bo sha	28-53260-B,37-42092-B
bo she	59-35300-S
bo sheng	54-43826-S
bo shi	1-30402-S,9-29348-B,11-6449-B,11-10178-B,20-18402-S,23-13214-S,30-27188-S,38-40101-S,39-46138-S,63-49714-S
bo shi dun da xue	37-38024-B
bo shi duo tong	11-10253-B
bo shi fei	27-65042-S
bo shi hou	11-6671-B
bo shi jie	66-2663-S
bo shi jun	52-14916-S
bo shi jun shu	7-19889-S
bo shi mai lu:	11-6746-B
bo shi qia wen	11-10353-B
bo shi xue wei	11-6530-B,13-47731-S
bo shu	15-31123-S,30-32351-S,37-39595-B
bo shu su	22-14971-S
bo shu zi	66-2993-S
bo shu zu fu	4-58231-B
bo shu zu mu	4-58134-B
bo si	9-67489-S
bo si dao	9-67572-S
bo si li ya	37-39517-B
bo si pu lu si	37-39159-B
bo si pu lu si hai xia	37-39234-B
bo si yi long	60-7719-S
bo song	29-15783-B
bo su	52-22803-S
bo sù	52-22803-S
bo ta	66-7348-S
bo tai ci qi	55-19661-B
bo tai kong wang yuan jing	13-36548-S
bo tang	66-3212-S
bo tao	37-39875-B
bo te	22-21012-S,22-21576-S,33-67682-S,37-40656-B,50-55437-S,60-7817-S,66-7415-S
bo te lu:	37-40692-B
bo te qun dao	12-41194-S
bo te shi zheng hou qun	12-38860-S
bo tian	55-19449-B
bo tong xun she	23-57294-S
bo tuo su	56-45778-S
bo wa	54-22162-S
bo wang	23-13277-S
bo wang chao	12-61181-S
bo wang lu	23-13331-S
bo wei	37-28771-B
bo wei er	9-5718-S
bo wen	37-40935-B,66-3070-S
bo wen duo shi	11-9379-B
bo wen qiang ji	11-9483-B
bo wen qiang shi	11-9608-B
bo wu	11-8835-B,55-20227-B
bo wu duo wen	11-8882-B
bo wu guan	11-9038-B,17-33232-S,35-52077-S
bo wu yuan	11-8988-B
bo xi shi rou liu	11-15548-S
bo xian yue qi	29-12251-B
bo xiao	55-18933-B
bo xing	9-65715-B,37-38555-B,55-18473-B
bo xiu hui	26-52842-S
bo xue	9-28804-B,11-7086-B
bo xue duo cai	11-7134-B
bo xue zhe	9-28860-B,56-51228-S
bo ya	11-10486-B
bo yang	48-39853-B
bo yang hou zang	55-20465-B
bo ye la	11-15488-S
bo yi	11-7421-B,69-47057-B
bo yi ge keng	1-2577-S
bo yi lun	11-7507-B
bo yin	29-15840-B,50-37150-S
bo ying	29-15659-B
bo yong	29-12632-B
bo you ceng	55-19026-B
bo yu	50-49790-B,66-3489-S
bo yuan	23-13075-S
bo yue	23-48877-S
bo yun	69-47202-B
bo yun jian ri	29-12887-B
bo yī gè kēng	1-2577-S
bo za	69-47263-B
bo zang	11-29964-S
bo zhan	28-53090-B
bo zhe	37-38754-B
bo zheng	29-12424-B,69-46854-B
bo zhi	64-34875-S
bo zhong	29-15724-B
bo zhong shu ji	4-57644-B
bo zhong zhi jian	4-57571-B
bo zhu lan	28-31265-S
bo zhu liu	66-44702-S
bo zhuang re	37-40807-B
bo zhuang yun	37-40879-B
bo zhuo	9-28924-B
bo zi	9-68028-S,29-12098-B,52-31611-B,60-36963-B,69-46582-B
bo zi man	37-41521-B
bo zi tan	29-12137-B
bo zou	29-12056-B
bo zu	60-37013-B
bo · Ma li	70-41987-S
bo1	2-72190-S,6-12494-S,6-36570-S,7-10638-S,9-28770-B,9-39578-S,9-42526-S,12-3559-S,12-61108-S,13-13678-S,14-260-B,14-350-S,14-56744-S,15-46195-S,15-70189-S,16-1316-S,16-29036-S,16-43122-S,17-28973-S,18-7199-S,19-56723-S,20-4375-S,20-18232-S,20-66652-S,21-48014-B,22-46430-S,23-12832-S,23-28193-S,23-48825-S,24-19753-S,24-61153-S,26-41790-S,27-64975-S,29-11465-B,29-13442-S,29-15119-B,30-8280-S,30-54098-S,31-13768-S,31-33577-S,31-63228-S,33-36365-S,33-36583-S,34-16047-S,35-9032-S,35-13749-S,35-20357-S,35-36581-S,36-16923-S,36-42678-S,37-13055-S,37-37425-B,38-3622-S,38-20861-S,39-46055-S,40-5016-S,40-12283-S,40-59975-S,42-41680-B,45-3035-B,45-22298-S,45-49679-S,45-66662-S,46-15089-S,46-21171-B,47-14727-S,47-44120-S,50-5300-S,50-16845-S,50-29757-S,50-49735-B,51-66348-S,54-18997-S,54-30715-B,55-13862-B,55-17983-S,56-39524-S,57-37203-S,58-35890-S,58-45992-S,60-22022-S,60-23474-S,60-24510-S,61-1344-S,61-7418-S,61-19173-S,61-24733-S,64-13884-S,64-15353-S,64-24406-B,67-23554-S,67-31895-S,67-33432-S,67-36223-S,68-14787-S,68-55611-S,69-13790-B,69-26629-S,69-38425-S,69-48128-S,71-39389-S,71-39458-S
bo1 Dian4 tai2	54-2339-S
bo1 Gong1 si1	54-2223-S
bo1 ba4 nai3 cha2	37-42139-B
bo1 bao4	29-15252-B
bo1 bao4 yuan2	29-15315-B
bo1 bo1	14-350-B
bo1 bo5	69-13824-B
bo1 cai3 bi3	9-29084-B
bo1 cai4	40-29090-S,54-30744-B
bo1 chang2	7-10683-S,37-41861-B
bo1 chu1	29-11856-B,29-15184-B
bo1 chu2	58-10961-S
bo1 ci1	29-11900-B
bo1 dang4	37-41592-B
bo1 dao3	37-38227-B,37-38269-B
bo1 di1	65-62048-S
bo1 di4 qu1	20-18306-S
bo1 di4 zhi3	23-13141-S
bo1 dian4 tai2	2-56642-S,2-66531-S
bo1 dian4 ying3 dian4 shi4 zong3 ju2	15-5246-S,23-13405-S
bo1 diao4	9-29046-B
bo1 dong4	29-11950-B,37-37654-B
bo1 dong4 xing4	37-37738-B
bo1 duan4	37-39724-B
bo1 duo1 gong1	8-55998-S
bo1 duo2	9-28983-B
bo1 er3	16-20659-S
bo1 er3 duo1 ye4	37-40400-B
bo1 er3 gan1	37-40528-B
bo1 er3 gan1 di4 qu1	37-40582-B
bo1 fang4	29-15540-B
bo1 fang4 ji1	29-15592-B
bo1 feng1	37-38312-B
bo1 fu2	37-38415-B
bo1 fu4	29-11724-B
bo1 ge1 da4	37-37851-B
bo1 gong1 si1	7-40988-S,13-42605-S,51-3162-S,51-4005-S
bo1 gu3	37-41823-B
bo1 guan3	56-34067-S
bo1 hao4	29-12679-B
