to crush and bury	16-32967-B
to decay	52-37307-B,56-47997-B
to deceive	28-33271-B,35-23053-B,35-23598-B,38-54978-B,45-61052-B,48-60019-B,49-34937-B,54-64597-B,56-35541-B,58-58311-B,69-53447-B
to deceive oneself	28-33509-B,53-7165-B,53-7215-S
to deceive others and to deceive oneself	53-7215-B
to decentralize	1-60063-B
to decide	5-5478-B,9-2522-B,19-43542-B,36-65380-B
to decide after consultation	13-59203-B
to decide after investigating	46-13319-B
to decide to do something	36-65552-B
to deciduous tooth 乳牙	24-67753-S
to decipher	57-51655-B
to declare	4-64970-B,19-54544-B,22-13546-B,43-43352-B,43-43809-B,66-29978-B
to declare dutiable goods at customs	16-11316-B
to declare one s view	58-31559-B
to declare publicly	19-53661-B
to declare to be untrue	12-66933-B
to declare to customs	43-42930-B
to declare to customs or to the taxman	16-11415-B
to declare war	19-54674-B
to declassify	57-48713-B
to decline	1-57993-B,1-64037-B,8-25848-B,11-27977-B,27-31875-B,28-29436-B,28-32176-B,39-1189-B,56-47922-B,56-48421-B,58-56090-B,61-61322-B,66-30672-B,68-61443-S
to decline an appointment	28-32498-B
to decline over time	47-39267-B
to decline to attend	61-62148-B
to decline with sincere thanks	25-58426-B
to decode	51-20733-B,57-51655-B,57-52446-B
to decompose	41-35858-B
to decompress	57-48626-B
to decorate	4-65637-B,5-47277-B,5-49913-B,26-44346-B,39-61985-B,51-2408-B,56-60642-B,57-1109-B,69-8964-B,71-41721-B
to decorate one s speech or writing with literary allusions	61-24943-B
to decorate with a row of colored garlands	53-55691-B
to decrease	1-64037-B,38-66655-B,39-303-B,39-372-B
to decrease and then grow	38-32953-B
to decrease inflammation	38-31219-B
to decypher	57-52446-B,63-53787-B
to decypher an old script	63-53299-B
to dedicate	18-3821-B,30-11276-B,59-34679-B
to dedicate oneself to progress	48-58546-B
to deduce	20-58146-B,28-30425-B,28-31106-B,28-31517-B,28-32094-B
to deduct	26-53948-B
to deem	57-29018-B,57-35492-B
to deep freeze	8-20682-B
to deep fry	37-22988-B,40-30857-B
to deepen	9-57423-B
to deeply admire	3-55815-B
to defame and persecute	59-13225-B
to defame one person while flattering another	59-13125-B,59-13375-B
to default on a debt	27-35542-B
to default on one s debts	27-36954-B
to defeat	10-3774-B,17-19224-B,26-40554-S,26-42312-B,26-45462-B,27-70063-B,29-48304-B,29-65695-B,46-17659-B,68-31452-S
to defeat militarily	29-47909-B
to defecate	17-5687-B,27-22436-B
to defect	11-66405-B
to defect from the communist party	11-66579-B
to defend	5-34047-B,5-39721-B,50-4727-B,56-36962-B,56-40413-B,61-38747-B,65-59670-B,65-63234-B,65-63367-B
to defend a championship	56-18272-B
to defend a point of view etc	61-37920-B
to defend against an accusation	8-58683-B
to defend legal rights	50-3767-B
to defend oneself	8-58873-B,43-44484-B,61-37774-S,61-37920-S
to defend oneself 成语 saw	53-15053-S
to defend the crown in sports championship	56-37092-B
to defend the republic 1915	59-4342-S,59-4465-S,59-4893-S
to defend the republic 1915 or national protection war	59-4686-S
to defense	65-59830-S
to defer	23-18112-B,27-36231-B
to defer to the judgement of superiors	62-68385-B
to defile	36-57117-B,36-57209-B,36-62434-B,48-63066-B,48-63181-B,63-48619-B
to define	1-59410-B
to define a species	34-58234-S
to deflate air from a tyre	37-60178-B
to deflower	18-42940-B
to deform	60-11322-B,60-11393-B,60-12011-B,60-12069-B
to defraud	5-5628-B,15-51920-B,58-6544-B,58-19206-B,65-59527-B
to defuse conflicts	10-24711-B
to defy	27-3989-B,62-57528-B
to defy an edict	62-58609-B
to defy the times and reject custom 成语 saw	62-57612-B
to degenerate	38-45409-B,38-45519-B,54-50114-S,56-47997-B,59-7697-B,61-61986-B
to dehisce of fruit or cotton bolls	65-41441-B
to deify	18-4374-B
to delay	17-72066-B,23-16336-B,23-17679-B,23-17884-B,23-18623-B,23-19422-B,25-8865-B,27-35886-B,27-36231-B,28-29436-B,46-38274-B,51-42432-B,58-29973-B,60-57811-B,62-67360-B,62-67788-B
to delay finishing off a job	27-36036-B
to delay payment	59-54946-B
to delay working	25-63967-S
to delegate	1-60063-B,61-24372-B
to delegate one s work	61-23943-B
to delete	5-6552-B,9-8309-B,9-8384-B,9-8630-B,9-38983-B,11-38137-B
to deliberate	30-37194-B,56-40631-B,56-41108-B,58-58136-B,63-36936-B
to deliberate and decide	20-22549-B
to deliberately make things difficult	8-48844-B
to delight in other people s misfortune	22-51338-B
to delight the eye 成语 saw	42-58917-S
to delimit	9-38983-B,9-39448-B
to delineate	9-40031-B,10-12386-B,10-12490-B
to deliquesce chem	39-63498-B
to deliver	3-66603-B,3-66773-B,6-41612-B,27-2096-B,53-18876-B,61-63346-B,61-63449-B
to deliver goods	3-72069-B
to deliver personally	68-1049-B
to delve into	65-10435-B
to demand	27-63512-S,36-53489-B,49-26044-B,49-26257-B,57-26552-B,57-61751-B,67-39558-B
to demand an answer	58-4549-B
to demand details	57-62924-B,57-62985-B
to demand immediate action	9-14299-B
to demand insistently	23-44500-B
to demand instant success	24-59123-B
to demand payment	57-27847-B,57-63636-B,61-59151-B,61-60825-B
to demand redress for a grievance	43-42758-B
to demand repayment	57-62189-B
to demand repayment of debt	6-32131-B
to demarcate	9-39448-B
to demarcate a boundary	34-55151-B
to demobilize	24-16668-B,61-62234-B
to democracy	36-18202-S
to demodulate	57-52346-B
to demolish	27-19401-B
to demolish an argument	69-46457-B
to demolish using explosives	41-34782-B
to demonstrate	39-46269-B,46-46709-B,56-45281-B,58-59605-B,68-51719-B
to demonstrate as a protest	46-45854-B
to demote	59-44279-B
to demote a party cadre to work on the shop floor or countryside	1-60063-B
to demote to a lower rank	66-17672-B
to demur	3-41599-B
to deng xiaoping s policies from around 1980	29-46898-S
to denote	57-66192-B
to denounce	27-59874-B,27-60989-B,30-37900-B,43-43287-B,43-43865-B,53-26867-B,69-46782-B
to denounce loudly	12-30965-B
to deny	12-66424-B,12-66933-B,26-48997-B,69-46782-B
to deny a crime	2-15507-B
to deny access	49-47493-B
to deny through sophism	42-8241-B
to deny without a hearing	1-16717-B
to depart	62-55942-B,67-8589-B,67-10741-B
to depart from beijing	67-10873-B
to depart this life euphemism	61-36316-B
to depart this mortal coil	4-29656-B
to depend	20-1024-B
to depend on	4-25681-B,4-25931-B,5-24153-B,5-25786-B,5-25922-B,6-26115-B,25-54808-B,25-54889-B,25-55314-B,28-7420-B,29-23527-B,32-39687-B,59-62463-B
to depend on one another for survival	45-26684-B
to depend on others	6-26284-B
to depend on sth for existence	5-24336-B
to depend ultimately on taiwan usage	48-164-B
to depict	28-35975-B
to deplane	1-64847-B
to deploy	4-65637-B,58-39968-B,63-23196-B,63-38527-B
to deploy troops	4-65060-B,22-13738-B,66-26731-B
to depose	7-21052-B,7-21419-B,68-5085-B
to depose a king	23-8844-B,23-10156-B
to depose from office	29-10938-B
to deposit	6-58847-B,19-7846-B,20-1492-B,59-41275-B
to deposit money	6-59602-B,19-8679-B
to depreciate	59-44436-B
to depress prices	16-32623-B
to depute	5-16361-B
to derail	52-33942-B
to derive	20-58146-B,28-31517-B,36-64579-B
to derive from raw material	38-1109-B
to derived a value	20-58249-B
to descend	1-58841-B,66-16685-B,66-18010-B
to descend to	66-17819-B
to descend to the world of mortals	1-61781-S
to describe	12-57141-B,28-35975-B,28-36042-B,28-36098-B,28-36251-B,28-36308-B
to describe at great length	64-38281-B
to describe in writing	54-53792-B
to describe sth as	14-23198-B
to describe the girth of a tree trunk	12-34246-S
to desert	11-66405-B,27-28514-B
to deserve	6-4215-B,58-16475-B,63-37075-B
to deserve one s good fortune	27-9271-S,27-9340-S
to design	4-46276-B,58-2309-B
to designate	27-59940-B,57-56976-B
to desire	22-20776-B,25-30762-B
to desire strongly	25-1039-B
to desire strongly esp sth unattainable	25-1203-B
to desist	5-364-B,25-62688-B
to despach troops	9-57359-B
to despair	14-23974-B,17-65960-B,53-6985-S
to despatch	20-2542-B,38-1445-B
to despise	5-26239-B,11-36743-B,21-641-B,55-10348-B,55-17886-B,63-32052-B,63-32158-B
to despise worldly conventions	42-37925-B
to despoil	48-63066-B,48-63181-B
to destroy	12-26030-B,14-14021-B,22-42421-B,26-42312-B,35-62128-B,36-2530-B,36-2989-B,39-26327-B,46-18216-B,46-21348-B
to destroy by melting or burning	64-33872-B
to destroy by smashing	29-10019-B
to destroy homes for new building projects	38-60738-B
to destroy indiscriminately the noble and common	55-46040-S
to destroy root and branch	9-31199-S,30-38497-B
to destroy with explosives	40-31255-B
to detail	1-11646-S,1-11876-S
to detain	26-53732-B,35-22929-B
to detain a prisoner	27-39179-B
to detain and question	26-53793-B
to detain in custody	27-16236-B
to detain sb as prisoner	27-38371-B
to detect	6-20154-B,6-20755-B,35-13811-B,39-4208-B
to detect a scent	51-56769-B
to detect e g radio waves	35-13749-B
to deteriorate	8-25848-B,56-48421-B,66-30672-B
to deteriorate with age	56-48342-B
to determine	9-2522-B,19-43542-B,30-58791-B,36-65380-B,36-65552-B,39-4602-B,46-33291-B
to determine a fact	58-20384-B
to determine a location	19-48735-B
to determine cause of death etc	69-58223-S
to determine chemical composition	19-45219-B
to determine policy	37-0-B
to determine right and wrong based on public opinion 成语 saw	31-38042-B
to determine the direction	19-44139-B
to determine the nature usually of error or crime	19-45219-B
to determine the position of the capital	18-11781-B
to determine the root of a word by removing prefix and suffix	58-10961-B
to determine the sentence on a criminal	64-5065-B
to detest	11-36316-B,11-36692-B
to detonate	23-29335-B,41-34489-B,60-17366-B
to detoxify	57-50723-B
to devaluate	59-44436-B
to devaluate a currency	59-37431-B
to devastate	36-2656-B
to develop	27-32044-B,27-70792-S,39-27696-B,39-45300-B,39-47005-B,44-25775-B,44-28236-B,44-34911-B,46-14734-B,48-41567-B,56-35596-B,56-36147-B,65-11737-B,65-33779-S,65-39144-B
to develop a photo	68-49965-B
to develop an idea	44-29645-B
to develop border regions	65-35517-B
to develop nuclear weapons	44-28495-B
to develop one s abilities freely	21-22490-B
to develop one s own school	42-19607-B
to develop rapidly after abrupt turn 成语 saw	24-60079-B
to develop the nation effectively	4-25249-S
to deviate	41-41718-B
to devise battle plan in a tent 成语 saw	61-46766-S
to devote	18-3821-B,53-18876-B,59-34679-B
to devote oneself to	42-26355-B
to devour	12-64770-B,12-65758-B
to devour ravenously	42-9630-B
to diagnose	58-4946-B
to diagnose and treat	58-5082-B
to dice vegetable	8-61544-B
to die	1-48200-B,1-58328-B,2-46147-B,3-14873-B,3-28325-B,3-65726-B,3-71048-B,4-29656-B,5-5891-B,5-5943-B,11-37536-B,14-11586-B,14-13081-B,14-40812-B,17-38441-B,21-9998-B,23-51622-S,28-4283-B,29-58356-B,34-18136-B,35-55300-B,35-55724-B,35-57021-B,35-60046-B,35-60081-B,36-51336-S,36-52991-B,37-8514-B,38-45091-B,40-50255-B,51-20623-B,53-21966-B,57-32105-B,58-55878-B,60-40370-B,60-40427-B,61-36316-B,62-16451-B,62-28547-B,62-43182-B,67-10792-B,69-52910-B
to die a hero	49-43629-B
to die a martyr	21-10411-B
to die a pauper	35-58424-B
to die buddh 	15-50970-B,35-54707-B
to die by battle ax 成语 saw	30-38074-B
to die by taking poison	35-64050-B
to die by violence	35-8875-B
to die euph 	60-9375-B
to die exclusively of the emperor	31-44560-B
to die for a good cause	26-7768-B
to die for one s country	35-60419-B
to die in a disaster	35-57708-B
to die in an accident	50-55018-B
to die in one s bed at a ripe old age	16-39105-B
to die in the line of duty	35-60677-B
to die in violence	7-1906-B
to die of a broken heart	6-44391-B
to die of emperors and kings	3-14932-B
to die of illness	44-10814-B,44-12584-B
to die of old age	16-39105-B
to die of persecution	8-14862-B
to die off in winter	8-27217-B
to die out	17-68867-B,38-28924-B,38-42195-B,39-26327-B,39-26704-B,41-11531-B,46-16540-B,56-47922-B
to die out of livestock	5-58683-B
to die prematurely	17-63317-B
to die together in the name of love	35-60477-B
to die tragically	25-48533-B
to die when one s predestined life span is up	16-38519-B
to die with a remaining grievance	35-55881-B,35-56041-B
to die without a burial site	35-58424-B
to differ	2-23526-B,21-63306-B,28-37347-B,36-53676-S
to differ in no way from	40-57468-B
to different people	8-56156-S
to differentiate	8-58683-B,9-38983-B,10-40561-B,61-35632-B,61-37298-B,65-6418-B
to difficult or delicate situation	58-63531-S
to dig	9-4929-B,27-66754-B,27-66915-B,64-50704-B
to dig a canal	65-38189-B
to dig a hole	27-67050-B
to dig a well	65-11126-B
to dig into	65-8433-B
to dig into piles of outdated writings 成语 saw	65-9381-B
to dig into studies	65-10894-B
to dig out	27-66858-B,65-35895-B,65-35963-B
to dig out a cave	27-67139-B
to dig out a channel	44-2153-B
to dig up	8-37476-B
to dig up roots and inquire at the base 成语 saw	9-5303-B
to dig up the root	9-5144-S
to digitalize	30-20941-B
to digitalize e g data	30-23640-B
to digress	60-14649-B
to diguise oneself as sb else	6-8183-B
to dilute	29-4880-B,29-33095-B,29-33487-B,37-13650-B
to diminish	38-66655-B,39-303-B,59-44279-B
to dine	21-11012-B
to dinner	19-60229-S,58-42762-S
to dip a finger 成语 saw	33-42747-B
to dip in ink	55-46794-B
to dip into	38-35321-B
to direct	20-57991-B,27-56927-B,27-58003-B,27-59067-B,45-56148-B,49-52542-B,54-59022-B
to direct at	64-18702-B
to direct bad language at sb	25-23374-B,25-23672-B
to direct blindly	45-58620-S
to direct current	30-15757-S,30-15843-S
to direct towards sth	20-46157-B
to dirty	70-4683-B
to disagree	20-46297-B,25-30185-B,28-37347-B
to disappear	38-28857-B,49-45227-B,66-48171-B,66-48248-B
to disappear like a stone dropped into the sea	46-6237-B
to disappear with no hope of returning	37-43366-S
to disappear without trace 成语 saw	40-51030-B
to disapprove	1-67242-B,45-37438-B
to disassemble	27-19903-B
to disassociate	62-38485-B
to disaster	69-11675-S,69-11878-S
to disavow	26-48997-B
to disband	30-6990-B,30-8349-B,62-63990-B
to discard	3-26889-B,23-8961-B,23-9517-B,26-51124-B,27-27409-B,27-40856-B,34-18065-B,34-18533-B,36-64480-B
to discard four	14-50208-B
to discard the dregs	11-37588-B
to discern	9-2215-B,58-61889-B
to discharge	28-15041-B,37-59628-B,44-27628-B,57-8415-B,57-51963-B,61-37012-B,63-53161-B
to discharge cargo	11-27785-B
to discharge into	28-15308-B
to discipline	25-63111-B,48-26321-B,55-48615-B,64-50234-B
to discipline sb	55-49195-B
to disclaim	26-48997-B,59-62463-B
to disclose	12-61393-B,28-48560-B
to disclose information	62-1897-B,62-15921-B
to discontinue	2-72782-B,2-74275-B
to discount	27-9409-B,38-66856-B
to discount the interest on a bill of exchange	59-48250-B
to discover	33-45654-B,44-31357-B
to discover any defect 成语 saw	13-5675-S
to discriminate	9-2215-B,10-40764-B,43-59841-B,61-35632-B,61-37298-B
to discriminate between people	1-20498-S
to discuss	13-60571-B,13-61027-B,13-61666-B,28-59188-B,38-306-B,57-63426-B,58-6946-B,58-8063-B,58-40628-B,58-41953-B,58-42012-B,58-44001-B,58-55460-B,59-3729-B
to discuss a matter with sb	28-26662-B
to discuss a plan	48-42510-B,48-43256-B
to discuss a poem over a long period	43-52116-S
to discuss and evaluate	58-7045-B
to discuss official business	59-3039-B
to discuss passion and talk of love 成语 saw	58-41353-B
to discuss sb s merits and demerits 成语 saw	58-33789-S,58-44834-S
to discuss seriously	46-36928-B
to discuss sth enthusiastically	37-59085-B
to discuss sth on its own merits	21-9175-B
to discuss the merits of an argument	58-54885-B
to discuss the weather	20-9209-B
to discuss two disparate things together 成语 saw	45-28990-B
to discussing an issue	49-50978-S
to disdain to do sth	2-6805-B
to disease	7-20561-S
to disembark	1-49098-B,11-27847-B
to disgorge	38-2176-B
to disguise oneself	10-24632-B,14-15720-B,26-54681-B
to disillusion	22-53718-B
to disinfect	36-912-B
to disintegrate	14-46630-B,43-11775-B,46-27964-B,57-53470-B
to dislike	18-58581-B,45-37438-B
to dismantle	27-18654-B,27-18788-B,27-19401-B,27-19903-B
to dismay	69-61337-B
to dismiss	7-21052-B,57-47449-B,61-37012-B,62-63990-B
to dismiss from office	57-51963-B
to dismiss military hierarchy using wine cups	33-13968-B
to dismiss on employee	57-51899-B
to dismiss sth with a laugh 成语 saw	4-26876-B
to dismiss with a sigh 成语 saw	4-26525-B,4-26631-B
to disobey	27-4346-B,55-36085-B,62-55617-B,62-55687-B,62-55899-B,62-57163-B,62-57483-B,62-57528-B,62-58609-B
to disobey and cause delays	62-58519-B
to disobey one s benefactor	62-57206-B
to disparage	59-44571-B
to disparage the present 成语 saw	5-64777-S
to dispatch	20-3109-B,22-343-B,38-350-B,44-34712-B,49-42036-B,61-64124-B,63-38688-B
to dispatch an expedition against	4-54853-B
to dispatch i e organize the distribution of vehicles	58-37123-B
to dispatch sb somewhere	38-899-B
to dispatch sb to do sth	26-46980-B
to dispatch troops	8-36061-B
to dispel	46-54055-B,46-54542-B
to dispel anguish	62-63938-B
to dispel blood stasis in traditional chinese medicine	46-54454-B
to dispel cold in traditional chinese medicine	46-54126-B
to dispel depression or melancholy	38-30133-B
to dispel doubts	10-24711-B,26-46316-B,38-32869-B,46-54207-B,57-48808-B,57-48935-B,57-51524-B,63-53490-B,63-54353-B
to dispel phlegm general term of traditional chinese medicine	46-54255-B
to dispel phlegm in traditional chinese medicine	46-54351-S
to dispel the clouds and see the sun 成语 saw	29-12887-S
to dispel usu with negative	63-52972-B
to disperse	13-5629-B,14-50311-B,28-49382-B,30-6990-B,30-8280-B,30-9587-B,30-10030-B,44-2328-B,47-28344-B
to disperse a meeting	30-8575-B
to disperse after a happy time 成语 saw	6-56311-B
to disperse in confusion 成语 saw	1-4752-B
to disperse water	30-8944-S
to display	8-43223-B,44-29645-B,50-57419-B,56-45431-B,58-1576-B,64-37538-B,66-26233-B,66-27861-B,68-32111-B,68-51719-B
to display and sell e g at a fair	21-22886-B
to display goods	64-37473-B
to display one s ability for the first time	9-1737-B,9-1864-B
to display one s ignorance	67-47105-B
to display one s remarkable skill or prowess	17-40811-S
to display originality 成语 saw	42-18392-B
to display talent	38-7683-B
to display the teeth	71-55979-B
to disport oneself	42-39722-B
to dispose	63-23196-B
to dispose of	64-37473-B
to dispose of a matter	3-28194-B
to dispose of sth	29-39483-S
to dispose of sth by selling	8-44147-B
to dispose of stolen goods	64-34209-B
to dispute	8-56456-B,26-42747-B,49-2067-B,49-24229-B,61-37718-B,71-55618-B
to disregard	2-29178-B,50-52674-B
to dissect a sparrow	57-47813-S
to dissect an animal	57-47624-B
to disseminate	6-35715-B,6-36570-B,19-53782-B,30-8280-B,38-2002-B,38-3037-B,64-37950-B
to disseminate widely	26-24834-B
to dissimulate	11-67094-B,28-33271-B
to dissipate	38-30418-B,51-38269-B
to dissipate everywhere of light	23-51277-B
to dissolve	10-24711-B,39-24060-B,56-10377-B,57-47102-B
to dissuade	10-11795-B
to distant parts	62-63661-S
to distill	40-64960-B,69-18872-B
to distinguish	8-58683-B,9-2649-B,10-40764-B,43-12612-B,43-59841-B,58-61889-B,61-35632-B,61-35797-B,61-37298-B,61-38102-B,63-52237-B,65-6418-B
to distinguish an army unit or the name of its general	31-3456-S
to distinguish between different things	8-56280-B
to distinguish clearly	9-39811-B
to distinguish good and bad	8-48969-B
to distinguish good and evil 成语 saw	23-58150-B
to distinguish it from 劉宋 刘宋 song of southern dynasties 420 479	60-29569-S
to distinguish real from imitation	45-40885-S
to distinguish the genuine from the fake	45-41030-S
to distinguished two different kinds of bacteria	68-5256-S
to distort the truth deliberately	68-45759-B
to distract	8-52935-B,8-53717-B
to distribute	8-49349-B,8-59002-B,44-26230-B,44-28686-B,49-62411-B,50-57419-B
to distribute alms	30-65228-B
to distribute evenly	15-47723-B
to distribute proportionately	29-35985-B
to disturb	23-59946-B,26-45407-B,28-54982-B,29-31305-B,29-36586-B,29-36856-B,50-45833-B,69-55015-B
to disturb by making a noise	13-2457-B
to disturb by noise	14-11247-B
to disturb you	57-63086-S
to ditch	37-62332-B
to dive	39-58196-B,60-44774-B
to dive down fast	5-50294-B
to dive for pearls	28-21697-B
to dive of goalkeeper in soccer	29-16485-B
to diverge	11-41878-B,21-35102-B
to diversify	16-59246-B
to divert a road or a watercourse	29-46382-B
to divert funds	27-69732-B
to divert investment	61-26493-B
to divert oneself from loneliness	28-18135-B
to divert oneself from melancholy	30-8040-B
to divert water	23-27332-B
to divide	8-48969-B,8-50590-B,8-57967-B,8-59567-B,9-39314-B,9-40828-B,33-32149-B,57-47102-B,66-21221-B,66-40089-B
to divide and confer property on one s descendants	8-51621-B
to divide angles	8-58113-S
to divide equally	15-47392-B
to divide exactly without remainder in integer arithmetic	30-16522-B
to divide ill gotten gains	8-58535-B
to divide into	8-53076-B
to divide into groups	8-57296-B
to divide into ten equal parts	10-45083-B
to divide sth into parts	8-56383-B
to divine	3-21764-B,11-10886-B,11-10937-B,11-12065-B,11-12248-B,60-18358-B
to divine by astrology	11-12291-B
to divine using the trigrams	11-11015-B
to divorce	67-9281-B
to divulge	19-54987-B,39-44214-B,62-1832-B
to divulge a secret	67-48195-B
to divulge all one s trade secrets	43-48410-S
to divulge secrets	37-59628-B
to divulge the inside story	37-59877-B
to do	4-33981-S,5-5414-B,6-13941-B,18-28980-S,20-8131-S,22-36558-B,22-52002-B,23-23323-B,24-10189-B,27-54093-S,28-57082-B,30-65228-B,32-46573-S,37-8720-S,37-63609-S,40-12776-S,40-31590-B,40-45929-S,40-53763-S,41-40600-B,48-32362-S,51-31657-S,56-30633-B,61-34549-B,62-30357-B
to do a favor	22-35810-B
to do a good turn	22-35810-B
to do a secret or dishonest deal	65-34530-B
to do a somersault	27-10840-B
to do all one can	9-46850-B
to do anything	2-34552-S,25-63435-S
to do anything about it	33-11474-S,37-11100-S
to do anything about it 成语 saw	33-11937-S
to do as he pleases	52-514-S
to do as instructed	41-9730-B
