wáng xīng	8-15740-S,17-51183-S,38-22558-S
wéi	1-17859-S,1-39466-S,2-3499-S,2-10262-S,2-83913-S,3-10011-S,3-29873-S,3-31677-S,3-40755-S,4-14066-S,4-17088-S,4-38004-S,4-53552-S,4-69068-S,5-2623-S,5-7962-S,5-27579-S,6-15435-S,7-8420-S,8-56383-S,8-67033-S,9-21390-S,10-13731-S,10-23082-S,11-24960-S,11-35163-S,12-33881-S,12-35535-S,13-7230-S,13-11289-S,13-54577-B,13-60403-S,14-45238-B,14-63748-B,15-21267-B,15-37178-B,16-43994-S,16-46307-S,17-21195-S,17-21298-S,17-30185-S,18-33163-S,20-68579-S,21-39009-B,21-43816-S,21-43868-S,21-47096-B,22-29596-B,22-33575-B,22-49859-S,23-2478-S,24-55730-S,24-63212-S,25-4351-S,25-17103-B,26-10713-S,26-27686-S,26-29143-S,27-17995-S,32-21128-S,32-36316-S,33-4995-S,34-3812-B,34-29184-S,34-35498-S,36-24441-S,37-58592-S,39-9856-B,39-64956-B,40-11003-B,40-31590-B,40-32406-S,40-53009-S,40-53583-S,40-56204-S,40-56315-S,41-21007-S,41-40600-B,42-33784-S,42-36343-S,42-42192-S,43-16121-S,43-56046-S,44-52329-S,45-7863-S,46-32826-S,46-60387-S,47-34420-S,47-34862-S,47-52975-S,48-30762-S,49-52667-S,50-839-B,50-41114-S,50-47278-S,51-55870-S,52-7539-S,52-20447-S,52-24396-S,52-42065-S,52-48192-S,55-11417-S,56-34199-S,57-30610-S,57-34264-S,57-35492-S,57-48419-S,57-66726-S,58-7690-S,58-21041-S,59-10415-S,62-26968-S,62-55617-B,63-33655-B,63-47356-S,63-57081-S,64-50045-B,65-50907-B,65-66137-S,65-68010-S,68-9973-B,68-33263-S,69-38376-S,70-20142-S,70-42497-B,71-11279-S,71-11379-S
wéi bié	62-55942-B
wéi bèi	62-57340-B,62-58307-B
wéi bó	68-10020-B
wéi běn	4-35812-S
wéi cháng	51-17875-S
wéi chéng	15-21673-B
wéi chí	50-3373-B
wéi chí fèi	50-3438-B
wéi chū	64-4838-S
wéi chǎng	15-21780-B
wéi cí	67-42985-S
wéi cóng	50-47318-S
wéi duō lì yà	50-2094-B
wéi duō lì yà dǎo	50-2357-B
wéi duō lì yà gōng yuán	50-2156-B
wéi duō lì yà gǎng	50-2585-B
wéi duō lì yà hú	50-2666-B
wéi duō lì yà nǚ wáng	50-2247-B
wéi duō lì yà pù bù	50-2762-B
wéi duō lì yà zhōu	50-2437-B,50-2511-B
wéi dài shù cù	70-20202-S
wéi dàn bái	50-47704-S
wéi dá	50-4815-B,68-10728-B
wéi dì yà	54-63045-S
wéi dìng	1-20861-S
wéi dù	50-3182-B
wéi dú	13-55106-B,25-17325-B
wéi dōu	15-21364-B
wéi fu	9-67774-S
wéi fàn	62-57806-B
wéi fù bù rén	40-32311-B
wéi fāng	40-11041-B
wéi fāng dì qū	40-11117-B
wéi fāng shì	40-11215-B
wéi fēi zuò dǎi	40-33310-B
wéi fū	41-59162-S
wéi fǎ	62-57749-B
wéi fǎn	62-56169-B
wéi guān zhǐ	4-34251-S,14-27136-S
wéi guī	62-58369-B
wéi guǎn shù	50-4427-B
wéi guǎn zhù	50-4488-B
wéi gé	70-40658-S
wéi gé nà	68-10359-B
wéi gān	34-3839-B,34-3877-B
wéi gōng	11-46026-S,15-22032-B
wéi gǔ	62-32397-S
wéi huái	20-24848-S
wéi hè	4-39331-S
wéi hé	50-1802-B,62-56270-B
wéi hé bù duì	50-1848-B
wéi hù	49-61138-S,50-4727-B
wéi hǔ zuò chāng	40-33077-B
wéi jié fū	34-10755-S
wéi jiā sī	27-23685-S
wéi jiān	32-42151-S,35-42280-S,42-10744-S
wéi jiāo	50-47650-S
wéi jiǎo	11-45906-S,15-21401-B
wéi jì	62-58120-B
wéi jìn	62-57912-B
wéi jìng	45-47760-S
wéi jí ěr	50-1422-B
wéi jī	50-1921-B
wéi jī bǎi kē	50-1958-B
wéi jī tòng	50-47581-S
wéi jīn	15-21937-B
wéi jīng rén	50-1019-B
wéi jǐ yǒu	29-24445-S
wéi kuài	1-4444-S
wéi kuài lè zhī běn	9-60911-S
wéi kàng	62-57483-B
wéi kè	22-16646-S,27-24307-S,49-6397-S,63-17432-S,67-22233-S
wéi kè duō · yǔ guǒ	50-1268-B
wéi kè tuō	50-1365-B
wéi kùn	15-21550-B
wéi kē	68-10691-B
wéi kōng jiān	1-39520-S,14-52304-S,60-22983-S,70-20312-S
wéi liú	46-60457-S
wéi luó nà	50-4677-B
wéi lán	15-22124-B
wéi lè	9-61028-S
wéi lì	37-14658-S,40-60766-S,52-44020-S,55-23360-S,62-55753-B
wéi lì fù míng	62-56008-B
wéi lì shì tú	13-54683-B
wéi lì yà	16-20791-S
wéi lìng	62-55687-B
wéi lí	15-22225-B
wéi líng	10-23835-S
wéi lā	50-3321-B,66-10589-S
wéi lā ěr jiǎo	11-16207-S
wéi lǐ nuò	16-21237-S
wéi lǒng	15-21982-B
wéi miào wéi xiào	25-17181-B,50-2996-B
wéi mìng	45-26532-S,62-56221-B
wéi mín	9-17070-S
wéi mù	22-33628-B
wéi mù tíng	68-10158-B
wéi mǎ	27-61419-S
wéi mǐn jié	24-55789-S
wéi nà	71-29314-S
wéi nà sī	9-67827-S,50-4549-B
wéi nà sī qún dǎo	69-40005-S
wéi nán	40-33251-B,62-32227-S
wéi náng pào zhèng	50-47385-S
wéi nì	62-58609-B
wéi ní	20-67244-S
wéi nóng shí	2-34820-S
wéi nüè	9-61525-S
wéi páng dà	34-35552-S
wéi pí jiǔ	44-52379-S
wéi píng dì	17-68922-S
wéi qiáng	7-3039-S,15-22180-B
wéi qiáng líng ruò	62-56679-B,62-56839-B
wéi quán	50-3767-B
wéi quán rén shì	50-3826-B
wéi qí	15-22077-B,23-61241-S,43-11684-S,50-2889-B,54-26699-S
wéi qí bù lián xù miàn	54-26814-S
wéi qíng	67-12988-S
wéi qún	15-22345-B,65-61193-S
wéi qī	40-32619-B
wéi qīn	4-41576-S
wéi rào	15-22270-B
wéi rán	1-67242-S
wéi rén	40-31899-B,46-57751-S
wéi rén bù fù	40-32129-B
wéi rén shī biǎo	40-31955-B
wéi rén zhī	2-17902-S
wéi rì	68-10078-B
wéi shèng	11-49943-S,61-24800-S
wéi shì kǎ	50-2041-B
wéi shì pīn fǎ	68-10428-B
wéi shí	40-32484-B
wéi shí guò zǎo	40-32545-B
wéi shí jué sú	62-57612-B
wéi shí kōng	14-52205-S
wéi shù	50-3500-B
wéi shā mò	54-25107-S
wéi shēng	40-33025-B
wéi shēng sù	50-4374-B
wéi shī	27-44712-S,62-56603-B
wéi shǐ tuó	33-5062-S
wéi shǒu	40-33458-B
wéi si	33-47122-S
wéi suǒ yù wéi	40-32406-B
wéi sù	50-47527-S
wéi sī	26-24074-S,42-58699-S,51-45439-S
wéi sī bēi	26-24148-S
wéi sī kǎ	68-10301-B
wéi sī · pǔ léi sī lì	15-59873-S
wéi tiān	36-19315-S
wéi tiān hài lǐ	62-56364-B
wéi tiān luó dì wǎng	54-46662-S
wéi tiān nì lǐ	62-56484-B
wéi tuó pú sà	68-10789-B
wéi tè	50-4199-B
wéi tè gēn sī tǎn	50-4239-B
wéi tā mìng	50-1072-B,50-3102-B
wéi wò	61-46766-S
wéi wù	62-58519-B
wéi wù lùn	13-55033-B
wéi wù zhǔ yì	13-54968-B,61-38395-S
wéi wú mǐ zhī chuī	21-60253-S
wéi wú ěr	50-1495-B
wéi wú ěr rén	50-1565-B
wéi wú ěr yǔ	50-1734-B
wéi wú ěr zì zhì qū	30-52769-S
wéi wú ěr zú	50-1642-B
wéi wǎng	54-46821-S
wéi wǔ	62-57163-B
wéi xiàn	40-56377-S,62-57432-B
wéi xiào	25-17181-S,46-18091-S,50-2996-S
wéi xián	4-41706-S
wéi xiāng	16-36999-S
wéi xiū	50-1124-B
wéi xiū qū	50-1208-B
wéi xì	50-4608-B
wéi xìn bèi yuē	62-55804-B
wéi xìng xuàn yùn	13-11361-S
wéi xùn	2-32595-S
wéi xī	60-42394-S
wéi xīn	26-5808-S,31-25212-S,44-54549-S,50-3566-B,62-56960-B
wéi xīn lùn	13-54901-B
wéi xīn pài	50-3633-B
wéi xīn zhī yán	62-57055-B
wéi xīn zhǔ yì	13-54824-B,19-53205-S
wéi xǐ	61-23554-S
wéi yuē	62-58231-B
wéi yà	16-19573-S,16-20273-S,27-25228-S,30-39762-S,30-39846-S,42-41778-S,54-63861-S
wéi yà kè luó dì yà yǔ	16-20333-S
wéi yà mín zhǔ dǎng	16-20463-S
wéi yà yǔ	16-20577-S
wéi yàn	15-21735-B
wéi yán	62-58447-B
wéi yì kè	42-18641-S
wéi yìng wù	68-10237-B
wéi yí	10-25111-S
wéi yíng	26-24252-S,35-42696-S
wéi yē duō	18-16144-S
wéi yě nà	50-949-B
wéi yī	12-36299-S,12-36818-S,13-54641-B,25-17135-B
wéi yī biāo zhǔn	20-15514-S
wéi yī tǐ	56-11272-S
wéi yīn	5-58479-S
wéi yīn guǒ	3-45199-S
wéi yǐ shèn	2-17994-S
wéi yǒu	10-23974-S,25-17287-B
wéi zhuàng	50-47471-S
wéi zhù	15-21311-B
wéi zhāng	62-57977-B
wéi zhāng zhě	62-58054-B
wéi zhēn	50-4323-B
wéi zhī jǐ	57-35580-S
wéi zhǐ	9-10051-S,40-32709-B
wéi zhǔ	11-46384-S,40-31748-B
wéi zhǔ yì	56-34266-S
wéi zhǔn	40-32865-B
wéi zuò	15-21594-B
wéi zú	50-3699-B
wéi ài	62-57862-B
wéi ào	62-55899-B,62-57528-B
wéi è	15-68766-S
wéi āi	55-40448-S,55-41084-S
wéi āi gòng hé guó	2-80662-S
wéi āi shè huì zhǔ yì gòng hé guó lián méng	55-40595-S
wéi āi é guó	55-40507-S
wéi ēn fù yì	62-57206-B
wéi ēn gé	23-2301-S
wéi ěr	9-5718-S,22-15124-S,22-15427-S,25-37428-S
wéi ěr dé luò fū	30-42280-S
wéi ěr dǎo	22-15190-S
wéi ěr fú léi zi	68-10526-B
wéi ěr jiǎo	11-16296-S
wéi ěr jīng qún dǎo	51-6499-S,54-3153-S
wéi ěr niǔ sī	50-4115-B
wéi ěr pān	24-27945-S
wéi ěr róng	50-3904-B
wéi ěr sī tè lā sī	50-4014-B
wéi ěr wǎ	68-10642-B
wén	1-14325-S,1-45579-S,2-806-S,2-72138-S,3-6837-S,3-45085-S,4-10214-S,4-22245-S,4-65964-S,4-66051-S,5-7087-S,5-32267-S,5-43280-S,5-47922-S,6-38994-S,7-118-S,7-16767-S,7-36896-S,7-60170-S,8-29866-S,9-20103-S,9-57944-S,11-8882-S,11-10353-S,11-20222-S,11-33318-S,12-2290-S,13-8255-S,13-28185-S,14-55911-S,15-19258-S,16-48170-S,17-47315-S,18-1489-S,18-42404-S,19-13786-S,19-16850-S,19-21091-S,22-3757-S,22-20039-S,22-21757-S,22-29127-S,23-26720-S,23-28977-S,24-4508-S,24-8318-S,24-27032-S,25-46988-S,26-9999-S,26-29570-S,26-29869-S,27-20707-S,27-60931-S,27-63216-S,29-16065-S,29-24876-S,30-497-S,30-8414-S,30-25365-B,30-30985-S,30-32918-S,30-40774-S,30-54060-S,31-7134-S,31-9426-S,31-24015-S,31-40793-S,32-2964-S,32-35262-S,32-48019-S,32-64147-S,33-4599-S,34-4395-S,34-14424-S,34-14859-S,34-17416-S,34-56568-S,35-9332-S,35-27963-S,35-36906-S,36-5648-S,36-41244-S,37-5033-S,37-31926-S,37-40935-S,37-46939-S,39-49662-S,39-57789-S,42-33629-S,42-35236-S,42-35975-S,42-37493-B,42-43810-S,43-42322-S,43-61823-S,44-19377-S,44-39498-S,44-46332-S,45-1277-S,45-19833-S,46-28454-S,47-9812-S,48-38991-S,48-41671-S,48-59209-S,49-14566-B,49-58927-S,50-23761-S,50-30094-S,50-37304-S,50-38650-S,50-53210-S,50-58647-S,50-61239-S,51-56383-B,51-57206-S,51-67318-S,52-1213-S,52-1335-S,52-27997-S,53-16095-S,53-24599-S,53-59527-S,54-3568-S,54-24271-S,54-34101-S,54-58287-S,54-63322-S,55-30969-S,55-52633-S,55-57681-B,56-14536-S,56-54569-S,57-17664-S,57-20550-S,57-27197-S,57-30720-S,58-25663-S,58-34449-S,58-44338-S,59-2711-S,59-6702-S,59-9227-S,60-17526-S,60-26729-S,60-27064-S,60-30592-S,61-24943-S,62-33391-S,62-54485-S,63-48742-S,63-53299-S,63-59529-S,64-10649-S,64-31884-S,65-804-S,65-38724-S,65-50367-B,65-50745-B,66-3070-S,66-12072-S,66-32759-S,67-4886-S,67-13320-S,67-17673-B,68-12332-S,68-17495-S,68-38439-S,69-20682-S,69-32334-S,70-37021-S,71-37209-S
wén bào	5-42085-S
wén bù	30-31231-B
wén bù qǔ	8-53913-S
wén bù rú yī jiàn	44-55966-S
wén bù shěng	30-31290-B
wén bù wèn	2-25579-S
wén běn	30-28816-B,60-21083-S
wén běn biāo jì yǔ yán	60-21389-S
wén běn chuán shū xié dìng	60-21138-S
wén běn chuán sòng xié yì	60-21263-S
wén bǎn	2-72277-S
wén bǐ	30-30262-B
wén bǐ shì	43-61942-S
wén chuán tōng xùn shè	15-16789-S
wén chuí	51-33463-S
wén chuí shì	51-33522-S
wén chuāng wài shì	7-47401-S
wén chéng	30-28061-B
wén chù	29-54775-S,30-55137-S
wén chāng	30-28304-B
wén chāng yú	30-28370-B
wén chū	51-56769-B
wén chū bǎn zǒng shǔ	30-54170-S
wén duàn zì	58-62591-S
wén duì zhào	2-79777-S
wén duō shí	11-9379-S
wén dà xué	69-26806-S
wén dàng	30-28862-B
wén dào	51-56854-B
wén dá	51-57506-B
wén dì	23-21266-S,39-49741-S,66-38995-S,70-34824-S
wén dì liú héng	39-49826-S
wén dì yáng jiān	66-39086-S
wén dí shí	11-14808-S
wén dān wèi	17-47416-S
wén dēng	30-29769-B
wén dēng shì	30-29846-B
wén fáng sì bǎo	30-28129-B
wén fú lǐ	55-52717-S
wén fā bù huì	30-54655-S,30-54737-S
wén fā yán rén	30-54819-S
wén fēng	69-50763-S
wén fēng bù dòng	30-31671-B,49-15396-B
wén fēng sàng dǎn	51-57577-B
wén fēng zhèn	30-27737-B
wén fēng ér dòng	51-57662-B
