lā jiā	69-38107-S
lā shān mài	13-50657-S
lā shān xì	47-21601-S
lā shī tè lā bāng	69-35022-S
lā shǐ	27-22436-B
lā shǒu	27-22975-B
lā sà	27-25406-B
lā sà shì	27-25443-B
lā sà tiáo yuē	27-25491-B
lā sè ěr shì	22-22592-S
lā sì	53-45110-S
lā sī	27-23758-S,37-62157-S,43-55532-S,50-4014-S,62-53585-S,63-27348-S,66-4147-S,66-9181-S,69-37369-S
lā sī bǎo	30-41745-S
lā sī gē	33-65919-S
lā sī jiā	7-27972-S,66-4193-S
lā sī jiā zhōu	7-28044-S,66-4251-S
lā sī nuò dá ěr	7-16335-S
lā sī nuò yà ěr sī kè	7-16231-S
lā sī pà ěr mǎ sī	27-23603-B
lā sī wéi jiā sī	27-23685-B
lā sǎ lù	27-23199-B
lā ta	63-14179-B
lā tiě	29-7295-S
lā tuō wéi yà	27-25228-B
lā tài shū	9-55894-S
lā tè	15-58734-S,54-63735-S,60-8319-S
lā tè bāng	12-690-S,12-1262-S
lā tè gé sī dà xué	27-24384-B
lā tè hòu qí	40-36258-S
lā tè lì qún dǎo	30-41106-S
lā tè qián qí	40-36151-S
lā tè qí	62-53633-S
lā tè shěng	60-8388-S
lā tè sī	49-26726-S
lā tè zhōng qí	40-36042-S
lā tú	22-58750-S,33-41049-S
lā tú zhé xué	33-41115-S
lā tú zhǔ yì	30-49944-S
lā tǎ sī	66-3875-S
lā wéi	65-66137-S,69-38376-S
lā wéi fū	41-59162-S
lā wéi è	15-68766-S
lā wén kè láo	27-23350-B
lā wén nà	27-23420-B
lā wān	19-10406-S
lā wēi xī	55-39143-S
lā wǎ	4-58660-S,16-17286-S,66-4755-S
lā wǎ xī	27-24560-B
lā xióng	51-33362-S
lā xīn	27-25933-B,31-27342-S
lā yà	31-48221-S
lā yī	54-9230-S
lā yī shēng	14-31146-S
lā yǎ	14-9735-S
lā yǎ shān	14-9800-S
lā yǎ shān mài	14-9873-S
lā yǎ zú	57-17540-S
lā yǐ nán	29-6486-S
lā yǐ nán fēi zhōu	29-6560-S
lā yǔ	19-10475-S
lā zhì	19-23239-S,27-21311-B
lā zú	22-5239-S,29-7216-S
lā zú zì zhì xiàn	24-16956-S
lā zā lù	27-21491-B
lā zī	27-22249-B
lā · duō jié · rén bō qiè	14-38343-S
lā ěr	12-597-S,26-4627-S,38-19832-S,40-35811-S,66-4502-S
lā ěr jiǎo	11-16207-S
lā ěr shì	66-4623-S
lā ěr shān	40-35881-S
lā ěr shān mài	40-35963-S
lā ěr wéi kè	27-24307-B
lā ěr wǔ shì	13-38545-S
lā ōu kēi	11-14135-S
lāng	1-25915-S,13-41491-S,13-41580-S,14-444-B,14-37907-S,43-66351-S
lāng dāng	14-497-B
lāng lāng	13-41491-S,14-37907-S
lāo	26-44926-S,28-5049-S,29-5340-B,39-42310-S
lāo jú	29-64088-S
lāo zhēn	17-25213-S
lē	38-15840-S
lēi	9-67127-B,25-1797-S
lēi bó zi	9-68028-B
lēi jǐn	9-67901-B
lēi jǐn kù dài	9-67952-B
lēi ná	51-51778-S
lēi sī zhàn	51-48429-S
lěi	1-25603-S,6-56934-B,6-60317-B,16-6111-S,16-7464-S,16-14049-B,16-14332-S,16-31025-S,16-34196-B,20-48233-S,27-37342-S,31-11186-S,32-62760-S,33-36437-S,34-50410-B,39-37569-S,46-36760-B,46-38174-B,47-40194-S,49-30721-B,49-49897-B,51-37583-B,53-53910-S,53-60565-S,55-6896-S,55-17603-B,55-21874-S,55-32876-B,58-18060-B,59-31224-S,59-49107-S,60-35674-S,62-23328-S,65-56504-S,71-2267-B
lěi 5r	7-18516-S
lěi dé	53-47352-S
lěi fàn	49-30913-B
lěi gù	16-34245-B
lěi jiā qì	49-30792-B
lěi jì	49-31110-B
lěi jī	25-50158-S,49-30993-B
lěi luò	7-9855-S,46-36805-B
lěi luǎn	3-29733-S,11-22330-S
lěi lěi	33-36437-S,59-31224-S
lěi qiú	16-34285-B
lěi shù lùn	16-6168-S
lěi sēn yán	16-31073-S
lěi sī biān	55-17629-B
lěi wǔ	53-53949-S
lěi yuán	60-35743-S
lěi yuè	30-15222-S
lěi yáng	51-37610-B
lěi zhèng quán	6-25232-S
lěng	8-16822-S,8-20613-B,8-20641-S,20-9143-S,24-34298-S,44-26762-S,51-42009-S,60-31027-S,66-23715-S
lěng cáng	8-23047-B
lěng duī	46-5401-S
lěng dàn	8-21880-B
lěng dàn guān xì	8-21931-B
lěng dòng	8-20682-B
lěng fáng	8-21249-B
lěng fēng	13-5114-S
lěng gǎn	24-61220-S
lěng hú	8-22027-B
lěng jì	53-18995-S
lěng jìng	8-23804-B
lěng kù	8-23600-B
lěng kù wú qíng	8-23656-B
lěng luò	8-22947-B
lěng lěng	8-20641-B
lěng miàn	8-23856-B,8-23953-B
lěng mén	8-23742-B
lěng mò	8-22090-B
lěng mò duì dài	8-22188-B
lěng nuǎn zì zhī	8-21293-B
lěng què	8-20742-B
lěng què jì	8-20793-B
lěng què shuǐ	8-20903-B
lěng què tǎ	8-20845-B
lěng qì	8-21503-B
lěng qì hòu	60-31100-S
lěng qì jī	8-21570-B
lěng ruò bīng shuāng	8-22818-B
lěng rè dù shù	8-22366-B
lěng shuǐ	8-21629-B,39-56712-S
lěng shuǐ jiāng	8-21720-B
lěng shuǐ tān	8-21802-B
lěng shì fǎn yìng duī	36-25867-S
lěng sè	8-22308-B
lěng sēn sēn	8-21423-B
lěng tiān	8-20978-B
lěng xiào	8-22659-B
lěng xuè	8-23123-B
lěng xuè dòng wù	8-23190-B
lěng yàn	8-22755-B
lěng yán lěng yǔ	8-23291-B
lěng yù	8-23530-B
lěng yǎn	8-22458-B
lěng yǎn páng guān	8-22548-B
lěng yǐn	8-23908-B
lěng yǔ	8-23291-S,8-23392-B
lěng zhàn	8-21105-B
lěng zhàn yǐ hòu	8-21179-B
lěng zhá	8-23458-B
lěng zì	8-21038-B
lī	13-44315-B
lī huā lā	13-49934-S
lī liū wāi xié	13-44781-B
lī luō luō	13-44656-S
lī lā lā	13-44550-S
lī lī luō luō	13-44656-B
lī lī lā lā	13-44550-B
lī yǎ	40-40169-S
līn	27-30559-B
līng	31-32654-B
līng shēng mǔ	67-21243-B
lōng	61-32049-S,66-37246-B
lōng sì	37-35342-S
lōu	28-64907-B
lū	13-18679-S,13-18736-S,13-26799-S,14-40391-B
lū gá qí	62-53028-S
lū lū	13-18736-S
lūn	28-11721-B,71-55256-S
lǎ	14-4285-B,14-37976-S
lǎ ba	13-5362-S,14-4317-B
lǎ ba huā	14-4431-B
lǎ hé	14-4486-B
lǎ ma	14-4540-B,42-47494-S,62-55482-S
lǎ ma jiào	14-4653-B
lǎ ma miào	14-4575-B
lǎn	5-30235-S,6-22899-S,7-12669-S,7-12756-S,10-15926-S,11-9955-S,12-52068-S,13-7699-S,16-32086-B,17-8188-S,17-58358-S,18-62765-B,21-22684-S,23-17737-S,23-18319-S,24-34377-S,25-63363-B,27-42288-S,29-37126-B,34-62629-S,35-19594-B,38-6344-S,38-35549-S,40-13625-S,40-18831-B,40-36709-S,42-19245-S,49-52154-S,50-30509-S,50-35819-S,57-37497-B,57-41482-B,57-43417-S,62-38106-S,64-41270-S,65-49614-S,67-33960-S,68-30269-S,69-8339-S
lǎn bàn fǎ	25-63858-B
lǎn chóng	25-63792-B
lǎn chē	50-48202-B
lǎn cí sòng	10-16004-S
lǎn de dā lǐ	25-62266-B
lǎn duò	25-63544-B
lǎn dài	25-63506-B
lǎn dé	25-63435-B
lǎn guǎn	21-22824-S
lǎn guǐ	25-64168-B
lǎn huì	11-10004-S,21-22763-S,37-1448-S
lǎn hàn	25-63696-B
lǎn jiào	45-54866-S
lǎn jiǎo	35-19622-B
lǎn lǘ shàng mò shǐ niào duō	25-63967-B
lǎn qiú	35-339-S,40-3199-S,51-6724-S,54-3330-S
lǎn qì	40-13681-S,50-7690-S
lǎn qū	62-38175-S
lǎn ruǎn jiàn	40-13743-S
lǎn rén	25-63390-B
lǎn shì	65-49655-S
lǎn shì chǎng	42-19291-S
lǎn shí	35-428-S
lǎn shù	35-230-S
lǎn shān	35-0-S
lǎn shēng yi	27-42390-S
lǎn sǎn	25-63587-B
lǎn tiáo zhì jiě diào qì	67-34089-S
lǎn tǎ	67-34011-S
lǎn wú yí	1-20639-S
lǎn yán	35-94-S
lǎn yóu	35-285-S
lǎn yāng yāng	25-63643-B
lǎn yāo	4-61312-S,25-63751-B
lǎn zhī	35-157-S
lǎn zi	1-10109-S
lǎn zuò	18-27044-S
lǎng	3-2219-S,4-49752-S,6-62303-S,7-16998-S,16-22455-B,20-4951-S,22-15856-S,31-24642-S,31-55432-S,32-45114-B,34-23654-S,37-16001-S,38-61576-S,40-43548-B,41-42397-S,44-40104-S,46-25669-S,59-16709-S,65-37595-S,66-773-S,67-23460-S
lǎng bèi ěr	62-54098-S
lǎng dà xué	22-16104-S
lǎng dú	32-45283-B
lǎng gē	5-4273-S
lǎng gēn	15-59574-S
lǎng gēn gāng lǐng	15-59655-S
lǎng jī luó	48-46441-S
lǎng kè	31-48292-S,69-33157-S
lǎng kè cháng shù	31-48358-S
lǎng kè shì	22-15923-S
lǎng kè sī	22-15987-S
lǎng mǎ fēng	42-45659-S
lǎng niú pái	37-16055-S
lǎng rì	27-23842-S
lǎng shì	6-62382-S,22-16050-S
lǎng sòng	32-45206-B
lǎng xiàn	32-45150-B
lǎng yùn dòng	22-16175-S
lǎng zú	67-23502-S
lǎo	3-40803-S,5-10729-B,6-62921-S,12-4985-S,13-31167-B,17-5443-S,18-42603-B,20-28882-S,22-49338-S,32-44015-S,33-55000-B,37-33046-S,37-63678-S,39-62231-B,41-41307-S,42-8594-B,44-48302-S,44-48490-S,51-24509-B,54-21853-S,55-3809-S,56-48342-S,61-31179-B,63-30049-S,64-32338-B,65-17518-S,65-18755-S,68-52047-S,69-10433-S,69-12215-S,70-31017-S,71-64145-B
lǎo biān	51-31111-B
lǎo biān qū	51-31198-B
lǎo bàn	51-25293-B
lǎo bàn 5r	51-25363-B
lǎo bó	51-25129-B
lǎo bó bo	51-25207-B
lǎo bā shí	1-28440-S
lǎo bīng	51-25893-B
lǎo bǎi xìng	31-51773-S,51-29652-B
lǎo bǎn	51-31431-B
lǎo bǎo xiǎn	69-12273-S
lǎo chéng	37-40143-S,51-28401-B
lǎo chéng chí zhòng	51-28466-B
lǎo chǔ nǚ	51-30539-B
lǎo cán yóu jì	51-28765-B
lǎo diào chóng tán	51-30611-B
lǎo diāo	51-31856-B
lǎo dà	47-46836-S,53-38502-S,71-62606-S
lǎo dà gē	51-26207-B
lǎo dà mā	51-26261-B
lǎo dà niáng	51-26350-B
lǎo dà yé	51-26408-B
lǎo dǎo	34-19365-S
lǎo gong	51-25818-B
lǎo guā	51-31816-B
lǎo gōng	51-25765-B
lǎo huà	51-25935-B
lǎo huà méi	51-26010-B
lǎo huáng lì	51-29738-B
lǎo huì	44-55897-S,65-18796-S
lǎo huā	51-30294-B
lǎo hàn	51-28939-B
lǎo hé kǒu	51-28867-B
lǎo hǔ	47-15812-S,49-22976-S,51-30421-B
lǎo hǔ wǔ zī	51-30459-B
lǎo jiā	51-27505-B
lǎo jiǎn	51-29937-B,51-30769-B
lǎo jiǔ	51-31393-B,53-17362-S
lǎo jìng	51-26107-B
lǎo jīn	69-12348-S
lǎo kè	51-27382-B
lǎo kè 5r	51-27440-B
lǎo lao	18-42685-B,18-43552-S,51-30031-B
lǎo lao jìn dà guān yuán	9-41574-S
lǎo le	51-24884-B
lǎo liàn	51-29882-B
lǎo liǎn	51-30099-B
lǎo liǎng kǒu er	51-25688-B
lǎo là	51-30940-B
lǎo lái qiào	51-25429-B
lǎo lái shào	51-25535-B
lǎo líng	51-32047-B
lǎo líng huà	51-32096-B
lǎo lù	51-30851-B
lǎo mài	51-31066-B
lǎo mā zi	51-27185-B
lǎo mǎ	58-63638-S
lǎo mǎ shí tú	51-31657-B
lǎo nián	2-78833-S,51-27777-B
lǎo nián chī dāi	51-27984-B
lǎo nián chī dāi zhèng	51-28078-B
lǎo nián rén	2-78899-S,51-27819-B
lǎo nián xìng chī dāi zhèng	51-27887-B
lǎo nǎi nai	51-27030-B
lǎo pái	51-29588-B
lǎo pó	20-69502-S,51-27137-B
lǎo quán	69-7247-S
lǎo rén	32-54979-S,51-24999-B,51-51491-S,70-58539-S
lǎo rén jiā	51-25052-B
lǎo ròu	13-26729-S
lǎo shi	51-28726-B
lǎo shào	43-45176-S
lǎo shí	51-27588-B
lǎo shí bā jiāo	51-27661-B
lǎo shě	51-30217-B
lǎo shī	51-27736-B,58-25719-S
lǎo shǒu	51-28568-B
lǎo shǔ	48-46099-S,51-31898-B
lǎo shǔ wěi ba	51-31941-B
lǎo sù	31-15299-S
lǎo sǒu	51-26066-B
lǎo tiān	51-26464-B
lǎo tiān yé	51-26510-B
lǎo tài	51-28185-B
lǎo tài gōng	51-26566-B
lǎo tài lóng zhōng	51-28226-B,51-28301-B
lǎo tài pó	51-26720-B
lǎo tài tai	51-26635-B
lǎo tài yé	51-26809-B
lǎo tào	51-26899-B
lǎo tào zi	51-26965-B
lǎo tóu	51-31489-B
lǎo tóu er	51-31549-B
lǎo tāo	51-31616-B
lǎo wài	51-26164-B
lǎo wèn tí	2-39416-S
lǎo wō	51-28640-B
lǎo wū qià	51-29016-B
lǎo xiāng	51-31295-B
lǎo xiōng	51-25603-B
lǎo xué dào lǎo	37-63678-S
lǎo ye	18-42765-B,19-42444-S,51-29270-B
lǎo ye lǐng	51-29349-B
lǎo yuàn	6-63011-S,30-12239-S,69-12401-S
lǎo yuǎn	51-31018-B
lǎo yé ye	51-29483-B
lǎo yā	13-52833-S,36-45477-S
lǎo yān guǐ	51-29200-B
lǎo yān qiāng	51-29111-B
lǎo yī bèi	51-24804-B
lǎo zhuāng	51-30338-B
lǎo zi	51-27313-B
lǎo zī ge	51-30720-B
lǎo zūn xián	30-12092-S
lǎo zǎo	51-28677-B
lǎo zǐ	51-27252-B
lǎo ài yòu	20-43733-S
lǎo èr	51-24927-B
lǐ	1-61022-S,1-73575-S,1-74575-S,1-75081-S,2-231-S,2-4844-S,2-18632-S,2-22248-S,2-34985-S,2-50208-S,2-54850-S,3-1509-S,3-31252-S,3-43938-S,4-5793-S,4-31351-S,4-32380-S,4-46639-S,4-59158-S,5-33889-B,5-44666-S,5-46386-S,5-48656-S,6-3336-S,6-43703-S,6-54400-S,7-15935-S,7-57333-S,7-59531-S,7-61865-S,7-65226-S,8-5861-S,8-30225-S,8-52550-S,8-55184-S,9-4076-S,9-10392-S,9-12635-S,9-22863-S,9-30065-S,9-33200-S,9-33277-S,9-34143-S,9-60064-S,9-61483-S,10-12878-S,10-51090-S,10-62653-S,10-64686-S,11-15805-S,11-16722-S,11-29827-S,11-34473-S,11-62818-S,11-63414-S,12-33391-S,12-35711-S,12-49720-S,12-49773-S,13-13609-S,13-13743-S,13-22818-S,13-44436-B,13-45537-S,13-45705-S,13-48003-S,13-60323-S,14-11780-S,14-13302-S,14-28259-S,14-39058-S,15-26004-S,15-43183-S,15-57929-S,15-69089-S,15-69285-S,16-3353-S,16-4889-S,16-39035-S,17-1779-S,17-27806-S,17-37204-S,17-41573-S,17-66625-S,18-36856-S,18-50314-B,18-53996-S,19-15158-S,19-36908-S,19-46611-S,19-46838-S,19-64064-S,20-5392-S,20-21926-S,21-10553-S,21-10699-S,21-19163-S,21-25513-S,21-38772-S,21-42669-S,22-9480-S,22-20536-S,22-31837-S,22-38302-S,22-39458-S,22-40898-S,23-45173-S,23-45295-S,23-56964-S,23-58981-S,24-20386-S,24-28457-S,24-28766-S,24-34930-S,25-7690-B,25-15119-S,25-18892-S,25-36552-S,25-49923-S,25-60472-S,25-62266-S,26-1649-S,26-35976-S,26-39533-S,26-52539-S,26-57496-S,27-2180-S,27-6453-S,27-25601-S,27-39450-S,27-47112-S,27-62267-S,27-62952-S,28-31594-S,28-47788-S,28-51877-S,28-59932-S,29-24535-S,29-29425-S,29-57292-S,29-61604-S,30-11990-S,30-16007-S,30-21808-S,30-23174-S,30-28746-S,30-33428-S,30-35379-S,30-41818-S,30-42222-S,30-48667-S,31-375-S,31-55487-S,31-60935-S,32-29217-S,32-35058-S,32-40149-S,33-487-B,33-59919-S,33-60667-S,34-14615-S,34-41514-S,35-4567-S,35-12100-S,35-24974-S,35-36510-S,35-54975-S,36-46164-S,37-24766-S,37-32594-S,37-53991-S,38-12326-B,38-23689-S,38-26798-S,38-63609-S,39-39401-S,40-1949-B,40-18995-S,40-39739-S,40-56946-S,40-58373-S,41-8490-S,41-21487-S,41-53665-S,41-53804-S,41-53868-S,41-57038-S,41-59955-S,42-28122-S,42-53203-S,42-53278-B,43-11636-S,43-13998-S,43-26218-S,43-31570-S,43-38377-S,43-43667-S,43-54826-S,44-11758-S,44-59366-S,44-61391-S,45-43420-S,45-61209-S,46-17006-S,46-65278-S,47-7906-B,47-13740-S,47-18107-S,47-20807-S,47-20886-S,47-63119-S,48-21109-S,48-26535-S,48-45394-S,48-48284-S,49-14630-S,49-27981-S,49-61426-S,50-8119-S,50-33985-S,50-35145-S,50-60554-S,51-13985-S,51-46758-S,51-49511-S,51-53176-S,51-61711-S,52-61176-S,53-10035-S,54-4691-S,54-36406-S,54-47672-S,54-60329-S,55-19505-S,55-26270-S,55-50218-S,55-52717-S,56-21523-B,56-34333-S,56-40631-S,56-46148-S,56-55784-B,57-1358-B,57-12140-S,57-22781-S,57-43365-S,58-14311-S,58-20788-S,58-38601-S,58-54885-S,58-56982-S,58-60519-S,59-5134-S,59-7262-S,59-18502-S,59-47414-S,59-57779-S,59-61153-S,60-21814-S,60-29874-S,61-23724-S,61-35479-S,61-49961-S,61-63778-S,61-66215-S,61-66819-S,62-6099-S,62-6161-S,62-22982-S,62-51460-S,62-56364-S,62-56484-S,63-8824-S,63-10487-S,63-14609-B,63-30820-S,63-31944-S,63-50409-S,63-51372-B,63-54405-B,64-38914-B,66-13090-S,68-9234-S,68-29320-S,68-40096-S,69-15967-S,69-37582-S,69-37654-S,69-41906-S,70-0-S,70-43960-B,70-45056-S,70-48673-B,71-12369-S,71-27320-S,71-61722-S
lǐ 5r	58-20839-S
lǐ biān	57-2341-B
lǐ biān 5r	57-2381-B
lǐ bo kè nèi xī	33-1344-B
lǐ bài	23-8041-S,47-8271-B
lǐ bài rì	47-8500-B
lǐ bài tiān	47-8449-B
lǐ bài táng	47-8398-B
lǐ bài yí shì	47-8334-B
lǐ bào	45-43459-S
lǐ bái	33-4760-B
lǐ bái zú zì zhì zhōu	17-28076-S
lǐ bì dé sī	35-22652-S
lǐ bó	22-22722-S,30-32302-S
lǐ bó shū	30-32351-S
lǐ bó yuán	33-810-B
lǐ bù lǐ	25-36552-S
lǐ bù shàng shū	47-9481-B
lǐ bā bā	66-13337-S
lǐ bā jiā wān gǎng	30-42984-S
lǐ bā sī	16-1517-S
lǐ bā sī gòng hé guó	16-1137-S
lǐ bān yùn gōng	56-33879-S
lǐ bīng	33-1172-B
lǐ bǎi yào	33-4809-B
lǐ bǎo jiā	33-1964-B
lǐ chá	42-16136-S,42-55505-B
lǐ chá dé	42-55552-B
lǐ chá sēn	42-55609-B
lǐ cháng chéng	54-48183-S
lǐ cháng chūn	33-5847-B
lǐ cháo wēi	33-3601-B
lǐ chéng	63-55178-B
lǐ chéng bēi	63-55266-B
lǐ chéng guì	33-2632-B
lǐ chéng jiāng	33-2746-B
lǐ chéng jì	63-55321-B
lǐ chéng zhāng	68-26054-S
lǐ chāng hào	33-3349-B
lǐ chū wài jìn	57-1453-B
lǐ chū xī shī	25-12113-S
lǐ chǎng	5-48734-S,36-63034-S,41-24056-S
lǐ cái	7-57468-S,42-56823-B
lǐ cái xué	42-56884-B
lǐ cáng dāo	48-4982-S
lǐ cáng jiān	48-5132-S
lǐ cáng zhēn	50-13327-S
lǐ céng	41-54101-S
lǐ cí diǎn	24-35343-S
lǐ cāng	33-4264-B
lǐ cāng qū	33-4349-B
lǐ cǎi	23-62670-S,42-56241-B
lǐ de	32-35170-S
lǐ de wéi yī biāo zhǔn	20-15514-S
lǐ diàn chí	64-39030-B
lǐ duì wǔ	38-63670-S
lǐ duō ní yà	30-45348-S,30-45435-S
lǐ dà dì	33-46480-S
lǐ dà zhāo	33-1643-B
lǐ dài	57-1906-B
lǐ dài shù	33-577-B
lǐ dài táo jiāng	33-640-B
lǐ dá	5-4725-S,23-32070-S,24-28506-S,54-27453-S
lǐ dá hé duō bā gē	10-51395-S
lǐ dá zhōu	5-4653-S,23-32130-S
lǐ dé	24-31626-S,33-2517-B,35-27520-S,35-27604-S,66-9604-S
lǐ dé lín	33-2571-B
lǐ dé lǐ xī	23-32722-S
lǐ dì qù	66-13174-S
lǐ dēng huī	33-4695-B
lǐ dūn	23-32800-S
lǐ dǎo	17-26572-S,22-9899-S,57-22722-S
lǐ fà	42-57004-B
lǐ fà diàn	42-57156-B
lǐ fà shī	42-57107-B
lǐ fà yuàn	42-57227-B
lǐ fà yuán	42-57057-B
lǐ fèi	41-56397-S
lǐ fó	55-11975-S
lǐ fú	31-45304-S,47-8607-B
lǐ fā	13-40622-S
lǐ fā dì guó	13-40703-S
lǐ fēn xī	30-23228-S
lǐ fēng	14-14568-S,14-14738-S,36-56977-S
lǐ fū	58-57220-S
lǐ fū ren	21-19205-S
lǐ fǎ	7-61921-S
lǐ fǎng	33-3298-B
lǐ guài qì	24-66137-S
lǐ guāng yào	33-1016-B
lǐ guǎi wān	32-5906-S
lǐ guǎng	33-2264-B
lǐ gé fēi	33-3730-B
lǐ gé ruì	4-51455-S
lǐ gēn	57-2067-B
lǐ gōng	42-54405-B
lǐ gōng dà xué	10-27180-S,10-66858-S,17-36235-S,42-54501-B,54-32412-S,54-34362-S,69-27577-S
lǐ gōng huì	56-37842-S
lǐ gōng kē	42-54632-B
lǐ gōng néng	48-26778-S
lǐ gōng pǔ	33-1111-B
lǐ gōng xué yuàn	6-3220-S,9-52289-S,9-54580-S,9-54770-S,22-25292-S,71-15193-S
lǐ gōu wài lián	57-1607-B
lǐ gǎng xiāng	63-54948-B
lǐ huà	12-35767-S,42-53658-B
lǐ huà xué	41-53916-S
lǐ huà yīn sù	42-53712-B
lǐ huì	19-31068-S,42-55441-B
lǐ huì chāng	33-3542-B
lǐ háng jiān	19-6493-S
lǐ hè	33-5631-B
lǐ hè tè	69-38720-S
lǐ hé	1-41466-S
lǐ hé wéi hù	49-61138-S
lǐ hòu bīng	7-5376-S
lǐ hòu zhǔ	33-2451-B
lǐ hóng zhì	33-4086-B
lǐ hóng zhāng	33-6182-B
lǐ hú tū	48-60384-S,48-60494-S
lǐ hǎi	57-2115-B
lǐ jiàn chéng	33-2382-B
lǐ jiào	17-51297-S,18-13348-S,38-27570-S,47-8549-B
lǐ jiè miàn	32-62450-S
lǐ jié	47-8887-B
lǐ jié gòu	41-54231-S
lǐ jié rén	33-1279-B
lǐ jiā	57-1550-B
lǐ jiā chéng	33-1574-B
lǐ jiāng	40-37737-S
lǐ jiē kǒu	48-26985-S,52-58218-S
lǐ jiě	9-57559-S,42-56405-B,51-69807-S,65-50050-S
lǐ jiě lì	42-56493-B
lǐ jiǎ	70-45137-S
lǐ jiǎ nà	63-55470-B
lǐ jì	47-9108-B
lǐ jì é máo	10-51192-S
lǐ jìng	33-6080-B
lǐ jí	15-43340-S
lǐ jùn	33-908-B
lǐ jú	3-72648-S,15-7933-S,69-2233-S,69-2785-S,69-28307-S
lǐ jī	2-67547-S,24-21574-S
lǐ jīng	47-8929-B
lǐ jǐ	48-61688-S
lǐ kàn huā	67-45839-S
lǐ kè	22-66354-S,23-33061-S
lǐ kè dùn	23-33133-S
lǐ kè tè	63-54489-B
lǐ kāi fù	33-5914-B
lǐ kē	6-27704-S,70-45229-S
lǐ kūn	22-9541-S
lǐ kūn cǎo yuán	22-9794-S
lǐ kūn hā sà kè zì zhì xiàn	22-9636-S
lǐ liàng	41-54305-S
lǐ liáo	42-55928-B
lǐ liáo shī	42-55975-B
lǐ luó	39-14471-S
