天枢星	17-48633-S
天竺牡丹 天竺牡丹	17-52316-B
天竺鼠	17-52378-S
天竺鼠 天竺鼠	17-52378-B
天等	17-52439-S
天等 天等	17-52439-B
天箭座	17-52506-S
天箭座 天箭座	17-52506-B
天篷	17-52576-S
天篷 天篷	17-52576-B
天籁	17-52618-S
天籟 天籁	17-52618-B
天經地義 天经地义	17-52669-B
天線 天线	17-52841-B
天线	17-52841-S
天经地义	17-52669-S
天翻地覆	17-52889-S
天翻地覆 天翻地覆	17-52889-B
天职	17-52974-S
天職 天职	17-52974-B
天舟座	17-53038-S
天舟座 天舟座	17-53038-B
天色	17-53104-S
天色 天色	17-53104-B
天花	17-53153-S
天花 天花	17-53153-B
天花板	17-53204-S
天花板 天花板	17-53204-B
天花病毒	17-53257-S
天花病毒 天花病毒	17-53257-B
天葬	17-53327-S
天葬 天葬	17-53327-B
天蓝色	17-53373-S
天藍色 天蓝色	17-53373-B
天蝎	17-53627-S
天蝎座	17-53685-S
天蝼	17-53423-S
天螻 天蝼	17-53423-B
天蟹座	17-53515-S
天蟹座 天蟹座	17-53515-B
天蠍 天蝎	17-53627-B
天蠍座 天蝎座	17-53685-B
天象	17-53789-S
天象 天象	17-53789-B
天貓座 天猫座	17-53895-B
天資 天资	17-53961-B
天賦 天赋	17-54041-B
天资	17-53961-S
天赋	17-54041-S
天路历程	17-54092-S
天路歷程 天路历程	17-54092-B
天边	17-54205-S
天邊 天边	17-54205-B
天鎮 天镇	17-54282-B
天镇	17-54282-S
天長 天长	17-54348-B
天長地久 天长地久	17-54414-B
天長市 天长市	17-54522-B
天长	17-54348-S
天长地久	17-54414-S
天长市	17-54522-S
天門 天门	17-54593-B
天門市 天门市	17-54670-B
天门	17-54593-S
天门市	17-54670-S
天险	17-54758-S
天險 天险	17-54758-B
天青石	17-54814-S
天青石 天青石	17-54814-B
天頂 天顶	17-54873-B
天顶	17-54873-S
天體 天体	17-54915-B
天體主義 天体主义	17-54973-B
天體力學 天体力学	17-55034-B
天體物理學 天体物理学	17-55108-B
天鴿座 天鸽座	17-55185-B
天鵝 天鹅	17-55253-B
天鵝座 天鹅座	17-55290-B
天鵝湖 天鹅湖	17-55356-B
天鶴座 天鹤座	17-55408-B
天鷹座 天鹰座	17-55473-B
天鸽座	17-55185-S
天鹅	17-55253-S
天鹅座	17-55290-S
天鹅湖	17-55356-S
天鹤座	17-55408-S
天鹰座	17-55473-S
天龍八部 天龙八部	17-55542-B
天龍座 天龙座	17-55606-B
天龙八部	17-55542-S
天龙座	17-55606-S
太	17-55674-S
太 太	17-55674-B
太上皇	17-55739-S
太上皇 太上皇	17-55739-B
太仆寺	17-56019-S
太仆寺旗	17-56084-S
太仓	17-55955-S
太保	17-55802-S,17-55863-S
太保 太保	17-55802-B,17-55863-B
太倉 太仓	17-55955-B
太僕寺 太仆寺	17-56019-B
太僕寺旗 太仆寺旗	17-56084-B
太公兵法	17-56181-S
太公兵法 太公兵法	17-56181-B
太初	17-56269-S
太初 太初	17-56269-B
太半	17-56325-S
太半 太半	17-56325-B
太原	17-56396-S
太原 太原	17-56396-B
太原市	17-56528-S
太原市 太原市	17-56528-B
太古	17-56671-S
太古 太古	17-56671-B
太古代	17-56714-S
太古代 太古代	17-56714-B
太古宙	17-56809-S
太古宙 太古宙	17-56809-B
太古洋行	17-56902-S
太古洋行 太古洋行	17-56902-B
太史令	17-57006-S
太史令 太史令	17-57006-B
太史公	17-57121-S
太史公 太史公	17-57121-B
太后	17-57179-S
太后 太后	17-57179-B
太和	17-57228-S
太和 太和	17-57228-B
太和区	17-57338-S
太和區 太和区	17-57338-B
太和殿	17-57431-S
太和殿 太和殿	17-57431-B
太多	17-57565-S
太多 太多	17-57565-B
太太	17-57607-S
太太 太太	17-57607-B
太好了	17-57669-S
太好了 太好了	17-57669-B
太婆	17-57721-S
太婆 太婆	17-57721-B
太子	17-57771-S
太子 太子	17-57771-B
太子丹	17-57810-S
太子丹 太子丹	17-57810-B
太子港	17-57881-S
太子港 太子港	17-57881-B
太守	17-57959-S
太守 太守	17-57959-B
太平	17-58016-S
太平 太平	17-58016-B
太平区	17-58069-S
太平區 太平区	17-58069-B
太平天国	17-58164-S
太平天國 太平天国	17-58164-B
太平广记	17-58258-S
太平廣記 太平广记	17-58258-B
太平御覽 太平御览	17-58358-B
太平御览	17-58358-S
太平洋	17-58450-S
太平洋 太平洋	17-58450-B
太平洋区域	17-58514-S
太平洋區域 太平洋区域	17-58514-B
太平洋周边	17-58948-S
太平洋周邊	17-58615-S
太平洋周邊 太平洋周邊	17-58615-B
太平洋战争	17-58728-S
太平洋戰爭 太平洋战争	17-58728-B
太平洋联合铁路	17-58836-S
太平洋聯合鐵路 太平洋联合铁路	17-58836-B
太平洋週邊 太平洋周边	17-58948-B
太平盛世	17-59030-S
太平盛世 太平盛世	17-59030-B
太康	17-59122-S
太康 太康	17-59122-B
太忙	17-59185-S
太忙 太忙	17-59185-B
太极	17-59228-S
太极剑	17-59293-S
太极图	17-59378-S
太极图说	17-59471-S
太极拳	17-59600-S
太極 太极	17-59228-B
太極劍 太极剑	17-59293-B
太極圖 太极图	17-59378-B
太極圖說 太极图说	17-59471-B
太極拳 太极拳	17-59600-B
太液池	17-59666-S
太液池 太液池	17-59666-B
太湖	17-59748-S
太湖 太湖	17-59748-B
太白	17-59820-S
太白 太白	17-59820-B
太监	17-59883-S
太監 太监	17-59883-B
太石村	17-59944-S
太石村 太石村	17-59944-B
太祖	17-60027-S
太祖 太祖	17-60027-B
太空	17-60092-S
太空 太空	17-60092-B
太空人	17-60138-S
太空人 太空人	17-60138-B
太空服	17-60193-S
太空服 太空服	17-60193-B
太空游	17-60516-S
太空站	17-60247-S
太空站 太空站	17-60247-B
太空舱	17-60364-S
太空船	17-60307-S
太空船 太空船	17-60307-B
太空艙 太空舱	17-60364-B
太空行走	17-60449-S
太空行走 太空行走	17-60449-B
太空遊 太空游	17-60516-B
太空飛船 太空飞船	17-60575-B
太空飞船	17-60575-S
太行山	17-60647-S
太行山 太行山	17-60647-B
太谷	17-60750-S
太谷 太谷	17-60750-B
太長 太长	17-60810-B
太长	17-60810-S
太阳	17-60982-S
太阳光	17-61020-S
太阳公司	17-61076-S
太阳微系统公司	17-61207-S
太阳报	17-61148-S
太阳日	17-61313-S
太阳永不落	17-61367-S
太阳活动	17-61464-S
太阳照在桑干河上	17-61554-S
太阳眼镜	17-61695-S
太阳神	17-61763-S
太阳神计划	17-61824-S
太阳穴	17-61910-S
太阳窗	17-61991-S
太阳窝	17-62068-S
太阳系	17-62148-S
太阳能	17-62205-S
太阳能板	17-60854-S
太阳能板 太阳能板	17-60854-B
太阳能电池	17-62264-S
太阳风	17-62344-S
太阳黑子	17-62401-S
太阳黑子周	17-62464-S
太阴	17-60923-S
太陰 太阴	17-60923-B
太陽 太阳	17-60982-B
太陽光 太阳光	17-61020-B
太陽公司 太阳公司	17-61076-B
太陽報 太阳报	17-61148-B
太陽微系統公司 太阳微系统公司	17-61207-B
太陽日 太阳日	17-61313-B
太陽永不落 太阳永不落	17-61367-B
太陽活動 太阳活动	17-61464-B
太陽照在桑乾河上 太阳照在桑干河上	17-61554-B
太陽眼鏡 太阳眼镜	17-61695-B
太陽神 太阳神	17-61763-B
太陽神計劃 太阳神计划	17-61824-B
太陽穴 太阳穴	17-61910-B
太陽窗 太阳窗	17-61991-B
太陽窩 太阳窝	17-62068-B
太陽系 太阳系	17-62148-B
太陽能 太阳能	17-62205-B
太陽能電池 太阳能电池	17-62264-B
太陽風 太阳风	17-62344-B
太陽黑子 太阳黑子	17-62401-B
太陽黑子周 太阳黑子周	17-62464-B
太魯閣 太鲁阁	17-62545-B
太魯閣族 太鲁阁族	17-62632-B
太鲁阁	17-62545-S
太鲁阁族	17-62632-S
太麻里乡	17-62691-S
太麻里鄉 太麻里乡	17-62691-B
夫	4-56792-S,17-62778-S
夫 夫	17-62778-B
夫人	17-62811-S
夫人 夫人	17-62811-B
夫妇	17-63047-S
夫妻	17-62858-S
夫妻 夫妻	17-62858-B
夫妻反目	17-62902-S
夫妻反目 夫妻反目	17-62902-B
夫妻店	17-62988-S
夫妻店 夫妻店	17-62988-B
夫婦 夫妇	17-63047-B
夫子	17-63114-S,17-63186-S
夫子 夫子	17-63114-B,17-63186-B
夫权	17-63223-S
夫權 夫权	17-63223-B
夬	17-63285-S
夬 夬	17-63285-B
夭	17-63317-S
夭 夭	17-63317-B
央	17-63372-S
央 央	17-63372-B
央中	17-63406-S
央中 央中	17-63406-B
央及	17-63500-S
央及 央及	17-63500-B
央告	17-63567-S
央告 央告	17-63567-B
央托	17-63997-S
央求	17-63638-S
央求 央求	17-63638-B
央行	17-63709-S
央行 央行	17-63709-B
央視 央视	17-63868-B
央視國際 央视国际	17-63907-B
央视	17-63868-S
央视国际	17-63907-S
央託 央托	17-63997-B
夯	17-64073-S
夯 夯	17-64073-B
夯土	17-64108-S
夯土 夯土	17-64108-B
失	17-64154-S
失 失	17-64154-B
失业	17-66160-S
失业率	17-66205-S
失业者	17-66265-S
失主	17-64200-S
失主 失主	17-64200-B
失之交臂	17-64256-S
失之交臂 失之交臂	17-64256-B
失事	17-64360-S
失事 失事	17-64360-B
失仪	17-64596-S
失传	17-64507-S
失体统	17-68366-S
失体面	17-68440-S
失信	17-64412-S
失信 失信	17-64412-B
失修	17-64464-S
失修 失修	17-64464-B
失傳 失传	17-64507-B
失儀 失仪	17-64596-B
失利	17-64662-S
失利 失利	17-64662-B
失去	17-64719-S
失去 失去	17-64719-B
失去意識 失去意识	17-64759-B
失去意识	17-64759-S
失口	17-64824-S
失口 失口	17-64824-B
失地	17-64911-S
失地 失地	17-64911-B
失学	17-64969-S
失學 失学	17-64969-B
失宜	17-65060-S
失宜 失宜	17-65060-B
失宠	17-65115-S
失寵 失宠	17-65115-B
失张失智	17-65189-S
失張失智 失张失智	17-65189-B
失当	17-66386-S
失恋	17-65320-S
失意	17-65264-S
失意 失意	17-65264-B
失戀 失恋	17-65320-B
失掉	17-65367-S
失掉 失掉	17-65367-B
失控	17-65411-S
失控 失控	17-65411-B
失措	17-65460-S
失措 失措	17-65460-B
失效	17-65509-S
失效 失效	17-65509-B
失效日期	17-65573-S
失效日期 失效日期	17-65573-B
失敗 失败	17-65653-B
失敗是成功之母 失败是成功之母	17-65717-B
失敗者 失败者	17-65850-B
失明	17-65900-S
失明 失明	17-65900-B
失望	17-65960-S
失望 失望	17-65960-B
失期	17-66034-S
失期 失期	17-66034-B
失枕	17-66095-S
失枕 失枕	17-66095-B
失業 失业	17-66160-B
失業率 失业率	17-66205-B
失業者 失业者	17-66265-B
失火	17-66329-S
失火 失火	17-66329-B
失灵	17-68188-S
失當 失当	17-66386-B
失真	17-66443-S
失真 失真	17-66443-B
失眠	17-66494-S
失眠 失眠	17-66494-B
失着	17-67034-S
失礼	17-66625-S
失神	17-66551-S
失神 失神	17-66551-B
失禮 失礼	17-66625-B
失窃	17-66676-S
失竊 失窃	17-66676-B
失約 失约	17-66756-B
失縱 失纵	17-66812-B
失约	17-66756-S
失纵	17-66812-S
失职	17-66856-S
失職 失职	17-66856-B
失落	17-66993-S
失落 失落	17-66993-B
失著 失着	17-67034-B
失血	17-67095-S
失血 失血	17-67095-B
失血性貧血 失血性贫血	17-67139-B
失血性贫血	17-67139-S
失衡	17-67224-S
失衡 失衡	17-67224-B
失言	17-67284-S
失言 失言	17-67284-B
失語 失语	17-67371-B
失語症 失语症	17-67461-B
失誤 失误	17-67544-B
失調 失调	17-67643-B
失讀症 失读症	17-67699-B
失语	17-67371-S
失语症	17-67461-S
失误	17-67544-S
失读症	17-67699-S
失调	17-67643-S
失責 失责	17-67751-B
失责	17-67751-S
失败	17-65653-S
失败是成功之母	17-65717-S
失败者	17-65850-S
失足	17-67840-S
失足 失足	17-67840-B
失踪	17-67901-S
失蹤 失踪	17-67901-B
失迎	17-67964-S
失迎 失迎	17-67964-B
失重	17-68082-S
失重 失重	17-68082-B
失陪	17-68145-S
失陪 失陪	17-68145-B
失靈 失灵	17-68188-B
失面子	17-68293-S
失面子 失面子	17-68293-B
失體統 失体统	17-68366-B
失體面 失体面	17-68440-B
失魂落魄	17-68497-S
失魂落魄 失魂落魄	17-68497-B
头	68-35986-S,68-36138-S
头份镇	68-36175-S
头伏	68-36248-S
头儿	68-36324-S
头兜	68-36362-S
头冠	68-36444-S
头功	68-36502-S
头半天	68-36554-S
头半天儿	68-36629-S
头发	68-40605-S
头发胡子一把抓	68-40655-S
头号	68-39624-S
头号字	68-39688-S
头名	68-36720-S
头向前	68-36785-S
头城镇	68-36841-S
头头	68-40407-S
头头是道	68-40451-S
头奖	68-38562-S
头子	68-36918-S
头孢菌	68-36966-S
头孢菌素	68-37051-S
头寸	68-37146-S
头屋乡	68-37192-S
头巾	68-37267-S
头挡	68-37365-S
头文字	68-37410-S
头昏	68-37500-S
头昏目晕	68-37562-S
头昏目眩	68-37668-S
头昏眼晕	68-37759-S
头昏眼暗	68-37864-S
头昏眼花	68-37983-S
头昏脑眩	68-38171-S
头昏脑胀	68-38261-S
头昏脑闷	68-38080-S
头晕	68-38341-S
头条	68-38380-S
头条新闻	68-38439-S
头版	68-38504-S
头疼	68-38609-S
头痛	68-38652-S
头皮	68-38695-S
头皮屑	68-38733-S
头盔	68-38785-S
头盖	68-39520-S
头盖骨	68-39567-S
头目	68-38825-S
头等	68-38890-S
头等舱	68-38936-S
头索类	68-39037-S
头绪	68-39106-S
头罩	68-39159-S
头脑	68-39211-S
头脑发胀	68-39317-S
头脑清楚	68-39256-S
头脸	68-39398-S
头脸儿	68-39446-S
头虱	68-39764-S
头角	68-39807-S
头角峥嵘	68-39880-S
头路	68-40015-S
头部	68-40059-S
头里	68-40096-S
头面	68-40161-S
头面人物	68-40227-S
头顶	68-40304-S
头颅	68-40524-S
头领	68-40354-S
头骨	68-40567-S
夷	17-68566-S
夷 夷	17-68566-B
夷为平地	17-68922-S
夷平	17-68602-S
夷平 夷平	17-68602-B
夷戮	17-68666-S
夷戮 夷戮	17-68666-B
夷旷	17-68709-S
夷曠 夷旷	17-68709-B
夷洲	17-68782-S
夷洲 夷洲	17-68782-B
夷滅 夷灭	17-68867-B
夷灭	17-68867-S
夷為平地 夷为平地	17-68922-B
夷然	17-69007-S
夷然 夷然	17-69007-B
夷犹	17-69140-S
夷狄	17-69044-S
夷狄 夷狄	17-69044-B
夷猶 夷犹	17-69140-B
夷門 夷门	17-69184-B
夷门	17-69184-S
夷陵	17-69238-S
夷陵 夷陵	17-69238-B
夸	17-69296-S,58-19264-S
夸 夸	17-69296-B
夸克	17-69327-S
夸克 夸克	17-69327-B
夸口	58-19319-S
夸大	58-19361-S
夸奖	58-19484-S
夸张	58-19404-S
夸耀	58-19554-S
夸赞	58-19602-S
夹	17-69457-S,17-69630-S
夹七夹八	17-69683-S
夹克	17-69768-S
夹具	17-69819-S
夹击	17-70559-S
夹塞儿	17-69864-S
夹子	17-69939-S
夹层	17-69985-S
夹山国家森林公园	17-70060-S
夹山寺	17-70210-S
夹带	17-70269-S
夹当	17-71171-S
夹当儿	17-71234-S
夹心	17-70359-S
夹批	17-70440-S
夹持	17-70511-S
夹攻	17-70627-S
夹断	17-70697-S
夹杂	17-71892-S
夹板	17-70768-S
夹板气	17-70843-S
夹棍	17-70911-S
夹江	17-70974-S
夹生	17-71041-S
夹生饭	17-71108-S
夹竹桃	17-71308-S
夹紧	17-71376-S
夹缝	17-71420-S
夹角	17-71478-S
夹起尾巴	17-71542-S
夹道	17-71677-S
夹道欢迎	17-71764-S
夹钳	17-71852-S
夹馅	17-72001-S
夺	18-17448-S
夺取	18-17487-S
夺得	18-17526-S
夺标	18-17614-S
夺目	18-17675-S
夺走	18-17723-S
夺魁	18-17771-S
夼	17-69373-S
夼 夼	17-69373-B
夾 夹	17-69457-B,17-69630-B
夾七夾八 夹七夹八	17-69683-B
夾克 夹克	17-69768-B
夾具 夹具	17-69819-B
夾塞兒 夹塞儿	17-69864-B
夾子 夹子	17-69939-B
夾層 夹层	17-69985-B
夾山國家森林公園 夹山国家森林公园	17-70060-B
夾山寺 夹山寺	17-70210-B
夾帶 夹带	17-70269-B
夾心 夹心	17-70359-B
夾批 夹批	17-70440-B
夾持 夹持	17-70511-B
夾擊 夹击	17-70559-B
夾攻 夹攻	17-70627-B
夾斷 夹断	17-70697-B
夾板 夹板	17-70768-B
夾板氣 夹板气	17-70843-B
夾棍 夹棍	17-70911-B
夾江 夹江	17-70974-B
夾生 夹生	17-71041-B
夾生飯 夹生饭	17-71108-B
夾當 夹当	17-71171-B
夾當兒 夹当儿	17-71234-B
夾竹桃 夹竹桃	17-71308-B
夾緊 夹紧	17-71376-B
夾縫 夹缝	17-71420-B
夾角 夹角	17-71478-B
夾起尾巴 夹起尾巴	17-71542-B
夾道 夹道	17-71677-B
夾道歡迎 夹道欢迎	17-71764-B
夾鉗 夹钳	17-71852-B
夾雜 夹杂	17-71892-B
夾餡 夹馅	17-72001-B
奁	18-17408-S
奂	18-5955-S
奄	17-72066-S,18-0-S
奄 奄	17-72066-B,18-0-B
奄奄一息	18-42-S
奄奄一息 奄奄一息	18-42-B
奇	18-120-S,18-154-S
奇 奇	18-120-B,18-154-B
奇丑	18-2157-S
奇丑无比	18-2223-S
奇事	18-203-S
奇事 奇事	18-203-B
奇偶	18-242-S
奇偶 奇偶	18-242-B
奇函数	18-293-S
奇函數 奇函数	18-293-B
奇努克	18-357-S
奇努克 奇努克	18-357-B
奇台	18-419-S
奇台 奇台	18-419-B
奇妙	18-481-S
奇妙 奇妙	18-481-B
奇幻	18-534-S
奇幻 奇幻	18-534-B
奇异	18-1110-S
奇异夸克	18-1174-S
奇异果	18-1248-S
奇异笔	18-1320-S
奇形怪状	18-585-S
奇形怪狀 奇形怪状	18-585-B
奇怪	18-697-S
奇怪 奇怪	18-697-B
奇才	18-742-S
奇才 奇才	18-742-B
奇数	18-781-S
奇數 奇数	18-781-B
奇昆古尼亚热	18-824-S
奇昆古尼亚病毒	18-914-S
奇昆古尼亞熱 奇昆古尼亚热	18-824-B
奇昆古尼亞病毒 奇昆古尼亚病毒	18-914-B
奇景	18-1016-S
奇景 奇景	18-1016-B
奇特	18-1056-S
奇特 奇特	18-1056-B
奇異 奇异	18-1110-B
奇異夸克 奇异夸克	18-1174-B
奇異果 奇异果	18-1248-B
奇異筆 奇异笔	18-1320-B
奇缺	18-1389-S
奇缺 奇缺	18-1389-B
奇羡	18-1441-S
奇羨 奇羡	18-1441-B
奇聞 奇闻	18-1489-B
奇能	18-1530-S
奇能 奇能	18-1530-B
奇能异士	18-1579-S
奇能異士 奇能异士	18-1579-B
奇花异草	18-1699-S
奇花異草 奇花异草	18-1699-B
奇葩	18-1778-S
奇葩 奇葩	18-1778-B
奇觀 奇观	18-1841-B
奇观	18-1841-S
奇跡 奇迹	18-1884-B
奇蹄类	18-1948-S
奇蹄類 奇蹄类	18-1948-B
奇蹟	18-2025-S
奇蹟 奇蹟	18-2025-B
奇迹	18-1884-S
奇遇	18-2081-S
奇遇 奇遇	18-2081-B
奇醜 奇丑	18-2157-B
奇醜無比 奇丑无比	18-2223-B
奇闻	18-1489-S
奈	18-2312-S
奈 奈	18-2312-B
奈何	18-2351-S
奈何 奈何	18-2351-B
奈曼旗	18-2443-S
奈曼旗 奈曼旗	18-2443-B
奈良	18-2526-S
奈良 奈良	18-2526-B
奈良时代	18-2566-S
奈良時代 奈良时代	18-2566-B
奉	18-2671-S
奉 奉	18-2671-B
奉公	18-2740-S
奉公 奉公	18-2740-B
奉公克己	18-2800-S
奉公剋己 奉公克己	18-2800-B
奉公守法	18-2978-S
奉公守法 奉公守法	18-2978-B
奉养	18-5207-S
奉劝	18-3084-S
奉勸 奉劝	18-3084-B
奉化	18-3134-S
奉化 奉化	18-3134-B
奉召	18-3215-S
奉召 奉召	18-3215-B
奉告	18-3268-S
奉告 奉告	18-3268-B
奉命	18-3324-S
奉命 奉命	18-3324-B
奉天	18-3414-S
奉天 奉天	18-3414-B
奉承	18-3513-S
奉承 奉承	18-3513-B
奉承者	18-3567-S
奉承者 奉承者	18-3567-B
奉新	18-3624-S
奉新 奉新	18-3624-B
奉新县	18-3690-S
奉新縣 奉新县	18-3690-B
奉旨	18-3768-S
奉旨 奉旨	18-3768-B
奉献	18-3821-S
奉獻 奉献	18-3821-B
奉现	18-3892-S
奉現 奉现	18-3892-B
奉申賀敬 奉申贺敬	18-3936-B
奉申贺敬	18-3936-S
奉祀	18-4042-S
奉祀 奉祀	18-4042-B
奉節 奉节	18-4144-B
奉系	18-4209-S
奉系 奉系	18-4209-B
奉系军阀	18-4281-S
奉系軍閥 奉系军阀	18-4281-B
奉节	18-4144-S
奉若神明	18-4374-S
奉若神明 奉若神明	18-4374-B
奉行	18-4547-S
奉行 奉行	18-4547-B
奉詔 奉诏	18-4602-B
奉诏	18-4602-S
奉賢 奉贤	18-4668-B
奉贈 奉赠	18-4736-B
奉贤	18-4668-S
奉赠	18-4736-S
奉辛比克党	18-4815-S
奉辛比克黨 奉辛比克党	18-4815-B
奉迎	18-4928-S
奉迎 奉迎	18-4928-B
奉还	18-5047-S
奉送	18-4992-S
奉送 奉送	18-4992-B
奉還 奉还	18-5047-B
奉陪	18-5129-S
奉陪 奉陪	18-5129-B
奉養 奉养	18-5207-B
奋	18-17965-S
奋不顾身	18-18001-S
奋力	18-18094-S
奋勇	18-18181-S
奋发	18-18417-S
奋发图强	18-18492-S
奋战	18-18292-S
奋斗	18-19023-S
奋武扬威	18-18343-S
奋笔疾书	18-18601-S
奋起	18-18685-S
奋起直追	18-18753-S
奋进	18-18857-S
奋进号	18-18899-S
奋飞	18-18966-S
奎	18-5294-S
奎 奎	18-5294-B
奎宁	18-5345-S
奎宁水	18-5531-S
奎寧 奎宁	18-5345-B
奎屯	18-5387-S
奎屯 奎屯	18-5387-B
奎托	18-5450-S
奎托 奎托	18-5450-B
奎星	18-5489-S
奎星 奎星	18-5489-B
奎甯水 奎宁水	18-5531-B
奏	18-5603-S
奏 奏	18-5603-B
奏乐	18-5704-S
奏效	18-5644-S
奏效 奏效	18-5644-B
奏樂 奏乐	18-5704-B
奏鳴曲 奏鸣曲	18-5769-B
奏鳴曲式 奏鸣曲式	18-5820-B
奏鸣曲	18-5769-S
奏鸣曲式	18-5820-S
奐 奂	18-5955-B
契	18-6001-S
契 契	18-6001-B
契丹	18-6031-S
契丹 契丹	18-6031-B
契合	18-6236-S
契合 契合	18-6236-B
契据	18-6349-S
契據 契据	18-6349-B
契机	18-6385-S
契機 契机	18-6385-B
契沙比克湾	18-6447-S
契沙比克灣 契沙比克湾	18-6447-B
契約 契约	18-6525-B
契約橋牌 契约桥牌	18-6576-B
契约	18-6525-S
契约桥牌	18-6576-S
契訶夫 契诃夫	18-6659-B
契诃夫	18-6659-S
奓	18-6736-S,18-6770-S
奓 奓	18-6736-B,18-6770-B
奔	18-6799-S,18-6862-S
奔 奔	18-6799-B,18-6862-B
奔丧	18-6973-S
奔命	18-6898-S
奔命 奔命	18-6898-B
奔喪 奔丧	18-6973-B
奔头	18-7609-S
奔头儿	18-7669-S
奔忙	18-7062-S
奔忙 奔忙	18-7062-B
奔放	18-7131-S
奔放 奔放	18-7131-B
奔波	18-7199-S
奔波 奔波	18-7199-B
奔泻	18-7337-S
奔流	18-7264-S
奔流 奔流	18-7264-B
奔瀉 奔泻	18-7337-B
奔腾	18-7867-S
奔袭	18-7404-S
奔襲 奔袭	18-7404-B
奔走	18-7452-S
奔走 奔走	18-7452-B
奔跑	18-7522-S
奔跑 奔跑	18-7522-B
奔逃	18-7562-S
奔逃 奔逃	18-7562-B
奔頭 奔头	18-7609-B
奔頭兒 奔头儿	18-7669-B
奔馬 奔马	18-7769-B
奔馳 奔驰	18-7816-B
奔騰 奔腾	18-7867-B
奔马	18-7769-S
奔驰	18-7816-S
奕	18-7959-S
奕 奕	18-7959-B
奕䜣	18-7998-S
奕訢 奕䜣	18-7998-B
奕詝	18-8061-S
奕詝 奕詝	18-8061-B
奖	42-16551-S
奖励	42-16601-S
奖品	42-16661-S
奖学金	42-16708-S
奖得主	42-16766-S
奖牌	42-16846-S
奖状	42-16896-S
奖章	42-16956-S
奖赏	42-16999-S
奖酬	42-17058-S
奖金	42-17111-S
套	18-8143-S
套 套	18-8143-B
套中人	18-8255-S
套中人 套中人	18-8255-B
套作	18-8316-S
套作 套作	18-8316-B
套利	18-8394-S
套利 套利	18-8394-B
套包	18-8436-S
套包 套包	18-8436-B
套匯 套汇	18-8498-B
套印	18-8639-S
套印 套印	18-8639-B
套取	18-8718-S
套取 套取	18-8718-B
套叠	18-9467-S
套口供	18-8794-S
套口供 套口供	18-8794-B
套問 套问	18-8875-B
套套	18-8968-S
