功力 功力	9-47919-B
加速器	9-59922-S
加速器 加速器	9-59922-B
加速度	9-60009-S
加速度 加速度	9-60009-B
加達裡 加达里	9-60064-B
加那利群岛	9-60129-S
加那利群島 加那利群岛	9-60129-B
加里宁格勒	9-60208-S
加里宁格勒 加里宁格勒	9-60208-B
加里宁格勒州	9-59316-S
加里曼丹	9-59411-S
加里肋亚	9-60284-S
加里肋亚海	9-60345-S
加里肋亞 加里肋亚	9-60284-B
加里肋亞海 加里肋亚海	9-60345-B
加重	9-60436-S
加重 加重	9-60436-B
加長 加长	9-60489-B
加长	9-60489-S
加﹍于	9-60533-S
加﹍於 加﹍于	9-60533-B
务	10-3512-S
务实	10-3556-S
务必	10-3627-S
劢	10-10019-S
劣	9-60585-S
劣 劣	9-60585-B
劣势	9-60616-S
劣勢 劣势	9-60616-B
劣跡 劣迹	9-60672-B
劣迹	9-60672-S
劦	9-60765-S,9-60805-S
劦 劦	9-60765-B,9-60805-B
动	9-68220-S
动不动	9-68275-S
动乱	9-68417-S
动人	9-68476-S
动作	9-68526-S
动力	9-68583-S
动力反应堆	9-68646-S
动力学	9-68727-S
动力系统	9-68797-S
动名词	9-68870-S
动向	9-68922-S
动听	10-1523-S
动员	9-68973-S
动因	9-69024-S
动工	9-69105-S
动弹	9-69170-S
动态	9-69531-S
动态助词	9-69613-S
动态图形	9-69684-S
动态存储器	10-0-S
动态影像	10-81-S
动怒	9-69213-S
动情	9-69259-S
动情期	9-69376-S
动情激素	9-69455-S
动手	10-146-S
动摇	10-231-S
动机	10-439-S
动植物	10-285-S
动植物分类	10-364-S
动漫	10-500-S
动点	10-2837-S
动物	10-552-S
动物农场	10-1182-S
动物分类	10-592-S
动物园	10-682-S
动物学	10-731-S
动物性	10-794-S
动物性名词	10-847-S
动物性饲料	10-927-S
动物毒素	10-1006-S
动物油	10-1068-S
动物界	10-1123-S
动用	10-1252-S
动画	10-1316-S
动画片	10-1368-S
动能	10-1580-S
动脉	10-1630-S
动脉硬化	10-1671-S
动脉粥样硬化	10-1771-S
动荡	10-1432-S,10-1868-S
动觉	10-1986-S
动议	10-2283-S
动词	10-2085-S
动词结构	10-2123-S
动词重叠	10-2207-S
动身	10-2332-S
动量	10-2389-S
动量词	10-2434-S
动静	10-2557-S
动魄	10-2645-S
动魄惊心	10-2698-S
助	9-60871-S
助 助	9-60871-B
助人为乐	9-61028-S
助人为快乐之本	9-60911-S
助人為快樂之本 助人为快乐之本	9-60911-B
助人為樂 助人为乐	9-61028-B
助剂	9-61124-S
助劑 助剂	9-61124-B
助动词	9-61173-S
助动车	9-61243-S
助動詞 助动词	9-61173-B
助動車 助动车	9-61243-B
助学贷款	9-61310-S
助學貸款 助学贷款	9-61310-B
助手	9-61379-S
助手 助手	9-61379-B
助教	9-61430-S
助教 助教	9-61430-B
助理	9-61483-S
助理 助理	9-61483-B
助紂為虐 助纣为虐	9-61525-B
助纣为虐	9-61525-S
助記方法 助记方法	9-61704-B
助記符 助记符	9-61774-B
助詞 助词	9-61830-B
助记方法	9-61704-S
助记符	9-61774-S
助词	9-61830-S
助选活动	9-61885-S
助選活動 助选活动	9-61885-B
助長 助长	9-61959-B
助长	9-61959-S
努	9-62018-S
努 努	9-62018-B
努力	9-62058-S
努力 努力	9-62058-B
努尔哈赤	9-62171-S
努比亚	9-62124-S
努比亞 努比亚	9-62124-B
努爾哈赤 努尔哈赤	9-62171-B
努瓦克肖特	9-62243-S
努瓦克肖特 努瓦克肖特	9-62243-B
努納武特 努纳武特	9-62341-B
努纳武特	9-62341-S
劫	9-62410-S
劫 劫	9-62410-B
劫余	9-63364-S
劫后余生	9-62724-S
劫夺	9-62487-S
劫奪 劫夺	9-62487-B
劫富济贫	9-62548-S
劫富濟貧 劫富济贫	9-62548-B
劫寨	9-62634-S
劫寨 劫寨	9-62634-B
劫後餘生 劫后余生	9-62724-B
劫持	9-62799-S
劫持 劫持	9-62799-B
劫掠	9-62883-S
劫掠 劫掠	9-62883-B
劫数	9-62933-S
劫數 劫数	9-62933-B
劫机	9-63008-S
劫機 劫机	9-63008-B
劫洗	9-63061-S
劫洗 劫洗	9-63061-B
劫營 劫营	9-63109-B
劫狱	9-63188-S
劫獄 劫狱	9-63188-B
劫营	9-63109-S
劫道	9-63269-S
劫道 劫道	9-63269-B
劫难	9-63322-S
劫難 劫难	9-63322-B
劫餘 劫余	9-63364-B
劬	9-63432-S
劬 劬	9-63432-B
劭	9-63459-S
劭 劭	9-63459-B
励	10-10251-S
励害	10-10279-S
劲	9-63792-S,9-63823-S
劲力	9-63862-S
劲卒	9-63909-S
劲吹	9-63971-S
劲头	9-64754-S
劲射	9-64033-S
劲峭	9-64126-S
劲度系数	9-64195-S
劲急	9-64292-S
劲拔	9-64342-S
劲挺	9-64393-S
劲敌	9-64435-S
劲旅	9-64488-S
劲烈	9-64551-S
劲直	9-64593-S
劲草	9-64646-S
劲风	9-64818-S
劳	10-4516-S
劳伦斯	10-4543-S
劳力	10-4609-S
劳动	10-4658-S
劳动人民	10-4717-S
劳动力	10-4852-S
劳动报	10-4917-S
劳动改造	10-4987-S
劳动教养	10-5072-S
劳动者	10-5235-S
劳动节	10-5156-S
劳埃德	10-5294-S
劳工	10-5373-S
劳役	10-5413-S
劳改营	10-5506-S
劳教	10-5575-S
劳教所	10-5635-S
劳斯莱斯	10-5716-S
劳模	10-5785-S
劳燕分飛 劳燕分飞	9-63515-B
劳燕分飞	9-63515-S
劳碌	10-5830-S
劳累	10-5869-S
劳而无功	10-5907-S
劳苦	10-6021-S
劳资	10-6064-S
劳资关系	10-6135-S
劳雇	10-6246-S
劳雇关系	10-6297-S
劳顿	10-6409-S
劳驾	10-6449-S
労	9-63590-S
労 労	9-63590-B
効	9-63640-S
効 効	9-63640-B
劻	9-63687-S
劻 劻	9-63687-B
劼	9-63719-S
劼 劼	9-63719-B
劾	9-63763-S
劾 劾	9-63763-B
势	10-6806-S
势不两立	10-6945-S
势不可当	10-7096-S
势利	10-7207-S
势利眼	10-7295-S
势力	10-7357-S
势在必行	10-7417-S
势均力敌	10-7515-S
势头	10-8211-S
势如破竹	10-7626-S
势子	10-7688-S
势必	10-7735-S
势态	10-7788-S
势成骑虎	10-7837-S
势族	10-7912-S
势能	10-7977-S
势要	10-8028-S
势阱	10-8096-S
势降	10-8153-S
勁 劲	9-63792-B,9-63823-B
勁力 劲力	9-63862-B
勁卒 劲卒	9-63909-B
勁吹 劲吹	9-63971-B
勁射 劲射	9-64033-B
勁峭 劲峭	9-64126-B
勁度係數 劲度系数	9-64195-B
勁急 劲急	9-64292-B
勁拔 劲拔	9-64342-B
勁挺 劲挺	9-64393-B
勁敵 劲敌	9-64435-B
勁旅 劲旅	9-64488-B
勁烈 劲烈	9-64551-B
勁直 劲直	9-64593-B
勁草 劲草	9-64646-B
勁頭 劲头	9-64754-B
勁風 劲风	9-64818-B
勃	9-64870-S
勃 勃	9-64870-B
勃兰登堡	9-65841-S
勃兴	9-65715-S
勃列日涅夫	9-64932-S
勃列日涅夫 勃列日涅夫	9-64932-B
勃利	9-65011-S
勃利 勃利	9-65011-B
勃勃	9-65075-S
勃勃 勃勃	9-65075-B
勃发	9-65659-S
勃固	9-65134-S
勃固 勃固	9-65134-B
勃固山脈 勃固山脉	9-65200-B
勃固山脉	9-65200-S
勃固河	9-65314-S
勃固河 勃固河	9-65314-B
勃拉姆斯	9-65399-S
勃拉姆斯 勃拉姆斯	9-65399-B
勃海	9-65492-S
勃海 勃海	9-65492-B
勃然	9-65595-S
勃然 勃然	9-65595-B
勃發 勃发	9-65659-B
勃興 勃兴	9-65715-B
勃艮第	9-65778-S
勃艮第 勃艮第	9-65778-B
勃蘭登堡 勃兰登堡	9-65841-B
勃起	9-65919-S
勃起 勃起	9-65919-B
勅	9-65976-S
勅 勅	9-65976-B
勇	9-66038-S
勇 勇	9-66038-B
勇于	9-66297-S
勇决	9-66449-S
勇力	9-66067-S
勇力 勇力	9-66067-B
勇士	9-66121-S
勇士 勇士	9-66121-B
勇往直前	9-66180-S
勇往直前 勇往直前	9-66180-B
勇敢	9-66257-S
勇敢 勇敢	9-66257-B
勇於 勇于	9-66297-B
勇武	9-66363-S
勇武 勇武	9-66363-B
勇气	9-66402-S
勇氣 勇气	9-66402-B
勇決 勇决	9-66449-B
勇猛	9-66498-S
勇猛 勇猛	9-66498-B
勇略	9-66568-S
勇略 勇略	9-66568-B
勉	9-66621-S
勉 勉	9-66621-B
勉励	9-66669-S
勉勵 勉励	9-66669-B
勉县	9-66819-S
勉強 勉强	9-66715-B
勉强	9-66715-S
勉縣 勉县	9-66819-B
勋	10-3688-S,10-10058-S,10-10101-S
勋爵	10-10135-S
勋章	10-3722-S
勋绩	10-10211-S
勍	9-66877-S
勍 勍	9-66877-B
勐	9-66915-S
勐 勐	9-66915-B
勐海县	9-66966-S
勐海縣 勐海县	9-66966-B
勐腊县	9-67033-S
勐臘縣 勐腊县	9-67033-B
勒	9-67098-S,9-67127-S
勒 勒	9-67098-B,9-67127-B
勒令	9-67182-S
勒令 勒令	9-67182-B
勒哈費爾 勒哈费尔	9-67233-B
勒哈费尔	9-67233-S
勒威耶	9-67308-S
勒威耶 勒威耶	9-67308-B
勒戒	9-67380-S
勒戒 勒戒	9-67380-B
勒斯波斯	9-67489-S
勒斯波斯 勒斯波斯	9-67489-B
勒斯波斯岛	9-67572-S
勒斯波斯島 勒斯波斯岛	9-67572-B
勒索	9-67666-S
勒索 勒索	9-67666-B
勒索罪	9-67721-S
勒索罪 勒索罪	9-67721-B
勒紧	9-67901-S
勒紧裤带	9-67952-S
勒維夫 勒维夫	9-67774-B
勒維納斯 勒维纳斯	9-67827-B
勒緊 勒紧	9-67901-B
勒緊褲帶 勒紧裤带	9-67952-B
勒维夫	9-67774-S
勒维纳斯	9-67827-S
勒脖子	9-68028-S
勒脖子 勒脖子	9-68028-B
勒逼	9-68093-S
勒逼 勒逼	9-68093-B
勒馬 勒马	9-68170-B
勒马	9-68170-S
動 动	9-68220-B
動不動 动不动	9-68275-B
動亂 动乱	9-68417-B
動人 动人	9-68476-B
動作 动作	9-68526-B
動力 动力	9-68583-B
動力反應堆 动力反应堆	9-68646-B
動力學 动力学	9-68727-B
動力系統 动力系统	9-68797-B
動名詞 动名词	9-68870-B
動向 动向	9-68922-B
動員 动员	9-68973-B
動因 动因	9-69024-B
動工 动工	9-69105-B
動彈 动弹	9-69170-B
動怒 动怒	9-69213-B
動情 动情	9-69259-B
動情期 动情期	9-69376-B
動情激素 动情激素	9-69455-B
動態 动态	9-69531-B
動態助詞 动态助词	9-69613-B
動態圖形 动态图形	9-69684-B
動態存儲器 动态存储器	10-0-B
動態影像 动态影像	10-81-B
動手 动手	10-146-B
動搖 动摇	10-231-B
動植物 动植物	10-285-B
動植物分類 动植物分类	10-364-B
動機 动机	10-439-B
動漫 动漫	10-500-B
動物 动物	10-552-B
動物分類 动物分类	10-592-B
動物園 动物园	10-682-B
動物學 动物学	10-731-B
動物性 动物性	10-794-B
動物性名詞 动物性名词	10-847-B
動物性飼料 动物性饲料	10-927-B
動物毒素 动物毒素	10-1006-B
動物油 动物油	10-1068-B
動物界 动物界	10-1123-B
動物農場 动物农场	10-1182-B
動用 动用	10-1252-B
動畫 动画	10-1316-B
動畫片 动画片	10-1368-B
動盪 动荡	10-1432-B
動聽 动听	10-1523-B
動能 动能	10-1580-B
動脈 动脉	10-1630-B
動脈硬化 动脉硬化	10-1671-B
動脈粥樣硬化 动脉粥样硬化	10-1771-B
動蕩 动荡	10-1868-B
動覺 动觉	10-1986-B
動詞 动词	10-2085-B
動詞結構 动词结构	10-2123-B
動詞重疊 动词重叠	10-2207-B
動議 动议	10-2283-B
動身 动身	10-2332-B
動量 动量	10-2389-B
動量詞 动量词	10-2434-B
動靜 动静	10-2557-B
動魄 动魄	10-2645-B
動魄驚心 动魄惊心	10-2698-B
動點 动点	10-2837-B
勖	10-2885-S
勖 勖	10-2885-B
勗	10-2923-S
勗 勗	10-2923-B
勘	10-2961-S
勘 勘	10-2961-B
勘察	10-3019-S
勘察 勘察	10-3019-B
勘察加	10-3067-S
勘察加 勘察加	10-3067-B
勘察加半岛	10-3154-S
勘察加半島 勘察加半岛	10-3154-B
勘探	10-3264-S
勘探 勘探	10-3264-B
勘查	10-3309-S
勘查 勘查	10-3309-B
勘测	10-3396-S
勘測 勘测	10-3396-B
勘誤 勘误	10-3453-B
勘误	10-3453-S
務 务	10-3512-B
務實 务实	10-3556-B
務必 务必	10-3627-B
勛 勋	10-3688-B
勛章 勋章	10-3722-B
勝 胜	10-3774-B
勝任 胜任	10-4026-B
勝似 胜似	10-4117-B
勝利 胜利	10-4186-B
勝利者 胜利者	10-4228-B
勝地 胜地	10-4287-B
勝負 胜负	10-4344-B
勝過 胜过	10-4420-B
勝選 胜选	10-4461-B
勞 劳	10-4516-B
勞倫斯 劳伦斯	10-4543-B
勞力 劳力	10-4609-B
勞動 劳动	10-4658-B
勞動人民 劳动人民	10-4717-B
勞動力 劳动力	10-4852-B
勞動報 劳动报	10-4917-B
勞動改造 劳动改造	10-4987-B
勞動教養 劳动教养	10-5072-B
勞動節 劳动节	10-5156-B
勞動者 劳动者	10-5235-B
勞埃德 劳埃德	10-5294-B
勞工 劳工	10-5373-B
勞役 劳役	10-5413-B
勞改營 劳改营	10-5506-B
勞教 劳教	10-5575-B
勞教所 劳教所	10-5635-B
勞斯萊斯 劳斯莱斯	10-5716-B
勞模 劳模	10-5785-B
勞碌 劳碌	10-5830-B
勞累 劳累	10-5869-B
勞而無功 劳而无功	10-5907-B
勞苦 劳苦	10-6021-B
勞資 劳资	10-6064-B
勞資關係 劳资关系	10-6135-B
勞雇 劳雇	10-6246-B
勞雇關係 劳雇关系	10-6297-B
勞頓 劳顿	10-6409-B
勞駕 劳驾	10-6449-B
募	10-6492-S
募 募	10-6492-B
募化	10-6570-S
募化 募化	10-6570-B
募捐	10-6627-S
募捐 募捐	10-6627-B
募款	10-6685-S
募款 募款	10-6685-B
募集	10-6755-S
募集 募集	10-6755-B
勢 势	10-6806-B
勢不兩立 势不两立	10-6945-B
勢不可當 势不可当	10-7096-B
勢利 势利	10-7207-B
勢利眼 势利眼	10-7295-B
勢力 势力	10-7357-B
勢在必行 势在必行	10-7417-B
勢均力敵 势均力敌	10-7515-B
勢如破竹 势如破竹	10-7626-B
勢子 势子	10-7688-B
勢必 势必	10-7735-B
勢態 势态	10-7788-B
勢成騎虎 势成骑虎	10-7837-B
勢族 势族	10-7912-B
勢能 势能	10-7977-B
勢要 势要	10-8028-B
勢阱 势阱	10-8096-B
勢降 势降	10-8153-B
勢頭 势头	10-8211-B
勣	10-8262-S
勣 勣	10-8262-B
勤	10-8323-S
勤 勤	10-8323-B
勤俭	10-8363-S
勤儉 勤俭	10-8363-B
勤务	10-8485-S
勤务兵	10-8546-S
勤务员	10-8603-S
勤劳	10-8672-S
勤勉	10-8420-S
勤勉 勤勉	10-8420-B
勤務 勤务	10-8485-B
勤務兵 勤务兵	10-8546-B
勤務員 勤务员	10-8603-B
勤勞 勤劳	10-8672-B
勤勤	10-8738-S
勤勤 勤勤	10-8738-B
勤勤恳恳	10-8810-S
勤勤懇懇 勤勤恳恳	10-8810-B
勤奋	10-8906-S
勤奋刻苦	10-8960-S
勤奮 勤奋	10-8906-B
勤奮刻苦 勤奋刻苦	10-8960-B
勤学苦练	10-9032-S
勤學苦練 勤学苦练	10-9032-B
勤密	10-9126-S
勤密 勤密	10-9126-B
勤工俭学	10-9175-S
勤工儉學 勤工俭学	10-9175-B
勤快	10-9260-S
勤快 勤快	10-9260-B
勤恳	10-9315-S
勤懇 勤恳	10-9315-B
勤朴	10-9389-S
勤杂	10-9715-S
勤樸 勤朴	10-9389-B
勤王	10-9467-S
勤王 勤王	10-9467-B
勤苦	10-9603-S
勤苦 勤苦	10-9603-B
勤謹 勤谨	10-9657-B
勤谨	10-9657-S
勤雜 勤杂	10-9715-B
勦	10-9795-S,10-9836-S
勦 勦	10-9795-B,10-9836-B
勧	10-9877-S
勧 勧	10-9877-B
勩	10-9928-S
勩 勩	10-9928-B
勯	10-9954-S
勯 勯	10-9954-B
勰	10-9986-S
勰 勰	10-9986-B
勱 劢	10-10019-B
勲 勋	10-10058-B
勳 勋	10-10101-B
勳爵 勋爵	10-10135-B
勳績 勋绩	10-10211-B
勵 励	10-10251-B
勵害 励害	10-10279-B
勷	10-10353-S
勷 勷	10-10353-B
勸 劝	10-10382-B
勸勉 劝勉	10-10449-B
勸動 劝动	10-10507-B
勸化 劝化	10-10552-B
勸告 劝告	10-10627-B
勸和 劝和	10-10708-B
勸善懲惡 劝善惩恶	10-10766-B
勸學 劝学	10-10872-B
勸導 劝导	10-10918-B
勸慰 劝慰	10-10985-B
勸戒 劝戒	10-11030-B
勸教 劝教	10-11106-B
勸服 劝服	10-11186-B
勸架 劝架	10-11236-B
勸解 劝解	10-11322-B
勸誡 劝诫	10-11417-B
勸說 劝说	10-11467-B
勸課 劝课	10-11529-B
勸農 劝农	10-11634-B
勸農使 劝农使	10-11692-B
勸阻 劝阻	10-11795-B
勸駕 劝驾	10-11858-B
勺	10-11952-S
勺 勺	10-11952-B
勺子	10-11981-S
勺子 勺子	10-11981-B
勻 匀	10-12025-B
勻實 匀实	10-12077-B
勻整 匀整	10-12122-B
勻淨 匀净	10-12178-B
勻溜 匀溜	10-12225-B
勻稱 匀称	10-12273-B
勻速 匀速	10-12337-B
勾	10-12386-S,10-12436-S
勾 勾	10-12386-B,10-12436-B
勾划	10-12490-S
勾劃 勾划	10-12490-B
勾引	10-12546-S
勾引 勾引	10-12546-B
勾当	10-12744-S
勾手	10-12598-S
勾手 勾手	10-12598-B
勾拳	10-12642-S
勾拳 勾拳	10-12642-B
勾画	10-12699-S
勾畫 勾画	10-12699-B
勾當 勾当	10-12744-B
勾結 勾结	10-12793-B
勾结	10-12793-S
勾股定理	10-12878-S
勾股定理 勾股定理	10-12878-B
勾践	10-12952-S
勾踐 勾践	10-12952-B
勿	10-13019-S
勿 勿	10-13019-B
勿忘国耻	10-13047-S
勿忘國恥 勿忘国耻	10-13047-B
匀	10-12025-S
匀净	10-12178-S
匀实	10-12077-S
匀整	10-12122-S
匀溜	10-12225-S
匀称	10-12273-S
匀速	10-12337-S
包	10-13136-S
包 包	10-13136-B
包举	10-17486-S
包乘	10-13311-S
包乘 包乘	10-13311-B
包乘制	10-13364-S
包乘制 包乘制	10-13364-B
包乘組 包乘组	10-13428-B
包乘组	10-13428-S
包书皮	10-16100-S
包产	10-16466-S
包产到户	10-16527-S
包产到户制	10-16630-S
包伙	10-13491-S
包伙 包伙	10-13491-B
包剿	10-13550-S
包剿 包剿	10-13550-B
包办	10-18620-S
包办代替	10-18713-S
包办婚姻	10-18840-S
包厢	10-14996-S
包含	10-13621-S
包含 包含	10-13621-B
包囊	10-13686-S
包囊 包囊	10-13686-B
包园儿	10-13782-S
包围	10-13731-S
包圆儿	10-13860-S
包圍 包围	10-13731-B
包園兒 包园儿	10-13782-B
包圓兒 包圆儿	10-13860-B
包场	10-13953-S
包場 包场	10-13953-B
