to fall due	39-39141-B
to feel sick	25-20411-B
to feel sorry for a person over sth that should have happened	25-16325-B
to feel strongly about	41-21648-B
to feel tenderness toward	25-54694-B
to feel through the senses	25-39646-B
to feel uncomfortable	2-26734-B
to feel unsure about sth	44-4360-B
to feel unwell	67-11834-B
to feel vexed	41-9993-B,47-56251-B
to feel well	41-41718-B,41-41899-B
to feel wronged	18-41608-B,18-41608-S
to feet the feet perfectly	60-38229-B
to feign	6-9211-B,6-13941-B,6-24678-B,8-10643-B,14-15720-B,39-45913-B,46-1976-B,56-60523-B
to feign ignorance	56-61553-B
to feign madness	57-254-B
to fell	4-54853-B
to fell trees	34-45422-B
to female	43-46282-S
to fend off	26-49201-B,29-37165-B
to ferment	63-51258-S
to ferment alcohol	63-51218-B
to ferret out	28-49316-B,33-46369-B
to ferret out undesirable elements	38-61968-B
to ferry	3-14025-B,39-2024-B
to fertilize	37-3870-B
to fester	39-64383-B
to festoon	49-41371-B,53-55691-B
to fetch	11-57709-B,26-40322-B
to fetch the scriptures	11-58801-B
to fetter	64-20442-B
to fiddle with	3-26459-B
to fiddle with sth	28-55764-B
to fidget	45-11012-B
to fight	1-57023-B,5-6930-B,20-46773-B,26-16674-B,26-20484-B,26-40322-B,26-45769-B,26-50691-B,27-3989-B,28-14912-S,28-53090-B,28-53156-B,28-53196-B,59-24422-B,70-28610-B,70-28920-S
to fight a battle	26-40760-B
to fight against	11-47096-B
to fight alone	19-13058-B
to fight at close quarters	23-6755-B,23-6823-B,45-65660-B
to fight at the risk of one s life	27-52347-B
to fight back	14-55661-B
to fight bitterly	35-56623-B
to fight bravely	18-18292-B
to fight desperately	27-52607-B
to fight desperately at the risk of one s life	27-51593-B
to fight for	41-38393-B,41-39807-B
to fight for fame	41-38477-B
to fight for mastery	1-13600-B
to fight for one s life	35-56175-B
to fight hand to hand	3-68547-B
to fight in one place after another	61-23652-B
to fight off and make sb run off	26-49201-B
to fight or work desperately hard	27-52196-B
to fight to a standstill	26-44239-B
to fight to reverse sth	26-48109-B
to fight to the death	58-23409-S
to fight to the last ditch	52-17315-B
to fight to win or die	52-18052-S
to fight together	23-6689-B
to fight us	6-47487-S
to fight with all one s might	9-46112-B
to figure	48-22652-B,48-23744-B
to figure out	23-23430-S,28-48030-S,48-23937-B
to figure out how to do something	23-23940-B
to figure what sth amounts to	12-37520-B
to file	9-16720-B,19-7951-B,64-34620-B,64-35140-B
to file a complaint	27-3172-B
to file a lawsuit	26-42747-B
to file away	35-54643-B
to fill	23-50522-B,39-35164-B
to fill a gap	16-22101-B
to fill a house to the rafters 成语 saw	36-56606-S
to fill a job vacancy	16-21997-B
to fill a post	6-64075-B
to fill a vacancy	5-62751-S,56-56409-B,56-58599-B
to fill gap	6-64653-B
to fill gaps with seedlings	56-59225-B
to fill in	16-21554-B
to fill in a blank on a form	16-22101-B
to fill in a form	16-21799-B
to fill in a form for sb else	4-30652-B
to fill in for sb	32-17735-B
to fill places up to a given number	6-65002-S
to fill the air	40-16516-B
to fill the ocean with stones 成语 saw	48-57976-S
to fill the road also fig clamor	61-7970-B
to fill the whole sky	39-52210-S
to fill the whole sky and cover the land	39-52309-S,39-52449-S
to fill to overflowing	39-39646-B
to fill up	6-64518-B,57-0-B
to fill up or cover up a hole	30-5703-B
to fill with stuffing e g in cooking	17-70359-B
to fill 成语 saw	25-1415-S
to film	27-29463-B,27-30002-B,48-42732-S
to filter	38-40562-B,40-12103-B,48-34468-B,48-34669-B,62-46958-B
to filter and purify	40-12412-B
to filter out	40-12652-B
to finalize	20-20979-B
to find	26-58729-S,26-58729-B,28-56529-B,44-31357-B
to find a defect 成语 saw	40-815-S
to find a path	28-24039-B
to find a way out	1-17121-S
to find a way through esp corrupt	65-10751-B
to find acceptable	25-6291-B
to find an excuse	6-115-B,26-59290-B
to find an opportunity to speak	14-30023-S
to find another cropping up	27-61868-S
to find appropriate responses to difficult or delicate situation	58-63531-B
to find differing aspects	10-40561-B
to find excuses to get off a charge	8-44147-B
to find fault	26-59234-B,26-59384-B,26-59545-B,26-59834-B,27-65442-B,40-815-B
to find fault in minor details	13-35409-S,58-8413-S
to find fault with	27-60989-B
to find guarantor	8-4662-B
to find no way out	4-39986-B
to find out	2-8868-S,33-45654-B,42-23741-B,45-60056-B
to find out by tactful indirect questioning	18-8875-B
to find sth embarassing	46-43225-B
to find surety	8-4662-B
to find the right way to solve it	20-53110-S,20-53317-S
to find the time to do sth	27-17530-B
to fine sb	47-16590-B
to finish	1-21083-S,3-28532-B,6-57048-B,6-61047-S,19-36468-B,19-38032-B,19-38093-B,29-40732-B,43-54040-B,45-7675-B,49-41844-B,50-54159-B,53-4673-S,53-18227-S
to finish a drink	14-10207-B,14-10363-B
to finish a trial	20-22192-B
to finish an exam	51-33092-B
to finish apprenticeship	8-39151-B,39-38196-B
to finish eating	12-27214-B
to finish off	41-4786-B
to finish school	43-54755-B,49-42442-B
to finish sth	59-40430-S
to finish work	1-61717-B
to finish 成语 saw	18-38918-S
to fire	40-29355-B,57-47449-B,61-37012-B
to fire a rocket	44-27628-B
to fire a salvo	28-17626-B
to fire from a job	9-12096-B
to fire from the hip	1-69119-B
to fire in bursts	71-39035-B,71-40830-B
to fire innuendo	66-47205-B
to fire manufacturing process	41-26272-B
to fire pots and smelt metal	66-31120-S
to fire pottery	41-27213-B
to fire warning shots	70-52892-B
to firmly believe	46-33123-B
to firmly deny	16-5200-B
to first show one s horns 成语 saw	9-1993-S
to fish	26-50732-B,39-42094-B
to fish a needle from the sea 成语 saw	17-25213-B
to fish in troubled water 成语 saw	38-54113-B,39-7964-B
to fish out person or object from the sea	26-44926-B
to fish with a hook and bait	64-19637-B
to fish with line and hook	64-19735-B
to fit	12-34662-B,12-38101-B,47-34200-B,58-39856-S,62-64453-B,62-64819-B,62-65245-B,63-37075-B,63-37495-B
to fit a handle into a socket	34-25015-B
to fit as to a procrustean bed	9-17159-S
to fit current fashion	12-31509-B,12-34724-B,31-40069-B
to fit data to a model	29-27499-B
to fit e g a light bulb	57-740-B
to fit in corner of a room	57-45188-S
to fit in with	8-60791-B
to fit into a mortise	34-40664-S
to fit into society	46-48518-B
to fit like mortise and tenon	65-11213-B
to fit out	30-16223-B
to fit snugly	59-47947-B
to fit the body 成语 saw	45-32464-S
to fit the shoes 成语 saw	9-17159-S
to fit together	57-903-B
to fit up	56-60642-B
to fit well clothes	12-17108-B
to five dou 五斗 before tang	30-35771-S
to fix	5-48656-B,18-11298-B,18-11643-B,19-43542-B,23-23323-B,23-51750-B,28-57172-B,29-46212-B,30-14635-B,56-60349-B,57-32862-B
to fix a leak in a roof	35-13965-B
to fix a photographic image	19-45107-B
to fix a place to live	19-44749-B
to fix a price	19-43802-B
to fix attention on sth	37-44708-B
to fix on sth	46-33291-B
to fix one s gaze on	8-27879-B
to fix photos	71-3337-S
to fix rules	57-33621-B
to fix the capital	19-48857-B
to fix the price	57-32973-B
to fix up	4-65637-B,23-50522-B
to fixed time	19-45832-S
to flail about	3-26459-B
to flare out	27-22821-B
to flare up	44-26452-B
to flash	65-26004-B
to flash across one s mind	65-24406-B
to flash through one s mind	65-26508-B
to flatten	64-57424-B
to flatten out	27-22821-B
to flatten remove bumps	22-40749-B
to flatter	13-5544-B,18-3513-B,27-30398-B,28-6319-B,40-18000-B,58-40437-B,62-47304-B,66-12229-B
to flatter or give a compliment	25-4351-B
to flaunt	26-22028-B,34-53633-B
to flaunt one s achievements	53-3557-B
to flee	3-65766-B,8-38091-B,8-45711-B,61-64273-B,61-64498-B,61-64679-B,63-5989-B
to flee from sth	61-65514-B
to flee ignominiously	27-13948-B,27-14086-B
to flee in all directions	38-5317-B
to flee in disarray	3-27148-B
to flee in disorder	39-64537-B,47-59209-B
to flee in disorder and encamp somewhere	47-59135-B
to flee the country	8-46153-B
to fleece	28-55894-B
to flick dust off sb s cap 成语 saw	23-47088-S
to flicker of flame	28-54220-B
to flinch	43-48142-B
to fling	27-27154-B,43-36231-B
to fling sth up in anger	43-36277-B
to flip over	51-20733-B
to flirt	12-27759-B,12-44261-B,52-45967-B,62-4074-B
to flirt with a member of the opposite sex	26-43949-B
to flirt with a topic	38-56066-B,38-56232-B
to flit across	28-20564-B
to flit through a book	51-23644-B
to float	38-12409-B,38-14275-B,39-42970-B,39-43304-B,68-59793-B,68-60224-B,68-60256-B,68-60888-B,68-61592-B
to float a company on the stock market	1-49233-B
to float and dive	38-13702-B
to float and drift	38-12940-B
to float down	68-61443-B
to float in the air	68-61155-B
to float in the wind	68-61380-B,68-61528-B
to float on the current	68-60802-B
to float on the waves	68-61241-B
to float pestles 成语 saw	56-26513-S
to float suspended	26-2576-B
to float up	1-51454-B
to flock to see	56-2745-B
to flock together	51-11621-B,66-59032-B
to flog	27-50496-B,27-50616-B,61-58854-B,68-8502-B,68-8877-B
to flood	40-12896-B
to flourish	4-1808-B,31-17245-B,39-27453-B,43-21633-B,53-24664-B
to flourish and decay	53-22879-B
to flourish on a large scale	62-42399-B
to flourish one s arm or a flag	28-49648-B
to flourish then decline	45-5990-B
to flourish with the pen and sprinkle ink	28-49862-S
to flow	38-1681-B,38-4827-B
to flow and change	38-6539-B
to flow as water	37-52630-B
to flow back of water	39-9856-B
to flow into	10-37813-B,23-53105-B
to flow out	16-48640-B,27-27851-B,38-2176-B
to flow out swiftly	40-12896-B
to flow sluggishly	38-36359-B
to flow together	3-67103-B,3-68155-B,12-35300-B
to flower	65-40992-B
to fluctuate	37-37654-B
to flunk	54-50044-B
to flush away	37-14135-B
to flush red	49-10110-B
to flush with annoyance	5-8853-B
to flush with embarassment or anger	39-54226-B
to flutter	27-41563-B,28-44489-B,28-54220-B,68-60309-B,68-64673-B
to flutter in the wind	31-2965-B,68-61241-B
to flutter in the wind 成语 saw	61-46671-B
to fly	4-29854-B,51-17358-S,51-19772-B,68-59793-B,68-62406-B
to fly as a flock	51-11621-B
to fly directly	45-23644-B,45-25366-B
to fly from a flagpole	31-2965-B
to fly into a rage out of humiliation	25-24885-B
to fly on a crane	3-14873-B,60-40370-B
to fly on a crane and become immortal	69-50084-B
to fly on a crane to the western paradise	69-50179-B
to fly one s own flag	42-19607-B
to fly out	68-62535-B
to fly the flag as a cover for shady business	31-3456-B
to fly to the sky	1-48200-B
to fly up to the sky	28-17784-B
to fly upwards swiftly	69-54479-S
to foam with rage	60-17156-B
to focus	51-54954-B,58-38557-B,66-56610-B,66-58644-B
to focus a camera	20-52549-B
to focus attention on one phrase without regard to the meaning of the whole piece	30-59714-B
to focus light e g in theater	51-53510-B
to focus on	45-62351-B
to foil sb s plans	27-70063-B
to foist onto sb	49-15743-B
to fold	12-34612-B,27-8254-B,29-4131-B
to fold a document	29-4072-B
to fold in layers	43-64272-B
to fold over	20-50514-B
to fold over in layers	44-1129-B
to follow	4-60547-B,5-24678-B,9-16471-B,20-43346-B,24-9875-B,24-16899-B,26-62031-B,28-27562-B,28-27616-B,28-27616-B,30-61935-S,43-38556-B,60-38496-B,61-50387-B,61-61013-B,62-68129-B,62-68498-B,62-69010-B,66-42753-B,66-43690-B,68-21881-B,68-26517-B
to follow a line of argument	68-26054-S
to follow a model	29-26964-B
to follow a narrow path	43-38731-B
to follow a principle	4-55149-S,29-21528-S
to follow a set routine	66-30201-B
to follow a trail	61-60445-B
to follow after	50-42557-B
to follow bad examples	19-17423-B
to follow blindly	45-19691-B
to follow closely	60-37298-B,60-38229-B
to follow directives	62-68385-B
to follow fashion	60-31602-B
to follow good examples	19-17602-B
to follow local customs	60-14360-S
to follow lustfull desires	25-585-B
to follow old patterns	14-62086-B
to follow on sb s heels	28-27988-B
to follow on the heels of	21-15685-B
to follow orders	18-3324-B
to follow precedent	26-61268-B
to follow precisely	50-15520-B
to follow sb closely	60-37794-B
to follow sb s precepts is the sincerest form of respect	25-4160-B
to follow sb s tracks	60-38372-B
to follow sth closely	65-56004-B
to follow the above instruction	8-60451-S
to follow the bad example of others	12-49154-B
to follow the example of	29-62595-B
to follow the original shape	41-6785-B
to follow the rules	24-17586-B,41-9730-B,62-68579-B
to follow the same road as	64-1093-B
to follow the track of an overturned cart 成语 saw	64-1165-B
to follow the vine to get to the melon	68-26576-S
to follow up a study	33-46685-B
to follow up a victory	3-12783-B
to follow up a victory and press home the attack	3-12870-B
to follow 成语 saw	40-53763-S
to foment	30-1663-B
to fondle	27-70909-B,29-14020-B,45-11012-B
to fondle admiringly	25-32509-B
to food	31-39326-S
to food bought at a restaurant	16-50977-S
to fool	13-53899-B,35-23458-B,48-60019-B,69-53447-B
to fool around	70-31726-B
to fool with	23-23323-B
to foot	24-12369-S,39-8552-S
to footnotes	35-36906-S
to forage	57-34171-B
to forbear	43-49879-B,66-47524-B
to forbid	41-4726-B,47-174-B
to force	9-67182-B,9-68093-B,18-47444-S,23-42597-B,23-45119-B,23-45639-B,34-519-B,61-51642-B,61-51942-B
to force a door open 成语 saw	46-20746-B
to force a plane to land	61-52727-B
to force a smile	54-45-B
to force into exile	38-1742-B
to force into service	27-21804-B
to force one s way	18-17526-B
to force one s way into	29-25510-B
to force onself to	46-26333-B
to force sb to do one s bidding	28-1754-S
to force sb to do sth	9-66715-B,23-44500-B
to force sb to give up drug	9-67380-B
to force sb to hand over sth	29-42166-B
to force sb to submit	28-1565-B
to force sb to surrender	61-52786-B
to force sth to fit as to a procrustean bed	9-17159-B
to forcibly release prisoners	9-63188-B
to ford a stream	38-35255-B
to forebode	68-29719-B
to forecast	9-24666-S,68-28315-B,68-30163-B,68-30477-B
to foreign domination	11-61778-S
to foreign environment	32-62358-S
to foresee	30-34634-B,61-67122-B,68-30163-B
to foreshadow	64-36644-S
to forest	61-62722-S
to forestall	28-61896-B
to foretell	68-29719-B
to foretell the future	11-10937-B
to foretell the future using the trigrams of the book of changes 易經 易经	23-52532-B
to forfeit	34-18371-B,50-53697-B
to forfeit future profit	30-60844-B
to forfeit sovereignty and humiliate the country 成语 saw	14-12644-B
to forge	6-10094-B,6-24830-B,40-66175-B,40-66380-B
to forge ahead	9-24921-B,62-29311-B
to forge ahead esp in the face of difficulties	61-44692-B
to forge ahead in the face of hardships and danger	29-31872-S
to forge ahead vigorously	48-58546-B
to forge alliances etc	49-41424-B
to forget	24-45251-B,63-2703-B
to forget about	24-51164-B
to forget and not bear recriminations 成语 saw	31-4488-B
to forget esp in writing	24-45307-B
to forget even after one s teeth fall out 成语 saw	37-12202-S,37-12381-S
to forget favors and violate justice 成语 saw	24-45369-B
to forget former enmity 成语 saw	45-8588-B
to forget oneself in extravagance	41-26338-B
to forgive	10-14060-B,11-35600-B,20-25144-B,20-27774-B,20-28168-B,59-45811-B
to forgive an offender	60-7587-B
to fork	26-53254-B
to form	23-54697-B,34-43230-B,34-43734-B,49-37683-B,49-41424-B,69-10956-B
to form a bond or relationship	6-13941-B
to form a cabinet	49-39306-B
to form a clique	49-45008-B,49-45059-B
to form a coherent whole	27-50905-B
to form a complete set	63-37807-B
to form a gang	49-40093-B
to form a pair e g to marry	63-37911-B
to form a partnership	12-31649-B
to form a picture	68-49965-B
to form a scab	49-42952-B
to form a seam	12-36759-B
to form an alliance	49-43005-B
to form an image	26-12087-B
to form friendship	49-43362-B
to form hollow	39-17639-B
to form pairs	49-40953-B
to form whole scrolls	48-3099-S
to formally call on	11-39470-B
to format	33-65531-B
to formulate	9-10969-B,56-46635-B,57-32862-B
to formulate rules	57-56976-B
to forsake	27-28514-B,34-18479-B
to forsake male friends	18-37449-S,18-37571-S
to fortify	58-2648-B
to fortify defenses and raze the fields 成语 saw	16-3723-B
to fortune	30-14429-S
to forward a message	61-22697-B
to forward a shipment	61-29015-B
to forward mail	61-20644-B
to forward message	6-35517-B
to foster	25-45713-B,26-56571-B,28-39388-B,29-14096-B,29-14717-B
to foster an ulcer and bequeath a calamity 成语 saw	69-11675-S,69-11878-S
to found	9-36072-B,9-36337-B,9-36995-B,9-37553-B,9-37695-B,23-20176-B,50-18730-B,58-1576-B,65-30538-B
to found a business	23-20469-B
to found a capital	18-11781-B
to found a country	23-20544-B
to found a dynasty	19-48857-B
to found a journal	9-35688-B
to found a state	65-31551-B
to found the song dynasty	66-28255-S
to fracture	27-8254-B
to frame	58-29886-B,66-32188-B
to frame an innocent person	6-49514-B
to frame false charge	66-31881-B
to frame sb	50-61840-B,59-15137-B
to frame sb by planting sth on them	34-861-B
to frame with false evidence	2-50298-B
to france	2-75399-S
to free	29-48426-B,57-53116-B
to free from	49-19962-B
to free oneself	56-18458-S
to free oneself from	29-30386-B
to free sb from prejudice or superstition	13-65580-B
to freeze	8-20682-B,8-27120-B,8-27677-B,49-40194-B
to freeze an account	20-32862-B
to freeze over of water or land	20-32483-B
to freeze solid	8-27290-B
to freeze to death	8-27217-B
to freight	61-7903-B
to frequent brothels	25-27194-B,27-20309-B
to freshen up	28-41051-B,57-47382-B
to fret	44-29076-B
to fret over the worries of long departed people 成语 saw	32-17116-B,32-17315-B
to frighten	14-39669-B,14-39738-B,26-3538-B
to frighten others	36-1705-S
to frighten seriously	46-19744-B
to frightened to move or speak	33-8508-B
to frisk	26-64477-B
to frolic	18-60692-B
to frolic for joy	66-52511-B
to front	5-61773-S,68-45593-S
to frown	45-1164-B
to fry	40-28927-B,41-1472-B
to fry in fat or oil	41-5354-B
to fuck	7-25595-B,21-20662-S,29-21314-B,52-7898-S,52-7945-B
to fuck slang	22-52002-B
to fulfil one s obligations	17-66856-S
to fulfill	20-15436-B,39-35164-B
to fulfill conditions or requirements	8-4727-S
to fulfill one s filial duties of mourning	39-37830-B,39-39032-B
to fulfill one s obligations	21-26473-B
to fulfill the quota	39-41954-B
to full membership	61-25280-S
to full strength	56-59596-S
to fully experience good or bad	6-28404-B
to fully understand	23-24061-B
to function aristotle 	43-18976-S
to function as rivals	8-52550-B
to function in some capacity	6-13941-B
to fund	8-45500-B
to funeral expenses	59-63404-S
to furnish	5-22852-B,28-36786-B
to further	69-11090-B
to fuse	10-38095-B,41-14156-B,56-10377-B,56-10837-B,64-52275-B
to future generations	6-36224-S
to gag	4-65267-B,64-23491-B
to gag free speech	41-11022-S
to gain	4-47120-S,11-6236-S,11-7601-B,24-5886-B,34-55223-S,42-23186-B,58-50390-S,60-4305-B
to gain a small advantage	37-26026-B
to gain at expense of others	57-62015-S
to gain by cheating	69-53669-B
to gain enormous profit	58-50466-B
to gain experience	38-34479-B
to gain from corrupt dealing	41-31903-B
to gain ground	27-12361-B
to gain influence by pull or unofficial channels	60-11548-S
to gain or have	1-70353-S
to gain profit by underhand means	41-49805-B,41-49897-B
to gallop	18-7867-B,60-33210-B,60-53835-B,62-20560-B,69-45380-B,69-47587-B,69-54205-B
to gamble	11-6045-B,11-7421-B,59-62148-B
to gamble with your life	42-38446-B
to gambol excitedly	66-52511-B
to gang up	32-42151-B
to gang up for personal interest 成语 saw	49-45059-B
to gang up with	10-12793-B
to gape	23-37771-B
to gargle	39-53668-B,39-53732-B
to garrison the border	26-6574-B
to garrison troops	69-48309-B
to garrison troups to open up land	21-27836-B
to gasp	14-6146-B
to gasp for breath	14-6409-B
to gasp in admiration	14-26829-B,35-26802-B
to gasp in amazement	14-27136-B
to gasp in surprise	5-57258-B,5-57344-B
to gasp with admiration	14-27022-B
to gate crash	65-52510-B
to gather	10-38330-B,12-10469-B,26-15167-S,28-20658-B,28-22795-B,28-56903-B,28-64907-B,29-17335-B,29-43150-B,32-21986-B,49-8170-B,49-50857-B,50-55293-B,54-61218-B,55-20807-B,66-56500-B,66-57004-B,66-58111-B
to gather a crowd	49-2004-B,51-53454-B,51-54996-B
to gather around sb	29-17491-B
to gather data	54-61218-B
to gather news	28-22246-B
to gather people	27-42288-B,29-42299-B
to gather together	47-40237-B,49-2364-B,51-54442-B,66-58860-B
to gather together a team	50-61661-B
to gather together volunteers	27-44327-B
to gather under one roof	40-9759-B
to gauge	39-4602-B
to gaze	45-52738-B,45-60326-B
to gaze afar	62-61276-B
to gaze at	45-54176-B,45-62253-B
to gaze into the distance	32-45379-B,62-62153-B
to gaze off into the distance	45-35122-B
to gaze steadily	45-15897-B
to gaze with reverence	45-60536-B
to geld	69-55365-B
to generate	43-20965-B,43-32422-B
to generation	2-37725-S
to generation 成语 saw	2-37921-S,4-30348-S
to genetic malformation	50-24917-S
to gently caress and stroke	29-14020-B
to germinate	39-27538-B
to germinate again	24-16027-B
to gesticulate	29-26797-B,36-9643-B
to gesticulate while talking 成语 saw	27-58611-B,27-58821-B
to gesture	36-9643-B
to gesture with hands	36-8397-B
to get	11-6045-B,11-57709-B,11-58112-B,24-5886-B,24-6920-B,42-23186-B,42-23305-B
to get a better grasp of sth	9-57559-B
to get a chemical out of solution	57-47990-B
to get a kick out of sth	62-47552-B
to get a lift	28-61069-B
to get a position by passing the imperial exam	2-82879-B
to get a share of the action	33-42747-B,33-42986-B
to get ahead	60-47348-B
to get ahead in work or study	56-30838-S
to get along	62-42853-B,62-46039-B
to get along together	12-31307-S,20-47481-B
to get along well with sb	27-948-B
to get along with	55-48615-B,58-41200-B
to get along with sb	38-52859-B
to get an advance on one s pay	6-51-B
to get an electric shock	57-55279-B
to get an eyeful	39-40299-B
to get an official position	69-52984-B
to get angry	1-53812-B,5-18478-B,5-18524-B,9-69213-B,25-24559-B,25-24798-B,36-24927-B,43-22119-B,44-28818-B,44-33198-B,70-29638-B
to get another person to harm sb	5-64277-S
to get anything to eat	12-26162-S
to get authority	24-7106-B
to get away from	52-32243-B
to get away from a famine stricken region	61-65368-B
to get away from home	65-52839-B
to get back to a previous topic	2-34293-S
to get benefit	42-23983-B
to get better quickly	67-43105-B
to get better without medical treatment	2-17048-B
to get bigger	28-31265-S
to get busy about	23-41105-B
to get by	30-18740-S,38-56665-S
to get by with	20-46890-B
to get by with difficulty	48-59745-B,48-59829-B
to get caught up in	66-32033-B
to get close to sb	31-38356-B
to get drunk	14-10638-B,63-41363-B
to get drunk and act crazy	29-8848-B
to get drunk and quarrel	63-41442-B
to get excited	9-69259-B
to get fat a sign of prosperity	44-32305-B
to get fed up with sth	5-59875-S
to get help from	5-64456-B
to get hold of	23-23627-B,28-57082-B
to get hold of in the sense of to acquire	23-23707-B
to get in hand	23-23707-B
to get in on the action	39-9651-B
to get in the way of	29-20069-B
to get in touch with	28-26662-B
to get into	65-8433-B,65-10894-B
to get into a habit	1-54327-B
to get into a mess	11-62981-B
to get into armor	29-22298-B
to get into bad habits through long custom	33-43573-B
to get into confrontation	13-55399-B
to get into conversation with	28-60925-B
to get into difficulties	62-35936-B
to get into trouble	8-34132-B
to get into trouble on account of a cherished item	26-1115-B
to get involved	23-7032-B
to get involved with	62-44078-B
to get it wrong	46-21289-B
to get lost	60-10923-B
to get married	5-6006-B,12-33181-S,22-11342-S,26-11964-B,49-40607-B,62-21604-S
to get married in former times	18-21376-S
to get married in the end 谚语 proverb	32-33225-B,49-35765-B
to get married man	26-9529-B
to get married of woman	8-38153-B,18-57693-B
to get married on the spur of the moment	65-25220-B,65-26835-B
to get money	28-57474-B
to get news	42-23741-B
to get off a charge	8-44147-S
to get off a plane	1-64847-B
to get off or out of a bus	1-63251-B
to get off the main topic	60-14649-B
to get off work	1-61717-B
to get on a horse	1-57737-B
to get on in the world	4-9601-S
to get on or into a bus	1-56106-B
to get on the boat	1-55128-B
to get on well at first meeting	6-49006-B
to get on with	12-33311-S,18-6236-B
to get on with it	61-51698-S
to get on with sb	47-38518-S
