陇南地区	66-51143-S
陣亡 阵亡	66-20726-B
陣亡者 阵亡者	66-20775-B
陣地 阵地	66-20845-B
陣容 阵容	66-20893-B
陣營 阵营	66-20946-B
陣痛 阵痛	66-21029-B
陣線 阵线	66-21076-B
陣雨 阵雨	66-21141-B
陣風 阵风	66-21181-B
除	66-21221-S
除 除	66-21221-B
除了	66-21334-S
除了 除了	66-21334-B
除了之外	66-21426-S
除了之外 除了之外	66-21426-B
除以	66-21486-S
除以 除以	66-21486-B
除去	66-21534-S
除去 除去	66-21534-B
除名	66-21600-S
除名 除名	66-21600-B
除垢剂	66-21651-S
除垢劑 除垢剂	66-21651-B
除塵 除尘	66-21704-B
除塵機 除尘机	66-21794-B
除夕	66-21866-S
除夕 除夕	66-21866-B
除外	66-21915-S
除外 除外	66-21915-B
除子	66-22015-S
除子 除子	66-22015-B
除尘	66-21704-S
除尘机	66-21794-S
除恶务尽	66-22063-S
除惡務盡 除恶务尽	66-22063-B
除掉	66-22193-S
除掉 除掉	66-22193-B
除暴安良	66-22240-S
除暴安良 除暴安良	66-22240-B
除根	66-22392-S
除根 除根	66-22392-B
除此之外	66-22485-S
除此之外 除此之外	66-22485-B
除沾染	66-22575-S
除沾染 除沾染	66-22575-B
除法	66-22636-S
除法 除法	66-22636-B
除祟	66-22685-S
除祟 除祟	66-22685-B
除草	66-22759-S
除草 除草	66-22759-B
除草剂	66-22800-S
除草劑 除草剂	66-22800-B
除霜	66-22865-S
除霜 除霜	66-22865-B
除非	66-22912-S
除非 除非	66-22912-B
陥	66-22958-S
陥 陥	66-22958-B
陧	66-38255-S
陨	66-41298-S
陨星	66-41339-S
陨石	66-41396-S
陨落	66-41445-S
险	66-45513-S
险些	66-45560-S
险兆	66-45617-S
险峰	66-45662-S
险峻	66-45729-S
险恶	66-45841-S
险情	66-45777-S
险球	66-45900-S
险症	66-45960-S
险诈	66-46013-S
险阻	66-46070-S
陪	66-23048-S
陪 陪	66-23048-B
陪伴	66-23102-S
陪伴 陪伴	66-23102-B
陪同	66-23145-S
陪同 陪同	66-23145-B
陪嫁	66-23189-S
陪嫁 陪嫁	66-23189-B
陪审团	66-23228-S
陪審團 陪审团	66-23228-B
陪葬	66-23279-S
陪葬 陪葬	66-23279-B
陪葬品	66-23377-S
陪葬品 陪葬品	66-23377-B
陬	66-23477-S
陬 陬	66-23477-B
陰 阴	66-23523-B,66-23681-B
陰冷 阴冷	66-23715-B
陰唇 阴唇	66-23765-B
陰囊 阴囊	66-23805-B
陰天 阴天	66-23847-B
陰山 阴山	66-23905-B
陰帝 阴帝	66-23971-B
陰平 阴平	66-24047-B
陰平聲 阴平声	66-24101-B
陰影 阴影	66-24168-B
陰徑 阴径	66-24209-B
陰性 阴性	66-24274-B
陰戶 阴户	66-24317-B
陰暗 阴暗	66-24356-B
陰曆 阴历	66-24399-B
陰曹 阴曹	66-24446-B
陰極 阴极	66-24496-B
陰極射線管 阴极射线管	66-24581-B
陰毛 阴毛	66-24665-B
陰沉 阴沉	66-24709-B
陰涼 阴凉	66-24750-B
陰涼處 阴凉处	66-24791-B
陰穴 阴穴	66-24849-B
陰精 阴精	66-24940-B
陰莖 阴茎	66-24985-B
陰蒂 阴蒂	66-25025-B
陰謀 阴谋	66-25066-B
陰謀顛覆政府罪 阴谋颠覆政府罪	66-25115-B
陰道 阴道	66-25256-B
陰道口 阴道口	66-25296-B
陰道炎 阴道炎	66-25380-B
陰部 阴部	66-25486-B
陰門 阴门	66-25539-B
陰間 阴间	66-25600-B
陰阜 阴阜	66-25653-B
陰陽 阴阳	66-25698-B
陰陽家 阴阳家	66-25745-B
陰險 阴险	66-25828-B
陰離子 阴离子	66-25883-B
陰離子部位 阴离子部位	66-25938-B
陰霾 阴霾	66-26014-B
陰面 阴面	66-26052-B
陰風 阴风	66-26107-B
陰鬱 阴郁	66-26162-B
陲	66-26201-S
陲 陲	66-26201-B
陳 陈	66-26233-B,66-26326-B
陳仁錫 陈仁锡	66-26403-B
陳仲琳 陈仲琳	66-26470-B
陳伯達 陈伯达	66-26580-B
陳倉 陈仓	66-26644-B
陳兵 陈兵	66-26731-B
陳再道 陈再道	66-26798-B
陳凱歌 陈凯歌	66-26855-B
陳列 陈列	66-26910-B
陳列臺 陈列台	66-26960-B
陳可雄 陈可雄	66-27011-B
陳壽 陈寿	66-27078-B
陳天華 陈天华	66-27150-B
陳奏 陈奏	66-27221-B
陳套 陈套	66-27294-B
陳巴爾虎旗 陈巴尔虎旗	66-27350-B
陳希同 陈希同	66-27458-B
陳年 陈年	66-27523-B
陳德良 陈德良	66-27584-B
陳忱 陈忱	66-27675-B
陳恭尹 陈恭尹	66-27732-B
陳情 陈情	66-27803-B
陳放 陈放	66-27861-B
陳方安生 陈方安生	66-27907-B
陳景潤 陈景润	66-28084-B
陳書 陈书	66-28179-B
陳橋兵變 陈桥兵变	66-28255-B
陳毅 陈毅	66-28410-B
陳水扁 陈水扁	66-28463-B
陳沖 陈冲	66-28533-B
陳炯明 陈炯明	66-28579-B
陳獨秀 陈独秀	66-28654-B
陳皮 陈皮	66-28721-B
陳省身 陈省身	66-28824-B
陳米 陈米	66-28901-B
陳納德 陈纳德	66-28968-B
陳紹 陈绍	66-29030-B
陳美 陈美	66-29083-B
陳腐 陈腐	66-29129-B
陳舊 陈旧	66-29213-B
陳規 陈规	66-29261-B
陳規舊習 陈规旧习	66-29335-B
陳規陋習 陈规陋习	66-29412-B
陳設 陈设	66-29507-B
陳訴 陈诉	66-29553-B
陳詞濫調 陈词滥调	66-29605-B
陳說 陈说	66-29699-B
陳谷子爛芝麻 陈谷子烂芝麻	66-29753-B
陳貨 陈货	66-29843-B
陳跡 陈迹	66-29902-B
陳述 陈述	66-29978-B
陳述句 陈述句	66-30045-B
陳酒 陈酒	66-30110-B
陳醋 陈醋	66-30153-B
陳陳相因 陈陈相因	66-30201-B
陳雲 陈云	66-30284-B
陳露 陈露	66-30339-B
陳香梅 陈香梅	66-30380-B
陴	66-30441-S
陴 陴	66-30441-B
陴县	66-30470-S
陴縣 陴县	66-30470-B
陵	66-30524-S
陵 陵	66-30524-B
陵县	66-31011-S
陵园	66-30572-S
陵园 陵园	66-30572-B
陵墓	66-30624-S
陵墓 陵墓	66-30624-B
陵夷	66-30672-S
陵夷 陵夷	66-30672-B
陵寢	66-30760-S
陵寢 陵寢	66-30760-B
陵川	66-30813-S
陵川 陵川	66-30813-B
陵水黎族自治县	66-30881-S
陵水黎族自治縣 陵水黎族自治县	66-30881-B
陵縣 陵县	66-31011-B
陶	66-31070-S
陶 陶	66-31070-B
陶乐	66-31353-S
陶冶	66-31120-S
陶冶 陶冶	66-31120-B
陶哲軒 陶哲轩	66-31203-B
陶哲轩	66-31203-S
陶器	66-31260-S
陶器 陶器	66-31260-B
陶土	66-31300-S
陶土 陶土	66-31300-B
陶樂 陶乐	66-31353-B
陶淵明	66-31414-S
陶渊明 陶淵明	66-31414-B
陶潛 陶潜	66-31486-B
陶潜	66-31486-S
陶瓷	66-31578-S
陶瓷 陶瓷	66-31578-B
陶瓷器	66-31641-S
陶瓷器 陶瓷器	66-31641-B
陶笛	66-31701-S
陶笛 陶笛	66-31701-B
陶艺	66-31762-S
陶藝 陶艺	66-31762-B
陶醉	66-31809-S
陶醉 陶醉	66-31809-B
陷	66-31881-S
陷 陷	66-31881-B
陷于	66-32248-S
陷入	66-32033-S
陷入 陷入	66-32033-B
陷坑	66-32126-S
陷坑 陷坑	66-32126-B
陷害	66-32188-S
陷害 陷害	66-32188-B
陷於 陷于	66-32248-B
陷落	66-32332-S
陷落 陷落	66-32332-B
陷落带	66-32439-S
陷落帶 陷落带	66-32439-B
陷阱	66-32503-S
陷阱 陷阱	66-32503-B
陸 陆	66-32597-B,66-32653-B
陸上 陆上	66-32706-B
陸克文 陆克文	66-32759-B
陸地 陆地	66-32820-B
陸坡 陆坡	66-32884-B
陸基 陆基	66-32965-B
陸基導彈 陆基导弹	66-33007-B
陸川 陆川	66-33079-B
陸徵祥 陆征祥	66-33144-B
陸探微 陆探微	66-33217-B
陸架 陆架	66-33289-B
陸棲 陆栖	66-33339-B
陸榮廷 陆荣廷	66-33397-B
陸河 陆河	66-33466-B
陸河縣 陆河县	66-33527-B
陸海空三軍 陆海空三军	66-33600-B
陸海空軍 陆海空軍	66-33671-B
陸生 陆生	66-33731-B
陸續 陆续	66-33785-B
陸良 陆良	66-33868-B
陸西星 陆西星	66-33932-B
陸豐 陆丰	66-33999-B
陸豐市 陆丰市	66-34068-B
陸路 陆路	66-34155-B
陸軍 陆军	66-34224-B
陸軍上校 陆军上校	66-34261-B
陸軍中尉 陆军中尉	66-34326-B
陸遊 陆游	66-34393-B
陸運 陆运	66-34444-B
陸陸續續 陆陆续续	66-34491-B
険	66-34587-S
険 険	66-34587-B
陼	66-34638-S
陼 陼	66-34638-B
陽 阳	66-34671-B
陽信 阳信	66-34748-B
陽傘 阳伞	66-34814-B
陽光 阳光	66-34856-B
陽具 阳具	66-34901-B
陽原 阳原	66-34940-B
陽城 阳城	66-35005-B
陽壽 阳寿	66-35073-B
陽山 阳山	66-35130-B
陽山縣 阳山县	66-35200-B
陽平 阳平	66-35282-B
陽平聲 阳平声	66-35336-B
陽性 阳性	66-35403-B
陽新 阳新	66-35457-B
陽春 阳春	66-35520-B
陽曆 阳历	66-35588-B
陽曲 阳曲	66-35666-B
陽朔 阳朔	66-35728-B
陽東 阳东	66-35795-B
陽極 阳极	66-35864-B
陽歐予倩 欧阳予倩	66-35936-B
陽歐詢 欧阳询	66-36017-B
陽歷 阳歷	66-36084-B
陽江 阳江	66-36157-B
陽江市 阳江市	66-36238-B
陽泉 阳泉	66-36330-B
陽泉市 阳泉市	66-36417-B
陽痿 阳痿	66-36515-B
陽臺 阳台	66-36566-B
陽西 阳西	66-36614-B
陽谷 阳谷	66-36679-B
陽陽 阳阳	66-36743-B
陽離子 阳离子	66-36799-B
陽電極 阳电极	66-36870-B
陽電荷 阳电荷	66-36968-B
陽高 阳高	66-37038-B
陾	66-37102-S
陾 陾	66-37102-B
隃	66-37154-S
隃 隃	66-37154-B
隄 堤	66-37192-B
隅	66-37218-S
隅 隅	66-37218-B
隆	66-37246-S,66-37284-S
隆 隆	66-37246-B,66-37284-B
隆冬	66-37347-S
隆冬 隆冬	66-37347-B
隆化	66-37412-S
隆化 隆化	66-37412-B
隆回	66-37475-S
隆回 隆回	66-37475-B
隆堯 隆尧	66-37538-B
隆子	66-37601-S
隆子 隆子	66-37601-B
隆安	66-37662-S
隆安 隆安	66-37662-B
隆尧	66-37538-S
隆德	66-37726-S
隆德 隆德	66-37726-B
隆昌	66-37789-S
隆昌 隆昌	66-37789-B
隆林各族自治县	66-37858-S
隆林各族自治縣 隆林各族自治县	66-37858-B
隆格尔	66-37987-S
隆格爾 隆格尔	66-37987-B
隆起	66-38059-S
隆起 隆起	66-38059-B
隆重	66-38110-S
隆重 隆重	66-38110-B
隆隆	66-38182-S
隆隆 隆隆	66-38182-B
隈	66-38224-S
隈 隈	66-38224-B
隉 陧	66-38255-B
隊 队	66-38287-B
隊伍 队伍	66-38329-B
隊列 队列	66-38374-B
隊友 队友	66-38417-B
隊員 队员	66-38471-B
隊形 队形	66-38517-B
隊旗 队旗	66-38561-B
隊部 队部	66-38606-B
隊長 队长	66-38658-B
隋	66-38713-S
隋 隋	66-38713-B
隋书	66-39201-S
隋代	66-38773-S
隋代 隋代	66-38773-B
隋唐	66-38828-S
隋唐 隋唐	66-38828-B
隋唐演义	66-38905-S
隋唐演義 隋唐演义	66-38905-B
隋文帝	66-38995-S
隋文帝 隋文帝	66-38995-B
隋文帝杨坚	66-39086-S
隋文帝楊堅 隋文帝杨坚	66-39086-B
隋書 隋书	66-39201-B
隋朝	66-39261-S
隋朝 隋朝	66-39261-B
隋末	66-39317-S
隋末 隋末	66-39317-B
隋炀帝	66-39400-S
隋煬帝 隋炀帝	66-39400-B
隍	66-39474-S
隍 隍	66-39474-B
階 阶	66-39519-B
階層 阶层	66-39561-B
階梯 阶梯	66-39605-B
階段 阶段	66-39730-B
階段性 阶段性	66-39791-B
階級 阶级	66-39860-B
階級式 阶级式	66-39907-B
階級鬥爭 阶级斗争	66-39963-B
随	66-42753-S
随之而后	66-42845-S
随从	66-43690-S
随便	66-42940-S
随信	66-43028-S
随即	66-43086-S
随同	66-43156-S
随后	66-43646-S
随员	66-43268-S
随和	66-43203-S
随地	66-43312-S
随处	66-44976-S
随州	66-43432-S
随州市	66-43505-S
随带	66-43589-S
随意	66-43747-S
随手	66-43847-S
随时	66-43942-S
随机	66-43987-S
随机存取	66-44063-S
随机存取存储器	66-44139-S
随机存取记忆体	66-44251-S
随机应变	66-44361-S
随机效应	66-44478-S
随机数	66-44552-S
随机时间	66-44609-S
随波逐流	66-44702-S
随着	66-44837-S
随笔	66-44776-S
随葬品	66-44905-S
随身	66-45029-S
随身听	66-45109-S
随风	66-45191-S
随风倒	66-45246-S
随风倒舵	66-45313-S
隐	66-46270-S
隐事	66-46316-S
隐伏	66-46358-S
隐位	66-46409-S
隐修	66-46470-S
隐修士	66-46515-S
隐修院	66-46576-S
隐函数	66-46649-S
隐君子	66-46711-S
隐含	66-46807-S
隐喻	66-46899-S
隐土	66-46940-S
隐士	66-47029-S
隐姓埋名	66-47069-S
隐密	66-47169-S
隐射	66-47205-S
隐居	66-47270-S
隐居隆中	66-47332-S
隐形	66-47410-S
隐形眼镜	66-47454-S
隐忍	66-47524-S
隐忧	66-48009-S
隐恶扬善	66-47842-S
隐患	66-47656-S
隐情	66-47774-S
隐意	66-47961-S
隐映	66-48071-S
隐显	66-50641-S
隐显目标	66-50764-S
隐晦	66-48128-S
隐没	66-48171-S
隐灭	66-48248-S
隐然	66-48317-S
隐燃	66-48384-S
隐现	66-48482-S
隐疾	66-48546-S
隐痛	66-48627-S
隐睾	66-48693-S
隐瞒	66-48735-S
隐私	66-48827-S
隐私权	66-48867-S
隐秘	66-48925-S
隐约	66-48977-S
隐约其辞	66-49033-S
隐色	66-49138-S
隐蔽	66-49221-S
隐蔽强迫下载	66-49291-S
隐藏	66-49441-S
隐藏处	66-49494-S
隐血	66-49560-S
隐衷	66-49619-S
隐讳	66-49773-S
隐语	66-49716-S
隐身草	66-49962-S
隐身草儿	66-50086-S
隐迹	66-49843-S
隐迹埋名	66-49889-S
隐退	66-50177-S
隐逸	66-50234-S
隐遁	66-50274-S
隐避	66-50332-S
隐隐	66-50425-S
隐隐约约	66-50475-S
隐隐绰绰	66-50559-S
隐颧	66-50840-S
隐饰	66-50918-S
隒	66-40038-S
隒 隒	66-40038-B
隔	66-40089-S
隔 隔	66-40089-B
隔壁	66-40167-S
隔壁 隔壁	66-40167-B
隔壁有耳	66-40208-S
隔壁有耳 隔壁有耳	66-40208-B
隔年皇历	66-40276-S
隔年皇曆 隔年皇历	66-40276-B
隔开	66-41023-S
隔断	66-40416-S
隔断板	66-40511-S
隔斷 隔断	66-40416-B
隔斷板 隔断板	66-40511-B
隔热	66-40571-S
隔热材料	66-40614-S
隔熱 隔热	66-40571-B
隔熱材料 隔热材料	66-40614-B
隔离	66-41111-S
隔离霜	66-41165-S
隔絕 隔绝	66-40679-B
隔绝	66-40679-S
隔膜	66-40750-S
隔膜 隔膜	66-40750-B
隔行	66-40879-S
隔行 隔行	66-40879-B
隔行扫描	66-40947-S
隔行掃描 隔行扫描	66-40947-B
隔開 隔开	66-41023-B
隔閡 隔阂	66-41067-B
隔阂	66-41067-S
隔離 隔离	66-41111-B
隔離霜 隔离霜	66-41165-B
隔音	66-41251-S
隔音 隔音	66-41251-B
隕 陨	66-41298-B
隕星 陨星	66-41339-B
隕石 陨石	66-41396-B
隕落 陨落	66-41445-B
隗	66-41494-S
隗 隗	66-41494-B
隘	66-41542-S
隘 隘	66-41542-B
隘口	66-41603-S
隘口 隘口	66-41603-B
隘谷	66-41651-S
隘谷 隘谷	66-41651-B
隘路	66-41735-S
隘路 隘路	66-41735-B
隙	66-41788-S
隙 隙	66-41788-B
隙縫 隙缝	66-41836-B
隙缝	66-41836-S
際 际	66-41878-B
際會 际会	66-41949-B
際遇 际遇	66-42000-B
障	66-42079-S
障 障	66-42079-B
障眼	66-42134-S
障眼 障眼	66-42134-B
障碍	66-42217-S
障碍性贫血	66-42301-S
障礙 障碍	66-42217-B
障礙性貧血 障碍性贫血	66-42301-B
隠	66-42392-S
隠 隠	66-42392-B
隣	66-42442-S
隣 隣	66-42442-B
隤	66-42492-S
隤 隤	66-42492-B
隧	66-42533-S
隧 隧	66-42533-B
隧道	66-42588-S
隧道 隧道	66-42588-B
隧道尽头的光亮	66-42628-S
隧道盡頭的光亮 隧道尽头的光亮	66-42628-B
隨 随	66-42753-B
隨之而後 随之而后	66-42845-B
隨便 随便	66-42940-B
隨信 随信	66-43028-B
隨即 随即	66-43086-B
隨同 随同	66-43156-B
隨和 随和	66-43203-B
隨員 随员	66-43268-B
隨地 随地	66-43312-B
隨州 随州	66-43432-B
隨州市 随州市	66-43505-B
隨帶 随带	66-43589-B
隨後 随后	66-43646-B
隨從 随从	66-43690-B
隨意 随意	66-43747-B
隨手 随手	66-43847-B
隨時 随时	66-43942-B
隨機 随机	66-43987-B
隨機存取 随机存取	66-44063-B
隨機存取存儲器 随机存取存储器	66-44139-B
隨機存取記憶體 随机存取记忆体	66-44251-B
隨機應變 随机应变	66-44361-B
隨機效應 随机效应	66-44478-B
隨機數 随机数	66-44552-B
隨機時間 随机时间	66-44609-B
隨波逐流 随波逐流	66-44702-B
隨筆 随笔	66-44776-B
隨著 随着	66-44837-B
隨葬品 随葬品	66-44905-B
隨處 随处	66-44976-B
隨身 随身	66-45029-B
隨身聽 随身听	66-45109-B
隨風 随风	66-45191-B
隨風倒 随风倒	66-45246-B
隨風倒舵 随风倒舵	66-45313-B
隩	66-45483-S
隩 隩	66-45483-B
險 险	66-45513-B
險些 险些	66-45560-B
險兆 险兆	66-45617-B
險峰 险峰	66-45662-B
險峻 险峻	66-45729-B
險情 险情	66-45777-B
險惡 险恶	66-45841-B
險球 险球	66-45900-B
險症 险症	66-45960-B
險詐 险诈	66-46013-B
險阻 险阻	66-46070-B
隮	66-46134-S
隮 隮	66-46134-B
隰	66-46169-S
隰 隰	66-46169-B
隰县	66-46217-S
隰縣 隰县	66-46217-B
隱 隐	66-46270-B
隱事 隐事	66-46316-B
隱伏 隐伏	66-46358-B
隱位 隐位	66-46409-B
隱修 隐修	66-46470-B
隱修士 隐修士	66-46515-B
隱修院 隐修院	66-46576-B
隱函數 隐函数	66-46649-B
隱君子 隐君子	66-46711-B
隱含 隐含	66-46807-B
隱喻 隐喻	66-46899-B
隱土 隐土	66-46940-B
隱士 隐士	66-47029-B
隱姓埋名 隐姓埋名	66-47069-B
隱密 隐密	66-47169-B
隱射 隐射	66-47205-B
隱居 隐居	66-47270-B
隱居隆中 隐居隆中	66-47332-B
隱形 隐形	66-47410-B
隱形眼鏡 隐形眼镜	66-47454-B
隱忍 隐忍	66-47524-B
隱性	66-47605-S
隱性 隱性	66-47605-B
隱患 隐患	66-47656-B
隱情 隐情	66-47774-B
隱惡揚善 隐恶扬善	66-47842-B
隱意 隐意	66-47961-B
隱憂 隐忧	66-48009-B
隱映 隐映	66-48071-B
隱晦 隐晦	66-48128-B
隱沒 隐没	66-48171-B
隱滅 隐灭	66-48248-B
隱然 隐然	66-48317-B
隱燃 隐燃	66-48384-B
隱現 隐现	66-48482-B
隱疾 隐疾	66-48546-B
隱痛 隐痛	66-48627-B
隱睾 隐睾	66-48693-B
隱瞞 隐瞒	66-48735-B
隱私 隐私	66-48827-B
隱私權 隐私权	66-48867-B
隱秘 隐秘	66-48925-B
隱約 隐约	66-48977-B
隱約其辭 隐约其辞	66-49033-B
隱色 隐色	66-49138-B
隱蔽 隐蔽	66-49221-B
隱蔽強迫下載 隐蔽强迫下载	66-49291-B
隱藏 隐藏	66-49441-B
隱藏處 隐藏处	66-49494-B
隱血 隐血	66-49560-B
隱衷 隐衷	66-49619-B
隱語 隐语	66-49716-B
隱諱 隐讳	66-49773-B
隱跡 隐迹	66-49843-B
隱跡埋名 隐迹埋名	66-49889-B
隱身草 隐身草	66-49962-B
隱身草兒 隐身草儿	66-50086-B
隱退 隐退	66-50177-B
隱逸 隐逸	66-50234-B
隱遁 隐遁	66-50274-B
隱避 隐避	66-50332-B
隱隱 隐隐	66-50425-B
隱隱約約 隐隐约约	66-50475-B
隱隱綽綽 隐隐绰绰	66-50559-B
隱顯 隐显	66-50641-B
隱顯目標 隐显目标	66-50764-B
隱顴 隐颧	66-50840-B
隱飾 隐饰	66-50918-B
隳	66-50962-S
隳 隳	66-50962-B
隴 陇	66-51002-B
隴南 陇南	66-51064-B
隴南地區 陇南地区	66-51143-B
隴南市 陇南市	66-51263-B
隴川 陇川	66-51353-B
隴縣 陇县	66-51421-B
隴西 陇西	66-51479-B
隶	66-51589-S
隶书	66-51705-S
隶属	66-51629-S
隷	66-51540-S
隷 隷	66-51540-B
隸 隶	66-51589-B
隸屬 隶属	66-51629-B
隸書 隶书	66-51705-B
隹	66-51777-S
隹 隹	66-51777-B
隻 只	66-51818-B
隻身 只身	66-51881-B
隼	66-51932-S
隼 隼	66-51932-B
隽	66-60956-S
难	67-11146-S,67-11224-S
难为情	67-12988-S
难于登天	67-12719-S
难产	67-13108-S
难以	67-11273-S
难以应付	67-11322-S
难以抹去	67-11409-S
难以置信	67-11488-S
难保	67-11553-S
难免	67-11634-S
难关	67-13781-S
难分难舍	67-11707-S
难受	67-11834-S
难堪	67-11922-S
难处	67-13376-S
难度	67-11981-S
难弹	67-12029-S
难得	67-12110-S
难忘	67-12170-S
难怪	67-12218-S
难懂	67-12308-S
难捱	67-12619-S
难控制	67-12658-S
难民	67-12835-S
难民营	67-12876-S
难混	67-12934-S
难点	67-13942-S
难熬	67-13045-S
难看	67-13158-S
难缠	67-13206-S
难舍难分	67-12366-S
难舍难离	67-12493-S
难行	67-13435-S
难记	67-13482-S
难过	67-13654-S
难逃法网	67-13531-S
难道	67-13709-S
难闻	67-13320-S
难题	67-13833-S
难驾驭	67-13883-S
雀	66-51997-S,66-52038-S,66-52066-S
雀 雀	66-51997-B,66-52038-B,66-52066-B
雀噪	66-52093-S
雀噪 雀噪	66-52093-B
雀子	66-52174-S
雀子 雀子	66-52174-B
雀巢	66-52224-S
雀巢 雀巢	66-52224-B
雀形目	66-52266-S
雀形目 雀形目	66-52266-B
雀斑	66-52347-S
雀斑 雀斑	66-52347-B
雀盲	66-52390-S
雀盲 雀盲	66-52390-B
雀盲眼	66-52440-S
雀盲眼 雀盲眼	66-52440-B
雀跃	66-52511-S
雀躍 雀跃	66-52511-B
雀鳥 雀鸟	66-52611-B
雀鷹 雀鹰	66-52653-B
雀鸟	66-52611-S
雀鹰	66-52653-S
