beat music	48-28923-B
beautiful hair	70-28065-B
beautiful image of a woman	6-2827-B
beautiful jade	42-48552-B,42-51335-B,54-28840-B
beautiful lake and mountain landscape	39-10253-B
beautiful music 成语 saw	12-67387-S,12-67489-S
beautiful of young lady s face or old gentleman s calligraphy	8-40597-S
beautiful person	42-29480-S
beautiful place	37-57466-S
beautiful prose and ruin it	71-42276-S
beautiful scenery	10-3774-B,41-5219-S,51-7008-B
beautiful sound	68-17078-B
beautiful speech or piece of writing	55-45775-S
beautiful spring day	70-50916-S
beautiful than the outcome	62-47875-S
beautiful view	39-40231-S
beautiful woman	5-10944-B,21-8479-S,43-46166-S,48-47747-B,51-5785-B,53-57305-S,59-22531-S,69-25173-S
beautiful woman pair of lovers in fiction	26-37448-S
beautiful writing	42-45428-B
beautify	51-6198-B
beauty	5-11731-B,9-3784-S,18-44557-B,18-56496-S,18-56528-S,35-61606-S,42-29584-S,44-63484-S,45-55126-S,51-1828-B,53-46279-B,59-17756-S,59-17877-S,59-42345-S,59-57066-S
beauty and her possessions	4-16429-S
beauty contest	48-1209-B,48-1289-B
beauty queen	33-53599-S
beauty salon	51-6318-B
beauty sleep before midnight	51-6241-B
beauty treatment	51-9456-B
beauty unmatched in her generation 成语 saw	49-45481-B
beauty who flew to the moon	18-59702-S
beaver	37-20914-B,38-22435-B
beaver away despite difficulties	53-67037-S
bebe carpa	54-60745-S
became man	46-57751-S
because	4-35588-B,14-59041-B,14-60970-B,43-38789-B
because of	15-68873-B,40-31708-B,43-38556-B
because of a blockage	5-58742-S
because of a slight risk	14-59606-S
because of affection	25-11804-S
because of bad food	12-27037-S
because of blockage	5-58954-S
because of illness	58-56911-S
because of lack of practice	27-28249-S
because of this	14-59919-B
because of twisted leg	69-55396-S
beck and call	5-50462-S
beck iron corner of anvil	57-45447-B
beckon	12-10069-B,27-40966-S,27-42080-B,71-43083-B
becn	61-66444-B
become	6-13941-S,26-7394-B,26-10713-S,40-31590-S,41-40600-S,59-8277-B,59-8600-S
become a buddhist monk or nun	8-38288-S
become a cadre e g a promotion from shopfloor	61-22951-S
become a daoist	7-25719-S
become a daoist immortal	5-48520-S
become a government employee	6-14800-S
become a member	9-51435-S
become a member of an alliance or union	9-58460-S
become a pile of eggs 成语 saw	3-29733-S
become accustomed to sth through long practice	51-17687-S
become addicted	1-54327-S
become agitated	44-29144-S
become airsick	31-58484-S
become angry	59-11386-B
become apparent	56-47150-B
become as light as a feather and ascend to heaven	51-15546-S
become as one	26-44126-S
become aware	57-41330-S
become aware of	25-43043-S
become bald	47-41420-B,68-41320-B
become blind	17-65900-S
become clear by precipitation of impurities	39-65837-S
become corrupt	52-37307-S
become deformed	59-8131-S
become depraved	16-30333-S
become devaluated	59-44436-S
become different	59-6936-S
become dominant	24-7106-S
become drunk	63-40906-S
become due	21-19307-S
become due e g loans	9-9766-B
become emperor by the grace of heaven	11-60608-S
become enemies	49-40025-S
become enemies 成语 saw	11-51777-S
become engaged	58-3439-S
become estranged	44-3249-S
become excited with	61-53436-S
become exhausted	49-30859-S
become extensive	59-16709-S
become extinct	39-26327-S
become famous	28-44682-S
become fashionable	68-57086-S
become fat	60-51846-S
become forgotten	63-2703-S
become friends in hospital	44-9300-S
become gangrenous	52-37602-S
become hostile	51-22690-S
become immortal	26-7827-S,69-50084-S
become impoverished	46-18456-S
become incumbent upon	61-15672-B
become inexorably mixed up	60-45420-S
become inspired	53-25213-S
become intoxicated	37-7507-B
become invalid	5-6552-S
become involved for the first time	38-35685-S
become lost in a fog 成语 saw	16-30454-S
become man and wife	63-37495-S
become master of the universe	67-49095-S
become moldy	44-35639-S
become more intense esp of shortcoming	59-9647-S
become more serious every day	60-25601-S
become more urgent	9-55710-S
become neighbors	28-60797-S
become notorious	28-44682-S
become partner	28-58887-S
become popular	53-22708-S,60-13424-S
become pregnant	11-60824-S,11-64291-S
become prettier of child	8-44147-S
become reconciled	13-21773-S,13-21826-S,13-25213-B
become revisionist	59-7079-B
become rich	53-19241-S
become rigid	35-64382-B
become rigid or inflexible in opinions	46-25169-S
become strong 成语 saw	44-27477-S
become stronger	53-5463-S,53-5523-S
become submerged	66-22958-S
become successful and well known	67-47540-S
become suddenly popular	47-59051-S
become sworn brothers	27-45683-B
become the victim of his own ingenuity 成语 saw	51-64742-S
become thin	38-31454-S
become unconcious	31-58288-S
become visible	68-52687-B
become warmer	59-9483-S
become watery	40-1864-B
become wealthy by extortion	51-54543-S
become well known	8-36799-S
becomes a crime 成语 saw	26-1115-S
becomes a dragon 成语 saw	32-45750-S
becomes a fact	1-29980-S
becomes apparent	8-54277-S,22-2543-S
becomes clear	45-43737-S
becomes nature 成语 saw	51-18512-S
becomes right 成语 saw	47-40710-S
becomes spring 成语 saw	54-54426-S
becomes true	1-10483-S
becoming civilized	65-30761-S
becoming more prosperous with each passing day	55-2218-B
becoming old	51-25935-B
bed	1-49435-S,9-17159-S,9-63109-S,12-9472-S,12-9563-S,14-16629-S,19-30164-S,21-9540-S,22-59016-B,22-59307-B,37-19995-S,40-29512-S,41-5571-S,44-9748-S,45-55428-S,48-8151-S,52-54530-S,52-54857-S,52-54909-S,53-58091-S,53-64653-S,54-29665-S,54-29946-S,61-21164-S,64-36517-S,64-37080-S,64-37740-S,66-63467-S
bed and lie on it	53-796-S
bed at a ripe old age	16-39105-S
bed curtain	57-2736-B
bed e g bedrock	15-68203-B
bed in hospital	22-59071-B
bed on a train	52-55368-S
bed pan	5-29946-B
bed ridden	52-54909-B
bed sheet	22-59255-S,56-51570-B
bed side stand	34-8352-B
bed then lie on it	23-35110-S
bed to sleep many	49-54206-S
bed urinal	5-28781-B
bed wetting	21-16202-B,63-2658-B
bed with different dreams 成语 saw	12-46834-S
bed with sb	5-6695-S,56-32501-S
bedboard	64-37699-B
bedbug	16-31909-B,56-9853-B
bedbug cimex lectularius	53-17500-B
bedclothes	56-52253-B,64-37838-B
bedcover	64-36644-B
bedding	16-23936-S,16-24712-S,52-54451-B,56-52253-B,64-37080-S,64-37740-S,64-37838-B
bedfellows	12-46834-S
bedhead	22-59346-B
bedraggled	54-50315-S
bedrock	15-68104-B,15-68203-S,21-49745-B
bedroll	64-37889-B
bedroom	20-11555-B,52-54411-B,52-54490-B,52-54725-B
bedroom and one living room	1-9037-S
beds	9-20196-S,11-23295-S,22-59016-S,30-18106-S
bedside	22-59124-B,22-59346-B,41-43535-B
bedsore	57-8194-B
bedtime	21-9597-B
bee	21-57096-S,36-4425-S,56-2491-B,56-2861-S,56-4895-B,66-53629-S
bee in one s bonnet	52-21340-S
bee keeping	69-12832-B
bee s nest	56-2966-B
beech	35-17499-B
beef	41-48462-B,41-48500-S,41-48588-S,52-50323-S,59-22872-S
beef and celery	41-48674-B
beef cattle grown for meat	54-29884-B
beef grilled on a hot iron plate	65-3618-B
beef noodle soup	41-48745-B
beef teppanyaki fast grilled on hot iron plate	65-3507-S
beef with broccoli	53-52834-B
beef with green peppers	67-55892-B
beehive	56-2523-B,56-3119-B,56-4941-B
beelzebub	36-10103-B
been a worthwhile trip	2-27385-S
been checked in on flight	26-52743-S
been looking for	63-16291-S
been made in vain	2-27385-S
been put forward for an exam	51-33705-S
been replaced with	4-30250-S
been taken	54-9557-S,54-9757-S
been taken by	4-30250-S
been thrown into disorder	29-11584-S
been well worthwhile	2-27385-S
beeper	13-17550-B
beeping	14-30451-B
beer	13-66013-B,13-66039-B,41-28404-S,41-28647-S,44-52329-S,44-52379-S,67-54980-S,67-54980-S
beer beijing beer	41-28404-S,41-28647-S
beer belly complimentary	20-37267-B
beer mat	33-13329-S
bees	1-16401-S,33-9374-S,33-9469-S,52-47479-S
beeswax	56-3461-B
beet	43-17387-B,54-38831-S
beethoven	59-29443-B
beetle	17-51079-S,34-53333-S,35-43065-S,43-41663-B,48-62514-S,48-62570-S,55-58517-S,56-875-B,56-5164-S,60-37876-S,64-18030-B,68-7667-S
beetles	68-7749-S
befall	52-56269-S,62-66430-S,66-17868-B
before	1-6407-S,1-48200-S,3-10742-B,4-36353-B,5-25449-S,5-25622-S,7-3539-B,9-17803-B,9-17947-S,9-19212-S,9-19264-S,9-20638-S,11-34117-S,11-35517-S,12-61824-S,14-60157-S,24-10676-S,31-13236-B,32-15821-S,32-58517-S,37-27291-S,37-27523-S,41-8141-S,41-8618-S,41-9208-S,52-55987-S
before 2500m years ago	17-56714-S,17-56809-S
before a carriage	69-34473-S
before a classifier	62-4646-S,63-15941-S
before a coffin or a memorial to the dead	13-47183-S
before a court	8-39492-S
before a noun	44-58948-S
before a verb or adjective	15-37428-S
before acting 成语 saw	1-34661-S
before an event	9-17876-S
before an expert	42-48260-S
before and after the handover to prc rule in 1997	66-27907-S
before and since	9-21785-S
before broilng or stewing	41-10757-S
before c 540m years ago	9-19644-S
before christ	7-55155-B
before christmas	51-41757-S,66-17910-S
before civilization	39-8323-S
before completion	50-11045-S
before creation in chinese mythology	38-54362-S
before date	5-40294-S
before day break	32-2315-B
before deadline	27-62408-B
before easter	14-50700-S,17-42899-S,34-21129-S,34-21219-S
before everything	13-54683-S
before family 成语 saw	17-31103-S
before going too far 成语 saw	62-64661-S
before heaven match	17-44527-B
before his fall in jewish and christian mythology	60-43611-S,60-43725-S
before in the whole of history 成语 saw	32-2844-S,32-2964-S
before it rains	32-59309-S
before last	9-19756-S
before liberation	12-27103-S
before long	32-57858-B
before midnight	51-6241-S
before new year s eve	21-1723-S
before one s troops	58-23296-S
before paper	48-2561-S
before polysyllabic verb to handle it	9-51084-B
before slaughter	6-31933-S
before starting sth	68-27583-S
before sunrise	32-44529-S
before swine	20-52736-S,71-47254-S
before taking sides	15-51688-S
before tang	30-35771-S
before taxes	47-28506-B
before that	8-3624-B,15-35609-B
before the beginning of sth	65-33178-B
before the cart	5-58479-S
before the city wall 成语 saw	52-17315-S
before the common era	57-13023-B
before the common era bc	7-55155-B,49-2626-B
before the contest	52-57582-S
before the court	28-38720-S
before the development of the placenta	11-25908-S
before the end	63-14110-S
before the event	3-29147-B,3-29441-B
before the founding of prc in 1949	11-38388-S,11-38513-S
before the historiographers got working on them	3-49838-S
before the horse	32-64677-S,61-12846-S,61-13058-S
before the legendary emperor fuxi 伏羲	51-14984-S
before the long march	62-68902-S
before the present	60-37108-B
before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity	51-24509-S
before then	35-40964-B
before this	35-40964-B
before this night is out	62-20413-B
before to 200 bc	7-4470-S
before to prevent those after 成语 saw	25-62921-S
before toilet training	65-41607-S
before too long	1-66020-B
before using force 成语 saw	7-5376-S
before verb or clause	32-15317-S,32-16427-S
before violence	7-5376-S
before yesterday	9-19322-S,9-21135-S
before your majesty court formula of humility	58-29127-S
before 成语 saw	49-24916-S
beforehand	3-29147-B,15-35609-B,59-25303-B,68-28204-B,68-28615-B,68-29798-S
befuddled	31-26839-B,42-2754-B,63-46754-S
befuddled life	63-46754-S
beg	3-20894-B,3-21269-S,3-21308-B,17-63372-B,17-63500-S,25-58372-B,57-63777-S
beg for alms	2-37022-B
beg for food	3-21355-S,57-62473-S,57-63378-S
beg for food or money	57-28106-S
beg for mercy	57-63833-S
beg for pity	3-21220-S
beg forgiveness	58-43182-S
beg humbly	26-44717-S,26-49445-S
beg piteously	13-31492-B
beg to be excused	30-12502-S
beg to disturb you	57-63086-S
beg to presume	47-59609-S
beg while playing pipes	13-6199-S
beg while playing the xiao 箫 mouth organ	13-298-S,13-6329-S
begawan capital of brunei	30-42984-S
beggar	2-37022-B,3-20919-B,3-20958-B,3-21081-B
beggar old term	10-21140-B,53-55305-B
beggars	2-37064-S
beggars union	2-37064-B
begging	3-21308-S,38-45409-S,57-61825-S
begging or stealing	44-21243-S
begin	5-50936-B,7-24870-S,9-34559-B,18-38289-B,28-10196-S,31-20072-S,53-25526-S,58-53434-S,65-32434-B,65-33115-B
begin a judicial court session	65-34299-B
begin a lecture	65-42387-S
begin a quarrel	61-61265-S
begin an undertaking	9-36743-S
begin shooting a film	65-35460-B
begin shooting a film or tv show	65-37869-S
begin to develop	65-33779-B
begin to feel scared	44-29288-S
begin to take shape	32-37493-S
begin work of a factory or engineering operation	65-33866-S
beginner s luck	69-34384-B
beginners	13-65580-S,38-56770-S,67-21480-S
beginners course	67-21480-B
beginning	8-67768-S,17-56269-S,32-44587-B,65-33115-B,65-40187-B,65-44189-B,69-24468-S
beginning and end of a reel	41-44603-S
beginning of a decade	22-47192-B
beginning of an age	22-47192-B
beginning of an era	49-2573-B
beginning of history	32-30872-S
beginning of spring	65-36942-B
beginning of sth	65-33178-S
beginning of the heart sutra	53-36776-S
beginning of the world	65-32969-S
beginning of the year	22-47655-B
beginning of up to 	1-15203-S
beginning or continuing an action	60-15864-B
beginning or end	68-35986-B
beginning period	9-542-B
beginning student	9-360-B
beginning to end	9-20029-S,18-38851-S,32-64546-S,59-40202-S
beginnings	50-15861-B,50-15959-B
beginnings show how things will develop	57-29726-S,57-35272-S
begins	65-42311-S
begonia	47-15260-B,47-15313-B
begrudge	25-16913-S,28-6629-S
begrudge gems of wisdom 成语 saw	2-1208-S
beguile	58-52474-B,70-33819-B
beguile with false stories	58-4804-S
behalf	4-33720-S,11-63817-S
behalf of	32-16879-S,44-29516-S
behalf of others	4-30112-S
behalf of sb	4-32724-S,4-33662-S
behave affectedly	5-5628-S
behave as	40-31590-S,41-40600-S
behave informally as equals	27-6453-S
behave like a fool	3-26746-S
behave oneself	19-24558-S
behave sincerely	48-34128-S
behave with integrity	6-14428-S
behaved	57-33403-S
behaving naturally	40-46667-S,41-36139-S,41-36290-S
behavior	6-15265-S,8-51516-S,11-46384-S,13-34996-B,24-63212-S,25-20356-S,29-22041-S,37-63854-B,38-4042-S,38-46452-S,39-57177-S,40-31899-B,51-30851-S,56-30798-B,56-31206-B,56-34199-B,57-33045-S,61-66150-S
behavior and appearance	13-35147-B
behavior 成语 saw	25-19651-S
behaviorism	56-34266-B
behaviour	2-336-S,2-11222-S,38-46452-S
behaviour at school	13-33678-S
behead	9-15831-S,30-38416-B,30-38820-B,35-61271-S,46-13021-B
behead the scaly dragon	36-1099-S
behind	15-34911-B,21-15685-S,23-66697-B,24-2541-B,24-2882-B,24-2949-B,28-33669-S,39-31734-S,43-52221-S,52-17586-S,52-17668-B,54-48923-S,54-48957-S,54-49799-S,60-37794-S,63-1642-S,65-24406-S
behind a gentle appearance	50-13327-S
behind a theatrical stage	24-1209-S
behind act	32-34321-S
behind all this	17-21518-S
behind canine teeth in some mammals	9-23313-S
behind closed doors	65-28919-S,65-28919-S
behind florid rhetoric	42-39217-S
behind him	26-8394-S
behind in payments	27-36954-B
behind it	10-51192-S,10-51499-S
behind making money 成语 saw	43-29895-S
behind one s back	5-60085-S,11-45109-S,11-49189-S,52-18412-S,69-49464-S
behind others	35-41945-S
behind sb s back	26-22323-S,26-22403-S,26-22970-S,26-23057-S,52-17233-B,52-17668-B
behind sb s words	24-40022-S
behind sb s words 成语 saw	24-40189-S
behind the back	11-49557-S
behind the front line	23-68391-S
behind the ribcage of humans and most mammals	52-24971-S
behind the scene	42-131-S
behind the scenes	7-28139-B,22-34383-B,22-34433-S,39-60124-S
behind the times	1-70228-B,2-57-B
behind the words	11-70502-S
behind to take care of things	43-49225-S
behind 成语 saw	9-20196-S
behold	31-54951-S,41-42892-S,45-15041-S,45-15174-S,57-41556-S
bei	59-28627-S
bei 161 223	9-41176-S
bei an city in heilongjiang	10-30243-S
bei dao chinese poet	10-30849-B
bei s five great generals in romance of the three kingdoms	3-54314-S
bei s 劉備 刘备 edict to posterity	7-3935-S
bei 劉備 刘备 during the three kingdoms	56-2134-S
bei 劉備 刘备 recruits zhuge liang 諸葛亮 诸葛亮 the hidden dragon 臥龍 卧龙 to his cause by visiting him three times	1-44380-S
bei4 qiao4	59-29892-S
beicang area in zhejiang	10-28852-S
beichuan county level city in mianyang prefecture 綿陽 绵阳	10-30963-B
beichuan county sichuan	13-51217-S
beichuan qiang autonomous county in mianyang prefecture 綿陽 绵阳	10-31163-B
beidaihe area in hebei	10-31553-S
beige	48-46740-B
beiges	14-26163-B
beihai	10-33833-B
beihai city prefecture level city and seaport in guangxi	10-33873-B
beihong 1895 1953	24-4102-S
beijiang river	10-32814-B
beijing	1-37623-S,1-37948-S,2-69596-S,2-83994-S,3-39093-S,3-51763-S,3-55249-S,3-64507-S,7-50778-S,7-50862-S,7-68364-S,10-25344-B,10-25495-S,10-25596-S,10-26206-B,10-26980-S,10-27289-S,10-28235-S,10-35053-S,13-22818-S,14-51963-S,14-64647-S,15-13262-S,15-40103-S,17-32707-S,17-45385-S,19-26838-S,19-54853-S,21-42255-S,22-39458-S,22-45087-S,23-11961-S,23-17482-S,24-15819-S,26-26794-S,30-64114-S,31-22362-S,31-53737-S,32-45491-S,32-49150-S,32-49366-S,32-49770-S,33-22135-S,36-50360-S,37-18734-S,37-18955-S,37-32428-S,38-52716-S,41-28574-S,42-34785-S,45-13738-S,45-25270-S,49-29013-S,57-14363-S,57-21153-S,59-19890-S,62-9495-S,62-9560-S,62-12194-S,62-28637-S,65-58609-S,67-10873-S,67-10873-S,68-26305-S,68-35827-S,69-23803-S,69-25320-S,69-47810-S,69-47873-S
beijing abbr 	4-2679-B
beijing academy of fine arts	10-27882-B
beijing aeronautical and astronautical institute	10-27579-B
beijing airport pek	69-24007-B
beijing and guangdong	4-3037-B
beijing and internet slang	35-25284-S
beijing and shanghai	4-3501-B
beijing and shanghai express rail link projected	4-3555-B
beijing and tianjin	4-3447-B
beijing at different periods	10-31324-S
beijing beer	41-28404-S,41-28647-S
beijing bureau chief of newsweek	68-10526-S
beijing capital international airport	69-23892-B
beijing daily newspaper	10-26561-B
beijing dance academy	10-27479-B
beijing department store	44-57741-S
beijing dialect	10-27989-B,22-64189-S
beijing evening news	10-26721-B
beijing film academy	10-28382-B
beijing forestry university	10-26876-B
beijing from 1925	61-8699-S
beijing guangzhou railway line	4-3095-S
beijing institute of education	10-26451-B
beijing institute of technology	10-27180-B
beijing iron and steel engineering institute	64-41678-S
beijing kowloon railway	4-2726-S
beijing languages institute	10-28050-B
beijing military region	10-28156-B
beijing morning post	10-26798-B
beijing municipality	4-1528-S,17-32770-S,20-6322-S,20-6389-S,20-66863-S,21-42155-S,22-45150-S,23-17547-S,26-946-S,26-1017-S,26-26861-S,31-20679-S,31-20754-S,33-16796-S,38-21760-S,42-57735-S,46-6502-S,53-43475-S,57-14525-S,65-24223-S,68-26368-S
beijing news newspaper	30-43667-B
beijing newspaper	2-62459-S
beijing newspaper from 1961 1966	1-33639-S
beijing normal university	10-26348-B
beijing of 1860 between qing china and tsarist russia	2-49566-S
beijing of 1901 ending the 8 nation intervention after the boxer uprising	61-32413-S
beijing opera	4-2868-B,4-3195-B,14-48269-S,68-17980-S
beijing opera etc	44-44330-S
beijing opera or styles of song in	45-704-B
beijing placename	57-12652-S
beijing pronunciation	10-28573-B
beijing railway station	10-27409-B
beijing review	10-25805-B,10-28310-B
beijing sheraton 喜來登 喜来登	65-12522-S
beijing slang	46-12820-S
beijing street name	1-41392-S,1-41466-S
beijing suburbs daily newspaper	4-3913-B
beijing times newspaper	4-3831-B
beijing university	10-25916-B
beijing university abbr for 北京大學 北京大学	10-29846-B
beijing university of aeronautics and astronautics	10-27728-B
beijing university of technology	10-26096-B
beijing youth daily	10-28484-B
beijing zoo	10-25725-B
beiliu city in guangxi	10-33771-S
beille shrub of the euphorbiaceae family	71-57782-S
being	4-27991-S,7-28375-S,13-48821-S,18-39595-S,25-27629-S,31-64761-S,43-32422-S,43-32422-S,46-55300-S,47-2992-S,47-5771-S,47-6254-S
being a clairvoyant	32-56873-S
being afraid of	18-28296-S
being at the opportune historic moment	25-61640-S
being buddh 	55-14623-S
being consumed	28-52839-S
being deliberately preposterous	24-64705-S
being esp human	14-34060-S
being hanged upside down 成语 saw	5-56342-S,5-56503-S,5-56663-S
being hard up	13-46717-S
being homeless refugees	38-7508-S
being inferior 成语 saw	53-5973-S
being invited	30-10902-S
being late	54-53988-S
being looked after in old age	69-10433-S
being magnetized	12-15464-S
being not as good as the others	53-4008-S
being paid i e sb should pay me	5-61157-S
being pressed	2-11609-S
being the case	31-4990-S,40-65860-S
being the same as	57-34640-S
being told	8-21293-S
being undertaken	44-53683-S
beipai tanglang quan northern praying mantis chinese martial art	10-33633-B
beipei area in sichuan	10-34529-S
beipiao county level city in chaoyang 朝陽 朝阳	10-34601-B,10-34687-B
beiping name of beijing at different periods	10-31324-S
beira	59-29672-B
beirut capital of lebanon	59-30834-B
beitun place in xinjiang	10-30570-S
beiyang army 北洋軍閥 北洋军阀 after the xinhai revolution of 1911	10-32958-S
beiyang faction of northern warlords	10-33295-B
beiyuan neighborhood of beijing	10-35053-B
beizhen county level city in jinzhou 錦州 锦州	10-35927-B,10-36012-B
beizhen manzu autonomous county in liaoning	10-36108-B
bejewelled nectar 成语 saw	43-8016-B
bekaa valley between lebanon and syria	59-29203-B
bekhterev 1857 1927	9-4499-S
belarus	31-24166-S,44-36470-S,44-36545-B
belated action or advice	69-37273-S
belch	14-24935-B,14-35994-S,14-36494-B,26-41829-B
belch on a full stomach	69-7607-S
beleaguered	54-14773-S
beleaguered city	15-21673-S
belfast	59-30379-B
belfry	64-59757-B
belgium	19-30990-S,22-19117-S,36-9593-B
belgium famous for its university	70-40841-S
belgium 比利時 比利时	36-8397-S
belgrade capital of serbia	59-30287-B
belief	5-42850-S,5-43385-B,5-44339-B,27-12883-S,54-17151-S,54-18313-S
belief and diligent study	48-33393-S
belief in a plurality of deities	16-60770-S
belief in a single god	1-15945-S
belief in the existence of god	32-37586-S
beliefs	62-51187-S
believe	4-38004-S,5-42791-S,5-45049-S,10-54975-S,23-23495-S,25-25039-S,41-63504-S,45-26779-B,46-33123-S,58-21041-S
believe firmly	16-3283-S,38-48492-S,48-33321-S,58-20384-S,58-20989-S
believe firmly without any doubt 成语 saw	38-48544-S
believe in magic harry potter	71-14880-S
believe in sth	5-43385-S
believe it 成语 saw	40-51364-S
believe one s own lies	53-7215-S
believe something to be true	5-43674-S
believe sth	2-31739-S
believe that 	45-42040-S
believe what one hears	51-69346-S
believe what one reads in the news	45-41030-S
believe whatever people suggest	57-31944-S
believer	5-42907-B,5-44046-B,5-45774-S
believer in a plurality of deities	16-60861-S
believer in one or more deities	32-37675-S
believing	44-55966-S
believing sth	25-55469-S
belittle	21-641-S,23-62670-S,46-895-S,55-10256-B,59-44373-B,59-44518-B,59-44571-S
belittle arms 成语 saw	63-59624-S
belittle sb	3-51262-S
belittling women 成语 saw	63-62586-S
belize	4-58047-B,59-30519-S
bell	1-25915-S,14-10796-S,14-39272-S,27-35787-S,29-17199-S,31-47066-S,59-1992-S,59-2050-S,60-60521-S,64-20297-S,64-22114-S,64-22269-S,64-23331-S,64-52993-S,64-53029-S,64-53172-S,64-53172-S,64-57194-S,64-59117-B,64-59606-B,65-5485-S,67-38495-S
bell and drum	68-16978-S
bell arch 	65-6086-S
bell canopy	65-333-B
bell cauldron inscription	64-10649-B
bell cauldron script	65-804-B
bell labs	59-30212-B
bell on the tiger s neck must untie it 成语 saw	57-52888-S
bell or gong used by street peddlers	14-6758-B
bell pendant stand	55-55735-B
bell person name	59-30161-B
bell stroke	64-22190-B
bell tower	65-41-B,65-41-B
bell used to mark time	71-37621-S
bell with revolving cap	61-29876-S
bell 成语 saw	28-33509-S
belladonna	64-4510-S,68-46547-S
bellamy	59-29710-B
belle	33-53599-S,51-1828-B
belles lettres	66-44776-B
bellflower	34-7894-S
bellied devotion 成语 saw	60-6677-S
bellied salamander cynops orientalis david	40-24308-S,56-20569-S
bellow	13-16097-S,13-27784-S,24-52338-B
bellow one s grievances	12-9313-S
bellows	31-62572-S,36-39457-S,68-56659-B,71-48850-B
bells	48-39575-S,64-50419-S,64-57020-S,65-0-B
bells etc	14-33986-S
belly	42-47571-S,52-8656-B,52-8758-B,52-8977-B,52-26404-S,52-44141-S,52-44755-B,52-44972-S,52-45414-B,52-53588-B,69-54645-S
belly ache	52-8810-B,52-44915-B
belly complimentary	20-37267-S
belly dancing	52-8922-B
belly full of complaints 成语 saw	39-40576-S
belly laugh	35-32225-S
belmopan capital of belize	59-30519-B
belong to	21-26938-S,21-27542-S,35-53228-S,35-53978-S,35-54243-S
belong to a category	66-51629-S
belong to organization	26-27829-S
belonging to	26-28197-B
belongings	19-63464-B,26-29028-B,59-33828-B
beloved	24-33152-B,45-47273-S
beloved way of starting a letter	57-39124-S
below	1-57993-B,1-63652-B,1-64319-B,1-64319-B,1-64389-S,4-35758-B,15-36882-B
below average	21-64239-B
below general	39-16846-S
below sth	22-60076-S
below the elbow	30-70050-S
below the navel where one s qi resides	3-2991-S
below zero	67-19572-B
belt	6-34354-S,6-41669-S,9-67952-S,15-45822-S,15-46122-S,15-46251-S,19-23718-S,21-25857-S,22-27849-B,22-28427-B,31-1208-S,33-11410-B,40-20835-S,42-48458-S,42-57850-S,44-65363-S,44-65414-S,52-42160-B,56-33780-S,57-8708-S,64-24120-S,68-9363-S
belt between mars and jupiter	21-386-S
belt conveyor	44-65492-B
belt etc	5-10105-S
belt geol	62-18172-S
belt geol 	37-7083-S
belt in the outer reaches of the solar system	22-67113-S
belt or band	57-12472-S
belt 成语 saw	52-42707-S
beltfish	22-29538-B
belts	42-63376-S
belying hypocritical intentions	48-4982-S
bemoan	13-31598-B
bemoan one s lot	24-63725-S
bemoan the state of the universe and pity the fate of mankind	25-9626-B
ben	59-50355-S
ben3	19-4537-S
benactyzine	54-1247-B
benazir bhutto 1953 2007	59-28695-B
