经丝彩色显花	49-61894-S
综合服务数位网络	49-63673-S
综合法	49-63812-S
综括	49-63885-S
综效	49-63944-S
综析	49-63987-S
综艺	49-64030-S
综艺节目	49-64108-S
综观	49-64175-S
综计	49-64231-S
综述	49-64303-S
绽	50-11701-S
绾	50-4945-S
绿	49-64377-S
绿党	50-243-S
绿化	49-64404-S
绿区	49-64474-S
绿卡	49-64526-S
绿园	49-64606-S
绿园区	49-64694-S
绿头巾	50-143-S
绿女红男	49-64792-S
绿宝石	49-64903-S
绿岛乡	49-64952-S
绿帽子	49-65007-S
绿春	49-65056-S
绿松石	49-65118-S
绿林	49-65172-S
绿林好汉	49-65235-S
绿林豪客	49-65357-S
绿树	49-65478-S
绿油油	49-65521-S
绿泥石	49-65583-S
绿洲	49-65642-S
绿灯	49-65681-S
绿皮书	49-65779-S
绿矾	49-65833-S
绿色	49-65908-S
绿色和平组织	49-65945-S
绿色食品	49-66030-S
绿苔	49-66115-S
绿茶	49-66159-S
绿草	49-66201-S
绿草如茵	49-66245-S
绿营	49-65726-S
绿豆	49-66374-S
绿赤杨	50-0-S
绿雀	50-72-S
缀	50-11045-S,50-11109-S
缀饰	50-11188-S
缁	50-13985-S
缂	50-16172-S
缃	50-16036-S
缄	50-16079-S
缄默	50-16124-S
缅	50-23457-S
缅元	50-23531-S
缅因	50-23581-S
缅因州	50-23621-S
缅怀	50-23673-S
缅文	50-23761-S
缅甸	50-23813-S
缅甸联邦	50-23867-S
缅甸语	50-23943-S
缆	50-48103-S
缆索吊椅	50-48138-S
缆车	50-48202-S
缇	50-24843-S
缈	50-24346-S
缉	50-17906-S,50-17961-S
缉拿	50-17999-S
缉捕	50-18049-S
缉查	50-18112-S
缉私	50-18232-S
缉获	50-18177-S
缉访	50-18314-S
缋	50-41335-S
缌	50-19520-S
缎	50-18369-S
缎子	50-18398-S
缎布	50-18436-S
缎带	50-18475-S
缎纹织	50-18516-S
缎织	50-18573-S
缏	50-24814-S
缑	50-24312-S
缒	50-25390-S
缓	50-22340-S
缓不济急	50-22471-S
缓兵之计	50-22650-S
缓冲	50-23240-S
缓冲器	50-23286-S
缓刑	50-22791-S
缓动	50-22844-S
缓发中子	50-23097-S
缓和	50-22888-S
缓慢	50-22991-S
缓步	50-23042-S
缓缓	50-23169-S
缓解	50-23358-S
缔	50-18619-S
缔结	50-18671-S
缔造	50-18730-S
缔造者	50-18781-S
缕	50-31484-S
编	50-19552-S
编修	50-19647-S
编写	50-19903-S
编制	50-21269-S
编剧	50-19701-S
编印	50-19782-S
编号	50-21214-S
编审	50-19842-S
编导	50-19945-S
编年体	50-20070-S
编年史	50-20007-S
编录	50-22165-S
编排	50-20160-S
编撰	50-21372-S
编曲	50-20216-S
编次	50-20280-S
编目	50-20334-S
编码	50-20399-S
编码字符集	50-20439-S
编磬	50-20522-S
编程	50-20660-S
编纂	50-20943-S
编组	50-20707-S
编织	50-20886-S
编结	50-20773-S
编结业	50-20825-S
编者	50-20986-S
编者按	50-21036-S
编舞	50-21100-S
编著	50-21160-S
编译	50-21427-S
编译器	50-21479-S
编辑	50-21531-S
编辑器	50-21605-S
编辑室	50-21666-S
编辑家	50-21727-S
编辑词条	50-21787-S
编选	50-22106-S
编造	50-21882-S
编遣	50-22012-S
编队	50-22235-S
缗	50-18858-S
缘	50-18914-S
缘份	50-19004-S
缘何	50-19161-S
缘分	50-19216-S
缘故	50-19346-S
缘由	50-19392-S
缘起	50-19439-S
缘饰	50-19479-S
缙	50-25252-S
缙云	50-25283-S
缚	50-25727-S
缛	50-26140-S
缜	50-25763-S
缜匝	50-25801-S
缜发	50-25992-S
缜密	50-25855-S
缜润	50-25942-S
缝	50-26545-S,50-26585-S
缝制	50-27366-S
缝合	50-26631-S
缝子	50-26720-S
缝穷	50-26784-S
缝絍	50-26969-S
缝纫	50-26859-S
缝纫机	50-26910-S
缝缀	50-27020-S
缝缝连连	50-27081-S
缝衣工人	50-27170-S
缝衣针	50-27239-S
缝补	50-27298-S
缝针	50-27424-S,50-27486-S
缝针迹	50-27528-S
缝隙	50-27578-S
缟	50-26041-S
缟玛瑙	50-26080-S
缠	50-45316-S
缠丝玛瑙	50-46040-S
缠头	50-46535-S
缠夹	50-45413-S
缠夹不清	50-45476-S
缠夹二先生	50-45617-S
缠手	50-45742-S
缠扰	50-45833-S
缠结	50-45888-S
缠绕	50-46353-S
缠绕茎	50-46425-S
缠络	50-45954-S
缠绵	50-46148-S
缠绵悱恻	50-46223-S
缠足	50-46489-S
缡	50-27629-S
缢	50-25347-S
缣	50-25508-S
缤	50-43399-S
缤纷	50-43462-S
缥	50-31535-S
缦	50-31394-S
缧	50-31234-S
缨	50-46731-S
缩	50-27674-S
缩写	50-27766-S
缩减	50-28123-S
缩小	50-27823-S
缩小模型	50-27873-S
缩影	50-27939-S
缩成	50-28032-S
缩水	50-28082-S
缩短	50-28174-S
缪	50-39292-S,50-39351-S
缫	50-39247-S
缬	50-43682-S
缬氨酸	50-43720-S
缭	50-40605-S
缮	50-40458-S
缯	50-39718-S,50-39767-S
缰	68-9426-S
缱	50-43516-S
缲	50-42230-S,50-42279-S
缳	50-42192-S
缴	50-42316-S
缴纳	50-42405-S
缴获	50-42357-S
缵	50-47912-S
缶	50-48291-S
缶 缶	50-48291-B
缸	50-48321-S
缸 缸	50-48321-B
缺	50-48384-S
缺 缺	50-48384-B
缺乏	50-48457-S
缺乏 缺乏	50-48457-B
缺乏症	50-48541-S
缺乏症 缺乏症	50-48541-B
缺口	50-48606-S
缺口 缺口	50-48606-B
缺嘴	50-48662-S
缺嘴 缺嘴	50-48662-B
缺失	50-48703-S
缺失 缺失	50-48703-B
缺少	50-48766-S
缺少 缺少	50-48766-B
缺席	50-48852-S
缺席 缺席	50-48852-B
缺心少肺	50-48899-S
缺心少肺 缺心少肺	50-48899-B
缺心眼	50-48972-S
缺心眼 缺心眼	50-48972-B
缺心眼儿	50-49095-S
缺心眼兒 缺心眼儿	50-49095-B
缺憾	50-49165-S
缺憾 缺憾	50-49165-B
缺氧	50-49223-S
缺氧 缺氧	50-49223-B
缺氧症	50-49282-S
缺氧症 缺氧症	50-49282-B
缺水	50-49336-S
缺水 缺水	50-49336-B
缺油	50-49385-S
缺油 缺油	50-49385-B
缺点	50-49672-S
缺血	50-49431-S
缺血 缺血	50-49431-B
缺衣少食	50-49478-S
缺衣少食 缺衣少食	50-49478-B
缺錢 缺钱	50-49570-B
缺钱	50-49570-S
缺陷	50-49622-S
缺陷 缺陷	50-49622-B
缺點 缺点	50-49672-B
缽 钵	50-49735-B
缽盂 钵盂	50-49790-B
缾	50-49831-S
缾 缾	50-49831-B
罂	50-50204-S
罂粟	50-50256-S
罂粟种子	50-50295-S
罃	50-49874-S
罃 罃	50-49874-B
罄	50-49924-S
罄 罄	50-49924-B
罄竹难书	50-49972-S
罄竹難書 罄竹难书	50-49972-B
罅	50-50058-S
罅 罅	50-50058-B
罆	50-50093-S
罆 罆	50-50093-B
罈	50-50131-S
罈 罈	50-50131-B
罋	50-50165-S
罋 罋	50-50165-B
罌 罂	50-50204-B
罌粟 罂粟	50-50256-B
罌粟種子 罂粟种子	50-50295-B
罍	50-50361-S
罍 罍	50-50361-B
罏	50-50403-S
罏 罏	50-50403-B
罐	50-50456-S
罐 罐	50-50456-B
罐头	50-50658-S
罐头起子	50-50699-S
罐子	50-50491-S
罐子 罐子	50-50491-B
罐笼	50-50539-S
罐籠 罐笼	50-50539-B
罐車 罐车	50-50598-B
罐车	50-50598-S
罐頭 罐头	50-50658-B
罐頭起子 罐头起子	50-50699-B
网	50-5221-S
网上	50-5256-S
网上广播	50-5300-S
网关	50-10289-S
网卡	50-5384-S
网友	50-5430-S
网吧	50-5500-S
网址	50-5546-S
网孔	50-5620-S
网店	50-5660-S
网志	50-9139-S
网易	50-5707-S
网景	50-5748-S
网杓	50-5792-S
网架	50-5853-S
网格	50-5892-S
网桥	50-5943-S
网段	50-5995-S
网民	50-6046-S
网游	50-10207-S
网点	50-10977-S
网特	50-6090-S
网状脉	50-6212-S
网球	50-6306-S
网球场	50-6347-S
网眼	50-6407-S
网站	50-6482-S
网管	50-6546-S
网管员	50-6610-S
网管接口	50-6695-S
网管系统	50-6781-S
网络	50-6857-S
网络协议	50-6909-S
网络客	50-6981-S
网络层	50-7045-S
网络层协议	50-7105-S
网络广告	50-7195-S
网络应用	50-7272-S
网络打印机	50-7350-S
网络技术	50-7431-S
网络操作系统	50-7505-S
网络日记	50-7608-S
网络浏览器	50-7690-S
网络游戏	50-8644-S
网络特工	50-7789-S
网络环境	50-7894-S
网络直径	50-7972-S
网络科技	50-8046-S
网络管理	50-8119-S
网络管理员	50-8194-S
网络管理系统	50-8284-S
网络规划人员	50-8392-S
网络设备	50-8487-S
网络设计	50-8561-S
网络迁移	50-8734-S
网络铁路	50-8808-S
网罗	50-8972-S
网罟座	50-8902-S
网膜	50-9038-S
网袋	50-9086-S
网路	50-9201-S
网路作业系统	50-9242-S
网路平台	50-9343-S
网路应用	50-9416-S
网路服务	50-9493-S
网路架构	50-9562-S
网路特务	50-9640-S
网路环境	50-9741-S
网路节点	50-9818-S
网路节点介面	50-9887-S
网路连接层	50-9989-S
网通	50-10076-S
网际	50-10381-S
网际协定	50-10434-S
网际电话	50-10799-S
网际网络	50-10511-S
网际网路	50-10576-S
网际网路协会	50-10640-S
网际色情	50-10734-S
网页	50-10870-S
网页设计	50-10912-S
罔	50-50762-S
罔 罔	50-50762-B
罕	50-50807-S
罕 罕	50-50807-B
罕有	50-50834-S
罕有 罕有	50-50834-B
罕見 罕见	50-50887-B
罕见	50-50887-S
罗	14-44184-S,14-44222-S,50-55293-S
罗一秀	50-55372-S
罗东镇	50-59474-S
罗伦斯	50-55550-S
罗伯特	50-55437-S
罗兰	50-62010-S
罗切斯特	50-55707-S
罗列	50-55770-S
罗刹	50-55817-S
罗勒	50-55948-S
罗口	50-56011-S
罗唆	50-56072-S
罗唣	50-56123-S
罗喉	50-61116-S
罗嗦	50-56271-S
罗圈	50-56333-S
罗圈儿	50-56390-S
罗圈儿揖	50-56464-S
罗圈腿	50-56574-S
罗城	50-56643-S
罗塞塔石碑	50-56717-S
罗姆酒	50-56796-S
罗安达	50-56843-S
罗定	50-56912-S
罗家英	50-56978-S
罗宾汉	50-62240-S
罗宾逊	50-62328-S
罗密欧与朱丽叶	50-57044-S
罗尔定理	50-60554-S
罗山	50-57144-S
罗山县	50-57218-S
罗巴切夫斯基	50-57304-S
罗布	50-57419-S
罗布林卡	50-57520-S
罗布泊	50-57612-S
罗平	50-57662-S
罗式几何	50-57726-S
罗彻斯特	50-57940-S
罗得岛	50-57816-S
罗得岛州	50-57872-S
罗懋登	50-58003-S
罗拉	50-58075-S
罗拜	50-58126-S
罗掘	50-58184-S
罗摩衍那	50-58338-S
罗摩诺索夫	50-58418-S
罗摩诺索夫山脊	50-58524-S
罗文	50-58647-S
罗斯	50-58698-S
罗斯托克	50-58778-S
罗斯托夫	50-58839-S
罗斯涅夫	50-58899-S
罗斯福	50-58988-S
罗曼使	50-59078-S
罗曼史	50-59184-S
罗曼司	50-59260-S
罗曼蒂克	50-59323-S
罗曼语族	50-59397-S
罗杰	50-55618-S
罗杰斯	50-55657-S
罗格	50-59548-S
罗氏几何	50-59675-S
罗汉	50-60118-S
罗汉拳	50-60169-S
罗汉果	50-60255-S
罗汉病	50-60366-S
罗汉豆	50-60454-S
罗浮宫	50-59765-S
罗浮山	50-59819-S
罗湖	50-59896-S
罗湖区	50-59970-S
罗源	50-60054-S
罗琳	50-60638-S
罗田	50-60725-S
罗甸	50-60788-S
罗皂	50-60853-S
罗盘	50-61009-S
罗盘座	50-61050-S
罗盛教	50-60936-S
罗睺	50-50938-S
罗睺 罗睺	50-50938-B
罗素	50-61364-S
罗索	50-61435-S
罗纳尔多	50-61303-S
罗纹	50-61239-S
罗织	50-61840-S
罗经	50-61497-S
罗缎	50-61620-S
罗缕纪存	50-61764-S
罗网	50-61561-S
罗致	50-61661-S
罗艻	50-61925-S
罗荣桓	50-59616-S
罗讷河	50-62057-S
罗语	50-62111-S
罗贯中	50-62161-S
罗锅	50-62388-S
罗锅儿	50-62483-S
罗锅儿桥	50-62556-S
罗雀掘鼠	50-62628-S
罗霄山	50-62785-S
罗马	50-62879-S
罗马书	50-63533-S
罗马公教	50-62935-S
罗马化	50-63017-S
罗马字	50-63073-S
罗马字母	50-63134-S
罗马尼亚	50-63215-S
罗马帝国	50-63275-S
罗马教廷	50-63356-S
罗马数字	50-63465-S
罗马法	50-63609-S
罗马里奥	50-63661-S
罘	50-51003-S
罘 罘	50-51003-B
罚	50-53370-S
罚款	50-53413-S
罚球	50-53486-S
罚跪	50-53556-S
罚酒	50-53621-S
罚金	50-53697-S
罛	50-51035-S
罛 罛	50-51035-B
罝	50-51074-S
罝 罝	50-51074-B
罟	50-51120-S
罟 罟	50-51120-B
罠	50-51173-S
罠 罠	50-51173-B
罡	50-51207-S
罡 罡	50-51207-B
罢	50-54159-S,50-54228-S
罢了	50-54264-S,50-54334-S
罢休	50-54410-S
罢免	50-54521-S
罢官	50-54561-S
罢工	50-54614-S
罢市	50-54667-S
罢手	50-54719-S
罢教	50-54760-S
罢论	50-54858-S
罢课	50-54810-S
罢黜	50-54905-S
罣	50-51238-S
罣 罣	50-51238-B
罥	50-51274-S
罥 罥	50-51274-B
罦	50-51304-S
罦 罦	50-51304-B
罨	50-51348-S
罨 罨	50-51348-B
罩	50-51383-S
罩 罩	50-51383-B
罩衫	50-51437-S
罩衫 罩衫	50-51437-B
罪	50-51478-S
罪 罪	50-51478-B
罪与罚	50-52223-S
罪人	50-51528-S
罪人 罪人	50-51528-B
罪名	50-51568-S
罪名 罪名	50-51568-B
罪大恶极	50-51633-S
罪大惡極 罪大恶极	50-51633-B
罪性	50-51704-S
罪性 罪性	50-51704-B
罪恶	50-51753-S
罪恶滔天	50-51788-S
罪惡 罪恶	50-51753-B
罪惡滔天 罪恶滔天	50-51788-B
罪有应得	50-51879-S
罪有應得 罪有应得	50-51879-B
罪案	50-52047-S
罪案 罪案	50-52047-B
罪犯	50-52095-S
罪犯 罪犯	50-52095-B
罪状	50-52137-S
罪狀 罪状	50-52137-B
罪疚	50-52184-S
罪疚 罪疚	50-52184-B
罪與罰 罪与罚	50-52223-B
罪行	50-52322-S
罪行 罪行	50-52322-B
罪責 罪责	50-52370-B
罪责	50-52370-S
罪过	50-52408-S
罪過 罪过	50-52408-B
罪魁祸首	50-52452-S
罪魁禍首 罪魁祸首	50-52452-B
罫	50-52548-S
罫 罫	50-52548-B
罭	50-52595-S
罭 罭	50-52595-B
置	50-52625-S
置 置	50-52625-B
置之度外	50-52674-S
置之度外 置之度外	50-52674-B
置之脑后	50-52785-S
置之腦後 置之脑后	50-52785-B
置于	50-52898-S
置于 置于	50-52898-B
置换	50-52962-S
置换突变	50-53027-S
置换群	50-53101-S
置換 置换	50-52962-B
置換突變 置换突变	50-53027-B
置換群 置换群	50-53101-B
置疑	50-53172-S
置疑 置疑	50-53172-B
置若罔聞 置若罔闻	50-53210-B
置若罔闻	50-53210-S
置身	50-53311-S
置身 置身	50-53311-B
罰 罚	50-53370-B
罰款 罚款	50-53413-B
罰球 罚球	50-53486-B
罰跪 罚跪	50-53556-B
罰酒 罚酒	50-53621-B
罰金 罚金	50-53697-B
署	50-53745-S
署 署	50-53745-B
署名	50-53789-S
署名 署名	50-53789-B
署条	50-53842-S
署條 署条	50-53842-B
罳	50-53889-S
罳 罳	50-53889-B
罴	50-63722-S
罵 骂	50-53917-B
罵不絕口 骂不绝口	50-53953-B
罵人 骂人	50-54057-B
罶	50-54119-S
罶 罶	50-54119-B
罷 罢	50-54159-B,50-54228-B
罷了 罢了	50-54264-B,50-54334-B
罷休 罢休	50-54410-B
罷免 罢免	50-54521-B
罷官 罢官	50-54561-B
罷工 罢工	50-54614-B
罷市 罢市	50-54667-B
罷手 罢手	50-54719-B
罷教 罢教	50-54760-B
罷課 罢课	50-54810-B
罷論 罢论	50-54858-B
罷黜 罢黜	50-54905-B
罹	50-54968-S
罹 罹	50-54968-B
罹难	50-55018-S
罹難 罹难	50-55018-B
罻	50-55094-S
罻 罻	50-55094-B
罽	50-55125-S
罽 罽	50-55125-B
罾	50-55171-S
罾 罾	50-55171-B
罿	50-55211-S
罿 罿	50-55211-B
羁	50-63784-S
羁押	50-63821-S
羁绊	50-63875-S
羃	50-55243-S
羃 羃	50-55243-B
羅 罗	50-55293-B
羅一秀 罗一秀	50-55372-B
羅伯特 罗伯特	50-55437-B
羅佈	50-55493-S
羅佈 羅佈	50-55493-B
羅倫斯 罗伦斯	50-55550-B
羅傑 罗杰	50-55618-B
羅傑斯 罗杰斯	50-55657-B
羅切斯特 罗切斯特	50-55707-B
羅列 罗列	50-55770-B
羅剎 罗刹	50-55817-B
羅勒 罗勒	50-55948-B
羅口 罗口	50-56011-B
羅唆 罗唆	50-56072-B
羅唣 罗唣	50-56123-B
羅喉	50-56206-S
羅喉 羅喉	50-56206-B
羅嗦 罗嗦	50-56271-B
羅圈 罗圈	50-56333-B
羅圈兒 罗圈儿	50-56390-B
羅圈兒揖 罗圈儿揖	50-56464-B
羅圈腿 罗圈腿	50-56574-B
羅城 罗城	50-56643-B
羅塞塔石碑 罗塞塔石碑	50-56717-B
羅姆酒 罗姆酒	50-56796-B
羅安達 罗安达	50-56843-B
羅定 罗定	50-56912-B
羅家英 罗家英	50-56978-B
