蒞 莅 [01\[ lì\]]	attend (official functions)
蔚山 蔚山 [01\[ wèi shān\]]	ulsan (city in south korea)
蔚為 蔚为 [01\[ wèi wéi\]]	to afford (a view of sth)
蔚縣 蔚县 [01\[ yù xiàn\]]	yu county in hebei
蔚藍 蔚蓝 [01\[ wèi lán\]]	azure;sky blue
蔞 蒌 [01\[ lóu\]]	arthemisia vulgaris;piper betel
蔟 蔟 [01\[ cù\]]	collect;frame for silk worm;nest
蔡 蔡 [01\[ cài\]]	surname cai
蔡伦 蔡伦 [01\[ cài lún\]]	cai lun (-121)
蔡依林 蔡依林 [01\[ cài yī lín\]]	jolin tsai (taiwanese singer)
蔡元培 蔡元培 [01\[ cài yuán péi\]]	cai yuanpei (1868-1940)
蔡國強 蔡国强 [01\[ cài guó qiáng\]]	cai guoqiang (1957-)
蔡李彿 蔡李佛 [01\[ cài lǐ fó\]]	cai li fo
蔡東藩 蔡东藩 [01\[ cài dōng fān\]]	cai dongfan (1877-1945)
蔡襄 蔡襄 [01\[ cài xiāng\]]	cai xiang (1012-1067)
蔡鍔 蔡锷 [01\[ cài è\]]	cai e (1882-1916)
蔣 蒋 [01\[ jiǎng\]]	surname jiang;refers to chiang kai-shek 蔣介石|蒋介石
蔣介石 蒋介石 [01\[ jiǎng jiè shí\]]	chiang kai-shek (1887-1975)
蔣士銓 蒋士铨 [01\[ jiǎng shì quán\]]	jiang shiquan (1725-1784)
蔣桂戰爭 蒋桂战争 [01\[ jiǎng guì zhàn zhēng\]]	confrontation of 1929 between chiang kaishek and the guangxi warlord faction
蔣經國 蒋经国 [01\[ jiǎng jīng guó\]]	chiang ching-kuo (1910-1988)
蔣緯國 蒋纬国 [01\[ jiǎng wěi guó\]]	chiang wei-kuo
蔥 葱 [01\[ cōng\]]	scallion;green onion
蔥嶺 葱岭 [01\[ cōng lǐng\]]	old name for the pamir plateau
蔥綠 葱绿 [01\[ cōng lǜ\]]	verdant
蔥翠 葱翠 [01\[ cōng cuì\]]	fresh green
蔥花 葱花 [01\[ cōng huā\]]	chopped onion
蔥蔥 葱葱 [01\[ cōng cōng\]]	verdant and thick (foliage
蔥蘢 葱茏 [01\[ cōng lóng\]]	verdant and lush
蔥頭 葱头 [01\[ cōng tóu\]]	onion;western round onion
蔥鬱 葱郁 [01\[ cōng yù\]]	verdant;lush green and full of life
蔥黃 葱黄 [01\[ cōng huáng\]]	yellow green
蔦 茑 [01\[ niǎo\]]	grossulariaceae
蔫 蔫 [01\[ niān\]]	fade;wither
蔬 蔬 [01\[ shū\]]	vegetables
蔬菜 蔬菜 [01\[ shū cài\]]	vegetables;produce
蔬食 蔬食 [01\[ shū shí\]]	vegetarian meal;vegetarian diet
蔭 荫 [01\[ yìn\]]	shade
蔯 蔯 [01\[ chén\]]	a variety of artemisia
蔵 蔵 [01\[ cáng\]]	japanese variant of 藏
蔻 蔻 [01\[ kòu\]]	see 肉豆蔻 nutmeg
蔻蔻 蔻蔻 [01\[ kòu kòu\]]	cocoa
蔽 蔽 [01\[ bì\]]	to cover;to shield;to screen;to conceal
蔽身處 蔽身处 [01\[ bì shēn chǔ\]]	a shelter
蔾 蔾 [01\[ lí\]]	chenopodiaceae
蕁麻 蕁麻 [01\[ qián má\]]	nettle
蕃 蕃 [01\[ bō\]]	see 吐蕃 tubo
蕃 蕃 [01\[ fán\]]	flourishing;to reproduce
蕃薯 蕃薯 [01\[ fán shǔ\]]	sweet potato
蕃衍 蕃衍 [01\[ fán yǎn\]]	to multiply;to reproduce;to increase gradually in number or quantity
蕆 蒇 [01\[ chǎn\]]	complete;prepare
蕈 蕈 [01\[ xùn\]]	mold;mushroom
蕉 蕉 [01\[ jiāo\]]	banana
蕉嶺 蕉岭 [01\[ jiāo lǐng\]]	jiaoling county in meizhou 梅州
蕉嶺縣 蕉岭县 [01\[ jiāo lǐng xiàn\]]	jiaoling county in meizhou 梅州
蕊 蕊 [01\[ ruǐ\]]	stamen;pistil
蕍 蕍 [01\[ yú\]]	alisma plantags
蕎 荞 [01\[ qiáo\]]	buckwheat
蕎麥 荞麦 [01\[ qiáo mài\]]	buckwheat
蕑 蕑 [01\[ jiān\]]	eupatorium chinensis;surname jian
蕓 蕓 [01\[ yún\]]	variant of 芸;common rue (ruta graveolens)
蕓芸眾生 芸芸众生 [01\[ yùn yún zhòng shēng\]]	every living being (buddh.);the mass of common people
蕓荳 芸荳 [01\[ yùn dòu\]]	kidney bean;peas and beans in general
蕓香 芸香 [01\[ yùn xiāng\]]	rutaceae;the citrus family
蕕 莸 [01\[ yóu\]]	caryopteris divaricata
蕖 蕖 [01\[ qú\]]	lotus
蕗 蕗 [01\[ lù\]]	leucacene
蕘 荛 [01\[ ráo\]]	fuel;grass
蕙 蕙 [01\[ huì\]]	coumarouna odorata
蕝 蕝 [01\[ jué\]]	coarse grass used to show rank
蕞 蕞 [01\[ zuì\]]	assemble;small
蕠 蕠 [01\[ rú\]]	variant of 茹;see 蕠藘 and 蕠漆;used erroneously for 絮 xu2;see 花蕠
蕠漆 蕠漆 [01\[ rú lǘ\]]	variant of 茹漆
蕠藘 蕠藘 [01\[ rú lǘ\]]	variant of 茹藘
蕡 蕡 [01\[ fén\]]	hemp seeds;luxurious;abundant
蕢 蒉 [01\[ kuì\]]	surname kui;amaranthus mangostanus
蕣 蕣 [01\[ shùn\]]	hibiscus syriacus
蕤 蕤 [01\[ ruí\]]	fringe;overladen with flowers
蕨 蕨 [01\[ jué\]]	pteridium aquilinum
蕨類 蕨类 [01\[ jué lèi\]]	fern
蕩 荡 [01\[ dàng\]]	a pond;pool;wash;squander;sweep away;move;shake;dissolute
蕩婦 荡妇 [01\[ dàng fù\]]	slut;floozy;prostitute
蕩氣回腸 荡气回肠 [01\[ dàng qì huí cháng\]]	heart-rending (drama
蕩滌 荡涤 [01\[ dàng dí\]]	to clean up
蕩漾 荡漾 [01\[ dàng yàng\]]	to ripple;undulate
蕩然 荡然 [01\[ dàng rán\]]	vanished from the face of the earth;all gone;nothing left
蕩然無存 荡然无存 [01\[ dàng rán wú cún\]]	to obliterate completely;to vanish from the face of the earth
蕪 芜 [01\[ wú\]]	overgrown with weeds
蕪湖 芜湖 [01\[ wú hú\]]	wuhu prefecture level city in anhui
蕪湖市 芜湖市 [01\[ wú hú shì\]]	wuhu prefecture level city in anhui
蕪菁 芜菁 [01\[ wú jīng\]]	turnip
蕭 萧 [01\[ xiāo\]]	mournful;desolate;surname xiao
蕭一山 蕭一山 [01\[ xiāo yī shān\]]	xiao yishan (1902-1978)
蕭乾 萧乾 [01\[ xiāo qián\]]	xiao qian (1910-1999)
蕭伯納 萧伯纳 [01\[ xiāo bó nà\]]	george bernard shaw
蕭子顯 萧子显 [01\[ xiāo zǐ xiǎn\]]	xiao zixian (487-537)
蕭山 萧山 [01\[ xiāo shān\]]	(n) xiaoshan (city in zhejiang)
蕭梁 萧梁 [01\[ xiāo liáng\]]	liang of the southern dynasties (502-557)
蕭條 萧条 [01\[ xiāo tiáo\]]	(economic) depression
蕭瑟 萧瑟 [01\[ xiāo sè\]]	to rustle in the air;to rustle;to sough;bleak;desolate;chilly
蕭紅 萧红 [01\[ xiāo hóng\]]	xiao hong (1911-1942)
蕭縣 萧县 [01\[ xiāo xiàn\]]	xiao county in anhui
蕭萬長 萧万长 [01\[ xiāo wàn cháng\]]	vincent c. siew (1939-)
蕭邦 萧邦 [01\[ xiāo bāng\]]	frédéric chopin (composer)
蕳 蕳 [01\[ jiān\]]	orchid (same as 蘭草|兰草);eupatorium (same as 蕑)
蕷 蓣 [01\[ yù\]]	dioscoreaceae
蕸 蕸 [01\[ xiá\]]	water-lily leaves
蕹 蕹 [01\[ wèng\]]	water spinach or ong choy (ipomoea aquatica)
蕹菜 蕹菜 [01\[ wèng cài\]]	water spinach or ong choy (ipomoea aquatica)
蕺 蕺 [01\[ jí\]]	houttuynia cordata
蕻 蕻 [01\[ hòng\]]	budding;flourishing
蕾 蕾 [01\[ lěi\]]	bud
蕾絲邊 蕾丝边 [01\[ lěi sī biān\]]	(slang) lesbian
薀 薀 [01\[ yùn\]]	hippuris or mare's tail
薁 薁 [01\[ yù\]]	prunus japonica
薃 薃 [01\[ hào\]]	cyperus amuricus
薄 薄 [01\[ báo\]]	thin;cold in manner;indifferent;weak;light;infertile
薄 薄 [01\[ bó\]]	meager;mean;weak;poor;frail;frivolous;to despise;to look down on;surname bo
薄一波 薄一波 [01\[ bó yī bō\]]	bo yibo (1908-2007)
薄利 薄利 [01\[ bó lì\]]	small profits
薄利多銷 薄利多销 [01\[ bó lì duō xiāo\]]	small profit but rapid turnover
薄厚 薄厚 [01\[ bó hòu\]]	meanness and generosity;intimacy and alienation
薄命 薄命 [01\[ bó mìng\]]	(usu. of women) born under an unlucky star;born unlucky
薄地 薄地 [01\[ bó dì\]]	barren land;poor soil
薄層 薄层 [01\[ báo céng\]]	thin layer;thin slice;film;lamina;lamella
薄幸 薄幸 [01\[ bó xìng\]]	fickle;inconstant person
薄弱 薄弱 [01\[ bó ruò\]]	weak;frail
薄待 薄待 [01\[ bó dài\]]	mean treatment;indifference;meager hospitality
薄情 薄情 [01\[ bó qíng\]]	inconstant in love;fickle
薄技 薄技 [01\[ bó jì\]]	meager skill;humility word: my poor talents
薄明 薄明 [01\[ bó míng\]]	dim light;early dawn
薄暗 薄暗 [01\[ bó àn\]]	at dusk;evening
薄暮 薄暮 [01\[ bó mù\]]	dusk;twilight
薄曉 薄晓 [01\[ bó xiǎo\]]	at dawn
薄板 薄板 [01\[ báo bǎn\]]	metal sheet;lamina
薄油層 薄油层 [01\[ bó yóu céng\]]	oil sheet
薄海 薄海 [01\[ bó hǎi\]]	vast area;all the way to the sea
薄烤餅 薄烤饼 [01\[ bó kǎo bǐng\]]	pancake
薄熙來 薄熙来 [01\[ bó xī lái\]]	bo xilai (1949-)
薄片 薄片 [01\[ báo piàn\]]	thin slice;thin section;flake
薄瑞光 薄瑞光 [01\[ bó ruì guāng\]]	raymond burghard (1945-)
薄產 薄产 [01\[ bó chǎn\]]	meager estate;small means
薄田 薄田 [01\[ bó tián\]]	barren field;poor land
薄禮 薄礼 [01\[ bó lǐ\]]	humility term: my meager gift
薄紗 薄纱 [01\[ báo shā\]]	gauze (cloth)
薄紙 薄纸 [01\[ báo zhǐ\]]	tissue;kleenex
薄胎瓷器 薄胎瓷器 [01\[ bó tāi cí qì\]]	eggshell china
薄脆 薄脆 [01\[ báo cuì\]]	crispy thin (cooking style)
薄膜 薄膜 [01\[ bó mó\]]	membrane;film
薄荷 薄荷 [01\[ bò he\]]	field mint;peppermint
薄荷油 薄荷油 [01\[ bò he yóu\]]	peppermint
薄透鏡 薄透镜 [01\[ báo tòu jìng\]]	thin lens (i.e. of negligible thickness in optics)
薄酒 薄酒 [01\[ báo jiǔ\]]	dilute wine;insipid wine;humility word: i'm sorry the wine i offer you is so poor.
薄酬 薄酬 [01\[ bó chóu\]]	small reward (for work);meager remuneration
薄霧 薄雾 [01\[ bó wù\]]	mist;haze
薄面 薄面 [01\[ bó miàn\]]	humility term: my meager sensibilities;blushing face;please do it for my sake (i.e. to save my face)
薄餅 薄饼 [01\[ báo bǐng\]]	thin flat cake;pancake;pizza
薄養厚葬 薄养厚葬 [01\[ bó yǎng hòu zàng\]]	to neglect one's parents but give them a rich funeral;hypocracy in arranging a lavish funeral after treating one's parents meanly
薅 薅 [01\[ hāo\]]	pull out (weed)
薆 薆 [01\[ ài\]]	to cover;to hide;to conceal
薇 薇 [01\[ wēi\]]	osmunda regalis
薈 荟 [01\[ huì\]]	flourish
薈萃 荟萃 [01\[ huì cuì\]]	collecting together (of distinguished people or exquisite objects);to gather;to assemble
薉 薉 [01\[ wèi\]]	weedy
薊 蓟 [01\[ jì\]]	cirsium;thistle;surname ji
薊縣 蓟县 [01\[ jì xiàn\]]	ji county in tianjin
薌 芗 [01\[ xiāng\]]	(fujian drama)
薏 薏 [01\[ yì\]]	coix lacryma
薏米 薏米 [01\[ yì mǐ\]]	job's tears;commonly but misleadingly sold as chinese pearl barley
薐 薐 [01\[ léng\]]	old name for spinach
薑 姜 [01\[ jiāng\]]	surname jiang;ginger
薑太公 姜太公 [01\[ jiāng tài gōng\]]	jiang ziya 薑子牙|姜子牙 (late shang dynasty
薑子牙 姜子牙 [01\[ jiāng zǐ yá\]]	jiang ziya (late shang dynasty
薑汁 姜汁 [01\[ jiāng zhī\]]	ginger ale
薑餅 姜饼 [01\[ jiāng bǐng\]]	gingerbread
薑黃 姜黄 [01\[ jiāng huáng\]]	turmeric
薑黃色 薑黄色 [01\[ jiāng huáng sè\]]	ginger (color)
薔 蔷 [01\[ qiáng\]]	wild rose
薔薇 蔷薇 [01\[ qiáng wēi\]]	rose
薔薇十字團 蔷薇十字团 [01\[ qiáng wēi shí zì tuán\]]	the rosicrucian order (masonic order)
薔薇花蕾 蔷薇花蕾 [01\[ qiáng wēi huā lěi\]]	rosebud
薖 薖 [01\[ kē\]]	big;hungry-looking
薘 薘 [01\[ dá\]]	plantago major
薙 剃 [01\[ tì\]]	shave;to weed
薛 薛 [01\[ xuē\]]	surname xue;wormwood
薛仁貴 薛仁貴 [01\[ xuē rén guì\]]	xue rengui (614-683) great tang dynasty general
薛城區 薛城区 [01\[ xuē chéng qū\]]	(n) xuecheng (area in shandong)
薛定諤 薛定谔 [01\[ xuē dìng è\]]	erwin schrödinger (1887-1961)
薛定諤方程 薛定谔方程 [01\[ xuē dìng è fāng chéng\]]	schrödinger's wave equation
薛寶釵 薛宝钗 [01\[ xuē bǎo chāi\]]	xue baochai
薛居正 薛居正 [01\[ xuē jū zhèng\]]	xue juzheng (912-981)
薛福成 薛福成 [01\[ xuē fú chéng\]]	xue fucheng (1838-1894)
薛稷 薛稷 [01\[ xuē jì\]]	xue ji (649-713)
薜 薜 [01\[ bì\]]	ficus pumila
薢 薢 [01\[ xiào\]]	woody climbing plant
薤 薤 [01\[ xiè\]]	allium bakeri;shallot;scallion
