騷然 骚然	69-55165-B
驚師動眾 惊师动众	69-60570-B
驚師動衆 惊师动衆	69-60672-B
驚弓之鳥 惊弓之鸟	69-60774-B
驚心 惊心	69-60903-B
驚心動魄 惊心动魄	69-60946-B
驚怕 惊怕	69-61085-B
驚怖 惊怖	69-61137-B
驚急 惊急	69-61182-B
驚怪 惊怪	69-61235-B
驚怯 惊怯	69-61280-B
驚恐 惊恐	69-61337-B
驚恐翼龍 惊恐翼龙	69-61400-B
驚悉 惊悉	69-61501-B
驚悚 惊悚	69-61579-B
驚悟 惊悟	69-61638-B
驚悸 惊悸	69-61724-B
驚惶失措 惊惶失措	69-61806-B
驚愕 惊愕	69-61934-B
驚慌 惊慌	69-62016-B
驚慌失措 惊慌失措	69-62058-B
驚慌失色 惊慌失色	69-62143-B
驚懼 惊惧	69-62233-B
驚擾 惊扰	69-62279-B
驚歎	69-62333-S
驚歎 驚歎	69-62333-B
驚濤 惊涛	69-62392-B
驚濤駭浪 惊涛骇浪	69-62438-B
驚異 惊异	69-62514-B
驚癇 惊痫	69-62557-B
驚群動眾 惊群动众	69-62601-B
驚羨 惊羡	69-62703-B
驚蟄 惊蛰	69-62789-B
驚覺 惊觉	69-62847-B
驚訝 惊讶	69-62905-B
驚賞 惊赏	69-62993-B
驚起 惊起	69-63079-B
驚跳 惊跳	69-63160-B
驚車 惊车	69-63225-B
驚逃 惊逃	69-63316-B
驚遽 惊遽	69-63362-B
驚醒 惊醒	69-63414-B
驚錯 惊错	69-63515-B
驚險 惊险	69-63582-B
驚雷 惊雷	69-63638-B
驚顫 惊颤	69-63726-B
驚風 惊风	69-63778-B
驚飛 惊飞	69-63889-B
驚馬 惊马	69-63957-B
驚駭 惊骇	69-64005-B
驚魂 惊魂	69-64046-B
驚鳥 惊鸟	69-64111-B
驚鴻 惊鸿	69-64174-B
驛 驿	69-64249-B
驛站 驿站	69-64295-B
驛馬 驿马	69-64358-B
驟 骤	69-64437-B
驟然 骤然	69-64476-B
驟雨 骤雨	69-64528-B
驢 驴	69-64568-B
驢子 驴子	69-64596-B
驤 骧	69-64637-B
驥 骥	69-64681-B
驦	69-64742-S
驦 驦	69-64742-B
驩	69-64778-S
驩 驩	69-64778-B
驪 骊	69-64814-B
驪姬之亂 骊姬之乱	69-64858-B
驪山 骊山	69-64941-B
驫	69-65025-S
驫 驫	69-65025-B
马	69-31266-S,69-31357-S
马丁	69-31434-S
马丁・路德	69-31481-S
马三立	69-31569-S
马上	69-31620-S
马上比武	69-31711-S
马中锡	69-31815-S
马伯乐	69-31944-S
马但	69-32000-S
马俊仁	69-32691-S
马克	69-32744-S
马克・吐温	69-32787-S
马克思	69-32896-S
马克思主义	69-32985-S
马克思列宁主义	69-33055-S
马克斯・普朗克	69-33157-S
马克斯威尔	69-33262-S
马克沁	69-33356-S
马克沁机枪	69-33426-S
马克笔	69-33509-S
马兜铃科	69-33576-S
马公	69-33685-S
马六甲	69-33746-S
马六甲海峡	69-33836-S
马兰	69-41722-S
马关	69-43782-S
马关条约	69-43844-S
马其顿	69-33933-S
马具	69-33985-S
马刀	69-34024-S
马列	69-34078-S
马列主义	69-34125-S
马利亚	69-34195-S
马利基	69-34254-S
马到成功	69-34384-S
马前卒	69-34473-S
马力	69-34564-S
马勺	69-34606-S
马匹	69-34652-S
马南邨	69-34690-S
马厩	69-37236-S
马友友	69-34755-S
马可尼	69-34815-S
马可波罗	69-34864-S
马可福音	69-34942-S
马后炮	69-37273-S
马哈拉施特拉邦	69-35022-S
马哈迪	69-35135-S
马噶尔尼	69-35197-S
马噶尔尼使团	69-35282-S
马国	69-35400-S
马塞卢	69-35468-S
马大	69-35538-S
马大哈	69-35592-S
马太	69-35688-S
马太福音	69-35735-S
马夫	69-31870-S
马头	69-44259-S
马头星云	69-44326-S
马头琴	69-44405-S
马子	69-35819-S
马家军	69-35882-S
马尔他	69-39357-S
马尔代夫	69-39404-S
马尔克奥雷利	69-39469-S
马尔堡病毒	69-39567-S
马尔库斯	69-39645-S
马尔康	69-39710-S
马尔康县	69-39786-S
马尔康镇	69-39864-S
马尔斯	69-39940-S
马尔维纳斯群岛	69-40005-S
马尔谷	69-40139-S
马尼托巴	69-35999-S
马尼拉	69-36069-S
马尼拉大学	69-36142-S
马尾	69-36225-S
马尾军港	69-36799-S
马尾松	69-36331-S
马尾水	69-36405-S
马尾水师学堂	69-36481-S
马尾港	69-36585-S
马尾穿豆腐	69-36642-S
马屁	69-36902-S
马屁精	69-36986-S
马山	69-37047-S
马年	69-37110-S
马库色	69-37173-S
马德拉斯	69-37369-S
马德拉群岛	69-37437-S
马德望	69-37528-S
马德裡	69-37582-S
马德里	69-37654-S
马戏	69-37926-S
马戏团	69-37964-S
马戛尔尼	69-37721-S
马戛尔尼使团	69-37807-S
马房	69-38014-S
马托格罗索	69-42056-S
马拉	69-38060-S
马拉加	69-38107-S
马拉博	69-38157-S
马拉喀什	69-38236-S
马拉开波	69-38425-S
马拉松	69-38317-S
马拉维	69-38376-S
马提尼克	69-38487-S
马斯内	69-38575-S
马斯喀特	69-38644-S
马斯特里赫特	69-38720-S
马普托	69-38802-S
马服君	69-38875-S
马服子	69-38926-S
马术	69-41847-S
马来	69-32057-S
马来亚	69-32105-S
马来人	69-32154-S
马来半岛	69-32220-S
马来文	69-32334-S
马来西亚	69-32486-S
马来西亚人	69-32396-S
马来西亚语	69-32547-S
马来语	69-32630-S
马格德堡	69-38985-S
马桶	69-39061-S
马桶拔	69-39132-S
马槟榔	69-39205-S
马歇尔	69-39255-S
马步	69-39306-S
马王堆	69-40278-S
马球	69-40344-S
马瑙斯	69-40381-S
马甲	69-40447-S
马祖	69-40486-S
马祖列岛	69-40542-S
马科	69-40609-S
马糊	69-40661-S
马纳马	69-40724-S
马绍尔群岛	69-40793-S
马经	69-40875-S
马群	69-40983-S
马耳他	69-41030-S
马背	69-41077-S
马致远	69-40928-S
马良	69-41119-S
马苏德	69-41673-S
马英九	69-41179-S
马草夼	69-41244-S
马草夼村	69-41348-S
马荣	69-41463-S
马萨诸塞	69-41527-S
马萨诸塞州	69-41594-S
马虎	69-41784-S
马赛	69-42132-S
马赛克	69-42174-S
马赛族	69-42223-S
马赛曲	69-42271-S
马赫	69-42329-S
马赫数	69-42395-S
马超	69-42449-S
马路	69-42500-S
马路口	69-42543-S
马路沿儿	69-42609-S
马蹄	69-42686-S
马蹄形	69-42785-S
马蹄星云	69-42844-S
马蹄莲	69-42928-S
马蹄蟹	69-42988-S
马蹄铁	69-43070-S
马蹬	69-43122-S
马车	69-43163-S
马边	69-43386-S
马边彝族自治县	69-43460-S
马达	69-43275-S
马达加斯加	69-43312-S
马连良	69-43204-S
马里	69-41906-S
马里亚纳群岛	69-43587-S
马里兰	69-41942-S
马里兰州	69-41993-S
马铃薯	69-43690-S
马镫	69-43741-S
马雅	69-43967-S
马鞍山	69-44037-S
马鞍山市	69-44121-S
马鞭	69-44216-S
马马虎虎	69-44460-S
马鹿	69-44558-S
马齿苋	69-44598-S
马龙	69-44679-S
驭	69-44741-S
驭兽术	69-44778-S
驮	69-45055-S,69-45091-S
驮兽	69-45177-S
驮子	69-45127-S
驮畜	69-45227-S
驮运路	69-45272-S
驯	69-45442-S
驯从	69-45615-S
驯养	69-45904-S
驯化	69-45508-S
驯善	69-45564-S
驯悍记	69-45663-S
驯扰	69-45726-S
驯服	69-45767-S
驯良	69-45811-S
驯顺	69-45858-S
驯马	69-45972-S
驯马人	69-46047-S
驯马场	69-46104-S
驯驼	69-46171-S
驯鹿	69-46223-S
驰	69-45329-S
驰骋	69-45380-S
驱	69-55834-S
驱使	69-55899-S
驱动	69-55939-S
驱动力	69-56079-S
驱动器	69-56136-S
驱动程序	69-56185-S
驱动轮	69-56276-S
驱散	69-56332-S
驱走	69-56382-S
驱逐	69-56428-S
驱逐出境	69-56480-S
驱逐舰	69-56548-S
驱邪	69-56612-S
驱除	69-56673-S
驱除鞑虏	69-56711-S
驱魔	69-56780-S
驱魔赶鬼	69-56843-S
驳	69-46345-S
驳倒	69-46457-S
驳回	69-46524-S
驳壳枪	69-46910-S
驳复	69-46741-S
驳子	69-46582-S
驳岸	69-46629-S
驳斥	69-46782-S
驳杂	69-47263-S
驳正	69-46854-S
驳船	69-46968-S
驳议	69-47057-S
驳词	69-47016-S
驳辞	69-47142-S
驳运	69-47202-S
驳面子	69-47308-S
驴	69-64568-S
驴子	69-64596-S
驵	69-49097-S
驶	69-50389-S
驷	69-50632-S
驸	69-50353-S
驹	69-49007-S
驹子	69-49033-S
驺	69-54700-S
驻	69-47732-S
驻京	69-47810-S
驻军	69-48524-S
驻北京	69-47873-S
驻华	69-48374-S
驻华盛顿	69-48443-S
驻地	69-47939-S
驻大陆	69-47990-S
驻守	69-48070-S
驻扎	69-48309-S
驻波	69-48128-S
驻港	69-48174-S
驻点	69-48915-S
驻留时间	69-48239-S
驻香港	69-48566-S
驻马店	69-48636-S
驻马店地区	69-48721-S
驻马店市	69-48819-S
驼	69-50477-S
驼鸡	69-50514-S
驽	69-48966-S
驾	69-49135-S
驾临	69-49311-S
驾崩	69-49194-S
驾照	69-49260-S
驾车	69-49415-S
驾轻就熟	69-49464-S
驾驭	69-49688-S
驾驶	69-49740-S
驾驶人	69-49782-S
驾驶员	69-49831-S
驾驶执照	69-49882-S
驾驶舱	69-49955-S
驾驶证	69-50022-S
驾鹤成仙	69-50084-S
驾鹤西游	69-50179-S
驿	69-64249-S
驿站	69-64295-S
驿马	69-64358-S
骀	69-50310-S
骁	69-57109-S
骂	50-53917-S
骂不绝口	50-53953-S
骂人	50-54057-S
骄	69-57264-S
骄傲	69-57302-S
骄奢淫逸	69-57376-S
骄横	69-57467-S
骄气	69-57523-S
骄矜	69-57565-S
骄纵	69-57613-S
骄阳	69-57657-S
骅	69-57043-S
骆	69-51131-S
骆马	69-51171-S
骆驼	69-51209-S
骆驼祥子	69-51271-S
骇	69-51007-S
骈	69-50725-S
骈体	69-50884-S
骈偶文风	69-50763-S
骊	69-64814-S
骊姬之乱	69-64858-S
骊山	69-64941-S
骋	69-51638-S
验	69-57743-S
验伤	69-57793-S
验光	69-57900-S
验光法	69-57961-S
验光配镜业	69-58033-S
验光配镜法	69-58128-S
验关	69-59132-S
验尸	69-58223-S
验收	69-58326-S
验方	69-58445-S
验明	69-58519-S
验明正身	69-58614-S
验核	69-58892-S
验电器	69-59199-S
验票	69-58724-S
验算	69-58775-S
验血	69-58848-S
验证	69-58933-S
验证码	69-59016-S
验货	69-59079-S
骏	69-51563-S
骏马	69-51600-S
骐	69-53127-S
骑	69-51960-S
骑兵	69-52024-S
骑土	69-52065-S
骑墙	69-52532-S
骑士	69-52125-S
骑士气概	69-52203-S
骑士风格	69-52265-S
骑射	69-52330-S
骑师	69-52401-S
骑师赛马	60-1534-S
骑术	69-52691-S
骑楼	69-52478-S
骑虎难下	69-52618-S
骑车	69-52750-S
骑马	69-52788-S
骑马者	69-52837-S
骑鹤	69-52910-S
骑鹤上扬州	69-52984-S
骒	69-51926-S
骓	69-51786-S
骖	69-55709-S
骗	69-53447-S
骗人	69-53530-S
骗供	69-53583-S
骗取	69-53669-S
骗子	69-53722-S
骗局	69-53771-S
骗术	69-53837-S
骘	69-54108-S
骚	69-54741-S
骚乱	69-54794-S
骚乱者	69-54869-S
骚动	69-54923-S
骚客	69-54976-S
骚扰	69-55015-S
骚扰客蚤	69-55090-S
骚然	69-55165-S
骚话	69-55208-S
骚货	69-55263-S
骚闹	69-55317-S
骛	69-53354-S
骛远	69-53399-S
骜	69-55666-S
骝	69-54157-S
骞	69-54069-S
骟	69-55365-S
骠	69-55761-S
骡	69-55483-S
骡子	69-55510-S
骡马大车	69-55546-S
骢	69-55796-S
骣	69-57156-S
骤	69-64437-S
骤然	69-64476-S
骤雨	69-64528-S
骥	69-64681-S
骧	69-64637-S
骨	69-65066-S
骨 骨	69-65066-B
骨刺	69-65107-S
骨刺 骨刺	69-65107-B
骨刻	69-65158-S
骨刻 骨刻	69-65158-B
骨力	69-65205-S
骨力 骨力	69-65205-B
骨化	69-65268-S
骨化 骨化	69-65268-B
骨头	70-2304-S
骨头架子	70-2357-S
骨头节儿	70-2447-S
骨子	69-65323-S
骨子 骨子	69-65323-B
骨子裡 骨子里	70-0-B
骨子里	70-0-S
骨干	70-142-S
骨干网路	70-193-S
骨幹 骨干	70-142-B
骨幹網路 骨干网路	70-193-B
骨折	70-264-S
骨折 骨折	70-264-B
骨料	70-318-S
骨料 骨料	70-318-B
骨朵	70-405-S
骨朵 骨朵	70-405-B
骨架	70-462-S
骨架 骨架	70-462-B
骨殖	70-513-S
骨殖 骨殖	70-513-B
骨气	70-563-S
骨氣 骨气	70-563-B
骨法	70-658-S
骨法 骨法	70-658-B
骨灰	70-723-S
骨灰 骨灰	70-723-B
骨灰盒	70-782-S
骨灰盒 骨灰盒	70-782-B
骨炭	70-859-S
骨炭 骨炭	70-859-B
骨烬	70-918-S
骨燼 骨烬	70-918-B
骨牌	70-1001-S
骨牌 骨牌	70-1001-B
骨瘤	70-1042-S
骨瘤 骨瘤	70-1042-B
骨瘦如柴	70-1128-S
骨瘦如柴 骨瘦如柴	70-1128-B
骨盆	70-1264-S
骨盆 骨盆	70-1264-B
骨碌碌	70-1303-S
骨碌碌 骨碌碌	70-1303-B
骨科	70-1406-S
骨科 骨科	70-1406-B
骨立	70-1468-S
骨立 骨立	70-1468-B
骨節 骨节	70-1514-B
骨罈	70-1570-S
骨罈 骨罈	70-1570-B
骨肉	70-1606-S
骨肉 骨肉	70-1606-B
骨肉相连	70-1679-S
骨肉相連 骨肉相连	70-1679-B
骨肥厚	70-1827-S
骨肥厚 骨肥厚	70-1827-B
骨胶原	70-1980-S
骨膜	70-1913-S
骨膜 骨膜	70-1913-B
骨膠原 骨胶原	70-1980-B
骨节	70-1514-S
骨董	70-2044-S
骨董 骨董	70-2044-B
骨血	70-2091-S
骨血 骨血	70-2091-B
骨質疏鬆 骨质疏松	70-2155-B
骨質疏鬆症 骨质疏松症	70-2223-B
骨质疏松	70-2155-S
骨质疏松症	70-2223-S
骨頭 骨头	70-2304-B
骨頭架子 骨头架子	70-2357-B
骨頭節兒 骨头节儿	70-2447-B
骨骼	70-2522-S
骨骼 骨骼	70-2522-B
骨髓	70-2568-S
骨髓 骨髓	70-2568-B
骨髓移植	70-2628-S
骨髓移植 骨髓移植	70-2628-B
骨髓腔	70-2704-S
骨髓腔 骨髓腔	70-2704-B
骨鯁 骨鲠	70-2779-B
骨鯁之臣 骨鲠之臣	70-2903-B
骨鯁在喉 骨鲠在喉	70-3051-B
骨鲠	70-2779-S
骨鲠之臣	70-2903-S
骨鲠在喉	70-3051-S
骫	70-3213-S
骫 骫	70-3213-B
骭	70-3262-S
骭 骭	70-3262-B
骯 肮	70-3293-B
骯髒 肮脏	70-3328-B
骰	70-3375-S
骰 骰	70-3375-B
骰子	70-3414-S
骰子 骰子	70-3414-B
骱	70-3450-S
骱 骱	70-3450-B
骴	70-3487-S
骴 骴	70-3487-B
骶	70-3525-S
骶 骶	70-3525-B
骶骨	70-3604-S
骶骨 骶骨	70-3604-B
骷	70-3693-S
骷 骷	70-3693-B
骸	70-3723-S
骸 骸	70-3723-B
骸骨	70-3763-S
骸骨 骸骨	70-3763-B
骼	70-3806-S
骼 骼	70-3806-B
骾	70-3836-S
骾 骾	70-3836-B
髀	70-3887-S
髀 髀	70-3887-B
髁	70-3923-S
髁 髁	70-3923-B
髂	70-3953-S
髂 髂	70-3953-B
髂窝	70-4032-S
髂窩 髂窝	70-4032-B
髂骨	70-4115-S
髂骨 髂骨	70-4115-B
髄	70-4196-S
髄 髄	70-4196-B
髅	70-4278-S
髆	70-4242-S
髆 髆	70-4242-B
髇	70-4306-S
髋	70-10893-S
髋关节	70-10930-S
髌	70-10815-S
髌骨	70-10845-S
髏 髅	70-4278-B
髐 髇	70-4306-B
髑	70-4357-S
髑 髑	70-4357-B
髒 脏	70-4384-B
髒亂 脏乱	70-4420-B
髒土 脏土	70-4486-B
髒字 脏字	70-4541-B
髒弹 脏彈	70-4584-B
髒水 脏水	70-4629-B
髒污 脏污	70-4683-B
髒煤 脏煤	70-4743-B
髒病 脏病	70-4811-B
髒話 脏话	70-4885-B
髒髒 脏脏	70-4962-B
髓	70-5003-S
髓 髓	70-5003-B
髓結 髓结	70-5088-B
髓结	70-5088-S
髓脑	70-5143-S
髓腦 髓脑	70-5143-B
髓过氧化物酶	70-5195-S
髓過氧化物酶 髓过氧化物酶	70-5195-B
髓鞘	70-5294-S
髓鞘 髓鞘	70-5294-B
體 体	70-5384-B
體位 体位	70-5428-B
體例 体例	70-5468-B
體側 体侧	70-5526-B
體內 体内	70-5574-B
體刑 体刑	70-5656-B
體制 体制	70-5709-B
體力 体力	70-5761-B
體力勞動 体力劳动	70-5825-B
體勢 体势	70-5894-B
體味 体味	70-5934-B
體團 体团	70-6005-B
體型 体型	70-6048-B
體壇 体坛	70-6104-B
體外 体外	70-6172-B
體外受精 体外受精	70-6249-B
體大思精 体大思精	70-6328-B
體察 体察	70-6457-B
體己 体己	70-6514-B
體己錢 体己钱	70-6586-B
體式 体式	70-6672-B
體弱 体弱	70-6716-B
體形 体形	70-6757-B
體念 体念	70-6815-B
體性 体性	70-6913-B
體恤 体恤	70-6958-B
體恤入微 体恤入微	70-7031-B
體悟 体悟	70-7183-B
體惜 体惜	70-7253-B
體態 体态	70-7326-B
體操 体操	70-7382-B
體書 体书	70-7435-B
體會 体会	70-7485-B
體校 体校	70-7558-B
體格 体格	70-7634-B
體格檢查 体格检查	70-7700-B
體模 体模	70-7791-B
體檢 体检	70-7833-B
體毛 体毛	70-7920-B
體液 体液	70-7962-B
體溫 体温	70-8006-B
體溫檢測儀 体温检测仪	70-8057-B
體溫表 体温表	70-8147-B
體溫計 体温计	70-8212-B
體無完膚 体无完肤	70-8275-B
體現 体现	70-8393-B
體癬 体癣	70-8498-B
體積 体积	70-8555-B
體積百分比 体积百分比	70-8598-B
體系 体系	70-8682-B
體統 体统	70-8726-B
體罰 体罚	70-8819-B
體育 体育	70-8870-B
體育之窗 体育之窗	70-8927-B
體育場 体育场	70-9000-B
體育場館 体育场馆	70-9052-B
體育活動 体育活动	70-9118-B
體育界 体育界	70-9197-B
體育系 体育系	70-9273-B
體育運動 体育运动	70-9344-B
體育鍛煉 体育锻炼	70-9422-B
體育館 体育馆	70-9495-B
體能 体能	70-9560-B
體腔 体腔	70-9621-B
體膚 体肤	70-9684-B
體表 体表	70-9731-B
體裁 体裁	70-9788-B
體認 体认	70-9848-B
體諒 体谅	70-9900-B
體貌 体貌	70-10008-B
體貼 体贴	70-10051-B
體貼入微 体贴入微	70-10121-B
體質 体质	70-10227-B
體重 体重	70-10268-B
體重器 体重器	70-10314-B
體重計 体重计	70-10390-B
體量 体量	70-10449-B
體長 体长	70-10506-B
體面 体面	70-10552-B
體香劑 体香剂	70-10646-B
體驗 体验	70-10711-B
體魄 体魄	70-10769-B
髕 髌	70-10815-B
髕骨 髌骨	70-10845-B
髖 髋	70-10893-B
髖關節 髋关节	70-10930-B
高	70-10993-S,70-11068-S
高 高	70-10993-B,70-11068-B
高下	70-11102-S
高下 高下	70-11102-B
高中	70-11173-S
高中 高中	70-11173-B
高中生	70-11220-S
高中生 高中生	70-11220-B
高丽	70-24123-S
高举	70-21260-S
高于	70-15715-S
高云	70-23684-S
高亢	70-11295-S
高亢 高亢	70-11295-B
高产	70-18501-S
高价	70-11758-S
高低	70-11362-S
高低 高低	70-11362-B
高低杠	70-11528-S
高低槓 高低杠	70-11528-B
高低潮	70-11597-S
高低潮 高低潮	70-11597-B
高体鳑鲏	70-24000-S
高傲	70-11669-S
高傲 高傲	70-11669-B
高僧	70-11710-S
高僧 高僧	70-11710-B
高價 高价	70-11758-B
高八度	70-11801-S
高八度 高八度	70-11801-B
高兴	70-21176-S
高分	70-11865-S
高分 高分	70-11865-B
高分低能	70-11920-S
高分低能 高分低能	70-11920-B
高分子	70-12021-S
高分子 高分子	70-12021-B
高分子化学	70-12086-S
高分子化學 高分子化学	70-12086-B
高利貸 高利贷	70-12169-B
高利贷	70-12169-S
高加索	70-12223-S
高加索 高加索	70-12223-B
高卢	70-18598-S
高压	70-12653-S
高压电	70-12779-S
高压线	70-12711-S
高原	70-12295-S
高原 高原	70-12295-B
高县	70-20402-S
高句丽	70-12337-S
高句麗 高句丽	70-12337-B
高台	70-12387-S
高台 高台	70-12387-B
高唐	70-12448-S
高唐 高唐	70-12448-B
高唱	70-12514-S
高唱 高唱	70-12514-B
高地	70-12567-S
高地 高地	70-12567-B
高塔	70-12615-S
高塔 高塔	70-12615-B
高壓 高压	70-12653-B
高壓線 高压线	70-12711-B
高壓電 高压电	70-12779-B
高声	70-20608-S
高壽 高寿	70-12836-B
高大	70-12914-S
高大 高大	70-12914-B
高学历	70-12957-S
高學歷 高学历	70-12957-B
高安	70-13069-S
高安 高安	70-13069-B
高安市	70-13143-S
高安市 高安市	70-13143-B
高官	70-13228-S
高官 高官	70-13228-B
高官显爵	70-13276-S
高官顯爵 高官显爵	70-13276-B
高密	70-13346-S
高密 高密	70-13346-B
高寿	70-12836-S
高射炮	70-13391-S
高射炮 高射炮	70-13391-B
高尔基	70-18009-S
高尔基体	70-18090-S
高尔夫	70-18158-S
高尔夫球	70-18215-S
高尔夫球场	70-18283-S
高尔察克	70-18361-S
高尚	70-13453-S
高尚 高尚	70-13453-B
高层	70-13500-S
高层云	70-13642-S
高层旅馆	70-13556-S
高層 高层	70-13500-B
高層旅館 高层旅馆	70-13556-B
高層雲 高层云	70-13642-B
高山	70-13718-S
高山 高山	70-13718-B
高山区	70-13759-S
高山區 高山区	70-13759-B
高山族	70-13819-S
高山族 高山族	70-13819-B
高岭土	70-14236-S
高峰	70-13878-S
高峰 高峰	70-13878-B
高峰会	70-13931-S
高峰会议	70-13991-S
高峰會 高峰会	70-13931-B
高峰會議 高峰会议	70-13991-B
高峰期	70-14064-S
高峰期 高峰期	70-14064-B
高峻	70-14151-S
高峻 高峻	70-14151-B
高嶺土 高岭土	70-14236-B
高州	70-14305-S
高州 高州	70-14305-B
高州市	70-14383-S
高州市 高州市	70-14383-B
高平	70-14472-S
高平 高平	70-14472-B
高平县	70-14535-S
高平縣 高平县	70-14535-B
高度	70-14615-S
高度 高度	70-14615-B
高強 高强	70-14694-B
高强	70-14694-S
高德納 高德纳	70-14738-B
高德纳	70-14738-S
高性能	70-14859-S
高性能 高性能	70-14859-B
高手	70-14922-S
高手 高手	70-14922-B
高扬	70-15386-S
高技术	70-14988-S
高技術 高技术	70-14988-B
高抬	70-15057-S
高抬 高抬	70-15057-B
高抬貴手 高抬贵手	70-15112-B
高抬贵手	70-15112-S
高招	70-15316-S
高招 高招	70-15316-B
高揚 高扬	70-15386-B
高效	70-15454-S
高效 高效	70-15454-B
高效率	70-15515-S
高效率 高效率	70-15515-B
高效能	70-15575-S
高效能 高效能	70-15575-B
高斯	70-15650-S
高斯 高斯	70-15650-B
高於 高于	70-15715-B
高昂	70-15770-S
高昂 高昂	70-15770-B
高明	70-15847-S
高明 高明	70-15847-B
高本汉	70-15909-S
高本漢 高本汉	70-15909-B
高村正彥 高村正彦	70-15983-B
高村正彦	70-15983-S
高果糖玉米糖浆	70-16064-S
高果糖玉米糖漿 高果糖玉米糖浆	70-16064-B
高架	70-16186-S
高架 高架	70-16186-B
高树乡	70-16622-S
高校	70-16228-S
高校 高校	70-16228-B
高档	70-16699-S
高档服装	70-16761-S
高梁	70-16310-S
高梁 高梁	70-16310-B
高棉	70-16368-S
高棉 高棉	70-16368-B
高楼	70-16427-S
高楼大厦	70-16505-S
高樓 高楼	70-16427-B
高樓大廈 高楼大厦	70-16505-B
高樹鄉 高树乡	70-16622-B
高檔 高档	70-16699-B
高檔服裝 高档服装	70-16761-B
高次	70-16855-S
高次 高次	70-16855-B
高汤	70-17344-S
高浓缩铀	70-17677-S
高涨	70-17516-S
高深	70-16926-S
高深 高深	70-16926-B
高深莫测	70-16969-S
高深莫測 高深莫测	70-16969-B
高淳	70-17040-S
高淳 高淳	70-17040-B
高清	70-17105-S
高清 高清	70-17105-B
高清晰度	70-17162-S
高清晰度 高清晰度	70-17162-B
高清电视	70-17262-S
高清電視 高清电视	70-17262-B
高温	70-17400-S
高温热流	70-17450-S
高湯 高汤	70-17344-B
高溫 高温	70-17400-B
高溫熱流 高温热流	70-17450-B
高漲 高涨	70-17516-B
高潮	70-17583-S
高潮 高潮	70-17583-B
高濃縮鈾 高浓缩铀	70-17677-B
高烧	70-17952-S
高热	70-17763-S
高热病	70-17803-S
高热量	70-17864-S
高熱 高热	70-17763-B
高熱病 高热病	70-17803-B
高熱量 高热量	70-17864-B
高燒 高烧	70-17952-B
高爾基 高尔基	70-18009-B
