refers to 夜明珠	31-24576-B
reform and start afresh 成语 saw	29-46263-S
reform and start over again	32-7818-S
reform commission	15-6250-S
reform movement of 1898	26-5536-S
reform of northern song government in 1043	25-52292-S
reform of qin state 秦國 秦国 of 361 bc	13-61867-S
reform of the writing system	30-27008-B
reform process	29-46827-B
reform school	21-57260-B,25-39513-B
reform the qing dynasty in 1898	26-5663-S,26-5808-S,26-5949-S,44-54549-S
reform 百日維新 百日维新	26-5949-S
reformation	19-39758-S,50-3566-S
reformatory	21-57260-S,25-39513-B
reformed character	44-14453-S
reformer	29-46775-B
reformism i e favoring gradual change as opposed to revolution	29-45207-B
reformist faction	50-3633-S
reformist party	29-46712-S
reforms in china c 1861 1894	37-49919-S,53-5644-S
refraction	27-8584-B,27-8968-B,27-9012-S,29-4177-B
refractory brick	51-36796-B
refractory ceramic material	41-15576-S
refractory material	51-36641-B,64-51782-S,64-51853-S
refrain	24-42924-S,30-24969-S
refrain from	2-22541-S,63-6085-S
refrain from going to extremes in meting out punishment	2-17994-B
refreshed	41-42163-B,48-56618-B
refreshing	38-39422-S
refreshing autumn weather	47-16466-S
refreshment	60-56260-B
refreshments	20-61666-B,54-12138-B,69-6527-S,71-39292-S
refrigerant	53-18995-B
refrigeration	8-23047-B
refrigerator	8-19430-B,67-25758-B
refrigerator common in hong kong	67-16707-B
refuel	9-57004-S
refuge	56-31302-S,63-7929-B,63-7929-S,63-8014-B
refuge for fugitives	62-38-B
refuge from calamities	61-64951-S
refugee	38-4001-B,38-7236-S,67-12835-B
refugee camp	67-12876-B
refugee from a destroyed country	3-66161-B
refugees	38-7508-S
refugees unhcr	51-59570-S
refund	61-62600-S,61-63140-S
refund money	61-63236-B
refurbish	29-44266-S
refurbish old clothes	51-21766-S
refurbishment	51-21883-S,63-60184-B
refusal rofr	6-57171-S
refusal to cooperate	27-14486-B
refuse	23-8897-B,27-31397-S,27-31875-S,28-29436-S
refuse a toast only to be forced to drink a forfeit	30-12804-S
refuse because of affection	25-11804-S
refuse politely	58-56090-S,58-57040-S
refuse to accept	27-31770-S
refuse to accept a payment	27-31614-S
refuse to accept as final	2-15204-B
refuse to accept orders	27-4346-S
refuse to acknowledge	2-18632-B
refuse to acknowledge progress	29-60588-S
refuse to be convinced until one is faced with grim reality	2-28312-S
refuse to comment	32-59024-S
refuse to concede	41-38951-S
refuse to entertain a proposal	1-75081-B
refuse to listen	28-33457-S
refuse to obey or comply	2-15204-B
refuse to pay	27-31614-S
refuse to pay taxes	27-4858-S,27-6542-S
refuse to see sb	27-31520-S
refuse to take a passenger of taxi	27-31938-S
refuse would be impolite	11-28067-S
refusing to accept	27-31447-B
refutation	69-47142-B
refute	11-56493-S,14-58738-S,26-58406-S,61-38176-S,61-39020-S,61-39084-B,65-58127-B,69-46345-S,69-46457-S,69-46741-S,69-46782-S,69-47016-S
refute and correct	69-46854-S
refuted	70-8275-S
regain	25-342-S,29-40493-S
regain consciousness	43-33750-S,55-41719-S
regain power	24-13121-S
regain the natural state	35-54757-S
regain the throne	24-13121-S
regal	22-25495-B
regalis	55-20738-S
regard	8-22090-S,8-22188-S,24-33087-B,45-38456-B,57-34328-S
regard as	5-5414-S,43-65799-B,43-65852-S,45-37872-B,45-38005-B,48-22652-B,48-23744-B,58-19956-S
regard as a matter of any importance	2-19338-S
regard as an enemy	57-34870-S
regard as being the same as	57-34640-S
regard as important	45-39645-S
regard as useless	2-19446-B,57-34764-S
regard for	50-52674-S
regard for law or discipline 成语 saw	45-17733-S
regard for others feelings	49-46885-S
regard for quality 成语 saw	48-49824-S
regard highly	14-35460-S
regard like a pair of worn out shoes	57-34947-S
regard superciliously	6-33035-B
regard the same as	57-34640-S
regard to	21-8874-S
regard to the meaning of the whole piece	30-59714-S
regard wrongdoing with equanimity	19-22883-B
regarded	45-6208-S
regarding	20-51102-B,65-53775-B,65-55545-B
regardless of	2-36505-B
regardless of everything	2-36562-B
regardless of its importance	1-9428-S
regardless of the consequences	2-24028-B,56-23177-S
regardless of the danger	18-18001-S
regardless of the rules	52-20593-S
regardless of the season	40-47008-B
regardless of the time of day or night	37-9689-B
regardless of weather conditions	68-58576-B
regardless of whether 	40-61803-B
regards	15-34811-S
regards to	13-62617-S,13-62691-S,20-51102-S,65-53775-S,65-55545-S
regards to this	40-32748-S
regenerate	8-9302-S,32-7695-S,32-7995-S
regeneration through one s own effort 成语 saw	53-1480-B
regenerative brake	8-9472-B
regent	29-34788-B,29-34830-B,52-58504-S
reggae	67-23766-B,67-24651-B
regia	42-35659-S
regime	17-4850-S,22-24959-S,24-16755-S,29-55779-B,29-55859-B,32-59711-S,33-58211-S,39-26260-S,40-62702-S,49-52202-B,52-54077-S,68-46619-S,69-15315-S
regime diet	69-11509-B
regime mtcr	20-58774-S
regiment	1-5016-B,1-18186-B,15-28529-B
regiment at the disposal of province governor general	45-56382-S
regimental command	15-29244-B
regiments offensive of august december 1940	44-52173-S
regina	67-23351-B
regina city	63-55470-B
regina name	67-23351-B,71-9511-B
region	1-7702-B,2-51749-S,3-2991-S,3-60733-S,3-61111-S,7-31872-S,8-37723-S,10-28156-S,10-40501-B,10-40977-B,15-39275-B,15-39804-B,15-40988-B,15-41153-S,15-63826-B,17-58514-S,19-13010-S,20-33800-S,21-28995-S,21-31323-S,22-27849-B,30-52769-S,38-22816-S,40-26839-S,40-37804-S,40-46121-S,41-56941-S,41-57465-S,47-397-S,49-4206-S,51-27505-S,53-8061-S,57-21964-S,57-22146-S,57-41872-S,60-64176-S,61-20482-S,61-41304-S,61-65368-S,63-12576-S,63-22037-B,64-7756-S,65-65731-S,69-22273-S
region around the river	37-26900-S
region between heart and diaphragm	52-8079-B
region currency	63-11830-S
region esp an ethnic group	51-54296-S
region etc	64-54074-S
region in germany	22-8852-S
region in italy	27-27016-S
region in jiangsu	55-38477-S
region in south china	23-14691-S
region in south china 廣西壯族自治區 广西壮族自治区	10-69439-S,10-69610-S,10-69778-S,34-1595-S
region in the netherlands	21-28178-S
region in vietnam	10-35652-S
region near the line	37-27396-S
region ningsia in gansu	20-17056-S,20-17139-S
region of forest	33-33260-B
region of russia north of the caucasus	11-18245-S
region of spain	4-47530-S
region of w ukraine	68-32842-S
region of yunnan	31-50121-S
region 內蒙古自治區 内蒙古自治区	7-31641-S
region 新疆維吾爾自治區 新疆维吾尔自治区	30-52557-S
region 新疆維吾爾自治區 新疆维吾尔自治区 in west china	40-39271-S,40-39476-S
regional	15-39370-B,15-44104-B,56-4161-S,60-39240-S
regional accent	11-2652-S
regional away from the central administration	15-40988-B
regional capital	69-23691-B
regional colloq i	11-17323-B
regional cooperation	10-66013-S
regional dialect	65-67627-S
regional expr elder brother	65-68938-B
regional general acting as governor in ming and qing times	20-33800-B
regional jet passenger plane	51-18941-S
regional specialty	41-60467-B
regionalism	15-41153-B
regions	12-28972-S,14-50588-S,62-8930-S,62-38175-S,65-35517-S
regions in han	57-14623-S
regions of the yellow river	2-51979-S
regions west of great tang	17-10020-S,57-14686-S
register	12-53920-B,16-9095-B,20-1565-S,26-24773-S,26-25261-S,26-25261-S,29-43026-S,37-43983-S,41-44718-S,41-46257-B,44-23325-B,44-25144-B,48-41211-S,48-41263-S,48-41263-S,48-43536-B,51-32565-S,57-58611-B,58-5275-S
register a letter etc	28-19925-S
register as domiciled in another land	20-2604-S
register card	28-19985-B
register first	58-42333-S
register male voice	43-44975-S
register of lost souls	71-32313-S
register of names	71-38685-B
register one s name	44-24756-S,44-24814-S
registered birthplace	48-43607-B
registered occupants of a house	53-55851-B
registered residence	26-24480-B
registered ship involved in historical incident in 1856 used as pretext for the second opium war	3-63343-S
registered user	44-24966-B
registers	48-41383-B
registrar	44-24911-B
registration	15-64010-S,26-24601-S,26-24682-S,46-53660-S,63-645-S
registration card	63-532-S
registration from the communist party committee of one unit to another	61-30120-S
registry	37-44167-S
regress	14-56359-S,61-62432-B
regression	14-57740-B
regret	11-56330-S,14-23875-S,14-26975-S,14-36232-S,23-68171-B,25-7035-B,25-7253-B,25-16296-B,25-16913-B,25-41585-S,25-57874-B,25-61900-S,25-61994-B,26-3198-B,27-13065-S,27-13330-B,35-25413-S,35-25466-B,50-49165-S,63-2805-B
regret it is not sooner	58-63301-S
regret leaving	5-23884-S
regret not having met earlier 成语 saw	45-30751-S
regret parting	5-24730-S
regretful	25-10957-B
regrets	40-51599-S
regrettable	50-49165-S
regrettably	23-66145-B
regroup after a setback	63-59343-S
regrow from cut down roots	53-63886-S
regular	10-60219-S,15-0-B,19-45832-B,35-36088-B,35-39039-B,47-65236-B,47-65638-B,57-33150-B,58-37518-S,62-9639-B
regular 3 dimensional pattern formed by atoms in a crystal	31-56002-S
regular bus service	42-47826-B
regular college course	32-65670-B
regular commerce to sell or dispose of goods etc	52-32616-S
regular contractions	52-61362-S
regular figure in geometry	35-34080-B
regular formula in go	19-44987-B
regular hexagon	35-33951-B
regular intervals	19-46094-S
regular meeting	5-20547-B
regular parametrization	35-34143-B
regular passenger or cargo ship	42-48032-B
regular passenger service	53-36171-S
regular pattern	57-33045-B
regular pattern of life	60-16659-B
regular pentagon	35-33646-B
regular polyhedron	35-34955-B
regular practice	6-15265-S
regular script	45-42874-B
regular script one of the calligraphic styles of chinese characters	34-36539-B
regular script sim to block capitals	35-37479-B
regular steamship service	42-48032-B
regular tendency	19-43928-B
regular work	10-59833-S
regularity	3-64103-S,57-32450-B,57-32504-B
regularity effect	57-32559-B
regularly	19-46094-B,22-31626-B,36-5318-B,49-58724-B,61-8423-B
regularly in cafeteria	28-58887-S
regulate	3-8636-S,3-8697-S,9-10752-S,29-9463-B,35-13257-S,49-48336-B,57-33575-S,57-33621-S,58-38909-S
regulate the sound	30-16133-S
regulation	32-43289-S,34-39308-B,48-37931-S,53-5770-S,57-32258-B,57-32380-B,57-32862-B,57-33524-B,57-33621-B,61-68100-S
regulation organization	53-5817-S
regulations	19-21784-B,23-8149-S,34-13974-B,41-9028-S,45-17900-S,47-29151-B,47-63937-B,57-32336-B,57-32380-S,57-33262-B,57-33471-B,62-12411-S,62-57977-S,67-23076-S
regulator	6-29085-S,58-39003-B
regulator diving	13-17982-B
regulatory commission	2-63928-S
rehabilate	25-342-S
rehabilitation	22-37891-S,24-13345-B
rehe province during the qing dynasty	41-20302-B
rehear a case	8-8768-S
rehearing	8-8768-B
rehearsal	23-55947-S,28-17878-B
rehearse	28-17878-S,68-29595-S
rehearse one s lines of actor	20-56272-S
reheat cold food by steaming it	69-18963-S
reheated in boiling water	37-37317-S
rehmannia glutinosa	15-46799-S
reign	4-2039-S,6-61963-S
reign name	19-32814-S,22-49426-S
reign name 1386 1398 of first ming emperor zhu yuanzhang 朱元璋 posthumous name ming taizu 明太祖	37-61183-B
reign name 1403 1424 of third ming emperor chengzu 成祖 zhudi 朱棣	36-51707-B
reign name 1868 1912	31-25140-S
reign name 1909 1911 of the last qing emperor pu yi 溥儀 溥仪	19-55319-B
reign name 196 219 at the end of the han dynasty	23-20772-B
reign name 307 313 of jin emperor huai 晋怀帝	36-49570-B
reign name by the nationalist government	36-19773-S
reign name in eastern han	36-49406-B
reign name of ming emperor 1573 1619	54-45837-B
reign name of penultimate qing emperor guangxu or guang hsu 1875 1908	7-11725-B
reign name of qing emperor 1821 1850	62-49655-B
reign name of qing emperor 1850 1861	13-30305-B
reign name of qing emperor 1861 1875	12-49081-B
reign name of second ming emperor	23-21266-B
reign name of second qing emperor 1644 1662	68-25792-B
reign of a king	15-34009-B,32-47547-B
reign of kangxi	1-40816-S
reigned 1386 1398	31-22991-S
reigned 1837 1901	50-2247-S
reigned 1861 1908	25-45523-S,25-45607-S
reigned 222 252	19-15393-S
reigned 323 284 bc	71-54037-S
reigned 342 324 bc	71-53624-S
reigned 613 591 bc	34-30497-S
reigned 626 649	13-50939-S
reigned 650 637 bc	19-36330-S
reigned 685 643 bc	71-53895-S
reigning emperor	51-44389-S,51-51044-S,51-52037-S
reigning monarch	15-33943-B
reimburse	6-56876-S
reimbursement	16-10005-S,16-12506-S
rein	49-34293-B,49-39799-B,50-28455-S,68-9500-B
rein in	9-67098-B
rein in a horse	9-68170-S
rein in the horse at the edge of the precipice 成语 saw	26-2206-S
reincarnate	61-16913-B
reincarnated in sb else s body 成语 saw	5-65501-S
reincarnation	4-17332-S,10-24874-B,61-20860-S,61-25676-B,61-29109-S
reindeer	69-46223-B
reindeer moss	46-10121-B
reinforce	9-55266-S,9-57359-S,16-26847-B
reinforce a structure	9-53145-S
reinforce defenses	16-28034-S
reinforced concrete	64-40737-B,64-40813-B,64-41892-B
reinforced glass	64-40116-B
reinforced plastic	42-42269-S
reinforcement	28-50924-B
reinforcements	65-64435-S
reinforcements 成语 saw	23-49352-S
reinforcing and reducing methods in acupuncture	56-57611-B
reinforcing method in acupuncture	56-57428-B
reins	52-34694-S,61-32109-B,68-5700-B,68-7912-B,68-9426-B,68-9463-B
reins of a 4 horse team	61-1744-S
reins of leather	68-7588-B
reins together and carriages level 成语 saw	62-25879-S
reins 成语 saw	52-34788-S
reinstate	25-342-S
reinstate in a position or job	60-17446-S
reinvigorate the party	49-16613-S
reinvigorated	32-8929-B
reissue	8-9626-B,51-21275-S,56-57938-B
reiterate	63-62531-B
reiver	37-20500-S
reject	11-36435-S,11-58327-S,12-60349-S,16-10185-B,21-20969-B,27-31770-S,27-31833-S,27-31875-S,27-40589-B,28-16446-S,28-29436-S,29-28183-B,29-28243-B,50-54905-B,69-46524-B
reject a complaint	1-75081-B
reject custom 成语 saw	62-57612-S
reject out of hand	1-16717-S
rejects	23-8409-S
rejoice	5-15942-B,25-44614-B,25-62151-B,35-22187-S,65-34683-S
rejoice at	22-51447-S
rejoice covertly	31-60777-S
rejoices	13-32621-S,25-37522-S
rejuvenate	24-15613-S
rejuvenated	32-8929-B,41-42163-B
relapse into a former bad state	24-15239-S
relate	32-40840-B,61-29445-S,61-53030-S,62-25482-S
relate a story or information	30-833-S
relate closely	20-3778-S
relate past events	61-60689-S
relate to	32-40446-S,32-40649-S,65-53712-S
relate with	28-59997-S
related	13-49428-S,20-3778-S,20-4484-S,25-4832-S,29-39202-B,32-38558-B,32-38738-S,45-64106-S,56-28630-S,57-37612-B,62-61018-S,62-62485-S,65-54006-S,65-56948-B,65-57296-B,70-1679-S,71-44904-S
related business	31-11319-S
related by marriage	51-61166-B
related characters	62-7816-S,62-7946-S
related company	65-57009-B
related karma 成语 saw	3-45199-S
related meanings	16-62579-S
related potential	3-28929-S
related stress	62-43818-S
related to	32-40446-B,32-40760-B
related to central asian zurna	57-53806-S,57-53924-S
relates to	65-56834-B
relates to food bought at a restaurant	16-50977-S
relates to zheng1 爭 争	58-43470-B
relating to	3-70695-B
relation	1-2914-S,5-30765-B,44-1400-S,46-39199-S,46-49817-S,51-34842-S,51-57830-B,51-62689-B,56-28382-S,56-29639-S,57-38832-S,57-39315-S,62-19670-B,65-53904-B,65-54098-S,68-57982-S,70-1606-S
relation between the different parts	34-8451-S
relation between venture and profit	68-57982-B
relation to reality	17-2996-S
relations	2-50086-S,2-72975-S,2-74188-S,2-75863-S,2-81846-S,7-53432-S,7-56657-S,7-65847-S,10-6135-S,10-6297-S,11-43079-S,13-24441-S,15-20267-S,15-20345-S,16-43027-S,16-43027-S,20-48814-S,23-20341-S,23-22080-S,24-13007-S,24-63476-S,29-44139-S,29-57016-S,30-58664-S,35-61026-S,36-9438-S,39-39868-S,43-27684-S,45-25915-S,45-56749-S,46-16658-S,49-47723-S,53-65809-S,55-44438-S,56-11177-S,56-11590-S,56-25118-S,56-27146-S,60-13767-S,60-31027-S,63-18032-S,63-55960-S,68-12479-S
relations across the taiwan straits arats	38-18430-S
relations act of 1975	12-19555-S
relations between labor and capital	10-6135-B
relations between labor and employer	10-6297-B
relations between levels of production	43-27684-B
relations between parts in a speech	48-19757-S
relations between people	3-68332-S
relations between the soviet union and the northern warlord government of china	2-81022-S
relations between two countries	63-18032-B
relations e g between countries	8-21931-S
relations etc	35-36149-S
relations of nations or regions	62-8930-S
relations with	37-330-S,62-45148-S
relations with israel	65-22502-S
relationship	1-42738-S,4-9478-S,4-18096-S,6-3073-S,6-13941-S,9-22113-S,14-61865-S,19-66534-S,19-67592-S,20-56064-S,25-13270-S,32-18741-S,38-52556-B,43-45235-S,47-12466-B,50-19004-S,50-19216-S,57-38505-S,57-40358-S,65-53904-B,65-54006-S
relationship as between fish and water	70-37140-S
relationship buddh 	14-61388-S
relationship esp between lovers	26-43795-S
relationship i e love affair	25-41205-B
relationship parricide	61-66019-S
relationship via females	56-43022-S
relationship with sb	6-26115-S,54-55460-S
relationships	4-18030-S
relative	6-44572-S,13-13292-S,26-14838-B,45-27990-B,45-33026-S,57-37612-B,59-56571-S,62-61018-S,62-62852-S,62-63661-S,63-30174-S
relative address comp 	45-28084-B
relative clause	59-55981-S
relative clauses	2-71287-S,12-23010-S
relative density	45-28165-B
relative humidity	45-28237-B
relative i e family relation	57-39315-S
relative importance or urgency	61-13271-B
relative number	49-46404-S
relative opposite	20-53940-B
relative superiority better or worse	70-11102-B
relative with the same family name	32-62915-S
relatively	36-12162-B,45-27990-B
relatively new	36-12452-B
relatives	7-69235-S,24-56217-S,54-6678-S,57-37861-S,57-38156-S,57-40056-S,57-40193-B,60-13706-S,62-23536-S,62-63747-S
relatives by marriage	57-38683-B
relatives 成语 saw	7-69294-S,44-62425-S
relativity	14-52205-S,23-14457-S,31-41282-S,42-9170-S,45-28311-S
relax	13-24679-S,20-27370-S,23-33255-B,23-33313-S,29-53621-S,39-242-S,53-30588-S,70-25642-S,70-25936-S,70-26064-S,70-26137-S,70-26208-S
relax a policy	20-28222-S
relax by taking a stroll	44-2328-S
relax efforts	70-26137-S
relax of muscle	53-30954-S
relax restrictions	29-49397-B
relaxation	4-56427-B,4-56522-B,51-43214-B
relaxation alternative medicine	70-25986-B
relaxation in nuclear magnetic resonance	23-33313-B
relaxed	20-25724-B,20-28076-B,25-62746-B,31-32605-B,50-22340-B,61-10092-B,61-11492-B,61-11582-B,61-13650-B,68-61155-S,70-26064-B,70-26575-B
relaxed vigilance	44-2538-B
relaxing pass time	38-30133-S
relay	2-78619-S,6-39776-B,6-41558-S,12-17483-S,22-33202-S,28-25216-B,32-8368-S,49-5052-S,57-61337-S,61-24733-B,61-29822-S
relay electronics	50-43336-B
relay forum	57-61611-S
relay horse	69-64358-B
relay network	57-61509-S
relay race	28-25254-B,60-18519-S
relay service	57-61409-S
relay station	69-64249-B,69-64358-S
relay station for horses	69-47497-B
relay station for post horses	69-64295-B
relaying dispatches	69-46294-S
release	28-29927-S,29-3435-S,29-48426-S,29-48528-B,29-52883-S,29-53243-B,30-54894-S,41-44983-B,44-26230-S,44-28686-S,49-63245-S,50-28297-S,63-52499-S,63-52658-S,63-53161-S
release flood water	37-60302-S
release from prison	42-24155-S
release information	62-10243-S
release new software	44-26295-S
release on bail	5-40452-B
release prisoners	9-63188-S
release sb from obligation	7-21419-S
release tension	63-52972-S
released for medical treatment	5-35037-S
released from one s regular work	10-59833-S
released from productive labor	10-59833-S
relegate	59-44809-B
relent	12-47632-B
relent to spare sb s feelings	43-49879-S
relentless	2-32803-B
relevance	45-32050-B,58-60721-B
relevant	32-40649-S,45-28700-B,54-55949-B
relevant used with negative to mean totally irrelevant	27-68938-B,27-69095-B
reliability	12-11398-B,12-17622-B
reliable	5-44087-B,12-17581-B,41-51388-B,41-51452-B,46-33626-B,47-41507-B,47-43366-B,47-43427-S,58-16852-S
reliable evidence 成语 saw	45-42396-B
reliable helper	52-46353-B
reliable source	54-55608-B
reliance	53-1480-S,59-62463-B
reliant	53-12814-S,53-12932-S
reliant on	48-164-S
relic	8-9220-S,30-29584-S,30-29584-S,35-63715-B,46-52780-S,51-51921-S
relics	12-54448-S,53-30423-S,63-2225-S
relics from a former age	66-29902-B
relics sanskirt sarira	53-30147-S,53-30325-S
relief	11-27935-S,13-13292-S,15-44830-B,25-643-S,29-64557-S,34-48741-S,38-56887-S,40-41026-S,57-52040-B,59-54682-S,59-56452-S,59-56501-S,59-56571-S,70-25690-S
relief after the task is done	1-4444-S
relief aid	59-54506-B,59-54630-S
relief effort	28-3905-S
relief from suspense	63-52972-B
relief headquarter	27-7852-S
relief i e height of land in geography	15-47648-B
relief material	40-9465-S
relief printing	8-31693-B
relief printing plate	8-31639-B
relief sculpture	38-14398-B
relief shading in a picture	40-41026-B
relief work	7-62379-S
relies on specious arguments	58-15309-S
relieve	28-51207-S,49-20002-S
relieve a crisis	50-23358-S
relieve a garrison	28-47062-S
relieve a sentry	28-46176-S
relieve a workman on the previous shift	28-46705-S
relieve acidity	57-52580-S
relieve and help	40-8999-S
relieve anxieties	20-25724-S,20-27665-S
relieve boredom	30-7968-S
relieve boredom or melancholy	57-48857-S
relieve cold	46-54593-S,57-48759-S
relieve disaster	29-64643-S
relieve distress or famine	59-54550-S
relieve fever	57-51277-S
relieve fever in chinese medicine	57-50723-S
relieve from office	7-20296-S
relieve hunger	57-53355-S
relieve inflammation or internal heat	29-66186-B
relieve melancholy	57-49007-S
relieve oneself	5-28266-S
relieve oneself i e use the toilet	57-49063-S
relieve pain	35-33015-S,57-51595-S
relieve sb as successor	28-26870-S
relieve sb of a position	7-21419-S
relieve sb of their duties	57-53116-S
relieve stress	38-30133-S
relieve the distressed	59-54455-S
relieve tiredness	57-47382-S
relieve uneasiness of body and mind	19-31466-B
relieved	19-28722-S,20-25724-B,20-26062-B,20-27370-B,57-52040-S,63-53426-B,63-53426-S,70-26064-B
relieved of a job	11-27594-S
relieving pain	35-33142-S
relig 	9-34951-S,9-38178-S,10-47029-S,31-57397-S
religion	11-19291-S,15-9077-S,17-51297-S,19-39493-B,19-39683-S,19-54800-S,29-43595-S,30-1052-B,30-2764-S,30-3514-S,35-54124-S,37-39068-S,43-61722-S,44-62756-S,46-61833-S,51-45199-S
religion esp western christianity in qing china	37-50649-S
religion of laozi or lao tze 老子 c 500 bc and zhuangzi 莊子 庄子 369 286 bc	62-50494-S
religion other than buddhism term used by buddhists	16-48000-B
religion possibly legendary	30-1093-S
religions daoism	1-34806-S,1-34868-S
religions nestorianism	1-33485-S
religiosa	54-31156-S,71-707-S
religious	42-28276-S,51-13985-S
religious as opposed to ordinary name of a buddhist or daoist monk or nun	37-34260-B
religious assembly	37-32054-S
religious ceremony	41-27316-S
religious chant promoting virtue and obstructing evil	66-14802-B
religious convert	35-54181-B
religious doctrine	63-53635-B
religious dogma	30-3339-B
religious festival	46-47609-S
religious grouping	19-39537-B
religious image	51-44640-B
religious instruction	29-61240-S
religious investigator	25-46699-B
religious leader	48-57004-B,57-64173-S,66-17361-S
religious leader in islam	36-13973-S
religious leader in shia islam	65-65973-S
religious minority chinese muslims	14-54252-S,14-54862-S
religious object conferring blessing	48-6495-S
religious order	5-47425-S,5-47985-B,19-39537-B,32-22821-S
religious order in catholicism	26-52842-S
religious order or congregation of the catholic church	32-60224-S
religious party	67-64185-S
religious practice buddh 	5-48941-B
religious practise buddh 	5-49003-S
religious precept	26-14205-B,46-17444-S
religious procession	60-744-B
religious rite	46-65278-B
religious ritual on setting out for war	47-6667-S
religious rules	30-5263-B
religious sect	30-1093-S,32-24455-S,65-21183-B
religious service	47-8271-B
religious studies	19-39619-B
religious symbol	15-28471-S
religious text	49-61628-B
relinquish	34-18065-S
relish	37-58939-S,51-2490-B
relocate	4-25618-S,28-58623-B,61-26558-S,61-26804-S
reluctant	9-66715-B
reluctant to leave	38-6921-S,43-50049-B,43-51987-B
reluctant to part	5-23884-B,25-16980-B,26-3884-B
reluctant to part 成语 saw	5-23996-B
reluctantly	20-36775-S,24-43393-S
rely heavily upon	5-63483-S
rely mainly on	40-31748-S
rely on	4-25681-S,4-25931-S,4-40539-S,5-24153-S,5-24936-B,5-46743-S,5-63273-B,5-63421-S,6-19305-B,7-69294-S,25-53693-S,25-54808-S,25-54889-S,25-54949-S,25-55055-S,25-55099-S,25-55314-S,25-55469-S,25-56057-S,27-56927-S,32-39687-S,50-15636-S
rely on for candid criticism	70-2903-S
rely on help from sb	27-3690-S
rely on natural barriers for one s defense	29-24997-S
rely on one another	23-6616-S
rely on power	4-25777-S
rely on sb for support	6-1701-S
rely on sth for support etc	5-25922-S
rely on the most favorable method	14-59355-S
rely on 成语 saw	40-46343-S
rely upon	5-63231-B,24-66929-B
rely upon one another for survival	45-26532-S
relying on a hopelessly optimistic forecast	2-24028-S
relying on force to bully others 成语 saw	4-25829-B
relying on inaccessible territory	25-55966-S
relying on others 成语 saw	14-59084-S
rem röntgen equivalent man	43-23244-B
remain	4-24468-S,9-29733-S,35-62128-S,35-63137-S,35-63715-S,43-48324-S,43-48514-B
remain as a garrison	43-52984-S
remain at a respectful distance	30-12323-S,30-13076-S
remain calm and undaunted	15-53195-B
remain cheerful despite a crisis	58-41653-S
remain committed to	16-4618-S
remain enjoying oneself and forget to go home	38-7004-S
remain fresh	54-43897-B
remain from the past	43-48920-S
remain idle	69-8637-S
remain in hospital	43-52344-S
remain in office	43-48554-S
remain inside	33-10354-S
remain perplexed despite much thought	44-53818-B
remain puzzled after pondering over sth a hundred times	44-53818-B
remain silent	33-8459-S
remain the same	4-24555-S
remain to be done	44-55698-S
remain to be undertaken	44-55698-S
remain unconvinced by	2-15204-B
remain vigilant	27-47498-S
remain within bounds	2-32369-S
remainder	8-4474-B,9-29691-S,9-29943-B,35-63026-B,59-63027-S,67-22025-B,69-16348-B
remainder after division	69-14715-B
remainder after rounding to the nearest integer	69-16516-S
remainder i e the remainder after rounding to the nearest integer	69-16516-S
remainder in division	69-15911-B
remainder in integer arithmetic	30-16522-S
remainder of cloth	30-35637-B
remainder theorem	9-30065-S,19-15158-S,69-15967-S
