mournfully	25-9496-S,25-10383-S
move a leg 成语 saw	53-27178-S
move about in search of pasture	62-37544-S
move and inspire	25-39828-S,25-42879-S
move animals along	13-26273-S
move around	5-54933-S
move as snake	56-6635-S
move aside	29-12841-S
move away	47-26732-S,47-27321-B
move away from	60-9940-S
move back	61-61322-S
move back and forth	5-10643-B,23-66257-B,29-29869-B
move back and forward	28-55170-S
move because of twisted leg	69-55396-S
move elsewhere	4-25618-S,27-69794-S
move emotionally	25-14017-S
move forward a single step	62-28438-S
move forward quickly	47-52686-S
move forward slowly	39-55826-S
move forwards	8-39984-S,23-62009-S
move from one residence to another	62-69438-S
move god	64-44742-S
move home	47-26776-S
move house	27-69794-S,28-58234-B,61-23325-S
move in a game	26-46243-S
move in chess	54-54824-B,60-11110-S
move in chess or weiqi go 圍棋 围棋	18-35529-S
move in circles	62-27819-S
move in to new lodging	62-69236-S
move mountains	25-37288-S,47-26820-S
move of vehicle	60-9375-S
move on	8-12784-S,24-49562-S,24-49645-S
move one s base of operations	61-26804-S
move or speak	33-8508-S
move out	69-54205-S
move out of	28-58176-S
move over to new products	61-25754-S
move randomly	3-26459-S
move sb	25-39239-S
move sb s emotions or worry	57-54266-S
move sideways	29-11950-S,65-26356-S
move slowly	13-62387-B,46-40980-S
move sth	28-58280-B
move the capital city	62-69876-S
move the mouth as in speaking	14-43718-B
move the pen	38-35409-S
move things around	5-56009-S
move to a different major university course	61-26340-S
move to a superior place	14-15930-S
move to and fro	29-29351-S
move to and fro with hand	29-12188-S
move to pity	26-41240-S
move to tears of a story	6-31057-S
move to yinxu 殷墟 in modern henan province	35-65889-S
move towards	21-8874-S,60-10224-S
move troops	58-35256-S
move unhindered	50-29181-S
move upwards	1-47914-S
move without obstruction	31-64220-B
moved	35-24806-B,41-20457-S
moved and inspired	25-40522-B
moved to anger	25-41659-B
moved to gratitude	25-42603-B
moved to tears	25-42769-B
moved to the core	38-45164-B,38-45291-B
movement	2-24549-S,3-48098-S,3-48299-S,9-68526-B,9-69531-B,10-1986-S,15-14696-S,26-36095-B,30-53341-S,39-28643-S,44-46632-S,45-48467-S,46-48063-S,47-26200-B,49-8648-S,53-20703-S,53-26800-B,53-32285-S,55-31315-S,57-50019-S,60-15864-S,61-43769-S,62-38806-B,67-55367-S
movement abbr 	36-23189-S
movement aimed at the masses	36-23189-B
movement aspiring to study and emulate classic works	12-2515-S
movement etim	33-22547-S
movement in islam	4-19744-S
movement in martial arts	54-54824-B
movement in painting	6-19933-S,27-9803-S,27-61646-S,35-9453-S,35-39311-S
movement in the 1840s in england	25-57680-S
movement in the late qing	57-15412-S
movement of 1898	26-5536-S
movement of 30th may 1925	3-47695-S
movement of a fish s mouth at the surface of the water	14-34495-S
movement of a symphony	34-49541-B
movement of gut wall	52-44619-S,56-20830-S
movement of leukocytes under chemical stimulus	60-31222-S
movement of limbs	26-35533-B
movement of symphony	47-63451-B
movement of vehicles	56-35115-B
movement over water	36-37880-B
movement period of reforms in china c 1861 1894	37-49919-S,53-5644-S
movement recording	45-48592-S
movement stemming from the manchurian railway incident of 18th july 1931 九一八事變 九一八事变	27-5334-S
movement technique	45-48514-S
movement that started with 4th may 1919 protest against the treaty of versailles	3-48098-S,3-48299-S
movement to restore the fatherland	46-53047-B
movements	50-63875-S
movements and expression of a person	23-55614-B
movements in late 19th and early 20th century leading up to 1911 xinhai revolution 辛亥革命	11-51102-S
movements in martial arts	18-10506-S
mover	11-30910-S
moves	41-62858-S
moves mountains traditional folk tale	25-31263-S
movie	1-50255-S,1-53665-S,3-6677-S,6-31207-S,7-60366-S,16-46222-S,17-27350-S,20-25588-S,20-27819-S,23-59521-B,24-68980-S,24-69131-S,26-2360-S,29-51921-S,35-46944-S,35-46944-S,41-44325-B,41-44603-S,47-19195-S,54-24881-S,54-24994-S,67-29921-B,69-22516-S,69-61579-S,71-29509-S,71-29578-S
movie company	38-1015-S
movie director	71-31312-S
movie etc	64-58324-S
movie or tv program	58-140-S
movie screen	21-21215-S,64-26420-B
movie star	67-30105-B
movie theater	23-59811-B,67-30451-B
movie theater schedule	35-11426-B
movie title	41-44278-B
moviedom	23-59237-B,64-25806-B,64-27542-B,67-30174-B
moviemaking	57-4120-B,57-4166-B
movies	10-500-S,23-53009-S,23-59237-S,23-59867-S,41-43965-S,64-25806-S,64-27542-S,67-30174-S
movies and television	23-59660-B
moving	9-68476-B,9-69531-B,12-14731-S,25-38771-B,25-39239-B,50-22991-S,60-49515-S,67-61391-S,68-60477-S,71-28178-S
moving a single jot 成语 saw	49-14823-S
moving and tragic	25-9552-B
moving average in financial analysis	47-26276-B
moving average index used in financial analysis	15-48363-B,47-26383-B
moving elegantly	28-54350-B
moving force	9-69024-B
moving machine	64-57264-S,64-57611-S
moving or promotion 成语 saw	14-16005-S
moving point	10-2837-B
moving water	38-55990-S
mow	3-8636-S,3-8697-S,8-63826-B,29-3345-B,53-51974-B
mow grass	9-34241-B
mow grass and cut firewood	53-63394-S
mower	9-31143-S,53-63394-S,54-14113-S
mox	38-54033-S
moxa	53-48437-B
moxa cone	53-48206-B
moxibustion	64-18969-S,64-18969-S
moxibustion for oneself when not ill	40-57763-S
moyu place in xinjiang	16-29108-S
mozambique	54-25740-B,69-38802-S
mozart 1756 1791	29-3995-S,54-25457-S
mozhugongka place in tibet	16-29168-S
mozi flourished approx 479 381 bc	16-28382-B
mozilla corporation	58-50836-B
mpo	70-5195-S
mr dongguo and the ungrateful wolf by ma zhongxi 馬中錫 马中锡	2-70137-S
mr gongyang s annals or commentary on 春秋	7-63709-B,7-63802-B
mr goody goody	18-27661-B
mr gram	68-5161-B
mr lü s annals	13-7576-B,13-7699-B
mr right	63-16291-B
mr yuliang s annals or commentary on 春秋	59-15444-B
mr zhu yun breaks the railing 成语 saw	32-69711-B
mr zuo s spring and autumn annals	21-58976-B,31-34526-B
mri	46-34698-S
mrs	17-57607-B,17-62811-B
mrsa	27-6920-S
msc	46-30155-S
msc degree	42-54122-S
msf charity	40-48955-S
msg	13-15687-S
mt babao in haidian district of beijing	7-50778-B
mt babao revolutionary cemetery in haidian district of beijing	7-50862-B
mt baochan in anhui	57-7448-B
mt bogda in eastern tianshan	11-8175-B
mt chomolungma or qomolangma tibetan	42-45659-B
mt cook on new zealand south island	22-65803-B
mt diaobingshan in tieling	58-35585-B
mt dong in gansu	21-38859-B
mt elbrus	11-28839-B
mt emei in sichuan	21-39216-B,21-39409-B
mt everest	42-44696-B,42-45659-B
mt everest transliteration	68-44225-B
mt friendship	11-43330-B
mt haba nakhi golden flower	13-38343-B
mt hantengri on the border between xinjiang and kazakhstan	36-56977-S
mt heng in hunan	56-40579-B
mt heng in shanxi	24-67038-B
mt heng 恆山 in shanxi	10-30905-B
mt heng 衡山 in hunan	10-70613-B
mt hua	37-48351-S
mt hua in shaanxi	54-33826-B
mt hua 華山 华山	37-48351-S,57-7448-S
mt hua 華山 华山 in shaanxi	54-31593-B,57-16746-B
mt huang	71-18049-B
mt jingshan in hubei	54-16082-B
mt jiuhua in anhui	3-20552-B
mt kailash in southwest tibet	21-35356-B
mt kilimanjaro in tanzania	3-21118-B
mt kunlun	21-43436-B
mt langye in eastern shandong	43-2192-B
mt li near xian with the tomb of the first emperor	69-64941-B
mt li 驪山 骊山 near xian awaits excavation	47-23950-S,47-25250-S
mt longmen	71-62038-B
mt luofushan in zengcheng county	50-59819-B
mt mang	63-15044-S
mt mang at luoyang in henan	10-35590-B,63-14930-B,63-14981-B
mt mang 邙山 at luoyang in henan	10-30705-S
mt nan 成语 saw	16-38864-S
mt paekdu or baektu	44-48678-B
mt pobeda	26-51901-S
mt potala at zhoushan 舟山市 in zhejiang	31-52842-B
mt potala in lhasa	22-18165-B
mt qilian in qinhai	46-51056-B
mt qionglai in west sichuan	63-15295-B
mt song in henan	21-46759-B,21-46805-B
mt song 嵩山 in henan	2-70503-B
mt tai	37-46398-S,37-46577-S,47-42076-S
mt tai in shandong	21-37010-B,37-46345-B
mt tai 成语 saw	63-60421-S
mt tai 泰山 and mt hua 華山 华山	37-48351-B
mt tai 泰山 in shandong	3-48479-S,3-49734-S,33-18026-B
mt tai 泰山 in shandong as principal or ancestor of the five sacred mountains 五嶽 五岳	21-37066-S
mt taishan	42-31356-S
mt taishan 成语 saw	2-30888-S
mt thai as resting place for departed souls	21-37066-B
mt thai 泰山 in shandong	37-45230-B
mt tiantai near shaoxing 紹興 绍兴 in zhejiang	17-44604-B,17-44762-B
mt tomur russian mt pobeda	26-51901-B
mt tu in zhejiang	21-46632-B,21-46688-B,38-27969-B
mt wanyang between jiangxi and hunan	54-46207-B
mt wu on the changjiang river yangtze by the three gorges	21-62735-B
mt wugong in jiangxi	35-44511-B
mt wutai in shanxi	3-53557-B
mt wutai 五臺山 五台山 in shanxi	14-47586-S
mt wuyi in fujian	35-45452-B
mt yuelu in changsha 長沙 长沙	21-38141-B
mt yuexiu	34-1818-B
mt yulong or jade dragon in lijiang 麗江 丽江	42-32516-B
mt zhongnan is a shortcut to a ministerial job 成语 saw	49-35175-S
mt zhugang between jiangxi and hunan	58-48411-B
mta	57-61065-B
mtcr	20-58774-S
mu	41-51668-S,44-580-S,47-37349-S
mu 1919 1992	47-24704-S
mu 803 852 tang dynasty poet	33-9649-S
mu greek letter μμ	48-45702-B,50-39292-B
mu guiying	47-37567-B
mu of qin	47-24944-S
mu of qin 秦穆公	42-29584-S
mu zimei	32-52790-B
mu 畝 亩 or 6 6667 hectacres	68-21088-S
mu4 膠木 胶木	67-31060-S
muammar gaddafi 1942 	11-14015-S
muay thai thai fist martial art	37-46869-B
mubarak	47-37453-S
much	2-9460-S,2-33314-S,2-34618-S,11-67198-S,16-53014-B,16-55539-S,16-56133-S,17-55674-S,17-57565-S,22-55842-S,23-65720-S,24-7566-S,32-56503-S,40-65164-S,53-40489-S,54-43681-S,58-3388-B,58-58381-S,62-6567-S,62-6567-S,62-6567-S,62-45986-S,62-48249-S,63-17773-S,63-17866-S,63-17866-S,67-64689-B,69-19410-S
much as	16-56133-S,16-63975-S
much as one likes	45-8392-S
much as one pleases	4-43038-S
much as possible	45-8682-S
much better	18-27341-B
much deception in war	8-369-S
much extra effort	68-21968-S
much food is required for a meal	64-6462-S
much for the eye to take in 成语 saw	45-15306-S
much fuss about nothing	17-41717-B
much gruel and many monks	48-51328-S
much help from outside	16-54491-S
much in common	25-14138-S
much in love	11-28395-S
much less	5-2758-B
much like	43-55349-S
much one can drink	63-40955-S
much praise	62-48249-S
much so that	43-15608-S,43-15985-S,43-16170-S,43-16224-S,60-32193-S
much sorrows and illness 成语 saw	16-57574-B
much suffering	19-58633-S
much that	43-16279-S
much thought	44-53818-S
much thunder but little rain	67-22549-S
much to choose between the two	10-58336-S
much to my embarrassment	46-43320-B
much to part with it	25-32509-S
much toil	61-33232-S
much trouble	53-67308-S
much use at anything song writer ouyang xiu 欧阳修	24-28215-S
much want to	23-66078-S
mucha district in taipei	32-53298-B
muchuan place in sichuan	37-8350-S
mucilaginous	53-52962-S
muck	48-62417-B,70-4486-B
muck from a colliery	70-4743-B
muck from a cowshed	8-37239-S
muck out	8-37239-S
muck rake	64-18423-B
muck rake 成语 saw	5-57061-S
muckle	21-3986-S,47-39128-S,66-59151-S
mucosus common rat snake	39-30241-S
mucous membrane	48-50815-B,71-28341-B,71-52730-S
mucous stool	44-42326-S
mucus	21-20915-S,38-36707-S,38-36746-S,39-51914-B,48-50734-B,71-27925-B,71-51317-S,71-51457-S
mucus in nostrils	71-51688-S
mucus in the eyes	45-50566-B
mud	15-53962-B,16-25091-S,16-32302-B,37-42471-B,37-42578-S,37-42985-S,37-43044-B,37-43207-B,37-43286-B,38-41833-B,39-47310-B,41-36627-S
mud and stones	37-43597-S
mud and water	27-37181-S
mud brick	41-45358-B
mud carp cirrhina molitorella	15-33090-B,70-44935-B
mud wall	16-22455-B
mudanjiang city in heilongjiang	41-50603-S,41-50802-B
mudanjiang district district in heilongjiang	41-50686-S
muddle	3-27710-S,17-69683-S,28-57305-S
muddle along	38-52859-S
muddle head	54-27639-S
muddle headed	31-26620-B,48-60384-B,48-60494-B,61-54718-B,61-55642-B
muddle headed person who gabbles unintelligibly	50-45617-S
muddle headed talk	50-45476-S
muddle things together 成语 saw	50-45476-S
muddle through	24-9167-S
muddled	38-52859-B,38-54362-B,41-10426-B,48-59626-B,48-59913-B,48-59966-B,52-21978-B,70-31434-B
muddled accounts	48-60131-B
muddled and completely collapsing 成语 saw	1-5398-B
muddled together 成语 saw	21-26320-S
muddled up	42-2754-B
muddled warfare	38-53932-B
muddles the brain 成语 saw	37-13185-S,56-39708-S
muddy	36-63160-B,37-43286-B,38-43160-B,38-52788-B,38-54925-B,39-7604-B,39-8284-B,39-14084-B,40-6129-B,40-8811-B,40-18867-B
muddy swamp	37-43207-B
muddy water	38-35898-B
muddy waters	40-6314-B
mudfish	70-45689-B,70-46960-B
mudskipper amphibious fish	23-47614-B
mudslide	37-43597-B
mudstone	37-43876-B
muffin	70-27556-B
muffle	28-62923-S
muffled	4-68278-B
mug	54-11249-B
mug cushion	33-13329-S
mugabe 1924 	47-37388-S
muggles	71-14880-B
muggy	39-25306-B
mughal or mogul dynasty 1526 1858	54-26144-B
mugil cephalus	70-44088-B
mugwort artemisia vulgaris	53-46578-S
muhammad	47-38045-S
muhammad al najjari 13th century	32-67922-S,32-68028-S,49-30511-S,49-30616-S
muhammad naguib first president of the republic of egypt	49-15882-B
mukden or manchurian railway incident of 18th september 1931 used by the japanese as a pretext to annex manchuria	3-17360-S,33-49592-S
mukurossi	34-7210-S
muladhara	38-19375-S
mulan	53-57171-S
mulan place in heilongjiang	32-54324-B
mulatta	24-67513-S
mulberry	34-6793-B,34-26793-S,54-56611-S,54-56651-S
mulberry farming	61-41166-B
mulberry fields 成语 saw	39-25878-S
mulberry for sericulture	61-41166-S
mulberry tree	34-6066-B,34-6837-B,34-39267-S
mule	69-55483-B,69-55510-B
mule and horse carts	69-55546-B
muleng place in heilongjiang	47-37702-S
mules	41-55347-S
muli tibetan autonomous county in sichuan	32-54613-B
mull over	13-28881-S,42-58033-S
mull over an issue	63-48930-B
mullah religious leader in islam	36-13973-B
mulled rice wine	71-23894-S
mullet	30-33428-S,32-29217-S,49-14095-S,52-23405-B,70-39496-S,70-44088-S,70-44212-B,70-48673-S
multi	16-53014-B,16-53627-B,16-56583-B,16-60965-B
multi color	50-41335-B
multi colored	3-55658-B,23-56150-B
multi directional	16-58192-B
multi eaved pagoda	20-4605-B,20-5233-B
multi ethnic	16-59616-B
multi ethnic state	16-59672-B
multi faceted	16-53313-B,30-62844-B
multi function	16-54297-B
multi functional	16-54297-B
multi lane e g highway	24-15343-B
multi level marketing	6-42502-B
multi millionaire	6-54838-B
multi party system	17-307-B
multi polarity	16-58958-B
multi polarization	16-58958-B
multi purpose	16-60538-B
multi storied building	63-60744-B
multi storied pagoda	34-51911-B
multi talented	16-57692-B,16-57758-B
multi talented 成语 saw	11-7134-S
multi task	16-53167-B
multi variate math 	16-63671-B
multi verse many parallel universes	16-53903-B
multibeam e g laser	16-58902-B
multibyte	16-55873-B
multicast address	16-61346-B
multicellular	16-62288-B
multicellular life form	16-62345-B
multicolored	7-9305-S,16-57827-B
multicolored clouds	67-17673-B
multicolored silk	50-11243-B
multicolored splendor of fireworks	41-33075-B
multielement	16-53627-B
multifunction meter e g for gas and electricity supply	16-54375-B
multilateral	16-64037-B
multilateral agreement	16-64092-B
multilateral cooperation	16-64220-B
multilateral trade	16-64354-B
multilateral trade talks	16-64428-B
multilayered	16-63892-B
multilevel analysis model	16-56338-B
multilingual	16-61131-B
multilingual plane bmp	15-69165-S
multilingual support	16-61200-B
multimedia	16-55732-B
multimedia education	67-26466-B
multimedia education abbr for 電化教育 电化教育	67-30966-B
multimedia information	16-55786-B
multimeter	54-46482-B
multimode	16-59078-B
multimode fiber	16-59120-B
multinational	60-39001-B
multinational corporation	60-39062-B
multinervis	33-45069-S
multinomial	16-65240-S
multiparty	17-262-B
multiparty election	17-371-B
multiple	5-54547-B,7-54877-S,16-53313-B,16-56583-B,16-60965-B,30-14861-S,39-9440-S
multiple chromosomes	16-53374-S
multiple cover	16-56451-B
multiple expression	7-54805-S
multiple of the fundamental	58-45992-S,58-46362-S
multiple pregnancy	16-62913-B
multiple roof	63-58003-S
multiple track e g rail	24-15343-B
multiple variants of chinese characters	63-59529-B
multiple viewpoints	68-3885-B
multiplex	16-56583-S,16-56714-S
multiplexer	16-56772-B
multiplexing	8-54190-S,8-55998-S
multiplication	3-13515-B,3-13869-S,5-54369-B,45-25622-B,47-38278-S
multiplication sign	3-14295-B
multiplication table	3-13564-B,3-17679-B
multiplicative inverse math 	3-13631-B
multiplicity	16-64765-B
multiplier	3-13322-B,5-54492-B,5-54749-S
multiply	3-12362-S,50-38303-S,55-13992-S
multiply and divide	3-14509-S
multiply by a factor	5-54369-S
multiply math 	45-25622-S
multiplying errors	64-610-S
multipolar	16-58958-B
multipolarization	16-58958-B
multiport	16-61440-B
multiport repeater	16-61511-B
multipronged attack	16-63892-B
multipurpose	16-60417-B
multiracial	38-55361-B
multistation	16-61299-B,16-61440-B
multistation address	16-61346-B
multistory building	16-56210-B,70-16427-B
multitasking	16-56646-B
multiterminal	16-61440-B
multithreading	16-56828-B
multitude	3-10311-S,4-8597-B,4-13954-S,12-36105-S,43-30926-B,45-52786-B,51-10989-B,53-65866-B
multitude of arrows 成语 saw	45-53565-S
multitude of common people in highbrow literature	23-892-S
multitude of loose ends	10-52421-B
multitude of stars 成语 saw	41-33166-S
multitudinous	4-64369-B
multiuser	16-60484-B
multivariant	16-53627-B
multivariate math 	16-53627-B
multocida or p avicida	67-8419-S
mumbai	20-30383-S
mumbai formerly bombay	19-11195-B
mumble	13-56542-S,14-2796-S,14-43814-S
mumble as if hiding sth	12-64891-S
mumble complaints	14-30535-S
mumble in repetition	14-2753-B,58-47156-B
mumble to oneself	14-30717-S
mumbling	13-44656-S
mumbling noise	13-44315-S
mumbo jumbo	50-37370-B
mume	34-10295-S
mummification	32-52401-B
mummify	32-52401-S
mummy mother	18-57390-B
mummy preserved corpse	32-52334-B
mumps	44-8332-B,52-41926-B
mun	21-28381-S
mundane world	16-22624-S
mung bean	49-66374-B
mung bean starch noodles	48-47599-B
municipal	22-12948-B,22-13221-B
municipal committee	22-12803-B
municipalities 直轄市 直辖市	10-25344-S,10-26206-S
municipality	2-67203-B,4-1528-S,17-32770-S,20-6322-S,20-6389-S,20-66863-S,21-42155-S,22-45150-S,23-17547-S,26-946-S,26-1017-S,26-26861-S,31-20679-S,31-20754-S,33-16796-S,38-21760-S,42-57735-S,45-24822-B,46-6502-S,53-8187-B,53-43475-S,57-14525-S,65-24223-S,68-26368-S
municipality in southeast china	1-51500-S,1-52328-S
munition	11-32219-S
munitions or ordnance factory	8-1232-B
munjit	54-8649-B,54-8755-B,54-13093-B
muon in elementary particle physics	39-7229-B
muon solenoid cms	50-14957-S
muping district of yantai city 煙台市 烟台市	41-50064-B,41-50148-B
muping district 牟平區 牟平区	9-42030-S,9-42136-S
murakami haruki 1949 	33-7322-B
mural painting	16-31683-B
murayama former prime minister of japan	33-7452-S
murder	7-1253-B,7-2014-B,8-31082-S,9-12429-B,19-58998-S,35-66090-S,35-66319-S,36-0-B,56-29692-S,58-18425-S,58-50668-S,58-50947-B,58-50947-S,58-51062-B
murder a superior	23-25442-B
murder by poison	21-24234-S
murder case	7-2064-B,35-66498-B,56-25885-B,58-51007-B
murder for love	25-14834-S
murder for money	58-51814-S
murder weapon	7-1343-B
murdered	62-35766-S
murderer	7-1253-B,7-1793-B,7-2168-B,8-30953-B,9-12886-B,9-43511-S,35-66631-B
murderous	9-13141-B
murderous dictator	21-23705-S
murderous look	36-615-B
murdoch 1931 	71-35975-S
murdoch name	71-35975-B
murein polymer of sugars and amino acids forming cell wall	52-15554-S
murine typhus	71-49383-B
murine typhus fever	15-41445-B,71-50236-B
murky	31-26839-B,49-29-B
murmur	14-2796-S,47-13548-B,59-15050-S
murmuring	13-10260-B,13-10341-B
muromachi bakufu	19-56410-B,19-56461-B
murong	25-46502-S
murray darling river system in south australia	16-29346-B
murray name	16-29300-B
murun river in the upper reaches of the liaohe river	18-6031-S
mus beat	27-29273-B
mus consonant	10-64189-B
mus instr	42-58506-B
mus instr 	34-25192-S,43-3317-B,48-32561-B,65-5706-B
musca	56-20132-B
musca constellation	55-4131-B
musca domestica	55-2676-S
muscat capital of oman	69-38644-B
muscle	2-36028-S,22-43474-S,26-22179-S,48-19610-B,52-7444-B,52-7605-B,52-14135-S,53-30954-S,65-24406-S
muscle across the top of the chest	52-24454-S
muscle anat 	22-43474-S
muscle back of the chest	52-18658-S
muscle below the elbow	30-70050-S
muscle between ribs	52-7330-S
muscle cramp	61-26921-B
muscle front of the belly	52-44972-S
muscle of the upper back and neck	30-36300-S
muscle or organ	54-42088-S
muscle over the shoulder	1-42512-S
muscle sides of the chest	16-48343-S
muscle upper sides of the chest	9-25846-S
muscles	48-19862-S
muscles and bones	48-19915-B
muscles and joints	48-19757-S
muscles of the heart	24-37509-S
muscovite	44-36147-B
muscular	52-7650-B
muscular dystrophy	52-7711-B,56-56149-S
muscular spasm	27-38695-B
muse	45-58984-B
museum	11-8988-B,11-9038-B,17-33232-S,35-52077-S,49-3227-S
museum in forbidden city	29-59838-S
museum in st peterburg	53-48248-S
museum of chinese history	2-59775-B
mush	42-31669-S
musharraf pakistan leader	47-37622-B
mushroom	6-28087-B,22-44430-S,31-35508-S,33-54906-S,36-8123-S,54-15590-S,54-28049-B,54-28305-B,54-36571-B,55-14134-B,55-43607-B,55-43637-B,55-43789-B,64-14216-S,64-28524-S
mushroom cloud	55-43732-B
mushroom flammulina velutipes	64-15997-S
mushroom ganoderma lucidum	67-52939-S
mushroom soup	55-43676-B
mushroom tricholoma mongplicum	11-69404-S
mushroom used in trad chinese medicine	4-4807-S
mushroom volvariella volvacea	54-15590-S
mushrooms	70-56843-S
mushy	41-35858-B
music	1-53469-S,2-68169-S,3-43466-S,4-56246-S,4-67550-S,5-7186-S,7-53598-B,9-19480-S,12-1011-S,12-56379-S,13-6138-S,13-22951-S,13-32053-S,13-64427-S,13-64427-S,14-4720-S,14-18758-S,14-35312-S,15-10097-S,15-10097-S,18-5704-S,18-5820-S,18-9285-S,19-55980-S,20-41513-S,20-46967-S,20-68449-S,20-68517-S,22-19199-S,23-34873-S,23-48877-S,27-30059-S,28-54435-S,28-54508-S,32-4484-B,33-30805-S,34-47202-B,34-49601-S,34-49849-S,36-21644-S,36-23848-S,38-6201-S,39-45771-S,40-46258-S,41-22536-S,42-4487-S,42-49318-S,42-49318-S,43-44975-S,48-26123-S,48-28923-S,48-39332-S,48-44051-B,49-38407-S,50-20216-S,51-66166-S,52-21878-S,53-32549-S,54-35594-S,58-32485-S,58-35256-S,58-64215-S,58-64330-S,59-7888-S,61-13474-S,61-15834-S,61-21996-S,62-23931-S,66-55410-S,68-14264-B,68-14830-S,68-16531-S,68-16583-B,68-19269-B,70-11801-S
music as ensemble	12-32837-S
music cd	68-14303-B
music center	49-38050-B
music circles	34-47692-B
music college	68-14588-B
music e g as appreciated by tang literati	52-21878-S
music ethereal	22-55512-S
music festival	68-14529-B
music for stringed instrument	67-12029-S
music four beats in the bar 成语 saw	1-11876-S
music genre	8-43306-S,14-33410-S,30-53411-S,38-10534-S,48-28696-S,58-31630-S,67-39260-S
music mainly western	12-805-S
music music genre	30-53411-S
music note	68-14882-B
music of bell and drum	68-16978-B
music of china	2-64904-B
music of each succeeding chinese dynasty starting with the zhou	66-55268-S
music of former kings	7-4768-S
music of legendary emperor gu	68-17025-B
music performance	19-25114-S
music recording	54-57371-S
music staff	3-53098-B
music style	32-42059-S
music to one s ears	2-79118-B
music two beats in the bar 成语 saw	1-11646-S
music without staging or make up	38-59793-S
music world	34-47692-B
music 成语 saw	12-67387-S,12-67489-S
musical	62-30843-S
musical box	7-53754-B
musical comedy	67-3969-S
musical composition	16-1230-S,34-48996-B
musical ensemble	1-43607-S,14-53753-S
musical ensemble of several instruments e g duet 二重奏 or trio 三重奏	63-57487-B
musical instrument	23-34097-S,23-47848-S,28-45313-S,29-19461-S,29-19550-S,30-16133-S,34-47550-B,39-45771-S,49-37529-S,58-40075-S,66-31701-S,68-15045-S,68-56478-S
