中國工程院 中国工程院	2-58212-B
临界质量	52-61620-S
临盆	52-61766-S
临眺	52-61822-S
临终	52-61921-S
临蓐	52-62060-S
临行	52-62115-S
临街	52-62186-S
临街房	52-62237-S
临西	52-62355-S
临视	52-62414-S
临近	52-62469-S
临邑	52-62523-S
临门	52-62585-S
临问	52-56490-S
临阵	52-62693-S
临难	52-62749-S
临颍县	52-62860-S
临高	52-62930-S
丸	3-1749-S
丸 丸	3-1749-B
丸子	3-1776-S
丸子 丸子	3-1776-B
丹	3-1829-S
丹 丹	3-1829-B
丹东	3-2441-S
丹东市	3-2517-S
丹佛	3-1878-S
丹佛 丹佛	3-1878-B
丹凤	3-3459-S
丹参	3-1917-S
丹參 丹参	3-1917-B
丹寨	3-1971-S
丹寨 丹寨	3-1971-B
丹尼尔	3-2102-S
丹尼斯	3-2036-S
丹尼斯 丹尼斯	3-2036-B
丹尼爾 丹尼尔	3-2102-B
丹巴	3-2158-S
丹巴 丹巴	3-2158-B
丹布朗	3-2219-S
丹布朗 丹布朗	3-2219-B
丹徒	3-2293-S
丹徒 丹徒	3-2293-B
丹心	3-2354-S
丹心 丹心	3-2354-B
丹方	3-2395-S
丹方 丹方	3-2395-B
丹東 丹东	3-2441-B
丹東市 丹东市	3-2517-B
丹桂	3-2604-S
丹桂 丹桂	3-2604-B
丹棱县	3-3200-S
丹毒	3-2654-S
丹毒 丹毒	3-2654-B
丹江口	3-2697-S
丹江口 丹江口	3-2697-B
丹瑞	3-2775-S
丹瑞 丹瑞	3-2775-B
丹瑞大将	3-2834-S
丹瑞大將 丹瑞大将	3-2834-B
丹瑞将军	3-2908-S
丹瑞將軍 丹瑞将军	3-2908-B
丹田	3-2991-S
丹田 丹田	3-2991-B
丹皮	3-3094-S
丹皮 丹皮	3-3094-B
丹砂	3-3158-S
丹砂 丹砂	3-3158-B
丹稜縣 丹棱县	3-3200-B
丹阳	3-3272-S
丹陽 丹阳	3-3272-B
丹青	3-3336-S
丹青 丹青	3-3336-B
丹頂鶴 丹顶鹤	3-3379-B
丹顶鹤	3-3379-S
丹鳳 丹凤	3-3459-B
丹麥 丹麦	3-3524-B
丹麦	3-3524-S
为	40-31590-S,40-31708-S
为主	40-31748-S
为了	40-31828-S
为人	40-31899-S
为人师表	40-31955-S
为什么	40-32960-S
为仁不富	40-32129-S
为何	40-32224-S
为例	40-32260-S
为准	40-32865-S
为富不仁	40-32311-S
为所欲为	40-32406-S
为时	40-32484-S
为时过早	40-32545-S
为期	40-32619-S
为止	40-32709-S
为此	40-32748-S
为生	40-33025-S
为虎作伥	40-33077-S
为难	40-33251-S
为非作歹	40-33310-S
为首	40-33458-S
主	3-3565-S
主 主	3-3565-B
主业	3-6208-S
主义	3-7234-S
主人	3-3622-S
主人 主人	3-3622-B
主人公	3-3667-S
主人公 主人公	3-3667-B
主人翁	3-3755-S
主人翁 主人翁	3-3755-B
主仆	3-3929-S
主任	3-3834-S
主任 主任	3-3834-B
主体	3-8539-S
主修	3-3881-S
主修 主修	3-3881-B
主僕 主仆	3-3929-B
主力	3-3980-S
主力 主力	3-3980-B
主力舰	3-4048-S
主力艦 主力舰	3-4048-B
主办	3-8156-S
主办国	3-8225-S
主动	3-4103-S
主动免疫	3-4162-S
主动脉	3-4234-S
主動 主动	3-4103-B
主動免疫 主动免疫	3-4162-B
主動脈 主动脉	3-4234-B
主厅	3-5342-S
主和派	3-4302-S
主和派 主和派	3-4302-B
主因	3-4369-S
主因 主因	3-4369-B
主妇	3-4414-S
主婦 主妇	3-4414-B
主子	3-4456-S
主子 主子	3-4456-B
主宰	3-4552-S
主宰 主宰	3-4552-B
主宰者	3-4599-S
主宰者 主宰者	3-4599-B
主导	3-4649-S
主导性	3-4700-S
主導 主导	3-4649-B
主導性 主导性	3-4700-B
主峰	3-4756-S
主峰 主峰	3-4756-B
主席	3-4822-S
主席 主席	3-4822-B
主席台	3-4937-S
主席团	3-4883-S
主席團 主席团	3-4883-B
主席臺 主席台	3-4937-B
主干	3-4997-S
主干线	3-5200-S
主干网络	3-5046-S
主干网路	3-5115-S
主幹 主干	3-4997-B
主幹網絡 主干网络	3-5046-B
主幹網路 主干网路	3-5115-B
主幹線 主干线	3-5200-B
主序星	3-5262-S
主序星 主序星	3-5262-B
主廳 主厅	3-5342-B
主张	3-5387-S
主張 主张	3-5387-B
主意	3-5499-S
主意 主意	3-5499-B
主战派	3-5549-S
主戰派 主战派	3-5549-B
主持	3-5620-S
主持 主持	3-5620-B
主持人	3-5673-S
主持人 主持人	3-5673-B
主教	3-5751-S
主教 主教	3-5751-B
主料	3-5792-S
主料 主料	3-5792-B
主族	3-5865-S
主族 主族	3-5865-B
主日	3-5908-S
主日 主日	3-5908-B
主日学	3-5955-S
主日學 主日学	3-5955-B
主旨	3-6012-S
主旨 主旨	3-6012-B
主机	3-6254-S
主机板	3-6291-S
主权	3-6346-S
主权国家	3-6392-S
主板	3-6091-S
主板 主板	3-6091-B
主格	3-6165-S
主格 主格	3-6165-B
主業 主业	3-6208-B
主機 主机	3-6254-B
主機板 主机板	3-6291-B
主權 主权	3-6346-B
主權國家 主权国家	3-6392-B
主法向量	3-6466-S
主法向量 主法向量	3-6466-B
主流	3-6567-S
主流 主流	3-6567-B
主演	3-6677-S
主演 主演	3-6677-B
主犯	3-6748-S
主犯 主犯	3-6748-B
主环	3-6790-S
主環 主环	3-6790-B
主祷文	3-6837-S
主禱文 主祷文	3-6837-B
主科	3-6895-S
主科 主科	3-6895-B
主管	3-6965-S
主管 主管	3-6965-B
主管人员	3-7062-S
主管人員 主管人员	3-7062-B
主管教区	3-7129-S
主管教區 主管教区	3-7129-B
主編 主编	3-7193-B
主编	3-7193-S
主義 主义	3-7234-B
主航道	3-7280-S
主航道 主航道	3-7280-B
主要	3-7338-S
主要 主要	3-7338-B
主要來源 主要来源	3-7400-B
主要原因	3-7485-S
主要原因 主要原因	3-7485-B
主要来源	3-7400-S
主觀 主观	3-7567-B
主觀主義 主观主义	3-7612-B
主观	3-7567-S
主观主义	3-7612-S
主角	3-7680-S
主角 主角	3-7680-B
主詞 主词	3-7731-B
主語 主语	3-7771-B
主調 主调	3-7825-B
主謂句 主谓句	3-7907-B
主謂結構 主谓结构	3-8002-B
主词	3-7731-S
主语	3-7771-S
主调	3-7825-S
主谓句	3-7907-S
主谓结构	3-8002-S
主軸 主轴	3-8088-B
主轴	3-8088-S
主辦 主办	3-8156-B
主辦國 主办国	3-8225-B
主队	3-8282-S
主隊 主队	3-8282-B
主頁 主页	3-8353-B
主題 主题	3-8395-B
主顧 主顾	3-8441-B
主页	3-8353-S
主顾	3-8441-S
主题	3-8395-S
主食	3-8489-S
主食 主食	3-8489-B
主體 主体	3-8539-B
丼	3-8595-S
丼 丼	3-8595-B
丽	71-9453-S,71-9480-S
丽丽	71-10318-S
丽佳娜	71-9511-S
丽水	71-9567-S
丽水地区	71-9641-S
丽水市	71-9737-S
丽江	71-9822-S
丽江古城	71-9906-S
丽江地区	71-9992-S
丽江市	71-10085-S
丽江纳西族自治县	71-10180-S
举	53-26363-S
举世瞩目	53-26459-S
举世闻名	53-26540-S
举人	53-26617-S
举例	53-26684-S
举例来说	53-26734-S
举办	53-27726-S
举动	53-26800-S
举手	53-26949-S
举手之劳	53-27031-S
举手投足	53-27178-S
举报	53-26867-S
举措	53-27307-S
举止	53-27385-S
举荐	53-27437-S
举行	53-27491-S
举贤良对策	53-27543-S
举起	53-27677-S
举重	53-27777-S
乂	3-8636-S,3-8697-S
乂 乂	3-8636-B,3-8697-B
乃	3-8758-S
乃 乃	3-8758-B
乃东	3-9114-S
乃堆拉	3-8824-S
乃堆拉 乃堆拉	3-8824-B
乃堆拉山口	3-8938-S
乃堆拉山口 乃堆拉山口	3-8938-B
乃尔	3-9177-S
乃是	3-9075-S
乃是 乃是	3-9075-B
乃東 乃东	3-9114-B
乃爾 乃尔	3-9177-B
乃至	3-9224-S
乃至 乃至	3-9224-B
久	3-9266-S
久 久	3-9266-B
久別 久别	3-9324-B
久别	3-9324-S
久攻不下	3-9385-S
久攻不下 久攻不下	3-9385-B
久治县	3-9482-S
久治縣 久治县	3-9482-B
久病	3-9552-S
久病 久病	3-9552-B
久病成医	3-9619-S
久病成醫 久病成医	3-9619-B
久等	3-9733-S
久等 久等	3-9733-B
久而久之	3-9791-S
久而久之 久而久之	3-9791-B
久負盛名 久负盛名	3-9894-B
久负盛名	3-9894-S
久远	3-10079-S
久违	3-10011-S
久違 久违	3-10011-B
久遠 久远	3-10079-B
久長 久长	3-10134-B
久长	3-10134-S
么	3-10181-S,71-16482-S,71-16509-S
么 么	3-10181-B
么点	3-10230-S
么點 么点	3-10230-B
义	51-12342-S
义乌	51-13525-S
义乌市	51-13596-S
义人	51-12393-S
义军	51-14457-S
义务	51-12672-S
义务教育	51-12739-S
义勇	51-12439-S
义勇军	51-12508-S
