多才多艺	16-57758-S
夜空 夜空	17-1489-B
夜總會 夜总会	17-1532-B
夜莺	17-2095-S
夜行	17-1596-S
夜行 夜行	17-1596-B
夜行军	17-1721-S
夜行性	17-1666-S
夜行性 夜行性	17-1666-B
夜行軍 夜行军	17-1721-B
夜裡 夜里	17-1779-B
夜貓子 夜猫子	17-1846-B
夜里	17-1779-S
夜間 夜间	17-1908-B
夜间	17-1908-S
夜香木	17-1983-S
夜香木 夜香木	17-1983-B
夜鳥 夜鸟	17-2045-B
夜鶯 夜莺	17-2095-B
夜鸟	17-2045-S
够	17-2140-S
夠 够	17-2140-B
夢 梦	17-2184-B
夢囈 梦呓	17-2216-B
夢境 梦境	17-2313-B
夢寐 梦寐	17-2358-B
夢寐以求 梦寐以求	17-2404-B
夢幻 梦幻	17-2482-B
夢幻泡影 梦幻泡影	17-2526-B
夢想 梦想	17-2694-B
夢景 梦景	17-2758-B
夢羅園 梦罗园	17-2804-B
夢行症 梦行症	17-2861-B
夢見 梦见	17-2935-B
夢話 梦话	17-2996-B
夢遊 梦游	17-3106-B
夢遊癥 梦游症	17-3172-B
夢遺 梦遗	17-3245-B
夢鄉 梦乡	17-3321-B
夢魔 梦魔	17-3388-B
夢魘 梦魇	17-3431-B
夤	17-3475-S
夤 夤	17-3475-B
夤緣 夤缘	17-3511-B
夤緣攀附 夤缘攀附	17-3593-B
夤缘	17-3511-S
夤缘攀附	17-3593-S
夥	17-3754-S
夥 夥	17-3754-B
夥伴	17-3814-S
夥伴 夥伴	17-3814-B
大	17-3865-S,17-3937-S
大 大	17-3865-B,17-3937-B
大一	17-3966-S
大一 大一	17-3966-B
大一些	17-4027-S
大一些 大一些	17-4027-B
大一統誌 大一统志	17-4082-B
大一统志	17-4082-S
大三	17-4156-S
大三 大三	17-4156-B
大不了	17-4218-S
大不了 大不了	17-4218-B
大不列顛 大不列颠	17-4311-B
大不列颠	17-4311-S
大不里士	17-4379-S
大不里士 大不里士	17-4379-B
大业	17-22855-S
大东	17-22071-S
大东亚共荣圈	17-22157-S
大东区	17-22273-S
大个儿	17-6084-S
大中学生	17-4461-S
大中學生 大中学生	17-4461-B
大丰	17-35543-S
大主教	17-4554-S
大主教 大主教	17-4554-B
大丽花	17-42263-S
大举	17-33000-S
大久保	17-4630-S
大久保 大久保	17-4630-B
大久保利通	17-4712-S
大久保利通 大久保利通	17-4712-B
大义	17-30874-S
大义凛然	17-30987-S
大义灭亲	17-31103-S
大乌苏里岛	17-26572-S
大乌鸦	17-26693-S
大乘	17-4807-S
大乘 大乘	17-4807-B
大事	17-4850-S
大事 大事	17-4850-B
大二	17-5004-S
大二 大二	17-5004-B
大于	17-19942-S
大亚湾	17-5066-S
大亞灣 大亚湾	17-5066-B
大人	17-5117-S
大人 大人	17-5117-B
大仲馬 大仲马	17-5162-B
大仲马	17-5162-S
大众	17-28918-S
大众传播	17-28973-S
大众化	17-29049-S
大伙儿	17-5222-S
大伙兒 大伙儿	17-5222-B
大会	17-20704-S
大伯	17-5279-S
大伯 大伯	17-5279-B
大体	17-41798-S
大体上	17-41891-S
大余	17-41297-S
大余县	17-41365-S
大作	17-5350-S
大作 大作	17-5350-B
大佬	17-5443-S
大佬 大佬	17-5443-B
大使	17-5524-S
大使 大使	17-5524-B
大使級 大使级	17-5579-B
大使级	17-5579-S
大使館 大使馆	17-5635-B
大使馆	17-5635-S
大侠	17-5882-S
大便	17-5687-S
大便 大便	17-5687-B
大便乾燥 大便干燥	17-5748-B
大便干燥	17-5748-S
大便祕結 大便秘结	17-5815-B
大便秘结	17-5815-S
大俠 大侠	17-5882-B
大修道院	17-5921-S
大修道院 大修道院	17-5921-B
大修道院長 大修道院长	17-6009-B
大修道院长	17-6009-S
大個兒 大个儿	17-6084-B
大傻瓜	17-6136-S
大傻瓜 大傻瓜	17-6136-B
大元大一統誌 大元大一统志	17-6216-B
大元大一统志	17-6216-S
大先知书	17-6312-S
大先知書 大先知书	17-6312-B
大內鄉 大内乡	17-6402-B
大公司	17-6477-S
大公司 大公司	17-6477-B
大公国	17-6546-S
大公國 大公国	17-6546-B
大公報 大公报	17-6602-B
大公报	17-6602-S
大公无私	17-6657-S
大公無私 大公无私	17-6657-B
大关	17-38141-S
大兴	17-32707-S
大兴区	17-32770-S
大兴安岭地区	17-32866-S
大内乡	17-6402-S
大写	17-15322-S
大写锁定	17-15417-S
大农场	17-36024-S
大冶	17-6724-S
大冶 大冶	17-6724-B
大凡粗知	17-6780-S
大凡粗知 大凡粗知	17-6780-B
大刀	17-6863-S
大刀 大刀	17-6863-B
大刀会	17-6926-S
大刀會 大刀会	17-6926-B
大刀闊斧 大刀阔斧	17-6989-B
大刀阔斧	17-6989-S
大分子	17-7060-S
大分子 大分子	17-7060-B
大分界岭	17-7124-S
大分界嶺 大分界岭	17-7124-B
大別山 大别山	17-7200-B
大利拉	17-7289-S
大利拉 大利拉	17-7289-B
大别山	17-7200-S
大剪刀	17-7352-S
大剪刀 大剪刀	17-7352-B
大力	17-7428-S
大力 大力	17-7428-B
大力发展	17-7563-S
大力士	17-7489-S
大力士 大力士	17-7489-B
大力發展 大力发展	17-7563-B
大力神	17-7653-S
大力神 大力神	17-7653-B
大功	17-7702-S
大功 大功	17-7702-B
大功告成	17-7761-S
大功告成 大功告成	17-7761-B
大动脉	17-8030-S
大势至菩萨	17-8096-S
大勇若怯	17-7886-S
大勇若怯 大勇若怯	17-7886-B
大動脈 大动脉	17-8030-B
大勢至菩薩 大势至菩萨	17-8096-B
大包大揽	17-8188-S
大包大攬 大包大揽	17-8188-B
大化瑤族自治縣 大化瑶族自治县	17-8296-B
大化瑶族自治县	17-8296-S
大半	17-8436-S
大半 大半	17-8436-B
大卫	17-34434-S
大卫营和约	17-34511-S
大印	17-8501-S
大印 大印	17-8501-B
大厂回族自治县	17-17304-S
大厅	17-17431-S
大厦	17-17112-S
大厦将倾	17-17175-S
大发雷霆	17-28625-S
大叔	17-8553-S
大叔 大叔	17-8553-B
大口径	17-8591-S
大口徑 大口径	17-8591-B
大可不必	17-8649-S
大可不必 大可不必	17-8649-B
大叶性肺炎	17-33826-S
大号	17-34162-S
大吃	17-8721-S
大吃 大吃	17-8721-B
大吃一惊	17-8772-S,17-8847-S
大吃一驚 大吃一惊	17-8772-B,17-8847-B
大吉	17-8966-S
大吉 大吉	17-8966-B
大同	17-9029-S
大同 大同	17-9029-B
大同乡	17-9373-S
大同区	17-9112-S
大同區 大同区	17-9112-B
大同小异	17-9183-S
大同小異 大同小异	17-9183-B
大同市	17-9279-S
大同市 大同市	17-9279-B
大同鄉 大同乡	17-9373-B
大名	17-9450-S
大名 大名	17-9450-B
大吞噬細胞 大吞噬细胞	17-9536-B
大吞噬细胞	17-9536-S
大吹大擂	17-9611-S
大吹大擂 大吹大擂	17-9611-B
大员	17-9771-S
大和	17-9707-S
大和 大和	17-9707-B
大員 大员	17-9771-B
大哥	17-9818-S
大哥 大哥	17-9818-B
大哥大	17-9864-S
大哥大 大哥大	17-9864-B
大哭	17-9915-S
大哭 大哭	17-9915-B
大唐	17-9960-S
大唐 大唐	17-9960-B
大唐西域記 大唐西域记	17-10020-B
大唐西域记	17-10020-S
大問題 大问题	17-10158-B
大喊	17-10228-S
大喊 大喊	17-10228-B
大喊大叫	17-10269-S
大喊大叫 大喊大叫	17-10269-B
大喜	17-10381-S
大喜 大喜	17-10381-B
大喜过望	17-10423-S
大喜過望 大喜过望	17-10423-B
大嗓	17-10524-S
大嗓 大嗓	17-10524-B
大器晚成	17-10568-S
大器晚成 大器晚成	17-10568-B
大四	17-10822-S
大四 大四	17-10822-B
大园乡	17-11039-S
大国	17-10884-S
大国家党	17-10950-S
大圆	17-11116-S
大圆圈	17-11186-S
大國 大国	17-10884-B
大國家黨 大国家党	17-10950-B
大園鄉 大园乡	17-11039-B
大圓 大圆	17-11116-B
大圓圈 大圆圈	17-11186-B
大地	17-11268-S
大地 大地	17-11268-B
大地主	17-11318-S
大地主 大地主	17-11318-B
大地图	17-11378-S
大地圖 大地图	17-11378-B
大地洞	17-11425-S
大地洞 大地洞	17-11425-B
大地测量学	17-11475-S
大地測量學 大地测量学	17-11475-B
大地線 大地线	17-11548-B
大地线	17-11548-S
大地震	17-11610-S
大地震 大地震	17-11610-B
大场・鸫	17-12676-S
大坂	17-11670-S
大坂 大坂	17-11670-B
大坏蛋	17-12837-S
大块头	17-12755-S
大坝	17-12899-S
大型	17-11744-S
大型 大型	17-11744-B
大型企业	17-11812-S
大型企業 大型企业	17-11812-B
大型強子對撞機 大型强子对撞机	17-11901-B
大型强子对撞机	17-11901-S
大城乡	17-12215-S
大城县	17-12130-S
大城市	17-12032-S
大城市 大城市	17-12032-B
大城縣 大城县	17-12130-B
大城鄉 大城乡	17-12215-B
大埔	17-12294-S
大埔 大埔	17-12294-B
大埔乡	17-12428-S
大埔县	17-12355-S
大埔縣 大埔县	17-12355-B
大埔鄉 大埔乡	17-12428-B
大埤乡	17-12501-S
大埤鄉 大埤乡	17-12501-B
大堂	17-12574-S
大堂 大堂	17-12574-B
大堡礁	17-12613-S
大堡礁 大堡礁	17-12613-B
大場・鶇 大场・鸫	17-12676-B
大塊頭 大块头	17-12755-B
大壞蛋 大坏蛋	17-12837-B
大壩 大坝	17-12899-B
大声	17-31262-S
大声疾呼	17-31308-S
大声说话	17-31443-S
大多	17-12934-S
大多 大多	17-12934-B
大多数	17-13018-S
大多數 大多数	17-13018-B
大夥	17-13078-S
大夥 大夥	17-13078-B
大大	17-13160-S
大大 大大	17-13160-B
大大小小	17-13210-S
大大小小 大大小小	17-13210-B
大夫	17-13281-S
大夫 大夫	17-13281-B
大失所望	17-13357-S
大失所望 大失所望	17-13357-B
大头钉	17-40417-S
大夼	17-13433-S
大夼 大夼	17-13433-B
大夼鎮 大夼镇	17-13509-B
大夼镇	17-13509-S
大奖	17-27623-S
大妈	17-13989-S
大姑	17-13589-S
大姑 大姑	17-13589-B
大姚	17-13658-S
大姚 大姚	17-13658-B
大姚县	17-13718-S
大姚縣 大姚县	17-13718-B
大姨	17-13785-S
大姨 大姨	17-13785-B
大姨子	17-13862-S
大姨子 大姨子	17-13862-B
大娘	17-14164-S
大媒体	17-13936-S
大媒體 大媒体	17-13936-B
大媽 大妈	17-13989-B
大嫂	17-14096-S
大嫂 大嫂	17-14096-B
大孃 大娘	17-14164-B
大字報 大字报	17-14245-B
大字报	17-14245-S
大学	17-14308-S
大学生	17-14351-S
大学预科	17-14431-S
大學 大学	17-14308-B
大學生 大学生	17-14351-B
大學預科 大学预科	17-14431-B
大宁	17-15220-S
大安	17-14513-S
大安 大安	17-14513-B
大安乡	17-14919-S
大安区	17-14587-S
大安區 大安区	17-14587-B
大安市	17-14654-S
大安市 大安市	17-14654-B
大安的列斯	17-14739-S
大安的列斯 大安的列斯	17-14739-B
大安的列斯群岛	17-14818-S
大安的列斯群島 大安的列斯群岛	17-14818-B
大安鄉 大安乡	17-14919-B
大宝	17-15559-S
大宪章	17-18270-S
大家	17-14992-S
大家 大家	17-14992-B
大容量	17-15043-S
大容量 大容量	17-15043-B
大富大貴 大富大贵	17-15103-B
大富大贵	17-15103-S
大寒	17-15177-S
大寒 大寒	17-15177-B
大寧 大宁	17-15220-B
大寨	17-15282-S
大寨 大寨	17-15282-B
大寫 大写	17-15322-B
大寫鎖定 大写锁定	17-15417-B
大寮乡	17-15482-S
大寮鄉 大寮乡	17-15482-B
大寶 大宝	17-15559-B
大寺院	17-15603-S
大寺院 大寺院	17-15603-B
大将	17-15668-S
大將 大将	17-15668-B
大小	17-15723-S
大小 大小	17-15723-B
大小三度	17-15793-S
大小三度 大小三度	17-15793-B
大小便	17-15888-S
大小便 大小便	17-15888-B
大小写	17-15975-S
大小寫 大小写	17-15975-B
大局	17-16051-S
大局 大局	17-16051-B
大屠杀	17-16119-S
大屠杀事件	17-16180-S
大屠殺 大屠杀	17-16119-B
大屠殺事件 大屠杀事件	17-16180-B
大山	17-16264-S
大山 大山	17-16264-B
大山猫	17-16431-S
大山谷州立大学	17-16304-S
大山谷州立大學 大山谷州立大学	17-16304-B
大山貓 大山猫	17-16431-B
大屿山	17-16572-S
大峡谷	17-16486-S
大峽谷 大峡谷	17-16486-B
大嶼山 大屿山	17-16572-B
大巴	17-16629-S
大巴 大巴	17-16629-B
大师	17-16684-S
大師 大师	17-16684-B
大幅	17-16736-S
大幅 大幅	17-16736-B
大幅度	17-16794-S
大幅度 大幅度	17-16794-B
大庆	17-18137-S
大庆市	17-18198-S
大度包容	17-16864-S
大度包容 大度包容	17-16864-B
大庭广众	17-16959-S
大庭廣眾 大庭广众	17-16959-B
大庸	17-17052-S
大庸 大庸	17-17052-B
大廈 大厦	17-17112-B
大廈將傾 大厦将倾	17-17175-B
大廠回族自治縣 大厂回族自治县	17-17304-B
大廳 大厅	17-17431-B
大开斋	17-38030-S
大张挞伐	17-17476-S
大张旗鼓	17-17557-S
大張撻伐 大张挞伐	17-17476-B
大張旗鼓 大张旗鼓	17-17557-B
大志	17-17619-S
大志 大志	17-17619-B
大快人心	17-17661-S
大快人心 大快人心	17-17661-B
大怒	17-17748-S
大怒 大怒	17-17748-B
大总统	17-30782-S
大悟	17-17795-S
大悟 大悟	17-17795-B
大惊失色	17-41650-S
大惊小怪	17-41717-S
大惑不解	17-17852-S
大惑不解 大惑不解	17-17852-B
大意	17-17939-S
大意 大意	17-17939-B
大愚	17-18002-S
大愚 大愚	17-18002-B
大慈恩寺	17-18053-S
大慈恩寺 大慈恩寺	17-18053-B
大慶 大庆	17-18137-B
大慶市 大庆市	17-18198-B
大憲章 大宪章	17-18270-B
大战	17-18427-S
大戟科	17-18328-S
大戟科 大戟科	17-18328-B
大戰 大战	17-18427-B
大戶 大户	17-18470-B
大户	17-18470-S
大才小用	17-18573-S
大才小用 大才小用	17-18573-B
大批	17-18705-S
大批 大批	17-18705-B
大拇指	17-18756-S
大拇指 大拇指	17-18756-B
大括号	17-18842-S
大括號 大括号	17-18842-B
大指	17-18911-S
大指 大指	17-18911-B
大捕头	17-18972-S
大捕頭 大捕头	17-18972-B
大提琴	17-19029-S
大提琴 大提琴	17-19029-B
大提琴手	17-19089-S
大提琴手 大提琴手	17-19089-B
大搖大擺 大摇大摆	17-19151-B
大摇大摆	17-19151-S
大敌当前	17-19347-S
大敗 大败	17-19224-B
大教堂	17-19292-S
大教堂 大教堂	17-19292-B
大数	17-19428-S,17-19475-S
大数学家	17-19514-S
大敵當前 大敌当前	17-19347-B
大數 大数	17-19428-B,17-19475-B
大數學家 大数学家	17-19514-B
大斋	17-42837-S
大斋期	17-42899-S
大斋节	17-42994-S
大料	17-19588-S
大料 大料	17-19588-B
大新	17-19646-S
大新 大新	17-19646-B
大方	17-19707-S,17-19779-S
大方 大方	17-19707-B,17-19779-B
大方县	17-19862-S
大方縣 大方县	17-19862-B
大於 大于	17-19942-B
大无畏	17-26742-S
大日如來 大日如来	17-19986-B
大日如来	17-19986-S
大明历	17-20048-S
大明曆 大明历	17-20048-B
大明鼎鼎	17-20161-S
大明鼎鼎 大明鼎鼎	17-20161-B
大昭寺	17-20253-S
大昭寺 大昭寺	17-20253-B
大显神通	17-40811-S
大显身手	17-40926-S
大智如愚	17-20304-S
大智如愚 大智如愚	17-20304-B
大智慧	17-20438-S
大智慧 大智慧	17-20438-B
大智若愚	17-20517-S
大智若愚 大智若愚	17-20517-B
大暑	17-20652-S
大暑 大暑	17-20652-B
大會 大会	17-20704-B
大月	17-20780-S
大月 大月	17-20780-B
大月支	17-20860-S
大月支 大月支	17-20860-B
大月氏	17-20956-S
大月氏 大月氏	17-20956-B
大有	17-21052-S
大有 大有	17-21052-B
大有人在	17-21109-S
大有人在 大有人在	17-21109-B
大有作为	17-21195-S
大有作為 大有作为	17-21195-B
大有可为	17-21298-S
大有可為 大有可为	17-21298-B
大有希望	17-21418-S
大有希望 大有希望	17-21418-B
大有文章	17-21518-S
大有文章 大有文章	17-21518-B
大本涅槃經 大本涅盘经	17-21660-B
大本涅盘经	17-21660-S
大本營 大本营	17-21789-B
大本营	17-21789-S
大杂烩	17-39679-S
大杂院	17-39749-S
大权	17-23312-S
大材小用	17-21856-S
大材小用 大材小用	17-21856-B
大村乡	17-21995-S
大村鄉 大村乡	17-21995-B
大東 大东	17-22071-B
大東亞共榮圈 大东亚共荣圈	17-22157-B
大東區 大东区	17-22273-B
大林鎮 大林镇	17-22369-B
大林镇	17-22369-S
大柴旦鎮 大柴旦镇	17-22440-B
大柴旦镇	17-22440-S
大树乡	17-23191-S
大树菠萝	17-23127-S
大校	17-22533-S
大校 大校	17-22533-B
大样	17-23036-S
大根兰	17-22620-S
大根蘭 大根兰	17-22620-B
大桥	17-23266-S
大桶	17-22693-S
大桶 大桶	17-22693-B
大梁	17-22737-S
大梁 大梁	17-22737-B
大棒	17-22812-S
大棒 大棒	17-22812-B
大業 大业	17-22855-B
大楼	17-22989-S
大概	17-22916-S
大概 大概	17-22916-B
大樓 大楼	17-22989-B
大樣 大样	17-23036-B
大樹菠蘿 大树菠萝	17-23127-B
大樹鄉 大树乡	17-23191-B
大橋 大桥	17-23266-B
大權 大权	17-23312-B
大正	17-23361-S
大正 大正	17-23361-B
大步	17-23410-S
大步 大步	17-23410-B
大步走	17-23455-S
大步走 大步走	17-23455-B
大武乡	17-23504-S
大武鄉 大武乡	17-23504-B
大比目魚 大比目鱼	17-23577-B
大比目鱼	17-23577-S
大气	17-23689-S
大气候	17-23636-S
大气候 大气候	17-23636-B
大气压	17-23785-S
大气压力	17-23847-S
大气压强	17-23919-S
大气圈	17-23731-S
大气层	17-23994-S
大气层核试验	17-24048-S
大气暖化	17-24148-S
大气环流	17-24222-S
大氣 大气	17-23689-B
大氣圈 大气圈	17-23731-B
大氣壓 大气压	17-23785-B
大氣壓力 大气压力	17-23847-B
大氣壓強 大气压强	17-23919-B
大氣層 大气层	17-23994-B
大氣層核試驗 大气层核试验	17-24048-B
大氣暖化 大气暖化	17-24148-B
大氣環流 大气环流	17-24222-B
大氧吧	17-24300-S
大氧吧 大氧吧	17-24300-B
大水	17-24423-S
大水 大水	17-24423-B
大汉	17-26162-S
大汗淋漓	17-24462-S
大汗淋漓 大汗淋漓	17-24462-B
大江健三郎	17-24535-S
大江健三郎 大江健三郎	17-24535-B
大沙河	17-24667-S
大沙河 大沙河	17-24667-B
大河	17-24725-S
大河 大河	17-24725-B
大沽	17-24768-S
大沽 大沽	17-24768-B
大法官	17-24810-S
大法官 大法官	17-24810-B
大洋	17-24908-S
大洋 大洋	17-24908-B
大洋中脊	17-24948-S
大洋中脊 大洋中脊	17-24948-B
大洋洲	17-25028-S
大洋洲 大洋洲	17-25028-B
大洲	17-25081-S
大洲 大洲	17-25081-B
大洼	17-29899-S
大洼县	17-29966-S
大浪	17-25125-S
大浪 大浪	17-25125-B
大海	17-25171-S
大海 大海	17-25171-B
大海捞针	17-25213-S
大海撈針 大海捞针	17-25213-B
大海沟	17-25335-S
大海溝 大海沟	17-25335-B
大清	17-25392-S
大清 大清	17-25392-B
大清帝国	17-25472-S
大清帝國 大清帝国	17-25472-B
大清早	17-25585-S
大清早 大清早	17-25585-B
大渡河	17-25650-S
大渡河 大渡河	17-25650-B
大湄公河次区域	17-25713-S
大湄公河次区域合作	17-25828-S
大湄公河次區域 大湄公河次区域	17-25713-B
大湄公河次區域合作 大湄公河次区域合作	17-25828-B
大湖乡	17-25964-S
大湖鄉 大湖乡	17-25964-B
大溪鎮 大溪镇	17-26037-B
大溪镇	17-26037-S
大满贯	17-26107-S
大滿貫 大满贯	17-26107-B
大漢 大汉	17-26162-B
大潮	17-26227-S
大潮 大潮	17-26227-B
大火	17-26282-S
大火 大火	17-26282-B
大灶	17-26339-S
大灶 大灶	17-26339-B
大災 大灾	17-26404-B
大灾	17-26404-S
大炮	17-29393-S
大炮打蚊子	17-26443-S
大炮打蚊子 大炮打蚊子	17-26443-B
大烏蘇里島 大乌苏里岛	17-26572-B
大烏鴉 大乌鸦	17-26693-B
大烟	17-26801-S
大热	17-27056-S
大無畏 大无畏	17-26742-B
大煙 大烟	17-26801-B
大煞風景 大煞风景	17-26839-B
大煞风景	17-26839-S
大熊座	17-26918-S
大熊座 大熊座	17-26918-B
大熊猫	17-26974-S
大熊貓 大熊猫	17-26974-B
大熱 大热	17-27056-B
大爆炸	17-27111-S
大爆炸 大爆炸	17-27111-B
大爷	17-27182-S,17-27250-S
大爺 大爷	17-27182-B,17-27250-B
大片	17-27350-S
大片 大片	17-27350-B
大犬座	17-27455-S
大犬座 大犬座	17-27455-B
大狱	17-27580-S
大猩猩	17-27527-S
大猩猩 大猩猩	17-27527-B
大獄 大狱	17-27580-B
大獎 大奖	17-27623-B
大獲全勝 大获全胜	17-27686-B
