奄 奄 [01\[ yǎn\]]	suddenly;to embrace
奉天 奉天 [01\[ fèng tiān\]]	old name for shenyang 瀋陽|沈阳 in modern liaoning province
奉承 奉承 [01\[ fèng cheng\]]	to fawn;to flatter
奉承者 奉承者 [01\[ fèng chéng zhě\]]	flatterer
奉新 奉新 [01\[ fèng xīn\]]	fengxin county in yichun 宜春
奉新縣 奉新县 [01\[ fèng xīn xiàn\]]	fengxin county in yichun 宜春
奉旨 奉旨 [01\[ fèng zhǐ\]]	on imperial orders
奉獻 奉献 [01\[ fèng xiàn\]]	to consecrate;to dedicate;to devote
奉現 奉现 [01\[ fèng xiàn\]]	offering
奉申賀敬 奉申贺敬 [01\[ fèng shēn hè jìng\]]	polite congratulations (i.e. on a greeting card)
奉祀 奉祀 [01\[ fèng sì\]]	to offer sacrifice (to gods or ancestors);to consecrate;dedicated to
奉節 奉节 [01\[ fèng jié\]]	(n) fengjie (place in sichuan)
奉系 奉系 [01\[ fèng xì\]]	fengtian clique (of northern warlords)
奉系軍閥 奉系军阀 [01\[ fèng xì jūn fá\]]	fengtian clique (of northern warlords)
奉若神明 奉若神明 [01\[ fèng ruò shén míng\]]	to honor sb as a god (成语 saw); to revere;to worship;to deify;to make a holy cow of sth;to put sb on a pedestal
奉行 奉行 [01\[ fèng xíng\]]	to pursue (a course
奉詔 奉诏 [01\[ fèng zhào\]]	to receive an imperial command
奉賢 奉贤 [01\[ fèng xián\]]	(n) fengxian (place in shanghai)
奉贈 奉赠 [01\[ fèng zèng\]]	(honorific) to present;to give as a present
奉辛比克黨 奉辛比克党 [01\[ fèng xīn bǐ kè dǎng\]]	funcinpec (royalist cambodian political party)
奉迎 奉迎 [01\[ fèng yíng\]]	(honorific) to greet;to fawn
奉送 奉送 [01\[ fèng sòng\]]	(honorific) to give
奉還 奉还 [01\[ fèng huán\]]	to return with thanks;(honorific) to give back
奉陪 奉陪 [01\[ fèng péi\]]	(honorific) to accompany;to keep sb company
奉養 奉养 [01\[ fèng yǎng\]]	to look after (elderly parents);to serve;to support
奎 奎 [01\[ kuí\]]	name of constellation;stride
奎寧 奎宁 [01\[ kuí níng\]]	quinine
奎屯 奎屯 [01\[ kuí tún\]]	(n) kuitun (city in xinjiang)
奎托 奎托 [01\[ kuí tuō\]]	quito
奎星 奎星 [01\[ kuí xīng\]]	kuixing
奎甯水 奎宁水 [01\[ kuí níng shuǐ\]]	tonic water;quinine water
奏 奏 [01\[ zòu\]]	present a memorial
奏效 奏效 [01\[ zòu xiào\]]	to show results;effective
奏樂 奏乐 [01\[ zòu yuè\]]	to perform music;to play a tune
奏鳴曲 奏鸣曲 [01\[ zòu míng qǔ\]]	sonata
奏鳴曲式 奏鸣曲式 [01\[ zòu míng qǔ shì\]]	sonata form (one of the large-scale structures used in western classical music)
奐 奂 [01\[ huàn\]]	excellent;surname huan
契 契 [01\[ qì\]]	contract
契丹 契丹 [01\[ qì dān\]]	qidan;khitan;ethnic people in ancient china who were a branch of the eastern hu people inhabiting the valley of the xar murun river in the upper reaches of the liaohe river
契合 契合 [01\[ qì hé\]]	agreement;to agree;to get on with;congenial;agreeing with;to ally oneself with sb
契據 契据 [01\[ qì jù\]]	deed
契機 契机 [01\[ qì jī\]]	an opportunity;a turning point
契沙比克灣 契沙比克湾 [01\[ qì shā bǐ kè wān\]]	chesapeake bay
契約 契约 [01\[ qì yuē\]]	agreement;contract
契約橋牌 契约桥牌 [01\[ qì yuē qiáo pái\]]	contract bridge (card game)
契訶夫 契诃夫 [01\[ qì hē fū\]]	anton pavlovich chekhov (1860-1904)
奓 奓 [01\[ shē\]]	extravagant
奓 奓 [01\[ zhà\]]	spread
奔 奔 [01\[ bēn\]]	to hurry or rush;to run quickly;to elope
奔 奔 [01\[ bèn\]]	go to;towards
奔命 奔命 [01\[ bēn mìng\]]	rush about on errands;be kept on the run
奔喪 奔丧 [01\[ bēn sāng\]]	hasten home for the funeral of a parent or grandparent
奔忙 奔忙 [01\[ bēn máng\]]	be busy rushing about;bustle about
奔放 奔放 [01\[ bēn fàng\]]	bold and unrestrained;untrammeled
奔波 奔波 [01\[ bēn bō\]]	rush about;be busy running about
奔流 奔流 [01\[ bēn liú\]]	flow at great speed;pour;racing current
奔瀉 奔泻 [01\[ bēn xiè\]]	(of torrents) rush down;pour down
奔襲 奔袭 [01\[ bēn xí\]]	long-range raid
奔走 奔走 [01\[ bēn zǒu\]]	run;rush about;be busy running about
奔跑 奔跑 [01\[ bēn pǎo\]]	to run
奔逃 奔逃 [01\[ bēn táo\]]	flee;run away
奔頭 奔头 [01\[ bèn tóu\]]	sth to strive for;prospect
奔頭兒 奔头儿 [01\[ bèn tóu 5r\]]	erhua variant of 奔頭|奔头;sth to strive for;prospect
奔馬 奔马 [01\[ bēn mǎ\]]	runaway horses
奔馳 奔驰 [01\[ bēn chí\]]	run quickly;speed
奔騰 奔腾 [01\[ bēn téng\]]	(of waves) to surge forward;to roll on in waves;to gallop
奕 奕 [01\[ yì\]]	abundant;graceful
奕訢 奕䜣 [01\[ yì xīn\]]	grand prince yixin (1833-1898)
奕詝 奕詝 [01\[ yì zhǔ\]]	given name of qing emperor xianfeng 咸豐|咸丰
套 套 [01\[ tào\]]	cover;sheath;to encase;a case;to overlap;to interleave;bend (of a river or mountain range
套中人 套中人 [01\[ tào zhōng rén\]]	a conservative
套作 套作 [01\[ tào zuò\]]	intercropping;growing several crops together
套利 套利 [01\[ tào lì\]]	arbitrage
套包 套包 [01\[ tào bāo\]]	collar part of horse harness
套匯 套汇 [01\[ tào huì\]]	illegal currency exchange;arbitrage (illegal purchase of several simultaneous investments for a single sum)
套印 套印 [01\[ tào yìn\]]	color printing using several overlayed images
套取 套取 [01\[ tào qǔ\]]	to acquire fraudulently;an illegal exchange
套口供 套口供 [01\[ tào kǒu gòng\]]	to trap a suspect into a confession
套問 套问 [01\[ tào wèn\]]	to sound sb out;to find out by tactful indirect questioning
套套 套套 [01\[ tào tao\]]	methods;the old tricks
套子 套子 [01\[ tào zi\]]	cap
套房 套房 [01\[ tào fáng\]]	suite
套換 套换 [01\[ tào huàn\]]	to change (currency) illegally;fraudulent exchange
套數 套数 [01\[ tào shù\]]	a song cycle in chinese opera;fig. a series of tricks;polite remarks
套曲 套曲 [01\[ tào qǔ\]]	divertimento (music)
套服 套服 [01\[ tào fú\]]	a suit (of clothes)
套用 套用 [01\[ tào yòng\]]	to copy a set pattern mechanically;to crib
套疊 套叠 [01\[ tào dié\]]	overlapping;nesting;to interleave
套種 套种 [01\[ tào zhòng\]]	one crop grown together with others
套筒 套筒 [01\[ tào tǒng\]]	sleeve;a tube for wrapping
套管 套管 [01\[ tào guǎn\]]	pipe casing
套紅 套红 [01\[ tào hóng\]]	printing in red (e.g. a banner headline)
套索 套索 [01\[ tào suǒ\]]	a lasso
套結 套结 [01\[ tào jié\]]	a noose
套繩 套绳 [01\[ tào shéng\]]	a lasso
套色 套色 [01\[ tào shǎi\]]	color printing using several overlayed images
套衫 套衫 [01\[ tào shān\]]	a pullover
套衫兒 套衫儿 [01\[ tào shān 5r\]]	a pullover
套袖 套袖 [01\[ tào xiù\]]	sleeve cover
套裙 套裙 [01\[ tào qún\]]	woman's suit;dress worn over a petticoat
套裝 套装 [01\[ tào zhuāng\]]	a suit (of clothes)
套褲 套裤 [01\[ tào kù\]]	leggings
套話 套话 [01\[ tào huà\]]	polite talk;conventional greetings
套語 套语 [01\[ tào yǔ\]]	polite set phrases
套购 套购 [01\[ tào gòu\]]	a fraudulent purchase;to buy up sth illegally
套路 套路 [01\[ tào lù\]]	a sequence of movements in martial arts
套車 套车 [01\[ tào chē\]]	to harness (a horse to a cart)
套鐘 套钟 [01\[ tào zhōng\]]	chime
套間 套间 [01\[ tào jiān\]]	vestibule;small inner room (opening to others)
套鞋 套鞋 [01\[ tào xié\]]	overshoes;galoshes
套餐 套餐 [01\[ tào cān\]]	set meal
套馬 套马 [01\[ tào mǎ\]]	to harness a horse;to lasso a horse
套馬桿 套马杆 [01\[ tào mǎ gǎn\]]	lasso on long wooden pole
奘 奘 [01\[ zàng\]]	great
奘 奘 [01\[ zhuǎng\]]	fat;stout
奚 奚 [01\[ xī\]]	(lit.) what?;where?;why?;surname xi
奚嘯伯 奚啸伯 [01\[ xī xiào bó\]]	xi xiaobo (1910-1977)
奚落 奚落 [01\[ xī luò\]]	to taunt;to ridicule;to jeer at;to treat coldly;to abandon
奜 奜 [01\[ fěi\]]	big
奠 奠 [01\[ diàn\]]	to fix;to settle;a libation to the dead
奠儀 奠仪 [01\[ diàn yí\]]	a gift of money to the family of the deceased
奠基 奠基 [01\[ diàn jī\]]	groundbreaking;to lay foundation
奠基人 奠基人 [01\[ diàn jī rén\]]	founder;pioneer
奠基石 奠基石 [01\[ diàn jī shí\]]	a foundation stone;a cornerstone
奠定 奠定 [01\[ diàn dìng\]]	to establish;to fix;to settle
奠祭 奠祭 [01\[ diàn jì\]]	pouring of wine on ground for sacrifice
奠都 奠都 [01\[ diàn dū\]]	to determine the position of the capital;to found a capital
奠酒 奠酒 [01\[ diàn jiǔ\]]	a libation
奡 奡 [01\[ ào\]]	haughty;vigorous
奢 奢 [01\[ shē\]]	extravagant
奢丽 奢丽 [01\[ shē lì\]]	sumptuous;a luxury
奢侈 奢侈 [01\[ shē chǐ\]]	luxury;sumptuous
奢侈品 奢侈品 [01\[ shē chǐ pǐn\]]	luxury good
奢望 奢望 [01\[ shē wàng\]]	an extravagant hope;to have excessive expectations
奢求 奢求 [01\[ shē qiú\]]	to make extravagant demands;an unreasonable request
奢盼 奢盼 [01\[ shē pàn\]]	an extravagant hope;to have unrealistic expectations
奢華 奢华 [01\[ shē huá\]]	opulence;luxury
奢靡 奢靡 [01\[ shē mí\]]	extravagant
奢香 奢香 [01\[ shē xiāng\]]	she xiang (c. 1361-1396)
奥克拉荷馬州 奧克拉荷马州 [01\[ ào kè lā hé mǎ zhōu\]]	oklahoma
奧 奥 [01\[ ào\]]	obscure;mysterious;abbr. for austria 奧地利;abbr. for olympic (games) 奧林匹克|奥林匹克
奧什 奥什 [01\[ ào shí\]]	osh (city in kyrgyzstan)
奧克蘭 奥克兰 [01\[ ào kè lán\]]	auckland (new zealand city);oakland (california
奧切諾斯 奥切诺斯 [01\[ ào qiē nuò sī\]]	oceanus
奧利安 奥利安 [01\[ ào lì ān\]]	orion (constellation
奧古斯都 奥古斯都 [01\[ ào gǔ sī dū\]]	augustus (name)
奧國 奥国 [01\[ ào guó\]]	austria
奧地利 奥地利 [01\[ ào dì lì\]]	austria
奧塞梯 奥塞梯 [01\[ ào sè tī\]]	ossetia (a caucasian republic)
奧塞羅 奥塞罗 [01\[ ào sāi luó\]]	othello
奧妙 奥妙 [01\[ ào miào\]]	subtle
奧姆真理教 奥姆真理教 [01\[ ào mǔ zhēn lǐ jiào\]]	aum shinrikyo
奧委會 奥委会 [01\[ ào wěi huì\]]	olympic committee
奧威爾 奥威尔 [01\[ ào wēi ěr\]]	orwell (name);george orwell (1903-1950)
奧密克戎 奥密克戎 [01\[ ào mì kè róng\]]	omicron (greek letter)
奧巴馬 奥巴马 [01\[ ào bā mǎ\]]	barack obama (1961-)
奧康內爾 奥康内尔 [01\[ ào kāng nèi ěr\]]	o'connell (name);daniel o'connell (1775-1847)
奧康納 奥康纳 [01\[ ào kāng nà\]]	o'connor (name);thomas power o'connor (1848-1929)
奧德修斯 奥德修斯 [01\[ ào dé xiū sī\]]	odysseus
奧德賽 奥德赛 [01\[ ào dé sài\]]	homer's odyssey
奧托 奥托 [01\[ ào tuō\]]	otto
奧斯丁 奥斯丁 [01\[ ào sī dīng\]]	austin or austen (name);austin
奧斯卡 奥斯卡 [01\[ ào sī kǎ\]]	oscar
奧斯卡金像獎 奥斯卡金像奖 [01\[ ào sī kǎ jīn xiàng jiǎng\]]	oscars;cl:屆|届[jie4]
奧斯威辛 奥斯威辛 [01\[ ào sī wēi xīn\]]	auschwitz (concentration camp)
奧斯威辛集中營 奥斯威辛集中营 [01\[ ào sī wēi xīn jí zhōng yíng\]]	auschwitz concentration camp
奧斯曼 奥斯曼 [01\[ ào sī màn\]]	ottoman (empire)
奧斯曼帝國 奥斯曼帝国 [01\[ ào sī màn dì guó\]]	the ottoman empire
奧斯汀 奥斯汀 [01\[ ào sī tīng\]]	austin or austen (name);austin
奧斯瓦爾德 奥斯瓦尔德 [01\[ ào sī wǎ ěr dé\]]	oswald
奧斯陸 奥斯陆 [01\[ ào sī lù\]]	oslo (capital of norway)
奧林匹亞 奥林匹亚 [01\[ ào lín pǐ yà\]]	olympia (greece)
奧林匹克 奥林匹克 [01\[ ào lín pǐ kè\]]	olympic
奧林匹克精神 奥林匹克精神 [01\[ ào lín pǐ kè jīng shén\]]	olympic spirit
奧林匹克運動會 奥林匹克运动会 [01\[ ào lín pǐ kè yùn dòng huì\]]	olympic games;the olympics
奧林匹克運動會組織委員會 奥林匹克运动会组织委员会 [01\[ ào lín pǐ kè yùn dòng huì zǔ zhī wěi yuán huì\]]	olympic organizing committee;abbr. to 奧組委|奥组委
奧林匹克體育場 奥林匹克体育场 [01\[ ào lín pǐ kè tǐ yù chǎng\]]	olympic stadium
奧爾巴尼 奥尔巴尼 [01\[ ào ěr bā ní\]]	albany
奧爾布賴特 奥尔布赖特 [01\[ ào ěr bù lài tè\]]	(madeleine) albright (us secretary of state)
奧爾良 奥尔良 [01\[ ào ěr liáng\]]	orléans
奧特曼 奥特曼 [01\[ ào tè màn\]]	japanese science fiction superhero ultraman ウルトラマン
奧祕 奥秘 [01\[ ào mì\]]	profound;deep;a mystery
奧米伽 奥米伽 [01\[ ào mǐ gā\]]	omega (greek letter ωω)
奧米可戎 奥米可戎 [01\[ ào mǐ kě róng\]]	omicron (greek letter οο)
奧組委 奥组委 [01\[ ào zǔ wěi\]]	olympic organizing committee;abbr. for 奧林匹克運動會組織委員會|奥林匹克运动会组织委员会
奧維耶多 奥维耶多 [01\[ ào wéi yē duō\]]	oviedo (asturian: uviéu)
奧蘭多 奥兰多 [01\[ ào lán duō\]]	orlando
奧西娜斯 奥西娜斯 [01\[ ào xī nuó sī\]]	oceanus
奧蹟 奧蹟 [01\[ ào jī\]]	variant of 奥迹|奧迹
奧迪 奥迪 [01\[ ào dí\]]	audi
奧迪修斯 奥迪修斯 [01\[ ào dí xiū sī\]]	odysseus
奧運 奥运 [01\[ ào yùn\]]	abbr. for 奧林匹克運動會|奥林匹克运动会;olympic games;the olympics
奧運供貨商 奥运供货商 [01\[ ào yùn gōng huò shāng\]]	supply of olympic merchandise
奧運會 奥运会 [01\[ ào yùn huì\]]	abbr. for 奧林匹克運動會|奥林匹克运动会;olympic games;the olympics
奧運村 奥运村 [01\[ ào yùn cūn\]]	olympic village
奧運賽 奥运赛 [01\[ ào yùn sài\]]	olympic competition
奧里薩邦 奥里萨邦 [01\[ ào lǐ sà bāng\]]	orissa
奧陶紀 奥陶纪 [01\[ ào táo jì\]]	ordovician (geological period 495-440m years ago)
奧馬哈 奥马哈 [01\[ ào mǎ hā\]]	omaha (name of several us towns
奧馬爾 奥马尔 [01\[ ào mǎ ěr\]]	omar (arabic name)
奧黛莉 奥黛莉 [01\[ ào dà lì\]]	audrey;variant of 奧黛麗|奥黛丽
奧黛麗 奥黛丽 [01\[ ào dà lì\]]	audrey
奨 奨 [01\[ jiǎng\]]	japanese variant of 奬|奖
奩 奁 [01\[ lián\]]	bridal trousseau
奪 夺 [01\[ duó\]]	to rob;to snatch
奪取 夺取 [01\[ duó qǔ\]]	snatch
奪得 夺得 [01\[ duó dé\]]	to force one's way;to achieve by force;to seize (power)
奪標 夺标 [01\[ duó biāo\]]	to compete for first prize
奪目 夺目 [01\[ duó mù\]]	dazzle the eyes
奪走 夺走 [01\[ duó zǒu\]]	to snatch away
奪魁 夺魁 [01\[ duó kuí\]]	to seize;to win
奫 奫 [01\[ yūn\]]	deep and broad (expanse of water);abyss
奬 奬 [01\[ jiǎng\]]	variant of 獎|奖
奭 奭 [01\[ shì\]]	angry;surname shi
奮 奋 [01\[ fèn\]]	exert oneself
奮不顧身 奋不顾身 [01\[ fèn bù gù shēn\]]	to dash ahead regardless of the danger
奮力 奋力 [01\[ fèn lì\]]	to do everything one can;to spare no effort;one's best
奮勇 奋勇 [01\[ fèn yǒng\]]	dauntless;to summon up courage and determination;using extreme force of will
奮戰 奋战 [01\[ fèn zhàn\]]	to fight bravely
奮武揚威 奋武扬威 [01\[ fèn wǔ yáng wēi\]]	a show of strength
奮發 奋发 [01\[ fèn fā\]]	to rouse to vigorous action;energetic mood
奮發圖強 奋发图强 [01\[ fèn fā tú qiáng\]]	to work energetically for prosperity (of the country)
奮筆疾書 奋笔疾书 [01\[ fèn bǐ jí shū\]]	to write at a tremendous speed
奮起 奋起 [01\[ fèn qǐ\]]	to rise vigorously;a spirited start
奮起直追 奋起直追 [01\[ fèn qǐ zhí zhuī\]]	to catch up vigorously;to set off in hot pursuit
奮進 奋进 [01\[ fèn jìn\]]	endeavor
奮進號 奋进号 [01\[ fèn jìn hào\]]	space shuttle endeavor
奮飛 奋飞 [01\[ fèn fēi\]]	to spread wings and fly
奮鬥 奋斗 [01\[ fèn dòu\]]	strive;struggle
奰 奰 [01\[ bì\]]	anger
女 女 [01\[ nǚ\]]	female;woman
女主人 女主人 [01\[ nǚ zhǔ rén\]]	hostess;mistress
女人 女人 [01\[ nǚ rén\]]	woman
女佣 女佣 [01\[ nǚ yòng\]]	(female) maid
女修道 女修道 [01\[ nǚ xiū dào\]]	convent
女修道張 女修道张 [01\[ nǚ xiū dào zhāng\]]	abbess
女修道院 女修道院 [01\[ nǚ xiū dào yuàn\]]	convent
女兒 女儿 [01\[ nǚ ér\]]	daughter
女公子 女公子 [01\[ nǚ gōng zǐ\]]	noble lady;(honorific) your daughter
女功 女功 [01\[ nǚ gōng\]]	working woman;needlework
女友 女友 [01\[ nǚ yǒu\]]	a girlfriend
女士 女士 [01\[ nǚ shì\]]	lady;madam
女娃 女娃 [01\[ nǚ wá\]]	mythological daughter of fiery emperor 炎帝 who turned into bird jingwei 精衛|精卫 after drowning
女婿 女婿 [01\[ nǚ xu\]]	daughter's husband／son-in-law
女媧 女娲 [01\[ nǚ wā\]]	nüwa (creator of humans in chinese mythology)
女媧氏 女娲氏 [01\[ nǚ wā shì\]]	nüwa (creator of humans in chinese mythology)
女嬰 女婴 [01\[ nǚ yīng\]]	female baby
女子 女子 [01\[ nǚ zǐ\]]	woman;female
女孩 女孩 [01\[ nǚ hái\]]	girl;lass
女孩兒 女孩儿 [01\[ nǚ hái 5r\]]	daughter
女孩子 女孩子 [01\[ nǚ hái zǐ\]]	girl
女學生 女学生 [01\[ nǚ xué shēng\]]	schoolgirl
女家 女家 [01\[ nǚ jiā\]]	bride's family (in marriage)
女工 女工 [01\[ nǚ gōng\]]	working woman;needlework
女巫 女巫 [01\[ nǚ wū\]]	witch
女強人 女强人 [01\[ nǚ qiáng rén\]]	successful career woman;able woman
女性 女性 [01\[ nǚ xìng\]]	the female sex;a woman
女性主義 女性主义 [01\[ nǚ xìng zhǔ yì\]]	feminism
女房東 女房东 [01\[ nǚ fáng dōng\]]	landlady
女按摩師 女按摩师 [01\[ nǚ àn mó shī\]]	masseuse
女排 女排 [01\[ nǚ pái\]]	women's volleyball;abbr. of 女子排球
女方 女方 [01\[ nǚ fāng\]]	the bride's side (of a wedding);of the bride's party
女書 女书 [01\[ nǚ shū\]]	nü shu writing
女朋友 女朋友 [01\[ nǚ péng you\]]	female friend;girlfriend
女服務員 女服务员 [01\[ nǚ fú wù yuán\]]	stewardess
女歌手 女歌手 [01\[ nǚ gē shǒu\]]	female singer
女演員 女演员 [01\[ nǚ yǎn yuán\]]	actress
女王 女王 [01\[ nǚ wáng\]]	queen
女生 女生 [01\[ nǚ shēng\]]	female students
女生外向 女生外向 [01\[ nǚ shēng wài xiàng\]]	woman's duty to get married (in former times);woman's orientation to her husband's family (traditional confucian assumption)
女用內衣 女用内衣 [01\[ nǚ yòng nèi yī\]]	chemise
女皇 女皇 [01\[ nǚ huáng\]]	empress
女皇帝 女皇帝 [01\[ nǚ huáng dì\]]	empress;refers to tang empress wuzetian 武則天|武则天 (624-705)
女真 女真 [01\[ nǚ zhēn\]]	nüzhen or jurchen
女眷 女眷 [01\[ nǚ juàn\]]	the females in a family;womenfolk
女神 女神 [01\[ nǚ shén\]]	goddess;nymph
女童 女童 [01\[ nǚ tóng\]]	small girl
女管家 女管家 [01\[ nǚ guǎn jiā\]]	housekeeper
女紅 女红 [01\[ nǚ hóng\]]	needlework
女繼承人 女继承人 [01\[ nǚ jì chéng rén\]]	inheritress
女舍監 女舍监 [01\[ nǚ shè jiān\]]	matron
女色 女色 [01\[ nǚ sè\]]	female charms;femininity
女英雄 女英雄 [01\[ nǚ yīng xióng\]]	heroine
女裝 女装 [01\[ nǚ zhuāng\]]	women's clothes
女裝裁縫師 女装裁缝师 [01\[ nǚ zhuāng cái feng shī\]]	dressmaker
女襯衫 女衬衫 [01\[ nǚ chèn shān\]]	blouse
女警 女警 [01\[ nǚ jǐng\]]	a policewoman
女警員 女警员 [01\[ nǚ jǐng yuán\]]	a policewoman
女陰 女阴 [01\[ nǚ yīn\]]	vulva;pudenda
女高音 女高音 [01\[ nǚ gāo yīn\]]	soprano
奴 奴 [01\[ nú\]]	slave
奴僕 奴仆 [01\[ nú pú\]]	servant
奴兒干 奴儿干 [01\[ nú ér gān\]]	part of heilongjiang and the vladivostok area ruled by the ming dynasty
奴兒干都司 奴儿干都司 [01\[ nú ér gān dū shī\]]	the ming dynasty provincial headquarters in the heilongjiang and vladivostok area
奴工 奴工 [01\[ nǔ gōng\]]	slave labor
奴役 奴役 [01\[ nú yì\]]	to enslave;slavery
奴隸 奴隶 [01\[ nú lì\]]	slave
奴隸主 奴隶主 [01\[ nú lì zhǔ\]]	slave owner
奴隸制 奴隶制 [01\[ nú lì zhì\]]	slavery
奴隸制度 奴隶制度 [01\[ nú lì zhì dù\]]	slavery
奴隸社會 奴隶社会 [01\[ nú lì shè huì\]]	slave-owning society (precedes feudal society 封建社會|封建社会 in marxist theory)
奴顏婢膝 奴颜婢膝 [01\[ nú yán bì xī\]]	servile and bending the knee (成语 saw); fawning;bending and scraping to curry favor
奶 奶 [01\[ nǎi\]]	breast;lady;milk
奶制品 奶制品 [01\[ nǎi zhì pǐn\]]	dairy product
奶嘴 奶嘴 [01\[ nǎi zuǐ\]]	nipple;teat (on baby's bottle)
奶嘴兒 奶嘴儿 [01\[ nǎi zuǐ 5r\]]	erhua variant of 奶嘴
奶奶 奶奶 [01\[ nǎi nai\]]	(informal) father's mother; paternal grandmother
奶子 奶子 [01\[ nǎi zi\]]	breast
奶昔 奶昔 [01\[ nǎi xī\]]	milkshake
奶水 奶水 [01\[ nǎi shuǐ\]]	mother's milk;also fig. the hand that feeds you
奶油 奶油 [01\[ nǎi yóu\]]	cream
奶油菜花 奶油菜花 [01\[ nǎi yóu cài huā\]]	creamed cauliflower
奶牛 奶牛 [01\[ nǎi niú\]]	milk cow;dairy cow
奶牛場 奶牛场 [01\[ nǎi niú chǎng\]]	dairy farm
奶瓶 奶瓶 [01\[ nǎi píng\]]	baby's feeding bottle
奶粉 奶粉 [01\[ nǎi fěn\]]	powdered milk
奶罩 奶罩 [01\[ nǎi zhào\]]	bra;brassière
奶茶 奶茶 [01\[ nǎi chá\]]	milk tea
奶酪 奶酪 [01\[ nǎi lào\]]	cheese
奶頭 奶头 [01\[ nǎi tóu\]]	nipple;teat (on baby's bottle)
奸 奸 [01\[ jiān\]]	traitor;crafty and evil person;villain
奸佞 奸佞 [01\[ jiān nìng\]]	crafty and fawning
奸商 奸商 [01\[ jiān shāng\]]	an unscrupulous businessman;a profiteer;a shark;dishonest business
奸宄 奸宄 [01\[ jiān guǐ\]]	an evil-doer;a malefactor
奸官 奸官 [01\[ jiān guān\]]	a treacherous official;a mandarin who conspires against the state
