of a similar kind	29-39202-B
of a tree etc	22-58518-S
of a tree or beam	34-16860-S
of a tree trunk	12-34246-S
of a triangle	16-1002-S
of a tribe	42-3343-S,42-3795-S,42-8594-S,42-17560-S,42-22720-S,42-26738-S,63-30936-S,68-6276-S,68-8352-S
of a tripod	71-47047-S
of a turn of events not too encouraging	2-4089-B
of a turtle	71-63752-S
of a tv series etc episode	66-56500-S
of a two hour watch old	71-37621-S
of a university etc	66-20498-S
of a university or college	65-33263-S
of a variety of dog	42-17485-S
of a vault	27-48230-S,27-48732-S
of a vehicle	61-8178-S,63-55321-S
of a vehicle or machine	35-5222-S
of a verb	13-53157-S
of a very few	30-19756-S
of a victory	28-9186-S
of a village	63-30744-S,65-49229-S
of a visit	43-52656-S
of a vortex	39-3074-S
of a wagon	60-60253-S
of a wall	41-43881-S
of a warship	53-39972-S
of a watch or clock	29-30840-S
of a wave motion	3-71887-S
of a way to accomplish sth	58-2103-S
of a way to do sth	25-25890-S
of a web browser	51-39605-S
of a website	50-5430-S,69-24468-S
of a wedding	18-20912-S
of a well 成语 saw	3-56522-S,15-50753-S
of a wheel	21-48898-S,52-19085-S,61-18375-S
of a wheel accommodating the axle archaic	35-10685-S
of a wheel archaic	61-20322-S
of a whole	63-22791-S
of a whole page	41-45442-S
of a widow	27-37113-S,50-44309-S
of a wild tribe	59-27655-S
of a window	47-55335-S
of a window a sill	35-19717-S
of a wine	63-45922-S,63-51680-S
of a woman	6-2827-S,25-15893-S
of a woman s appearance	13-35409-S,58-8413-S
of a woman s bearing graceful	18-51721-B
of a word	12-4895-S,23-29944-S,58-10310-S,58-11093-S
of a word by removing prefix and suffix	58-10961-S
of a word or technical notion	7-29553-S
of a word using other words	8-63466-S
of a work team	1-9338-S
of a writer or artist	7-42451-S
of a writing brush	48-16736-S
of a writing brush or pencil	48-14813-S
of a year	1-46767-S
of a younger brother	18-51122-S
of a zip fastener	12-27264-S
of ability	2-31504-S
of ability and integrity	4-41706-S,4-44001-S
of ability mencius	20-44051-S
of abraham	4-37534-S
of abraham 亞伯拉罕 亚伯拉罕	31-27342-S
of absence	3-29097-S
of absolute necessity	54-42826-S
of abstract idea	10-24874-S
of abstract things	39-27696-S
of abuse for bad person	38-55224-S,39-8428-S
of abuse for japanese	33-20448-S,33-20543-S
of abuse for westerners	37-52357-S,37-52434-S
of abuse for younger generation	34-33207-S
of abuse in wartime china and in subsequent writing	31-9875-S
of academia sinica 中央研究院 when it was founded	29-54644-S
of accidents	62-19501-S
of accomplice	8-31206-S
of accomplishment	26-8323-S
of accumulated experience	59-52274-S
of aces in dominoes	20-49483-S
of achieve the same end	35-61662-S
of achievement etc	36-40553-S
of achim	4-37394-S
of achim in matthew 1 13	29-8000-S
of acting on imperial order	46-3500-S
of action	5-7796-S,42-20759-S,46-26482-S,53-4571-S,56-31831-S
of activity	10-2557-S
of activity or people talking	10-2557-S
of actor	20-56272-S
of actors or acrobats at a fair	62-37874-S
of actors to make up	10-24632-B
of actuals	42-50924-S
of acupoint tb10	17-43663-S
of address	4-57453-S,12-28273-S,47-35042-S,47-35104-S,65-65459-S
of address between male friends	51-25603-S
of address between males	13-42113-S
of address for a woman who is about the age of one s mother	4-58819-S
of address for old man	51-25207-S
of address for older male	51-25129-S
of address for teachers	17-63114-S
of address for the current emperor	51-44165-S
of address reserved for a queen	20-43838-S
of address to a child	21-2672-S
of admiration or of disgust	14-30023-S
of adversity or pain	28-0-S
of advice on parting	52-56186-S
of advisers on strategy	58-51404-S
of aeronautics and astronautics	10-27728-S
of affairs	3-29683-S,3-30881-S,21-16685-S,25-14906-S,42-3585-S,51-69940-S
of affection	25-11804-S,55-51749-S
of afghanistan	9-58948-S,14-2045-S,15-49841-S,34-31574-S,60-8388-S
of afghanistan from 2001 and president since 2004	11-13673-S
of africa	67-66358-S
of african unity	67-66588-S
of age	3-47162-S,10-59352-S,22-48982-S,49-44883-S
of age ceremony at 20 years	9-51588-S
of agriculture	61-41071-S,61-41561-S,61-41783-S
of agriculture disastrous policy of communist russia around 1930 and china in the 1950s	4-11991-S
of agriculture in ancient philosophy	1-56309-S,64-1540-S
of agriculture in marxist theory	61-40953-S,61-41367-S
of agriculture under communism	61-41852-S,66-60439-S
of ahaz	22-21942-S
of aigun	43-3975-S
of air	29-7752-S,36-28910-S,47-48423-S
of air force	47-50044-S
of air or sea voyage	53-34440-S
of air or sea voyages	53-34334-S
of air sucked between the teeth	14-32748-S
of airborne or space operation	15-46401-S
of aircraft	35-4854-S,36-28910-S
of airport	41-32293-S
of airport workers	28-26451-S
of alarm	14-32700-S
of alaska almost down to kamtchatka	66-9774-S
of albania	15-40859-S
of alexandria 3rd century ad	8-48666-S
of alexandria c 300 bc	35-27520-S,35-27604-S
of algebra	4-31351-S
of alignment	64-47761-S
of all	7-3158-S,68-48880-S,69-21253-S
of all forms of discrimination against women	38-33701-S
of all kinds	1-26568-B
of all kinds and sorts	12-29339-B
of all one s immediate relatives 成语 saw	7-69294-S
of all possible worlds	45-7946-S
of all setbacks	44-54337-S
of all the others	54-26480-S
of all time	35-51671-B
of all trades and master of none	11-9212-S
of all trades and professions	3-54633-S
of all x not in set s	69-17403-S
of allegiance	29-62394-S,49-4780-S
of alliance	45-7436-S,45-7521-S
of amaziah	40-40282-S
of ambition	47-49302-S
of america	7-40904-S,51-2250-S,51-2660-S
of america radio	51-2739-S
of american states	51-7520-S
of amino acids making up protein	52-15811-S
of amminadab	27-55739-S
of ammunition and no food left 成语 saw	23-49491-S
of ammunition and no hope of reinforcements 成语 saw	23-49352-S
of amos	49-7798-S,66-4948-S
of amp	24-18635-S,24-18725-S
of amusement parks and attractions caapa	2-64411-S
of an abbreviated slogan or catchphrase	1-29511-S
of an academy	62-13730-S,66-20214-S
of an accident	6-44927-S,35-56832-S
of an actor in a play	56-60349-S
of an actor or actress	55-32370-S
of an actor or actress in costume or makeup	26-54795-S
of an age	22-47192-S,32-59434-S
of an agenda	19-30355-S
of an agreement	57-33917-S
of an alliance or union	9-58460-S
of an amount	58-20384-S
of an ancestor	7-3805-S
of an ancient city	59-26531-S,63-15497-S,63-21573-S,63-24883-S,63-36233-S
of an ancient river	36-64685-S,63-14773-S
of an ancient state	12-9947-S,18-44379-S,18-44813-S,55-55775-S
of an ancient tribe	36-17876-S
of an animal	26-15854-S,52-31970-S
of an annotated book	44-39498-S
of an arch	47-44771-S,50-62388-S
of an argument	3-7825-S,58-54885-S
of an army	3-3980-S,42-1266-S
of an arrangement or plan	67-23076-S
of an art	58-531-S
of an attack	27-68512-S
of an author or artist	4-33145-S
of an automatic firearm	23-47765-S
of an autonomous region	69-22273-S
of an award	42-16766-S
of an awl	64-43074-S
of an axe	64-31213-S
of an egg shaped chamber with holes	16-21376-S
of an electric device e g a 100 watt light bulb	67-25955-S
of an embarrassing situation	53-20866-S
of an emergency	68-24662-S
of an empire	57-28444-S
of an empress	18-58365-S
of an enclosure	47-52975-S
of an endless stream	21-50189-S
of an equation	3-43605-S,57-51814-S
of an era	49-2573-S
of an ethnic group	6-52170-S,56-4088-S
of an ethnic group in guangxi	6-52080-S
of an event from beginning to end	32-64546-S
of an evil practise refers to mencius 孟子	18-38317-S
of an expedition	23-64602-S
of an explosion	14-30770-S
of an expression	23-30028-S
of an eye	1-8366-S,1-15617-S,9-26757-S,23-48555-S,23-48663-S,31-514-S,45-59562-S,61-26020-S,61-26099-S,61-27340-S
of an idea or an organization	31-3456-S
of an idea or school of thought	6-2278-S
of an illness	44-8845-S,44-10142-S,44-10428-S,44-10647-S,44-11567-S,44-12889-S,58-23955-S
of an immortal	6-49658-S
of an important mission	24-44065-S
of an incident	3-31297-S
of an individual	13-33582-S
of an infant s skull	14-58780-S,14-58856-S,14-58954-S
of an infection	6-37109-S
of an injury	6-43549-S
of an injustice	8-14284-S
of an inner room	65-58220-S
of an institute etc	26-29992-S
of an institution etc	9-37763-S
of an institution of learning	19-17182-S
of an instrument	23-34626-S
of an integer	14-60484-S
of an investigation	58-38328-S
of an item	12-57312-S
of an lushan 安禄山 and shi siming 史思明	19-25182-S
of an object	48-57818-S
of an official	7-58245-S,7-58297-S,13-34044-S
of an old person	16-39419-S
of an old town in sichuan	21-48898-S
of an organization	12-57482-S,28-27381-S,32-25849-S
of an overturned cart	24-1970-S
of an overturned cart 成语 saw	64-1165-S
of anatomy	11-37303-S
of ancestor worship	26-62739-S
of ancestors	47-39866-S,58-64389-S
of ancestry	48-43607-S
of ancient china	2-55115-S,3-56914-S,14-48176-S,17-69044-S
of ancient chinese civilization	15-4248-S
of ancient district	63-35784-S
of ancient greece	47-19545-S
of ancient sages	6-41853-S
of and confiscate a criminal s possessions	33-45889-S
of anger	5-8853-S,13-16655-S,36-31513-S,58-16643-S
of angle	35-34026-S,35-34223-S,35-36458-S,69-14968-S,69-15021-S,69-15656-S
of angle or arc equivalent to one sixtieth of a degree	47-21774-S
of angola	50-56843-S,54-43826-S
of animal	3-27845-S,52-20317-S,60-40600-S,60-51774-S,64-23491-S
of animal species	47-32047-S,47-33468-S
of animals	3-68033-S,9-69259-S,10-592-S,13-47335-S,13-53268-S,21-45791-S,44-17509-S,52-19374-S,71-10399-S
of animals or plants	47-33723-S
of animate nouns	5-54849-S
of annals	50-20070-S
of annelid worms	43-6615-S
of annoyance or frustration	45-42786-S
of another	67-15405-S
of another character	51-65821-S
of another religion	43-61722-S
of anticommunist propaganda	11-44661-S
of anvil	57-45447-S
of any difficulty 成语 saw	60-15458-S
of any help	2-17826-S
of any importance	2-19338-S
of anything going wrong	44-54922-S
of anything under the sun	58-41092-S
of aphrodite and ares	2-43022-S
of apparel	21-11923-S
of apparent power in alternating current circuits	4-53449-S
of appeals to higher court	20-22102-S
of appearance	29-45428-S
of apple which is slightly sour and astringent	35-15119-S
of appointing national minority hereditary headmen in the yuan	15-30019-S
of approval	14-35994-S
of approx age or number	14-497-S
of approximation	61-47645-S
of apricot trees	33-6563-S
of arable land	27-28249-S
of arches above side aisle vaulting in the nave of a church	27-48426-S
of area 10 feet square	30-61426-S
of area equal to 0 093 square meters	22-41594-S
of area equal to 100 mu 畝 亩 or 6 6667 hectacres	68-21088-S
of area equal to one fifteenth of a hectare	43-53921-S
of argentina	22-14623-S
of argument	68-26054-S,71-38769-S
of arithmetic	9-57689-S
of arizona	3-58032-S
of armed rebellion	11-65738-S
of armenia	15-60417-S
of armor	27-11660-S,70-48104-S
of arms	9-45903-S,15-8610-S,24-30112-S,24-30409-S,35-46693-S,47-37016-S,49-14720-S
of army	39-64195-S
of arrangement	50-20280-S
of arrival	7-3279-S
of arrogance	6-32819-S
of arrows	70-4306-S
of arrows 成语 saw	45-53565-S
of art	5-6069-S,18-35476-S,25-33749-S,44-32137-S,51-8769-S,55-32597-S,68-991-S
of art or literature	34-0-S
of artemisia	55-13496-S
of artisan	5-6170-S
of arts	8-23742-S
of artwork	2-19765-S
of artworks	29-42586-S
of artworks etc	69-29803-S
of asian descent	3-63810-B
of asian people	63-63146-S,63-63270-S
of assam and bangladesh	66-56357-S
of assizes	21-51062-S
of association	49-43148-S
of association etc	46-50509-S
of association football	15-19717-S
of association of company	47-63937-S
of asteracea family daisies and chrysanthemums	32-68192-S
of astronomy official title from the tang dynasty onwards	12-23958-S
of atmospheric pollution	26-2647-S
of atomic scientists	11-32422-S
of atonement jewish holiday	60-4779-S
of attrition	38-31752-S
of audience	52-1151-S
of august	2-49271-S,32-59654-S
of august december 1940	44-52173-S
of australia	40-2824-S,40-2927-S,57-20139-S
of austria	30-66669-S,30-66748-S,50-949-S
of authority	25-6841-S,35-19210-S,38-45774-S
of authors	38-59478-S
of automobile	60-60040-S
of autumn	47-15377-S,47-61675-S,68-59699-S
of average values	15-48305-S
of ax	33-47539-S
of axle	61-1795-S
of axle outside of hub	61-5677-S
of azerbaijan	22-5461-S
of azor and father of achim in matthew 1 13	29-8000-S
of azov in southern russia	3-64301-S
of baarin züün khoshuu	22-7315-S,22-7402-S
of babies	58-19786-S
of bacteria	33-67971-S,68-5256-S
of bad food	12-27037-S
of bad harvest	25-22000-S
of bahrain	69-40724-S,71-12453-S
of baicheng city 白城市	37-62415-S,37-62491-S
of baihe 白河 in henan	38-48013-S,38-48097-S,52-14291-S
of baihua 白话 in some context in beijing opera	68-17980-S
of balance	34-8882-S
of balance after stroke	51-6396-S
of balance sheet	35-17949-S
of bales of cloth	49-48008-S,49-48071-S
of bali	22-9480-S,22-9899-S
of bamboo	48-1911-S,48-17128-S,48-20058-S,48-22320-S,48-22556-S,48-27563-S,48-32942-S,48-35521-S,48-43998-S,53-65866-S
of bamboo or wood	34-45422-S
of bamboo or wood railings	48-44944-S
of bamboo plant	48-32770-S
of bamboo strips	33-48656-S,48-3890-S
of banded marble	46-8557-S
of bandits	14-29310-S,14-44222-S
of bangladesh	62-52799-S
of bank or store	8-57893-S
of bankrupcy	50-62628-S
of banks	69-28427-S
of banner	50-36852-S
of baoji city 寶雞 宝鸡 in shaanxi	66-26644-S
of barbados	22-17657-S
of barbarian emissary	56-23564-S
of barbarians	17-68782-S
of bastard	42-33182-S
of batteries	37-12143-S
of bavaria	25-46617-S
of bean curd	59-17539-S
of becoming civilized	65-30761-S
of bed	48-8151-S
of bees	1-16401-S
of beggars	2-37064-S
of behavior	57-33045-S
of beijing	2-83994-S,3-55249-S,3-64507-S,7-50778-S,7-50862-S,10-28235-S,10-35053-S,13-22818-S,15-13262-S,19-26838-S,24-15819-S,30-64114-S,31-22362-S,32-45491-S,32-49770-S,33-22135-S,36-50360-S,45-13738-S,57-21153-S,62-9495-S,62-9560-S,65-58609-S
of beijing at different periods	10-31324-S
of beijing from 1925	61-8699-S
of beijing municipality	17-32770-S,20-6389-S,21-42155-S,22-45150-S,23-17547-S,26-1017-S,26-26861-S,31-20754-S,33-16796-S,46-6502-S,57-14525-S,65-24223-S,68-26368-S
of beijing of 1860 between qing china and tsarist russia	2-49566-S
of beijing of 1901 ending the 8 nation intervention after the boxer uprising	61-32413-S
of beijing opera	14-48269-S
of being afraid of	18-28296-S
of being consumed	28-52839-S
of being hanged upside down 成语 saw	5-56342-S,5-56503-S,5-56663-S
of being inferior 成语 saw	53-5973-S
of being looked after in old age	69-10433-S
of being magnetized	12-15464-S
of being paid i e sb should pay me	5-61157-S
of belarus	31-24166-S
of belgium	22-19117-S
of beliefs	62-51187-S
of belize	59-30519-S
of bell	1-25915-S,14-10796-S
of bell and drum	68-16978-S
of bell arch 	65-6086-S
of bells etc	14-33986-S
of bengal	19-10406-S
of benxi city 本溪市 本溪市	11-2805-S,11-2888-S,22-39675-S,22-39792-S,31-23467-S,31-23554-S,59-15856-S,59-15935-S
of berlin	33-41248-S
of best sellers	28-17986-S
of bethlehem in biblical nativity story	29-64167-S
of betrothed	19-22116-S
of beyond	66-46940-S
of bhutan	23-19955-S
of big five a461	71-64370-S
of big tree archaic	35-17536-S
of billows	40-19508-S
of billows or clouds	51-22221-S
of biographies	12-53708-S
of bird	13-29342-S,14-23657-S,37-60101-S,41-28315-S,51-15487-S
of bird or reptile	37-28100-S
of bird s wings	51-24191-S
of birds	13-10260-S,13-53678-S,13-57355-S,14-23292-S,14-43546-S,31-15453-S,34-24098-S,46-53843-S,46-53903-S,51-19864-S,52-19374-S,70-51242-S,70-52799-S,70-57214-S
of birds and flowers	53-61711-S
of birds or insects	14-35627-S
of birth	8-42457-S,8-42529-S,43-31973-S
of birth and death of historical figure	43-18778-S
of birth of the children in a family or to indicate affection or familiarity	51-24509-S
of biscay spanish mare cantabrico	15-49653-S
of black and white in tv screen setup	20-51591-S
of black fish archaic	70-46351-S
of blade	8-48933-S
of blockage	5-58954-S
of blood	8-28005-S,50-49431-S,56-26360-S,56-26513-S,56-27338-S,56-28854-S,56-30143-S
of blood after killing sb	56-23856-S,56-29852-S
of blood esp after childbirth	56-25196-S
of blood or other fluids	44-16612-S
of blood symbol of extreme suffering	56-26909-S
of blood used in medical research	56-29766-S
of blood vessels	52-30078-S,56-27500-S
of blossom 成语 saw	33-50232-S
of blue	67-53906-S
of blue green algae	55-29997-S,55-30150-S
of board of rites confucian	47-9481-S
of boat	53-37186-S,53-37484-S,53-38967-S
of boaz	14-4486-S
of boaz and ruth	5-31589-S
of body	19-40239-S,52-28828-S,52-38549-S,52-47385-S
of body and mind	19-31466-S
of body or limbs	63-42357-S
of body tissue	14-34966-S
of body tissues with electric current	40-42463-S
of body to its surroundings	20-51709-S
of boeing	58-49565-S
of boiling water	65-32678-S
of bole city	11-8305-S
of bolivia	27-22545-S
of bone	70-1827-S
of bone like material	70-1042-S
of bone marrow	62-19115-S
of bone setting	35-40424-S
of bones	70-3213-S,70-3450-S
of bonn	37-38683-S
of book	63-3501-S
of book of records	12-39836-S
of bookkeeping	48-60131-S
of books	11-66768-S
of books and papers	11-26776-S
of books compiled during qing dynasty	14-49928-S
of books etc	32-10258-S
of books 成语 saw	28-13280-S
of borneo	9-59411-S
of bosnia and herzegovina	55-24468-S
of both parties	7-46650-S
of botswana	13-37447-S,14-28259-S
of bounds	8-37314-S,8-43933-S
of bounds sport	8-42958-S
of bow	23-34030-S,23-46595-S
of bowels	28-17213-S
of brain damage	17-67371-S
of brain function	52-39532-S
of branch	33-12602-S,34-15097-S
of brazil	22-9994-S
of breath	1-51146-S
of breath due to poor lung capacity	36-27173-S
of brides	48-13676-S
of bridge	16-7033-S
of brilliance	41-6302-S
of brilliant young person 成语 saw	68-39880-S
of broken bones	64-47761-S
of brotherhood	51-13357-S
of brotherhood in the peach garden	34-2797-S
of brothers	4-57453-S,4-57644-S,18-36815-S
of brow	45-35797-S
of brown white striped chalcedony	50-46040-S
of bruises	62-42714-S
of bruising	38-44348-S
of brunei	30-42984-S
of buddh monks	15-23228-S
of buddha	5-5039-S,6-37664-S,14-37580-S,14-47845-S,24-49978-S,71-37021-S
of buddha or a god	45-45036-S
of buddha or bodhisattva	5-3263-S
of buddha s law	20-30514-S
of buddha sect of tibetan buddhist	14-38717-S
of buddhism	17-44689-S
of buddhism namely	1-33773-S
of buddhism namely mt wutai 五臺山 五台山 in shanxi	14-47586-S
of buddhist	26-47657-S
of buddhist hell while still alive	4-17753-S
of buddhist incense in the summer palace 頤和園 颐和园	5-5239-S
of buddhist law	59-5015-S
of buddhist monk	9-16107-S
of budding talent	9-1674-S,9-1737-S,9-1864-S
of building	5-55804-S,5-57799-S,15-57252-S,15-68203-S,16-17736-S,34-50793-S,36-28593-S
of building in an earthquake	28-53886-S
of buildings for new project	38-60661-S
of bulgaria	49-27910-S
of bundle of electrons in vaccuum tube	30-8650-S
of burden	11-27503-S,41-49617-S,69-45177-S
of bureaucracy	19-56723-S,26-62324-S
of burkina faso	43-10323-S
of burning sulfur	40-22068-S
of burrowing insects of order orthoptera	56-15283-S
of burundi	22-16936-S
of bus	61-7251-S
of business	8-25622-S,21-54484-S,35-25037-S,41-31760-S
of business administration mba	4-46725-S,21-54562-S
of business and economics	69-24120-S
of business letter	3-31297-S
of business studies	13-59109-S
of business transactions	3-70071-S
of butter	63-47527-S
of bygone years that has vanished	3-65946-S
of byzantium	12-64217-S
of cabbage etc	22-35616-S
of cable car	12-44003-S
of cake	27-54093-S
of calamities	40-26960-S
of calculation	48-24244-S
of calculation addition	62-40818-S
of calculus	24-20386-S
of california	9-51952-S
of call	6-17702-S
of calligraphy	32-12090-S,68-59260-S
of calligraphy or painting	52-57203-S,55-3809-S
of calligraphy or painting etc	52-57658-S
of cambodia	27-25996-S,33-47238-S,57-14282-S,64-15754-S
of cambridge	9-44047-S
of camel s hair	56-55599-S
of camera	63-58549-S
of cameroon	66-55197-S,66-55736-S
of camp	19-67485-S
of canada	39-2885-S
of cancer	10-29622-S
of canterbury	15-50241-S
of cantonese and other southern languages	3-20412-S
of cao cao s armies	65-12079-S
of cap	43-4418-S,50-15749-S
of capabilities in ideological education	52-27111-S
of capacity of transport system	14-39058-S
of cape verde	31-48221-S
of capillary blood vessels	50-6212-S
of capital city of king helu of wu	65-52272-S
of capping the roof to mark the completion of a building project	20-34612-S
of capricorn	10-68755-S
of car	17-61991-S,24-2223-S
of car etc	28-16532-S
of cardboard	49-22515-S
of cards	20-37102-S
of care	47-57231-S
of caribbean states	9-52891-S
of carriage	22-36448-S,61-13700-S
of carrier wave	61-8267-S
of cars	67-17367-S
of cart	61-20536-S
of cart holding the axle	61-18323-S
of cash	1-68160-S,64-44186-S,64-44313-S
of cash in money belt 成语 saw	52-42707-S
of catholic church	34-57056-S
of catholic mass	5-46076-S,13-64929-S,32-63019-S,34-41435-S,36-54115-S,51-45077-S,66-6259-S
of catholic priest	46-58489-S
of catholicism	17-43415-S
of cats	59-28176-S
of cattle	11-70754-S
of cause and effect	14-61865-S
of celebration after ramadan	65-44538-S
of celebration marking the end of ramadan	17-38030-S,52-5436-S
of cell	33-55268-S,49-33037-S
of censure	59-44738-S
of central african republic	42-46596-S
of central america	69-43967-S
of central asia	4-65964-S,4-66051-S,12-60458-S,17-20860-S,17-20956-S,31-49127-S,32-27206-S,32-27983-S,32-28069-S
of central asia first identified in 1881 by nikolai mikhailovich przevalski 普爾熱瓦爾斯基 普尔热瓦尔斯基	31-49349-S
of central beijing	42-34785-S,57-14363-S
of central myanmar burma	64-46557-S
of centralized government	2-73944-S
of cereal	47-37091-S
of cereal crops to collapse and lie flat	5-55241-B
of certain food	12-26411-S
of certain units	8-48969-S
of chad	25-3026-S
of chance	70-30256-S
of changchun city 長春市 长春市	3-42795-S,3-42880-S,11-4746-S,11-4835-S,20-24459-S,20-24552-S,49-64606-S,49-64694-S,67-2421-S,67-2516-S
of changes i ching	31-28155-S
of changes i ching 易經 易经	13-12219-S
of changes 易經 易经	7-49612-S,11-17065-S,23-52532-S
of changjiang	36-57963-S
of changjiang or yangtze river	36-57963-S
of changping of 260 bc	65-14258-S
of chaos	29-11584-S
of chaoyang city 朝陽市 朝阳市	66-64808-S,66-64898-S,71-58363-S,71-58455-S
of character	58-30682-S,68-59260-S
of character 匾	26-30109-S
of characters	71-61068-S
of charge	7-21301-S,44-35806-S
of chariot	61-8365-S
of charm and beauty	9-3784-S
of cheeks	52-41807-S
of chemical agents	38-53635-S
of chemicals	39-44754-S
of chen of the southern dynasties	66-28179-S
of chest	52-24552-S
of chiang kai shek 蔣介石 蒋介石	57-15734-S
of chiang kai shek 蔣介石 蒋介石 former kuomintang leader	2-74366-S
of chicago	53-50593-S
of chicken etc	52-35127-S
of chifeng city 赤峰市	6-61735-S,33-27775-S,49-9480-S
of chifeng 赤峰	20-16902-S,20-16973-S,33-34981-S,33-35045-S
of child	8-44147-S,13-15386-S,14-737-S
of child s crying	13-36308-S
of childbirth	43-32725-S
of children	27-68807-S,42-40459-S,67-3065-S
of children in a boarding nursery	7-41455-S
of children who enter school	7-24611-S
of chile	51-45310-S
of chili	39-2681-S
of chime stones suspended from a beam and struck as a xylophone	50-20522-S
of china	2-50728-S,2-51979-S,2-52962-S,2-53837-S,2-54320-S,2-54416-S,2-58094-S,2-59101-S,2-64206-S,2-64593-S,2-64904-S,2-80013-S,2-80512-S,2-81022-S,4-13453-S,8-12368-S,10-25344-S,10-26206-S,14-48086-S,15-12932-S,17-38805-S,17-43157-S,21-57142-S,30-45522-S,30-58409-S,38-60524-S,41-50432-S,49-8292-S,51-34311-S,61-42195-S,65-12421-S,67-28548-S,71-17602-S
of china 1912 1949	36-19773-S
of china 304 439	3-53358-S,10-44624-S
of china abbr for 中國人民銀行 中国人民银行	17-63709-S
of china avic	2-63209-S
of china boc 中国银行	2-81256-S
of china business news 華商報 华商报	54-32664-S
of china caac	2-60533-S
of china during earliest dynasties	3-18976-S
of china during tang dynasty 唐朝	65-13349-S
of china icbc	21-54683-S
of china in the late qing and under the guomindang	10-56431-S
of china in three volumes by cao yuzhang 曹余章	1-45443-S
of china internet censorship	65-62317-S
of china japanese shina	29-39311-S
of china publishing house	2-57451-S
of china s large telephone companies	50-10076-S
of china 中華人民共和國 中华人民共和国	17-38805-S
of chinese	18-46100-S,18-46208-S,18-48277-S,18-48374-S,50-38573-S,68-10428-S,68-16023-S
of chinese ancestry	54-36211-S
of chinese bone setting	28-40430-S
of chinese boxing	7-49721-S,7-49803-S
of chinese calligraphy	54-14614-S
of chinese character	51-65745-S
of chinese character as opposed to etymologically correct form 正體字 正体字	5-33212-S
of chinese character indicating the meaning	23-54964-S,25-29799-S
of chinese character used in metal inscriptions	65-804-S
of chinese character versus the etymologically correct form	5-33698-S
of chinese characters	17-42351-S,34-36539-S,48-14041-S,48-14245-S,63-59529-S
of chinese characters under radicals	63-24105-S
of chinese communist party	2-51045-S,10-43738-S
of chinese communists from 1927	21-57879-S
of chinese compound words	58-9232-S,61-36483-S
of chinese currency yuan	15-22671-S
of chinese etc extraction	56-28153-B
of chinese gown	46-52214-S,56-49099-S,56-49191-S,57-10692-S
of chinese herbal medicine	37-12890-S
of chinese historiography	1-38373-S
of chinese history	2-59775-S
of chinese literature	14-47745-S
of chinese manned rocket series divine boat	46-61261-S
of chinese manual therapy	28-30890-S
of chinese medicine	27-34205-S,27-34406-S,36-29955-S
of chinese mythology	3-20036-S,71-26321-S
of chinese opera	7-37812-S,9-40381-S
of chinese philosophy wood 木	3-54556-S
of chinese pronunciation a vowel followed by a nasal consonant	71-52526-B
of chinese pulsatilla	44-48743-S
of chinese residence	14-47326-S
of chinese script	43-42180-S,43-42322-S,43-42438-S
of chinese students	2-80337-S
of chinese syllable	48-9461-S,48-10492-S,48-11631-S,48-13220-S
of chinese two stringed fiddles	52-22229-S,52-22305-S
of chinese unicorn	71-9188-S
of chinese wolfberry lycium chinense	33-40184-S
