paid	26-60113-S
palate	24-3194-S,52-52032-B,61-2571-S,61-4862-S,68-44455-B,71-56880-B,71-56925-B,71-56952-S
palate birth defect	68-44486-S
palau	22-22238-B,22-24790-B
palau islands	22-22238-B
pale	8-43933-S,25-48158-S,38-57019-B,55-3598-B,55-3641-B,55-35308-S
pale faced scholar	44-48045-S
pale in panic 成语 saw	69-62143-S
pale or yellow complexion	55-4335-S
pale rose color	64-28342-B
pale yellow	38-58036-B
paleo organism	12-4142-B
paleobiologist	12-4270-B
paleolithic	53-28904-B
paleolithic implement	26-48844-S
paleomagnetism	12-1333-B
paleozoic geological era 545 250m years ago	12-4052-B
palestine	9-51805-S,9-52441-S,9-60345-S,22-2746-S,22-3840-B,27-55198-S,35-58087-S,42-14292-S,57-49282-S,61-50231-S
palestine liberation organization	22-4049-B
palestinian armed faction	4-49395-S
palestinian group	13-40931-S
palestinian national authority	22-3902-B
palestinian people	67-63343-S,67-63417-S
pali	22-3721-B,22-3757-B
pali thupo	38-13080-S,38-13227-S
pali village in taiwan	7-53320-S
palid	25-56192-S
palindrome	14-55911-B
paling	15-22225-B
palisade	33-54868-B
pall to cover the hearse	61-15000-S
palladium pd	64-20865-B
pallas	31-57110-B
pallet	33-52064-B
palm	11-49457-S,22-6405-B,26-33615-B,26-51252-S,27-32044-S,34-8726-B,34-21101-B,34-21649-B,34-26255-S,37-22628-S,55-1329-S
palm areca catechu	35-14981-S,35-15270-S
palm civet	42-8863-S
palm corypha umbraculifera	59-29351-S
palm leaf fan	53-53851-B
palm leaves 成语 saw	34-17009-S
palm of hand	28-13914-B
palm off an imitation	6-6677-S
palm oil	34-21436-B,34-26441-B
palm sunday christian festival one week before easter	34-21219-B
palm sunday sunday before easter	34-21129-B
palm tree	34-21331-B,34-21375-S,35-16601-B
palmas	27-23603-S
palmatus	54-59618-S
palmetto drug used to treat benign prostate hypertrophy in men	64-39681-S
palmetto name	34-21375-B
palmitic acid	61-3728-S
palms together in obeisance	29-22182-S
palms together in prayer	12-34451-S
palpitating with fear	69-61724-S
palpitation	13-49562-B,24-32936-B
palsy	52-39810-S,71-15085-B
paltrini	54-51141-S,55-27400-S
palytoxin	21-36182-B
pamir high plateau on the border between xinjiang and tajikistan	22-23513-B
pamir mountains	22-23429-S
pamir plateau	55-12751-S
pamper	18-61279-S,20-28457-S,39-25186-B
pampered	11-61174-B,18-61128-B,18-61403-B
pampered sons of an official	7-58297-B
pamphlet	19-53865-S,20-61246-B
pampus argenteus	70-44688-B
pan	5-29946-S,17-27766-S,17-37662-S,22-45709-B,36-54993-B,39-57751-S,39-57751-B,40-29202-S,43-56980-S,48-39807-S,64-49795-B,65-5613-S,69-10132-S,69-35819-S
pan an place in zhejiang	46-37121-S
pan fry	40-28927-B,41-1428-S
pan in greek mythology	41-52202-B
pan into the fire	63-6336-S
pan jinlian name lit golden lotus	39-58068-B
pan of a steelyard	47-34796-S
pan pearl river delta	36-55200-B
pan pearl river delta economic zone including the 5 provinces around guangzhou and hong kong	37-36270-S
pan used as toilet	69-39061-S
pan used for earth	43-53125-S
pan with a long handle	64-32091-B
panacea	14-51521-S,29-48739-S,51-50891-B,53-43083-B
panama	22-6216-B
panama canal	22-6330-B
panama city	22-6264-B
panasonics	33-27075-B
pancake	31-36534-S,37-23895-S,55-19145-B,55-20402-B,69-10026-S
pancetta loan from italian belly	42-47571-B
panchen lama	42-47436-S,42-47494-S
panchiao city in taiwan	33-30422-S
pancras london railway station	51-48429-S
pancreas	52-23620-B,52-23655-B,52-23794-B,52-23836-B,52-50292-B
pancreatic fluid	52-23746-B
panda	20-67389-S,20-67389-S,41-12540-B
panda ailuropoda melanoleuca	17-26974-S
panda exhibition hall	41-12581-B
panda name	71-10318-S
panda nature reserve in wenchuan county	52-55663-S
panda nature reserve 臥龍大熊貓保護區 卧龙大熊猫保护区 in wenchuan county	52-55430-S
pandeism	37-36493-B
pander to	42-26064-S
pander to overseas powers 成语 saw	21-42451-S
pander to sb s whims	65-67692-S
pandora	39-57938-B
pandora s box	39-57989-S
pane	47-55589-S
panel	17-60854-S,29-20606-S,57-54566-S,65-3311-S
panel discussion	12-37722-B
panel of a door	65-22661-S
panel of a window	47-55335-S
panel of door or screen	26-31022-B
panels	26-31022-S
panentheism	60-21745-B
pang	61-65702-S,71-62921-S
pang de 219	71-63241-B
pang huang or wandering about	23-60349-B
pang2	6-26115-S
pangcah	66-10822-S
pangea geol	37-36118-B,51-58289-B
pangjiabao district of zhangjiakou city	71-63146-B
pangolin family	70-45229-S
pangolin manis pentadactylata	46-11091-B,47-51302-B,70-45056-B,70-45137-B
pangu creator of the universe in chinese mythology	45-10437-B,45-10522-B
pangu 盤古 盘古 in the chinese creation myth	65-32821-S
panic	5-52070-S,7-68796-S,14-13916-S,24-69201-B,69-62016-B,69-62058-S,69-62233-B,69-63362-S
panic and treat everyone as an enemy	54-14773-S
panic buying	28-62385-B
panic measures in place of timely preparation	27-12591-B
panic rumor	55-54588-B
panic stricken	14-13343-B,24-69201-B
panic 成语 saw	5-52126-S,69-62143-S
panicked state	69-64046-S
panicking	54-54279-B,69-61280-S
panicky	24-69201-B,25-46108-S
paniculata	35-19400-S
panicum crus galli	47-30421-B
panicum frumentaceum	47-38096-B
panicum italicum	47-25776-B
panicum miliaceum	53-49684-B
panipat	22-22533-B
panjin city 盤錦市 盘锦市	53-25907-S,53-26009-S,67-672-S,67-771-S
panjin prefecture level city in liaoning province 遼寧省 辽宁省 in northeast china	45-12136-B,45-12258-B
panjin 盤錦 盘锦	17-29899-S,17-29966-S,45-10854-S,45-10927-S
panlong dragons in chinese mythology	56-17679-B
panmunjeom	33-31320-B
panmunjom village on the dmz between north and south korea	33-31376-B
panning for precious metals	38-42663-B
panorama	7-41540-B,45-49024-S
panoramic view	7-37694-B,50-30509-B
panshan county in panjin 盤錦 盘锦	45-10854-B,45-10927-B
panshi county in jilin	46-37406-B
panshi county level city in jilin prefecture 吉林	46-37225-B,46-37310-B
pansy	1-40063-B,1-40112-B
pant	13-47335-B,14-6146-S,14-6481-S,14-6541-S
pantanal wetland area in brazil	39-57852-B
panthalassis geol	37-36054-B
pantheism	37-36438-B
pantheon	46-61494-B
panther	51-7751-B,59-26738-B
pantholops hodgsonii	55-31532-B
panties	56-47605-B
panting	13-18447-S
panting of cow	42-1949-B
pantothenic acid	36-55370-B
pantry to store	22-59408-S
pants	41-47418-S,57-8619-B,57-8663-B
pants for infants before toilet training	65-41607-S
pants in terror 成语 saw	21-17653-S
panyu county in guangdong province	43-57173-B
panzhihua	29-31639-B,29-31727-B
pao chicken	19-57214-S
pao daily news	26-9256-S
pao newspaper hong kong	31-22818-S
paoan nationality living in gansu	5-35993-S
paochui three emperor cannon punch chinese martial art	1-38542-B
paochung village in taiwan	57-7323-S
paolo city in brazil	51-44558-S
paoshan village in taiwan	20-29429-S
pap	2-53239-S
papa	41-41441-B
papa john s a pizza chain	34-21028-B
papacy	30-2485-S
papaya	32-53714-B,43-57025-B
paper	1-62090-S,5-29669-S,5-46029-S,10-18308-S,11-26109-S,11-26486-S,11-26486-S,14-47992-S,15-27871-S,19-55266-S,20-21976-S,23-9472-S,23-37289-S,24-13531-S,28-49770-S,30-25674-S,30-63088-S,30-63088-S,31-44821-S,34-14030-S,38-35409-S,39-61141-S,40-12518-S,41-45533-S,44-37112-S,44-40480-S,45-30377-S,46-10121-S,46-10204-S,46-26135-S,47-36649-S,48-2561-S,48-20486-S,48-23303-S,49-21266-B,49-22209-B,49-22336-S,49-22586-S,49-22765-S,49-65779-S,51-32718-S,54-50469-S,54-55407-S,56-38170-S,56-38241-S,57-2780-S,57-2833-S,57-5563-S,58-12549-S,58-12549-S,58-44338-B,63-10995-S
paper and gold 成语 saw	49-23181-S,64-15617-S
paper authority	32-62606-S
paper burnt for the gods or the dead	49-23318-S
paper can t wrap fire	49-21694-S
paper clip	14-57174-B
paper cone used as hailer	49-22861-B
paper crane	49-23687-B
paper cup	49-22250-B
paper currency	49-22151-B
paper cut	9-31086-B
paper cutter	56-53777-B
paper doll	49-21515-B
paper dolls for ritual use in the shape of people or animals	49-21579-B,49-23410-B
paper e g containing proposals for new legislation	44-42701-S
paper flower	49-23031-B
paper folding	29-4504-B
paper horses	60-14718-S
paper making	62-18788-B
paper manuscript paper with squares for chinese characters	30-63088-S
paper matrix in which type is set	49-21870-B
paper money	64-21416-B,64-21472-B
paper mulberry tree	34-39267-B
paper napkin	49-22061-B,69-13388-B
paper notepad	57-65944-B
paper offerings as part of religious ceremony	41-27316-S
paper or cloth pasted together	57-7811-B
paper patten	49-22384-B
paper pattern as model in dressmaking	49-22384-B
paper prayers for the dead burnt at funerals	23-26720-B
paper prices in luoyang 成语 saw	37-57098-S
paper products	49-21811-B
paper pulp	49-22469-B
paper seal	9-54151-S
paper shredder	46-27851-B
paper tape	49-22107-B
paper taper used to light cigarette etc	49-22683-B
paper tiger	49-22976-B
paper wedding first year wedding anniversary	49-21981-B
paper with printed model characters and blank squares for writing practice	4-45729-S
paper with squares for chinese characters	30-63088-S
paper 成语 saw	49-21294-S,60-53455-S
paperboard	33-30887-B
paperboy	16-11671-B
paperclip	32-4369-B,49-21938-B
papercut silhouette	49-21515-B
paperless office	40-59407-B
papers	11-26776-S,57-29656-S,65-9381-S
papers etc	23-52911-S
papers published as one volume	66-56925-S
papers 成语 saw	16-6308-S
paperwork	58-59896-B
papillon lapdog with butterfly like ears	56-8817-B
papora or papura	22-5239-B
paprika	49-13648-B
papua new guinea	22-5139-B,27-10677-S,30-52487-B,49-18824-B,54-25900-S
papura	22-5239-S
papyrifera	34-43230-S,55-7219-S
papyrus	49-23077-B
par	4-57571-S,6-50339-S,12-45622-B
par golf	34-54476-B
par in golf	11-9886-S
par value	22-37561-B,46-64573-B,68-1132-B
par with	1-65638-S,45-28990-S,45-30627-S
par with one another	2-48124-S
para	29-26964-B
parabola	27-27915-S
paracel islands	57-19256-B
paracelsius auroleus phillipus theostratus bombastus von hohenheim	22-22592-B
paracetamol	20-46627-B
parachute	60-44482-S,66-18064-B
parachute jumping	60-44482-B
parade	4-18786-S,34-53633-S,62-38045-B
parade guards usually spaced out along parade routes	34-52379-B
parade of erudition	28-13280-S
parade one s wealth	29-31032-B
parade routes	34-52379-S
parades	35-37617-S
paradigm	48-30820-B,51-54031-B
paradise	1-55637-S,17-45334-B,34-47601-B,37-57466-B,41-30084-S,47-3176-B,55-49299-S,66-2013-S,69-50179-S
paradise buddh 	57-15021-S
paradise mainly buddhist	34-35223-B
paradox	25-7470-S
paradox from daoist classic zhuangzi 莊子 庄子	23-27144-S
paradoxical	13-20897-B,23-27144-B,23-27253-S
paradoxical or selfcontradictory expression	61-66571-S
paraffin wax	46-10319-B
paraglider	39-29286-B
paragon	8-5963-B,40-31955-S,40-54399-S,68-56703-B
paragon of virtue and learning	13-33678-S,22-26686-B
paragraph	20-65988-S,24-191-S,35-24120-B,35-65142-B,35-65493-B
paraguay	3-59533-S,3-65238-S,22-5858-B
parallax	57-35230-B
parallax second or parsec or pc	47-21874-B
parallel	1-30982-S,2-47614-S,22-44479-B,36-10527-S,50-24049-B,50-24150-B,50-24215-B
parallel and antithesis paired sentences as rhetoric device	28-15214-B
parallel bars gymnastics event	66-66606-B
parallel computing	2-47837-B
parallel connection	2-47243-B
parallel development	2-47554-S
parallel excitation	2-47062-B
parallel lines	22-44720-B
parallel postulate	22-44523-S
parallel program	2-47762-B
parallel rivers national park	1-37242-S
parallel text	54-3920-S
parallel texts	2-79687-S,2-79777-S,20-52613-S
parallel universes	16-53903-S
parallelepiped	7-69632-S,35-37212-S
parallelism grammar	28-16654-B
parallelogram	22-44637-B
paralysis	20-60896-S,26-16308-B,44-16149-B,44-16292-B,44-17311-B,44-22565-B,68-56544-B,71-15085-B
paralyze	5-16123-B
paralyzed	44-22485-B
paralyzed person	44-22517-B
paralyzing stroke	3-391-S
paramaribo capital of suriname	22-22722-B
parameter	11-39562-S,11-41103-S
parameter math	11-41103-B
parameter space	11-41200-B
parametrization	35-34143-S
parametrization by arc length of a space curve	23-35861-B
paramita buddh 	23-60796-B
paramita sanskrit supreme wisdom beginning of the heart sutra	53-36776-S
paramount	53-18643-B,53-18696-B
paramount importance	17-35403-S
paramount pictures us movie company	38-1015-B
paramour of a woman	25-15893-B
paramour of married man	25-13478-B
paramyxovirus	9-33796-B
paranasal sinus	71-52014-B
paranoia	6-11726-B,18-32950-B
parapet	5-51274-B,16-3193-B,25-55414-S,52-25180-B,66-30441-B
paraphrase	25-30505-B
paraplegia	26-16308-B
paraquat	44-56818-B
parasilurus asotus	70-41799-S,70-45345-S
parasite	12-27872-S,18-27044-S,20-1091-S,20-2211-B,20-2275-B,20-2480-B,25-20728-S,44-19205-S,56-22172-S
parasite human	20-2418-B
parasite that inhabits the gut	59-54028-S,59-54130-S
parasite with drugs	26-48644-S
parasitic	20-2211-B
parasitic bacteria	47-60494-S,56-41936-S
parasitic bacteria without cell wall	29-37692-S
parasitic drag	29-1105-B
parasitic life style	20-2328-B
parasitic miracidium flatworm	21-15577-S
parasitism	20-2211-B,20-2328-B
parasol	6-28002-B,50-40501-B,66-34814-B
paratrooper	6-28041-B
paratroopers	47-50582-B
paratyphoid fever	9-31899-B
parcel	63-25321-S,63-25321-B
parcel service	51-58165-S
parch	40-40677-B
parched	41-32899-B,45-45862-B
parchment	4-45848-S,51-319-B
pardon	10-14060-S,11-35600-S,13-45846-S,17-35719-S,20-24082-S,20-25144-S,20-27720-S,29-22752-S,59-45811-S,60-7540-B
pardon a convict	60-7496-S
pardon me	20-46379-B,20-46555-B
pardonable of interruption	25-14466-B
pare	9-2175-S,9-29046-B
pare away	9-16783-S
parent	14-21515-S,18-59475-S,20-43929-S,41-41213-B,57-37612-B,57-39861-S
parent and child	57-38505-B
parent child relationship	57-38505-B
parent company	36-3661-B,50-31915-B
parent family	14-21562-S
parent material e g the eroded rock making up sediment	36-4637-B
parent or grandparent	18-6973-S
parent or guardian of a child	19-64609-S
parent s generation	57-37916-B
parent s house	60-1971-S
parent shell of a cluster bomb	36-3885-B
parent term of respect	3-40803-S
parentage	56-25929-S,56-28153-B
parentheses	15-23626-B,27-47112-S,27-47283-B,66-15676-S
parentheses 	20-64574-B
parenthesis	27-47068-B
parents	4-34990-S,5-23637-S,7-58179-S,14-50091-S,18-5207-S,19-9302-S,24-47348-S,24-56217-S,26-61509-S,41-41156-B,45-34701-S,51-13912-S,51-13912-S,67-982-B
parents after marriage	42-21025-S
parents but give them a rich funeral	55-20465-S
parents generously	11-29964-S
parents in law	7-58179-B,20-62861-S
parents in law of one s offspring	57-37762-B
parents meanly	55-20465-S
parents must teach by example	36-127-B
parents of one s daughter in law or son in law	57-38683-B
parents to bring up children for the purpose of being looked after in old age	69-10433-S
parhae	39-2716-B
parietal bone top of the scull	68-20975-B
parietal lobe	68-20731-B
paris	8-29409-S,21-58540-S,22-4674-S,22-11196-S,40-66517-S,41-15938-S,54-62826-S,69-25891-S,69-25981-S
paris capital of france	22-10999-B
paris club	22-11056-B
paris commune	22-11128-B
paris iv	49-27773-S
parish	30-1448-B
parity	18-242-B,33-56610-S,36-9438-B
parity under the law	20-54161-B
park	1-37242-S,6-16304-B,6-17346-S,6-17480-S,6-17548-S,7-57755-S,15-975-B,15-4739-S,15-6032-S,15-22550-B,16-25454-S,17-2804-S,19-8508-S,21-55954-S,31-53659-S,36-41403-S,40-20631-S,50-2156-S,53-64112-B,54-21368-S,62-37383-S,66-30572-S,69-27472-S
park a car	6-15904-S
park a plane	6-16414-S
park in beijing	2-69596-S,31-53737-S,69-25320-S
park in central tokyo	31-10086-S
park in hualien county	17-62545-S
park in shimen 石门	17-70060-S
park of the ming emperors in changping district of beijing	31-22362-S
park park in beijing	31-53737-S
parker	48-27373-S
parker pen company	38-566-B
parking	4-30769-S,37-28809-B
parking bay	6-17396-B
parking ground	6-16535-S
parking location	6-17396-B
parking lot	6-17480-B
parking lot for bicycles	19-8564-B
parking place	15-41247-B
parking place for plane at airport	6-16414-B
parking spot	60-58473-B
parkinson name	22-23830-B
parkinson s disease	22-10310-B,22-23890-B
parkour	60-36478-S,69-705-S
parks and attractions caapa	2-64411-S
parley	13-61027-S
parliament	1-64122-S,15-9309-B,35-30059-S,59-3513-B,59-3878-B
parliament of the united kingdom	54-2134-B
parliament or legislative assembly	59-3437-S
parliamentary system	59-3577-B
parlor	19-51305-B,35-64621-S,42-57227-S,51-6318-S
parnell 1846 1891	22-22145-S
parnell name	22-22145-B
parnter	20-48924-S
parody	26-20919-B
parole	6-10211-B
parotid gland	52-41856-B
parricide	61-66019-S
parrot	27-53744-S,66-15374-S,70-57021-B,71-2407-B,71-2437-B,71-2477-S
parrot fever	71-2578-B
parrot of papua new guinea	27-10677-S
parrots sb	6-39161-S
pars perculairs	21-40473-B
parse	8-55184-S
parsec or pc	47-21874-S
parsi	22-23779-B
parsimonious	1-13280-B
parsley	35-22612-B,37-51890-B,37-52302-B,54-20224-B,57-21742-B
parsnip	35-30210-B
parson	41-51936-B
part	1-7334-S,2-83076-S,3-8539-S,3-32797-S,4-41116-S,4-44561-B,4-44821-B,5-23884-S,6-6440-S,6-13941-S,7-32652-S,8-32397-S,8-49157-B,8-59455-S,9-21501-S,9-25143-S,9-63515-S,10-35435-S,10-35652-S,11-4261-S,11-4414-S,11-38996-S,15-41076-B,16-51427-S,17-8436-S,17-12934-S,17-12934-S,17-36783-S,17-36783-S,17-36868-S,21-16856-B,24-191-S,25-8422-S,25-16980-S,26-3884-S,28-200-S,32-59385-S,32-59951-S,32-61493-S,32-67517-S,33-16289-S,33-24798-S,33-24950-S,34-43319-B,35-65493-B,38-51393-S,39-34854-S,44-48302-S,44-48490-S,45-28700-S,48-28185-B,48-62926-S,49-38331-B,51-54494-S,52-9678-B,54-43681-S,56-60523-S,57-13477-S,57-23237-S,57-23386-S,63-22531-B,63-22920-B,63-22977-S,63-58683-S,67-21652-S,69-9296-S
part a country	10-31991-S
part after the decimal point	69-16348-S
part forever	36-48934-S,36-52609-S
part from sb	67-8904-S
part in	11-38732-S,28-43114-S,53-21932-S
part in a competition	11-40787-S
part in a race	52-56650-S
part in a sports event	8-45634-S
part in a trial	52-0-S
part in an election	48-1723-S
part in battle	23-63496-S
part in opera	18-49834-S
part in person in an expedition	57-38946-S
part of	21-27542-S,26-54741-S
part of a bow grasped when shooting	23-33410-S
part of a chinese syllable	68-17732-S
part of a community	38-55532-S
part of a decade	9-1447-S
part of a distillate	69-19050-S
part of a house facing the street serving as a store	52-62237-S
part of a medical examination	8-63075-S
part of a real number	44-470-S
part of a song	70-17583-S
part of a syllable	68-17332-S
part of a tablet	46-28850-S
part of a tael 2 or 3 grams	64-31360-S
part of a whole	63-22791-B
part of an important mission	24-44065-S
part of an object	48-57818-S
part of body tissue	14-34966-S
part of cheeks	52-41807-S
part of chinese character indicating the meaning	23-54964-B,25-29799-B
part of chinese gown	46-52214-S,56-49099-S,56-49191-S
part of flower	66-53565-S
part of heilongjiang and the vladivostok area ruled by the ming dynasty	18-22766-B
part of hind brain continuing the spinal chord	23-19707-S
part of horse harness	18-8436-S
part of imperial tomb	15-40231-S
part of its normal route	10-41545-S
part of leg	52-31806-S
part of political re education	29-55557-S
part of pulley	54-59847-S
part of religious ceremony	41-27316-S
part of sb	6-8183-S
part of speech	12-53008-S
part of speech noun	58-10124-B
part of sth	9-22653-S,22-52002-S
part of temporal bone	3-22944-S
part of the body	1-56047-S,52-25452-S
part of the book of songs 詩經 诗经	66-55410-B
part of the brain	20-69648-S
part of the brain surrounding the lateral sulcus or sylvian fissure	16-43843-S,16-43994-S
part of the country	7-35272-S,10-29695-S,10-71953-S
part of the devil	40-33077-S
part of the island of borneo	9-59411-S
part of the profits	1-11524-S
part of thorax containing lungs	52-25792-S
part of tire	16-47322-S
part of traditional wedding ceremony	3-68646-S
part on bad terms	2-15901-S
part or subdivision	8-48969-B
part personally in an expedition	24-12606-S
part study	10-57442-B
part time	8-6205-S,8-6907-B
part time college abbr for 業余大學 业余大学	34-32411-B
part time farm worker	10-55258-S
part time job	26-43465-S
part time work	10-58595-B,10-59713-B
part with	28-6629-S
part with it	25-32509-S
part with sth	28-6873-S
part work	10-57442-B
part 成语 saw	5-23996-S,67-11707-S,67-12366-S,67-12493-S
parted by death	35-56967-S
partei by marx and engels 1848	7-72442-S
parterre	53-55028-B
parthenogenesis biol a female reproducing without fertilization	19-13898-B
parthenon	22-22816-S
parthenon temple on the acropolis	22-22290-B,22-22369-B
parthia	19-28831-S
parti colored	30-33595-B
partial	6-12154-B,6-12224-S,67-20647-B
partial derivative	6-11947-S
partial differential	6-11947-S
partial differential equation pde	6-12048-B
partial hair dye	27-65374-B
partial to	12-61824-S
partial towards sth	6-11593-B
partiality	6-12224-B
participant	1-9338-B,11-39065-B,11-40144-B,11-41027-S,21-16522-B,30-67363-S,57-25346-S
participant in a survey	11-64637-B
participant in an expedition	23-63118-B
participants	32-24455-B
participate	8-39260-S,9-58460-B,11-38732-B,11-38996-S
participate in	9-51435-S
participate in a meeting	53-22426-S
participate in funeral procession	61-63990-B
participate in sth	11-40088-S
participating	4-11455-S
participation	8-0-S,20-14567-S
participation rate	63-441-S
participle	8-58389-B
participle error of grammar in english	15-54699-S
participle in english grammar	42-49605-S
participle in european grammar	62-43988-S
