xue qing	27-7474-S,56-27003-B,56-29639-B
xue xiao ban	56-24722-B
xue xin xi su	10-21256-S
xue xing	8-44869-S,10-21976-S,56-24453-B,56-28854-B
xue xing deng ge re	8-44926-S
xue xing huai si	59-36692-S
xue xing pin xue	17-67139-S
xue xing zhi	10-22030-S
xue xiong	56-28744-B
xue xu yang liang	10-23343-S
xue xue wei	11-58171-S
xue ya	4-69481-S,56-24599-B,70-21408-S
xue ya ji	56-24646-B
xue yan de hu zi	1-70353-S
xue yan jiu suo	46-56747-S
xue yang han liang	56-26118-B
xue ye	19-18102-B,56-26648-B
xue ye bing	56-26763-B
xue ye zeng qiang ji	56-26686-B
xue yi	19-19293-B,56-29465-B
xue yi shi	6-63104-S
xue yi shu jie lian he hui	2-58773-S
xue yi yi	32-38176-S
xue yi zhi yong	19-16686-B
xue you bing	56-23970-B
xue yu	56-30143-B,56-30227-B,58-53384-B,70-47423-B
xue yu ke	17-14431-S
xue yu shi	28-38624-S
xue yuan	2-61906-S,2-62038-S,6-3220-S,9-54406-S,9-54580-S,10-26451-S,10-27579-S,10-27882-S,10-28050-S,13-59109-S,15-13884-S,19-17182-B,19-19715-B,21-55099-S,22-25292-S,29-54644-S,37-30675-S,46-56823-S,47-18271-S,55-32662-S,56-28338-B,62-54776-S
xue yuan guan xi	56-28382-B
xue yuan su	10-21334-S
xue yun	56-25196-B,56-25280-B
xue yun dong	39-30030-S
xue zai xiang	65-4509-S
xue zhai	56-23856-B
xue zhan	10-22104-S,56-25021-B
xue zhan dou bu	10-22357-S
xue zhan ji	10-22166-S,43-23743-S
xue zhan ji jian du xiang	10-22244-S
xue zhang	56-29852-B
xue zhe	5-23047-S,9-360-S,9-28860-S,19-19252-B,28-4394-S,36-30437-S,42-26298-S,49-60218-S,56-51228-S
xue zheng	10-54597-S,29-66650-S,44-11281-S,56-29692-B,65-1729-S,65-1861-S,70-21008-S
xue zhi	9-17006-B,19-16980-B
xue zhi liao	10-22879-S
xue zhi pin	56-29580-B
xue zhi wei min	9-17070-B
xue zhi zheng	47-17223-S
xue zhong	56-28921-B
xue zhong song tan	67-15570-B
xue zhong xin	63-49643-S
xue zhuan jia	63-49847-S
xue zi	56-27055-B,68-5846-B
xue zu	56-25118-B
xue zu shi lu:	9-17159-B
xue1	9-16783-B,9-28804-S,38-35108-S,44-18818-S,55-22050-B,65-20806-S,68-5818-B
xue1 jian3	9-16884-B
xue1 ruo4	9-16844-B
xue1 tao4	65-61706-S
xue1 xi1	3-64583-S
xue1 zhe3	9-28860-S,56-51228-S
xue1 zhi2	9-17006-B
xue1 zhi2 wei2 min2	9-17070-B
xue1 zi5	68-5846-B
xue1 zu2 shi4 lu:3	9-17159-B
xue2	1-41794-S,1-48535-S,1-51578-S,1-51914-S,1-52141-S,1-52922-S,1-53365-S,2-52962-S,2-56900-S,2-58572-S,2-58697-S,2-67005-S,2-68671-S,2-69761-S,2-83208-S,3-5955-S,3-69037-S,3-72489-S,4-6904-S,4-7211-S,4-10335-S,4-18659-S,4-19210-S,4-22670-S,4-31530-S,4-45526-S,4-52460-S,5-44454-S,5-49451-S,6-3375-S,6-24530-S,6-37275-S,6-37572-S,6-55615-S,6-58132-S,7-7568-S,7-8106-S,7-20740-S,7-24504-S,7-27165-S,7-30538-S,7-31781-S,7-51640-S,8-20559-S,8-50905-S,8-51049-S,8-52853-S,8-54710-S,8-54903-S,8-59986-S,9-1288-S,9-1358-S,9-44047-S,9-45646-S,9-51952-S,9-68727-S,10-731-S,10-9175-S,10-10872-S,10-21204-S,10-25916-S,10-26096-S,10-26348-S,10-26876-S,10-27180-S,10-27289-S,10-27728-S,10-32091-S,10-37536-S,10-53030-S,10-66241-S,10-66858-S,11-4664-S,11-7086-S,11-12359-S,11-13116-S,11-52023-S,12-4201-S,12-20708-S,12-21226-S,12-37097-S,12-40781-S,12-46443-S,12-49440-S,12-49512-S,12-49653-S,12-55554-S,13-33582-S,13-36787-S,13-39231-S,13-42512-S,13-47629-S,13-59025-S,14-15294-S,14-48885-S,14-49683-S,15-4248-S,15-12109-S,15-12245-S,15-30305-S,15-40449-S,15-42904-S,15-43042-S,15-43116-S,15-43224-S,15-44216-S,15-44926-S,15-45894-S,15-67085-S,16-25641-S,16-49599-S,17-11475-S,17-14308-S,17-16304-S,17-36235-S,17-47497-S,17-49331-S,17-55034-S,17-55108-S,17-61910-S,17-64969-S,18-27872-S,19-3354-S,19-16637-B,19-28560-S,19-37290-S,19-39619-S,19-62637-S,20-4732-S,20-5119-S,20-14149-S,20-16234-S,20-35118-S,20-35521-S,20-48499-S,20-63116-S,21-28245-S,21-30238-S,21-32965-S,21-36581-S,21-36718-S,21-48748-B,21-52510-S,21-56025-S,21-56608-S,21-56704-S,22-11196-S,22-16104-S,22-19954-S,22-26589-S,22-56383-S,22-56527-S,22-56657-S,23-1686-S,23-4669-S,23-22405-S,23-55239-S,23-67342-S,24-14220-S,24-14520-S,24-18050-S,24-18178-S,24-20098-S,24-20504-S,24-22355-S,24-35054-S,25-60395-S,25-60543-S,26-37565-S,27-1472-S,27-21923-S,27-24384-S,27-32385-S,27-67139-S,29-49288-S,29-49684-S,29-56109-S,29-56849-S,30-2008-S,30-4688-S,30-7681-S,30-21006-S,30-21469-S,30-26955-S,30-27144-S,30-29691-S,30-39679-S,30-44482-S,30-54458-S,30-63454-S,31-8969-S,31-15185-S,31-19554-S,31-31081-S,31-48508-S,31-48666-S,31-51424-S,31-64642-S,32-24913-S,32-35505-S,32-56265-S,33-7118-S,33-7180-S,33-14866-S,33-15521-S,33-16213-S,33-33950-S,33-41115-S,33-41248-S,33-66493-S,34-25563-S,34-28971-S,34-33513-S,35-27823-S,35-28145-S,35-47738-S,35-48165-S,35-52159-S,36-12374-S,36-19523-S,36-21238-S,36-21442-S,36-30380-S,36-39237-S,36-53867-S,36-55952-S,37-30575-S,37-35238-S,37-38024-S,37-38683-S,37-50391-S,37-58113-S,38-6131-S,38-6628-S,38-7804-S,38-7887-S,38-8571-S,38-21019-S,38-54486-S,38-56398-S,38-64630-S,39-3805-S,39-10795-S,39-11459-S,39-49187-S,40-55358-S,41-18029-S,41-28488-S,41-32780-S,41-48019-S,41-49452-S,41-53046-S,41-53916-S,41-53988-S,42-3009-S,42-25456-S,42-25848-S,42-27474-S,42-50802-S,42-53868-S,42-54501-S,42-56884-S,43-19405-S,43-20777-S,43-23606-S,43-23674-S,43-24236-S,43-24439-S,43-26263-S,43-49079-S,44-10924-S,44-11801-S,44-33037-S,45-19193-S,45-42521-S,45-50998-S,45-55982-S,46-7833-S,46-44755-S,46-47489-S,46-48804-S,46-49487-S,46-56634-S,46-59391-S,46-59864-S,47-17089-S,47-18700-S,47-43946-B,47-48131-S,47-48918-S,48-7086-S,48-26922-S,48-33393-S,48-33545-S,48-55426-S,48-56364-S,49-19042-S,49-20731-S,49-27773-S,49-32985-S,49-33216-S,49-37901-S,49-38708-S,49-41551-S,49-53374-S,49-60077-S,51-6004-S,51-32866-S,51-42325-S,51-65541-S,51-68477-S,52-19936-S,52-41335-S,52-41695-S,53-4750-S,53-9237-S,53-35336-S,53-50593-S,54-31928-S,54-32068-S,54-32412-S,54-33447-S,54-34256-S,54-34362-S,54-37324-S,54-41007-S,55-33815-S,55-34630-S,55-38555-S,55-44758-S,55-45094-S,57-13200-S,57-13868-S,57-15412-S,57-47699-S,57-50622-S,57-54179-B,57-59459-S,57-60123-S,57-64936-S,58-1352-S,58-15581-S,58-21311-S,58-27027-S,58-27267-S,58-28392-S,58-64285-S,59-5194-S,59-7354-S,59-55275-S,60-13355-S,60-46139-B,60-62603-S,60-63353-S,61-8699-S,61-14538-S,61-22539-S,61-35317-S,61-36740-S,61-40207-S,61-62100-S,61-64753-S,62-1392-S,62-24254-S,62-36480-S,62-39004-S,62-41046-S,62-50334-S,63-1754-S,63-4839-S,63-14395-S,63-34101-S,63-49568-S,63-58810-S,64-5583-S,64-17128-S,65-33263-S,65-40438-S,65-54853-S,66-24849-S,67-10093-S,67-26404-S,67-27870-S,67-28548-S,67-29486-S,67-33205-S,67-42594-S,67-61573-S,67-65968-S,67-67352-S,68-14369-S,68-16077-S,68-50282-S,68-50678-S,69-7772-S,69-24120-S,69-26806-S,69-27086-S,69-27577-S,69-27689-S,69-36142-S,70-12086-S,70-19666-S,70-38669-S,70-51242-S,71-1901-B,71-15896-S,71-27159-S
xue2 Luo4 shan1 ji1 fen1 xiao4	9-52060-S
xue2 bao4	19-17362-B
xue2 bi3 se4 fa3	10-22795-S
xue2 bian1 ji2	47-18183-S
xue2 bo1	47-44120-B
xue2 bo2 shi4	30-27188-S,63-49714-S
xue2 bo2 shi4 xue2 wei4	13-47731-S
xue2 cheng2 cai2	53-4812-S
xue2 chuan2 di4	9-45702-S
xue2 da4 cheng2	17-47552-S
xue2 dai4 kuan3	9-61310-S
xue2 dan4 yao4	10-21901-S
xue2 dao4 lao3	37-63678-S
xue2 de5 jiao1 liu2	47-18023-S
xue2 duo1 cai2	11-7134-S
xue2 fan3 ying4	10-21491-S
xue2 fang1 cheng2 shi4	10-22440-S
xue2 fei4	19-19662-B
xue2 fen1	19-16933-B
xue2 fen1 xi1	30-21591-S
xue2 fu3	19-17748-B
xue2 gong1 cheng2	10-21744-S,43-25737-S
xue2 gong1 cheng2 shi1 lian2 he2 hui4	67-31416-S
xue2 gong1 shi4	30-21527-S
xue2 gong1 ye4	10-21671-S
xue2 gong1 ye4 xie2 hui4	2-61549-S
xue2 guai4 ren2	47-17348-S
xue2 guan3 li3	47-18107-S
xue2 hai3	19-18257-B,30-29469-S,62-50632-S
xue2 hai3 fan4 zhou1	19-18347-B
xue2 hai3 wu2 ya2	19-18458-B
xue2 hang2 dan4	10-23214-S
xue2 hao3	19-17602-B
xue2 hou4	29-49339-S
xue2 huai4	19-17423-B
xue2 hui4	2-56774-S,2-60648-S,7-35639-S,19-17900-B,44-61095-S
xue2 ji1 gou4	30-2148-S
xue2 ji1 guang1 qi4	10-22948-S
xue2 ji1 jin1 hui4	53-9307-S
xue2 ji2	19-19041-B,19-19088-B,65-43820-S
xue2 ji4 liang4 ji4	10-21406-S
xue2 ji4 shu4	47-17424-S
xue2 ji4 shu4 shi4 di4 yi1 sheng1 chan3 li4	47-17500-S
xue2 ji4 shu4 xian4 dai4 hua4	47-17802-S
xue2 jia1	4-18716-S,10-21619-S,11-32322-S,12-4270-S,12-21274-S,13-47947-S,15-43276-S,15-44977-S,15-45972-S,17-19514-S,17-47644-S,19-17659-B,24-20167-S,24-35108-S,30-21676-S,30-27326-S,35-52210-S,36-25417-S,37-30625-S,39-49387-S,41-54038-S,42-53918-S,43-20831-S,43-24289-S,43-26319-S,44-10996-S,46-56689-S,46-59447-S,47-17295-S,48-55483-S,49-60153-S,51-32920-S,58-27322-S,63-49786-S
xue2 jia1 tong1 bao4	11-32422-S
xue2 jian1 you1	13-33678-S
xue2 jian4	10-23284-S
xue2 jiang3	30-27392-S,54-7606-S,58-49970-S
xue2 jin1	42-16708-S
xue2 ju1	47-44070-B
xue2 ke1	3-67226-S,4-10390-S,19-18931-B,60-39387-S
xue2 ku3 lian4	10-9032-S
xue2 li4	19-18160-B,70-12957-S
xue2 ling2	19-19794-B
xue2 lou2	30-2072-S
xue2 lu:4	7-24611-S
xue2 ming2	19-17100-B
xue2 mo2 xing2	30-21734-S
xue2 neng2	10-23153-S
xue2 nian2	19-17700-B
xue2 pai4	19-18206-B,37-33677-S
xue2 pin1	56-25069-B
xue2 pin3	10-21565-S
xue2 pu3 ji2	47-17929-S
xue2 qi1	19-18002-B,30-46845-S
xue2 qian3	26-38019-S
xue2 qu1	19-17052-B
xue2 ran2 hou4 zhi1 bu4 zu2	19-18527-B
xue2 shang4	13-47673-S
xue2 she2	58-36899-S,71-2477-S
xue2 she4	3-17609-S
xue2 sheng1	2-68720-S,17-14351-S,18-20313-S,20-63165-S,43-49128-S
xue2 sheng5	17-4461-S,19-18672-B,61-22623-S
xue2 sheng5 ai4 guo2 min2 zhu3 tong2 meng2	2-80337-S
xue2 sheng5 hui4	19-18727-B
xue2 sheng5 zheng4	19-18786-B
xue2 shi2	19-17849-B,19-19599-B
xue2 shi3	13-47881-S,30-27260-S,47-17161-S
xue2 shi4	10-21823-S,19-17480-B,51-20047-S
xue2 shi4 xue2 wei4	19-17529-B
xue2 shu4	19-19349-B
xue2 shu4 jie4	19-19408-B
xue2 shu4 zi4 you2	19-19478-B
xue2 shuo1	19-19549-B
xue2 shuo4 shi4	42-54034-S
xue2 shuo4 shi4 xue2 wei4	42-54122-S
xue2 tang2	19-17313-B,37-49716-S,53-38253-S,69-36481-S
xue2 tong2	19-18997-B
xue2 tu2	19-17806-B
xue2 wei4	11-6530-S,11-58171-S,13-47731-S,16-35994-S,19-16799-B,19-17529-S,42-54122-S,46-30155-S,47-44019-B
xue2 wei4 lun4 wen2	19-16850-B
xue2 wen1 biao1	41-18209-S
xue2 wen1 du4	41-18086-S
xue2 wen4	19-17261-B,32-31582-S
xue2 wu2 shu4	2-4492-S
xue2 wu3 qi4	10-22527-S
xue2 wu3 qi4 chu3 bei4	10-22596-S
xue2 wu3 qi4 fang2 hu4	10-22696-S
xue2 wu4	10-23029-S
xue2 wu4 li3	30-21808-S
xue2 xi2	9-15326-S,19-19126-B,51-61471-S
xue2 xi2 dao4 de5	62-44728-S
xue2 xi2 ke4 ku3	19-19176-B
xue2 xi4	39-49302-S,63-49937-S
xue2 xian1 wei2	10-23082-S
xue2 xian3 wei1 jing4	7-8183-S
xue2 xiao4	2-77561-S,2-77784-S,2-77905-S,10-58495-S,19-18048-B,20-1809-S,21-57260-S,31-59472-S,47-13270-S,63-50545-S,70-19391-S
xue2 xin4 xi1 su4	10-21256-S
xue2 xing4	10-21976-S
xue2 xing4 zhi4	10-22030-S
xue2 xu1 yang3 liang4	10-23343-S
xue2 xue2 wei4	11-58171-S
xue2 yan1 de2 hu3 zi3	1-70353-S
xue2 yan2 jiu1 suo3	46-56747-S
xue2 ye4	19-18102-B
xue2 yi3 zhi4 yong4	19-16686-B
xue2 yi4	19-19293-B
xue2 yi4 shi2	6-63104-S
xue2 yi4 shu4 jie4 lian2 he2 hui4	2-58773-S
xue2 yi4 yi4	32-38176-S
xue2 yu4 ke1	17-14431-S
xue2 yu4 shi3	28-38624-S
xue2 yuan2	19-17182-B
xue2 yuan2 su4	10-21334-S
xue2 yuan4	2-61906-S,2-62038-S,6-3220-S,9-54406-S,9-54580-S,10-26451-S,10-27579-S,10-27882-S,10-28050-S,13-59109-S,15-13884-S,19-19715-B,21-55099-S,22-25292-S,29-54644-S,37-30675-S,46-56823-S,47-18271-S,55-32662-S,62-54776-S
xue2 zhan4	10-22104-S
xue2 zhan4 dou3 bu4	10-22357-S
xue2 zhan4 ji4	10-22166-S,43-23743-S
xue2 zhan4 ji4 jian3 du2 xiang1	10-22244-S
xue2 zhe3	9-360-S,19-19252-B,36-30437-S,49-60218-S
xue2 zhi2 zheng4	47-17223-S
xue2 zhi4	19-16980-B
xue2 zhi4 liao2	10-22879-S
xue2 zhong1 xin1	63-49643-S
xue2 zhuan1 jia1	63-49847-S
xue3	1-64278-S,4-62920-S,17-40099-S,21-1999-S,32-860-S,39-29878-S,42-62942-S,43-44630-S,49-35535-S,56-11779-S,67-15378-B,69-890-S,70-47373-B,70-56753-S
xue3 bai2	67-16825-B
xue3 ban3	39-29925-S,67-16549-B
xue3 bao4	67-17280-B
xue3 beng1	67-16397-B
xue3 bi4	67-16869-B
xue3 di4	8-17381-S
xue3 di4 zhui1 zong1	67-16129-B
xue3 diao1	67-17326-B
xue3 fo2 long2	67-15819-B
xue3 fo2 long2 gong1 si1	67-15885-B
xue3 fo2 long2 shi2 you2 gong1 si1	67-15971-B
xue3 fu1	60-9221-S
xue3 fu1 si1 ji1	60-59386-S
xue3 gao1	67-16908-B
xue3 gong1 zhu3	44-47685-S
xue3 gui4	67-16707-B
xue3 hua1	67-16995-B
xue3 jia1	67-17038-B
xue3 jia1 yan1	67-17077-B
xue3 li4 jiu3	67-16079-B
xue3 lian2	67-17208-B
xue3 qiao1	67-16658-B
xue3 qiao4	67-16441-B
xue3 qiu2	67-16783-B
xue3 ren2	67-15728-B
xue3 shan1	13-38343-S,42-32516-S
xue3 shan1 shi1 zi5	67-16252-B
xue3 shan1 shi1 zi5 qi2	67-16316-B
xue3 shang4 jia1 shuang1	67-15405-B
xue3 shu4	39-29979-S
xue3 song1	67-16494-B
xue3 tian1 qi4	56-11833-S
xue3 tiao2	67-16605-B
xue3 tie3 long2	67-17442-B
xue3 xian4	67-16951-B
xue3 yu2	70-47423-B
xue3 yun4 dong4	39-30030-S
xue3 zhong1 song4 tan4	67-15570-B
xue4	5-22997-S,7-241-S,8-9364-S,8-23123-S,8-28412-S,8-44796-S,14-29882-S,15-38206-S,17-67095-S,17-67139-S,24-38802-S,26-21747-S,27-17795-S,28-4324-S,33-10590-S,35-33211-S,36-29955-S,38-5756-S,38-15000-S,38-21216-S,38-55321-S,39-23144-S,39-24451-S,41-21559-S,42-26248-S,44-16700-S,46-30011-S,50-49431-S,51-52911-S,52-31511-S,52-39264-S,54-12666-S,56-23774-B,56-59324-S,58-39626-S,58-46258-S,58-53108-B,59-36652-S,61-18044-S,62-19115-S,65-1633-S,66-42301-S,66-49560-S,69-58848-S,70-2091-S,70-43428-S
xue4 ai2	56-27599-B
xue4 an4	56-25885-B
xue4 ban1	38-44348-S
xue4 ben3	56-25389-B
xue4 ben3 wu2 gui1	56-25487-B
xue4 beng1	56-24826-B
xue4 bing4	16-35267-S,39-24544-S,44-46059-S
xue4 bo2	56-26360-B
xue4 dian4	35-33284-S
xue4 dong4 wu4	8-23190-S
xue4 er2	38-55361-S
xue4 er2 bu4 nu:e4	58-53282-B
xue4 gai4 su4	66-18190-S
xue4 gan4 xi4 bao1	62-19188-S
xue4 guan3	24-21642-S,24-39028-S,56-27808-B
xue4 guan3 ji2 bing4	24-39088-S
xue4 guan3 ping2 zhang4	52-40838-S
xue4 guan3 zhou1 yang4 ying4 hua4	56-27854-B
xue4 gui3	13-4474-S
xue4 han4	56-26253-B
xue4 hong2 dan4 bai2	56-28032-B,70-23177-S
xue4 hong2 su4	56-27977-B
xue4 ji1	56-29920-B
xue4 ji1 ban1 ban1	56-29963-B
xue4 ji4	27-4104-S,56-27640-B
xue4 jiang1	56-27098-B
xue4 jie2	56-27736-B
xue4 ju4	58-53186-B
xue4 kou3	56-24026-B
xue4 kou3 pen1 ren2	56-24109-B
xue4 ku4	56-24978-B
xue4 kuai4	56-24510-B
xue4 kui1	56-29425-B
xue4 lai2 chao2	24-38896-S
xue4 lan2 su4	56-29282-B
xue4 lei4	56-26909-B
xue4 lin2 lin2	56-26828-B
xue4 liu2	56-26469-B,56-27500-B
xue4 liu2 piao1 chu3	56-26513-B
xue4 lu4	56-30030-B
xue4 mai4	56-28807-B
xue4 mei2	8-28457-S
xue4 mei2 yuan2	8-28511-S
xue4 niao4	56-24782-B
xue4 ning2	56-23923-B,65-63173-S
xue4 nong2 yu2 shui3	56-27146-B
xue4 qi4	56-25929-B
xue4 qi4 fang1 gang1	56-26017-B
xue4 qing1	27-7474-S,56-27003-B
xue4 qing4	56-29639-B
xue4 qiu2	44-45988-S,49-13068-S,56-27280-B
xue4 qiu2 pin2 xue4 zheng4	65-1729-S
xue4 qiu2 sheng1 cheng2 su4	49-13140-S
xue4 re4	8-45034-S
xue4 ren4	8-519-S
xue4 rou4	56-28467-B
xue4 rou4 heng2 fei1	56-28506-B
xue4 rou4 xiang1 lian2	56-28630-B
xue4 se4	56-24549-B,56-29015-B
xue4 se4 su4	56-29068-B
xue4 se4 su4 chen2 ji1 zheng4	56-29189-B
xue4 shan1	56-29512-B
xue4 shi1	56-24930-B
xue4 shi2	67-8213-S
xue4 shi3	56-24227-B
xue4 shu1	56-25322-B
xue4 shuan1	35-33359-S,56-25640-B
xue4 shuan1 bing4	56-25768-B
xue4 shuan1 xing2 cheng2	56-25697-B
xue4 shuan1 zheng4	56-25826-B
xue4 shui3	56-26195-B
xue4 suan1	27-4434-S
xue4 tang2	70-21484-S
xue4 tian2	56-27338-B
xue4 tong3	56-28153-B
xue4 tong3 lun4	56-28233-B
xue4 wu1	56-26317-B
xue4 xi1 chong2	56-24323-B
xue4 xi1 chong2 bing4	56-24380-B
xue4 xi3	56-26416-B
xue4 xi4	58-53234-B
xue4 xi4 bao1	56-28099-B
xue4 xiang4	56-29766-B
xue4 xiao3 ban3	56-24722-B
xue4 xing1	56-28854-B
xue4 xing2	56-24453-B
xue4 xing4	8-44869-S
xue4 xing4 deng1 ge2 re4	8-44926-S
xue4 xing4 huai4 si3	59-36692-S
xue4 xing4 pin2 xue4	17-67139-S
xue4 xiong1	56-28744-B
xue4 ya1	4-69481-S,56-24599-B,70-21408-S
xue4 ya1 ji4	56-24646-B
xue4 yang3 han2 liang4	56-26118-B
xue4 ye4	56-26648-B
xue4 ye4 bing4	56-26763-B
xue4 ye4 zeng1 qiang2 ji4	56-26686-B
xue4 yi1	56-29465-B
xue4 you3 bing4	56-23970-B
xue4 yu3	56-30143-B,58-53384-B
xue4 yu4	56-30227-B
xue4 yuan2	56-28338-B
xue4 yuan2 guan1 xi4	56-28382-B
xue4 yun1	56-25196-B
xue4 yun4	56-25280-B
xue4 zai3 xiang4	65-4509-S
xue4 zhai4	56-23856-B
xue4 zhan4	56-25021-B
xue4 zhang4	56-29852-B
xue4 zhe3	5-23047-S,28-4394-S,42-26298-S
xue4 zheng4	10-54597-S,29-66650-S,44-11281-S,56-29692-B,65-1729-S,65-1861-S,70-21008-S
xue4 zhi4 pin3	56-29580-B
xue4 zhong3	56-28921-B
xue4 zi4	56-27055-B
xue4 zu2	56-25118-B
xun	1-50072-S,1-60304-S,2-32595-S,2-34936-S,2-73277-S,3-65189-S,5-21790-B,5-24678-S,6-21151-S,6-27456-S,6-39524-S,6-61125-S,6-61236-S,8-26032-S,9-47990-S,10-3688-B,10-10058-B,10-10101-B,11-10068-S,11-24884-S,11-64433-S,13-28334-S,13-63082-S,14-9327-S,14-33586-B,14-34466-B,14-60157-S,15-66375-S,16-21376-B,16-32219-B,16-55786-S,18-48161-S,20-22955-S,20-44603-B,21-28569-S,21-38821-B,21-50968-B,22-11463-B,23-64528-S,23-65393-B,24-16899-B,24-66899-B,26-51574-S,26-59384-S,28-12177-S,28-22996-S,28-42248-S,28-55955-S,29-6313-S,29-44056-S,29-61240-S,30-5319-S,30-5319-S,30-16449-S,31-15984-B,31-41644-S,32-2355-B,33-46860-S,33-52105-B,33-53743-S,34-62561-B,35-59458-S,35-60364-B,36-8123-S,36-57301-B,36-61002-S,37-63094-B,38-18917-S,39-23446-S,39-61096-B,39-63780-B,40-19420-B,40-44078-B,41-12650-B,41-30379-B,41-33797-B,42-22720-B,42-46016-B,44-19034-S,45-3244-S,45-3338-S,46-367-S,47-56112-B,48-38562-S,49-3770-B,49-7669-S,50-16291-S,50-43558-B,50-62328-S,51-43105-S,51-50934-S,51-57314-S,52-53214-B,53-17122-S,54-19168-B,54-61159-S,55-14134-B,55-23276-S,55-26899-B,55-27150-B,56-19212-B,57-60842-B,57-64053-B,58-12078-B,58-39292-S,58-39359-S,58-40331-S,58-46699-S,58-53991-S,59-1837-S,59-53192-S,59-60900-S,61-585-S,61-16669-S,61-16723-S,61-44355-B,61-56803-S,61-59910-S,61-61265-B,62-13084-S,62-14138-S,62-59285-B,62-68498-S,63-3741-S,63-20737-B,63-51597-B,65-31626-S,65-31719-S,65-61845-S,66-59509-S,67-36623-S,69-28934-S,69-30653-S,69-45442-B,70-48458-B,70-56843-S
xun Gong si	54-2814-S
xun bao	20-45069-B,36-5962-S
xun ce yi	21-51525-B
xun cha	21-51403-B
xun chang	2-6204-S,20-45116-B
xun chi	57-64271-B
xun chou	20-44732-B
xun chu	29-57793-S
xun ci	57-65032-B
xun cong	69-45615-B
xun dao zhi wu	57-64173-B
xun di	20-45739-B,57-65220-B
xun ding yue	51-53877-S
xun fang	20-46030-B
xun feng	41-13204-B
xun fu	21-51318-B,69-45767-B
xun gen wen di	20-45227-B,58-12152-B
xun gong si	67-36684-S
xun gu	57-64837-B
xun gu xue	57-64936-B
xun gui dao ju	24-17586-B
xun guo	35-60419-B
xun han ji	69-45663-B
xun hang	21-51580-B
xun hang dao dan	11-52932-S,21-51624-B
xun hang ye	62-13503-S
xun hao	57-61711-B
xun hua	57-65087-B,69-45508-B
xun hua wen liu	20-45872-B
xun huan	8-13281-S,24-17162-B,25-20658-S,33-60021-S,35-15840-S,41-23793-S,53-41493-S
xun huan sai	24-17518-B
xun huan shi yong	24-17224-B
xun huan xi tong	24-17443-B
xun huan xiao shu	24-17312-B
xun huan xing	24-17387-B
xun huan zai hu xi shui fei xi tong	20-5906-S
xun huan zuo le	20-45428-B
xun hui	21-51021-B,21-51802-B
