present the counts	47-9333-S
pretence of reason 成语 saw	35-23208-S
pretence that turns into reality 成语 saw	23-23495-S
pretences	58-254-S
pretend	5-10772-B,6-9211-S,6-13941-S,6-24678-S,14-15720-S,29-58843-B,39-45913-S,46-1976-S,49-34937-S,56-60349-S,56-60523-S,56-61231-S
pretend for the purpose of deceit	14-15797-S
pretend not to hear	39-47599-S,50-53210-S,52-1213-S
pretend to be	8-10643-B
pretend to be lovely	56-60983-S
pretend to be poor	13-46717-S
pretend to be solemn	29-58954-S
pretend to do sth without understanding it	41-9566-S
pretend to understand when you don t	2-10783-S
pretended righteousness	6-5751-B
pretender	6-24472-B
pretending to be displeased with them	26-43949-S
pretends to have high moral standards	6-5571-S
pretense	22-34024-S,29-58883-S
pretense of acting on imperial order	46-3500-S
pretension	46-2658-B,53-16747-S
pretentious and vacuous person	47-46836-B
pretentious bastard lit cunt	56-61089-B
preternaturally good hearing in fiction	68-27131-S
pretext	5-63638-B,5-64630-B,6-722-S,6-1219-B,6-9267-B,6-9267-S,26-52601-B,26-59078-S,26-59290-S,26-59920-S,45-32822-B,55-28024-B,57-65614-B,69-9403-B
pretext for a dispute	63-52037-B
pretext for the second opium war	3-63343-S,3-63507-S
pretext in sentencing dissidents	60-62819-S
pretext to annex manchuria	3-17360-S,33-49592-S
pretoria capital of south africa	36-9869-B
prettier of child	8-44147-S
prettier physical changes at puberty	8-44608-S
prettiest girl ever	49-45481-B
prettiest girl of the school	33-53599-S
pretty	5-32637-B,18-42516-B,18-44338-B,18-61738-B,38-64117-S,39-43084-B,45-36041-B,47-11670-B,70-10552-B
pretty and flirtatious	18-34569-B,18-34955-B
pretty boy	20-68082-B
pretty but it works	14-62332-S
pretty close	2-3050-B,2-36174-B,7-48767-B
pretty e g young woman	59-27737-B
pretty face	53-58500-S
pretty girl	51-8113-S,67-61161-B
pretty good	2-35836-B,2-36174-B
pretty hair	70-28016-B
pretty soon	45-39304-S
pretty woman	18-42449-B
prevail	10-11186-B,24-9117-B,26-17233-B
prevail as standard for rules	40-32865-S
prevail over nature	4-8138-S
prevail over sinister forces	4-54634-S
prevails throughout society	60-41398-S,62-49468-S
prevalent	38-5812-B,45-5933-B
prevarication and deliberate falsehoods	38-54625-S
prevent	7-21419-S,33-8226-S,36-12808-B,63-6085-S,65-60927-S,65-60971-S,65-64897-S,68-31003-S
prevent a lot 成语 saw	20-64272-S
prevent access	62-66829-S
prevent by force	9-47502-S
prevent contact	49-47493-S
prevent large scale repetition	20-64272-S
prevent or treat a disease	11-28195-S
prevent sunstroke	63-7136-B
prevent them happening again	25-62921-S
prevent those after 成语 saw	25-62921-S
preventing a buddhist monk from progressing to enlightenment	34-33207-S
preventing catching fingers in automatic car windows	65-60298-S
prevention	56-38521-S,65-62137-S,65-62427-S,65-62518-S
prevention and cure	65-61992-B
prevents decay	26-25075-S
prevents one making progress	42-40017-S
preview	68-30269-B
previous	1-45053-B,1-46321-B,4-36353-B,9-17803-B,23-61667-B,62-43905-B
previous condition	14-56359-S
previous dynasty	9-21272-S
previous event	4-35908-S
previous generation	1-45966-B,51-24804-B,57-37916-B
previous incarnation	34-33207-S
previous incarnation buddhism	9-24288-B
previous legislature after transition to chinese rule in hong kong or macao	45-25002-S
previous names include 雙城子 双城子 shuang1 cheng2 zi5 and voroshilov 伏羅希洛夫 伏罗希洛夫	40-37804-B
previous night	20-405-S
previous one	1-45260-B
previous or last week etc	1-45053-B
previous owner of a car for sale	9-24401-B
previous place	11-35517-B
previous remark	29-43846-S
previous sens	62-47160-B
previous sentence or clause	9-16471-S
previous sessions	35-52537-S
previous shift	28-46705-S
previous topic	2-34293-S
previous week	1-50185-B
previous years	23-62227-S,31-28421-B
previously	7-3539-B,8-3624-B,12-61824-S,14-49778-S,15-35609-B,24-10832-B,31-13236-B,31-13288-B,32-15317-B,32-16427-B,35-40964-B
previously unimagined	25-29330-B
prey	17-42165-S,42-12233-S,42-24806-B,56-24026-S,71-310-S
prey on	28-5694-S
price	2-31214-S,2-31214-S,3-19144-S,4-30474-B,4-44762-S,4-67508-S,6-49721-S,6-52852-B,6-53431-B,6-53629-S,6-53676-B,8-39641-S,9-51384-S,10-55085-S,13-53983-S,16-8825-S,19-40582-S,19-43802-S,19-43802-S,19-46838-S,21-63992-S,22-37561-S,26-7624-S,26-7624-S,26-26253-S,27-8254-S,27-8842-S,28-12924-S,28-37107-S,32-411-S,32-58392-S,34-52319-S,34-52319-S,34-52494-S,34-55104-S,34-56179-S,37-22053-S,39-40126-S,39-53912-S,39-54375-S,40-46872-S,41-45706-S,41-55945-S,41-58614-S,50-31869-S,52-9968-S,52-9968-S,56-32287-S,56-32398-S,56-32398-S,57-25137-S,57-27372-S,57-27372-S,57-32973-S,57-62243-S,58-35506-S,59-3100-S,59-44942-S,59-59303-S,62-28909-S,63-56137-S,65-30212-S,66-18349-S
price adjustment	58-35506-B
price as first negotiating step	57-27609-S
price at auction	27-29187-S
price at home	27-27453-S
price cutting	38-66856-B
price decrease	60-34201-S
price e g for the first kilometer	60-15954-S
price for auction	34-52804-S
price index	41-53182-B
price index cpi	21-18847-S,38-32271-S
price list	6-53535-B
price medical prescription	9-39249-S
price name	31-50835-B
price of actuals	42-50924-B
price of commodities	9-58566-S
price of electricity	67-25703-B
price of item	14-17181-B
price of share	29-41699-S
price payment to the bride s family in former times	49-17579-S
price per port	36-6313-B
price reached in an auction	26-7624-B
price reduction	66-16940-B
price relations	36-9438-B
price tag	6-53469-B,66-15973-B
price ticket	10-59500-S
price variation	36-5876-S
priced	23-4850-S,49-53638-S
priced ticket	7-40495-S
priceless	40-46746-B
priceless advice	64-12821-B,64-13181-B
priceless treasure	40-46799-B
prices	1-55903-S,9-30402-S,16-32623-S,38-66856-S,39-53828-S,39-54568-S,41-53131-S,42-12334-S,43-36277-S,47-42538-S,58-40780-S,60-35304-S,68-62126-S,68-62785-S,68-63529-S,68-64157-S
prices appear to be rising	45-38926-S
prices fixed by government in a command economy	47-42538-S
prices in luoyang 成语 saw	37-57098-S
prices scissor caught between low income and high prices	9-30402-B
prices starting from	60-15954-B
prick	9-12429-B,9-13722-S,9-29477-S,26-38993-S,26-39609-S,54-8989-S
prick up one s ears	59-19237-S
prickly ash	53-57694-S
prickly heat	44-8232-B,44-15684-B,44-15719-B
prickly pear	4-28111-B
pride	6-32986-B,53-4959-B,53-14210-S
pride and prejudice	6-32733-B
pride in sth	53-14301-B
priest	12-24834-B,17-29571-S,20-43160-S,41-51936-B,46-58489-S,46-64780-B,51-15663-S,62-50143-S,62-52244-S,62-52244-S
priest or buddhist monk	23-15234-S
priestcraft	46-64818-B
priesthood	51-50624-B
priests	5-33141-S,39-42849-S,70-39180-S
primal chaos	38-54362-B
primary	3-3565-B,3-7338-B,6-60747-B,9-605-B,9-1241-B,11-30177-B,11-34523-B,32-19487-B
primary cause	3-7485-B
primary color	11-35327-B
primary education	9-1143-B,54-63524-B
primary election	68-30926-B
primary election us	9-1618-B
primary independently formed character i e a pictogram 象形 or ideogram 指事	42-22211-S
primary need	36-19315-S
primary progressive aphasia ppa	11-34962-B
primary ring	3-6790-B
primary school	20-63116-B,43-46561-S,54-62406-B,54-64547-B
primary school league	21-3318-S
primary school student	20-63165-B
primary school subject	48-24361-S
primary school teacher	54-62909-B
primary sector of industry	48-9272-B
primate	17-4554-B
primates	67-53447-B
primates taxonomic family	67-53372-B
primates taxonomic order	67-53299-B
prime	62-67494-S,65-567-S
prime factor in arithmetic	59-59845-B
prime mark 	29-5281-B
prime meridian	32-61599-S
prime minister	2-45332-B,9-22863-S,9-33277-S,9-33277-S,19-57675-S,50-33985-B
prime minister in feudal china	19-58401-B
prime minister iraq from 2006	69-34254-S
prime minister of india	21-14493-S
prime minister of japan	33-7452-S
prime minister of japan or uk etc	69-23078-B
prime minister of nepal	24-27729-S
prime minister of singapore	12-69595-S,33-1016-S
prime minister zhuge liang 諸葛亮 诸葛亮 of shu	56-2359-B
prime mover	11-30910-B
prime number	49-24871-B,59-60221-B
prime of life	16-37226-B
prime of one s life	31-35134-S,45-4906-S,67-54216-S
prime tortoise of the record bureau	8-7926-B
primer	23-28551-B,38-57684-B,44-52644-S
primer for writing the great seal script 大篆	12-22222-S
primes	19-20044-S,48-22257-S
priming	58-9421-S,58-34486-S
priming effect	63-64279-S
priming task	13-64669-B
priming technique	13-64787-B
primitive	11-31467-B
primitive dinosaur	48-63296-S
primitive fish	40-64297-S,52-31005-S
primitive forest	11-31550-B
primitive hexapod	55-58166-S,55-58246-S
primitive organism	11-34666-B
primitive people	63-36709-S
primogenitor	18-38719-B
primorsky krai around vladivostok	51-29349-S
primorsky krai russian province around vladivostok 符拉迪沃斯託克 符拉迪沃斯托克	40-11738-B
primorsky region	40-37804-S
primrose	23-65031-S,35-17844-B
primula malacoides	16-10905-B
prince	17-57771-B,42-33065-S,42-34199-B,44-59757-S,44-60371-S,44-60848-B,55-22883-S,57-39820-B
prince alwaleed bin talal al saud of saudi arabia	66-9604-B
prince ananda	66-13717-B,66-13762-B
prince capital of haiti	17-57881-S
prince charming	44-49225-B
prince consort	69-50353-B
prince dan of yan 226 bc	17-57810-B,41-28742-B
prince edward island	25-34522-B,25-34596-B
prince konoe fumimaro 1891 	61-48764-B
prince qing title	25-4417-S
prince ranariddh son of king sihanouk of cambodia	27-25996-B
prince s chambers	31-33354-S
prince s mansion	42-34735-B
prince shōtoku taiji 574 621	51-46861-B
prince who was the designated successor to emperor guangxu until the boxer uprising	39-18770-S
prince yixin 1833 1898	18-7998-S,25-4489-S
princely	42-34454-B
princes	58-47484-S
princes and dukes	42-33343-B
princes of the spring and autumn period 770 476 bc	67-48896-S
princess	7-53920-B,18-44183-B
princess in europe	42-34144-B
princeton	31-48445-B,31-48603-B
princeton university	31-48508-B,31-48666-B
principal	3-7338-B,9-32603-S,32-67285-B
principal and secondary causes	14-61865-S
principal artery	3-4234-B
principal axis in mechanics	3-8088-B
principal normal vector to a space curve	3-6466-B
principal or ancestor of the five sacred mountains 五嶽 五岳	21-37066-S
principal player	32-18183-S
principal proponent	6-61125-B,6-61236-B
principal viewpoint	3-7825-S
principe	51-45771-S
principle	1-1148-S,1-19285-S,3-23839-S,4-26114-S,4-55149-S,9-16471-B,11-30671-B,11-34473-B,12-52179-S,15-69089-S,17-19779-S,29-21528-S,29-24535-S,32-66457-S,35-33484-B,37-32594-S,48-28975-S,48-36174-S,50-4991-S,50-5160-S,51-29738-S,56-44130-S,62-51460-B,62-58120-S,66-40276-S
principle 1927	2-22248-S
principle math phys 	59-7262-S
principle of democracy	36-21738-B
principle of nationalism	36-21002-B
principle of people s livelihood	36-22235-B
principle of yin and yang	66-23523-S
principle source	3-7400-B
principle taoism	66-34671-S
principle 成语 saw	17-52669-S
principled	11-30723-B
principles	17-30719-S,42-27653-S,55-48971-S,55-49115-S
principles and five virtues 成语 saw	1-39604-S
principles behind making money 成语 saw	43-29895-S
principles i e without involving private interests	7-54219-S
principles of the people late 1890s	1-36440-S
print	8-63899-S,8-66094-S,8-66094-S,11-17657-B,11-17794-B,26-41486-S,27-60931-S,41-45215-B,50-19782-S
print and distribute	11-21301-S
print from a webpage	8-66094-S
print galley proof	20-65704-B
print server	26-41544-B
print shop	11-17896-B
printed	41-45143-S
printed book	8-36470-S
printed circuit	11-21422-B
printed circuit board	11-18156-B,11-21493-B
printed cloth	53-55546-B
printed edition	9-14654-S
printed from an engraved or etched plate	41-45215-S
printed material	20-41513-S
printed model characters and blank squares for writing practice	4-45729-S
printed page or news story	48-31965-S
printed products	11-17834-B
printed sheet	41-45442-S
printed using gravure e g postage stamps	8-33198-S
printed work	61-29015-S
printer	11-18029-B,11-21370-B,26-41619-B,29-9788-S,29-9882-S,40-4539-S,50-7350-S,65-2122-S
printers plates	27-52663-S
printing	6-16414-S,8-31693-S,9-14708-S,9-14853-S,11-18082-B,28-15603-S,41-44718-S,46-4366-S,52-48038-S,65-9762-S,65-37687-S
printing and dyeing	11-20103-B
printing block	23-56865-S
printing blocks	34-13079-B
printing errors	10-3453-S
printing house	11-17896-B
printing in red e g a banner headline	18-9712-B
printing money	11-21767-B
printing plate	8-31639-S,8-33198-S,11-17969-B,11-20613-B,15-27475-S
printing technology	11-18082-B
printing using several overlayed images	18-8639-S,18-9912-S
printing with metal plates	8-31693-B
printing with movable type	37-64739-B
prior	3-29147-B,7-2980-B,68-28615-B
prior consultation	2-24294-S,2-29887-S
prior notice	26-44565-S
prior purchase right	6-57171-B
prior to	3-10742-B
prior to accepting it	24-16079-S
priori and a posteriori philosophy	7-6650-S
priority	6-57128-B,7-4068-B,7-4355-B,33-11264-S,41-58495-S,43-66228-S,61-13271-S
priory of zion fictional masonic order	63-20782-B
prism	1-38844-S,47-31211-B,47-31415-B
prism math 	1-42222-S,14-52862-S,33-48601-B,57-45130-B
prismatic lens	47-31415-B
prison	3-65766-S,7-25134-S,8-41951-S,14-63926-S,14-63967-B,14-64007-B,15-1157-B,15-1516-S,17-27580-B,27-39256-B,42-15743-B,42-24155-S,45-8806-B,45-9294-S,45-9371-B,60-27315-S,61-65086-S
prison camp	10-4987-S
prison cell	41-51236-B
prison etc	9-2285-S
prison sentence	8-64644-S,24-5248-B,32-42441-S
prison term	8-64506-B
prisoner	5-30821-B,14-45270-B,14-45301-B,14-45342-S,21-9661-S,27-38269-B,27-38371-S,27-39179-S,29-18076-S,29-56586-S,35-16024-S,42-2364-B,63-53161-S
prisoner of conscience	53-41305-B
prisoner of war	5-33813-B,26-16814-B
prisoner on a cart	35-16024-S
prisoner released for medical treatment	5-35037-S
prisoners	9-63188-S,44-17558-S,45-9294-S,61-31548-S
prisoners of war	62-64107-S
pristina	31-51063-B
privacy	38-34176-S,41-7001-S,66-48827-B,66-50234-B
privacy right	66-48867-B
private	47-11719-B,47-11765-S,47-11857-B,47-12641-B,47-12984-B,47-13339-B
private brand	53-7097-B
private car	47-12411-B
private channels	60-9778-S
private citizen	31-51503-B,47-11857-B
private company	47-13222-B
private discussion	20-5721-B
private ends by abusing public position	6-6513-S
private equity fund	47-12131-B
private firm	5-54103-S
private firm prc usage	5-54021-S
private good	47-12827-B
private house	36-20598-B,47-12594-B
private interests	7-54219-S,7-63014-S
private interests 成语 saw	6-6513-S
private key in encryption	47-11915-B
private language used as secret code	8-60709-B
private law	47-12941-B
private liberal arts college in grinnell	33-66493-S
private operation	7-63167-S
private ownership of property	47-12697-B
private partnership venture	7-63077-S
private parts	47-13492-B,66-25486-B
private passion	47-12466-B
private placement e g hedge fund	47-12131-S
private placement investing	47-12070-B
private plot allocated to an individual on a collective farm	53-12041-B
private room	20-3954-B
private saved money of close family members	70-6586-B
private saving of family members	34-15935-B,70-6514-B
private school	32-12663-S,47-13270-B
private school in former times	47-12305-B
private sector for which no good or service is required in return	61-26637-S
private tutor	19-62711-B,33-12299-S
private tutorage	16-23075-B
private understanding between individuals derog 	70-0-B
private university in tokyo	31-15185-S
private whisper	8-60594-S
private worry	66-48009-B
private wrongs	7-58035-S
privately	52-17233-B
privately owned	47-12641-B,47-12984-B
privately run i e by a company	36-22037-B
privatization	36-22104-B,47-12770-B
privilege	35-18298-B,41-56336-B,41-58614-S,41-59706-B
privileged	41-59706-B
privy	39-25044-B
privy council	34-56943-B
privy council during the qing dynasty	60-65746-B
prize	1-16896-S,2-76076-S,11-64857-S,13-22607-S,18-17614-S,23-55869-S,24-6484-S,24-8517-S,27-17459-S,28-12482-S,30-27392-S,34-52202-B,41-38238-S,41-38393-S,42-16551-B,42-16661-B,42-16846-S,42-16896-S,42-16999-B,44-56622-S,54-7606-S,58-49817-S,58-49874-S,58-50079-S,64-45518-B,68-32266-S,68-34827-S,68-38562-S
prize e g lottery	17-27623-S
prize for freedom of thought awarded by eu since 1988	55-23734-S
prize for human rights	55-23607-S,55-23934-S
prize for literature	58-49970-S
prize for music recording	54-57371-S
prize for science and arts	37-3370-S
prize or reward	68-32361-S
prize winner	42-16766-B,47-43751-S,68-34827-S
prize winning	42-23934-B
pro	52-35186-S,57-37612-B
pro localization faction in taiwanese politics	32-62129-B
pro quo	20-47267-S
pro war faction	3-5549-S
proactive	47-39653-B
probability	12-15884-B,12-15974-B,22-58120-B,35-4500-B,55-6022-B
probability and mathematical statistics	34-37730-B
probability math 	34-37678-B,34-37855-B
probability of letter sequences	19-5684-B
probable	12-15884-B
probably	7-10018-B,7-51396-S,17-21418-S,17-22916-B,35-60240-B,54-24079-B
probably c 1810 c 1871	46-9182-S
probably early 8th century	23-40264-S
probably extinct	44-49736-S
probably related to central asian zurna	57-53806-S,57-53924-S
probation	58-13073-S,58-13141-B
probative value	58-60721-B
probe	4-63557-S,11-12928-S,18-59787-S,28-23264-S,28-23345-B,28-23627-S,28-23907-B,28-24140-B,28-24333-S,32-26090-S,46-13522-S,46-15831-S,47-50351-S,58-12828-S
probe character	28-23408-B
probe into	33-46049-S
probe word	28-23468-B
problem	8-15558-S,13-11913-B,13-62980-S,13-63299-B,14-43080-S,14-63603-B,17-10158-S,17-10158-S,24-55030-S,27-49482-S,29-48135-S,32-48109-S,33-56323-S,34-22284-S,37-9259-S,37-11802-S,44-5381-B,44-21773-S,52-4115-S,53-43083-S,57-51070-S,58-34950-B,61-56182-S,62-18478-S,65-9835-S,65-10101-S,67-11146-B,67-11981-B,67-13376-B,67-13833-S,68-2948-S
problem appears	8-40253-S
problem as old as the world itself	2-39416-S
problem at one fell swoop	1-17915-S
problem at one glance	45-17560-S
problem etc	33-64369-S,37-24511-S
problem for discussion	68-42769-B
problem in what is othewise perfect	51-1654-S
problem is 	14-63676-S
problem math phys 	1-44714-S
problem only to find another cropping up	27-61868-S
problem solving	57-51000-B
problem to find the right way to solve it	20-53110-S,20-53317-S
problem to sb	28-36646-S
problem worse by inappropriate action	27-13649-S
problems	8-37116-S,22-32093-S,48-28499-S,68-3030-S,68-40655-S
problems complicate an issue	48-28499-S
problems 俗语 common saying	19-61691-S
problems 成语 saw	61-44878-S
procaine nerve blocking agent	31-53147-B
procambarus clarkii	56-8563-S
procapra przewalskii of central asia	31-49127-S
procedure	5-12150-S,5-27006-S,8-64292-S,8-64769-S,21-55258-S,47-29151-B
procedure of puncturing to extract bodily fluid	47-51203-S
procedures	47-29247-B,53-3067-S
proceed	28-27616-S,39-55651-S
proceed to	69-50389-B
proceed towards	9-19956-S
proceed with	50-43216-S
proceeding at a tremendous pace	61-61143-B
proceedings	5-25298-S
process	1-12142-S,8-62321-S,9-54884-S,21-55258-B,28-20888-S,29-46827-S,31-32471-S,34-57908-S,35-41879-S,35-53017-B,41-26272-S,43-27581-S,49-62340-B,55-50218-S,58-2433-S,58-13413-S,62-30246-B,62-47815-B,65-39743-S
process es	49-40484-S
process is more beautiful than the outcome	62-47875-S
process lens working by color separation	8-57743-B
process of an illness	44-10647-S
process of becoming civilized	65-30761-S
process of childbirth	43-32725-S
process of doing something or happening	35-34678-S
process of producing coke from coal	41-781-S
process of the law	37-32721-S
process posterior part of temporal bone	3-22944-S
process trade	9-55172-B
processed	35-4946-S
processed coal used in blast furnace	40-65335-S
processes	7-38525-S,24-952-S,38-5163-S
processing	1-19803-S,5-46386-S,8-55184-S,9-23908-S,9-54884-B,11-58454-S,15-26004-S,20-13463-S,23-58981-S,30-28746-S,34-37249-S,47-42329-S,52-63037-S,52-63144-S
processing capability	55-50345-B
processing computing	3-1509-S
processing efficiency	9-55027-B
processing fee	26-35150-B
processing olap	51-61711-S
processing plant	9-54963-B,41-24056-S
processing skill	57-36829-S
processing unit cpu	2-67547-S
procession	7-24305-S,8-37176-S,8-40193-S,26-49604-S,28-321-S,40-21382-S,40-21449-S,51-19458-S,56-31662-B,60-744-S,61-8522-S,61-63990-S
processor	55-50293-B
processor register	20-1565-B
proclaim	19-54201-B,19-54544-S,19-54724-S,51-66436-S
proclaim oneself hegemon	47-35354-S
procrastinate	14-60157-S,23-17679-S,27-36678-S,62-58519-S,62-67788-S,68-23686-S
procrastinating	27-37044-B
procrastination	27-36231-B,27-36298-S
procrustean bed	9-17159-S
procter gamble	20-29916-B
procurator	35-13091-B
procuratorate	35-12936-B
procuratorate prosecutor s office	32-21641-S
procure	5-31122-B,27-24690-S
procurer	44-65672-B,69-31870-B
procuress	70-53644-B
procyon lotor	38-9351-B
procyonoides	59-27312-S,59-27453-S
prod	26-21857-S,29-11950-S
prod sly	24-33444-S
prodigal	28-50565-B,29-66013-B,65-51089-B
prodigal son	29-65932-S,38-11507-B,38-11568-S
prodigy	4-15449-S,46-59017-S
produce	6-13941-S,8-33733-S,9-35019-S,9-37912-S,19-16265-B,22-27974-S,26-58208-S,43-20965-S,43-26523-S,43-30965-S,43-32422-S,49-39832-S,55-13351-B,61-42319-S,61-42388-S,70-43468-B
produce a change in sth	41-63163-S
produce a draft manuscript	26-47716-S
produce an effect	68-50948-S
produce an item	8-36892-S
produce clouds and rain with a turn of the hand 成语 saw	51-23712-S
produce from sth else	38-1109-S
produce high frequency radio waves	62-17241-S
produce in abundance	45-5689-S
produce microwaves	46-35604-S
produce offspring	19-4199-S
produce sth after a model	4-46075-S
produced	8-36892-S,43-20965-B
produced by wind	68-54776-B
produced in sea	36-44542-B,38-22759-B
produced in the nose with the back of the tongue against the soft palate	24-3194-S
produced in the nose with the tongue against the alveolar ridge	9-26190-S
produced locally	15-32008-B
produced no results	32-58297-S
produced with the tip of the tongue	53-29787-S
producer	37-22348-S,57-3791-B
producer film	8-36975-B
producers cooperative	61-41657-S
producers cooperative etc	12-32022-S
produces a piece of work for sb else to pass off as their own	34-44394-S
produces female sex hormone in bees	33-9374-S,33-9469-S
producing a copy	8-9549-B
producing a special product	20-39851-S
producing abnormality	50-24917-B
producing aromatic or halucinogenic oils	52-6456-S,52-6613-S
producing coke from coal	41-781-S
producing countries	43-32300-S
