恙 恙 [01\[ yàng\]]	sickness
恩賈梅納 恩贾梅纳 [01\[ ēn jiǎ méi nà\]]	n'djamena (capital of chad)
恩賜 恩赐 [01\[ ēn cì\]]	favor;to give charity to sb out of pity
恪 恪 [01\[ kè\]]	surname ke;respectful;scrupulous
恪守 恪守 [01\[ kè shǒu\]]	scrupulously abide by
恪慎 恪慎 [01\[ kè shèn\]]	careful;reverently
恪遵 恪遵 [01\[ kè zūn\]]	scrupulous observe (rules or tradition)
恫 恫 [01\[ dòng\]]	frighten
恫嚇 恫吓 [01\[ dòng hè\]]	intimidate;make threats
恬 恬 [01\[ tián\]]	quiet;calm;tranquil;peaceful
恬然 恬然 [01\[ tián rán\]]	unperturbed;nonchalant
恬靜 恬静 [01\[ tián jìng\]]	still;peaceful;quiet
恭 恭 [01\[ gōng\]]	respectful
恭候 恭候 [01\[ gōng hòu\]]	to look forward to sth;to wait respectfully
恭喜 恭喜 [01\[ gōng xǐ\]]	congratulations;greetings
恭喜發財 恭喜发财 [01\[ gōng xǐ fā cái\]]	wishing you a prosperous new year! (traditional new year greeting);congratulations and best wishes for a prosperous new year!;happy new year!
恭城 恭城 [01\[ gōng chéng\]]	(n) gongchen (place in guangxi)
恭敬 恭敬 [01\[ gōng jìng\]]	deferential;with respect
恭敬不如從命 恭敬不如从命 [01\[ gōng jìng bù rú cōng mìng\]]	deference is no substitute for obedience (成语 saw); to follow sb's precepts is the sincerest form of respect
恭維 恭维 [01\[ gōng wéi\]]	to flatter or give a compliment
恭親王 恭亲王 [01\[ gōng qīn wáng\]]	grand prince (qing title)
恭親王奕訢 恭亲王奕䜣 [01\[ gōng qīn wáng yì xīn\]]	grand prince yixin (1833-1898)
恭賀新禧 恭贺新禧 [01\[ gōng hè xīn xǐ\]]	happy new year
恭順 恭顺 [01\[ gōng shùn\]]	deferent
息 息 [01\[ xī\]]	news;interest;breath;rest;taiwan pr. xi2
息峰縣 息峰县 [01\[ xī fēng xiàn\]]	xifeng county in guizhou
息息相關 息息相关 [01\[ xī xī xiāng guān\]]	closely bound up (成语 saw); intimately related
息票 息票 [01\[ xī piào\]]	interest coupon;dividend coupon
息縣 息县 [01\[ xī xiàn\]]	xi county in xinyang 信陽|信阳
恰 恰 [01\[ qià\]]	exactly;just
恰似 恰似 [01\[ qià sì\]]	just like;exactly like
恰到好處 恰到好处 [01\[ qià dào hǎo chù\]]	it's just perfect;it's just right
恰好 恰好 [01\[ qià hǎo\]]	as it turns out;by lucky coincidence
恰如 恰如 [01\[ qià rú\]]	just as if
恰如其份 恰如其份 [01\[ qià rú qí fèn\]]	appropriate;judicious;accurate (assessment etc)
恰如其分 恰如其分 [01\[ qià rú qí fèn\]]	(saying) to say or do something appropriate
恰巧 恰巧 [01\[ qià qiǎo\]]	fortunately;unexpectedly;by coincidence
恰帕斯州 恰帕斯州 [01\[ qià pà sī zhōu\]]	chiapas
恰恰 恰恰 [01\[ qià qià\]]	exactly;just;precisely
恰當 恰当 [01\[ qià dàng\]]	appropriate;suitable
恵 恵 [01\[ huì\]]	japanese variant of 惠;favor;blessing
恿 恿 [01\[ yǒng\]]	urge;incite
悁 悁 [01\[ juān\]]	angry;sad
悁 悁 [01\[ juàn\]]	impatient
悃 悃 [01\[ kǔn\]]	sincere
悄 悄 [01\[ qiǎo\]]	quiet;sad
悄悄 悄悄 [01\[ qiǎo qiǎo\]]	quietly
悄悄地 悄悄地 [01\[ qiāo qiāo de\]]	gently;softly;stealthily
悄然 悄然 [01\[ qiǎo rán\]]	quietly
悄然無聲 悄然无声 [01\[ qiǎo rán wú shēng\]]	absolutely quiet
悅 悦 [01\[ yuè\]]	pleased
悅納 悦纳 [01\[ yuè nà\]]	to find acceptable
悆 悆 [01\[ yù\]]	happy
悉 悉 [01\[ xī\]]	in all cases;know
悉尼 悉尼 [01\[ xī ní\]]	sydney
悊 悊 [01\[ zhé\]]	variant of 哲;philosophy;wisdom;intuitive knowledge;to revere
悌 悌 [01\[ tì\]]	do one's duty as a younger brother
悍 悍 [01\[ hàn\]]	heroic;intrepid;valiant;dauntless;fierce;ferocious;violent
悍勇 悍勇 [01\[ hàn yǒng\]]	intrepid;valiant;dauntless
悍婦 悍妇 [01\[ hàn fù\]]	violent woman;shrew
悍然 悍然 [01\[ hàn rán\]]	outrageous;brazen;flagrant
悍然不顧 悍然不顾 [01\[ hàn rán bù gù\]]	outrageous and unconventional (成语 saw); flying in the face of (authority
悐 悐 [01\[ tì\]]	respect
悒 悒 [01\[ yì\]]	anxiety;worry
悔 悔 [01\[ huǐ\]]	regret
悔恨 悔恨 [01\[ huǐ hèn\]]	remorse;repentance
悔悟 悔悟 [01\[ huǐ wù\]]	to repent
悔改 悔改 [01\[ huǐ gǎi\]]	repent;repentance
悔罪 悔罪 [01\[ huǐ zuì\]]	conviction
悔過 悔过 [01\[ huǐ guò\]]	regret;repent
悔過自新 悔过自新 [01\[ huǐ guò zì xīn\]]	to repent and start afresh (成语 saw); to turn over a new leaf
悖 悖 [01\[ bèi\]]	perverse;rebellious;to rebel
悖論 悖论 [01\[ bèi lùn\]]	(logic) paradox
悖逆 悖逆 [01\[ bèi nì\]]	contrary
悚 悚 [01\[ sǒng\]]	frightened
悛 悛 [01\[ quān\]]	to reform
悜 悜 [01\[ chěng\]]	obscure
悝 悝 [01\[ kuī\]]	laugh at
悝 悝 [01\[ lǐ\]]	sad
悟 悟 [01\[ wù\]]	comprehend
悠 悠 [01\[ yōu\]]	at ease;long (in time);sad
悠久 悠久 [01\[ yōu jiǔ\]]	established;long
悠哉遊哉 悠哉游哉 [01\[ yōu zāi yóu zāi\]]	free and unconstrained (成语 saw); leisurely and carefree
悠悠 悠悠 [01\[ yōu yōu\]]	lasting for ages;long drawn out;remote in time or space;unhurried;a great number (of events);preposterous;pensive
悠揚 悠扬 [01\[ yōu yáng\]]	melodious;mellifluous
悠閒 悠闲 [01\[ yōu xián\]]	ease;leisurely
患 患 [01\[ huàn\]]	misfortune;suffer (from illness);trouble;danger;worry;to contract (a disease)
患病 患病 [01\[ huàn bìng\]]	to sicken;to fall ill
患者 患者 [01\[ huàn zhě\]]	patient;sufferer
患處 患处 [01\[ huàn chù\]]	afflicted part
患難 患难 [01\[ huàn nàn\]]	trials and tribulations
悧 悧 [01\[ lì\]]	smooth;active;clever;sharp
您 您 [01\[ nín\]]	you (formal)
您好 您好 [01\[ nín hǎo\]]	hello (formal)
您是不是要查 您是不是要查 [01\[ nín shì bù shì yāo chá\]]	did you mean to search for ..?
悩 悩 [01\[ nǎo\]]	japanese variant of 惱|恼
悪 悪 [01\[ è\]]	japanese variant of 惡|恶
悮 悮 [01\[ wù\]]	to impede;to neglect;to delay
悰 悰 [01\[ cóng\]]	joy
悱 悱 [01\[ fěi\]]	want but cannot speak
悲 悲 [01\[ bēi\]]	sad;sadness;sorrow;grief
悲傷 悲伤 [01\[ bēi shāng\]]	sad;sorrowful
悲切 悲切 [01\[ bēi qiè\]]	mournful
悲劇 悲剧 [01\[ bēi jù\]]	tragedy
悲劇性 悲剧性 [01\[ bēi jù xìng\]]	tragic
悲劇缺陷 悲剧缺陷 [01\[ bēi jù quē xiàn\]]	tragic flaw (aristotle's hamartia)
悲哀 悲哀 [01\[ bēi āi\]]	grieved;sorrowful
悲喜交集 悲喜交集 [01\[ bēi xǐ jiāo jí\]]	mixed feelings of grief and joy
悲喜劇 悲喜剧 [01\[ bēi xǐ jù\]]	tragicomedy
悲嘆 悲叹 [01\[ bēi tàn\]]	sigh mournfully;lament
悲壯 悲壮 [01\[ bēi zhuàng\]]	solemn and stirring;moving and tragic
悲天憫人 悲天悯人 [01\[ bēi tiān mǐn rén\]]	bemoan the state of the universe and pity the fate of mankind
悲悼 悲悼 [01\[ bēi dào\]]	mourn;grieve over sb's death
悲愁 悲愁 [01\[ bēi chóu\]]	melancholy
悲愴 悲怆 [01\[ bēi chuàng\]]	sorrow;tragic
悲慘 悲惨 [01\[ bēi cǎn\]]	miserable;tragic
悲慘世界 悲惨世界 [01\[ bēi cǎn shì jiè\]]	les misérables by victor hugo 維克多·雨果|维克多·雨果
悲慟 悲恸 [01\[ bēi tòng\]]	mournful
悲憤 悲愤 [01\[ bēi fèn\]]	grief and indignation
悲憫 悲悯 [01\[ bēi mǐn\]]	to take pity on sb;compassionate
悲戚 悲戚 [01\[ bēi qī\]]	mournful
悲歌 悲歌 [01\[ bēi gē\]]	sad melody;stirring strains;elegy;dirge;threnody;sing with solemn fervor
悲歎 悲叹 [01\[ bēi tàn\]]	to bewail;to sigh mournfully;to lament
悲歡離合 悲欢离合 [01\[ bēi huān lí hé\]]	joys and sorrows;partings and reunions;the vicissitudes of life
悲泣 悲泣 [01\[ bēi qì\]]	weep with grief
悲痛 悲痛 [01\[ bēi tòng\]]	grieved;sorrowful
悲聲載道 悲声载道 [01\[ bēi shēng zài dào\]]	lamentations fill the roads (成语 saw); severe suffering all around
悲觀 悲观 [01\[ bēi guān\]]	pessimistic
悲鳴 悲鸣 [01\[ bēi míng\]]	utter sad calls;lament
悴 悴 [01\[ cuì\]]	haggard;sad;downcast;distressed
悵 怅 [01\[ chàng\]]	regretful;upset;despair;depressed
悶 闷 [01\[ mēn\]]	stuffy;shut indoors;to smother;to cover tightly
悶 闷 [01\[ mèn\]]	melancholy;depressing
悶悶不樂 闷闷不乐 [01\[ mèn mèn bù lè\]]	depressed;sulky;moody;unhappy
悶熱 闷热 [01\[ mēn rè\]]	sultry;sultriness;hot and stuffy;stifling hot
悸 悸 [01\[ jì\]]	afraid
悻 悻 [01\[ xìng\]]	angry
悼 悼 [01\[ dào\]]	mourn;lament
悼念 悼念 [01\[ dào niàn\]]	to grieve
悼襄王 悼襄王 [01\[ dào xiāng wáng\]]	king daoxiang of zhao 趙國|赵国
悼詞 悼词 [01\[ dào cí\]]	memorial speech;eulogy
悼辭 悼辞 [01\[ dào cí\]]	variant of 悼詞|悼词
悽 悽 [01\[ qī\]]	variant of 淒|凄
悾 悾 [01\[ kōng\]]	simple-minded;sincere
惄 惄 [01\[ nì\]]	distressed;famished
情 情 [01\[ qíng\]]	feeling;emotion;passion;situation
情不可卻 情不可却 [01\[ qíng bù kě què\]]	unable to refuse because of affection
情不自禁 情不自禁 [01\[ qíng bù zì jìn\]]	unable to restrain emotions;cannot help
情事 情事 [01\[ qíng shì\]]	case;phenomenon;circumstance;feelings
情人 情人 [01\[ qíng rén\]]	lover;sweatheart
情人眼裡出西施 情人眼里出西施 [01\[ qíng rén yǎn lǐ chū xī shī\]]	in the eyes of the lover
情人節 情人节 [01\[ qíng rén jié\]]	valentine's day
情人節快樂 情人节快乐 [01\[ qíng rén jié kuài lè\]]	happy valentine's day
情侶 情侣 [01\[ qíng lǚ\]]	sweethearts;lovers
情分 情分 [01\[ qíng fèn\]]	mutual affection;friendship
情勢 情势 [01\[ qíng shì\]]	situation;circumstance
情同手足 情同手足 [01\[ qíng tóng shǒu zú\]]	as close as one's hands and feet (成语 saw); loving one another as brothers;deep friendship;closely attached to one another
情同骨肉 情同骨肉 [01\[ qíng tóng gǔ ròu\]]	as close as flesh and bones (成语 saw); deep friendship
情報 情报 [01\[ qíng bào\]]	(spy) intelligence;information-gathering
情報官員 情报官员 [01\[ qíng bào guān yuán\]]	intelligence official
情報局 情报局 [01\[ qíng bào jú\]]	intelligence agency
情報處 情报处 [01\[ qíng bào chù\]]	source (of information)
情報部 情报部 [01\[ qíng bào bù\]]	intelligence agency
情報部門 情报部门 [01\[ qíng bào bù mén\]]	intelligence agency
情場 情场 [01\[ qíng chǎng\]]	affairs of the heart;mutual relationship
情境 情境 [01\[ qíng jìng\]]	situation;atmosphere
情境模型 情境模型 [01\[ qíng jìng mó xíng\]]	situational model
情婦 情妇 [01\[ qíng fù\]]	mistress;paramour (of married man)
情形 情形 [01\[ qíng xing\]]	circumstances;situation
情急 情急 [01\[ qíng jí\]]	anxious
情急之下 情急之下 [01\[ qíng jí zhī xià\]]	in a moment of desperation
情急了 情急了 [01\[ qíng jí liǎo\]]	mythical talking bird;mynah bird
情急智生 情急智生 [01\[ qíng jí zhì shēng\]]	inspiration in a moment of desperation (成语 saw);also written 情急之下
情愛 情爱 [01\[ qíng ài\]]	affection;friendly feelings towards sb;love
情感 情感 [01\[ qíng gǎn\]]	feeling;emotion;to move (emotionally)
情懷 情怀 [01\[ qíng huái\]]	feelings;mood
情投意合 情投意合 [01\[ qíng tóu yì hé\]]	two parties be congenial;share much in common
情操 情操 [01\[ qíng cāo\]]	sentiment towards sb;platonic affection
情敵 情敌 [01\[ qíng dí\]]	rival in love
情景 情景 [01\[ qíng jǐng\]]	scene;sight;circumstances
情書 情书 [01\[ qíng shū\]]	love letter
情有可原 情有可原 [01\[ qíng yǒu kě yuán\]]	pardonable (of interruption
情有獨鍾 情有独锺 [01\[ qíng yǒu dú zhōng\]]	to have a feeling for sth (affection
情有獨鐘 情有独钟 [01\[ qíng yǒu dú zhōng\]]	to have a feeling for sth (affection
情欲 情欲 [01\[ qíng yù\]]	lust;desire;sensual
情歌 情歌 [01\[ qíng gē\]]	love song
情殺 情杀 [01\[ qíng shā\]]	to murder for love;a crime of passion
情況 情况 [01\[ qíng kuàng\]]	circumstances;state of affairs;situation
情況下 情况下 [01\[ qíng kuàng xià\]]	under (these) circumstances
情狀 情状 [01\[ qíng zhuàng\]]	situation;circumstances
情理 情理 [01\[ qíng lǐ\]]	reason;sense
情癡 情痴 [01\[ qíng chī\]]	infatuated;lovesick person
情種 情种 [01\[ qíng zhòng\]]	affectionate;an affectionate person
情節 情节 [01\[ qíng jié\]]	plot;circumstances
情結 情结 [01\[ qíng jié\]]	complex (psychology)
情緒 情绪 [01\[ qíng xù\]]	feeling;sentiment
情緒化 情绪化 [01\[ qíng xù huà\]]	emotional;sentimental
情色 情色 [01\[ qíng sè\]]	erotic;pornographic
情詩 情诗 [01\[ qíng shī\]]	love poem
情話 情话 [01\[ qíng huà\]]	terms of endearment;words of love
情誼 情谊 [01\[ qíng yì\]]	friendship;camaraderie
情調 情调 [01\[ qíng diào\]]	sentiment; tone and mood; taste
情趣 情趣 [01\[ qíng qù\]]	one's temperament and interests;emotional appeal
情郎 情郎 [01\[ qíng láng\]]	boyfriend;paramour (of a woman)
情面 情面 [01\[ qíng miàn\]]	feelings and sensibilities;sentiment and face;sensitivity to other's feelings
情願 情愿 [01\[ qíng yuàn\]]	willingness;would rather (agree to x than y)
惆 惆 [01\[ chóu\]]	forlorn;vexed;disappointed
惆悵 惆怅 [01\[ chóu chàng\]]	melancholy;depression
惇 敦 [01\[ dūn\]]	kind-hearted
惋 惋 [01\[ wǎn\]]	regret
惋惜 惋惜 [01\[ wǎn xī\]]	to feel sorry for a person over sth that should have happened
惌 惌 [01\[ yuān\]]	to bear a grudge against
惎 惎 [01\[ jì\]]	injure;vilify
惏 惏 [01\[ lín\]]	avaricious;greedy
惑 惑 [01\[ huò\]]	confuse
惑星 惑星 [01\[ huò xīng\]]	planet
惓 惓 [01\[ quán\]]	earnest
惔 惔 [01\[ yǎn\]]	cheerful
惕 惕 [01\[ tì\]]	fearful;respectful
惕然 惕然 [01\[ tì rán\]]	to be afraid
惘 惘 [01\[ wǎng\]]	desolate
惙 惙 [01\[ chuò\]]	mournful;uncertain
惚 惚 [01\[ hū\]]	indistinct
惛 惛 [01\[ hūn\]]	confused;forgetful;silly
惜 惜 [01\[ xī\]]	pity;regret;to rue;to begrudge;taiwan pr. xi2
惜別 惜别 [01\[ xī bié\]]	reluctant to part
惝 惝 [01\[ chǎng\]]	disappointed
惝 惝 [01\[ tǎng\]]	disappointed
惟 惟 [01\[ wéi\]]	-ism;only
惟一 惟一 [01\[ wéi yī\]]	the only;sole
惟妙惟肖 惟妙惟肖 [01\[ wéi miào wéi xiào\]]	imitate to perfection;be remarkably true to life
惟有 惟有 [01\[ wéi yǒu\]]	only
惟獨 惟独 [01\[ wéi dú\]]	only;solely;this one alone
惠 惠 [01\[ huì\]]	favor;blessing;surname hui
惠來 惠来 [01\[ huì lái\]]	(n) huilai (place in guangdong)
惠子 惠子 [01\[ huì zi\]]	hui shi 惠施 (c. 370-310 bc)
惠安 惠安 [01\[ huì ān\]]	(n) hui'an (place in fujian)
惠州 惠州 [01\[ huì zhōu\]]	huizhou prefecture level city in guangdong
惠州市 惠州市 [01\[ huì zhōu shì\]]	huizhou prefecture level city in guangdong province
惠文王 惠文王 [01\[ huì wén wáng\]]	king huiwen of zhao 趙國|赵国
惠施 惠施 [01\[ huì shī\]]	hui shi (c. 370-310 bc)
惠普 惠普 [01\[ huì pǔ\]]	hewlett-packard
惠普公司 惠普公司 [01\[ huì pǔ gōng sī\]]	hewlett-packard;hp
惠更斯 惠更斯 [01\[ huì gēng sī\]]	hyugens (name);christiaan huygens (1629-1695)
惠東 惠东 [01\[ huì dōng\]]	(n) huidong (place in guangdong)
惠民 惠民 [01\[ huì mín\]]	(n) huimin (place in shandong)
惠水 惠水 [01\[ huì shuǐ\]]	(n) huishui (place in guizhou)
惠農 惠农 [01\[ huì nóng\]]	(n) huinong (place in ningxia)
惠陽 惠阳 [01\[ huì yáng\]]	(n) huiyang (city in guangdong)
惠陽地區 惠阳地区 [01\[ huì yáng dì qū\]]	(n) huiyang district (district in guangdong)
惠靈頓 惠灵顿 [01\[ huì líng dùn\]]	wellington (capital of new zealand)
惠顧 惠顾 [01\[ huì gù\]]	your patronage
惡 恶 [01\[ ě\]]	nauseated
惡 恶 [01\[ è\]]	evil;vice;wicked;malevolent;malignant;pernicious;fierce
惡 恶 [01\[ wù\]]	to hate;to loathe
惡事 恶事 [01\[ è shì\]]	evil;malicious deed
惡事傳千里 恶事传千里 [01\[ è shì chuán qiān lǐ\]]	evil deeds spread a thousand miles (成语 saw); scandal spreads like wildfire
惡人 恶人 [01\[ è rén\]]	evil person;vile creature;ugly man
惡人先告狀 恶人先告状 [01\[ è rén xiān gào zhuàng\]]	the villain sues first;the guilty party files the suit
惡仗 恶仗 [01\[ è zhàng\]]	hard fighting;fierce battle
惡作劇 恶作剧 [01\[ è zuò jù\]]	mischief;mischievous;practical joke
惡俗 恶俗 [01\[ è sú\]]	bad habit;evil custom;vulgarity
惡兇兇 恶凶凶 [01\[ è xiōng xiōng\]]	fierce
惡劣 恶劣 [01\[ è liè\]]	vile;nasty;of very poor quality
惡勢力 恶势力 [01\[ è shì li\]]	evil forces;criminals elements
惡化 恶化 [01\[ è huà\]]	worsen
惡叉白賴 恶叉白赖 [01\[ è chā bái lài\]]	evil behavior (成语 saw); brazen villainy
惡口 恶口 [01\[ è kǒu\]]	bad language;foul mouth
惡名 恶名 [01\[ è míng\]]	bad name;evil reputation
惡名兒 恶名儿 [01\[ è míng 5r\]]	erhua variant of 惡名|恶名
惡名昭彰 恶名昭彰 [01\[ è míng zhāo zhāng\]]	notorious
惡唑啉 恶唑啉 [01\[ è zuò lín\]]	oxacillin
惡唑啉酮 恶唑啉酮 [01\[ è zuò lín tóng\]]	oxacillin
惡報 恶报 [01\[ è bào\]]	retribution
惡夢 恶梦 [01\[ è mèng\]]	nightmare
惡婦 恶妇 [01\[ è fù\]]	vicious wife
惡少 恶少 [01\[ è shào\]]	young thug;malicious young ruffian
惡徒 恶徒 [01\[ è tú\]]	hoodlum;bad guy
惡德 恶德 [01\[ è dé\]]	wickedness;evil behavior
惡心 恶心 [01\[ ě xīn\]]	nausea;to feel sick;disgust;nauseating
惡心 恶心 [01\[ è xīn\]]	bad habit;vicious habit;vice
惡性 恶性 [01\[ è xìng\]]	malignant;wicked;vicious (circle);producing evil;rapid (decline);runaway (inflation)
惡性循環 恶性循环 [01\[ è xìng xún huán\]]	vicious circle
惡性瘧原蟲 恶性疟原虫 [01\[ è xìng nüè yuán chóng\]]	plasmodium falciparum (malaria parasite)
惡性腫瘤 恶性肿瘤 [01\[ è xìng zhǒng liú\]]	malign tumor
惡性通貨膨脹 恶性通货膨胀 [01\[ è xìng tōng huò péng zhàng\]]	hyperinflation
惡恨 恶恨 [01\[ è hèn\]]	to hate;to abhor
惡惡實實 恶恶实实 [01\[ è è shí shí\]]	very fierce
惡意 恶意 [01\[ è yì\]]	malice;evil intention
惡意中傷 恶意中伤 [01\[ è yì zhōng shāng\]]	malicious libel;slander
惡意代碼 恶意代码 [01\[ è yì dài mǎ\]]	malicious code (e.g. virus);malware
惡感 恶感 [01\[ è gǎn\]]	malice;ill will
惡戰 恶战 [01\[ è zhàn\]]	hard fighting;fierce battle
惡損 恶损 [01\[ è sǔn\]]	to ridicule
惡搞 恶搞 [01\[ è gǎo\]]	a spoof (web based genre in prc acquiring cult status from 2005
惡搞文化 恶搞文化 [01\[ è gǎo wén huà\]]	spoofing culture (web based genre in prc acquiring cult status from 2005
惡有惡報 恶有恶报 [01\[ è yǒu è bào\]]	evil has its retribution (成语 saw); to suffer the consequences of one's bad deeds;sow the wind and reap the whirlwind (hosea 8:7)
惡果 恶果 [01\[ è guǒ\]]	evil consequence;retribution (in buddhism)
惡棍 恶棍 [01\[ è gùn\]]	villain
惡歲 恶岁 [01\[ è suì\]]	lean year;year of bad harvest
惡毒 恶毒 [01\[ è dú\]]	malicious
惡氣 恶气 [01\[ è qì\]]	evil smell;unpleasant manner;to resent
惡水 恶水 [01\[ è shuǐ\]]	dirty water;water that is unfit to drink;slops;treacherous rapids
惡浪 恶浪 [01\[ è làng\]]	violent wave;fierce billow;fig. depraved force
惡煞 恶煞 [01\[ è shà\]]	demon;fiend
惡狠 恶狠 [01\[ è hěn\]]	fierce and vicious
惡狠狠 恶狠狠 [01\[ è hěn hěn\]]	very fierce
惡疾 恶疾 [01\[ è jí\]]	unpleasant ailment;foul disease
惡病質 恶病质 [01\[ è bìng zhì\]]	cachexia (physical wasting associated with long-term illness)
惡癖 恶癖 [01\[ è pǐ\]]	bad habit
惡相 恶相 [01\[ è xiàng\]]	evil countenance;vicious appearance
惡神 恶神 [01\[ è shén\]]	malignant deity;fiend
惡罵 恶骂 [01\[ è mà\]]	to curse fiercely
惡習 恶习 [01\[ è xí\]]	bad habit;vice
惡聲 恶声 [01\[ è shēng\]]	malicious abuse;lewd song;evil reputation
惡臭 恶臭 [01\[ è chòu\]]	stink
惡臭撲鼻 恶臭扑鼻 [01\[ è chòu pū bí\]]	the stink assaults the nostrils
惡舌 恶舌 [01\[ è shé\]]	vicious talk;malicious tongue
惡行 恶行 [01\[ è xíng\]]	evil or wicked conduct
惡補 恶补 [01\[ è bǔ\]]	to overdose one supplementary medicine;to cram too hard
惡言 恶言 [01\[ è yán\]]	evil tongue;malicious talk
惡言傷人 恶言伤人 [01\[ è yán shāng rén\]]	to insult;to direct bad language at sb;to slag off
惡誓 恶誓 [01\[ è shì\]]	evil oath
惡語 恶语 [01\[ è yǔ\]]	evil words;malicious talk
惡語中傷 恶语中伤 [01\[ è yǔ zhòng shāng\]]	vicious slander;to calumny maliciously
惡語傷人 恶语伤人 [01\[ è yǔ shāng rén\]]	to insult;to direct bad language at sb;to slag off
惡貫滿盈 恶贯满盈 [01\[ è guàn mǎn yíng\]]	lit. strung through and filled with evil (成语 saw); filled with extreme evil;replete with vice;guilty of monstrous crimes
惡跡 恶迹 [01\[ è jì\]]	evil conduct
惡辣 恶辣 [01\[ è là\]]	ruthless
惡運 恶运 [01\[ è yùn\]]	bad luck
惡霸 恶霸 [01\[ è bà\]]	evil tyrant
惡鬥 恶斗 [01\[ è dòu\]]	hard fighting;fierce battle
惡鬼 恶鬼 [01\[ è guǐ\]]	evil spirit;devil
惡魔 恶魔 [01\[ è mó\]]	demon;fiend
惦 惦 [01\[ diàn\]]	think of
惦記 惦记 [01\[ diàn jì\]]	remember with concern;worry about
惪 惪 [01\[ dé\]]	variant of 德
惰 惰 [01\[ duò\]]	lazy
惰性 惰性 [01\[ duò xìng\]]	inert
惰性氣體 惰性气体 [01\[ duò xìng qì tǐ\]]	inert gas;noble gas (氦 helium
惱 恼 [01\[ nǎo\]]	to get angry
惱人 恼人 [01\[ nǎo rén\]]	annoying;irksome;to irritate
惱怒 恼怒 [01\[ nǎo nù\]]	resentful;angry;to enrage sb
惱恨 恼恨 [01\[ nǎo hèn\]]	to hate and resent;angry and full of grievances
惱火 恼火 [01\[ nǎo huǒ\]]	to get angry;irritated;to annoy;to aggravate;annoying
惱羞成怒 恼羞成怒 [01\[ nǎo xiū chéng nù\]]	to fly into a rage out of humiliation; to be ashamed into anger
