ju2 xian4 xing4	21-17497-B
ju4 jia1	26-21072-S
ju4 jia4	64-39594-B
ju4 jian1	51-54751-B
ju4 jiang4	21-60907-B
ju4 jiao1	24-21140-S,51-54954-B
ju4 jiao1 huan4	67-28243-S
ju4 jie1 kou3	7-12222-S,30-22423-S
ju4 jie2	8-5048-B
ju4 jie4 mian4	7-12072-S,30-22074-S
ju4 jin1	60-37108-B
ju4 jing1 hui4 shen2	51-55126-B
ju4 jing4 tou2	59-10464-S
ju4 ju1	51-54296-B
ju4 ju1 di4	51-54378-B
ju4 jue2	27-31875-B
ju4 jue2 fu2 wu4	8-49549-S
ju4 jue2 zuo4	21-61539-B
ju4 kai1	64-39835-B
ju4 ku4	30-22288-S
ju4 ku4 ruan3 jian4	30-22339-S
ju4 le4 bu4	5-50681-B
ju4 li2	6-11831-S,6-41313-S,46-564-S,60-37246-B,62-63245-S,67-21582-S,70-12337-S
ju4 li2 jian1 shi4	62-63302-S
ju4 li3	29-24535-B
ju4 li3 li4 zheng1	29-24599-B
ju4 li4	8-28230-S
ju4 lian3	51-54543-B
ju4 lian4 lu4	30-22691-S
ju4 lian4 lu4 ceng2	30-22755-S
ju4 lian4 lu4 lian2 jie1 shi2 bie2 ma3	30-22837-S
ju4 lie4	9-40556-B
ju4 liu2	21-61418-B
ju4 long2 pan2	55-47824-S,55-47958-S
ju4 long3	51-54442-B
ju4 lu:4 yi3 xi1	51-54878-B
ju4 lun2	21-62283-B
ju4 luo4	51-55405-B
ju4 mang3	21-62154-B
ju4 ming2	8-4837-B
ju4 mo4	64-39555-B
ju4 mu4	5-38299-S,64-39392-B
ju4 mu4 chang3	64-39437-B
ju4 mu4 jia4	64-39502-B
ju4 pa4	26-3391-B
ju4 pian4	64-39793-B
ju4 qi2	51-56244-B
ju4 qi3 luo4 fei1 ji1	15-55205-S,46-453-S
ju4 qing2	9-40459-B
ju4 qing2 suan1 na4	3-38651-S
ju4 que1 xian4	25-9216-S
ju4 qun2	12-6080-B
ju4 ren2	21-60869-B,61-4695-S
ju4 san4	51-54494-B
ju4 shang1	30-25949-S
ju4 shang4 biao3	33-64038-S
ju4 she2 zuo4	21-62087-B
ju4 she4	9-40616-B
ju4 shi2	21-61652-B,29-24062-B
ju4 shi2 zhen4	21-61696-B
ju4 shi4 xi4 bao1	21-60958-B
ju4 shou1	27-31770-B
ju4 shou3	29-23893-B,40-22272-S
ju4 shou3 tian1 xian3	29-23975-B
ju4 shou4	21-61605-B
ju4 shu1	21-54186-S
ju4 shuo1	29-24937-B
ju4 si4 da4 jia1	67-4038-S
ju4 si4 fu2 yi3 xi1	51-54099-B
ju4 tai4	8-28304-S
ju4 tan2	9-40381-B,51-55476-B
ju4 tang2	32-54077-S,52-15554-S
ju4 ti3	8-5128-B
ju4 ti3 er2 wei1	8-5306-B
ju4 ti3 hua4	5-13066-S,8-5186-B
ju4 ti3 ji4 hua4	8-5385-B
ju4 ti3 shuo1 ming2	8-5469-B
ju4 ti3 wen4 ti2	8-5239-B
ju4 tiao2	64-39637-B
ju4 tong1 xin4	30-22617-S
ju4 tong2 zhi4 hui4	30-44257-S
ju4 tong3 ji4	29-24809-B
ju4 tong4 shen1	9-36214-S
ju4 tou2	21-56205-S,21-62443-B,51-56051-B
ju4 tuan2	9-40237-B
ju4 wang3 luo4	30-22549-S
ju4 wei2 ji3 you3	29-24445-B
ju4 wen2	29-24876-B
ju4 wo3 kan4	29-24191-B
ju4 wu2 ba4	21-61465-B
ju4 wu4	51-54626-B,70-20558-S
ju4 xi1	29-24117-B
ju4 xi4	21-61775-B
ju4 xi4 bao1 bing4 du2	21-61820-B
ju4 xi4 bao1 bing4 du2 shi4 wang3 mo4 yan2	21-61906-B
ju4 xian1 ya4 an4	51-55941-B
ju4 xian3	29-24997-B
ju4 xiang1	21-54267-S
ju4 xiang3	21-62398-B
ju4 xin4	29-23683-B
ju4 xing1	21-61374-B,44-53683-S,49-9569-S,49-13459-S,55-28764-S
ju4 xing2	12-5734-B,21-61022-B
ju4 xing4	25-9165-S,26-21135-S
ju4 ya1 suo1	30-22218-S
ju4 yi1 ge2	9-3111-S
ju4 yi1 tang2	35-32291-S
ju4 yi2	39-4532-S
ju4 yi3 xi1	51-53390-B
ju4 yi4	51-55210-B,51-55531-B
ju4 yin3	51-56107-B
ju4 yong4 hu4 xian4	67-64384-S
ju4 you3	8-4899-B,29-24278-B
ju4 you3 zhu3 quan2	8-4944-B
ju4 yuan4	1-52051-S,9-40718-B,35-25726-S
ju4 zai4	27-31938-B
ju4 zeng1	9-40330-B
ju4 zheng4	22-55430-S,23-11540-S,24-69317-S
ju4 zhi1	51-55279-B
ju4 zhi1 men2 wai4	27-31520-B
ju4 zhi3	51-55828-B
ju4 zhi3 xian1 wei2	51-55870-B
ju4 zhong4	51-54996-B
ju4 zhu4	21-62028-B
ju4 zhuang1 zhi4	49-26196-S
ju4 zhuang4 pi2 ceng2	60-37179-B
ju4 zhuo2	19-5306-S
ju4 zi5	12-5797-B,64-39314-B
ju4 zuo4	70-57315-S
ju4 zuo4 jia1	9-40183-B
ju4 zuo4 yong4	60-24010-S
ju5	57-33403-S
juan	1-68815-S,6-2720-B,7-30377-S,10-6627-S,10-50098-S,11-26049-B,11-26109-B,11-36248-S,12-42614-S,15-1228-B,15-1270-B,16-23936-S,18-21829-S,18-51048-B,19-8967-S,19-63527-S,22-11416-B,22-25796-B,22-27288-S,23-36137-B,25-5904-B,25-5937-B,26-33489-S,26-35057-S,27-4858-S,28-3472-B,28-7547-B,29-33977-S,31-33064-S,32-10134-S,32-45351-B,33-10466-S,34-4195-S,35-62276-S,38-36258-B,38-36359-S,42-8692-B,42-17689-B,42-61694-S,43-58238-S,44-6137-S,44-37112-S,45-46814-B,45-54113-B,45-54693-B,48-20486-S,49-55458-B,50-51274-B,51-32718-S,52-32146-B,52-48088-S,52-52164-B,54-13182-S,56-22465-B,57-40193-S,58-12549-S,58-60201-S,59-54550-S,63-29246-B,63-52732-S,64-37383-S,64-42926-B,65-1342-B,65-30947-S,66-62781-S,68-60309-S,70-56344-B
juan ai	38-36310-B,45-47061-B
juan ba	11-26671-B
juan ban	28-4079-B
juan bei	28-4283-B
juan bi dao	11-26918-B
juan bing	28-8338-B
juan ceng yun	11-26604-B,28-7651-B
juan chi	11-26547-B
juan dai	28-7777-B
juan di	38-36444-B
juan di gui gong	38-36525-B
juan di pi	11-26321-B
juan fa	11-27289-B
juan feng	71-59756-S
juan gei	28-4239-B
juan gu	45-47439-B
juan hua	33-10756-S
juan huai	45-47128-B
juan ji	5-11971-S
juan ji yun	28-8025-B
juan ji zheng chu	47-28822-S
juan jiao yi suo	1-53246-S,58-60287-S
juan juan	38-36359-B
juan juan zhi xin	45-47273-B
juan ke	65-1397-B
juan kuan	28-3746-B
juan kuan zhe	28-3817-B
juan lian	45-47184-B
juan lian men	11-26717-B,28-7718-B
juan ming	28-3688-B
juan mu	28-3609-B
juan nian	45-47007-B
juan niao	33-10807-S
juan pu gai	28-8264-B
juan qi	11-27084-B
juan qu	28-4650-B,28-7971-B,45-46863-B
juan r	41-2342-S,64-37889-S
juan ren	11-26158-B
juan ru	28-7583-B
juan she yuan yin	11-26979-B,28-8090-B
juan sheng	28-4127-B
juan shi chang	58-60371-S
juan shu	32-33225-S,45-46956-B,49-35765-S,56-34692-S
juan shui	28-4187-B
juan tao	28-8195-B
juan ti xue	33-10590-S
juan tu chong lai	11-26205-B
juan wu	28-3905-B
juan xian	28-3998-B
juan xian zhe	14-35037-S
juan xin cai	28-7816-B
juan xu	11-27335-B,28-8399-B
juan xuan	28-4707-B
juan xue	28-4324-B
juan xue zhe	28-4394-B
juan ya zhou	22-27211-S
juan yan	11-26868-B
juan yang	28-7869-B
juan yang ji	28-7916-B
juan you yi	65-31013-S
juan yun	11-27240-B
juan zeng	28-4526-B
juan zeng zhe	28-4586-B
juan zhi hao fan	11-26776-B
juan zhi xin	45-47273-S
juan zhou	11-27188-B
juan zhu	28-3547-B,45-47383-B
juan zi	11-26429-B,11-26486-B,28-4473-B
juan zuo	33-10689-S
juan1	10-6627-S,15-1228-B,18-51048-B,25-5904-B,27-4858-S,28-3472-B,32-45351-B,33-10466-S,38-36258-B,38-36359-S,52-32146-B,54-13182-S,56-22465-B,59-54550-S,64-37383-S,65-1342-B,66-62781-S,70-56344-B
juan1 ai1	38-36310-B
juan1 ban1	28-4079-B
juan1 bei4	28-4283-B
juan1 di1	38-36444-B
juan1 di1 gui1 gong1	38-36525-B
juan1 gei3	28-4239-B
juan1 hua1	33-10756-S
juan1 ji1 zheng1 chu4	47-28822-S
juan1 juan1	38-36359-B
juan1 ke4	65-1397-B
juan1 kuan3	28-3746-B
juan1 kuan3 zhe3	28-3817-B
juan1 ming4	28-3688-B
juan1 mu4	28-3609-B
juan1 niao3	33-10807-S
juan1 qu1	28-4650-B
juan1 sheng1	28-4127-B
juan1 shui4	28-4187-B
juan1 ti2 xue4	33-10590-S
juan1 wu4	28-3905-B
juan1 xian4	28-3998-B
juan1 xian4 zhe3	14-35037-S
juan1 xuan3	28-4707-B
juan1 xue4	28-4324-B
juan1 xue4 zhe3	28-4394-B
juan1 zeng4	28-4526-B
juan1 zeng4 zhe3	28-4586-B
juan1 zhu4	28-3547-B
juan1 zi1	28-4473-B
juan1 zuo4	33-10689-S
juan3	10-50098-S,11-26049-B,22-11416-B,22-27288-S,26-33489-S,28-7547-B,31-33064-S,42-61694-S,43-58238-S,52-48088-S,52-52164-B,68-60309-S
juan3 ba1	11-26671-B
juan3 bi3 dao1	11-26918-B
juan3 bing3	28-8338-B
juan3 ceng2 yun2	11-26604-B,28-7651-B
juan3 chi3	11-26547-B
juan3 dai4	28-7777-B
juan3 di4 pi2	11-26321-B
juan3 fa4	11-27289-B
juan3 feng1	71-59756-S
juan3 ji1	5-11971-S
juan3 ji1 yun2	28-8025-B
juan3 lian2 men2	11-26717-B,28-7718-B
juan3 pu1 gai4	28-8264-B
juan3 qi3	11-27084-B
juan3 qu3	28-7971-B
juan3 r5	41-2342-S,64-37889-S
juan3 ren4	11-26158-B
juan3 ru4	28-7583-B
juan3 she2 yuan2 yin1	11-26979-B,28-8090-B
juan3 shu1	56-34692-S
juan3 tao2	28-8195-B
juan3 tu3 chong2 lai2	11-26205-B
juan3 xin1 cai4	28-7816-B
juan3 xu1	11-27335-B,28-8399-B
juan3 ya4 zhou1	22-27211-S
juan3 yan1	11-26868-B
juan3 yang2	28-7869-B
juan3 yang2 ji1	28-7916-B
juan3 yun2	11-27240-B
juan3 zi5	11-26429-B
juan4	1-68815-S,6-2720-B,7-30377-S,11-26109-B,11-36248-S,12-42614-S,15-1270-B,16-23936-S,18-21829-S,19-8967-S,19-63527-S,22-25796-B,23-36137-B,25-5937-B,26-35057-S,29-33977-S,32-10134-S,34-4195-S,35-62276-S,42-8692-B,42-17689-B,44-6137-S,44-37112-S,45-46814-B,45-54113-B,45-54693-B,48-20486-S,49-55458-B,50-51274-B,51-32718-S,57-40193-S,58-12549-S,58-60201-S,63-29246-B,63-52732-S,64-42926-B,65-30947-S
juan4 ai4	45-47061-B
juan4 gu4	45-47439-B
juan4 huai2	45-47128-B
juan4 jiao1 yi4 suo3	1-53246-S,58-60287-S
juan4 juan4 zhi1 xin1	45-47273-B
juan4 lian4	45-47184-B
juan4 nian4	45-47007-B
juan4 qu1	45-46863-B
juan4 shi4 chang3	58-60371-S
juan4 shu3	32-33225-S,45-46956-B,49-35765-S
juan4 you3 yi4	65-31013-S
juan4 zhi1 xin1	45-47273-S
juan4 zhi4 hao4 fan2	11-26776-B
juan4 zhou2	11-27188-B
juan4 zhu4	45-47383-B
juan4 zi5	11-26486-B
jue	2-20696-S,2-26315-S,2-28927-S,2-42702-S,3-7680-S,3-12249-S,4-5507-S,4-58960-S,5-26555-S,5-62216-B,6-27910-B,7-5878-S,7-38378-S,7-61111-S,7-61202-S,7-61629-S,9-2711-S,9-38903-B,9-53534-S,9-53745-S,9-66449-S,10-1986-S,10-10135-S,11-36069-B,11-58563-S,12-14969-S,12-58408-S,12-66839-S,13-15823-S,13-20650-S,14-23474-S,14-24996-B,14-34399-B,14-36273-B,14-43659-B,14-57230-S,16-5141-S,16-5477-S,16-58008-S,19-1786-S,19-2420-S,19-2468-B,19-42163-S,20-10982-S,20-52089-S,21-26874-B,21-44551-B,21-48543-B,22-53938-S,23-49352-S,23-49491-S,25-43043-S,25-53405-S,26-3050-S,26-4249-B,26-14136-S,26-65000-B,27-29594-S,27-29721-S,27-31875-S,27-66915-S,28-18873-B,28-21119-S,29-5045-B,29-36959-B,30-59996-S,31-26696-S,31-37362-S,31-44018-S,31-58373-S,32-18183-S,33-9926-S,33-37130-S,33-64616-S,34-8683-B,34-18479-S,34-45199-S,35-2154-B,36-812-S,36-21508-S,36-52609-S,36-65380-B,37-10766-S,37-13495-S,39-26704-S,39-30442-S,39-56643-B,39-64327-S,40-58205-S,41-36718-B,41-40783-B,42-11661-S,42-15020-S,42-15568-S,42-17297-B,42-26814-B,42-37688-B,42-37732-B,43-3552-B,43-46522-S,44-17782-B,44-29409-S,44-34001-S,45-22234-S,45-23786-S,45-61952-B,45-63984-S,46-55485-S,47-22450-S,47-33129-S,47-52910-S,49-45227-B,49-55408-B,50-58184-S,52-1519-S,52-43089-B,52-52032-B,53-13729-S,55-15046-B,55-15534-B,55-50151-S,56-17916-B,56-45162-S,56-53587-S,57-27540-S,57-36783-S,57-37338-B,57-41048-B,57-44118-B,57-46894-B,57-50925-S,57-55176-S,57-55562-B,58-531-B,58-18844-S,58-23555-S,58-57040-S,58-61294-B,59-1793-S,59-28599-B,59-34832-S,60-33210-B,60-52017-B,60-55021-B,62-17017-S,62-61451-S,63-38630-S,64-21180-B,64-48491-S,65-11446-B,65-35963-S,65-65064-S,66-40679-S,69-28718-S,69-59694-S,69-62847-S,70-13276-S,70-53395-B
jue bi	49-45802-B
jue bi li	8-39378-S
jue bu	36-65441-B,49-45316-B
jue ce	37-0-B
jue ce shu	37-103-B
jue ce zhe	37-160-B
jue cha	2-28973-S,57-41106-B
jue chan	49-47217-B
jue ci xiong	1-13600-S
jue da bu fen	49-45938-B
jue da duo shu	49-45844-B
jue dai	49-45390-B,68-56954-S
jue dai zhui ren	49-45481-B
jue dao	25-43128-S
jue de	57-41179-B
jue di	37-599-B,49-45765-B,57-44946-B
jue ding	3-26300-S,32-58618-S,36-65552-B
jue ding cong ming	49-47813-B
jue ding cu	27-4217-S,36-65704-B
jue ding lun	36-65801-B
jue ding xing	36-65638-B
jue dou	37-656-B,57-46679-B
jue dui	49-46099-B
jue dui da duo shu	49-46293-B
jue dui di zhi	49-46214-B
jue dui gao du	49-46810-B
jue dui guan nian	49-46646-B
jue dui ling du	49-46741-B
jue dui shi du	49-46574-B
jue dui shu zi	49-46404-B
jue dui wen du	49-46499-B
jue dui zhi	49-46155-B
jue duo	29-37071-B
jue fa	49-47674-B
jue fou ren	16-5200-S
jue fu ren	7-61668-S
jue fu wu	8-49549-S
jue ji	49-46965-B,49-47723-B
jue ji xie	27-66977-S
jue jia gong ji qiao	57-36829-S
jue jiang	5-62251-B
jue jie he	64-48538-S
jue jie he de ci	64-48613-S
jue jie ti	45-64028-S
jue jing	49-47449-B
jue ju	3-55053-S
jue jue	45-22234-S
jue kou	36-65501-B,50-53953-S,59-14494-S,60-3148-S
jue lei	55-15576-B
jue li	57-44307-B
jue lie	37-330-B
jue lu:	12-15050-S
jue lun	49-45633-B,54-18616-S,60-23156-S
jue mi	49-46056-B
jue miao	49-46012-B
jue mu gong ren	28-18899-B
jue piao	12-15132-S
jue pin	49-45702-B
jue qi	21-44592-B,49-47066-B
jue qi guan	25-43177-S
jue qiao	58-582-B
jue qing	49-46885-B
jue qu	29-37004-B
jue quan	12-66877-S,56-45216-S
jue r	12-58455-S,32-18312-S
jue ren huan	25-48314-S
jue ren zhi lu	17-50257-S
jue ru lu:	2-24636-S
jue sai	10-58969-S,37-540-B
jue se	57-45746-B
jue se ban yan you xi	57-45783-B
jue shi	41-40922-B,49-47900-B
jue shi wu	41-41020-B
jue shi yin yue	41-41068-B
jue shi yue	41-40971-B
jue shu	50-62628-S
jue si tan	33-22438-S
jue si tan jie fang zu zhi	33-22703-S
jue si tan yi si lan yun dong	33-22547-S
jue su	62-57612-S
jue suan	37-215-B
jue tiao jian	7-4271-S
jue wang	49-47003-B
jue wei	41-40864-B
jue wen ti	57-51000-S
jue wu	57-41227-B
jue wu jin you	49-47105-B
jue xin	1-61136-S,32-36202-S,36-65858-B
jue xing	45-23829-S,57-41330-B
jue xuan an da gang xie ding	2-81022-S
jue yi	36-65967-B,37-435-B
jue yi an	37-478-B
jue yuan	42-26872-B,49-47493-B
jue yuan ti	49-47592-B
jue ze	26-65031-B
jue zhan	36-66016-B
jue zheng	49-47315-B
jue zhi yu	19-57353-S
jue zhong	49-47385-B
jue zhu	57-46181-B
jue zuo	21-61539-S
jue1	14-24996-B,14-34399-B,29-5045-B,45-22234-S
jue1 jue1	45-22234-S
jue2	2-20696-S,2-26315-S,2-28927-S,2-42702-S,3-7680-S,3-12249-S,4-5507-S,4-58960-S,5-26555-S,5-62216-B,6-27910-B,7-5878-S,7-38378-S,7-61111-S,7-61202-S,7-61629-S,9-2711-S,9-38903-B,9-53534-S,9-53745-S,9-66449-S,10-1986-S,10-10135-S,11-36069-B,11-58563-S,12-14969-S,12-58408-S,12-66839-S,13-15823-S,13-20650-S,14-23474-S,14-36273-B,14-43659-B,14-57230-S,16-5141-S,16-5477-S,16-58008-S,19-1786-S,19-2420-S,19-2468-B,19-42163-S,20-10982-S,20-52089-S,21-26874-B,21-44551-B,21-48543-B,22-53938-S,23-49352-S,23-49491-S,25-43043-S,25-53405-S,26-3050-S,26-4249-B,26-14136-S,26-65000-B,27-29594-S,27-29721-S,27-31875-S,27-66915-S,28-18873-B,28-21119-S,29-36959-B,30-59996-S,31-26696-S,31-37362-S,31-44018-S,31-58373-S,32-18183-S,33-9926-S,33-37130-S,33-64616-S,34-8683-B,34-18479-S,34-45199-S,35-2154-B,36-812-S,36-21508-S,36-52609-S,36-65380-B,37-10766-S,37-13495-S,39-26704-S,39-30442-S,39-56643-B,39-64327-S,40-58205-S,41-36718-B,41-40783-B,42-11661-S,42-15020-S,42-15568-S,42-17297-B,42-26814-B,42-37688-B,42-37732-B,43-3552-B,43-46522-S,44-17782-B,44-29409-S,44-34001-S,45-23786-S,45-61952-B,45-63984-S,46-55485-S,47-22450-S,47-33129-S,47-52910-S,49-45227-B,49-55408-B,50-58184-S,52-1519-S,52-43089-B,52-52032-B,53-13729-S,55-15046-B,55-15534-B,55-50151-S,56-17916-B,56-45162-S,56-53587-S,57-27540-S,57-36783-S,57-37338-B,57-41048-B,57-44118-B,57-46894-B,57-50925-S,57-55176-S,57-55562-B,58-531-B,58-18844-S,58-23555-S,58-57040-S,58-61294-B,59-1793-S,59-28599-B,59-34832-S,60-33210-B,60-52017-B,60-55021-B,62-17017-S,62-61451-S,63-38630-S,64-21180-B,64-48491-S,65-11446-B,65-35963-S,65-65064-S,66-40679-S,69-28718-S,69-59694-S,69-62847-S,70-13276-S,70-53395-B
jue2 bi3 li4	8-39378-S
jue2 bi4	49-45802-B
jue2 bu4	36-65441-B,49-45316-B
jue2 ce4	37-0-B
jue2 ce4 shu4	37-103-B
jue2 ce4 zhe3	37-160-B
jue2 cha2	2-28973-S,57-41106-B
jue2 chan3	49-47217-B
jue2 ci2 xiong2	1-13600-S
jue2 da4 bu4 fen5	49-45938-B
jue2 da4 duo1 shu4	49-45844-B
jue2 dai4	49-45390-B,68-56954-S
jue2 dai4 zhui1 ren2	49-45481-B
jue2 dao4	25-43128-S
jue2 de5	57-41179-B
jue2 di1	37-599-B
jue2 di3	57-44946-B
jue2 di4	49-45765-B
jue2 ding3 cong1 ming5	49-47813-B
jue2 ding4	3-26300-S,32-58618-S,36-65552-B
