開眼 开眼	65-39891-B
阞	65-59324-S
阞 阞	65-59324-B
队	66-38287-S
队伍	66-38329-S
队列	66-38374-S
队友	66-38417-S
队员	66-38471-S
队形	66-38517-S
队旗	66-38561-S
队部	66-38606-S
队长	66-38658-S
阡	65-59356-S
阡 阡	65-59356-B
阤	65-59408-S
阤 阤	65-59408-B
阨	65-59444-S
阨 阨	65-59444-B
阪	65-59488-S
阪 阪	65-59488-B
阬	65-59527-S
阬 阬	65-59527-B
阮	65-59565-S
阮 阮	65-59565-B
阯	65-59601-S
阯 阯	65-59601-B
阱	65-59634-S
阱 阱	65-59634-B
防	65-59670-S
防 防	65-59670-B
防備 防备	65-59733-B
防冻	65-59784-S
防凍 防冻	65-59784-B
防务	65-59830-S
防務 防务	65-59830-B
防化救援	65-59887-S
防化救援 防化救援	65-59887-B
防卫	65-63234-S
防卫武器	65-63296-S
防城各族自治县	65-59964-S
防城各族自治縣 防城各族自治县	65-59964-B
防城港	65-60097-S
防城港 防城港	65-60097-B
防城港市	65-60192-S
防城港市 防城港市	65-60192-B
防备	65-59733-S
防夹	65-60298-S
防夾 防夹	65-60298-B
防守	65-60402-S
防守 防守	65-60402-B
防守者	65-60462-S
防守者 防守者	65-60462-B
防寒服	65-60517-S
防寒服 防寒服	65-60517-B
防弹	65-60582-S
防彈 防弹	65-60582-B
防御	65-62673-S
防御性	65-62714-S
防护	65-63367-S
防控	65-60629-S
防控 防控	65-60629-B
防晒	65-60794-S
防晒霜	65-60848-S
防暴警察	65-60714-S
防暴警察 防暴警察	65-60714-B
防曬 防晒	65-60794-B
防曬霜 防晒霜	65-60848-B
防杜	65-60927-S
防杜 防杜	65-60927-B
防止	65-60971-S
防止 防止	65-60971-B
防毒	65-61053-S
防毒 防毒	65-61053-B
防毒围裙	65-61193-S
防毒圍裙 防毒围裙	65-61193-B
防毒工事	65-61265-S
防毒工事 防毒工事	65-61265-B
防毒手套	65-61341-S
防毒手套 防毒手套	65-61341-B
防毒斗篷	65-61415-S
防毒斗篷 防毒斗篷	65-61415-B
防毒軟件 防毒软件	65-61487-B
防毒软件	65-61487-S
防毒通道	65-61564-S
防毒通道 防毒通道	65-61564-B
防毒面具	65-61642-S
防毒面具 防毒面具	65-61642-B
防毒靴套	65-61706-S
防毒靴套 防毒靴套	65-61706-B
防水	65-61799-S
防水 防水	65-61799-B
防汛	65-61845-S
防汛 防汛	65-61845-B
防油溅网	65-61918-S
防油濺網 防油溅网	65-61918-B
防治	65-61992-S
防治 防治	65-61992-B
防波堤	65-62048-S
防波堤 防波堤	65-62048-B
防洪	65-62137-S
防洪 防洪	65-62137-B
防火	65-62203-S
防火 防火	65-62203-B
防火墙	65-62261-S
防火牆 防火墙	65-62261-B
防火長城 防火长城	65-62317-B
防火长城	65-62317-S
防災 防灾	65-62427-B
防灾	65-62427-S
防疫	65-62518-S
防疫 防疫	65-62518-B
防盗门	65-62598-S
防盜門 防盗门	65-62598-B
防禦 防御	65-62673-B
防禦性 防御性	65-62714-B
防空	65-62779-S
防空 防空	65-62779-B
防空洞	65-62836-S
防空洞 防空洞	65-62836-B
防範	65-62900-S
防範 防範	65-62900-B
防範 防范	65-62946-B
防線 防线	65-62989-B
防线	65-62989-S
防腐	65-63052-S
防腐 防腐	65-63052-B
防腐剂	65-63106-S
防腐劑 防腐剂	65-63106-B
防范	65-62946-S
防血凝	65-63173-S
防血凝 防血凝	65-63173-B
防衛 防卫	65-63234-B
防衛武器 防卫武器	65-63296-B
防護 防护	65-63367-B
防門 防门	65-63421-B
防门	65-63421-S
防震	65-63470-S
防震 防震	65-63470-B
防霉	65-63545-S
防霉 防霉	65-63545-B
防風固沙 防风固沙	65-63607-B
防风固沙	65-63607-S
阳	66-34671-S
阳东	66-35795-S
阳伞	66-34814-S
阳信	66-34748-S
阳光	66-34856-S
阳具	66-34901-S
阳历	66-35588-S
阳原	66-34940-S
阳台	66-36566-S
阳城	66-35005-S
阳寿	66-35073-S
阳山	66-35130-S
阳山县	66-35200-S
阳平	66-35282-S
阳平声	66-35336-S
阳性	66-35403-S
阳新	66-35457-S
阳春	66-35520-S
阳曲	66-35666-S
阳朔	66-35728-S
阳极	66-35864-S
阳歷	66-36084-S
阳江	66-36157-S
阳江市	66-36238-S
阳泉	66-36330-S
阳泉市	66-36417-S
阳电极	66-36870-S
阳电荷	66-36968-S
阳痿	66-36515-S
阳离子	66-36799-S
阳西	66-36614-S
阳谷	66-36679-S
阳道	65-63698-S
阳道 阳道	65-63698-B
阳阳	66-36743-S
阳高	66-37038-S
阴	66-23523-S,66-23681-S
阴冷	66-23715-S
阴凉	66-24750-S
阴凉处	66-24791-S
阴历	66-24399-S
阴唇	66-23765-S
阴囊	66-23805-S
阴天	66-23847-S
阴山	66-23905-S
阴帝	66-23971-S
阴平	66-24047-S
阴平声	66-24101-S
阴影	66-24168-S
阴径	66-24209-S
阴性	66-24274-S
阴户	66-24317-S
阴暗	66-24356-S
阴曹	66-24446-S
阴极	66-24496-S
阴极射线管	66-24581-S
阴毛	66-24665-S
阴沉	66-24709-S
阴离子	66-25883-S
阴离子部位	66-25938-S
阴穴	66-24849-S
阴精	66-24940-S
阴茎	66-24985-S
阴蒂	66-25025-S
阴谋	66-25066-S
阴谋颠覆政府罪	66-25115-S
阴道	66-25256-S
阴道口	66-25296-S
阴道炎	66-25380-S
阴郁	66-26162-S
阴部	66-25486-S
阴门	66-25539-S
阴间	66-25600-S
阴阜	66-25653-S
阴阳	66-25698-S
阴阳家	66-25745-S
阴险	66-25828-S
阴霾	66-26014-S
阴面	66-26052-S
阴风	66-26107-S
阵	66-20587-S
阵亡	66-20726-S
阵亡者	66-20775-S
阵地	66-20845-S
阵容	66-20893-S
阵痛	66-21029-S
阵线	66-21076-S
阵营	66-20946-S
阵雨	66-21141-S
阵风	66-21181-S
阶	66-39519-S
阶乘	65-63738-S
阶乘 阶乘	65-63738-B
阶层	66-39561-S
阶梯	66-39605-S
阶段	66-39730-S
阶段性	66-39791-S
阶级	66-39860-S
阶级式	66-39907-S
阶级斗争	66-39963-S
阹	65-63799-S
阹 阹	65-63799-B
阻	65-63838-S
阻 阻	65-63838-B
阻值	65-63890-S
阻值 阻值	65-63890-B
阻击	65-64552-S
阻力	65-63962-S
阻力 阻力	65-63962-B
阻塞	65-64035-S
阻塞 阻塞	65-64035-B
阻尼	65-64083-S
阻尼 阻尼	65-64083-B
阻截	65-64122-S
阻截 阻截	65-64122-B
阻扰	65-64663-S
阻抗	65-64189-S
阻抗 阻抗	65-64189-B
阻抗匹配	65-64275-S
阻抗匹配 阻抗匹配	65-64275-B
阻抗变换器	65-64348-S
阻抗變換器 阻抗变换器	65-64348-B
阻拦	65-64717-S
阻挠	65-64492-S
阻挡	65-64600-S
阻援	65-64435-S
阻援 阻援	65-64435-B
阻撓 阻挠	65-64492-B
阻擊 阻击	65-64552-B
阻擋 阻挡	65-64600-B
阻擾 阻扰	65-64663-B
阻攔 阻拦	65-64717-B
阻断	65-64769-S
阻斷 阻断	65-64769-B
阻桡	65-64849-S
阻橈 阻桡	65-64849-B
阻止	65-64897-S
阻止 阻止	65-64897-B
阻滞	65-64949-S
阻滯 阻滞	65-64949-B
阻碍	65-65002-S
阻礙 阻碍	65-65002-B
阻絕 阻绝	65-65064-B
阻绝	65-65064-S
阻遏	65-65125-S
阻遏 阻遏	65-65125-B
阻隔	65-65181-S
阻隔 阻隔	65-65181-B
阻难	65-65235-S
阻難 阻难	65-65235-B
阻雨	65-65287-S
阻雨 阻雨	65-65287-B
阼	65-65338-S
阼 阼	65-65338-B
阽	65-65394-S,65-65427-S
阽 阽	65-65394-B,65-65427-B
阿	65-65459-S,65-65534-S,65-65575-S,65-65703-S
阿 阿	65-65459-B,65-65534-B,65-65575-B,65-65703-B
阿不來提.阿不都熱西提 阿不来提.阿不都热西提	65-65731-B
阿不来提.阿不都热西提	65-65731-S
阿不都热西提	65-65731-S
阿不都熱西提 阿不来提.阿不都热西提	65-65731-S
阿丹	65-65906-S
阿丹 阿丹	65-65906-B
阿丽亚娜	66-14290-S
阿亚图拉	65-65973-S
阿亞圖拉 阿亚图拉	65-65973-B
阿什哈巴德	65-66066-S
阿什哈巴德 阿什哈巴德	65-66066-B
阿什拉維 阿什拉维	65-66137-B
阿什拉维	65-66137-S
阿们	65-66820-S
阿伊莎	65-66241-S
阿伊莎 阿伊莎	65-66241-B
阿伏伽德罗	65-66288-S
阿伏伽德罗定律	65-66378-S
阿伏伽德罗常数	65-66477-S
阿伏伽德罗数	65-66615-S
阿伏伽德羅 阿伏伽德罗	65-66288-B
阿伏伽德羅定律 阿伏伽德罗定律	65-66378-B
阿伏伽德羅常數 阿伏伽德罗常数	65-66477-B
阿伏伽德羅數 阿伏伽德罗数	65-66615-B
阿伦	65-66855-S
阿伦达尔	65-66892-S
阿佤	65-66740-S
阿佤 阿佤	65-66740-B
阿依莎	65-66773-S
阿依莎 阿依莎	65-66773-B
阿們 阿们	65-66820-B
阿倫 阿伦	65-66855-B
阿倫達爾 阿伦达尔	65-66892-B
阿兄	65-66966-S
阿兄 阿兄	65-66966-B
阿克伦	65-67013-S
阿克伦河	65-67078-S
阿克倫 阿克伦	65-67013-B
阿克倫河 阿克伦河	65-67078-B
阿克拉	65-67153-S
阿克拉 阿克拉	65-67153-B
阿克苏	65-67199-S
阿克苏地区	65-67268-S
阿克苏河	65-67369-S
阿克蘇 阿克苏	65-67199-B
阿克蘇地區 阿克苏地区	65-67268-B
阿克蘇河 阿克苏河	65-67369-B
阿克陶	65-67442-S
阿克陶 阿克陶	65-67442-B
阿克陶县	65-67514-S
阿克陶縣 阿克陶县	65-67514-B
阿公	65-67627-S
阿公 阿公	65-67627-B
阿兰	66-12036-S
阿兰文	66-12072-S
阿其所好	65-67692-S
阿其所好 阿其所好	65-67692-B
阿凡提	65-67768-S
阿凡提 阿凡提	65-67768-B
阿列克西斯	65-67817-S
阿列克西斯 阿列克西斯	65-67817-B
阿初佛	65-67892-S
阿初佛 阿初佛	65-67892-B
阿利坎特	65-67950-S
阿利坎特 阿利坎特	65-67950-B
阿加維 阿加维	65-68010-B
阿加维	65-68010-S
阿加迪尔	65-68096-S
阿加迪爾 阿加迪尔	65-68096-B
阿勒泰	65-68154-S
阿勒泰 阿勒泰	65-68154-B
阿勒泰地区	65-68235-S
阿勒泰地區 阿勒泰地区	65-68235-B
阿勒泰市	65-68325-S
阿勒泰市 阿勒泰市	65-68325-B
阿华田	66-11725-S
阿卜杜拉	65-68417-S,65-68483-S
阿卜杜拉 阿卜杜拉	65-68417-B,65-68483-B
阿卡	65-68554-S
阿卡 阿卡	65-68554-B
阿卡提	65-68589-S
阿卡提 阿卡提	65-68589-B
阿卡普尔科	65-68675-S
阿卡普爾科 阿卡普尔科	65-68675-B
阿卡迪亚	65-68744-S
阿卡迪亞 阿卡迪亚	65-68744-B
阿卢巴	66-10031-S
阿司匹林	65-68809-S
阿司匹林 阿司匹林	65-68809-B
阿合奇	65-68868-S
阿合奇 阿合奇	65-68868-B
阿哥	65-68938-S
阿哥 阿哥	65-68938-B
阿喀琉斯	65-68999-S
阿喀琉斯 阿喀琉斯	65-68999-B
阿嚏	65-69072-S
阿嚏 阿嚏	65-69072-B
阿图什	65-69128-S
阿图什县	65-69588-S
阿图什市	65-69358-S
阿圖什 阿图什	65-69128-B
