huan cheng	28-45791-B,43-4928-B
huang	2-34552-S,3-40586-S,3-44111-S,5-52070-S,6-17914-B,6-29577-S,7-2750-S,7-33400-S,8-29578-B,10-29935-S,11-25863-S,13-52535-S,14-10796-B,14-13417-S,15-46799-S,16-3014-S,16-8121-B,16-30828-S,17-42573-S,17-51672-S,17-55739-S,18-21621-S,18-32412-S,19-50842-S,19-56038-S,20-8739-S,21-50920-B,22-33983-B,23-23193-S,23-49618-S,23-51055-S,23-60349-S,24-12757-B,24-33297-S,24-66660-B,24-68151-B,24-69201-S,25-26405-B,25-46108-B,27-28249-S,27-32583-S,27-54179-S,28-11570-S,28-44406-B,28-54160-S,29-8444-S,30-3661-S,30-10548-S,31-8895-S,31-43004-B,31-43035-B,34-36791-B,34-39993-B,35-25235-S,37-17159-S,37-28572-S,38-43899-S,39-13639-B,39-27056-B,39-61141-B,40-27406-S,40-65604-S,41-1353-B,41-11402-B,41-16463-S,41-23399-B,41-25813-S,41-27599-S,42-17396-B,42-31230-S,43-3632-B,44-8690-S,44-29144-S,44-62367-S,44-64145-B,45-704-S,46-24254-S,46-24961-S,46-42172-B,47-23660-S,48-24935-S,48-30418-B,48-39279-B,48-46740-S,50-39057-S,52-8079-B,53-39041-S,53-39157-B,53-45824-S,53-61775-S,54-17052-B,54-54279-S,55-4335-S,55-13195-S,55-21586-S,55-54309-S,55-61063-S,56-7089-B,56-12222-S,56-17880-B,56-19576-S,56-21942-S,56-23495-S,56-30308-B,57-47-S,57-27609-S,58-33633-S,58-52552-B,60-3771-S,61-14059-S,61-65368-S,62-49303-B,64-13284-S,64-17876-S,64-26571-S,64-50419-B,64-53172-B,66-39474-B,66-54171-S,66-61619-S,67-182-S,68-16978-B,69-150-S,69-4802-S,69-4802-S,69-16668-S,69-19974-S,69-62016-S,70-45656-B,70-51758-S,71-6249-S,71-16440-S,71-16692-B
huang Da di	42-31289-S
huang Ding	42-31356-S
huang E guo	37-17199-S
huang an	46-42203-B
huang ban	71-20063-B
huang bao	58-52588-B
huang biao ling	71-17462-B
huang bing	71-24830-B
huang bu mang	2-10622-S
huang cao	59-16172-S
huang chao	38-63882-S,44-62034-B
huang cheng	23-49660-S
huang cheng kong	58-29127-S
huang chi se	71-23507-B
huang chong	56-7197-B
huang chu	44-59757-B
huang chu tao	5-52126-S
huang cun	54-17793-B
huang dan	54-18313-B,71-21857-B
huang dan bu jing	54-18396-B
huang dan wu ji	54-18484-B
huang dang	5-38463-S
huang dao	47-24755-S,54-17442-B,71-23578-B
huang dao shi	47-24844-S
huang dao shi er gong	71-23658-B
huang deng deng	71-21269-B
huang di	3-39765-S,18-21663-S,32-59582-S,44-61576-B,47-23751-S,54-17313-B
huang di ling	47-23836-S
huang dong zu zi zhi xian	30-49430-S
huang dou	71-23261-B
huang duo rang	2-34618-S
huang en	44-61721-B
huang fei	54-17522-B
huang feng	17-42616-S,71-23351-B
huang feng qin	48-39518-B
huang gong	44-60983-B
huang gu	44-60151-B
huang gu sui	71-24941-B
huang gua	63-46352-S,71-21813-B
huang guai bu jing	54-17662-B
huang guan	14-20268-S,44-59805-B,48-39381-B,67-252-S
huang guan shang de ming zhu	44-59858-B
huang han	54-17375-B,54-17739-B
huang hao	15-64089-S
huang he se	71-23392-B
huang he shuo bu qing	60-45420-S
huang he xin bu si	1-72767-S
huang hou	44-60199-B
huang hu	24-68208-B,24-68279-B,48-55652-S
huang hua	58-52669-B,71-22507-B
huang hua gui nu:	71-23116-B
huang hua nu:	71-22600-B
huang hua you nu:	71-23046-B
huang hua yu	71-23186-B
huang huang	44-62367-B,64-26571-S
huang hun	71-20118-B
huang huo	25-26486-B
huang ji	54-18185-B
huang jia	44-61035-B
huang jia hai jun	44-61194-B
huang jia qi jing	44-61482-B
huang jia xue hui	44-61095-B
huang jian nan	71-19919-B
huang jiang	55-61107-S,71-23305-B
huang jiao	71-22203-B
huang jin	71-19079-B,71-24008-B
huang jin fen ge	71-24048-B
huang jin jia	39-36865-S
huang jin jun	71-19575-B
huang jin min bian	71-19324-B
huang jin qi yi	71-19453-B
huang jin zhi luan	71-19195-B
huang jin zhou	71-24132-B,71-24371-B
huang jiu	71-23894-B
huang jun	44-62550-B
huang ke	56-7120-B
huang kong	25-26440-B
huang li	44-61993-B,51-29738-S,53-28827-S,66-40276-S,71-25693-B,71-30475-S
huang liang	54-17849-B
huang lin ding	43-41238-S
huang ling	47-23950-S
huang luan	25-46166-B
huang ma	71-25761-B
huang ma luan	8-2484-S
huang mang	25-46275-B
huang mei	71-23959-B
huang men	23-49781-S
huang miu	54-18570-B
huang miu jue lun	54-18616-B
huang mo	54-18007-B
huang nang	11-25908-S
huang niu	71-21604-B
huang niu piao	71-21710-B
huang pai	71-21526-B
huang pao chui	1-38542-S
huang peng	71-25440-B
huang pian	48-39332-B
huang pu jiang	71-21093-B
huang qi	65-7919-S
huang qin guo qi	44-62425-B
huang qu mei du su	71-20176-B
huang quan	44-62122-B,71-20840-B,71-26321-B
huang que	55-36978-S
huang ran da wu	24-68348-B
huang re bing	71-21335-B
huang re bing du	71-21394-B
huang se	34-7947-S,38-58036-S,55-21632-S,64-17932-S,71-22375-B
huang se zha yao	71-22429-B
huang shan	71-25296-B
huang shang	44-59607-B
huang shang ren	51-14984-S
huang she	48-39427-B
huang shi	44-60889-B
huang shi cuo	69-61806-S,69-62058-S
huang shi ku	30-10612-S
huang shi se	69-62143-S
huang shu	54-18142-B
huang shu lang	71-25864-B
huang shu lang gei ji bai nian	71-25964-B
huang shui	56-19623-S,71-20317-B
huang shui jing	71-20428-B
huang su	33-63771-S,55-61166-S
huang suan	41-48407-S
huang suan na	3-39908-S,40-43110-S
huang suo	23-49723-S
huang tai hou	44-60429-B
huang tai zi	44-60371-B
huang tan	26-4540-S
huang tang	54-17151-B
huang tang wu ji	54-17244-B
huang teng da	69-1410-S
huang ti	71-25014-B
huang ti qi	71-25112-B
huang tian hou tu	44-60297-B
huang tie kuang	71-24536-B
huang tong	71-24494-B
huang tu	71-17519-B
huang tu bei chao tian	68-2521-S
huang tu di	71-17602-B
huang tu di mao	71-17674-B
huang tu gao yuan	71-17744-B
huang wei	44-59701-B
huang wu	54-18247-B
huang wu di	1-38373-S
huang wu ren yan	54-18048-B
huang xian	19-50915-S,60-3837-S,70-51873-S
huang ya	71-25342-B
huang yan	1-13879-S,14-3491-S,39-36234-S,58-52630-B
huang yan dao	71-18556-B
huang ye	54-18742-B,71-24722-B
huang yin	54-17895-B
huang yin wu chi	54-17941-B
huang ying	71-25522-B
huang you	71-20798-B,71-26164-B
huang yu	17-42672-S,48-62679-S,71-21773-B,71-25240-B
huang yu pian	48-62764-S
huang yuan	54-17105-B
huang yuan jiao	71-17272-B
huang yuan suan yan	71-17394-B
huang yue	44-39629-S
huang yun dong	28-11634-S
huang zhang	25-46219-B
huang zhe	27-32652-S,58-33695-S
huang zhi	16-3065-S
huang zhong ren	71-22143-B
huang zi	22-34024-B,44-60848-B
huang zi sun	40-28804-S
huang zu	44-61802-B
huang zuo	70-51802-S
huang1	6-29577-S,7-2750-S,10-29935-S,14-13417-S,16-30828-S,21-50920-B,23-23193-S,24-33297-S,24-69201-S,25-46108-B,27-28249-S,27-32583-S,27-54179-S,37-28572-S,40-27406-S,41-16463-S,41-27599-S,44-8690-S,44-29144-S,52-8079-B,53-45824-S,54-17052-B,54-54279-S,56-23495-S,56-30308-B,61-65368-S,69-19974-S,69-62016-S,71-6249-S
huang1 bu4 mang2	2-10622-S
huang1 cun1	54-17793-B
huang1 dan4	54-18313-B
huang1 dan4 bu4 jing1	54-18396-B
huang1 dan4 wu2 ji1	54-18484-B
huang1 dao3	54-17442-B
huang1 di4	54-17313-B
huang1 fei4	54-17522-B
huang1 guai4 bu4 jing1	54-17662-B
huang1 han2	54-17375-B
huang1 han4	54-17739-B
huang1 ji2	54-18185-B
huang1 liang2	54-17849-B
huang1 luan4	25-46166-B
huang1 ma3 luan4	8-2484-S
huang1 mang2	25-46275-B
huang1 miu4	54-18570-B
huang1 miu4 jue2 lun2	54-18616-B
huang1 mo4	54-18007-B
huang1 shi1 cuo4	69-62058-S
huang1 shi1 se4	69-62143-S
huang1 shu1	54-18142-B
huang1 tan1	26-4540-S
huang1 tang2	54-17151-B
huang1 tang2 wu2 ji1	54-17244-B
huang1 wu2	54-18247-B
huang1 wu2 ren2 yan1	54-18048-B
huang1 ye3	54-18742-B
huang1 yin2	54-17895-B
huang1 yin2 wu2 chi3	54-17941-B
huang1 yuan2	54-17105-B
huang1 zhang1	25-46219-B
huang1 zhe3	27-32652-S
huang2	2-34552-S,3-40586-S,3-44111-S,5-52070-S,6-17914-B,7-33400-S,8-29578-B,11-25863-S,13-52535-S,14-10796-B,15-46799-S,16-3014-S,16-8121-B,17-42573-S,17-51672-S,17-55739-S,18-21621-S,18-32412-S,19-50842-S,19-56038-S,20-8739-S,23-49618-S,23-60349-S,24-12757-B,25-26405-B,28-11570-S,28-44406-B,30-3661-S,30-10548-S,31-8895-S,34-36791-B,35-25235-S,37-17159-S,38-43899-S,39-13639-B,39-61141-B,40-65604-S,41-1353-B,41-23399-B,41-25813-S,42-17396-B,42-31230-S,43-3632-B,44-62367-S,45-704-S,46-24254-S,46-24961-S,46-42172-B,47-23660-S,48-24935-S,48-30418-B,48-39279-B,48-46740-S,50-39057-S,53-39041-S,53-39157-B,53-61775-S,55-4335-S,55-13195-S,55-21586-S,55-61063-S,56-7089-B,56-12222-S,56-17880-B,56-19576-S,56-21942-S,57-47-S,60-3771-S,61-14059-S,62-49303-B,64-13284-S,64-17876-S,64-50419-B,66-39474-B,66-54171-S,66-61619-S,67-182-S,68-16978-B,69-150-S,69-16668-S,70-45656-B,70-51758-S,71-16440-S,71-16692-B
huang2 Da4 di4	42-31289-S
huang2 Ding1	42-31356-S
huang2 E2 guo2	37-17199-S
huang2 an4	46-42203-B
huang2 ban1	71-20063-B
huang2 biao1 ling2	71-17462-B
huang2 bing3	71-24830-B
huang2 cao3	59-16172-S
huang2 chao2	38-63882-S,44-62034-B
huang2 cheng2 kong3	58-29127-S
huang2 cheng4	23-49660-S
huang2 chi4 se4	71-23507-B
huang2 chong2	56-7197-B
huang2 chu1 tao2	5-52126-S
huang2 chu3	44-59757-B
huang2 dan3	71-21857-B
huang2 dang3	5-38463-S
huang2 dao3	47-24755-S
huang2 dao3 shi4	47-24844-S
huang2 dao4	71-23578-B
huang2 dao4 shi2 er4 gong1	71-23658-B
huang2 deng4 deng4	71-21269-B
huang2 di4	3-39765-S,18-21663-S,32-59582-S,44-61576-B,47-23751-S
huang2 di4 ling2	47-23836-S
huang2 dou4	71-23261-B
huang2 duo1 rang4	2-34618-S
huang2 en1	44-61721-B
huang2 feng1	17-42616-S,71-23351-B
huang2 feng1 qin2	48-39518-B
huang2 gong1	44-60983-B
huang2 gu3	44-60151-B
huang2 gu3 sui3	71-24941-B
huang2 gua1	63-46352-S,71-21813-B
huang2 guan1	44-59805-B
huang2 guan1 shang4 de1 ming2 zhu1	44-59858-B
huang2 guan3	14-20268-S,48-39381-B,67-252-S
huang2 hao4	15-64089-S
huang2 he2 se4	71-23392-B
huang2 he2 shuo1 bu4 qing1	60-45420-S
huang2 he2 xin1 bu4 si3	1-72767-S
huang2 hou4	44-60199-B
huang2 hua1	71-22507-B
huang2 hua1 gui1 nu:3	71-23116-B
huang2 hua1 nu:3	71-22600-B
huang2 hua1 you4 nu:3	71-23046-B
huang2 hua1 yu2	71-23186-B
huang2 huang2	44-62367-B
huang2 hun1	71-20118-B
huang2 huo4	25-26486-B
huang2 jia1	44-61035-B
huang2 jia1 hai3 jun1	44-61194-B
huang2 jia1 qi2 jing3	44-61482-B
huang2 jia1 xue2 hui4	44-61095-B
huang2 jian4 nan2	71-19919-B
huang2 jiang1	71-23305-B
huang2 jiang4	55-61107-S
huang2 jiao1	71-22203-B
huang2 jin1	71-19079-B,71-24008-B
huang2 jin1 fen1 ge1	71-24048-B
huang2 jin1 jia3	39-36865-S
huang2 jin1 jun1	71-19575-B
huang2 jin1 min2 bian4	71-19324-B
huang2 jin1 qi3 yi4	71-19453-B
huang2 jin1 zhi1 luan4	71-19195-B
huang2 jin1 zhou1	71-24132-B,71-24371-B
huang2 jiu3	71-23894-B
huang2 jun1	44-62550-B
huang2 ke1	56-7120-B
huang2 kong3	25-26440-B
huang2 li2	71-25693-B,71-30475-S
huang2 li4	51-29738-S,66-40276-S
huang2 li5	44-61993-B,53-28827-S
huang2 lin2 ding4	43-41238-S
huang2 ling2	47-23950-S
huang2 ma2	71-25761-B
huang2 mei2	71-23959-B
huang2 men2	23-49781-S
huang2 nang2	11-25908-S
huang2 niu2	71-21604-B
huang2 niu2 piao4	71-21710-B
huang2 pai2	71-21526-B
huang2 pao4 chui2	1-38542-S
huang2 peng3	71-25440-B
huang2 pian4	48-39332-B
huang2 pu3 jiang1	71-21093-B
huang2 qi2	65-7919-S
huang2 qin1 guo2 qi1	44-62425-B
huang2 qu3 mei2 du2 su4	71-20176-B
huang2 quan2	44-62122-B,71-20840-B,71-26321-B
huang2 que4	55-36978-S
huang2 re4 bing4	71-21335-B
huang2 re4 bing4 du2	71-21394-B
huang2 se4	34-7947-S,38-58036-S,55-21632-S,64-17932-S,71-22375-B
huang2 se4 zha4 yao4	71-22429-B
huang2 shan4	71-25296-B
huang2 shang4 ren2	51-14984-S
huang2 shang5	44-59607-B
huang2 she2	48-39427-B
huang2 shi1 cuo4	69-61806-S
huang2 shi2 ku1	30-10612-S
