errors often imaginary	26-58460-S
etc	1-6575-S,1-45053-S,1-46321-S,1-57993-S,1-58915-S,1-62445-S,3-3755-S,3-6965-S,3-24728-S,4-17631-S,4-57074-S,5-10105-S,5-18409-S,5-21845-S,5-25922-S,5-35188-S,5-43446-S,5-49350-S,6-14702-S,6-58064-S,7-16897-S,7-20498-S,7-24693-S,8-45839-S,8-61750-S,9-2285-S,9-11549-S,9-33435-S,9-37763-S,11-31467-S,11-34186-S,11-46587-S,11-58389-S,11-59971-S,11-69200-S,12-10523-S,12-14969-S,12-24765-S,12-32022-S,12-36652-S,13-18504-S,13-18559-S,13-49934-S,14-33261-S,14-33986-S,14-42719-S,15-11489-S,15-64838-S,16-9540-S,16-12679-S,16-55539-S,16-57900-S,17-153-S,17-153-S,17-153-S,18-47519-S,20-27970-S,20-49179-S,20-59121-S,21-4115-S,22-35616-S,22-36210-S,22-37398-S,22-58518-S,23-52911-S,24-35993-S,24-42347-S,24-43503-S,25-5363-S,26-23278-S,26-29992-S,26-60656-S,26-61353-S,27-29025-S,28-16384-S,28-16532-S,28-17213-S,28-19925-S,28-25162-S,28-36646-S,29-17390-S,29-19064-S,29-30386-S,29-40903-S,29-45027-S,30-20699-S,30-37417-S,30-63224-S,31-7288-S,32-10258-S,32-12385-S,32-33225-S,33-39490-S,33-64369-S,34-8621-S,34-19699-S,34-45843-S,35-3258-S,35-5961-S,35-6063-S,35-36149-S,35-40806-S,36-7709-S,36-8305-S,36-11969-S,36-40553-S,37-24511-S,37-50106-S,39-19612-S,40-0-S,40-22169-S,41-14374-S,41-14374-S,41-20844-S,41-23591-S,41-33589-S,42-1888-S,42-12051-S,42-47709-S,43-40250-S,43-44016-S,43-53125-S,44-34911-S,44-44330-S,44-64070-S,45-32271-S,45-41433-S,45-49507-S,46-30857-S,46-50509-S,47-16590-S,47-51143-S,48-17869-S,48-40267-S,48-40985-S,48-60710-S,49-14630-S,49-15010-S,49-15196-S,49-15595-S,49-22683-S,49-35765-S,49-41424-S,49-61057-S,50-6090-S,50-6090-S,50-7789-S,50-9640-S,50-15113-S,50-32123-S,50-35600-S,50-44786-S,50-54410-S,51-53223-S,52-32616-S,52-35127-S,52-43513-S,52-44020-S,52-57658-S,53-59281-S,54-49799-S,55-6811-S,56-0-S,56-12297-S,56-12423-S,56-31456-S,56-35465-S,56-45431-S,57-45930-S,57-56606-S,58-5319-S,58-36118-S,58-42117-S,58-47968-B,59-31102-S,60-1603-S,60-15313-S,60-35923-S,61-37920-S,61-57267-S,61-63140-S,62-67846-S,63-7929-S,63-42013-S,64-11065-S,64-21583-S,64-54074-S,64-58324-S,65-9127-S,65-31719-S,65-35240-S,65-41699-S,65-42767-S,66-20498-S,66-32248-S,67-52310-S,68-342-S,68-428-S,68-670-S,68-53724-S,69-23078-S,69-23443-S,69-29803-S,69-58223-S,71-21604-S,71-29221-S,71-50603-S
etc and discharge surplus personnel	50-22012-S
etc as usual	41-7260-S
etc border	39-35023-S,50-13893-S
etc department	63-23356-S
etc difficulty	14-63603-S
etc during a trip	1-60598-S
etc episode	66-56500-S
etc extraction	56-28153-S
etc in his bones derog 	70-0-S
etc instrument	6-54092-S
etc into	26-38993-S
etc observation	57-42930-S
etc on	20-2734-S
etc power	28-14363-S
etc prospects	9-22587-S
etc run high	70-17516-S
etc sometimes derog 	9-23167-S
etc stand like a wall	16-31739-S
etc stubbornly	61-58919-S
etc to break up in discord	2-15901-S
etc to fall through and stand exposed	30-186-S
etc towards america	20-54783-S
etc towards china	20-55199-S
etc towards japan	20-51187-S
etc towards taiwan	20-55050-S
etc whose flowers have a cross of 4 petals	10-46125-S
etc with a respiratory function similar to hemoglobin	56-29282-S
etc with mud	37-42985-S
etc with your presence	59-50427-S
etc wrapper	44-64624-S
etcetera	48-19052-B
etch	56-7042-B
etched plate	41-45215-S
etching used in microelectonics	7-7170-S
eternal	36-48279-B,36-51336-B,36-53045-B,54-43897-B
eternal and unchanging as the universe	17-54414-S
eternal glory	12-54992-S,36-49842-B
eternal life	36-52253-B
eternal love	21-31808-S,38-24136-S,45-7227-S
eternal origin	18-52470-B
eternal parting i e death	36-48934-B,36-52609-B
eternal rest i e death	36-52367-B,65-18281-B
eternal wheel of life in buddhism	37-34796-S
eternalism permanence of soul	22-29935-B,22-30001-B
eternally	15-38443-B
eternity i e to die	36-51336-S
ethanal	3-17241-B
ethane c2h6	3-16286-B
ethane dinitrile	36-37095-B
ethanoic acid	3-16974-B
ethanol	63-40405-B
ethanol c2h5oh	3-17043-B
ether	2-45183-S,3-15814-B,3-17180-B,3-32218-S,3-37584-S,4-36763-B,35-33588-S,46-8168-S,63-48412-B
ether c2h5oc2h5	3-17180-S
ether ch3och3	43-42034-S
ethereal	22-55512-S
ethernet	3-15852-B,3-69133-S,4-36802-B,4-36855-B,7-70349-S,10-44140-S,24-49112-S,60-25167-S,70-22297-S
ethernet alliance	10-44256-S
ethernet frame	4-36919-B
ethernet port	4-37002-B
ethical awareness	62-51038-B
ethics	6-3336-B,6-3375-B,7-56571-S,7-59879-S,24-23888-B,47-8549-S,62-50334-S,62-50753-B
ethics and ability	24-26652-B
ethiopia	3-62191-S,15-57859-B,66-6813-S,66-6890-S
ethmoid bone cheek	48-34714-B
ethnic	16-59616-S
ethnic calendar	47-47706-S
ethnic chinese	54-36211-B
ethnic chinese person or people	54-31771-B
ethnic cleansing	47-32973-B,47-33055-B
ethnic group	5-21636-B,6-25915-S,6-26026-S,6-52170-S,6-52455-S,21-4236-B,22-13786-S,22-13836-S,23-53413-S,23-53450-S,31-2184-B,36-20945-B,51-1361-S,51-54296-S,56-4088-S,67-46142-S
ethnic group in guangxi	6-52080-S
ethnic group in yunnan	49-17736-S
ethnic group of hunan	15-30486-S
ethnic group of southwest china	53-64571-S,53-64699-S
ethnic group who made up the 西夏 dynasty	71-45467-S
ethnic han	39-49914-B
ethnic minorities	18-50197-S
ethnic minority	5-35648-S,5-38381-S,33-25098-S,62-53866-S,71-45384-S,71-45467-S
ethnic minority in central asia	68-9624-S
ethnic minority of inner mongolia and heilongjiang	62-53930-S
ethnic minority of lijiang 麗江 丽江 in northwest yunnan	33-18153-S
ethnic minority of myanmar	7-17918-S
ethnic minority of yunnan	6-25863-S,6-25964-S
ethnic minority of yunnan and sichuan	29-1325-S,29-1401-S
ethnic people in ancient china who were a branch of the eastern hu people inhabiting the valley of the xar murun river in the upper reaches of the liaohe river	18-6031-B
ethnic serb	16-19965-B
ethnic state	16-59672-S
ethnic studies	36-21238-S
ethnic township formal village level subdivision of prc county	21-4322-B
ethnicity	31-2118-B,47-32663-B
ethnology	36-21442-B
ethos	68-57339-B
ethyalamino group	3-16128-B
ethyl acetate	63-47279-B
ethyl alcohol c2h5cooh	3-32729-B
ethylene c2h4	3-16241-B
ethylene glycol c2h4 oh 2 antifreeze	3-15288-B
ethylene oxide	43-5923-B
ethyne c2h2	3-16187-B
etim	33-22547-S
etiquette	17-64596-S,47-7947-B,47-7995-B,47-8045-B,47-8887-B
etiquette on meeting the emperor	1-42832-S
etiquette 禮 礼 禮儀 礼仪	7-69074-S
etlo	33-22295-S,33-22883-S
etlo xinjiang dissident group	33-22703-S
etna volcano in italy	15-60146-S
eton public school english elite school	4-52460-B
etuoke qi place in inner mongolia	63-28746-S
etuoke qianqi place in inner mongolia	63-28639-S
etymological dictionary explain words by 劉熙 刘熙	63-52782-S
etymological meaning of a word	12-4895-S
etymological meaning the middle man makes a profit	3-495-S
etymological variant of 颠	60-49974-B
etymologically correct form	5-33698-S
etymologically correct form 正體字 正体字	5-33212-S
etymology	11-33252-S,12-56869-B,58-10310-B,58-26197-B
etymon	32-64009-B
eu	35-28573-S,35-28694-S,35-29710-B,35-30468-B,51-7333-S,61-15456-S
eu commission president	22-9064-S
eu sakharov prize for human rights	55-23607-S,55-23934-S
eu since 1988	55-23734-S
eu63	64-32605-S
eucalyptus	34-4761-B
eucalyptus globulus	34-4720-B
euclid	35-28070-B
euclid of alexandria c 300 bc	35-27520-B,35-27604-B
euclid s elements	22-56455-B
euclid s elements 幾何原本 几何原本	11-33497-S
euclid s fifth postulate	22-44523-B
euclidean	35-27688-B
euclidean geometry	35-27752-B,35-27823-B,35-28145-B,50-57726-S,50-59675-S,67-65893-S,67-65968-S
eucommia a kind of rubber tree	33-8321-B
eugene cernan 1934 	16-20091-B
eugene cernan apollo 17 astronaut	21-8574-B
eugene name	35-27129-B
eugenia aromatica	1-26155-S
eugenics	6-58132-B
euglena genus of single celled plant	45-51798-B
eukaryotic	45-42945-B
euler 1707 1783	35-27905-S
eulogize	6-42687-S,35-26694-B,59-14787-S,68-27789-S
eulogize the dead	58-18060-B
eulogy	25-11509-B,58-18060-B
eulota peliomphala	55-59189-B
eumeces latiscutatus	56-5200-B,56-5445-B
eumenes pomiformis	56-6594-B
eumycetes taxonomic class of funghi	45-44615-B
eunuch	17-59883-S,17-59883-S,19-56611-B,51-25818-S
eunuchs	19-56980-S
eupatorii used in chinese medicine	5-10445-S
eupatorium	40-1698-B
eupatorium chinensis	55-14500-B
eupatorium fortunei	5-10445-S,55-44129-S
eupatorium same as 蕑	55-17219-B
euph 	60-9375-S
euph to thank politely while declining to meet a visitor	58-56403-B
euphemism	18-41502-B,18-41555-B,32-9087-S,35-55300-B,54-7473-S,61-36316-S
euphemism for a bribe	14-58012-B
euphemism for compulsory retirement of old cadres	67-8787-S
euphemism for extra marital sex	12-7123-S
euphemism for homosexuality	30-60489-S
euphemism for ladies toilet	10-24300-B
euphemism for sexual intercourse	56-32501-B
euphemism or honorific for ill	62-56270-B
euphemism stout	20-7361-B
euphemism tactful expression for sth unpleasant such as death	18-52662-B,18-52761-B,18-52930-B
euphemism to go to the toilet	30-61708-B
euphemistic	18-41449-B
euphonium	4-70395-B
euphorbiaceae family	71-57782-S
euphorbiaceae plant family including rubber and cassava	17-18328-B
euphrates river	22-54514-B
euphrates river in iraq	22-54436-B
euphrates river valley	22-54592-B
eurasia	35-27070-B
eurasia in geography	12-1139-S
eurasia in geological history	22-61153-S
eurasian continent	3-59673-B,3-59763-B,35-26980-B
eurasian falcon falco tinnunculus	54-11729-S
eurasian finch or brambling fringilla montifringilla	41-29352-B
eurasian hinterland i e central asia including xinjiang	3-59976-B
eurasian jay garrulus glandarius	33-29124-S
euratom	35-28912-B
euripides c 480 406 bc	35-22652-B
euro	35-27272-B,35-30133-B
eurocent	35-27395-B
europa	1-2375-S
europe	2-74188-S,3-59673-S,3-59833-S,10-32757-S,11-239-S,33-20073-S,34-35876-S,35-26952-B,35-26980-S,35-28281-B,42-33991-S,42-34144-S,51-7333-S,57-19162-S,57-19326-B,69-52125-S
europe and america	35-30682-B,37-48447-S
europe and the world in premodern japan	55-44758-S
europe e g trading relations	2-74188-S
europe from 600 ad and took over france	37-33275-S
europe golf team competition	54-39840-S
europe land bridge	3-59833-S
europe ocse	35-29011-S
europe of 1871	21-35836-S
europe osce	35-29175-S
european	18-34624-S,35-28281-B
european central bank	35-28330-B
european common market old term for eu	35-28573-B
european community old term for the eu	35-28694-B
european court of justice	35-29629-B
european cup e g soccer	35-29432-B
european currency	35-30133-B
european dynasty	13-38428-S
european free trade association	35-29785-B
european grammar	8-50650-S,62-43988-S
european imported turbot	16-55973-B
european kings	1-707-S
european language	11-20222-S,11-20290-S,11-20443-S,35-29987-B,58-10178-S
european languages	21-15772-S
european minority	12-40216-S
european notion	13-4474-S
european organization for nuclear research cern	35-29503-B
european parliament	35-30059-B
european people of central asia	12-60458-S,32-28069-S
european person	11-20156-S,35-28511-B
european plain	33-20121-S
european police office	35-28801-S
european poplar populus tremula	35-29341-B
european scholar honorific title of matteo ricci	37-48524-S
european states	28-14442-S,28-14560-S
european style	35-27688-S
european system of languages	11-20357-S
european tv	35-30275-B
european union	35-29710-B,35-30468-B,35-30519-S
european wild cabbage brassica oleracea	64-3983-B
europium eu63	64-32605-B
europol european police office	35-28801-B
eurostar train line	35-28433-B
eurovision	35-30275-B
eurovision song contest	35-30354-B
eurya japonica	33-40499-B
euryale ferox	53-52017-B
eustachian tube linking pharynx 咽 to tympanic cavity 鼓室 of middle ear	13-31031-B
euthanasia	19-30066-B
euthynnus alletteratus	70-42810-B
eutrema wasabi maxim	21-29523-S
ev	67-27475-S
eva air taiwanese airline	65-15734-B
evacuate	29-11410-B,44-2328-S,61-26558-S
evacuate a building in an emergency	44-2424-S
evacuate e g foreign civilians from a war zone	29-10674-S
evacuation	44-2424-B,63-7865-S
evacuation of bowels	28-17213-B
evade	14-57954-S,57-33974-S,61-65651-B,63-7797-S,65-26408-S
evade debt	5-61375-S
evade responibility and push it to others	28-29735-S
evaded	56-58375-S
evaluate	13-35343-S,26-58283-S,39-3996-S,51-34200-S,58-7045-S,58-7115-S,58-7115-S,58-7204-S,58-7392-S,58-7462-S,58-8011-B,58-55279-S,65-6484-S
evaluate an individual	13-35625-S
evaluate by comparison	58-7629-S
evaluation	4-59831-B,51-34039-B,51-34200-B,58-7115-B,58-7959-B,63-60270-S
evaluation committee	65-6555-B
evangelist	43-1513-S,60-41626-S,69-40139-S
evaporate	55-1974-B
evaporation	36-26808-B,41-457-S,55-1974-B,55-2030-S
evasion	6-23448-S,39-44814-S,61-65155-S,63-7369-S
evasive	15-24062-S,29-37873-B
evasively	12-68373-S
evasively 成语 saw	65-25835-S
eve	9-19212-B,9-19264-S,16-40642-B,21-1723-S,22-39322-S,30-48049-S,51-51138-S,54-47175-S,66-21866-S
eve family dinner	22-48098-S
eve of	11-24429-S
eve of lunar new year	22-48043-B
eve of war	52-57582-S
even	1-71419-S,3-9224-S,5-36937-S,5-37509-S,5-50071-S,10-12025-B,10-12077-B,10-12178-B,13-45467-B,15-47243-B,15-47288-B,15-47524-B,18-242-S,21-9715-B,29-41279-S,30-17349-B,43-15608-B,43-15985-B,43-16170-B,43-16224-B,62-19431-B,63-26633-B,71-53268-B
even a blade of grass grows	20-31799-S
even after one s teeth fall out 成语 saw	37-12202-S,37-12381-S
even after the perpetrator is dead	35-57830-S
even and smooth	10-12225-B
even be said	12-16798-S
even better	8-8559-B
even bigger	32-7531-B
even enough land to stand an awl 成语 saw	59-35994-S,59-36120-S
even for a single day	1-77193-S
even function math 	6-21449-B
even given wings	28-43836-S
even handed	1-69262-B,1-69346-B
even higher	32-9456-B
even if	11-23816-B,11-24050-B,11-24102-B,13-45467-B,21-8874-B,21-10255-B,50-28297-B,50-28455-B,50-28527-B,50-29981-B,66-63098-B
even jumping into the yellow river can t get you clean	60-45420-S
even level to raise in both hands	22-50791-B
even more	25-27770-B,30-12804-S,32-6947-B,32-7194-B,32-7482-B
even now	45-20642-B
even number	6-21557-B,66-65943-B
even sth out	71-53268-S
even tempered 成语 saw	24-31913-S
even though	6-56471-B,11-24050-B,11-24102-B,13-45467-B,50-28527-B,50-29981-B,66-62852-B,66-63098-B
even to the extent that	43-16279-B
even toed ungulates	6-22129-S,6-22204-S
even tone i e final rhyming syllable must be classical first or second tone 平聲 平声	27-16295-S
even tone i e first and second tones in classical chinese	22-37104-S
even tone i e the first and second tones of classical chinese	22-44181-S
even up	26-60297-S,27-22821-S
evening	6-26698-S,6-26698-S,12-63376-S,16-41966-B,26-46530-S,31-14210-S,31-16987-B,31-36972-S,31-44629-B,31-44670-S,31-44719-S,31-44951-S,31-45547-S,31-65446-B,53-40973-S,55-18841-B,65-14402-S,71-20118-B
evening breeze	31-45678-B
evening classes	34-33713-B
evening dress	31-45304-B
evening drum	31-65774-S
evening ebbtide	36-55421-B
evening meal	31-45727-B,31-45787-B,69-14489-B
evening mist	31-65614-B,31-65730-B,37-4350-S
evening news	10-26721-S,30-50808-S
evening or night e g classes	17-1908-B
evening paper	31-44821-B
evening party	31-45115-B,51-61951-B
evening prayer	31-45360-B
evening primrose	23-65031-B
evening scene	31-65545-S
evening school	17-1255-B
evening time	31-45547-B
evening 成语 saw	32-47262-S,32-48488-S
evenly	15-47723-S,47-41373-S,58-36190-S
evenly divided	10-12025-B
evenly e g in smelting metal	15-47970-S
evenly e g in tanning leather	15-47893-S
evenly matched	31-4042-S
evenly matched adversaries	10-7515-B
evenly matched protagonists	7-47610-S
evenly rising tone	66-35282-B,66-35336-B
evensong	31-45360-B
event	3-8156-S,3-8282-S,3-28870-B,3-29147-S,3-29441-S,3-30496-S,3-30572-S,3-31823-S,4-35908-S,6-21750-S,8-45634-S,9-17876-S,11-50532-S,14-8065-S,14-19203-S,17-4850-S,19-53532-S,23-68081-S,25-48430-S,26-84-S,26-34178-S,35-14466-S,35-58558-S,45-5863-S,48-1591-S,51-57206-S,56-57229-S,59-9111-S,60-39755-S,61-59979-S,62-45229-S,64-24166-S,64-34271-S,64-56209-S,65-5362-S,66-66606-S,68-21597-S
event crying out for a supernatural explanation	46-57228-S,70-31065-S
event from beginning to end	32-64546-S
event of the past	3-31883-S
event or incident	42-49816-S
event related potential	3-28929-B
event sound	17-5350-S
event that	18-30801-S
event war or change of regime	17-4850-S
event wedding or funeral	17-4850-S
