避其锐气击其惰归	63-6163-S
邓亚萍	63-32853-S
邓亮洪	63-32910-S
邓加	63-33029-S
邓小平	63-33069-S
邓小平理论	63-33142-S
邓州	63-33304-S
邓拓	63-33368-S
邓颖超	63-33423-S
邕	63-14672-S
邕 邕	63-14672-B
邕宁	63-14706-S
邕寧 邕宁	63-14706-B
邗	63-14773-S
邗 邗	63-14773-B
邗江	63-14820-S
邗江 邗江	63-14820-B
邘	63-14887-S
邘 邘	63-14887-B
邙	63-14930-S
邙 邙	63-14930-B
邙山	63-14981-S
邙山 邙山	63-14981-B
邙山行	63-15044-S
邙山行 邙山行	63-15044-B
邛	63-15176-S
邛 邛	63-15176-B
邛崃	63-15217-S
邛崃山	63-15295-S
邛崃山脉	63-15370-S
邛崍 邛崃	63-15217-B
邛崍山 邛崃山	63-15295-B
邛崍山脈 邛崃山脉	63-15370-B
邝	63-35950-S
邠	63-15497-S
邠 邠	63-15497-B
邡	63-15543-S
邡 邡	63-15543-B
邢	63-15596-S
邢 邢	63-15596-B
邢台	63-15643-S
邢台 邢台	63-15643-B
邢台地区	63-15716-S
邢台地區 邢台地区	63-15716-B
邢台市	63-15811-S
邢台市 邢台市	63-15811-B
那	63-15895-S,63-15941-S
那 那	63-15895-B,63-15941-B
那不勒斯	63-16011-S
那不勒斯 那不勒斯	63-16011-B
那不勒斯王国	63-16069-S
那不勒斯王國 那不勒斯王国	63-16069-B
那个	63-16211-S,63-16250-S
那个人	63-16291-S
那么	63-17773-S
那么多	63-17866-S
那些	63-16173-S
那些 那些	63-16173-B
那個 那个	63-16211-B,63-16250-B
那個人 那个人	63-16291-B
那儿	63-16426-S
那兒 那儿	63-16426-B
那古屋 哪古屋	63-16462-B
那坡	63-16510-S
那坡 那坡	63-16510-B
那天	63-16569-S
那天 那天	63-16569-B
那拉提草原	63-16625-S
那拉提草原 那拉提草原	63-16625-B
那时	63-16772-S
那时侯	63-16836-S
那是	63-16706-S
那是 那是	63-16706-B
那時 那时	63-16772-B
那時侯 那时侯	63-16836-B
那曲	63-16892-S
那曲 那曲	63-16892-B
那曲地区	63-16953-S,63-17031-S
那曲地区 那曲地区	63-16953-B
那曲地區 那曲地区	63-17031-B
那曲市	63-17120-S
那曲市 那曲市	63-17120-B
那末	63-17183-S
那末 那末	63-17183-B
那样	63-17233-S
那样的	63-17286-S
那樣 那样	63-17233-B
那樣的 那样的	63-17286-B
那种	63-17354-S
那種 那种	63-17354-B
那維克 那维克	63-17432-B
那维克	63-17432-S
那裏	63-17499-S
那裏 那裏	63-17499-B
那裡 那里	63-17573-B
那边	63-17676-S
那达慕	63-17620-S
那達慕 那达慕	63-17620-B
那邊 那边	63-17676-B
那里	63-17573-S
那鴻書 那鸿书	63-17715-B
那鸿书	63-17715-S
那麼 那么	63-17773-B
那麼多 那么多	63-17866-B
那麽	63-17928-S
那麽 那麽	63-17928-B
邦	63-17983-S
邦 邦	63-17983-B
邦交	63-18032-S
邦交 邦交	63-18032-B
邦国	63-18120-S
邦國 邦国	63-18120-B
邦德	63-18168-S
邦德 邦德	63-18168-B
邦联	63-18213-S
邦聯 邦联	63-18213-B
邦迪	63-18262-S
邦迪 邦迪	63-18262-B
邧	63-18324-S
邧 邧	63-18324-B
邨	63-18358-S
邨 邨	63-18358-B
邪	63-18395-S
邪 邪	63-18395-B
邪径	63-18510-S
邪徑 邪径	63-18510-B
邪念	63-18580-S
邪念 邪念	63-18580-B
邪恶	63-18651-S
邪恶轴心	63-18711-S
邪惡 邪恶	63-18651-B
邪惡軸心 邪恶轴心	63-18711-B
邪教	63-18781-S
邪教 邪教	63-18781-B
邪术	63-18901-S
邪灵	63-19011-S
邪荡	63-18859-S
邪蕩 邪荡	63-18859-B
邪術 邪术	63-18901-B
邪道	63-18942-S
邪道 邪道	63-18942-B
邪靈 邪灵	63-19011-B
邪魔	63-19058-S
邪魔 邪魔	63-19058-B
邬	63-31490-S
邮	63-25236-S
邮件	63-25277-S
邮包	63-25321-S
邮区	63-25375-S
邮寄	63-25481-S
邮局	63-25534-S
邮局编码	63-25578-S
邮差	63-25641-S
邮戳	63-25683-S
邮戳日期	63-25739-S
邮报	63-25423-S
邮政	63-25807-S
邮政信箱	63-25849-S
邮政局	63-25924-S
邮政编码	63-25991-S
邮电	63-26487-S
邮票	63-26068-S
邮箱	63-26118-S
邮编	63-26161-S
邮购	63-26257-S
邮费	63-26216-S
邮轮	63-26321-S
邮递	63-26379-S
邮递员	63-26435-S
邯	63-19102-S
邯 邯	63-19102-B
邯郸	63-19152-S
邯郸地区	63-19223-S
邯郸市	63-19316-S
邯鄲 邯郸	63-19152-B
邯鄲地區 邯郸地区	63-19223-B
邯鄲市 邯郸市	63-19316-B
邰	63-19398-S
邰 邰	63-19398-B
邱	63-19455-S
邱 邱	63-19455-B
邱吉尔	63-19495-S
邱吉爾 邱吉尔	63-19495-B
邲	63-19557-S
邲 邲	63-19557-B
邳	63-19608-S
邳 邳	63-19608-B
邳县	63-19632-S
邳縣 邳县	63-19632-B
邴	63-19686-S
邴 邴	63-19686-B
邵	63-19746-S
邵 邵	63-19746-B
邵东	63-19831-S
邵族	63-19793-S
邵族 邵族	63-19793-B
邵東 邵东	63-19831-B
邵武	63-19896-S
邵武 邵武	63-19896-B
邵阳	63-19957-S
邵阳地区	63-20032-S
邵阳市	63-20129-S
邵陽 邵阳	63-19957-B
邵陽地區 邵阳地区	63-20032-B
邵陽市 邵阳市	63-20129-B
邵雍	63-20215-S
邵雍 邵雍	63-20215-B
邵飄萍	63-20272-S
邵飄萍 邵飄萍	63-20272-B
邶	63-20345-S
邶 邶	63-20345-B
邸	63-20390-S
邸 邸	63-20390-B
邹	63-31138-S
邹县	63-31366-S
邹容	63-31201-S
邹平	63-31256-S
邹族	63-31322-S
邹韬奋	63-31423-S
邺	63-35784-S
邻	63-34798-S
邻人	63-34847-S
邻国	63-34889-S
邻域	63-35001-S
邻居	63-35079-S
邻接	63-35120-S
邻水	63-35170-S
邻近	63-35235-S
邻近词频率效果	63-35303-S
邽	63-20436-S
邽 邽	63-20436-B
邾	63-20489-S
邾 邾	63-20489-B
邿	63-20546-S
邿 邿	63-20546-B
郁	63-20579-S,70-30391-S
郁 郁	63-20579-B
郁南	70-30438-S
郁江	70-30550-S
郁达夫	70-30593-S
郁郁葱葱	70-30705-S
郁金香	70-30654-S
郁闷	70-30501-S
郃	63-20619-S
郃 郃	63-20619-B
郄	63-20657-S
郄 郄	63-20657-B
郅	63-20693-S
郅 郅	63-20693-B
郇	63-20737-S
郇 郇	63-20737-B
郇山隐修会	63-20782-S
郇山隱修會 郇山隐修会	63-20782-B
郈	63-20890-S
郈 郈	63-20890-B
郊	63-20935-S
郊 郊	63-20935-B
郊区	63-20965-S
郊區 郊区	63-20965-B
郊外	63-21034-S
郊外 郊外	63-21034-B
郊游	63-21078-S
郊遊 郊游	63-21078-B
郎	63-21130-S
郎 郎	63-21130-B
郎世宁	63-21240-S
郎世寧 郎世宁	63-21240-B
郎平	63-21373-S
郎平 郎平	63-21373-B
郎溪	63-21432-S
郎溪 郎溪	63-21432-B
郏	63-21899-S
郏县	63-21949-S
郐	63-35841-S
郑	63-33701-S
郑光祖	63-33739-S
郑和	63-33800-S
郑国渠	63-33855-S
郑州	63-33986-S
郑州大学	63-34101-S
郑州市	63-34179-S
郑成功	63-34305-S
郑梦准	63-33915-S
郑玄	63-34374-S
郑码	63-34431-S
郑重	63-34522-S
郑重其事	63-34567-S
郓	63-29370-S
郓城	63-29403-S
郔	63-21493-S
郔 郔	63-21493-B
郕	63-21526-S
郕 郕	63-21526-B
郗	63-21573-S
郗 郗	63-21573-B
郙	63-21631-S
郙 郙	63-21631-B
郚	63-21671-S
郚 郚	63-21671-B
郛	63-21703-S
郛 郛	63-21703-B
郜	63-21732-S
郜 郜	63-21732-B
郝	63-21789-S
郝 郝	63-21789-B
郝海东	63-21842-S
郝海東 郝海东	63-21842-B
郟 郏	63-21899-B
郟縣 郏县	63-21949-B
郠	63-22003-S
郠 郠	63-22003-B
郡	63-22037-S
郡 郡	63-22037-B
郡会	63-22080-S
郡會 郡会	63-22080-B
郡治安官	63-22128-S
郡治安官 郡治安官	63-22128-B
郢	63-22191-S
郢 郢	63-22191-B
郢书燕说	63-22219-S
郢書燕說 郢书燕说	63-22219-B
郤	63-22472-S
郤 郤	63-22472-B
郦	63-36348-S
郧	63-31541-S
郧县	63-31586-S
郧西	63-31640-S
部	63-22531-S
部 部	63-22531-B
部下	63-22643-S
部下 部下	63-22643-B
部件	63-22714-S
部件 部件	63-22714-B
部份	63-22791-S
部份 部份	63-22791-B
部位	63-22873-S
部位 部位	63-22873-B
部分	63-22920-S
部分 部分	63-22920-B
部分值	63-22977-S
部分值 部分值	63-22977-B
部委	63-23036-S
部委 部委	63-23036-B
部属	63-23095-S
部屬 部属	63-23095-B
部族	63-23152-S
部族 部族	63-23152-B
部类	63-23934-S
部署	63-23196-S
部署 部署	63-23196-B
部落	63-23260-S
部落 部落	63-23260-B
部落格	63-23298-S
部落格 部落格	63-23298-B
部長 部长	63-23356-B
部長會 部长会	63-23474-B
部長會議 部长会议	63-23545-B
部長級 部长级	63-23626-B
部長級會議 部长级会议	63-23708-B
部长	63-23356-S
部长会	63-23474-S
部长会议	63-23545-S
部长级	63-23626-S
部长级会议	63-23708-S
部門 部门	63-23799-B
部门	63-23799-S
部队	63-23866-S
部隊 部队	63-23866-B
部類 部类	63-23934-B
部首	63-23984-S
部首 部首	63-23984-B
部首編排法 部首编排法	63-24105-B
部首编排法	63-24105-S
郪	63-24230-S
郪 郪	63-24230-B
郫	63-24278-S
郫 郫	63-24278-B
郭	63-24310-S
郭 郭	63-24310-B
郭城	63-24360-S
郭城 郭城	63-24360-B
郭小川	63-24411-S
郭小川 郭小川	63-24411-B
郭晶晶	63-24484-S
郭晶晶 郭晶晶	63-24484-B
郭松焘	63-24543-S
郭松焘 郭松焘	63-24543-B
郭永怀	63-24627-S
郭永懷 郭永怀	63-24627-B
郭沫若	63-24698-S
郭沫若 郭沫若	63-24698-B
郭泉	63-24763-S
郭泉 郭泉	63-24763-B
郭茂倩	63-24806-S
郭茂倩 郭茂倩	63-24806-B
郯	63-24883-S
郯 郯	63-24883-B
郯城	63-24941-S
郯城 郯城	63-24941-B
郰	63-25009-S
郰 郰	63-25009-B
郳	63-25067-S
郳 郳	63-25067-B
郴	63-25099-S
郴 郴	63-25099-B
郴州市	63-25150-S
郴州市 郴州市	63-25150-B
郵 邮	63-25236-B
郵件 邮件	63-25277-B
郵包 邮包	63-25321-B
郵區 邮区	63-25375-B
郵報 邮报	63-25423-B
郵寄 邮寄	63-25481-B
郵局 邮局	63-25534-B
郵局編碼 邮局编码	63-25578-B
郵差 邮差	63-25641-B
郵戳 邮戳	63-25683-B
郵戳日期 邮戳日期	63-25739-B
郵政 邮政	63-25807-B
郵政信箱 邮政信箱	63-25849-B
郵政局 邮政局	63-25924-B
郵政編碼 邮政编码	63-25991-B
郵票 邮票	63-26068-B
郵箱 邮箱	63-26118-B
郵編 邮编	63-26161-B
郵費 邮费	63-26216-B
郵購 邮购	63-26257-B
郵輪 邮轮	63-26321-B
郵遞 邮递	63-26379-B
郵遞員 邮递员	63-26435-B
郵電 邮电	63-26487-B
郷	63-26549-S
郷 郷	63-26549-B
郸	63-35669-S
郸城	63-35719-S
郹	63-26601-S
郹 郹	63-26601-B
都	63-26633-S,63-26729-S
都 都	63-26633-B,63-26729-B
都会	63-27564-S
都会传奇	63-27630-S
都伯林	63-26785-S
都伯林 都伯林	63-26785-B
都兰	63-28003-S
都勻 都匀	63-26834-B
都勻市 都匀市	63-26888-B
都匀	63-26834-S
都匀市	63-26888-S
都城	63-26953-S
都城 都城	63-26953-B
都安瑤族自治縣 都安瑶族自治县	63-27000-B
都安瑶族自治县	63-27000-S
都市	63-27126-S
都市 都市	63-27126-B
都市传奇	63-27174-S
都市傳奇 都市传奇	63-27174-B
都拉斯	63-27348-S
都拉斯 都拉斯	63-27348-B
都昌	63-27416-S
都昌 都昌	63-27416-B
都昌县	63-27484-S
都昌縣 都昌县	63-27484-B
都會 都会	63-27564-B
都會傳奇 都会传奇	63-27630-B
都柏林	63-27804-S
都柏林 都柏林	63-27804-B
都江堰	63-27853-S
都江堰 都江堰	63-27853-B
都江堰市	63-27920-S
都江堰市 都江堰市	63-27920-B
都灵	63-28064-S
都蘭 都兰	63-28003-B
都靈 都灵	63-28064-B
郾	63-28118-S
郾 郾	63-28118-B
郾城	63-28151-S
郾城 郾城	63-28151-B
郿	63-28216-S
郿 郿	63-28216-B
鄀	63-28257-S
鄀 鄀	63-28257-B
鄂	63-28290-S
鄂 鄂	63-28290-B
鄂伦春自治旗	63-28369-S
鄂倫春自治旗 鄂伦春自治旗	63-28369-B
鄂尔多斯	63-28964-S
鄂尔多斯市	63-29061-S
鄂州	63-28490-S
鄂州 鄂州	63-28490-B
鄂州市	63-28559-S
鄂州市 鄂州市	63-28559-B
鄂托克前旗	63-28639-S
鄂托克前旗 鄂托克前旗	63-28639-B
鄂托克旗	63-28746-S
鄂托克旗 鄂托克旗	63-28746-B
鄂温克族自治旗	63-28837-S
鄂溫克族自治旗 鄂温克族自治旗	63-28837-B
鄂爾多斯 鄂尔多斯	63-28964-B
鄂爾多斯市 鄂尔多斯市	63-29061-B
鄂霍次克海	63-29169-S
鄂霍次克海 鄂霍次克海	63-29169-B
鄄	63-29246-S
鄄 鄄	63-29246-B
鄄城	63-29300-S
鄄城 鄄城	63-29300-B
鄆 郓	63-29370-B
鄆城 郓城	63-29403-B
鄇	63-29471-S
鄇 鄇	63-29471-B
鄈	63-29504-S
鄈 鄈	63-29504-B
鄉 乡	63-29537-B
鄉下 乡下	63-29577-B
鄉下習氣 乡下习气	63-29655-B
鄉人 乡人	63-29742-B
鄉人子 乡人子	63-29806-B
鄉城 乡城	63-29910-B
鄉寧 乡宁	63-29981-B
鄉巴佬 乡巴佬	63-30049-B
鄉情 乡情	63-30125-B
鄉戚 乡戚	63-30174-B
鄉曲 乡曲	63-30234-B
鄉村 乡村	63-30294-B
鄉民 乡民	63-30356-B
鄉紳 乡绅	63-30406-B
鄉親 乡亲	63-30526-B
鄉試 乡试	63-30645-B
鄉鄰 乡邻	63-30744-B
鄉里 乡里	63-30820-B
鄉鎮 乡镇	63-30881-B
鄋	63-30936-S
鄋 鄋	63-30936-B
鄍	63-30974-S
鄍 鄍	63-30974-B
鄎	63-31008-S
鄎 鄎	63-31008-B
鄏	63-31040-S
鄏 鄏	63-31040-B
鄐	63-31072-S
鄐 鄐	63-31072-B
鄑	63-31106-S
鄑 鄑	63-31106-B
鄒 邹	63-31138-B
鄒容 邹容	63-31201-B
鄒平 邹平	63-31256-B
鄒族 邹族	63-31322-B
鄒縣 邹县	63-31366-B
鄒韜奮 邹韬奋	63-31423-B
鄔 邬	63-31490-B
鄖 郧	63-31541-B
鄖縣 郧县	63-31586-B
鄖西 郧西	63-31640-B
鄗	63-31699-S
鄗 鄗	63-31699-B
鄘	63-31740-S
鄘 鄘	63-31740-B
鄙	63-31799-S
鄙 鄙	63-31799-B
鄙人	63-31841-S
鄙人 鄙人	63-31841-B
鄙俗	63-31895-S
鄙俗 鄙俗	63-31895-B
鄙俚	63-31944-S
鄙俚 鄙俚	63-31944-B
鄙吝	63-31993-S
鄙吝 鄙吝	63-31993-B
鄙夷	63-32052-S
鄙夷 鄙夷	63-32052-B
鄙弃	63-32112-S
鄙棄 鄙弃	63-32112-B
鄙薄	63-32158-S
鄙薄 鄙薄	63-32158-B
鄙視 鄙视	63-32209-B
鄙视	63-32209-S
鄙陋	63-32272-S
鄙陋 鄙陋	63-32272-B
鄚	63-32324-S
鄚 鄚	63-32324-B
鄜	63-32356-S
鄜 鄜	63-32356-B
鄞	63-32407-S
鄞 鄞	63-32407-B
鄞县	63-32460-S
鄞縣 鄞县	63-32460-B
鄠	63-32517-S
鄠 鄠	63-32517-B
鄢	63-32568-S
鄢 鄢	63-32568-B
鄢陵	63-32625-S
鄢陵 鄢陵	63-32625-B
鄣	63-32688-S
鄣 鄣	63-32688-B
鄤	63-32723-S
鄤 鄤	63-32723-B
鄧 邓	63-32756-B
鄧世昌 邓世昌	63-32792-B
鄧亞萍 邓亚萍	63-32853-B
鄧亮洪 邓亮洪	63-32910-B
鄧加 邓加	63-33029-B
鄧小平 邓小平	63-33069-B
鄧小平理論 邓小平理论	63-33142-B
鄧州 邓州	63-33304-B
鄧拓 邓拓	63-33368-B
鄧穎超 邓颖超	63-33423-B
鄧麗君 邓丽君	63-33496-B
鄩	63-33564-S
鄩 鄩	63-33564-B
鄫	63-33609-S
鄫 鄫	63-33609-B
鄬	63-33655-S
鄬 鄬	63-33655-B
鄭 郑	63-33701-B
鄭光祖 郑光祖	63-33739-B
鄭和 郑和	63-33800-B
鄭國渠 郑国渠	63-33855-B
鄭夢準 郑梦准	63-33915-B
鄭州 郑州	63-33986-B
鄭州大學 郑州大学	63-34101-B
鄭州市 郑州市	63-34179-B
鄭成功 郑成功	63-34305-B
鄭玄 郑玄	63-34374-B
鄭碼 郑码	63-34431-B
鄭重 郑重	63-34522-B
鄭重其事 郑重其事	63-34567-B
鄮	63-34635-S
鄮 鄮	63-34635-B
鄯	63-34676-S
鄯 鄯	63-34676-B
鄯善	63-34730-S
鄯善 鄯善	63-34730-B
鄰 邻	63-34798-B
鄰人 邻人	63-34847-B
鄰國 邻国	63-34889-B
鄰域 邻域	63-35001-B
鄰居 邻居	63-35079-B
鄰接 邻接	63-35120-B
鄰水 邻水	63-35170-B
鄰近 邻近	63-35235-B
鄰近詞頻率效果 邻近词频率效果	63-35303-B
鄱	63-35420-S
鄱 鄱	63-35420-B
鄱阳	63-35456-S
鄱阳县	63-35584-S
鄱阳湖	63-35529-S
鄱陽 鄱阳	63-35456-B
鄱陽湖 鄱阳湖	63-35529-B
鄱陽縣 鄱阳县	63-35584-B
鄲 郸	63-35669-B
鄲城 郸城	63-35719-B
鄴 邺	63-35784-B
鄶 郐	63-35841-B
鄹	63-35900-S
鄹 鄹	63-35900-B
鄺 邝	63-35950-B
鄻	63-35988-S
鄻 鄻	63-35988-B
鄾	63-36022-S
鄾 鄾	63-36022-B
鄿	63-36055-S
鄿 鄿	63-36055-B
酃	63-36094-S
酃 酃	63-36094-B
酃县	63-36145-S
酃縣 酃县	63-36145-B
酅	63-36201-S
酅 酅	63-36201-B
酆	63-36233-S
酆 酆	63-36233-B
酇	63-36293-S
酇 酇	63-36293-B
酈 郦	63-36348-B
酉	63-36399-S
酉 酉	63-36399-B
酉牌时分	63-36451-S
酉牌時分 酉牌时分	63-36451-B
酉阳	63-36513-S
酉陽 酉阳	63-36513-B
酉雞 酉鸡	63-36599-B
酉鸡	63-36599-S
酊	63-36639-S
酊 酊	63-36639-B
酋	63-36674-S
酋 酋	63-36674-B
酋長 酋长	63-36709-B
酋長國 酋长国	63-36827-B
酋长	63-36709-S
酋长国	63-36827-S
酌	63-36936-S
酌 酌	63-36936-B
酌情	63-37012-S
酌情 酌情	63-37012-B
配	63-37075-S
配 配	63-37075-B
配件	63-37175-S
配件 配件	63-37175-B
配件挂勾	63-37260-S
配件掛勾 配件挂勾	63-37260-B
配价	63-37454-S
配体	63-39079-S
配偶	63-37331-S
配偶 配偶	63-37331-B
配備 配备	63-37383-B
配價 配价	63-37454-B
配合	63-37495-S
配合 配合	63-37495-B
配售	63-37717-S
配售 配售	63-37717-B
配备	63-37383-S
配套	63-37807-S
配套 配套	63-37807-B
配子	63-37863-S
配子 配子	63-37863-B
配对	63-37911-S
配对儿	63-38019-S
配對 配对	63-37911-B
配對兒 配对儿	63-38019-B
配属	63-38074-S
配屬 配属	63-38074-B
配料	63-38133-S
配料 配料	63-38133-B
配方	63-38201-S
配方 配方	63-38201-B
配方法	63-38326-S
配方法 配方法	63-38326-B
配用	63-38430-S
配用 配用	63-38430-B
配称	63-38485-S
配稱 配称	63-38485-B
配置	63-38527-S
配置 配置	63-38527-B
配药	63-38570-S
配藥 配药	63-38570-B
配角	63-38630-S
配角 配角	63-38630-B
配送	63-38688-S
配送 配送	63-38688-B
配送地址	63-38734-S
配送地址 配送地址	63-38734-B
配送者	63-38806-S
配送者 配送者	63-38806-B
配送費 配送费	63-38863-B
配送费	63-38863-S
配音	63-38932-S
配音 配音	63-38932-B
配飾 配饰	63-38986-B
配餐	63-39037-S
配餐 配餐	63-39037-B
配饰	63-38986-S
配體 配体	63-39079-B
酎	63-39118-S
酎 酎	63-39118-B
酏	63-39153-S
酏 酏	63-39153-B
酐	63-39193-S
酐 酐	63-39193-B
酒	63-39225-S
酒 酒	63-39225-B
酒会	63-39790-S
酒厂	63-39690-S
酒吧	63-39286-S
酒吧 酒吧	63-39286-B
酒宴	63-39326-S
酒宴 酒宴	63-39326-B
酒家	63-39372-S
酒家 酒家	63-39372-B
酒巴	63-39416-S
酒巴 酒巴	63-39416-B
酒店	63-39472-S
酒店 酒店	63-39472-B
酒店业	63-39552-S
酒店業 酒店业	63-39552-B
酒廊	63-39652-S
酒廊 酒廊	63-39652-B
酒廠 酒厂	63-39690-B
酒徒	63-39749-S
酒徒 酒徒	63-39749-B
酒會 酒会	63-39790-B
酒杯	63-39853-S
酒杯 酒杯	63-39853-B
酒楼	63-39895-S
酒樓 酒楼	63-39895-B
酒泉	63-39949-S
酒泉 酒泉	63-39949-B
酒泉地区	63-40022-S
酒泉地區 酒泉地区	63-40022-B
酒泉市	63-40117-S
酒泉市 酒泉市	63-40117-B
酒盅	63-40201-S
酒盅 酒盅	63-40201-B
酒石酸	63-40252-S
酒石酸 酒石酸	63-40252-B
酒神	63-40311-S
酒神 酒神	63-40311-B
酒窝	63-40366-S
酒窩 酒窝	63-40366-B
酒精	63-40405-S
酒精 酒精	63-40405-B
酒精性	63-40475-S
酒精性 酒精性	63-40475-B
酒精飲料 酒精饮料	63-40542-B
酒精饮料	63-40542-S
酒肆	63-40606-S
酒肆 酒肆	63-40606-B
酒肉朋友	63-40681-S
酒肉朋友 酒肉朋友	63-40681-B
酒酸不售	63-40807-S
酒酸不售 酒酸不售	63-40807-B
酒醉	63-40906-S
酒醉 酒醉	63-40906-B
酒量	63-40955-S
酒量 酒量	63-40955-B
酒館 酒馆	63-41033-B
酒館兒 酒馆儿	63-41088-B
酒馆	63-41033-S
酒馆儿	63-41088-S
酒鬼	63-41164-S
酒鬼 酒鬼	63-41164-B
酔	63-41206-S
酔 酔	63-41206-B
酖	63-41252-S,63-41293-S
酖 酖	63-41252-B,63-41293-B
酗	63-41336-S
酗 酗	63-41336-B
酗酒	63-41363-S
酗酒 酗酒	63-41363-B
酗酒滋事	63-41442-S
酗酒滋事 酗酒滋事	63-41442-B
酚	63-41537-S
酚 酚	63-41537-B
酚酞	63-41566-S
酚酞 酚酞	63-41566-B
酚醛	63-41615-S
