down with worries	50-45742-S
dragon	1-12142-S,3-14932-S,5-19976-S,36-1099-S,40-25157-S,42-62247-S,45-12600-S,52-55430-S,55-31912-S,56-658-S,56-12943-S,56-13179-S,69-1596-S,71-57188-B
dragon air	39-6439-S,39-6513-S
dragon airlines dragon air	39-6439-S,39-6513-S
dragon and dot in the eyes 成语 saw	43-59492-S
dragon boat	71-61512-B
dragon boat festival 5th day of 5th lunar month	47-65334-S,63-55641-B,63-56737-B
dragon boat festival the 5th day of the 5th lunar month	3-51082-B,47-65421-S
dragon boat race	60-1729-B
dragon boat used at 端午	71-61573-B
dragon boats	60-1662-S
dragon cannot repress a snake 成语 saw	23-46265-S
dragon chinese constellation	67-60066-S
dragon dance	53-33025-B
dragon e g 2000	71-59600-S
dragon fist martial art	71-59666-S
dragon flies	71-62708-S
dragon fly	56-3914-B
dragon fly shakes the stone tower 成语 saw	56-6180-S
dragon has nine sons 成语 saw	71-61068-S
dragon in lijiang 麗江 丽江	42-32516-S
dragon king of the eastern sea in mythology	71-60983-S
dragon revalation	26-25982-S
dragon s blood bright red tree resin	56-27736-B
dragon s son 成语 saw	69-20564-S
dragon sabre	5-63326-S
dragon walking	71-63531-S
dragon wars	71-60905-S
dragon with horns	55-56798-S
dragon 成语 saw	32-45750-S
dragon 臥龍 卧龙 to his cause by visiting him three times	1-44380-S
dragonboat festival	69-24970-S
dragonfly	56-9883-B,56-12089-B
dragonfly common spoken term	56-6106-B
dragonfly in the 成语 saw 蜻蜓點水 蜻蜓点水	71-40140-S
dragonfly touches the water lightly 成语 saw	56-6398-S
dragonfly 蜻蜓	55-56844-S
dragons	21-2981-B
dragons coil 成语 saw	55-47824-S,55-47958-S
dragons east asian economic powers taiwan	14-48667-S
dragons in chinese mythology	56-17679-S
dragons mixed in together 成语 saw	70-39346-S
drags past like a year 成语 saw	22-63768-S
drain	4-10097-S,15-42322-B,16-48640-S,26-37345-S,28-15041-S,28-16885-B,36-43061-S,37-59628-S,38-38346-S,38-40489-S,39-1764-B,40-2244-B
drain a goblet	63-52132-B
drain away filth and bring in fresh water 成语 saw	28-45128-S,40-5307-S
drain between fields	43-47045-B
drain by leading off water	19-54987-S
drain dry	40-277-B
drain flooded fields	28-17422-S
drain liquid	28-17312-S
drain water	23-9185-B
drain with a pump	28-51748-S
drain 成语 saw	4-39331-S
drainage	28-16925-B,37-60454-B,38-2864-B
drainage area	38-2799-B
drainage of factory waste etc	28-17213-B
drainage system	36-45327-B
drained	33-39033-B
drainer	38-5015-B
draining rice	48-43774-S
draining to inland sea	7-33252-S
drainpipe	15-42322-S,28-17030-B,54-50247-B
drains	28-51998-S,43-48028-S
dram chinese zhangmu	34-57324-B
drama	2-66747-S,9-40139-B,16-56950-S,23-12890-S,26-20876-B,26-20969-B,35-52018-S,53-32104-S,55-15751-S,55-21059-S,58-15784-S,62-24468-S
drama college	55-32662-S
drama on tv	26-21675-S
dramas	8-33733-S
dramatic	26-21135-B
dramatic art dating back to song and yuan periods	22-44990-S,58-7862-S
dramatic change	24-60079-B
dramatic form consisting of historical narration	26-21428-B
dramatic increase	9-40330-B
dramatic sale prices	43-36277-S
dramatic series	62-24468-B
dramatic society	30-44257-S
dramatics	42-38755-S
dramatist	26-21072-B,27-25933-S,50-19701-B
dramatists	6-62131-S,67-4038-S
dramatize historical events	39-46555-S
dramatized history of republican china until 1927 by cai dongfan 蔡東藩 蔡东藩	36-19893-B
dramatized history of successive dynasties from han to republican china by cai dongfan 蔡東藩 蔡东藩	35-52701-B
dramatized history of sui and tang	66-38905-B
drammen city in buskerud	24-26908-B
draped in white	13-46203-S
drapery	22-27627-B
drastic turn about	51-21417-B
draught	27-18146-S
draught animal	28-60255-S,28-60386-S
draught animals	28-535-S,69-63225-S
draughtsman	60-18689-B
dravidian general term for south indian people and languages	62-55036-B
draw	1-71419-B,13-21967-B,13-23488-S,22-51925-S,27-20397-S,28-24645-B,28-36098-S,36-64579-S,39-4327-S,43-58040-B,50-41335-S,50-41779-S,50-41818-S,50-41984-S,68-33592-B,69-49135-S
draw a bamboo bow or crossbow	48-23515-S
draw a bow	23-27332-S
draw a cart	41-63291-S,61-8522-S
draw a cart or a bow	28-321-S
draw a competition	26-44239-S
draw a dot	71-37621-S
draw a lesson	13-3140-S
draw a line	9-38983-S,9-40031-S
draw a line under	64-33781-S
draw a lucky number	2-78235-S
draw a painting inside a gourd 成语 saw	41-9267-S
draw a parallel	36-10527-B
draw a prize	27-17459-S
draw a rectangular grid e g of farmland	26-45838-S
draw an impossible comparison	29-27702-S
draw attention to sth	28-40963-S
draw back	24-2380-B
draw back corners of mouth	13-28001-B
draw blood e g for a test	27-17795-S
draw designs	43-58287-S
draw far fetched analogies	47-52464-B
draw forth	34-33966-B
draw in competition	22-39612-S
draw into	23-27909-S
draw legs on a snake 成语 saw	43-59217-S
draw lesson from the failure of one’s predecessor	24-1970-S
draw lots	27-20244-S,70-30256-B
draw money	29-37208-S
draw near	11-23816-S,62-34543-B
draw near to	29-32625-B
draw one s throat and sing loudly 成语 saw	23-28297-S
draw out	11-57923-S,27-16602-S,28-35335-B
draw out pus by applying a plaster to the affected area	27-33289-B
draw score	22-37104-S
draw sth out	27-16086-S
draw straws to settle a dispute	27-17642-S
draw the blood and qi 氣 气	27-33756-S
draw up	9-10969-S,29-27569-S,50-21269-B,50-21882-B,57-56606-S,57-56976-S
draw up a first version	54-14500-S
draw up a plan	29-27945-S,57-56704-S
draw up or out	26-55098-S
draw up plans	60-17810-B
draw up plans to deal with sth	37-215-S
draw up the theme for discussion	8-47192-S
draw water	36-64638-S
draw water from well	36-64526-B
draw with a brush	28-49770-S
drawback	23-24736-B
drawbacks	9-6586-S
drawbridge	12-43592-B
drawer	21-23253-B,27-16893-B,27-17063-B
drawers	57-8619-B
drawing	5-12035-B,15-25269-B,15-27603-B,15-27871-B,16-1776-S,17-23036-S,21-56523-S,21-56608-S,24-5460-S,24-5625-S,27-1300-S,27-1729-S,27-34147-S,28-35862-S,43-58136-B,48-14502-S,48-15438-S,50-16522-S,50-41934-B,54-13966-S,62-1305-S,62-1392-S,62-1461-S,62-1529-S,62-1593-S,67-35574-S
drawing a tiger like a dog 成语 saw	43-59073-B
drawing a tiger using a cat as a model 成语 saw	41-9566-S
drawing brush	36-15744-B
drawing in traditional ink and brush style	44-39325-S
drawing or writing	48-15845-S
drawing right angles	1-42130-S
drawing room room for arriving guests	19-51832-B
drawing used to convey basic meaning	46-46497-B
drawn	9-43838-S
drawn and bows bent 成语 saw	9-43838-S
drawn into	28-7583-S
drawn out	25-7961-S,32-3329-S
drawn up	56-5595-S
drawn vehicle	42-25242-S
draws	27-33756-S
draws like	41-52789-S
dread	24-68553-S,24-69266-B,25-56335-B,67-64750-B
dreadful	12-12908-B
dreadful crimes that rankled even after the perpetrator is dead	35-57830-B
dreadful state	25-47582-B
dreadful to see	57-55051-B
dream	6-14610-S,6-14610-S,6-14610-S,17-2184-S,17-2358-B,17-2935-S,17-2935-S,17-3245-S,24-40502-B,26-11117-S,44-39882-S,63-3581-S,69-60389-S
dream come true	24-8962-S
dream of	17-2694-S
dream of red mansions first completed edition 1791 by cao xueqin 曹雪芹	49-10343-S
dream voyage	17-3106-S
dream 成语 saw	4-14549-S,63-61797-S
dreaming of zhuangzi 	54-21172-S
dreamland	17-2313-B
dreams	17-2404-S,17-3321-S,25-25615-S,63-16291-S
dreams and visions in a bubble 成语 saw	17-2526-S
dreams of a butterfly or is it the butterfly dreaming of zhuangzi 	54-21172-S
dreams 成语 saw	12-46834-S
dreamscape	17-2758-B
dreary	11-36248-B
dreary and fuzzy sight	8-25045-B
dredge	26-44926-S,27-67097-S,38-41877-S,44-1400-S,44-1787-S,44-2153-S,44-2642-S
dredging	30-15616-S
dregs	11-37588-S,39-2485-B,39-30318-B,48-62636-B,48-62861-B,48-62926-B,59-17075-S,59-17124-S,59-17355-S,59-17413-S
dregs of colonial administration	69-15315-B
dregs of wine	63-49220-B
drench	5-14297-B,38-40489-S
drenched and bedraggled	54-50315-S
drenthe	24-24089-B
drepung monastery	13-48065-B
dresden	24-27884-B,24-29007-B
dress	2-81500-S,5-29489-S,18-54114-S,26-44346-S,26-44346-S,27-11660-S,31-3694-S,31-45304-S,32-42272-B,32-44224-B,47-8607-S,47-51026-S,47-51437-S,47-51675-B,47-51740-S,47-51829-S,54-55793-B,56-41824-S,56-52745-S,56-52966-S,56-55681-S,56-60349-B,57-47-S,57-8798-S,57-10543-S,57-12432-S,57-12516-S,57-22478-S,62-25221-S,63-11747-S,63-57681-S,68-4976-S
dress and adornment	32-44399-B
dress and manner	1-68625-S
dress determining the grade of an official	13-34044-S
dress etc border	39-35023-S,50-13893-S
dress food	40-28022-B
dress for men or in hong kong women s qipao	65-19377-S
dress hemp	50-46682-S
dress in drag male to female	43-46282-B
dress rehearsal	23-55947-B
dress the hair	70-25389-B
dress troops	30-16632-S
dress up	18-36101-S,26-54681-S
dress up as	56-61280-B
dress up as god	57-360-S
dress up in disguise 成语 saw	14-15797-S
dress with soy etc	41-14374-S
dress worn over a petticoat	18-10137-B
dressed as lamb	51-25429-S
dressed food	69-20305-B
dressed leather	68-6329-B
dressed with sauce e g cole slaw	38-39253-S
dressed woman	53-57403-S
dresser s shop	70-24912-S
dresses up as teenager	51-25429-S
dressing	26-44346-S,27-28913-S,30-18456-S,30-18512-S,30-19146-S,35-33284-B,37-31468-S,38-39253-S,53-45177-S,58-36313-B,58-36552-B,58-36646-B,61-59417-S,69-29505-B
dressing room	10-24300-B,32-9170-B,34-16686-S
dressing table	34-16762-B,37-54555-B
dressmaker	18-22366-B,56-53841-B
dressmaker s measure	60-57453-S
dressmaking	37-26820-S,49-22384-S
dreyer	24-29068-S
dribble	71-27866-B
dribs and drabs	71-43396-B
dried bones in burial mound 成语 saw	16-19193-B
dried fish	70-47606-B
dried fish guts	70-37879-S
dried food	55-22850-B
dried fruit	3-24728-B
dried fruits	67-4808-S
dried ginger	3-25386-B
dried leaf	33-39178-B
dried leaves	54-38065-B
dried meat	52-35045-B,52-44188-B,52-50242-B
dried meat with bone	52-19332-B
dried orange peel used in chinese medicine	66-28721-B
dried persimmon	33-51750-B
dried persimmon from geng village	51-42894-B
dried plum sliced	67-57283-B
dried poultry	52-38049-B
dried raisins	54-57887-B
dried salted duck	33-31515-S
dried scallop	3-25546-B
dried shrimps	56-7758-B
dried up	3-24795-B,8-25296-B,33-38506-B,33-38791-B
drier	3-25089-S
drift	17-39188-S,38-12940-S,39-42970-S,39-43626-S,39-43670-B,68-46305-S,68-60256-S,68-60641-S,68-60710-S,68-61241-S,68-61338-S,68-61592-S
drift about	38-4507-S
drift aimlessly	57-63266-S
drift along	38-52859-S
drift also fig	39-43304-S
drift apart	44-3249-S
drift away	62-38485-S
drift cornering technique in car racing	43-36385-B
drift electrical	39-43574-B
drift in the tide	39-43136-S
drift lightly	68-60539-S
drifter	39-43136-B
drifting aimlessly all over the place 成语 saw	14-51661-B
drifting and homeless	68-61660-S
drill	8-39893-S,29-21789-B,29-22096-S,36-31208-S,39-46201-S,39-46396-B,40-30563-S,50-24380-S,50-24532-B,57-64597-B,64-20786-S,64-41589-S,65-8433-S
drill a hole	65-10505-S
drill a way through to fame and profit	65-9643-S
drill bit	65-9023-S
drill book	29-20960-B
drill e g for oil	65-8660-S
drill for boring through rock	40-30563-S,64-20707-S,64-20786-S,65-1962-S
drill for sowing grain	51-38981-B
drill hole	65-10348-B
drill master in song times	30-5490-S
drill military	35-42486-S
drill or lathe	36-13711-S
drill practice	29-20338-S
drill rules	29-21698-B
drill troops	30-16449-S,50-24467-S
drill with crank handle	32-4819-S
drill wood to make fire	65-9519-S
drill 成语 saw	57-30307-S
drilling	65-9277-B,65-10685-S
drilling exploration company codec	2-76805-S
drilling machine	65-9320-B
drilling platform	65-8730-S
drilling troops or gymnasts	11-67353-S
drilling wood	41-33289-S
drink	8-18397-S,8-23908-S,9-51675-S,12-26848-S,13-14848-S,13-64043-S,14-10021-S,14-10207-S,14-10363-S,14-39475-S,25-22170-S,26-49712-S,33-36267-S,35-23727-B,35-24778-B,40-34201-S,41-22802-S,44-30615-S,57-52500-S,61-4028-S,61-4073-S,63-40955-S,69-5902-B,69-6041-B,69-6382-B,69-6670-S
drink a forfeit	30-12804-S
drink a toast	3-24610-S,46-55185-S
drink after giving up	46-17444-S
drink alcohol	14-10587-S
drink and eat wildly set phrase	42-5379-S
drink as the result of having lost a bet	50-53621-S
drink excessively	50-31035-S
drink gluttonously	52-20869-S
drink hard	42-5330-S
drink heavily	63-45870-B
drink in company	63-45870-B
drink in excess	59-39385-S
drink popular in hong kong	18-29189-S,51-8220-S,66-11725-S
drink tea	14-10428-S
drink the northwest wind 成语 saw	14-10473-S
drink to excess	63-41363-S
drink together in company	5-1152-S
drink together with food	5-1152-S
drink up	14-10207-S,14-10363-S
drink water	69-6139-S,69-6299-S
drink wine	54-13012-S,63-36936-S,69-6623-S
drinkable water	69-6382-S
drinking	26-14267-S,31-64485-S,51-56107-S,63-41363-S,63-41848-S
drinking after a break	65-35089-S
drinking fountain	69-6221-B
drinking goblet	64-50873-S
drinking or drinkable water	69-6382-B
drinking party	33-13788-S,63-39790-B,69-5972-B
drinking straw	13-4288-B,48-25742-B
drinking to excess	42-5473-S
drinking water	36-46787-B,69-6090-B,69-6452-B
drinks	18-27161-S,68-61851-S
drinks glass	33-13274-S
drip	27-27851-S,37-59628-S,38-40489-S,38-41303-B,39-32749-S,39-32785-B,39-33784-S,40-15537-B,67-62582-S,67-62788-S,71-37621-S,71-40432-S
drip gall 成语 saw	27-11833-S
drip of rain	28-13778-B
drip used to administer drugs	71-40432-S
drip with sweat	28-49993-S,28-50088-S,39-8106-S
dripping	56-56342-B
dripping of rain from eaves	67-45391-B
dripping water penetrates the stone 成语 saw	36-43354-B,39-33050-B,39-33298-B
dripping with blood	56-26828-B
dripping with oil	37-22783-B
dripping with sweat	17-24462-B
dripstone geol 	39-33663-S
drive	3-14425-S,7-11231-S,7-11539-S,7-11539-S,7-14222-S,7-42153-S,14-53251-S,22-28268-S,24-12474-S,24-44908-B,24-63274-S,40-53583-S,45-19087-S,46-25969-S,46-26024-S,46-35202-S,46-36089-S,48-55115-B,58-13583-S,62-33566-B,64-33227-B,68-62197-S,69-44741-S,69-49135-S,69-49688-S,69-49740-S,69-55834-S,69-55939-S,69-56136-B,71-64449-S
drive a car	65-42507-S
drive a vehicle	56-35115-S,69-49415-B
drive a wedge between	27-65192-S
drive a wedge between one s enemies	11-55489-S
drive away	60-28549-S,60-28852-S,69-56382-S
drive away cares	30-7968-S
drive backwards	5-61501-S,5-61994-S
drive belt	44-65414-S
drive by download	66-49291-S
drive by download a form of malware boobytrap	66-49291-B
drive engine	6-34293-B
drive fast	62-35488-S
drive in reverse	65-30075-S
drive mechanism tape or disk	69-55939-B
drive number a or b in microsoft dos and windows system	45-11686-S
drive off	28-63494-B
drive on a familiar path 成语 saw	69-49464-S
drive out devils	69-56612-S,69-56780-S
drive out devils and spirits exorcism	66-22685-S
drive out evil spirits	46-54055-S,69-56843-S
drive out the old and make a clean sweep	47-16151-S
drive people or goods to a destination	8-45968-S
drive piles	17-64073-B
drive shaft	6-34419-B
drive to insanity	56-22172-S
drive transmission in an engine	6-34223-B
drive vehicle wheel	69-55939-B
drive wheel	69-56276-B
drivel	52-22863-B
driven	35-2404-S
driven armillary sphere zhang heng s famous astronomical apparatus	39-44366-S
driven mill	37-953-S
driven processing	34-37249-S
driven to join the liangshan mountain rebels	62-33697-S
driven to revolt	62-33697-S
driven ventilation for metal smelting furnace	36-39457-S
driver	1-43090-S,12-24172-B,60-1204-S,60-58774-S,60-59080-S,65-42555-B
driver computing software	69-55939-S,69-56185-S
driver golf	1-20077-B
driver s license	69-49260-B,69-49882-B
drives the people to revolt 成语 saw	19-43096-S
driving	9-26648-S,41-5162-S
driving a vehicle	65-42555-S
driving at	2-21497-S
driving force	28-30088-B,69-56079-B
driving license	69-50022-B
driving rain	39-64611-B
driving range golf	50-24649-B
drizzle	36-14245-B,38-27845-B,39-18467-B,39-18893-B,39-44112-B,40-8840-B,45-61397-B,49-34049-B,67-14708-B,67-39633-B,67-43914-B
drizzle of rain or snow	54-64101-B
drizzling rain	67-45293-B
dromedary	14-18133-B
drone	14-25073-B,20-2480-B,68-6051-S
drone bee	66-53629-B
drongo dicrurus macrocercus	70-57954-S
drool over 成语 saw	15-55030-S
droop	4-66899-S,14-30609-S,15-54430-B
drooping	4-67810-B
drooping branches	8-7582-S
drooping down like ears	61-8423-S
drop	1-64037-S,16-25846-S,16-26054-S,16-30192-B,20-66952-S,28-12790-S,36-43316-B,37-5859-S,37-18485-S,39-3405-S,39-32749-S,47-47591-S,50-54410-S,52-34212-S,54-49235-S,56-48722-B,60-33968-S,60-34464-S,66-16685-S,71-37621-B
drop a bag of books 成语 saw	28-13280-S
drop a hint	31-62305-B
drop anchor	1-63923-S,27-28406-S
drop and smash	46-27680-S
drop behind	54-48957-S
drop bomb	26-50999-S
drop can trickle through 成语 saw	36-42817-S
drop dead	5-60246-S
drop dead cantonese slang puk1 gaai1	6-50960-B
drop elec 	10-8153-S
drop in	1-56872-B,3-1631-S
drop in crop yield	39-877-S
drop in price	28-12924-B
drop in torrents	6-48230-S
drop in value	6-28714-S
drop into	16-25899-S
drop of height in waterway	60-34665-B
drop of liquid	71-38769-B
drop of water can leak out	39-32924-S
drop of water leaks 成语 saw	71-40283-S
drop one bubble	1-23668-S
drop out of school	61-14538-S
drop quotations to appear learned	28-13280-S
drop returns to the public good 成语 saw	38-36525-S
drop sharply e g stock prices	42-12334-B
drop shot in tennis or volleyball	12-43820-B
drop shot in volleyball	28-13459-B
drop supplies by air	47-47591-S
drop the matter	35-57269-S
drop to sleep momentarily	26-47136-S
drop to the ground	52-54345-S
droplet	71-38769-B
droplet infection disease transmission from sneezing	68-63966-B
dropped into the sea	46-6237-S
dropped overboard 成语 saw	9-14997-S
dropping	48-4538-S
dropping off	28-28306-S
drops	38-36444-B,45-51686-S,54-49669-S,67-45007-S,68-63870-S
drops of rain	67-45007-B
dropsical	52-35556-B,52-52855-B
dropsy	36-45718-B,38-13923-B,38-14027-B,43-52793-B
dross	11-37588-S,48-62861-B,48-62926-B
drough	41-17580-S
drought	3-24560-B,7-2750-S,27-5560-S,31-17024-B,31-17054-B,41-4587-B,44-53213-S
drought and famine	54-17739-B
drought demon	70-33594-B
drought resistant	27-5560-B
drown	5-14190-B,38-40452-B,38-45042-S,38-55865-B,38-55902-S,39-25083-B,39-25238-S
drown one s sorrows in alcohol	6-1608-S
drowned	37-8514-B
drowning	18-19721-S
drowning sb tied to a rock as a form of torture	37-6523-B
drowse when unconscious	31-26901-B
drowsy	25-25996-B
drubbing	27-68293-S
drug	6-10589-S,6-30266-S,6-30865-S,9-67380-S,19-12842-S,26-13991-S,27-7309-S,28-41051-S,28-41205-S,29-28062-S,35-33211-S,36-36289-S,42-2651-S,54-60424-B,55-33400-B,55-33712-B,55-34545-B,67-62503-S,67-62503-S
drug addict	44-22153-B
drug addiction	36-7887-B
drug administration	15-7933-S,55-34928-S,69-2233-S
drug administration authority fda	69-2785-S
drug administration sda	69-2105-S
drug dependence	9-67380-S
drug inducing shivering	67-40905-S
drug ingredients	55-34181-B
drug nsaid	43-59956-S
drug prohibition	47-1026-B
drug resistance of a pathogen	27-7243-B,27-7386-B
drug to lessen allergic symptoms	27-6674-S
drug to reduce fever	61-62521-S
drug used to treat benign prostate hypertrophy in men	64-39681-S
druggist	55-33568-B,55-33631-B,55-33771-B
drugs	6-9167-S,13-3752-S,20-38112-S,26-48644-S,27-17104-S,32-44104-S,32-44150-S,36-7193-B,46-42203-S,48-56759-S,63-38570-S,71-40432-S
drugs ban e g for athletes	47-1349-B
drugs in sports	11-52763-S
drugs manufacturing factory	57-4223-B
drugs test e g on athletes	55-34231-B
drugs trade	36-8261-B,59-38553-S
drugstore	55-34081-B
drugstore chemist	55-33631-B
drum	13-27448-S,13-27697-S,17-42756-S,26-50869-S,26-50869-S,29-12476-S,29-18006-S,30-13589-S,30-14214-S,30-14328-S,31-65774-S,39-34854-B,53-61940-S,61-30679-S,64-43944-S,68-16978-S,71-47772-B,71-48583-S,71-49154-S,71-49194-S,71-49280-S,71-49318-S
drum beat	71-49045-B,71-49095-B
drum carried on horseback	71-49233-B
drum for marking time	33-31575-S
drum marking night watches	32-9584-B
drum music	13-64427-S
drum on a bowl	71-48348-S
drum practice pad music	13-64427-B
drum shaped rattle used by peddlers or as a toy	29-12476-S
drum tower	58-63761-B,71-48292-S,71-48292-B
drum tower marking night watches	32-8466-B
drum up support	62-38300-S
drum used by peddlers	68-6417-S
drum with a narrow waist	51-14705-S
drum 成语 saw	34-8451-S,45-61209-S,53-3557-S
drumbeat	71-48583-B
drumming on a bowl in grief 成语 saw	71-48490-B
drumming to make apricots flower	51-14780-B
drums	64-57100-S,66-37246-S,68-891-S,69-51339-S
drums and bells	64-50419-S
drums 成语 saw	6-5300-S,31-4042-S,63-59343-S
drumstick	20-65580-B,26-36691-B,42-59827-B
drung or dulong national minority of northwest yunnan	42-22340-B
drunk	14-10638-S,29-8848-S,39-10044-B,41-36565-S,41-36565-S,41-36627-S,63-40906-S,63-41336-B,63-41363-S,63-42708-B,63-46974-B
drunk and act crazy	29-8848-S
drunk and befuddled	63-46754-S
drunk and quarrel	63-41442-S
drunk and stupefied 成语 saw	18-31896-S
drunk as mud	41-36627-S
drunk at a wedding feast	14-9508-S
drunk from the previous night	20-405-S
drunk in chaozhou	9-48415-S
drunk or imbecile	34-31245-S
drunk with	66-31809-S
drunkard	63-39749-B,63-41164-B,63-46710-S
drunkard and lecher	37-6297-S
drunken beauty	59-42345-S
drunken chicken	63-47013-S
drunken fighting	63-41442-B
drunken gluttony 成语 saw	42-5473-B
dry	3-23947-B,3-24560-B,8-25296-B,13-5068-S,29-25844-S,29-35929-S,32-1025-B,34-43100-B,38-38812-S,40-277-S,41-11784-B,41-32899-B,49-26818-B,55-10143-B,68-53327-S
dry and dull	33-38732-B
dry and roast over a low fire tea	40-44917-S
dry by itself	13-57103-S
dry by the sun	31-57918-S
dry clay lump	16-21469-B
dry clean	3-24894-S
dry cleaning	3-24894-B
dry cup	3-24610-S
dry ditch	16-8121-S
dry eye	22-36960-B
dry fruits nuts etc	3-24728-B
dry grain equal to one tenth dou 斗	10-52837-S
dry grain equal to one tenth of sheng 升 or liter	12-31102-S
dry grass	33-38904-B
dry ice	22-36604-B
dry in the air	31-57876-S
dry in the sun	31-43073-S,31-46220-B
dry in the sunshine	32-3858-S
dry land as opposed to the sea	66-32820-B
dry law	47-1594-B
dry lot	69-7079-B
dry measure	22-25796-S
dry measure 5 pecks 五斗	43-36539-S
dry measure equivalent to 16 斗 dou3 or 160 liter	30-37107-B
dry measure for grain equal to five dou 五斗 before tang	30-35771-B
dry measure for grain equal to ten dou 斗	46-3657-B
dry measure for grain equal to ten sheng 升 or one tenth dan 石	30-33642-B
dry moat	66-39474-B
dry moat outside a city wall	16-8121-S
dry mouth and tongue 成语 saw	11-67198-S
dry of paint	3-25039-S
dry of river	30-59403-S
dry out	52-33435-S
dry over a fire	40-40775-S,40-44749-S,40-44798-S
dry provisions	48-61872-B,69-18547-B
dry terrain	16-15361-B
dry up	3-24952-S,38-38812-S
dry up of a plant	54-42088-S
dry with fire	41-17541-S
dry wood 成语 saw	40-33994-S
dryer	13-6705-S,40-40717-S,40-40828-B,67-26680-S
drying clothes	48-32847-S
drying frame	40-41315-S,40-41370-S
drying of the tear glands	22-36960-S
drying over a fire tea	40-41167-S
drying room	40-41832-B
drysuit diving	3-25497-B
drøbak city in akershus	24-24274-B
dsl	30-21142-B
dsungaripterus genus of pterosaur	39-16745-B
dsungharian basin in xinjiang between the altai and tianshan ranges	39-17075-S
dtp vaccination	1-32533-B
du	33-8226-S,63-26729-S
du an yaozu autonomous county in guangxi	63-27000-B
du fu 712 770	33-9714-B
du fu s thatched cottage in chengdu	33-9761-B
du kang	33-9016-B
du mu 803 852 tang dynasty poet	33-9649-B
du qiu	33-9851-S
du wei 1982 	33-8725-B
du xunhe 846 904	33-9972-B
dual	20-47024-B
dual attachment station	67-1405-B
dual core computing	66-66549-B
dual nationality	16-64692-B
dual polyhedron	20-47126-B
dual pronoun	14-5976-S
